"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"16","약국","01_01_06_P","6510000","PHMD119816510098084000001","1981-09-07","","03","폐업","03","폐업","2025-12-31","","","","064-783-2010","","695-973","제주특별자치도 제주시 구좌읍 세화리 1465-1","제주특별자치도 제주시 구좌읍 구좌로 47","63361","제일약국","2025-12-31 12:54:46","U","2026-01-03 02:40:00","","186604.666008181","2990.31895469413","38","19810907",
"17","약국","01_01_06_P","6510000","PHMD120186510097084000001","2018-01-02","","01","영업/정상","13","영업중","","","","","064-796-2567","","","제주특별자치도 제주시 한림읍 한림리 1073-1","제주특별자치도 제주시 한림읍 한림중앙로 1","63029","세창약국","2025-12-31 11:09:26","U","2026-01-03 02:40:00","","131546.043579925","-8832.57973808462","46.2","20180102",
"18","약국","01_01_06_P","3090000","PHMD120203090033084000002","2020-02-10","","03","폐업","03","폐업","2025-12-31","","","","02-953-3119","","","서울특별시 도봉구 방학동 707번지 7호 홈플러스데스코㈜방학점","서울특별시 도봉구 도봉로 678, 홈플러스데스코㈜방학점 지하2층 (방학동)","01334","미소약국","2025-12-31 10:10:16","U","2026-01-03 02:40:00","","203790.013568785","462495.417040876","29.36","20200210",
"19","약국","01_01_06_P","3230000","PHMD120233230034084000006","2023-05-23","","01","영업/정상","13","영업중","","","","","070-8080-4509","","","서울특별시 송파구 잠실동 209 송천빌딩","서울특별시 송파구 석촌호수로 80, 송천빌딩 1층 02호 (잠실동)","05564","잠실팜약국","2025-12-31 09:09:33","U","2026-01-03 02:40:00","","207562.998269706","445212.647550343","36.36","20230523",
"20","약국","01_01_06_P","3050000","PHMD120243050034084000007","2024-04-29","","03","폐업","03","폐업","2025-12-31","","","","02-3493-6912","","","서울특별시 동대문구 용두동 100-1 랜드마크타워1","서울특별시 동대문구 천호대로25길 81, 랜드마크타워1 103호 (용두동)","02585","청수약국","2025-12-31 10:03:52","U","2026-01-03 02:40:00","","202929.480858008","452835.10567055","26.4","20240429",
"21","약국","01_01_06_P","3650000","PHMD120003650023084000001","2000-02-09","","03","폐업","03","폐업","2025-12-31","","","","255-0720","","301-800","대전광역시 중구 대사동 121번지 5호","대전광역시 중구 보문산공원로 541 (대사동)","35043","보문산 약국","2025-12-31 14:03:45","U","2026-01-03 02:40:00","","238130.481367104","312873.640889769","46.08","20000209",
"22","약국","01_01_06_P","4671000","PHMD120204670076084000002","2020-04-27","","01","영업/정상","13","영업중","","","","","063-465-4555","","","전북특별자치도 군산시 나운동 316번지 12호","전북특별자치도 군산시 공단대로 388 (나운동)","54139","하나약국","2025-12-31 11:21:25","U","2026-01-03 02:40:00","","172823.483382324","273618.730181127","151.8","20200427",
"23","약국","01_01_06_P","3660000","PHMD120253660023084000014","2025-11-11","","01","영업/정상","13","영업중","","","","","070-8691-0187","","","대전광역시 서구 월평동 493","대전광역시 서구 한밭대로570번길 14, 1층 (월평동)","35221","알약트레이더스약국","2025-12-30 10:34:53","U","2026-01-03 02:40:00","","232404.531512887","317489.175238957","226.7","20251111",
"24","약국","01_01_06_P","4060000","PHMD120244060482084000001","2024-01-17","","02","휴업","02","휴업","","2025-06-11","2026-03-31","","031-941-0589","","","경기도 파주시 동패동 2125","경기도 파주시 양지로 119, 신화프라자 1층 102호 (동패동)","10888","초롱꽃약국","2025-12-31 09:44:32","U","2026-01-03 02:40:00","","","","42","20240117",
"25","약국","01_01_06_P","5330000","PHMD119865330023084000002","1986-09-30","","01","영업/정상","13","영업중","","","","","645-9272","","","경상남도 통영시 광도면 죽림리 1613 힐스테이트 통영","경상남도 통영시 광도면 죽림안길 61, 상가동 206호 (힐스테이트 통영)","53021","천지약국","2025-12-30 16:13:05","U","2026-01-03 02:40:00","","330782.880647375","151350.790259976","43","19860930",
"26","약국","01_01_06_P","3160000","PHMD120203160034084000009","2020-06-30","","01","영업/정상","13","영업중","","","","","02-837-9998","","","서울특별시 구로구 구로동 3-25 신도림테크노마트 판매동","서울특별시 구로구 새말로 97, 판매동 1층 40,73,74,82,83,118,119호 (구로동)","08288","라온약국","2025-12-30 15:14:41","U","2026-01-03 02:40:00","","190232.524534335","444978.682746138","77.42","20200630",
"27","약국","01_01_06_P","5590000","PHMD120215590021084000004","2021-06-28","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","031-867-7577","","","경기도 양주시 고암동 92-22","경기도 양주시 화합로 1493, 메디타운 103호 (고암동)","11452","가까운약국","2025-12-31 14:36:41","U","2026-01-03 02:40:00","","206367.277705536","481696.215481774","183","20210628",
"28","약국","01_01_06_P","3940000","PHMD120173940138084000017","2017-09-01","","03","폐업","03","폐업","2025-12-31","","","","0319787999","","","경기도 고양시 덕양구 화정동 1147번지 112호","경기도 고양시 덕양구 성신로 10, 112호 (화정동, 글로버프라자)","10503","화정푸른솔약국","2025-12-31 17:35:27","U","2026-01-03 02:40:00","","184904.961055197","458378.952908826","48.7","20170901",
"29","약국","01_01_06_P","3930000","PHMD120183930154084000007","2018-03-26","","03","폐업","03","폐업","2025-12-31","","","","031-402-2081","","","경기도 안산시 단원구 고잔동 707번지 2호 삼성홈플러스","경기도 안산시 단원구 광덕대로 175, 삼성홈플러스 2층 (고잔동)","15471","건강플러스약국","2025-12-31 13:07:45","U","2026-01-03 02:40:00","","184766.070784522","423338.223688148","22.2","20180326",
"30","약국","01_01_06_P","3780000","PHMD120103780062084000014","2010-11-18","","03","폐업","03","폐업","2025-12-30","","","","031-757-5461","","461-804","경기도 성남시 수정구 수진1동 1번지 1호 1층","경기도 성남시 수정구 수정로 144, 1층 (수진동)","13327","이화온누리약국","2025-12-31 09:14:08","U","2026-01-03 02:40:00","","211968.801097672","437745.215497028","33.88","20101118",
"31","약국","01_01_06_P","3080000","PHMD120163080033084000002","2016-02-01","","01","영업/정상","13","영업중","","","","","02-6312-6351","","","서울특별시 강북구 미아동 1364번지 연이빌딩 7층","서울특별시 강북구 도봉로 52, 7층 (미아동, 연이빌딩)","01215","한빛약국","2025-12-31 18:06:03","U","2026-01-03 02:40:00","","202624.617262819","456818.85207077","163.05","20160201",
"32","약국","01_01_06_P","3390000","PHMD120203390023084000006","2020-09-16","","01","영업/정상","13","영업중","","","","","070-4038-9826","","","부산광역시 사상구 괘법동 546-14","부산광역시 사상구 광장로 77 (괘법동)","46968","서부산약국","2025-12-30 15:48:08","U","2026-01-03 02:40:00","","380782.146864752","186636.553825021","129","20200916",
"33","약국","01_01_06_P","4010000","PHMD120254010281084000005","2025-07-08","","03","폐업","03","폐업","2026-01-02","","","","","","","경기도 시흥시 대야동 542 롯데마트 시흥점","경기도 시흥시 비둘기공원로 28, 롯데마트 시흥점 2층 (대야동)","14912","더드림약국","2025-12-31 17:46:30","U","2026-01-03 02:40:00","","181520.673307238","437898.181862031","30.7","20250708",
"34","약국","01_01_06_P","5020000","PHMD120225020055084000007","2022-11-10","","01","영업/정상","13","영업중","","","","","054-614-0858","","","경상북도 포항시 남구 효자동 595-6","경상북도 포항시 남구 효성로 46, 1층 (효자동)","37836","레몬약국","2025-12-31 17:03:35","U","2026-01-03 02:40:00","","410796.072576137","280933.520250712","85.18","20221110",
"35","약국","01_01_06_P","3330000","PHMD120223330024084000009","2022-10-04","","01","영업/정상","13","영업중","","","","","051-784-1933","","","부산광역시 해운대구 반여동 1609-1 문훈치과","부산광역시 해운대구 재반로 253-1, 문훈치과 1층 (반여동)","48024","지리산약국","2025-12-31 10:24:46","U","2026-01-03 02:40:00","","394029.29313286","191052.246835551","90.03","20221004",
"36","약국","01_01_06_P","3860000","PHMD120083860049084000025","2008-07-02","","01","영업/정상","13","영업중","","","","","032-345-2256","","","","경기도 부천시 원미구 역곡로 7, 105호 (역곡동)","14671","역곡태평양약국","2025-12-31 10:11:30","U","2026-01-03 02:40:00","","183240.48636337","442664.738703069","1","20080702",
"37","약국","01_01_06_P","3060000","PHMD120133060034084000004","2013-02-28","","01","영업/정상","13","영업중","","","","","02-493-5074","","131-828","서울특별시 중랑구 면목동 634번지 8호","서울특별시 중랑구 면목로 305, 1층 (면목동, 성일빌딩)","02238","이안온누리약국","2025-12-31 15:39:36","U","2026-01-03 02:40:00","","207653.828967538","453048.690091451","58.3","20130228",
"38","약국","01_01_06_P","3060000","PHMD120123060034084000001","2012-01-12","","01","영업/정상","13","영업중","","","","","491-0081","","131-781","서울특별시 중랑구 신내동 397번지 동성아파트 근린생활시설동","서울특별시 중랑구 신내로 128, 근린생활시설동 1층 (신내동, 동성아파트)","02054","중앙약국","2025-12-30 10:31:37","U","2026-01-03 02:40:00","","208536.163679365","456379.478717154","78.8","20120112",
"39","약국","01_01_06_P","3120000","PHMD120143120033084000004","2014-02-26","","01","영업/정상","13","영업중","","","","","02-392-4932","","120-060","서울특별시 서대문구 옥천동 1번지","서울특별시 서대문구 통일로 177, 1층 (옥천동)","03734","서대문약국","2025-12-30 15:55:24","U","2026-01-03 02:40:00","","196646.316262816","451906.882016285","84.7","20140226",
"40","약국","01_01_06_P","3230000","PHMD120143230034084000039","2014-10-27","","01","영업/정상","13","영업중","","","","","02-406-5258","","","서울특별시 송파구 오금동 18번지 38호","서울특별시 송파구 위례성대로20길 31, 1층 (오금동)","05657","햇살약국","2025-12-30 15:00:21","U","2026-01-03 02:40:00","","211182.039440114","445171.927200021","65","20141027",
"41","약국","01_01_06_P","5380000","PHMD120185380021084000021","2018-12-07","","01","영업/정상","13","영업중","","","","","055-385-6663","","","경상남도 양산시 중부동 685번지 4호 늘푸른빌딩","경상남도 양산시 강변로 442, 늘푸른빌딩 1층 101호 (중부동)","50629","양산늘푸른약국","2025-12-31 14:56:20","U","2026-01-03 02:40:00","","384232.71200234","206239.031503393","58.69","20181207",
"42","약국","01_01_06_P","3290000","PHMD120233290024084000020","2023-10-30","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","","","","부산광역시 부산진구 범천동 1643 범일역풍림아이원","부산광역시 부산진구 범일로154번길 33, 1층 1063호 (범천동, 범일역풍림아이원)","47361","중앙하나약국","2025-12-31 15:26:33","U","2026-01-03 02:40:00","","387758.905527561","184731.35167587","55","20231030",
"43","약국","01_01_06_P","3220000","PHMD120263220033084000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 682-17","서울특별시 강남구 봉은사로54길 9, 1층 (역삼동)","06143","싱싱약국","2026-01-02 14:32:25","I","2026-01-04 00:20:12","","203797.336891864","445241.770411677","33.85","20260102",
"44","약국","01_01_06_P","3480000","PHMD120263480012084000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","","대구광역시 달성군 화원읍 비슬로 2595, 1층","42955","화원우정약국","2026-01-02 13:29:30","I","2026-01-04 00:20:12","","335539.595725001","257100.502776805","50","20260102",
"45","약국","01_01_06_P","3610000","PHMD120263610019084000001","2026-01-02","","01","영업/정상","13","영업중","","","","","062-681-1296","","","광주광역시 남구 봉선동 473-18","광주광역시 남구 봉선중앙로 51, 1층 102-3, 102-4호 (봉선동)","61684","봉선친한약국","2026-01-02 16:40:31","I","2026-01-04 00:20:12","","191811.789319166","180699.29883664","184.8","20260102",
"46","약국","01_01_06_P","3240000","PHMD120263240033084000001","2026-01-02","","01","영업/정상","13","영업중","","","","","070-4184-0026","","","서울특별시 강동구 성내동 244 라이저강동빌딩","서울특별시 강동구 천호대로 1116, 103호 (성내동, 라이저강동빌딩)","05373","땡큐약국","2026-01-02 13:00:12","I","2026-01-04 00:20:12","","211878.097723811","448049.826281484","50","20260102",
"47","약국","01_01_06_P","4550000","PHMD120264550041084000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","충청남도 금산군 금산읍 중도리 56-9 칠보네집","충청남도 금산군 금산읍 비단로 184, 칠보네집","32738","금산종로약국","2026-01-02 14:14:56","I","2026-01-04 00:20:12","","244652.994685819","289383.721923846","112.31","20260102",
"48","약국","01_01_06_P","3070000","PHMD120103070034084000016","2010-09-20","","01","영업/정상","13","영업중","","","","","02-916-6222","","","서울특별시 성북구 장위동 66번지 309호","서울특별시 성북구 돌곶이로27길 79 (장위동)","02771","드림약국","2026-01-02 17:40:50","U","2026-01-04 02:40:00","","204519.411004897","456418.703834684","70.7","20100920",
"49","약국","01_01_06_P","3550000","PHMD120193550020084000002","2019-02-20","","03","폐업","03","폐업","2026-01-01","","","","032-544-6265","","","인천광역시 계양구 동양동 605번지 1층","인천광역시 계양구 양지로 40, 1층 (동양동)","21018","사랑인약국","2026-01-02 13:28:37","U","2026-01-04 02:40:00","","178322.188869029","451120.806828105","72.16","20190220",
"50","약국","01_01_06_P","3910000","PHMD119683910165084000001","1968-01-27","","03","폐업","03","폐업","2025-12-31","","","","031-666-3158","","","경기도 평택시 신장동 300번지 77호","경기도 평택시 신장로 28 (신장동)","17758","성신약국","2026-01-02 10:49:07","U","2026-01-04 02:40:00","","204526.986628632","397506.497871059","33","19680127",
"51","약국","01_01_06_P","3900000","PHMD120193900028084000009","2019-06-17","","01","영업/정상","13","영업중","","","","","02-898-2655","","","경기도 광명시 소하동 1340번지 5호 웅신아트","경기도 광명시 금하로 458, 웅신아트 113호 (소하동)","14316","마음드림약국","2026-01-02 09:09:18","U","2026-01-04 02:40:00","","189604.623666721","438478.689394262","59.82","20190617",
"52","약국","01_01_06_P","3240000","PHMD120233240033084000011","2023-06-09","","03","폐업","03","폐업","2026-01-01","","","","070-4184-0026","","","서울특별시 강동구 성내동 244 라이저강동빌딩","서울특별시 강동구 천호대로 1116, 1층 103호 (성내동, 라이저강동빌딩)","05373","땡큐약국","2026-01-02 10:22:32","U","2026-01-04 02:40:00","","211878.097723811","448049.826281484","45.4","20230609",
"53","약국","01_01_06_P","4671000","PHMD120034670076084000008","2008-10-31","","01","영업/정상","13","영업중","","","","","063-471-8321","","573-390","전북특별자치도 군산시 지곡동 555-6","전북특별자치도 군산시 의료원로 34 (지곡동)","54104","건강일등약국","2026-01-02 13:37:03","U","2026-01-04 02:40:00","","173931.452288945","272868.990870448","172","20081031",
"54","약국","01_01_06_P","4050000","PHMD120234050149084000005","2023-05-16","","03","폐업","03","폐업","2025-12-31","","","","0312648756","","","경기도 용인시 수지구 상현동 254-9 나래빌딩","경기도 용인시 수지구 상현로 114, 나래빌딩 103호 (상현동)","16930","별빛약국","2026-01-02 16:31:35","U","2026-01-04 02:40:00","","207413.508279365","422801.305623025","36.82","20230516",
"55","약국","01_01_06_P","3330000","PHMD120163330024084000001","2020-05-01","","01","영업/정상","13","영업중","","","","","051-784-8999","","","부산광역시 해운대구 재송동 1094번지 29호","부산광역시 해운대구 해운대로 133 (재송동)","48055","소나무약국","2026-01-02 16:08:06","U","2026-01-04 02:40:00","","393154.982660292","189403.474258719","56.7","20200501",
"56","약국","01_01_06_P","4060000","PHMD120204060023084000009","2020-03-31","","01","영업/정상","13","영업중","","","","","031-947-3304","","","경기도 파주시 광탄면 용미리 327번지 3호","경기도 파주시 광탄면 혜음로 495","10955","광탄동화약국","2026-01-02 13:41:56","U","2026-01-04 02:40:00","","189379.132587449","470460.405730628","90","20200331",
"57","약국","01_01_06_P","4671000","PHMD120244671044084000002","2024-03-08","","01","영업/정상","13","영업중","","","","","063-462-0555","","","전북특별자치도 군산시 지곡동 136-1","전북특별자치도 군산시 계산로 51, 109호 (지곡동)","54106","봄봄약국","2026-01-02 14:06:01","U","2026-01-04 02:40:00","","173737.415385719","272472.463759274","88.2","20240308",
"58","약국","01_01_06_P","3740000","PHMD120163740106084000003","2016-01-26","","01","영업/정상","13","영업중","","","","","0312131442","","","","경기도 수원시 영통구 대학로 56 (이의동)","16226","광교 백두산 온누리 약국","2026-01-02 11:13:38","U","2026-01-04 02:40:00","","203939.95637886","422092.505028437","45.88","20160126",
"59","약국","01_01_06_P","5530000","PHMD120205530021084000004","2020-03-30","","01","영업/정상","13","영업중","","","","","031-302-0439","","","경기도 화성시 장지동 971번지 1호","경기도 화성시 동탄대로4길 39, 포트센트럴파크 104호 (장지동)","18506","서연센트럴약국","2026-01-02 14:50:01","U","2026-01-04 02:40:00","","209721.874407526","406673.380942227","49.5","20200330",
"60","약국","01_01_06_P","3780000","PHMD120093780064084000001","2009-01-02","","01","영업/정상","13","영업중","","","","","622-1100","","463-828","경기도 성남시분당구 야탑동 358번지 2호 아미고타워 303-1호","경기도 성남시 분당구 야탑로81번길 10, 303-1호 (야탑동, 아미고타워)","13497","21세기분당종로약국","2026-01-02 10:07:57","U","2026-01-04 02:40:00","","211279.67","434316.175","37.27","20090102",
"61","약국","01_01_06_P","3000000","PHMD120203000034084000012","2020-09-15","","01","영업/정상","13","영업중","","","","","02-763-7639","","","서울특별시 종로구 연건동 110-1 101호, 201호","서울특별시 종로구 대학로5길 35, 101호, 201호 (연건동)","03082","교회옆약국","2026-01-02 11:00:55","U","2026-01-04 02:40:00","","199988.091498626","452967.930180689","71.9","20200915",
"62","약국","01_01_06_P","3120000","PHMD120253120033084000005","2025-05-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 홍제동 82 홍제한양아파트","서울특별시 서대문구 통일로25길 30, 제상가동 제2층 201호 (홍제동, 홍제한양아파트)","03730","한양약국","2026-01-02 11:36:37","U","2026-01-04 02:40:00","","195259.429272709","453430.811542203","30.4","20250501",
"63","약국","01_01_06_P","3170000","PHMD120223170035084000005","2022-08-01","","01","영업/정상","13","영업중","","","","","02-802-8788","","","","서울특별시 금천구 시흥대로26길 9(시흥동)","08652","다보약국","2026-01-02 10:43:49","U","2026-01-04 02:40:00","","191459.522639876","437752.098773321","106.5","20220801",
"64","약국","01_01_06_P","3860000","PHMD120193860384084000015","2019-06-26","","03","폐업","03","폐업","2025-12-31","","","","070-8839-1104","","","경기도 부천시 소사구 옥길동 744번지 5호","경기도 부천시 소사구 옥길로 110-7, 1층 106호 (옥길동)","14786","서울바른약국","2026-01-02 10:46:08","U","2026-01-04 02:40:00","","184288.81369549","440524.019086913","46.08","20190626",
"65","약국","01_01_06_P","5350000","PHMD120185350029084000008","2018-06-01","","01","영업/정상","13","영업중","","","","","055-343-7277","","","경상남도 김해시 진영읍 여래리 700번지 149호","경상남도 김해시 진영읍 여래로 21, 102호","50864","진영우리약국","2026-01-02 11:36:12","U","2026-01-04 02:40:00","","357735.533516104","201931.772889841","68.1","20180601",
"66","약국","01_01_06_P","3100000","PHMD120123100034084000015","2012-08-17","","01","영업/정상","13","영업중","","","","","931-5355","","139-722","서울특별시 노원구 상계동 723번지 KT노원플라자 별관 1층","서울특별시 노원구 노해로 502, 1층 (상계동, KT노원플라자별관)","01752","좋은약국","2026-01-02 10:48:31","U","2026-01-04 02:40:00","","205550.908407551","461343.062226682","42.17","20120817",
"67","약국","01_01_06_P","3030000","PHMD120033030033084000003","2003-04-16","","03","폐업","03","폐업","2026-01-02","","","","02-2292-9231","","133-871","서울특별시 성동구 행당1동 19번지 54호","서울특별시 성동구 마조로 17 (행당동)","04760","한양약국","2026-01-02 15:12:23","U","2026-01-04 02:40:00","","203512.949927348","450799.537553394","0","20030416",
"68","약국","01_01_06_P","3010000","PHMD120083010033084000004","2008-04-25","","02","휴업","02","휴업","","2026-01-02","2026-02-28","","02-777-0505","","100-011","서울특별시 중구 충무로1가 25번지 9호","서울특별시 중구 명동8나길 49 (충무로1가)","04535","명동중앙약국","2026-01-02 11:37:29","U","2026-01-04 02:40:00","","198353.066587345","450971.489112471","34.15","20080425",
"69","약국","01_01_06_P","5570000","PHMD120185570012084000001","2018-06-08","","01","영업/정상","13","영업중","","","","","0438388757","","","충청북도 증평군 증평읍 신동리 71번지","충청북도 증평군 증평읍 역전로 53","27930","유일약국","2026-01-02 11:23:12","U","2026-01-04 02:40:00","","251815.459840351","364653.743120422","50","20180608",
"70","약국","01_01_06_P","3180000","PHMD120203180034084000020","2020-12-18","","01","영업/정상","13","영업중","","","","","02-2633-3669","","","서울특별시 영등포구 당산동6가 339-4","서울특별시 영등포구 양평로 68, DN빌딩 1층 (당산동6가)","07222","수성약국","2026-01-02 13:17:41","U","2026-01-04 02:40:00","","191046.720915509","448126.220291917","32","20201218",
"71","약국","01_01_06_P","3540000","PHMD120213540021084000001","2021-01-28","","01","영업/정상","13","영업중","","","","","070-7788-7582","","","인천광역시 부평구 부개동 496-20 태성프라자 104호","인천광역시 부평구 길주남로 157, 태성프라자 104호 (부개동)","21345","착한약국","2026-01-02 14:53:16","U","2026-01-04 02:40:00","","176882.556487961","444674.098221859","23.7","20210128",
"72","약국","01_01_06_P","3100000","PHMD120223100034084000010","2022-05-30","","03","폐업","03","폐업","2026-01-02","","","","02-931-6528","","","서울특별시 노원구 중계동 359-14 원광빌딩","서울특별시 노원구 중계로 218, 원광빌딩 1층 102호 (중계동)","01714","중계상록수약국","2026-01-02 11:27:27","U","2026-01-04 02:40:00","","206637.892930184","460946.518479375","52.5","20220530",
"73","약국","01_01_06_P","4681000","PHMD120204680066084000006","2020-04-03","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 익산시 신동 787번지 1호","전북특별자치도 익산시 익산대로68길 42 (신동)","54645","청년약국","2026-01-03 13:23:31","U","2026-01-05 02:40:00","","196138.792419718","273507.073570421","29","20200403",
"74","약국","01_01_06_P","3530000","PHMD120253530019084000009","2025-12-24","","01","영업/정상","13","영업중","","","","","032-431-4821","","","인천광역시 남동구 논현동 673-2 씨티짱","인천광역시 남동구 앵고개로934번길 5, 씨티짱 1층 112호 (논현동)","21673","늘봄약국","2026-01-05 11:17:07","I","2026-01-07 00:20:36","","176478.846172335","433338.894253817","50.43","20251224",
