"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"26","축산물운반업","07_22_25_P","4010000","401000000820240001","2024-01-16","","01","영업/정상","0000","정상","","","","","","51.66","","경기도 시흥시 배곧동 ***-*","경기도 시흥시 서울대학로 **-**, 건영테크노밸리 ***호 (배곧동)","15012","(주)제이로지스","2026-01-06 17:13:36","U","2026-01-09 02:40:00","","174108.305359555","428670.41224638","축산물운반업","","0","L00","0",
"27","축산물운반업","07_22_25_P","5350000","535000000820250001","2019-05-14","","01","영업/정상","0000","정상","","","","","3743580","151.15","","경상남도 김해시 대동면 월촌리 ****-*","경상남도 김해시 대동면 대동산단*로 **-**","51026","(주)대겸종합물류","2026-01-07 11:09:08","U","2026-01-09 02:40:00","","","","축산물운반업","","0","L00","0",
"28","축산물운반업","07_22_25_P","5530000","553000000820260001","2026-01-08","","01","영업/정상","0000","정상","","","","","02-6949-2013","40.56","","경기도 화성시 우정읍 석천리 ****-**","경기도 화성시 우정읍 석천길 **-*, *층","18572","(주)투제이비씨엘","2026-01-08 09:28:18","I","2026-01-10 00:20:07","","181563.330238771","395012.168105631","축산물운반업","","0","L00","0",
"29","축산물운반업","07_22_25_P","3550000","355000000820070001","2022-08-17","","01","영업/정상","0000","정상","","","","","5484001","20","","인천광역시 계양구 계산동 **** C동 ****호","인천광역시 계양구 계산새로 **, 하이베라스 C동 ****호 (계산동)","21060","플라이물류(주)","2026-01-08 13:19:08","U","2026-01-10 02:40:00","","176607.326609066","448516.12033842","축산물운반업","","0","L00","0",
"30","축산물운반업","07_22_25_P","3550000","355000000820150001","2015-07-10","","01","영업/정상","0000","정상","","","","","5484001","0","","인천광역시 계양구 계산동 **** C동 ****호","인천광역시 계양구 계산새로 **, 하이베라스 C동 ****호 (계산동)","21060","광천물류(주)","2026-01-08 13:05:51","U","2026-01-10 02:40:00","","176607.326609066","448516.12033842","축산물운반업","","0","L00","0",
"31","축산물운반업","07_22_25_P","4010000","401000000820230008","2021-07-28","","01","영업/정상","0000","정상","","","","","","144.13","","경기도 시흥시 은행동 ***","경기도 시흥시 은계로 ***, 우평 라비엔빌딩 ***호 (은행동)","14923","(주)오스틴로지스","2026-01-08 08:02:17","U","2026-01-10 02:40:00","","182509.841143539","438098.221788795","축산물운반업","","0","L00","0",
"32","축산물운반업","07_22_25_P","5600000","560000000820210001","2021-08-03","","01","영업/정상","0000","정상","","","","","","0","","경기도 포천시 영중면 거사리 ***","경기도 포천시 영중면 금화봉길 ***-*","11130","(주)인터로지스","2026-01-09 15:33:14","U","2026-01-11 02:40:00","","219942.260371752","496338.770532326","축산물운반업","","0","L00","0",
"33","축산물운반업","07_22_25_P","4490000","565000000820200007","2020-12-14","","01","영업/정상","0000","정상","","","","","","0","","충청남도 천안시 동남구 봉명동 **-*","충청남도 천안시 동남구 봉정로 **-*, 한샘독서실 (봉명동)","31152","(주) 아시아 물류","2026-01-09 14:42:47","U","2026-01-11 02:40:00","","212401.580864909","367065.499496442","축산물운반업","","0","L00","0",
"34","축산물운반업","07_22_25_P","3600000","360000000820220001","2022-06-17","","01","영업/정상","0000","정상","","","","","","65.94","","광주광역시 서구 쌍촌동 ***-*","광주광역시 서구 월드컵*강로***번길 **, *,*층 (쌍촌동)","61967","(주)햇살냉동물류","2026-01-09 09:22:12","U","2026-01-11 02:40:00","","187862.687703552","184044.597221855","축산물운반업","","0","L00","0",
"35","축산물운반업","07_22_25_P","4060000","406000000820260001","2026-01-12","","01","영업/정상","0000","정상","","","","","","0","","경기도 파주시 목동동 **** 운정신도시 센트럴 푸르지오","경기도 파주시 심학산로 ***, ****동 ****호 (목동동, 운정신도시 센트럴 푸르지오)","10891","성지운송","2026-01-12 17:02:39","I","2026-01-14 00:20:02","","176505.409935414","468566.751923343","축산물운반업","","0","000","0",
"36","축산물운반업","07_22_25_P","3210000","321000000820090002","2009-05-08","","01","영업/정상","0000","정상","","","","","","16.15","","서울특별시 서초구 서초동 ****-**","서울특별시 서초구 서운로 *, ***호 (서초동, 신동아빌딩)","06733","코원물류(주)","2026-01-12 17:30:32","U","2026-01-14 02:40:00","","202532.757721611","442501.159761944","축산물운반업","","0","L00","0",
"37","축산물운반업","07_22_25_P","5530000","553000000820240003","2018-01-31","","01","영업/정상","0000","정상","","","","","","33.98","","경기도 화성시 병점동 ***-*","경기도 화성시 효행로 ****, 이타운* ***호 (병점동)","18405","(주)원물류","2026-01-12 11:31:37","U","2026-01-14 02:40:00","","203760.122353984","412497.212229325","축산물운반업","","0","L00","0",
"38","축산물운반업","07_22_25_P","4090000","409000000820040003","2004-09-22","","03","폐업","0002","폐업","2026-01-09","","","","031-982-1421","0","","경기도 김포시 북변동 ***-*","경기도 김포시 중봉*로 ** (북변동)","10106","김포축협축산물직거래판매장","2026-01-12 14:34:47","U","2026-01-14 02:40:00","","173994.681039417","458377.549273937","축산물운반업","","0","L00","0",
"39","축산물운반업","07_22_25_P","5130000","513000000820250001","2025-07-30","","01","영업/정상","0000","정상","","","","","","0","","경상북도 경산시 진량읍 신상리 ****-*","경상북도 경산시 진량읍 대학로 ****","38486","주식회사 우리물류","2026-01-12 09:30:33","U","2026-01-14 02:40:00","","363605.191938231","265518.38120567","축산물운반업","","0","L00","0",
"40","축산물운반업","07_22_25_P","4040000","404000000820220003","2022-09-15","","03","폐업","0002","폐업","2026-01-09","","","","","0","","경기도 하남시 신장동 *** ***동 ****호","경기도 하남시 하남유니온로 **, ***동 ****호 (신장동, 하남 호반 써밋 에듀파크)","12948","와이에스 컴퍼니","2026-01-12 09:24:57","U","2026-01-14 02:40:00","","218571.00143785","449237.121436922","축산물운반업","","0","000","0",
"41","축산물운반업","07_22_25_P","3630000","363000000820130009","2013-08-05","","01","영업/정상","0000","정상","","","","","","398.09","","광주광역시 광산구 하남동 ****","광주광역시 광산구 하남대로 **, *층 (하남동)","62232","삼성웰스토리(주) 호남사무소","2026-01-13 14:19:31","U","2026-01-15 02:40:00","","181831.138972969","186840.783088031","축산물운반업","","0","L00","0",
"42","축산물운반업","07_22_25_P","4050000","563000000820080008","2008-08-29","","01","영업/정상","0000","정상","","","","","2834007","30.4","","경기도 용인시 기흥구 농서동 **-*","경기도 용인시 기흥구 농서로 **, *층 (농서동)","17113","(주)에이치케이물류","2026-01-13 15:25:40","U","2026-01-15 02:40:00","","208093.054735239","413394.457541814","축산물운반업","","0","L00","0",
"43","축산물운반업","07_22_25_P","4050000","562000000820060002","2006-10-27","","01","영업/정상","0000","정상","","","","","","39.6","","경기도 용인시 처인구 이동읍 천리 ***","경기도 용인시 처인구 이동읍 백옥대로 ***-**, *층","17128","주식회사 대산물류","2026-01-14 17:50:29","U","2026-01-16 02:40:00","","218378.130593297","410544.514821486","축산물운반업","","0","L00","0",
"44","축산물운반업","07_22_25_P","6510000","651000000820120001","2012-04-24","","03","폐업","0002","폐업","2026-01-14","","","","","0","","제주특별자치도 제주시 도련일동 ****-* ***호","제주특별자치도 제주시 번영로 ***, ***호 (도련일동)","63328","(주)신영물류","2026-01-14 16:35:53","U","2026-01-16 02:40:00","","160907.592473861","322.53143824239","축산물운반업","","0","L00","0",
"45","축산물운반업","07_22_25_P","3780000","378000000820160006","2016-11-02","","03","폐업","0002","폐업","2026-01-14","","","","031-759-7444","51","","경기도 성남시 수정구 창곡동 ***","경기도 성남시 수정구 위례광장로 **-*, ***호 (창곡동, 아이페리온)","13646","장안로지스 주식회사","2026-01-14 10:44:38","U","2026-01-16 02:40:00","","212355.507064265","440400.141858706","축산물운반업","","0","L00","0",
"46","축산물운반업","07_22_25_P","4201000","420100000820260001","2023-09-07","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 강릉시 교동 **** 강릉역 경남아너스빌 더 센트로","강원특별자치도 강릉시 명륜로 **, ***동 *층 ***호 (교동, 강릉역 경남아너스빌 더 센트로)","25489","진체로지스","2026-01-15 15:59:10","I","2026-01-17 00:20:02","","","","축산물운반업","","0","000","0",
"47","축산물운반업","07_22_25_P","6510000","651000000820260002","2026-01-15","","01","영업/정상","0000","정상","","","","","","99","","제주특별자치도 제주시 용담이동 ****-*","제주특별자치도 제주시 다호길 *** (용담이동)","63116","(주)오양항공해운화물","2026-01-15 09:59:52","I","2026-01-17 00:20:02","","152774.554834921","713.597825976218","축산물운반업","","0","L00","0",
"48","축산물운반업","07_22_25_P","6510000","651000000820260003","2026-01-15","","01","영업/정상","0000","정상","","","","","","99","","제주특별자치도 제주시 용담이동 ****-*","제주특별자치도 제주시 다호길 ***, 가동 (용담이동)","63116","(주)에스지로지스틱스","2026-01-15 10:20:32","I","2026-01-17 00:20:02","","152774.554834921","713.597825976218","축산물운반업","","0","L00","0",
"49","축산물운반업","07_22_25_P","3210000","321000000820260001","2026-01-15","","01","영업/정상","0000","정상","","","","","02-6954-0050","311.39","","서울특별시 서초구 서초동 ****-* 서희타워","서울특별시 서초구 남부순환로 ****, 서희타워 **층 (서초동)","06735","(주)국민트랜스","2026-01-15 14:59:01","I","2026-01-17 00:20:02","","202840.110302605","442524.346651187","축산물운반업","","0","L00","0",
"50","축산물운반업","07_22_25_P","6510000","651000000820260001","2026-01-15","","01","영업/정상","0000","정상","","","","","","0","","제주특별자치도 제주시 한림읍 대림리 **** 한림주공아파트","제주특별자치도 제주시 한림읍 대림*길 **, ***동 ***호 (한림주공아파트)","63030","개별화물","2026-01-15 09:41:18","I","2026-01-17 00:20:02","","131670.586047053","-8297.82665835258","축산물운반업","","0","000","0",
"51","축산물운반업","07_22_25_P","5220000","522000000820050001","2018-02-19","","01","영업/정상","0000","정상","","","","","0549790784","1517.61","","경상북도 칠곡군 왜관읍 삼청리 ***-**","경상북도 칠곡군 왜관읍 삼청*길 **","39907","삼성웰스토리(주)","2026-01-15 22:06:39","U","2026-01-17 02:40:00","","328276.496532236","276367.251248343","축산물운반업","","0","L00","0",
"52","축산물운반업","07_22_25_P","4050000","405000000820030003","2003-03-26","","01","영업/정상","0000","정상","","","","","80080446","475","","경기도 용인시 기흥구 마북동 ***-*","경기도 용인시 기흥구 용구대로 ****-* (마북동,*필지)","","삼성웰스토리(주)","2026-01-15 10:59:58","U","2026-01-17 02:40:00","","209415.042863053","422266.888883951","축산물운반업","","0","L00","0",
"53","축산물운반업","07_22_25_P","3910000","391000000820230002","2023-03-30","","01","영업/정상","0000","정상","","","","","316361580","42","","경기도 평택시 지산동 ***-*","경기도 평택시 지산로 ***, *층 (지산동)","17727","(주)동승로지스","2026-01-15 14:56:01","U","2026-01-17 02:40:00","","206144.367446048","397720.181999289","축산물운반업","","0","L00","0",
