"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"11","당구장업","10_32_01_P","3170000","CDFH3301082005000001","2005-03-11","","01","영업/정상","13","영업중","","","","","","","153-858","서울특별시 금천구 시흥동 891-1","서울특별시 금천구 시흥대로52길 18 (시흥동)","153-858","우리당구클럽","2025-12-31 12:32:35","U","2026-01-03 02:40:00","","191310.966247195","438904.667012202","당구장업","사립","","","","174","","","",
"12","당구장업","10_32_01_P","3050000","CDFH3301082011000008","2011-06-13","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","","서울특별시 동대문구 장안동 105-7","서울특별시 동대문구 답십리로63길 131, 지하 1층 (장안동)","02525","LEE당구장","2025-12-31 20:54:05","U","2026-01-03 02:40:00","","206053.893645521","452913.215773137","당구장업","사립","","0","0","556.05","0","","",
"13","당구장업","10_32_01_P","3050000","CDFH3301082012000008","2012-11-15","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","496-8774","","","서울특별시 동대문구 장안동 464-7","서울특별시 동대문구 천호대로 425, 2층 (장안동)","02645","M클럽당구장","2025-12-31 20:52:56","U","2026-01-03 02:40:00","","205802.937737065","451059.346901649","당구장업","사립","","0","0","0","0","","",
"14","당구장업","10_32_01_P","3050000","CDFH3301082004000022","2004-10-12","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","","서울특별시 동대문구 전농동 103-292","서울특별시 동대문구 전농로 231, 2층 (전농동)","02556","학사 당구클럽","2025-12-31 20:57:11","U","2026-01-03 02:40:00","","204573.260557681","453580.091918829","당구장업","사립","","0","0","0","0","","",
"15","당구장업","10_32_01_P","3050000","CDFH3301081991000001","1991-12-02","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","969-4443","","","서울특별시 동대문구 이문동 256-371","서울특별시 동대문구 이문로 186, 지하 1층 (이문동)","02406","로타리","2025-12-31 20:49:19","U","2026-01-03 02:40:00","","205430.630884678","455651.759148378","당구장업","사립","","0","0","0","0","","",
"16","당구장업","10_32_01_P","3440000","CDFH3301082022000001","2022-07-01","","01","영업/정상","13","영업중","","","","","","","","대구광역시 남구 대명동 1795-8","대구광역시 남구 명덕로40길 97-4 (대명동)","42416","교대당구장","2025-12-31 10:48:34","U","2026-01-03 02:40:00","","343564.780276255","262520.800196285","당구장업","사립","","0","0","0","0","","",
"17","당구장업","10_32_01_P","4530000","CDFH3301082014000001","2014-03-12","","03","폐업","03","폐업","2025-12-30","","","","","","","충청남도 서산시 예천동 1256-2","충청남도 서산시 호수공원8로 4-16, 3층 (예천동)","31989","굿 당구클럽","2025-12-31 13:49:20","U","2026-01-03 02:40:00","","150953.106979239","363741.226274565","당구장업","사립","","0","1","1717.82","0","","",
"18","당구장업","10_32_01_P","3050000","CDFH3301082014000004","2014-06-25","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","130-859","서울특별시 동대문구 전농동 647-1","서울특별시 동대문구 서울시립대로 36 (전농동)","02594","조이당구장","2025-12-31 20:57:57","U","2026-01-03 02:40:00","","204082.111844228","452472.990548179","당구장업","사립","Y","0","1","19804.64","0","","",
"19","당구장업","10_32_01_P","3050000","CDFH3301082009000025","2009-10-28","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","3394-6604","","","서울특별시 동대문구 장안동 363-1","서울특별시 동대문구 장한로 76, 2층 (장안동)","02640","W당구클럽","2025-12-31 20:55:57","U","2026-01-03 02:40:00","","206024.581400212","451697.932743893","당구장업","사립","","0","0","0","0","","",
"20","당구장업","10_32_01_P","3160000","CDFH3301082004000012","2004-10-07","","03","폐업","03","폐업","2025-12-31","","","","2689-7773","","152-827","서울특별시 구로구 고척동 94-7","서울특별시 구로구 경서로 12  (고척동)","08226","나이스당구장","2025-12-31 16:56:10","U","2026-01-03 02:40:00","","187285.388011331","444038.349775131","당구장업","사립","","0","0","0","0","","",
"21","당구장업","10_32_01_P","3050000","CDFH3301082001000012","2001-03-28","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","02-2213-0110","","","서울특별시 동대문구 장안동 414-4","서울특별시 동대문구 천호대로 377 (장안동)","02633","팡팡당구크럽","2025-12-31 20:51:55","U","2026-01-03 02:40:00","","205320.396297203","451122.642371749","당구장업","사립","","0","0","0","0","","",
"22","당구장업","10_32_01_P","5540000","CDFH3301082026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 중대동 28-52","경기도 광주시 고불로 7, 3층 (중대동)","12768","장지당구장","2026-01-02 15:48:45","I","2026-01-04 00:20:12","","220685.51888827","432672.583246162","당구장업","사립","","0","0","0","0","","",
"23","당구장업","10_32_01_P","4050000","CDFH3301082026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 중동 845-6 새롬프라자","경기도 용인시 기흥구 동백3로11번길 33, 새롬프라자 201호,202호 (중동)","17006","용인 당구 아카데미","2026-01-02 10:56:55","I","2026-01-04 00:20:12","","213342.743030201","418843.806151861","당구장업","사립","","0","0","0","0","","",
"24","당구장업","10_32_01_P","3710000","CDFH3301082017000003","2017-03-29","","01","영업/정상","13","영업중","","","","","","","","","울산광역시 동구 옥류로 46-1, 2층 (동부동)","44006","JUN Billiards Club","2026-01-02 16:07:26","U","2026-01-04 02:40:00","","419985.093370531","229728.971559463","당구장업","사립","","","","","","","",
"25","당구장업","10_32_01_P","3930000","CDFH3301082015000016","2015-06-29","","03","폐업","03","폐업","2026-01-02","","","","031-416-3999","","426-815","경기도 안산시 상록구 본오동 873-1","경기도 안산시 상록구 용신로 382, 401호,402호 (본오동)","15537","M당구장","2026-01-02 13:04:31","U","2026-01-04 02:40:00","","187901.950208148","422168.549526209","당구장업","사립","","0","0","0","0","","",
"26","당구장업","10_32_01_P","5710000","CDFH3301082015000001","2015-01-15","","03","폐업","03","폐업","2026-01-02","","","","","","361-302","충청북도 청주시 흥덕구 봉명동 1728","충청북도 청주시 흥덕구 과상미로 29, 2층 (봉명동)","28452","에이스 당구장","2026-01-02 14:21:00","U","2026-01-04 02:40:00","","241217.693934088","349369.599049143","당구장업","사립","","0","0","465.76","0","","",
"27","당구장업","10_32_01_P","3740000","CDFH3301082007000058","2007-11-23","","01","영업/정상","13","영업중","","","","","202-4727","","440-823","경기도 수원시 장안구 영화동 449-9","경기도 수원시 장안구 영화로50번길 31 (영화동)","16271","락당구장","2026-01-02 10:56:23","U","2026-01-04 02:40:00","","200756.621462263","421128.829078616","당구장업","사립","","0","0","0","0","","",
"28","당구장업","10_32_01_P","3740000","CDFH3301082026000001","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 권선구 호매실동 1398-1","경기도 수원시 권선구 호매실로90번길 83, 304,305호 (호매실동)","16630","큐 당구장","2026-01-05 13:33:14","I","2026-01-07 00:20:36","","196700.291214161","417471.102546348","당구장업","사립","","0","0","0","0","","",
"29","당구장업","10_32_01_P","3630000","CDFH3301082017000011","2017-07-25","","01","영업/정상","13","영업중","","","","","062-973-1188","","","","광주광역시 광산구 첨단중앙로182번길 24-12, 4층 (쌍암동, 공원빌딩)","62274","공원당구클럽","2026-01-05 17:20:05","U","2026-01-07 02:40:00","","185697.916289387","191300.254116068","당구장업","사립","","0","0","0","0","","",
"30","당구장업","10_32_01_P","5600000","CDFH3301082015000003","2015-04-17","","01","영업/정상","13","영업중","","","","","031-534-5988","","","경기도 포천시 영북면 운천리 506-8","경기도 포천시 영북면 운천로9번길 5-1, 2층","11106","큐박스(Q-BOX) 당구장","2026-01-05 11:42:01","U","2026-01-07 02:40:00","","223931.153776859","509843.832625151","당구장업","사립","","0","0","0","0","","",
"31","당구장업","10_32_01_P","4170000","CDFH3301082016000002","2016-10-24","","01","영업/정상","13","영업중","","","","","031-774-4939","","","경기도 양평군 양평읍 양근리 293-2","경기도 양평군 양평읍 양근로 206","12555","큐당구장","2026-01-05 10:53:05","U","2026-01-07 02:40:00","","243419.083668398","443059.614703103","당구장업","사립","","0","0","323.42","0","","",
"32","당구장업","10_32_01_P","4170000","CDFH3301082017000002","2017-12-11","","01","영업/정상","13","영업중","","","","","031-774-0903","","","경기도 양평군 용문면 다문리 325-9","경기도 양평군 용문면 용문시장3길 9, 2층","12523","용문 VIP 당구장","2026-01-05 10:53:34","U","2026-01-07 02:40:00","","252539.42213152","442677.19323725","당구장업","사립","","0","0","0","0","","",
"33","당구장업","10_32_01_P","4170000","CDFH3301081988000001","1988-11-18","","01","영업/정상","13","영업중","","","","","031-771-2264","","","경기도 양평군 양평읍 양근리 355-3","경기도 양평군 양평읍 시민로 7","12556","예림당구장","2026-01-05 10:50:26","U","2026-01-07 02:40:00","","243502.235331923","443139.65981684","당구장업","사립","","0","0","0","0","","",
"34","당구장업","10_32_01_P","4170000","CDFH3301081999000002","1999-02-25","","01","영업/정상","13","영업중","","","","","031-774-9024","","476-802","경기도 양평군 양평읍 양근리 351-4","경기도 양평군 양평읍 양평시장길17번길 12","","대명당구장","2026-01-05 10:51:05","U","2026-01-07 02:40:00","","243357.493059315","443170.051415319","당구장업","사립","","0","0","0","0","","",
"35","당구장업","10_32_01_P","4170000","CDFH3301082000000001","2000-01-05","","01","영업/정상","13","영업중","","","","","031-772-6962","","476-802","경기도 양평군 양평읍 양근리 176-7","경기도 양평군 양평읍 시민로39번길 4","","고수당구장","2026-01-05 10:51:34","U","2026-01-07 02:40:00","","243812.179785447","443284.308317339","당구장업","사립","","0","0","0","0","","",
"36","당구장업","10_32_01_P","4170000","CDFH3301082008000005","2008-08-18","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 용문면 다문리 736-5 용일빌딩","경기도 양평군 용문면 용문역길 16, 용일빌딩 4층","12520","코코당구장","2026-01-05 10:52:31","U","2026-01-07 02:40:00","","252456.427108709","442472.902830032","당구장업","사립","","0","0","0","0","","",
"37","당구장업","10_32_01_P","3600000","CDFH3301082001000004","2001-04-16","","01","영업/정상","13","영업중","","","","","","","502-855","광주광역시 서구 쌍촌동 1222-2 2층","광주광역시 서구 쌍학로 2, 2층 (쌍촌동)","61994","당구 한게임","2026-01-05 13:42:31","U","2026-01-07 02:40:00","","187661.66567167","183010.810546537","당구장업","사립","","","","","","","",
"38","당구장업","10_32_01_P","4181000","CDFH3301082003000005","2003-04-09","","01","영업/정상","13","영업중","","","","","033-262-8239","","","강원특별자치도 춘천시 석사동 799-1 2층","강원특별자치도 춘천시 퇴계로 184, 2층 (석사동)","24378","두루당구클럽","2026-01-05 08:53:52","U","2026-01-07 02:40:00","","264973.305700463","484113.291018839","당구장업","사립","","0","0","0","0","","",
"39","당구장업","10_32_01_P","4810000","CDFH3301082006000004","2006-05-08","","01","영업/정상","13","영업중","","","","","663-4939","","","전라남도 여수시 공화동 1051","전라남도 여수시 동문로 101 (공화동)","59726","한큐당구클럽","2026-01-05 16:07:04","U","2026-01-07 02:40:00","","267902.956889085","138822.032627142","당구장업","사립","","","","952.84","","","",
"40","당구장업","10_32_01_P","3620000","CDFH3301082004000016","2004-04-02","","01","영업/정상","13","영업중","","","","","265-6925","","500-822","광주광역시 북구 문흥동 996-5 (4층)","광주광역시 북구 대천로 140-7  (문흥동,(4층))","","파워당구장","2026-01-05 14:51:59","U","2026-01-07 02:40:00","","192825.183061811","187493.775619405","당구장업","사립","0","","","","","","",
"41","당구장업","10_32_01_P","3930000","CDFH3301082006000020","2006-06-13","","01","영업/정상","13","영업중","","","","","031-409-1575","","","경기도 안산시 상록구 본오동 805-14 3층","경기도 안산시 상록구 반석로 79, 3층 (본오동)","15536","Q당구클럽","2026-01-05 16:32:09","U","2026-01-07 02:40:00","","188276.009236028","421653.477568891","당구장업","사립","","0","0","0","0","","",
"42","당구장업","10_32_01_P","5020000","CDFH3301082009000020","2009-05-28","","01","영업/정상","13","영업중","","","","","054-277-6374","","","경상북도 포항시 북구 흥해읍 학천리 430 베스트프라자 4층 402호","경상북도 포항시 북구 흥해읍 도음로877번길 8, 4층 402호","37562","베스트당구클럽","2026-01-05 11:23:58","U","2026-01-07 02:40:00","","409862.261039675","289061.765495562","당구장업","사립","","0","0","4197.8","0","","",
"43","당구장업","10_32_01_P","4170000","CDFH3301082020000001","2020-03-18","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 서종면 문호리 352-1","경기도 양평군 서종면 무내미길 34","12503","서종당구장","2026-01-05 10:54:05","U","2026-01-07 02:40:00","","231061.556251995","455639.892819792","당구장업","사립","","0","0","0","0","","",
"44","당구장업","10_32_01_P","4170000","CDFH3301082021000004","2021-11-09","","01","영업/정상","13","영업중","","","","","031-774-9712","","","경기도 양평군 옥천면 옥천리 594-1","경기도 양평군 옥천면 고읍로 193, 2층","12507","옥천당구장","2026-01-05 10:55:02","U","2026-01-07 02:40:00","","240842.289639603","446790.71572586","당구장업","사립","","0","0","0","0","","",
"45","당구장업","10_32_01_P","3980000","CDFH3301082025000001","2025-11-28","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 수택동 527-5","경기도 구리시 경춘로242번길 21, 2층 (수택동)","11929","청백당구장","2026-01-05 13:45:04","U","2026-01-07 02:40:00","","212583.998598689","455396.965087419","당구장업","사립","","0","0","0","0","","",
"46","당구장업","10_32_01_P","4170000","CDFH3301082023000001","2023-03-14","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 양평읍 양근리 263-3","경기도 양평군 양평읍 양평대교길 3, 지하1층","12562","최고당구장","2026-01-05 10:55:26","U","2026-01-07 02:40:00","","243444.863735296","442927.499053681","당구장업","사립","","0","0","0","0","","",
"47","당구장업","10_32_01_P","5670000","CDFH3301082017000010","2017-04-13","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 창동 173 5층","경상남도 창원시 마산합포구 창동거리길 55, 5층 (창동)","51729","월드당구클럽","2026-01-05 13:00:22","U","2026-01-07 02:40:00","","343385.781809712","190683.72354637","당구장업","사립","","0","0","0","0","","",
"48","당구장업","10_32_01_P","4170000","CDFH3301082020000002","2020-10-06","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 단월면 보룡리 342-20","경기도 양평군 단월면 보룡길 66","12529","히트 당구장","2026-01-05 10:54:30","U","2026-01-07 02:40:00","","259490.957274241","448793.224632921","당구장업","사립","","0","0","122.45","0","","",
"49","당구장업","10_32_01_P","5710000","CDFH3301082002000008","2002-10-04","","01","영업/정상","13","영업중","","","","","236-5677","","361-815","충청북도 청주시 흥덕구 복대동 2865-0","충청북도 청주시 흥덕구 진재로15번길 23 (복대동)","","3-4 당구장","2026-01-05 16:08:12","U","2026-01-07 02:40:00","","238270.581824514","347956.828461226","당구장업","사립","","","","206","","","",
"50","당구장업","10_32_01_P","3820000","CDFH3301082018000012","2018-10-05","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 호원동 442-3","경기도 의정부시 평화로 274, 4층 (호원동)","11709","블루당구클럽","2026-01-05 15:44:07","U","2026-01-07 02:40:00","","204120.155334533","468214.636086157","당구장업","사립","","0","0","0","0","","",
"51","당구장업","10_32_01_P","4170000","CDFH3301082005000002","2005-07-01","","01","영업/정상","13","영업중","","","","","775-2040","","","경기도 양평군 양평읍 양근리 422-2","경기도 양평군 양평읍 양근로 167","12556","태강당구장","2026-01-05 10:51:59","U","2026-01-07 02:40:00","","243187.998969245","443328.26910635","당구장업","사립","","0","0","0","0","","",
"52","당구장업","10_32_01_P","3180000","CDFH3301082026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 대림동 856-8","서울특별시 영등포구 디지털로 407, 2층 (대림동)","07429","행운당구장","2026-01-06 16:05:48","I","2026-01-09 00:20:01","","191410.5801213","443428.370177829","당구장업","사립","","0","0","0","0","","",
"53","당구장업","10_32_01_P","4530000","CDFH3301082026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","충청남도 서산시 예천동 1256-2 3층","충청남도 서산시 호수공원8로 4-16, 3층 (예천동)","31989","굿 당구장","2026-01-06 10:16:47","I","2026-01-09 00:20:01","","150953.106979239","363741.226274565","당구장업","사립","","0","0","1717.82","0","","",
"54","당구장업","10_32_01_P","5370000","CDFH3301082026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 장평동 45-14","경상남도 거제시 장평3로4길 33, 2층 (장평동)","53268","PHANH BILLIARDS CLUB","2026-01-06 11:11:24","I","2026-01-09 00:20:01","","347339.388432368","155846.163649218","당구장업","사립","","0","0","0","0","","",
"55","당구장업","10_32_01_P","4000000","CDFH3301082014000006","2014-10-13","","01","영업/정상","13","영업중","","","","","","","447-140","경기도 오산시 궐동 683-5","경기도 오산시 대호로71번길 28, 1동 3층 301호 (궐동)","18123","SBS 당구장","2026-01-07 10:11:35","U","2026-01-09 02:40:00","","204685.341129679","406281.650289366","당구장업","사립","","0","1","0","0","","",
"56","당구장업","10_32_01_P","5060000","CDFH3301082013000001","2013-02-26","","01","영업/정상","13","영업중","","","","","","","","경상북도 김천시 지좌동 440-103","경상북도 김천시 지좌길 1, 2층 (지좌동)","39647","스포츠당구장","2026-01-07 09:55:16","U","2026-01-09 02:40:00","","302918.277839168","291584.802936082","당구장업","사립","","","1","305.09","","","",
"57","당구장업","10_32_01_P","4830000","CDFH3301081998000007","1998-07-21","","03","폐업","03","폐업","2026-01-06","","","","061-331-4006","","520-855","전라남도 나주시 봉황면 죽석리 262","","","봉봉당구장","2026-01-06 16:42:25","U","2026-01-09 02:40:00","","181162.203161888","163255.620191475","당구장업","사립","","0","0","65","0","","",
"58","당구장업","10_32_01_P","4830000","CDFH3301081998000008","1998-07-21","","03","폐업","03","폐업","2026-01-06","","","","061-333-3349","","520-180","전라남도 나주시 대호동 49-6","전라남도 나주시 건재로 176-5 (대호동)","","개미와베짱이","2026-01-06 16:08:23","U","2026-01-09 02:40:00","","174484.890037546","172324.944619504","당구장업","사립","","0","0","303.44","0","","",
"59","당구장업","10_32_01_P","4830000","CDFH3301081999000002","1999-10-05","","03","폐업","03","폐업","2026-01-06","","","","061-332-9628","","520-180","전라남도 나주시 대호동 289-9","전라남도 나주시 노안삼도로 34 (대호동)","","무등당구장","2026-01-06 16:16:52","U","2026-01-09 02:40:00","","174497.248517278","172754.060361445","당구장업","사립","","0","0","136.08","0","","",
"60","당구장업","10_32_01_P","4830000","CDFH3301081999000003","1999-10-29","","03","폐업","03","폐업","2026-01-06","","","","061-336-8330","","520-813","전라남도 나주시 노안면 금동리 219-4","전라남도 나주시 노안면 금산로 25","","금성당구장","2026-01-06 16:07:59","U","2026-01-09 02:40:00","","175347.349239638","175327.663537645","당구장업","사립","","0","0","87.75","0","","",
"61","당구장업","10_32_01_P","4830000","CDFH3301081998000006","1998-05-02","","03","폐업","03","폐업","2026-01-06","","","","061-333-0586","","520-130","전라남도 나주시 송월동 680-1","전라남도 나주시 나주로 83-16 (송월동)","","대원당구장","2026-01-06 17:10:37","U","2026-01-09 02:40:00","","173951.518521448","169750.424702047","당구장업","사립","","0","0","134.34","0","","",
"62","당구장업","10_32_01_P","4830000","CDFH3301082015000002","2015-06-22","","03","폐업","03","폐업","2026-01-06","","","","","","520-350","전라남도 나주시 빛가람동 190-2 골든프라자 401호","전라남도 나주시 상야1길 12, 3층 401호 (빛가람동, 골든프라자)","58217","수 당구장","2026-01-06 16:05:10","U","2026-01-09 02:40:00","","180433.405","169252.465","당구장업","사립","","0","0","0","0","","",
"63","당구장업","10_32_01_P","4830000","CDFH3301082002000007","2002-04-29","","03","폐업","03","폐업","2026-01-06","","","","061-333-7052","","520-180","전라남도 나주시 대호동 727","전라남도 나주시 정렬사길 25-2 (대호동)","","포커스당구클럽","2026-01-06 16:23:22","U","2026-01-09 02:40:00","","173741.462207177","171724.624875331","당구장업","사립","","0","0","118.95","0","","",
"64","당구장업","10_32_01_P","4800000","CDFH3301082018000001","2018-01-19","","01","영업/정상","13","영업중","","","","","","","","전라남도 목포시 산정동 1807-6 3층","전라남도 목포시 죽교천로122번길 5, 3층 (산정동)","58715","다마당구클럽","2026-01-07 14:02:34","U","2026-01-09 02:40:00","","142241.437613861","145076.028261312","당구장업","사립","","","","","","","",
"65","당구장업","10_32_01_P","4830000","CDFH3301082002000002","2002-10-22","","03","폐업","03","폐업","2026-01-06","","","","061-332-0856","","520-180","전라남도 나주시 대호동 311-5","전라남도 나주시 노안삼도로 8 (대호동)","","에이스당구장","2026-01-06 16:18:00","U","2026-01-09 02:40:00","","174517.970417044","172481.848187103","당구장업","사립","","0","0","259.72","0","","",
"66","당구장업","10_32_01_P","4830000","CDFH3301081993000001","1993-06-30","","03","폐업","03","폐업","2026-01-06","","","","061-332-3830","","520-110","전라남도 나주시 금성동 1-4","전라남도 나주시 나주로 142-6 (금성동)","","럭키당구장","2026-01-06 16:12:05","U","2026-01-09 02:40:00","","174129.361225324","170299.479340327","당구장업","사립","","0","0","232.26","0","","",
"67","당구장업","10_32_01_P","4830000","CDFH3301082010000002","2010-08-04","","03","폐업","03","폐업","2026-01-06","","","","","","520-932","전라남도 나주시 다시면 영동리 888-5","전라남도 나주시 다시면 다시로 188","","까치당구장","2026-01-06 16:38:31","U","2026-01-09 02:40:00","","166882.256728942","168746.222877682","당구장업","사립","","0","1","212.52","0","","",
"68","당구장업","10_32_01_P","4830000","CDFH3301082011000001","2011-03-26","","03","폐업","03","폐업","2026-01-06","","","","336-7008","","520-220","전라남도 나주시 이창동 506-4","전라남도 나주시 이창1길 38 (이창동)","","빛가람당구장","2026-01-06 16:33:15","U","2026-01-09 02:40:00","","173504.531203689","166464.869976339","당구장업","사립","","0","0","482","0","","",
"69","당구장업","10_32_01_P","4830000","CDFH3301082015000003","2015-06-22","","03","폐업","03","폐업","2026-01-06","","","","","","520-350","전라남도 나주시 빛가람동 189-1","전라남도 나주시 전력로 6, 3층 308호 (빛가람동, 영신펠리시티S 단지상가)","58217","펠리시티 당구장","2026-01-06 16:05:38","U","2026-01-09 02:40:00","","180339.370746856","169249.912525456","당구장업","사립","","0","0","0","0","","",
"70","당구장업","10_32_01_P","4830000","CDFH3301082016000001","2016-02-01","","03","폐업","03","폐업","2026-01-06","","","","","","","전라남도 나주시 대호동 1028-1","전라남도 나주시 대호길 93 (대호동)","58244","대방 당구장","2026-01-06 16:21:34","U","2026-01-09 02:40:00","","174018.444678521","171582.552346674","당구장업","사립","","0","4","684.64","0","","",
"71","당구장업","10_32_01_P","4830000","CDFH3301082011000002","2011-03-27","","03","폐업","03","폐업","2026-01-06","","","","","","520-100","전라남도 나주시 남외동 50","전라남도 나주시 남고문로 86 (남외동)","","큐당구장","2026-01-06 16:16:10","U","2026-01-09 02:40:00","","174393.311988484","170054.072441654","당구장업","사립","","0","0","0","0","","",
