"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"15","쓰레기종량제봉투판매업","09_30_13_P","3130000","313000014201400017","2014-10-13","","01","영업/정상","11","영업","","","","","","","121-810","서울특별시 마포구 대흥동 337-10","서울특별시 마포구 큰우물로 3 (대흥동)","121-810","롯데쇼핑 (주)롯데슈퍼마포대흥점","2025-12-31 09:23:49","U","2026-01-03 02:40:00","","194648.759340948","449239.314703653","지정","서울특별시 마포구 대흥동 337번지 10호","20141013","20170424","관급봉투",
"16","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201400031","2014-08-14","","01","영업/정상","11","영업","","","","","033-764-1148","","","","강원특별자치도 원주시 치악로 1781 (개운동)","26442","롯데쇼핑 (주) 롯데슈퍼 원주점","2026-01-02 10:51:16","U","2026-01-04 02:40:00","","284548.772950682","427027.162385187","지정","","","","관급봉투",
"17","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014201600045","2016-12-13","","03","폐업","2","폐업","2026-01-02","","","","033-764-8907","","","","강원특별자치도 원주시 남원로606번길 16, 102호 (개운동, 원주개운3단지엘에이치아파트 상가동)","26446","씨유 원주개운주공점","2026-01-02 15:53:02","U","2026-01-04 02:40:00","","284368.130714596","426527.899169035","지정","","20161213","20161213","관급봉투",
"18","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014201800011","2018-10-10","","01","영업/정상","11","영업","","","","","0516782212","","","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","롯데쇼핑(주)광복점","2026-01-02 13:19:55","U","2026-01-04 02:40:00","","385590.814676765","179553.867031936","지정","부산광역시 중구 중앙동7가 20번지 1호 롯데백화점광복점","20181010","20181010","관급봉투",
"19","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014202000002","2020-02-21","","01","영업/정상","11","영업","","","","","0516782212","","","부산광역시 중구 중앙동7가 20-1 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 (중앙동7가)","48944","롯데쇼핑(주)광복점","2026-01-02 13:18:20","U","2026-01-04 02:40:00","","385590.814676765","179553.867031936","지정","","20220304","20220304","관급봉투",
"20","쓰레기종량제봉투판매업","09_30_13_P","3990000","399000014202100115","2021-12-22","","01","영업/정상","11","영업","","","","","031-579-7710","","","경기도 남양주시 와부읍 덕소리 501-3 롯데마트","경기도 남양주시 와부읍 월문천로 33, 롯데마트","12211","롯데쇼핑(주) 롯데마트 덕소점","2026-01-02 08:28:20","U","2026-01-04 02:40:00","","218882.001813215","453620.325834171","지정","경기도 남양주시 와부읍 덕소리 501-3 롯데마트","20220421","20211222","관급봉투",
"21","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199700014","1997-08-09","","01","영업/정상","11","영업","","","","","","","","경기도 용인시 처인구 마평동 717-3","","","대한슈퍼","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"22","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199900031","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","한국유통양지점","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"23","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014200000010","2000-03-24","","01","영업/정상","11","영업","","","","","","","449-070","경기도 용인시 처인구 역북동","","","삼성지업사","2026-01-02 10:55:02","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"24","쓰레기종량제봉투판매업","09_30_13_P","4050000","563000014200600059","2006-06-14","","01","영업/정상","11","영업","","","","","","","446-911","경기도 용인시 기흥구 동백동 호수마을 주공5단지 나상가 103호","","","새봄마트","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","지정","동백동 호수마을 주공5단지 나상가 103호","","20060614","관급봉투",
"25","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014200000023","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 남곡리","","","양지꼬따쥬","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"26","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201300009","2013-05-13","","03","폐업","2","폐업","2015-02-23","2015-04-30","","","031-333-9863","","","","경기도 용인시 처인구 양지읍 남평로64번길 30-23, 나동 B03호 (양지타운)","449-821","알찬마트","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","지정","경기도 용인시 처인구 양지면 남곡리 480/13 양지타운 나동 B03호","20130513","20130507","관급봉투",
"27","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201600072","2016-12-07","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 죽양대로 2277","17158","서울건재","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","226410.958068767","414434.644027351","지정","","20161207","20161206","관급봉투",
"28","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201500039","2015-09-02","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 남평로 81 (양지컨설팅)","17161","지에스25양지타운점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225873.565806041","414051.316547988","지정","","20150902","20150901","관급봉투",
"29","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201300016","2013-09-11","","01","영업/정상","11","영업","","","","","","","449-924","경기도 용인시 처인구 김량장동 62-1","경기도 용인시 처인구 백옥대로 1108 (김량장동)","449-924","지에스25 용인사거리점","2026-01-02 10:54:59","U","2026-01-04 02:40:00","","218500.58273055","414756.17250811","지정","경기도 용인시 처인구 김량장동 62번지 1호","","20130911","관급봉투",
"30","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201300019","2013-10-28","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 남평로 58","449-821","애플356마트","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225677.461852792","414173.433650858","지정","","20151116","20151113","관급봉투",
"31","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201300020","2013-10-02","","01","영업/정상","11","영업","","","","","","","449-821","경기도 용인시 처인구 양지읍 남곡리 156-11","경기도 용인시 처인구 양지읍 남곡로 35","","센텀홈마트","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","225078.514392","414309.981897202","지정","경기도 용인시 처인구 양지면 남곡리 156번지 11호","20131002","20130913","관급봉투",
"32","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201600064","2016-10-25","","01","영업/정상","11","영업","","","","","","","","경기도 용인시 처인구 유방동 468-15","경기도 용인시 처인구 한터로 18 (유방동)","17043","GS25 용인버드실점","2026-01-02 10:55:02","U","2026-01-04 02:40:00","","218908.204220408","416943.476945396","지정","경기도 용인시 처인구 유방동 468번지 15호","20161028","20161020","관급봉투",
"33","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201600067","2016-11-23","","01","영업/정상","11","영업","","","","","031-338-3042","","","","경기도 용인시 처인구 양지읍 용곡로20번길 1 (첼시)","17161","해오름마트","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225853.496057797","413754.542508806","지정","","20161123","20161123","관급봉투",
"34","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201600070","2016-12-06","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 주북로 241","17159","세븐일레븐 용인주북점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","","","지정","","20161206","20161206","관급봉투",
"35","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201500017","2015-01-23","","01","영업/정상","11","영업","","","","","","","449-821","경기도 용인시 처인구 양지읍 남곡리 118","경기도 용인시 처인구 양지읍 남평로 84","449-821","씨유양지파인점","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","225871.704372111","414005.498735669","지정","경기도 용인시 처인구 양지면 남곡리 118번지","20150123","20150122","관급봉투",
"36","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201500018","2015-05-12","","01","영업/정상","11","영업","","","","","0313655201","","449-821","경기도 용인시 처인구 양지읍 남곡리 124-7","경기도 용인시 처인구 양지읍 남평로 32","449-821","풍미비엠씨","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","225466.850246441","414350.36641158","지정","경기도 용인시 처인구 양지면 남곡리 124번지 7호","20150327","20150320","관급봉투",
"37","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201300027","2013-12-19","","01","영업/정상","11","영업","","","","","031-334-5184","","449-864","경기도 용인시 처인구 백암면 근삼리 682-5","경기도 용인시 처인구 백암면 삼백로 757","449-864","아이지에이마트 가리산점","2026-01-02 10:54:59","U","2026-01-04 02:40:00","","232867.989815928","404043.219990154","지정","경기도 용인시 처인구 백암면 근삼리 682번지 5호","20131219","20131217","관급봉투",
"38","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201400002","2014-01-09","","01","영업/정상","11","영업","","","","","031-321-3019","","","","경기도 용인시 처인구 양지읍 남곡로 2","449-821","지에스25 양지남곡점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225310.108840603","414532.049674754","지정","경기도 용인시 처인구 양지면 남곡리 134-2","","20140102","관급봉투",
"39","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201700001","2017-01-06","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 남곡로 40, 1층","17161","세븐일레븐 용인남곡점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225021.541652484","414290.360205946","지정","","20170106","20170105","관급봉투",
"40","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201700003","2017-01-20","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 양지로 136 (세븐일레븐 용인양지본점)","17158","세븐일레븐 용인양지본점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","225081.521965978","414746.384556286","지정","","20170120","20170120","관급봉투",
"41","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201200019","2012-06-08","","01","영업/정상","11","영업","","","","","031-332-5866","","","","경기도 용인시 처인구 양지읍 죽양대로 2010","449-821","씨유 용인지산휴게소점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","228439.904633258","412745.694703789","지정","경기도 용인시 처인구 양지면 평창리 645번지 2호","20120608","20120531","관급봉투",
"42","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014200300351","2003-07-13","","01","영업/정상","11","영업","","","","","031-321-0154","","449-929","경기도 용인시 처인구 마평동 627-9","경기도 용인시 처인구 금령로 164 (마평동)","449-929","씨유 용인마평점","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","218941.627153833","414737.283159142","지정","경기도 용인시 처인구 마평동 627번지 9호","20030311","20030311","관급봉투",
"43","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201200005","2012-02-21","","03","폐업","2","폐업","2016-11-16","2016-11-16","","","","","449-925","경기도 용인시 처인구 김량장동 294-20","경기도 용인시 처인구 금령로 15 (김량장동, 김량장동 1층3호)","449-925","GS25 용인어울림점","2026-01-02 10:54:59","U","2026-01-04 02:40:00","","217497.198054079","414807.298095296","종료","경기도 용인시 처인구 김량장동 294번지 20호","20120221","20120217","관급봉투",
"44","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014200900001","2009-07-13","","01","영업/정상","11","영업","","","","","0313385777","","449-060","경기도 용인시 처인구 삼가동 132","경기도 용인시 처인구 삼가로 14 (삼가동)","449-060","씨유 삼가대로점","2026-01-02 10:55:00","U","2026-01-04 02:40:00","","214702.882354908","415916.727879381","지정","경기도 용인시 처인구 삼가동 132번지","20090731","20090731","관급봉투",
"45","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201600062","2016-10-20","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 죽양대로 2301","17158","씨유 양지IC점","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","226320.325282043","414667.84618649","지정","","20161020","20161018","관급봉투",
"46","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400033","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","양지청과","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"47","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400034","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 남곡리","","","용곡구판장","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"48","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400035","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 남곡리","","","골프장슈퍼","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"49","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400036","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 남곡리","","","삼거리슈퍼","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"50","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201200026","2012-09-25","","01","영업/정상","11","영업","","","","","","","449-821","경기도 용인시 처인구 양지읍 남곡리 134-2","경기도 용인시 처인구 양지읍 남곡로 2","449-821","지에스25 양지남곡점","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","225310.108840603","414532.049674754","지정","경기도 용인시 처인구 양지면 남곡리 134번지 2호","20120925","20120918","관급봉투",
"51","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201200009","2012-03-19","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 460-10","","","세븐일레븐(용인양지타운점)","2026-01-02 10:54:55","U","2026-01-04 02:40:00","","","","지정","경기도 용인시 처인구 양지면 양지리 460번지 10호","20120319","20120319","관급봉투",
"52","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400037","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 남곡리","","","리조트마트","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"53","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400038","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 대대리","","","한덕상회","2026-01-02 10:55:02","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"54","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400039","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 주북리","","","경북상회","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"55","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400041","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 송문리","","","대도슈퍼","2026-01-02 10:55:04","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"56","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400042","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 송문리","","","산촌슈퍼","2026-01-02 10:55:04","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"57","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400043","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 남곡리","","","양지슈퍼","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"58","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201000003","2010-12-31","","01","영업/정상","11","영업","","","","","","","","경기도 용인시 처인구 양지읍 양지리 563-2 1통10반","경기도 용인시 처인구 양지읍 양지로 112","449-823","하모니마트(용인양지점)","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","224877.498777383","414708.988190504","지정","경기도 용인시 처인구 양지면 양지리 563번지 2호","20121231","20121227","관급봉투",
"59","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199500013","1995-09-25","","01","영업/정상","11","영업","","","","","","","449-810","경기도 용인시 처인구 포곡읍 둔전리","","","LG마트","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"60","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199500014","1995-10-20","","01","영업/정상","11","영업","","","","","","","449-810","경기도 용인시 처인구 포곡읍 전대리","","","자연휴계소","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"61","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201600057","2016-09-27","","01","영업/정상","11","영업","","","","","","","","","경기도 용인시 처인구 양지읍 양지로 152 (카니발노래숑)","17158","씨유 양지점","2026-01-02 10:54:58","U","2026-01-04 02:40:00","","225232.236186552","414748.182943376","지정","경기도 용인시 처인구 양지면 양지리 586번지 1호","20160927","20160927","관급봉투",
"62","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014201400026","2014-12-23","","01","영업/정상","11","영업","","","","","","","449-823","경기도 용인시 처인구 양지읍 양지리 117","경기도 용인시 처인구 양지읍 죽양대로 2293","449-823","세븐일레븐 용인죽양대로점","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","226354.677156102","414573.803102646","지정","경기도 용인시 처인구 양지면 양지리 117번지","20141223","20141222","관급봉투",
"63","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400023","1994-12-23","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","경남상회","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"64","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400024","1994-12-30","","01","영업/정상","11","영업","","","","","324144","","","경기도 용인시 처인구 백암면 백암리 388","경기도 용인시 처인구 백암면 백암로201번길 32-1","","백암식품","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","232990.965819623","407175.531317229","","","","","관급봉투",
"65","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400027","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","양지농협","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"66","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400028","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","경남상회","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"67","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400029","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","만복상회","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"68","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400030","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","지산슈퍼","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"69","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400031","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","신기상회","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"70","쓰레기종량제봉투판매업","09_30_13_P","4050000","562000014199400032","","","01","영업/정상","11","영업","","","","","","","449-820","경기도 용인시 처인구 양지읍 양지리","","","성원슈퍼","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"71","쓰레기종량제봉투판매업","09_30_13_P","3820000","382000014201700077","2017-12-27","","01","영업/정상","11","영업","","","","","031-871-5541","","","경기도 의정부시 호원동 220-2","경기도 의정부시 평화로 75 (호원동)","11648","주식회사 서울개인택시복지법인","2026-01-02 15:19:59","U","2026-01-04 02:40:00","","203907.62982687","466343.514867182","지정","","20171227","20171227","관급봉투",
"72","쓰레기종량제봉투판매업","09_30_13_P","4050000","564000014199700015","1997-07-11","","01","영업/정상","11","영업","","","","","","","449-840","경기도 용인시 수지구 풍덕천동","","","영주청과","2026-01-02 10:54:57","U","2026-01-04 02:40:00","","","","","","","","관급봉투",
"73","쓰레기종량제봉투판매업","09_30_13_P","4050000","563000014200700021","2007-05-03","","03","폐업","2","폐업","2016-08-11","2016-08-11","","","","","446-910","경기도 용인시 기흥구 언남동 412-2    102호","","","GS25구성래미안점","2026-01-02 10:54:56","U","2026-01-04 02:40:00","","","","지정","기흥구 언남동 412-2 102호","","20070503","관급봉투",
