"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"19","건물위생관리업","09_30_04_P","4341000","4341000-206-2021-00001","2021-08-09","","03","폐업","02","폐업","2025-12-31","","","","033 680 3808","22.00","","강원특별자치도 고성군 간성읍 금수리 264-20","강원특별자치도 고성군 간성읍 금수리2길 29-2","24738","클린브로(CLEANBro)","2025-12-31 17:11:12","U","2026-01-03 02:40:00","건물위생관리업","328372.385603256","542262.324224628","건물위생관리업","1","0","1","1","0","0","","","","임대","0","0","N",
"20","건물위생관리업","09_30_04_P","3170000","3170000-206-2024-00006","2024-08-29","","03","폐업","02","폐업","2025-12-31","","","","","22.47","153-803","서울특별시 금천구 가산동 459-24","서울특별시 금천구 가산디지털2로 169-16, 4층 오408호 (가산동)","08500","새싹리밸런싱","2025-12-31 14:55:03","U","2026-01-03 02:40:00","건물위생관리업","189016.465808265","442320.784167212","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"21","건물위생관리업","09_30_04_P","3610000","3610000-206-2024-00003","2024-10-15","","03","폐업","02","폐업","2025-12-31","","","","","20.00","503-828","광주광역시 남구 월산동 1016-16","광주광역시 남구 대남대로340번길 2, 2층 (월산동)","61625","청소팩토리","2025-12-31 16:06:45","U","2026-01-03 02:40:00","건물위생관리업","190231.352946956","182566.131194962","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"22","건물위생관리업","09_30_04_P","4181000","4181000-206-2024-00011","2024-11-12","","01","영업/정상","01","영업","","","","","07080657576","11.00","","강원특별자치도 춘천시 온의동 542-2","강원특별자치도 춘천시 충혼길52번길 10, 3층 306-111호 (온의동)","24437","주식회사 시니메이크","2025-12-31 17:56:13","U","2026-01-03 02:40:00","건물위생관리업","263250.540593552","484452.409041204","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"23","건물위생관리업","09_30_04_P","3300000","3300000-206-2024-00006","2024-10-11","","01","영업/정상","01","영업","","","","","","29.04","607-804","부산광역시 동래구 명륜동 529-3","부산광역시 동래구 충렬대로 184, 3층 일부호 (명륜동)","47815","주식회사 천정플러스원","2025-12-31 11:24:32","U","2026-01-03 02:40:00","건물위생관리업","388872.580292073","191269.422876457","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"24","건물위생관리업","09_30_04_P","4860000","4860000-206-2006-00001","2006-12-03","","03","폐업","02","폐업","2025-12-31","","","","061 362 1150","20.00","516-804","전라남도 곡성군 곡성읍 읍내리 312-18","전라남도 곡성군 곡성읍 중앙로 84","57541","제이에이치산업(유)","2025-12-31 09:22:25","U","2026-01-03 02:40:00","건물위생관리업","226517.007872738","197851.789347007","건물위생관리업","1","0","1","1","0","0","","","","임대","0","0","N",
"25","건물위생관리업","09_30_04_P","4940000","4940000-206-2022-00001","2022-01-27","","01","영업/정상","01","영업","","","","","","138.00","526-897","전라남도 영암군 삼호읍 용앙리 382-3","전라남도 영암군 삼호읍 중앙촌길 6, 2층","58458","(유)대우종합개발","2025-12-31 14:00:21","U","2026-01-03 02:40:00","건물위생관리업","151209.085623236","138715.231976191","건물위생관리업","3","0","2","2","0","0","","","","임대","0","0","N",
"26","건물위생관리업","09_30_04_P","3780000","3810000-206-2023-00019","2023-06-27","","03","폐업","02","폐업","2025-12-31","","","","","7.64","463-440","경기도 성남시 분당구 운중동 945 804일부(B-35)호","경기도 성남시 분당구 운중로 124, 8층 804일부(B-35)호 (운중동)","13466","교육시설안전인증연구소","2025-12-31 14:09:22","U","2026-01-03 02:40:00","건물위생관리업","206741.342155134","432142.225548684","건물위생관리업","0","0","0","0","0","0","","","","","0","2","N",
"27","건물위생관리업","09_30_04_P","3420000","3420000-206-2024-00006","2024-07-04","","01","영업/정상","01","영업","","","","","","3.30","701-844","대구광역시 동구 효목동 273-13","대구광역시 동구 효신로16길 5, 2층 (효목동)","41230","청정클래스","2025-12-31 09:47:05","U","2026-01-03 02:40:00","건물위생관리업","347240.434395042","265489.240656922","건물위생관리업","4","0","2","2","0","0","","","","","1","1","N",
"28","건물위생관리업","09_30_04_P","5690000","5690000-206-2024-00016","2024-07-16","","03","폐업","02","폐업","2025-12-31","","","","","3.40","339-801","세종특별자치시 조치원읍 교리 25-1","세종특별자치시 조치원읍 새내로 125, 3층 318호","30023","호진 이앤디","2025-12-31 17:07:33","U","2026-01-03 02:40:00","건물위생관리업","226546.473763391","344688.832163574","건물위생관리업","0","0","3","3","0","0","","","","","0","0","N",
"29","건물위생관리업","09_30_04_P","4590000","4590000-206-2024-00001","2024-06-18","","03","폐업","02","폐업","2025-12-31","","","","","23.00","345-804","충청남도 청양군 청양읍 읍내리 174-15","충청남도 청양군 청양읍 칠갑산로 246-1, 3층","33333","클린스쿨 충남","2025-12-31 09:30:56","U","2026-01-03 02:40:00","건물위생관리업","182336.25180942","327758.369966588","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"30","건물위생관리업","09_30_04_P","3480000","3480000-206-2024-00001","2024-06-18","","03","폐업","02","폐업","2025-12-31","","","","","9.72","711-814","대구광역시 달성군 다사읍 세천리 1689-3","대구광역시 달성군 다사읍 세천로 108, 3층 203(일부)호","42930","클린스쿨대구","2025-12-31 12:00:06","U","2026-01-03 02:40:00","건물위생관리업","333005.246399078","264684.966793855","건물위생관리업","6","1","3","3","0","0","","","","","3","0","N",
"31","건물위생관리업","09_30_04_P","4540000","4540000-206-2024-00005","2024-06-17","","03","폐업","02","폐업","2025-12-31","","","","","1.70","320-070","충청남도 논산시 반월동 192-10","충청남도 논산시 해월로144번길 1, 101-에이14호 (반월동)","32952","클린스쿨 충남","2025-12-31 15:00:41","U","2026-01-03 02:40:00","건물위생관리업","207439.816758697","300338.927010673","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"32","건물위생관리업","09_30_04_P","5710000","5720000-206-2024-00006","2024-07-22","","03","폐업","02","폐업","2025-12-31","","","","","11.81","360-020","충청북도 청주시 상당구 영동 115-16","충청북도 청주시 상당구 무심동로 484-1, 3층 (영동)","28541","은성이앤디","2025-12-31 16:20:44","U","2026-01-03 02:40:00","건물위생관리업","243208.587059266","349279.795225147","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"33","건물위생관리업","09_30_04_P","5020000","5040000-206-2024-00006","2024-08-13","","03","폐업","02","폐업","2025-12-31","","","","","9.90","791-843","경상북도 포항시 북구 죽도동 628-9 1층","경상북도 포항시 북구 중흥로 208, 1층 (죽도동)","37780","비움연구소","2025-12-31 16:35:12","U","2026-01-03 02:40:00","건물위생관리업","412484.406408082","282748.440518295","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"34","건물위생관리업","09_30_04_P","4940000","4940000-206-2019-00001","2019-12-30","","01","영업/정상","01","영업","","","","","061 461 1199","140.00","526-891","전라남도 영암군 삼호읍 나불리 338-6 우리은행 대불공단지점","전라남도 영암군 삼호읍 나불로 202, 3층","58452","(유)대한종합개발공사","2025-12-31 14:01:06","U","2026-01-03 02:40:00","건물위생관리업","148514.077417212","141008.987412149","건물위생관리업","0","0","3","","","","","","","임대","0","0","N",
"35","건물위생관리업","09_30_04_P","5710000","5730000-206-2022-00009","2022-04-29","","01","영업/정상","01","영업","","","","","043 263 2355","24.50","361-400","충청북도 청주시 흥덕구 지동동 737-3","충청북도 청주시 흥덕구 고락로 28, 1층 (지동동)","28359","주식회사 에이치씨솔루션","2025-12-31 17:39:07","U","2026-01-03 02:40:00","건물위생관리업","235896.320407761","349298.098431828","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"36","건물위생관리업","09_30_04_P","3560000","3560000-206-2024-00011","2024-04-04","","03","폐업","02","폐업","2025-12-31","","","","","31.17","","인천광역시 서구 청라동 95-1 청라 큐브시그니처 1차 오피스텔 417호","인천광역시 서구 청라한내로100번길 10, 청라 큐브시그니처 1차 오피스텔 4층 417호 (청라동)","22758","우희","2025-12-31 13:36:36","U","2026-01-03 02:40:00","건물위생관리업","167099.874794454","448018.76163157","건물위생관리업","0","0","0","0","0","0","","","","임대","0","0","N",
"37","건물위생관리업","09_30_04_P","3780000","3800000-206-2006-00011","2006-06-15","","01","영업/정상","01","영업","","","","","","36.00","462-807","경기도 성남시 중원구 상대원동 442-2 한라시그마밸리 19층 1914호","경기도 성남시 중원구 둔촌대로 545, 한라시그마밸리 19층 1914호 (상대원동)","13215","(주)에버크린","2025-12-31 09:41:45","U","2026-01-03 02:40:00","건물위생관리업","215629.853961679","436670.220291293","건물위생관리업","3","1","0","2","0","0","","","","","0","0","N",
"38","건물위생관리업","09_30_04_P","5420000","5420000-206-2005-00002","2005-07-05","","03","폐업","02","폐업","2025-12-31","","","","055 6725141","57.48","638-803","경상남도 고성군 고성읍 동외리 322-10","경상남도 고성군 고성읍 남포로80번길 79","52943","주)가야건설","2025-12-31 17:05:29","U","2026-01-03 02:40:00","건물위생관리업","320845.511723551","164413.189104213","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"39","건물위생관리업","09_30_04_P","3690000","3690000-206-2020-00002","2020-03-20","","03","폐업","02","폐업","2025-12-31","","","","052 2236500","33.00","681-800","울산광역시 중구 남외동 509-1 삼환나우빌1단지","울산광역시 중구 남외2길 10, 103동 502호-7호 (남외동, 삼환나우빌1단지)","44496","오즈코","2025-12-31 13:48:44","U","2026-01-03 02:40:00","건물위생관리업","413128.170579954","231976.031591549","건물위생관리업","5","0","0","0","0","0","","","","","0","0","N",
"40","건물위생관리업","09_30_04_P","3670000","3670000-206-2020-00003","2020-04-06","","01","영업/정상","01","영업","","","","","042 478 6697","32.47","305-509","대전광역시 유성구 관평동 816 202호","대전광역시 유성구 테크노4로 98-8, 2층 202호 (관평동)","34017","(주)에너넷","2025-12-31 14:15:28","U","2026-01-03 02:40:00","건물위생관리업","234829.094321773","325133.921340864","건물위생관리업","4","0","2","2","0","0","","","","","0","0","N",
"41","건물위생관리업","09_30_04_P","3020000","3020000-206-2021-00003","2021-11-25","","03","폐업","02","폐업","2025-12-31","","","","02797315","1158.27","140-026","서울특별시 용산구 용산동6가 69-167 신동아쇼핑","서울특별시 용산구 이촌로 352, 신동아쇼핑 5층 (용산동6가)","04428","신동아건설(주)","2025-12-31 11:43:40","U","2026-01-03 02:40:00","건물위생관리업","198622.89264988","446114.155238838","건물위생관리업","5","3","5","5","0","0","","","","자가","0","0","N",
"42","건물위생관리업","09_30_04_P","4181000","4181000-206-2025-00010","2025-11-18","","01","영업/정상","01","영업","","","","","","49.00","","강원특별자치도 춘천시 후평동 711-1","강원특별자치도 춘천시 삭주로128번길 11 (후평동)","24254","클레번트","2025-12-31 17:55:35","U","2026-01-03 02:40:00","건물위생관리업","265496.202117976","487103.440381729","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"43","건물위생관리업","09_30_04_P","3490000","3490000-206-2016-00008","2016-11-02","","01","영업/정상","01","영업","","","","","031 7054928","49.70","400-340","인천광역시 중구 운서동 3049-1 영종 SK VIEW","인천광역시 중구 영종대로 157, 영종 SK VIEW 101동 807호 (운서동)","22361","(주)현대관리시스템즈","2025-12-31 09:04:55","U","2026-01-03 02:40:00","건물위생관리업","155437.919669432","443703.517786333","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"44","건물위생관리업","09_30_04_P","3490000","3490000-206-2025-00008","2025-12-24","","01","영업/정상","01","영업","","","","","","3.30","400-833","인천광역시 중구 운서동 2795-1 화평빌딩 738호 A호-04","인천광역시 중구 신도시남로 137, 화평빌딩 738A-04호 (운서동)","22371","조은에코솔루션","2025-12-31 16:17:13","U","2026-01-03 02:40:00","건물위생관리업","154836.720603041","443617.897874323","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"45","건물위생관리업","09_30_04_P","5420000","5420000-206-2025-00001","2025-12-26","","01","영업/정상","01","영업","","","","","","94.53","638-941","경상남도 고성군 상리면 고봉리 520-1","경상남도 고성군 상리면 고봉로 13","52950","고봉 주식회사","2025-12-31 16:51:00","U","2026-01-03 02:40:00","건물위생관리업","306815.912515864","170716.246080578","건물위생관리업","1","0","1","1","0","0","","","","자가","1","0","N",
"46","건물위생관리업","09_30_04_P","4810000","4810000-206-2025-00015","2025-12-22","","01","영업/정상","01","영업","","","","","","51.10","550-250","전라남도 여수시 둔덕동 471-71","전라남도 여수시 둔덕5길 12, 1층 (둔덕동)","59696","성호산업","2025-12-31 09:22:12","U","2026-01-03 02:40:00","건물위생관리업","263891.188887346","141171.250320749","건물위생관리업","3","1","1","1","0","0","","","","","0","0","N",
"47","건물위생관리업","09_30_04_P","4000000","4000000-206-2025-00011","2025-12-09","","01","영업/정상","01","영업","","","","","","15.00","447-804","경기도 오산시 원동 787-6 나동 2층","경기도 오산시 경기대로 205, 나동 2층 (원동)","18142","비치움뉴클린홈케어","2025-12-31 15:29:18","U","2026-01-03 02:40:00","건물위생관리업","206433.374614089","404587.491538628","건물위생관리업","3","0","2","2","0","0","","","","임대","0","0","N",
"48","건물위생관리업","09_30_04_P","3150000","3150000-206-2025-00018","2025-03-25","","03","폐업","02","폐업","2025-12-31","","","","","14.00","157-807","서울특별시 강서구 가양동 1479-2 가양오피스텔","서울특별시 강서구 양천로 443-32, 가양오피스텔 3층 301(문패상306호)호 (가양동)","07527","다인컨설팅","2025-12-31 14:17:40","U","2026-01-03 02:40:00","건물위생관리업","186824.795","451300.125","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"49","건물위생관리업","09_30_04_P","3310000","3310000-206-2025-00012","2025-12-04","","01","영업/정상","01","영업","","","","","","76.15","608-809","부산광역시 남구 대연동 362-18 센트럴지엠빌딩","부산광역시 남구 수영로266번길 77, 센트럴지엠빌딩 5층 (대연동)","48500","호텔 하이브","2025-12-31 10:14:19","U","2026-01-03 02:40:00","건물위생관리업","391254.058433257","183630.071946748","건물위생관리업","5","0","0","0","0","0","","","","","0","0","N",
"50","건물위생관리업","09_30_04_P","4181000","4181000-206-2025-00012","2025-12-01","","01","영업/정상","01","영업","","","","","","49.00","","강원특별자치도 춘천시 후평동 711-1","강원특별자치도 춘천시 삭주로128번길 11 (후평동)","24254","시온클린","2025-12-31 16:05:37","U","2026-01-03 02:40:00","건물위생관리업","265496.202117976","487103.440381729","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"51","건물위생관리업","09_30_04_P","3680000","3680000-206-2024-00002","2024-01-25","","03","폐업","02","폐업","2025-12-31","","","","042 2554112","9.00","306-824","대전광역시 대덕구 중리동 117-6","대전광역시 대덕구 계족로564번길 65, 2층 (중리동)","34411","사회복지법인 신영복지재단","2025-12-31 10:56:21","U","2026-01-03 02:40:00","건물위생관리업","238976.575032505","318071.10253326","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"52","건물위생관리업","09_30_04_P","3130000","3130000-206-2024-00002","2024-02-29","","03","폐업","02","폐업","2025-12-31","","","","","3.30","121-850","서울특별시 마포구 성산동 591-4 대명비첸시티오피스텔 B105호","서울특별시 마포구 월드컵로 196, 대명비첸시티오피스텔 B1층 105-C100호 (성산동)","03938","건양","2025-12-31 17:31:58","U","2026-01-03 02:40:00","건물위생관리업","191337.868996616","451395.153092798","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"53","건물위생관리업","09_30_04_P","4570000","4570000-206-2024-00001","2024-01-23","","03","폐업","02","폐업","2025-12-31","","","","","42.40","323-812","충청남도 부여군 규암면 신리 729","충청남도 부여군 규암면 백제문로304번길 45","33115","부여크리너 맘","2025-12-31 14:54:53","U","2026-01-03 02:40:00","건물위생관리업","190645.133705224","311235.732428996","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"54","건물위생관리업","09_30_04_P","3710000","3710000-206-2024-00001","2024-01-19","","03","폐업","02","폐업","2025-12-31","","","","","24.48","682-824","울산광역시 동구 화정동 604-22 세도나하우스","울산광역시 동구 대송로 88, 세도나하우스 1층 (화정동)","44064","아라환경","2025-12-31 19:16:33","U","2026-01-03 02:40:00","건물위생관리업","419859.9242869","225003.473782939","건물위생관리업","1","0","0","0","0","0","","","","","0","0","N",
"55","건물위생관리업","09_30_04_P","3540000","3540000-206-2020-00006","2020-06-26","","03","폐업","02","폐업","2025-12-31","","","","032 5190720","54.37","403-862","인천광역시 부평구 갈산동 94 인천테크노밸리 U1센터 A동 2층 204호","인천광역시 부평구 주부토로 236, 인천테크노밸리 U1센터 A동 2층 204호 (갈산동)","21330","(주)트리플비즈","2025-12-31 13:33:35","U","2026-01-03 02:40:00","건물위생관리업","175822.304081398","445934.810716632","건물위생관리업","0","0","6","0","0","0","","","","","0","0","N",
"56","건물위생관리업","09_30_04_P","5710000","5720000-206-2021-00005","2021-07-28","","03","폐업","02","폐업","2025-12-31","","","","","37.74","360-841","충청북도 청주시 상당구 남일면 가산리 654-1","충청북도 청주시 상당구 남일면 가산양달길 43, 1층","28186","소독회사정가","2025-12-31 09:28:45","U","2026-01-03 02:40:00","건물위생관리업","243789.217272983","340546.810553274","건물위생관리업","2","0","1","1","0","0","","","","","0","0","N",
"57","건물위생관리업","09_30_04_P","3250000","3250000-206-2023-00002","2023-08-23","","01","영업/정상","01","영업","","","","","051 231 7772","44.10","600-816","부산광역시 중구 중앙동4가 74-7 한국선원센터","부산광역시 중구 충장대로9번길 66, 한국선원센터 4층 (중앙동4가)","48934","주식회사 포스솔루션","2025-12-31 09:14:03","U","2026-01-03 02:40:00","건물위생관리업","385868.447858934","180991.89207114","건물위생관리업","1","0","1","0","0","0","","","","","0","0","N",
"58","건물위생관리업","09_30_04_P","3830000","3840000-206-2022-00005","2022-11-28","","01","영업/정상","01","영업","","","","","","9.83","430-801","경기도 안양시 만안구 박달동 68-30","경기도 안양시 만안구 양화로106번길 11, 1층 일부호 (박달동)","14004","(주)미래종합","2025-12-31 10:11:04","U","2026-01-03 02:40:00","건물위생관리업","","","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"59","건물위생관리업","09_30_04_P","5670000","5670123-206-2019-00013","2019-04-25","","01","영업/정상","01","영업","","","","","070 86560646","35.26","641-836","경상남도 창원시 의창구 소답동 135-7 1층 일부호","경상남도 창원시 의창구 의안로32번길 42, 1층 일부호 (소답동)","51200","제일산업","2025-12-31 11:11:08","U","2026-01-03 02:40:00","건물위생관리업","348047.127568481","197242.885841526","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
