"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"18","석유판매업","09_28_08_P","5670000","2003532001401500002","2003-04-01","","01","영업/정상","01","신규등록","","","","","055 5520041","1495","","경상남도 창원시 진해구 가주동 123-4","경상남도 창원시 진해구 가락대로 259 (가주동)","","해안주유소","2026-01-01 11:29:00","U","2026-01-03 02:40:00","주유소","367720.812428443","180140.139635395","","",
"19","석유판매업","09_28_08_P","5530000","2006553016701500008","2006-04-14","","01","영업/정상","01","신규등록","","","","","031 353 5144","1136","","경기도 화성시 팔탄면 율암리 580-17","경기도 화성시 팔탄면 서해로 1130","18529","화성스마트 주유소","2025-12-31 09:00:10","U","2026-01-03 02:40:00","주유소","190335.022066262","406821.448264333","","",
"20","석유판매업","09_28_08_P","5530000","2007553016701500001","2007-01-24","","01","영업/정상","01","신규등록","","","","","","1201","","경기도 화성시 향남읍 동오리 547-1","경기도 화성시 향남읍 발안로 341","","명품골드주유소 (주)기정에너지","2025-12-31 08:49:29","U","2026-01-03 02:40:00","주유소","195042.601385776","403459.084697731","","",
"21","석유판매업","09_28_08_P","4781000","1990478000001500020","1990-11-27","","01","영업/정상","01","신규등록","","","","","","989","","전북특별자치도 고창군 흥덕면 후포리 36-15 26통","전북특별자치도 고창군 흥덕면 부안로 261","","대농주유소","2025-12-31 16:32:54","U","2026-01-03 02:40:00","주유소","172474.661289176","227048.739255546","","",
"22","석유판매업","09_28_08_P","4450000","1989445000401500013","1989-12-29","","02","휴업","05","사업휴지","","2021-10-06","2025-12-31","","043-533-4950","2242","","충청북도 진천군 진천읍 성석리 480-4","충청북도 진천군 진천읍 진광로 62","","국도주유소","2025-12-31 15:52:54","U","2026-01-03 02:40:00","주유소","239310.947155482","374333.649265094","","",
"23","석유판매업","09_28_08_P","4520000","1995452001801500001","1995-01-27","","01","영업/정상","06","휴지사업재개","","2013-11-06","2014-03-05","2014-06-05","041  5496778","1653","","충청남도 아산시 음봉면 신수리 291-4","충청남도 아산시 음봉면 아산온천로 240","","미라클주유소","2025-12-31 11:33:02","U","2026-01-03 02:40:00","주유소","198423.536942903","372402.262698163","","",
"24","석유판매업","09_28_08_P","5350000","2026535037401500048","2026-01-02","","01","영업/정상","01","신규등록","","","","","","","","경상남도 김해시 어방동 1062-9","경상남도 김해시 분성로541번길 4, 1층 (어방동)","50820","주식회사 제이에스코프레이션","2026-01-02 14:56:01","I","2026-01-04 00:20:12","주유소","373394.21521922","194641.831072318","","",
"25","석유판매업","09_28_08_P","4490000","1985449013101500047","1985-07-01","","01","영업/정상","01","신규등록","","","","","041 581 5151","1322","","충청남도 천안시 서북구 성환읍 매주리 332-35","충청남도 천안시 서북구 성환읍 성환1로 201","","창성주유소","2026-01-02 10:47:00","U","2026-01-04 02:40:00","주유소","211335.248781374","379033.344708456","","",
"26","석유판매업","09_28_08_P","5130000","1991513001701500003","1991-05-31","","01","영업/정상","07","영업개시","","","","","053 853 5189","2298","","경상북도 경산시 진량읍 당곡리 455","경상북도 경산시 진량읍 일연로 476","","가야주유소","2026-01-02 13:17:08","U","2026-01-04 02:40:00","주유소","362970.621870706","262715.468552641","","",
"27","석유판매업","09_28_08_P","4191000","1982419007901500001","1982-07-14","","01","영업/정상","01","신규등록","","","","","033 7634167","828","","강원특별자치도 원주시 귀래면 운남리 1008-1-1","강원특별자치도 원주시 귀래면 북원로 117","","귀래주유소","2026-01-02 10:09:02","U","2026-01-04 02:40:00","주유소","278439.455156796","408039.828401192","","",
"28","석유판매업","09_28_08_P","5420000","2019542011501500002","2019-09-30","","02","휴업","05","사업휴지","","2026-01-02","2027-01-01","","","978","","경상남도 고성군 상리면 오산리 90-4","경상남도 고성군 상리면 상정대로 1354","52952","상리주유소","2026-01-02 16:08:48","U","2026-01-04 02:40:00","주유소","309695.237116592","166785.72076706","","",
"29","석유판매업","09_28_08_P","4910000","1993491000901500022","1993-07-12","","01","영업/정상","01","신규등록","","","","","006108629911","1221","","전라남도 장흥군 장평면 봉림리 203","전라남도 장흥군 장평면 곰치로 840","","봉림주유소","2026-01-02 16:58:03","U","2026-01-04 02:40:00","주유소","193725.778179163","144409.402366849","","",
"30","석유판매업","09_28_08_P","3930000","1994393000701500013","1994-04-20","","01","영업/정상","06","휴지사업재개","","","","2026-01-05","031-413-5151","1495","","경기도 안산시 단원구 와동 56","경기도 안산시 단원구 순환로 375 (와동)","","와동주유소","2026-01-02 16:31:43","U","2026-01-04 02:40:00","주유소","185017.907578363","426958.140501056","","",
"31","석유판매업","09_28_08_P","5470000","1987547000701200001","1987-10-26","","01","영업/정상","01","신규등록","","","","","055 943 0761","","","경상남도 거창군 위천면 장기리 499-1","경상남도 거창군 위천면 원학길 346-5","","수승대농협판매소","2026-01-02 16:45:19","U","2026-01-04 02:40:00","일반판매소","275210.01447135","250323.051040194","","",
"32","석유판매업","09_28_08_P","5020000","2025502045801500002","2025-11-04","","01","영업/정상","07","영업개시","","","","","","202.52","","경상북도 포항시 북구 송라면 지경리 산 21-1","경상북도 포항시 북구 송라면 동해대로 3373","37510","포항(하)주유소","2026-01-02 10:44:25","U","2026-01-04 02:40:00","주유소","413114.794730798","309381.385585694","","",
"33","석유판매업","09_28_08_P","5020000","2025502045801500003","2025-12-26","","01","영업/정상","07","영업개시","","","","","","","","경상북도 포항시 북구 송라면 광천리 8-5","경상북도 포항시 북구 송라면 보경로 18, 화진주유소","37511","화진주유소","2026-01-02 13:06:32","U","2026-01-04 02:40:00","주유소","412166.991173097","305765.143443981","","",
"34","석유판매업","09_28_08_P","5020000","1994502007101500096","1994-04-15","","02","휴업","05","사업휴지","","2015-01-29","2016-01-28","","054 2620980","","","경상북도 포항시 북구 흥해읍 칠포리 349","경상북도 포항시 북구 흥해읍 해안로 1496","","푸른별주유소","2026-01-02 08:36:51","U","2026-01-04 02:40:00","주유소","415278.670061103","296059.351486979","","",
"35","석유판매업","09_28_08_P","5020000","1996502010301500001","1996-11-06","","02","휴업","05","사업휴지","","2023-09-28","2024-09-27","","054 2621985","2504","","경상북도 포항시 북구 흥해읍 대련리 55","경상북도 포항시 북구 흥해읍 새마을로 260","","광장주유소","2026-01-02 08:34:52","U","2026-01-04 02:40:00","주유소","410342.904914654","285792.804116304","","",
"36","석유판매업","09_28_08_P","5530000","1991553023201500006","1991-03-18","","01","영업/정상","07","영업개시","","","","","031 352 4041","1094","","경기도 화성시 정남면 고지리 31","경기도 화성시 정남면 가장로 319","","킬리만자로의표범주유소","2026-01-02 16:23:06","U","2026-01-04 02:40:00","주유소","201258.066706086","406768.465255997","","",
"37","석유판매업","09_28_08_P","5710000","2017572500501500001","2017-08-02","","02","휴업","05","사업휴지","","2026-01-01","2026-06-30","","","995","","충청북도 청주시 서원구 현도면 죽암리 312-2","충청북도 청주시 서원구 현도면 청남로 781","","OK주유소","2026-01-02 14:22:16","U","2026-01-04 02:40:00","주유소","238584.099807115","335970.396296591","","",
"38","석유판매업","09_28_08_P","4761000","1989476000801500001","1989-04-12","","02","휴업","05","사업휴지","","2026-01-02","2027-01-01","","063 642 7006","","","전북특별자치도 임실군 오수면 금암리 404-2","전북특별자치도 임실군 오수면 오수로 112","","금암주유소","2026-01-02 17:01:23","U","2026-01-04 02:40:00","주유소","230064.142163737","226399.78340777","","",
"39","석유판매업","09_28_08_P","3640000","1991364005801500009","1991-12-04","","02","휴업","05","사업휴지","","2023-08-05","2024-08-04","","042 2710067","1078","","대전광역시 동구 대성동 271-1, 272-3","대전광역시 동구 대전로 264 (대성동)","","태암주유소","2026-01-02 10:27:26","U","2026-01-04 02:40:00","주유소","241523.740896734","310220.79336531","","",
"40","석유판매업","09_28_08_P","5710000","1996436000901500017","1996-09-25","","02","휴업","05","사업휴지","","2026-01-01","2026-01-31","","043 2982121","1936","","충청북도 청주시 서원구 미평동 6","충청북도 청주시 서원구 청남로 1937 (미평동)","","행복에너지주식회사 행복에너지2주유소","2026-01-02 16:44:16","U","2026-01-04 02:40:00","주유소","242913.895710081","345112.933143918","","",
"41","석유판매업","09_28_08_P","3690000","2004369006001500001","2004-03-16","","02","휴업","05","사업휴지","","2026-01-01","2026-03-31","","052 245 5189","1198.6","","울산광역시 중구 성안동 826-13","울산광역시 중구 성안로 135 (성안동)","","함월셀프주유소","2026-01-02 16:17:44","U","2026-01-04 02:40:00","주유소","409755.098474976","232801.024708686","","",
"42","석유판매업","09_28_08_P","4810000","2020481036301200001","2020-11-26","","01","영업/정상","07","영업개시","","","","","","","","전라남도 여수시 화양면 이목리 599-2 가스판매소","전라남도 여수시 화양면 가정길 6, 가스판매소","59653","가정에너지","2026-01-02 09:22:34","U","2026-01-04 02:40:00","일반판매소","251754.959295227","128794.496482359","","",
"43","석유판매업","09_28_08_P","4820000","1996482001301500082","1996-03-29","","01","영업/정상","01","신규등록","","","","","061 723 5252","1184","","전라남도 순천시 해룡면 월전리 425","전라남도 순천시 해룡면 여순로 1574","58005","(주)정오알뜰주유소","2026-01-03 19:29:08","U","2026-01-05 02:40:00","주유소","248646.377087072","157680.306518527","","",
"44","석유판매업","09_28_08_P","4820000","1976482001301500001","1976-06-15","","01","영업/정상","01","신규등록","","","","","061-744-3880","1003.9","","전라남도 순천시 인제동 55-11","전라남도 순천시 우석로 199 (인제동)","","남산주유소","2026-01-03 19:30:24","U","2026-01-05 02:40:00","주유소","244467.872017042","160955.538396378","","",
"45","석유판매업","09_28_08_P","5100000","2007510010801500004","2007-12-24","","01","영업/정상","07","영업개시","","","","","054 337 8078","1157","","경상북도 영천시 망정동 138","경상북도 영천시 영화로 365 (망정동)","","수정주유소","2026-01-05 17:33:27","U","2026-01-07 02:40:00","주유소","376045.940645003","276702.35070819","","",
"46","석유판매업","09_28_08_P","5350000","2005535013401500006","2005-10-17","","01","영업/정상","07","영업개시","","","","","055 329 3248","722","","경상남도 김해시 내동 1123-1","경상남도 김해시 내외중앙로 99 (내동)","","굿모닝주유소","2026-01-05 16:32:24","U","2026-01-07 02:40:00","주유소","369888.630934761","194878.400032974","","",
"47","석유판매업","09_28_08_P","4490000","1991449013101500072","1991-05-16","","03","폐업","03","폐지","2025-12-15","","","","041-563-5180","1322","","충청남도 천안시 동남구 동면 화계리 495-5","충청남도 천안시 동남구 동면 충절로 2046","","(주)천안환경동면주유소","2026-01-05 14:24:41","U","2026-01-07 02:40:00","주유소","229452.905199017","363069.470604772","","",
"48","석유판매업","09_28_08_P","4490000","1993449013101500089","1993-04-23","","01","영업/정상","07","영업개시","","","","","041-552-6367","1895","","충청남도 천안시 동남구 수신면 신풍리 348 안텍스(주)","충청남도 천안시 동남구 수신면 성남로 793-40","","(주)남영전구 천안(부산)주유소","2026-01-05 13:21:06","U","2026-01-07 02:40:00","주유소","223650.268031245","358835.306014875","","",
"49","석유판매업","09_28_08_P","5310000","1994531000001500027","1994-09-22","","03","폐업","03","폐지","2025-12-31","","","","055 755 0100","1487","","경상남도 진주시 가좌동 1025-1","경상남도 진주시 진주대로 414 (가좌동)","","개양주유소","2026-01-05 11:07:09","U","2026-01-07 02:40:00","주유소","300384.127846921","183553.786057197","","",
"50","석유판매업","09_28_08_P","6510000","2005549012301500008","2005-07-08","","02","휴업","05","사업휴지","","2020-01-08","2021-01-07","","0641738951","1213","","제주특별자치도 제주시 노형동 2349","제주특별자치도 제주시 노형로 315 (노형동)","","창성주유소","2026-01-05 17:03:00","U","2026-01-07 02:40:00","주유소","150768.594521136","-1670.02969496994","","",
"51","석유판매업","09_28_08_P","4810000","2007481001901500001","2007-03-15","","01","영업/정상","01","신규등록","","","","","061 681 5149","627","","전라남도 여수시 봉계동 147 봉계동주유소","전라남도 여수시 좌수영로 841, 대방주유소 (봉계동)","59635","신우성주유소","2026-01-05 16:53:50","U","2026-01-07 02:40:00","주유소","261956.936082405","142679.57602178","","",
"52","석유판매업","09_28_08_P","4960000","1990496004501500009","1990-09-28","","02","휴업","05","사업휴지","","2024-01-01","2026-12-31","","061 3230008","1420","","전라남도 함평군 대동면 금산리 442-1","전라남도 함평군 대동면 벽류길 10","","쓰리고주유소","2026-01-05 20:53:45","U","2026-01-07 02:40:00","주유소","153624.732546445","179736.752851947","","",
"53","석유판매업","09_28_08_P","3630000","2010363008001500002","2010-01-04","","01","영업/정상","07","영업개시","","","","","062-222-5151","838","","광주광역시 광산구 우산동 628 630, -1","광주광역시 광산구 임방울대로 13 (우산동,630, -1)","","우이리주유소","2026-01-05 08:44:16","U","2026-01-07 02:40:00","주유소","183339.08418898","184793.027675701","","",
"54","석유판매업","09_28_08_P","5340000","1989534001601500001","1989-07-20","","01","영업/정상","01","신규등록","","","","","055 834 3345","990","","경상남도 사천시 송포동 430-1","경상남도 사천시 삼천포대교로 890 (송포동)","","남척주유소","2026-01-05 11:17:05","U","2026-01-07 02:40:00","주유소","296808.84027007","164276.556429832","","",
"55","석유판매업","09_28_08_P","5160000","1976516002901500006","1976-05-21","","01","영업/정상","01","신규등록","","","","","054 8732388","456","","경상북도 청송군 청송읍 월막리 427","경상북도 청송군 청송읍 중앙로 206","","대성주유소","2026-01-05 13:16:50","U","2026-01-07 02:40:00","주유소","383978.627638433","328044.679277086","","",
"56","석유판매업","09_28_08_P","3120000","1993312007501500024","1993-09-21","","01","영업/정상","06","휴지사업재개","","","","2026-01-12","02 3954300","617","","서울특별시 서대문구 홍제동 279-10","서울특별시 서대문구 세검정로 87 (홍제동)","03619","문화촌주유소","2026-01-05 15:36:47","U","2026-01-07 02:40:00","주유소","195386.798626154","454801.317451886","","",
"57","석유판매업","09_28_08_P","5420000","1995542000801500033","1995-04-18","","03","폐업","03","폐지","2026-01-05","","","","055  6736731","1124","","경상남도 고성군 하일면 송천리 796-3","경상남도 고성군 하일면 자란만로 1619","","하일주유소","2026-01-05 16:22:25","U","2026-01-07 02:40:00","주유소","309193.248531803","159963.783810296","","",
"58","석유판매업","09_28_08_P","4020000","2002402012401500001","2002-06-12","","02","휴업","05","사업휴지","","2025-08-08","2026-08-07","","031 4518600","2080","","경기도 군포시 당정동 405-1 외404-2","경기도 군포시 고산로 109 (당정동)","","당정스타주유소","2026-01-05 09:34:13","U","2026-01-07 02:40:00","주유소","196297.314176202","427533.729888371","","",
"59","석유판매업","09_28_08_P","5230000","2011523008401500001","2012-12-07","","01","영업/정상","06","휴지사업재개","","","","2026-01-03","054 654 1503","1033","","경상북도 예천군 예천읍 청복리 828-6","경상북도 예천군 예천읍 양궁로 110","","청복주유소","2026-01-05 19:22:54","U","2026-01-07 02:40:00","주유소","330786.017813705","350095.821124051","","",
"60","석유판매업","09_28_08_P","3370000","1993337001401500015","1993-06-26","","01","영업/정상","06","휴지사업재개","","","","2024-07-22","051 759 5776","258.6","","부산광역시 연제구 연산동 386-1","부산광역시 연제구 온천천남로 86 (연산동)","","황금주유소","2026-01-05 10:51:10","U","2026-01-07 02:40:00","주유소","391186.369318548","190002.666220181","","",
"61","석유판매업","09_28_08_P","3220000","2002322008301500083","2002-07-10","","02","휴업","05","사업휴지","","2026-01-01","2026-06-30","","34113271","1288","","서울특별시 강남구 대치동 2-7 대치동 주유소","서울특별시 강남구 남부순환로 3170, 대치동 주유소 (대치동)","06332","지에스칼텍스(주)학여울주유소","2026-01-05 15:54:20","U","2026-01-07 02:40:00","주유소","206780.957655617","444026.085376535","","",
"62","석유판매업","09_28_08_P","5670000","2001528005701200001","2001-07-07","","01","영업/정상","06","휴지사업재개","","","","2025-04-07","055-221-5150","639.42","","경상남도 창원시 마산합포구 산호동 319-4","경상남도 창원시 마산합포구 합포로 191 (산호동)","","(주)유니콘에너지 황금주유소","2026-01-06 15:27:14","U","2026-01-08 02:40:00","주유소","344363.000360668","191720.262146254","","",
"63","석유판매업","09_28_08_P","3420000","2002342005801500079","2002-08-28","","03","폐업","03","폐지","2026-01-06","","","","","525","","대구광역시 동구 덕곡동 205-5","대구광역시 동구 팔공산로 283 (덕곡동)","","덕산주유소","2026-01-06 17:52:04","U","2026-01-09 02:40:00","주유소","345634.513520773","277983.934020604","","",
"64","석유판매업","09_28_08_P","5100000","2005510007201200001","2005-07-26","","02","휴업","05","사업휴지","","2023-08-22","2024-08-21","","","","","경상북도 영천시 임고면 황강리 174-1","경상북도 영천시 임고면 효자로 350","","경북에너지","2026-01-06 15:28:42","U","2026-01-09 02:40:00","일반판매소","379253.847665915","280791.972003011","","",
"65","석유판매업","09_28_08_P","5100000","1991510007201507011","1991-12-21","","03","폐업","03","폐지","2025-03-30","","","","054 332 8788","1498","","경상북도 영천시 오수동 364-6","경상북도 영천시 최무선로 39 (오수동)","","덕진주유소","2026-01-07 17:23:18","U","2026-01-09 02:40:00","주유소","372117.16056825","274447.208733542","","",
"66","석유판매업","09_28_08_P","4490000","1989449013101500057","1989-08-14","","03","폐업","03","폐지","2026-01-08","","","","041 622 2566","2049","","충청남도 천안시 서북구 성거읍 송남리 산 12-60","충청남도 천안시 서북구 성거읍 성거길 16","","대아주유소","2026-01-07 14:57:28","U","2026-01-09 02:40:00","주유소","217486.426658446","374032.85387883","","",
"67","석유판매업","09_28_08_P","4610000","1982461001201500004","1982-10-08","","02","휴업","05","사업휴지","","2025-12-31","2026-12-31","","041  3346106","676","","충청남도 예산군 예산읍 간양리 297-10,397-12,297-20","충청남도 예산군 예산읍 충서로 1600","","서경주유소","2026-01-06 11:01:47","U","2026-01-09 02:40:00","주유소","187176.587309482","359487.6922995","","",
"68","석유판매업","09_28_08_P","4140000","2004414004801500001","2004-08-24","","03","폐업","03","폐지","2026-01-06","","","","031 832 5189","996","","경기도 연천군 전곡읍 양원리 380-2","경기도 연천군 전곡읍 양연로 1140","","믿음주유소","2026-01-06 17:22:18","U","2026-01-09 02:40:00","주유소","202709.014391768","499413.246420392","","",
"69","석유판매업","09_28_08_P","3680000","1995368001401200038","1995-03-25","","01","영업/정상","07","영업개시","","","","","","","","대전광역시 대덕구 중리동 387-4","대전광역시 대덕구 중리남로40번길 63 (중리동)","","드림에너지","2026-01-06 10:13:05","U","2026-01-09 02:40:00","일반판매소","238275.456904112","318193.744167205","","",
"70","석유판매업","09_28_08_P","3680000","2001368001401500006","1991-12-07","","01","영업/정상","07","영업개시","","","","","0426285180","536.9","","대전광역시 대덕구 중리동 252-2 .10","대전광역시 대덕구 한밭대로 1180 (중리동)","","(주)대성바이오","2026-01-07 13:22:58","U","2026-01-09 02:40:00","주유소","238484.927739877","317624.949283618","","",
"71","석유판매업","09_28_08_P","3260000","2009326007001500002","2009-11-16","","01","영업/정상","07","영업개시","","","","","051 243 0444","841","","부산광역시 서구 동대신동3가 396","부산광역시 서구 보수대로 220 (동대신동3가)","49213","(주)디시에너지","2026-01-07 11:14:35","U","2026-01-09 02:40:00","주유소","384064.907524807","181370.822586813","","",
"72","석유판매업","09_28_08_P","5080000","1996508001901500050","2004-09-10","","02","휴업","05","사업휴지","","2025-03-12","2026-03-11","","054-441-5189","","","경상북도 구미시 도량동 268-1","경상북도 구미시 야은로 381 (도량동)","","관용주유소","2026-01-07 14:30:46","U","2026-01-09 02:40:00","주유소","319170.284116686","293833.349367638","","",
"73","석유판매업","09_28_08_P","5670000","2009532011001500002","2009-07-23","","01","영업/정상","07","영업개시","","","","","0555525185","1490","","경상남도 창원시 진해구 이동 574-4 해양주유소","경상남도 창원시 진해구 천자로 67, 해양주유소 (이동)","51655","(주)넥스트엘앤이","2026-01-06 10:38:39","U","2026-01-09 02:40:00","주유소","354032.752943558","184639.929448007","","",
"74","석유판매업","09_28_08_P","4960000","1989496004501500005","1989-04-15","","02","휴업","05","사업휴지","","2024-01-01","2026-12-31","","061 3220250","1015","","전라남도 함평군 해보면 문장리 822-96","전라남도 함평군 해보면 밀재로 1297","","문장주유소","2026-01-07 15:04:45","U","2026-01-09 02:40:00","주유소","163979.779544982","186928.948254602","","",
"75","석유판매업","09_28_08_P","5020000","2019502031101200009","2019-06-07","","04","취소/말소/만료/정지/중지","04","사업정지","","","","","","13.3","","경상북도 포항시 북구 죽장면 월평리 32-3","","","진남에너지","2026-01-07 10:51:36","U","2026-01-09 02:40:00","일반판매소","386930.162738472","301600.68796254","","",
"76","석유판매업","09_28_08_P","4490000","2019566002901200001","2019-07-26","","01","영업/정상","07","영업개시","","","","","","","","충청남도 천안시 서북구 성환읍 성환리 659-4 제일석유","충청남도 천안시 서북구 성환읍 성환1로 304, 제일석유","31013","가람석유","2026-01-07 09:11:49","U","2026-01-09 02:40:00","일반판매소","211318.216130968","380041.196058193","","",
"77","석유판매업","09_28_08_P","5160000","1991516002901500015","1991-01-14","","03","폐업","03","폐지","","","","","054 8723770","1426","","경상북도 청송군 파천면 송강리 394-1","경상북도 청송군 파천면 청송로 6045","","송강주유소","2026-01-07 13:12:37","U","2026-01-09 02:40:00","주유소","381591.038289305","335013.521817609","","",
"78","석유판매업","09_28_08_P","5050000","1976505010001500007","1976-05-19","","03","폐업","03","폐지","2026-01-07","","","","054 7720446","2761","","경상북도 경주시 탑동 344-2 외3필지","경상북도 경주시 서라벌대로 324 (탑동)","","광광주유소","2026-01-07 16:04:57","U","2026-01-09 02:40:00","주유소","399089.742414384","259648.926706018","","",
