"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"21","가축인공수정소","02_04_02_P","5230000","523000000320260001","2026-01-09","","01","영업/정상","0000","정상","","","","","","0","","경상북도 예천군 지보면 소화리 242","경상북도 예천군 지보면 예지로 489-11","36853","우량 가축인공수정소","2026-01-09 09:52:18","I","2026-01-11 00:20:02","","325213.697742366","340885.412521536","가축인공수정소","","0","000","0",
"22","가축인공수정소","02_04_02_P","4691000","469100000320260001","2026-01-09","","01","영업/정상","0000","정상","","","","","","0","","전북특별자치도 정읍시 정우면 회룡리 881","전북특별자치도 정읍시 정우면 금남길 49-18","56140","나우잇가축인공수정소","2026-01-09 14:45:07","I","2026-01-11 00:20:02","","189388.861567325","239114.505850525","가축인공수정소","","0","000","0",
"23","가축인공수정소","02_04_02_P","5141000","514000000319900001","1990-02-07","","03","폐업","0002","폐업","2026-01-09","","","","383-2217","10","","대구광역시 군위군 군위읍 동부리 396-1","대구광역시 군위군 군위읍 중앙길 122-1","","대구가축병원","2026-01-09 11:46:57","U","2026-01-11 02:40:00","","340884.132822991","305412.33065171","가축인공수정소","","0","000","0",
"24","가축인공수정소","02_04_02_P","5360000","536000000320260001","2026-01-12","","01","영업/정상","0000","정상","","","","","","0","","경상남도 밀양시 삼랑진읍 용성리 1217","경상남도 밀양시 삼랑진읍 부림들길 189-5","50464","한우리 가축인공수정소","2026-01-12 15:48:08","I","2026-01-14 00:20:02","","362792.742084731","217265.604041374","가축인공수정소","","0","000","0",
"25","가축인공수정소","02_04_02_P","4980000","498000000320260001","2026-01-12","","01","영업/정상","0000","정상","","","","","","0","","전라남도 장성군 장성읍 안평리 693-3","전라남도 장성군 장성읍 봉암로 499-26","57212","소쟁이","2026-01-12 17:55:44","I","2026-01-14 00:20:02","","179007.664495854","205327.283536034","가축인공수정소","","0","000","0",
"26","가축인공수정소","02_04_02_P","4980000","498000000320260002","2026-01-12","","01","영업/정상","0000","정상","","","","","","0","","전라남도 장성군 장성읍 상오리 396-2","전라남도 장성군 장성읍 단풍로 610-30","57210","소쟁이","2026-01-12 20:08:48","I","2026-01-14 00:20:02","","184356.470913316","204524.804323101","가축인공수정소","","0","000","0",
"27","가축인공수정소","02_04_02_P","4980000","498000000320260003","2026-01-12","","01","영업/정상","0000","정상","","","","","","0","","전라남도 장성군 장성읍 상오리 396-2","전라남도 장성군 장성읍 단풍로 610-30","57210","우리소 더하기","2026-01-12 20:20:53","I","2026-01-14 00:20:02","","184356.470913316","204524.804323101","가축인공수정소","","0","000","0",
"28","가축인공수정소","02_04_02_P","4781000","478100000320260001","2026-01-12","","01","영업/정상","0000","정상","","","","","","77.67","","전북특별자치도 고창군 무장면 무장리 223-11","전북특별자치도 고창군 무장면 정거2길 17-3","56455","한뿌리수정소","2026-01-12 09:22:08","I","2026-01-14 00:20:02","","159701.933241007","213077.617771998","가축인공수정소","","0","000","0",
"29","가축인공수정소","02_04_02_P","3830000","383000000319830001","1983-05-09","","03","폐업","0002","폐업","2026-01-13","","","","031-443-9999","101","","경기도 안양시 만안구 안양동 847-10 3층","경기도 안양시 만안구 안양로 374-1, 3층 (안양동)","13990","안양축협가축인공수정소","2026-01-13 15:41:26","U","2026-01-15 02:40:00","","192570.558369109","433624.722051591","가축인공수정소","","0","L00","0",
"30","가축인공수정소","02_04_02_P","5220000","522000000320260001","2026-01-14","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 약목면 동안리 19-1","경상북도 칠곡군 약목면 동안들1길 160-36","39819","썬더가축인공수정소","2026-01-14 11:40:20","I","2026-01-16 00:20:02","","324994.596676386","282479.257642883","가축인공수정소","","0","000","0",
"31","가축인공수정소","02_04_02_P","5220000","522000000320260002","2026-01-14","","01","영업/정상","0000","정상","","","","","","0","","경상북도 칠곡군 약목면 동안리 19-2","경상북도 칠곡군 약목면 동안들1길 160-38","39819","한가득가축인공수정소","2026-01-14 13:24:10","I","2026-01-16 00:20:02","","324995.435721099","282450.806628238","가축인공수정소","","0","000","0",
"32","가축인공수정소","02_04_02_P","4880000","488000000320100001","2010-11-17","","01","영업/정상","0000","정상","","","","","","0","","전라남도 고흥군 고흥읍 행정리 454","전라남도 고흥군 고흥읍 행정안골길 23-1","59533","무지개번식우컨설팅","2026-01-14 17:11:11","U","2026-01-16 02:40:00","","225473.979102984","124225.947961421","가축인공수정소","","0","000","0",
"33","가축인공수정소","02_04_02_P","5470000","547000000319970001","1997-07-03","","03","폐업","0002","폐업","2026-01-15","","","","","0","","경상남도 거창군 거창읍 대평리 1163-1","","","영진가축인공수정소","2026-01-15 11:09:57","U","2026-01-17 02:40:00","","282795.148340796","243091.941773182","가축인공수정소","","0","000","0",
