"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"11","유료직업소개소","11_50_02_P","3180000","2024318025614500045","2024-10-04","","01","영업/정상","20","영업중","","","","","","","","서울특별시 영등포구 대림동 1052-35","서울특별시 영등포구 도림로31길 6, 지하층 (대림동)","07415","동북아취업","2025-12-31 13:44:58","U","2026-01-03 02:40:00","","190708.958244047","443417.119557487","개인","유료",
"12","유료직업소개소","11_50_02_P","3150000","2024315020114500017","2024-09-02","","01","영업/정상","20","영업중","","","","","","","","서울특별시 강서구 등촌동 648 우현빌딩 509호","서울특별시 강서구 공항대로59길 8, 우현빌딩 509호 (등촌동)","07563","커넥트리솔루션","2025-12-31 14:49:14","U","2026-01-03 02:40:00","","187917.439597431","449984.307330522","개인","유료",
"13","유료직업소개소","11_50_02_P","4020000","2020402010814500001","2020-01-07","","03","폐업","40","폐업","2025-12-31","","","","031427 7790","","","경기도 군포시 산본동 1142번지 6호 신명산빌딩","경기도 군포시 번영로 495, 신명산빌딩 206호 중 일부(가칭201호) (산본동)","15865","아이행복베이비시터","2025-12-31 10:52:50","U","2026-01-03 02:40:00","","193900.648479798","428453.217657081","개인","유료",
"14","유료직업소개소","11_50_02_P","3330000","2014333012514500002","2014-11-18","","01","영업/정상","20","영업중","","","","","051 914 2488","","","부산광역시 해운대구 우동 1078번지 1호","부산광역시 해운대구 해운대로 407, 8층 802호 (우동, 신세계프라자)","48064","퍼스트인잡주식회사","2025-12-31 10:43:28","U","2026-01-03 02:40:00","","394974.292766227","187505.194990201","법인","유료",
"15","유료직업소개소","11_50_02_P","3180000","2022318023914500002","2016-02-23","","01","영업/정상","20","영업중","","","","","02  26337775","","","서울특별시 영등포구 영등포동7가 65-7 삼정빌딩","서울특별시 영등포구 영중로 99, 삼정빌딩 2층 (영등포동7가)","07245","(주)드림에스앤에이치","2025-12-31 13:43:22","U","2026-01-03 02:40:00","","191564.247491294","446634.390742525","법인","유료",
"16","유료직업소개소","11_50_02_P","4420000","2021442009814500005","2021-12-23","","01","영업/정상","20","영업중","","","","","","","","충청북도 보은군 보은읍 삼산리 175-10","충청북도 보은군 보은읍 교사삼산길 70","28944","월드인력","2025-12-31 14:46:12","U","2026-01-03 02:40:00","","263942.810734231","331743.86766633","개인","유료",
"17","유료직업소개소","11_50_02_P","3180000","2024318025614500014","2024-03-22","","01","영업/정상","20","영업중","","","","","","","","서울특별시 영등포구 대림동 1051-84","서울특별시 영등포구 도림로 128, 3층 (대림동)","07416","소망직업소개소","2025-12-31 13:45:24","U","2026-01-03 02:40:00","","190787.446535871","443367.818909729","개인","유료",
"18","유료직업소개소","11_50_02_P","3940000","2024410012514500001","2024-05-20","","03","폐업","40","폐업","2025-12-30","","","","","","","경기도 고양시 일산서구 대화동 2603 킨텍스 꿈에그린","경기도 고양시 일산서구 킨텍스로 240, 806(일부)호 (대화동, 킨텍스 꿈에그린)","10391","넥서스마인드","2025-12-31 09:09:50","U","2026-01-03 02:40:00","","177925.172169511","462673.381313058","개인","유료",
"19","유료직업소개소","11_50_02_P","4530000","2024453039114500007","2024-05-01","","01","영업/정상","20","영업중","","","","","","","","충청남도 서산시 석남동 25","충청남도 서산시 동헌로 4-5, 2층 (석남동)","31995","웰컴인력사무소","2025-12-31 10:35:15","U","2026-01-03 02:40:00","","150720.739843229","364504.243800011","개인","유료",
"20","유료직업소개소","11_50_02_P","3360000","2013336010714500001","2013-05-28","","01","영업/정상","20","영업중","","","","","051 971 1191","","","부산광역시 강서구 강동동 90번지 7호","부산광역시 강서구 제도로 1201 (강동동)","618-801","태양인력","2025-12-31 16:45:26","U","2026-01-03 02:40:00","","376295.811632831","192571.612563553","개인","유료",
"21","유료직업소개소","11_50_02_P","4000000","2025400019414500008","2025-11-07","","01","영업/정상","20","영업중","","","","","","","","경기도 오산시 오산동 388-1","경기도 오산시 오산천로 250, 201호 (오산동)","18136","기도하는맘케어 오산점","2025-12-31 09:33:34","U","2026-01-03 02:40:00","","206069.969527346","405912.551217649","개인","유료",
"22","유료직업소개소","11_50_02_P","4090000","2025409051514500025","2025-12-05","","03","폐업","40","폐업","2025-12-31","","","","0319909333","","","경기도 김포시 북변동 364-17","경기도 김포시 북변중로65번길 4, 2층 (북변동)","10106","건설 직업소개소","2025-12-31 15:31:32","U","2026-01-03 02:40:00","","174287.82010849","458273.355086169","개인","유료",
"23","유료직업소개소","11_50_02_P","4490000","2025566002914500019","2025-12-24","","01","영업/정상","20","영업중","","","","","","","","충청남도 천안시 서북구 성환읍 성환리 270-5 성환개별화물","충청남도 천안시 서북구 성환읍 성환2로 138, 성환개별화물","31015","종합인력소개소","2025-12-31 09:11:03","U","2026-01-03 02:40:00","","211894.525431896","379744.927207547","개인","유료",
"24","유료직업소개소","11_50_02_P","3420000","2025342020614500013","2025-10-21","","01","영업/정상","20","영업중","","","","","","","","대구광역시 동구 신암동 220-1","대구광역시 동구 동대구로99길 10, 4층 (신암동)","41208","대성인력","2025-12-31 09:18:16","U","2026-01-03 02:40:00","","346594.543883997","265849.981857134","개인","유료",
"25","유료직업소개소","11_50_02_P","3420000","2024342020614500004","2024-01-24","","01","영업/정상","20","영업중","","","","","","","","대구광역시 동구 검사동 1021 문화아파트","대구광역시 동구 동촌로14길 14, 상가7동 9호 (검사동, 문화아파트)","41155","성원인력","2025-12-31 09:16:38","U","2026-01-03 02:40:00","","355857.357218327","264781.41070211","개인","유료",
"26","유료직업소개소","11_50_02_P","3150000","2024315020114500002","2024-01-23","","01","영업/정상","20","영업중","","","","","02  69615311","","","서울특별시 강서구 등촌동 638-3 강서아이티밸리","서울특별시 강서구 화곡로68길 82, 강서아이티밸리 902호 (등촌동)","07566","잡어쏘 주식회사","2025-12-31 10:55:28","U","2026-01-03 02:40:00","","187415.243430985","450594.61195944","법인","유료",
"27","유료직업소개소","11_50_02_P","3490000","2021349019114500007","2021-07-05","","03","폐업","40","폐업","2025-12-31","","","","070 77048177","","","인천광역시 중구 운서동 2794-2 가나베스트텔2","인천광역시 중구 흰바위로 45, 가나베스트텔2 403호 (운서동)","22371","케이제이휴먼주식회사","2025-12-31 13:35:44","U","2026-01-03 02:40:00","","154827.529861045","443512.476722866","법인","유료",
"28","유료직업소개소","11_50_02_P","3100000","2021310018414500005","2021-08-11","","01","영업/정상","20","영업중","","","","","070 41029499","","","서울특별시 노원구 상계동 693 미도빌딩","서울특별시 노원구 동일로 1426, 미도빌딩 5층 503호 (상계동)","01694","주식회사 블루에이치알","2025-12-31 09:30:29","U","2026-01-03 02:40:00","","205273.302426861","461515.158002149","법인","유료",
"29","유료직업소개소","11_50_02_P","4781000","2019478010514500008","2019-04-19","","01","영업/정상","20","영업중","","","","","","","","전북특별자치도 고창군 무장면 무장리 114번지 2호 옥돌정육식당","전북특별자치도 고창군 무장면 무장남북로 21","56455","무장인력","2025-12-31 15:07:19","U","2026-01-03 02:40:00","","160051.544132334","213081.336318085","개인","유료",
"30","유료직업소개소","11_50_02_P","3270000","2021327013914500007","2021-05-28","","03","폐업","40","폐업","2025-12-31","","","","051 4425369","","","부산광역시 동구 초량동 46-26","부산광역시 동구 고관로 11-2, 3층 (초량동)","48798","수인력개발","2025-12-31 18:46:31","U","2026-01-03 02:40:00","","386050.243781346","182079.467102175","개인","유료",
"31","유료직업소개소","11_50_02_P","4050000","2003405008311500004","2003-02-10","","03","폐업","40","폐업","2025-12-31","","","","031 321 3929","","","경기도 용인시 처인구 김량장동 116번지 7호","경기도 용인시 처인구 백옥대로 1123, 3층 (김량장동)","449-924","용인파출부","2025-12-31 17:50:43","U","2026-01-03 02:40:00","","218431.878682022","414919.442645015","개인","유료",
"32","유료직업소개소","11_50_02_P","3220000","2020322025014500018","2020-10-07","","01","영업/정상","20","영업중","","","","","02  69599202","","","서울특별시 강남구 대치동 891-25 보성빌딩","서울특별시 강남구 테헤란로70길 13, 보성빌딩 8층 (대치동)","06194","(주)갤리언컨설팅그룹","2025-12-31 09:14:09","U","2026-01-03 02:40:00","","204674.280067241","444735.596578398","법인","유료",
"33","유료직업소개소","11_50_02_P","5210000","2025521012714500002","2025-04-17","","03","폐업","40","폐업","2025-12-31","","","","","","","경상북도 성주군 성주읍 예산리 795 썬베르디움 상가동 101호","경상북도 성주군 성주읍 성주읍2길 43, 상가동 1층 101호 (썬베르디움)","40029","굿데이 컨설팅 주식회사","2025-12-31 15:54:12","U","2026-01-03 02:40:00","","316344.604371579","269767.767825775","법인","유료",
"34","유료직업소개소","11_50_02_P","4721000","2025472105314500008","2025-07-18","","03","폐업","40","폐업","2025-12-31","","","","","","","전북특별자치도 완주군 봉동읍 둔산리 937-2","전북특별자치도 완주군 봉동읍 과학로 981","55319","K워크넷","2025-12-31 16:38:45","U","2026-01-03 02:40:00","","211202.06331457","272925.082527396","개인","유료",
"35","유료직업소개소","11_50_02_P","3210000","2022321019514500027","2022-10-21","","01","영업/정상","20","영업중","","","","","0222822782","","","서울특별시 서초구 양재동 13-4 양재프라자","서울특별시 서초구 강남대로 216, 양재프라자 1층 1호 (양재동)","06736","케이위더스(주)","2025-12-31 12:56:37","U","2026-01-03 02:40:00","","203077.450142222","442369.60016449","법인","유료",
"36","유료직업소개소","11_50_02_P","4761000","2021476010514500002","2018-05-09","","03","폐업","40","폐업","2025-12-31","","","","","","","전북특별자치도 임실군 오수면 오수리 337-13 쓰리원 피자","전북특별자치도 임실군 오수면 오수로 138, 쓰리원 피자","55953","오수인력","2025-12-31 16:34:00","U","2026-01-03 02:40:00","","229809.749391371","226492.269768188","개인","유료",
"37","유료직업소개소","11_50_02_P","4681000","2023468041614500007","2023-08-29","","03","폐업","40","폐업","2025-12-30","","","","","","","전북특별자치도 익산시 영등동 771-2 비사벌아파트","전북특별자치도 익산시 고봉로30길 51, 1층 8호 (영등동, 비사벌아파트)","54637","내일같이","2025-12-31 10:10:38","U","2026-01-03 02:40:00","","197713.599026911","272952.920667788","개인","유료",
"38","유료직업소개소","11_50_02_P","4691000","2020469032014500011","2020-11-17","","03","폐업","40","폐업","2025-12-30","","","","","","","전북특별자치도 정읍시 연지동 49-7","전북특별자치도 정읍시 중앙로 66(연지동)","56160","샘골인력","2025-12-31 10:05:20","U","2026-01-03 02:40:00","","186133.00814243","230115.778205294","개인","유료",
"39","유료직업소개소","11_50_02_P","3410000","2021341015114500001","2019-07-25","","01","영업/정상","20","영업중","","","","","053 525 8597","","","대구광역시 중구 수동 22","대구광역시 중구 국채보상로 535, 태남빌딩 4층 (수동)","41919","주식회사 행복인디제이","2025-12-31 10:37:06","U","2026-01-03 02:40:00","","343449.23290773","264542.339651852","법인","유료",
"40","유료직업소개소","11_50_02_P","4970000","2025497010614500001","2025-03-18","","01","영업/정상","20","영업중","","","","","","","","전라남도 영광군 영광읍 도동리 4통 2반 세가빌리브 102동 103호","전라남도 영광군 영광읍 옥당로 85-8, 상가동 1층 102호 (국제아파트)","57049","해인통합간병인협회","2025-12-31 14:38:40","U","2026-01-03 02:40:00","","154855.835798199","196923.051955434","개인","유료",
"41","유료직업소개소","11_50_02_P","5590000","2022559026114500004","2022-02-03","","01","영업/정상","20","영업중","","","","","","","","경기도 양주시 덕계동 681-23","경기도 양주시 평화로 1435, 2층 (덕계동)","11443","에스엠파출","2025-12-31 11:19:01","U","2026-01-03 02:40:00","","205473.792770145","482359.400853841","개인","유료",
"42","유료직업소개소","11_50_02_P","3180000","2023318025614500041","2023-12-29","","01","영업/정상","20","영업중","","","","","","","","서울특별시 영등포구 대림동 1050-30","서울특별시 영등포구 도림로 128-1, 3층 (대림동)","07416","제일직업소개소","2025-12-31 13:45:11","U","2026-01-03 02:40:00","","190798.97214432","443380.184112311","개인","유료",
"43","유료직업소개소","11_50_02_P","5100000","2015510017814500002","2015-04-14","","01","영업/정상","20","영업중","","","","","","","","경상북도 영천시 야사동 158번지 34호 풀비체 1층 상가(101호)","경상북도 영천시 새말1길 43 (야사동)","770-903","성광복지센터","2025-12-31 13:44:44","U","2026-01-03 02:40:00","","375233.512532626","276740.069685487","개인","유료",
"44","유료직업소개소","11_50_02_P","3220000","2018322016314500055","2018-12-24","","01","영업/정상","20","영업중","","","","","0221886846","","","서울특별시 강남구 역삼동 720-19 삼봉빌딩","서울특별시 강남구 언주로 431, 삼봉빌딩 3층 (역삼동)","06221","(주)플랫포머스","2025-12-31 09:34:01","U","2026-01-03 02:40:00","","203709.359085607","444410.40506622","법인","유료",
"45","유료직업소개소","11_50_02_P","3270000","2018327008614500011","2018-12-12","","01","영업/정상","20","영업중","","","","","","","","부산광역시 동구 수정동 234-7","부산광역시 동구 고관로 129-1 (수정동)","48781","수호천사요양간병협회","2025-12-31 14:16:46","U","2026-01-03 02:40:00","","387867.211501678","184107.909838092","개인","유료",
"46","유료직업소개소","11_50_02_P","4000000","2021400019314500002","2021-01-22","","01","영업/정상","20","영업중","","","","","","","","경기도 오산시 오산동 409-2","경기도 오산시 오산로 295, 2층 (오산동)","18136","허브인력개발","2025-12-31 09:33:15","U","2026-01-03 02:40:00","","206013.912917433","405726.847961715","개인","유료",
"47","유료직업소개소","11_50_02_P","5410000","2023541011214500014","2023-11-17","","01","영업/정상","20","영업중","","","","","","","","경상남도 창녕군 창녕읍 술정리 177-5","경상남도 창녕군 창녕읍 창녕대로 99-1, 4층 403호","50332","(주)가야산업개발","2025-12-31 10:48:32","U","2026-01-03 02:40:00","","335686.472719652","227318.08954158","법인","유료",
"48","유료직업소개소","11_50_02_P","4251000","2023425102214500002","2021-03-12","","04","취소/말소/만료/정지/중지","80","사업정지","","","","","","","","강원특별자치도 홍천군 서면 개야리 322-5","강원특별자치도 홍천군 서면 개야로 211, 1층","25100","두드림 직업소개소","2025-12-31 13:26:54","U","2026-01-03 02:40:00","","255093.681365265","464817.986434161","개인","유료",
"49","유료직업소개소","11_50_02_P","4140000","2026414015214500001","2025-02-14","","01","영업/정상","20","영업중","","","","","","","","경기도 연천군 군남면 남계리 1177","경기도 연천군 군남면 청정로 2182, 가동","11008","가나안인력사무소","2026-01-02 14:58:32","I","2026-01-04 00:20:12","","202405.782306396","503378.903395875","개인","유료",
"50","유료직업소개소","11_50_02_P","5190000","2026519012314500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","경상북도 청도군 매전면 동산리 183-3","경상북도 청도군 매전면 청려로 3703-1, 1층","38354","다온인력","2026-01-02 14:15:09","I","2026-01-04 00:20:12","","368031.457220489","242445.904397157","개인","유료",
"51","유료직업소개소","11_50_02_P","3120000","2026312021914500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","서울특별시 서대문구 북아현동 126-44 수창빌딩","서울특별시 서대문구 신촌로 283, 수창빌딩 2층 (북아현동)","03758","좋은인력","2026-01-02 14:10:05","I","2026-01-04 00:20:12","","196190.873749224","450591.841668215","개인","유료",
"52","유료직업소개소","11_50_02_P","3600000","2026360023114500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","광주광역시 서구 농성동 448-2","광주광역시 서구 월산로 271, 3층 (농성동)","61933","이든케어","2026-01-02 14:23:49","I","2026-01-04 00:20:12","","189735.09611072","184540.610779721","개인","유료",
"53","유료직업소개소","11_50_02_P","4540000","2026454031114500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","충청남도 논산시 반월동 146-2","충청남도 논산시 해월로143번길 4-1, 1층 (반월동)","32951","다성인력","2026-01-02 11:20:26","I","2026-01-04 00:20:12","","207435.768759679","300381.560224285","개인","유료",
"54","유료직업소개소","11_50_02_P","3150000","2026315020114500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","서울특별시 강서구 가양동 14-3 가양우성아파트","서울특별시 강서구 양천로 489, 상가동 지층 제1-3호 (가양동, 가양우성아파트)","07526","그린케어간병센터","2026-01-02 15:33:38","I","2026-01-04 00:20:12","","187048.161511426","451115.773002543","개인","유료",
"55","유료직업소개소","11_50_02_P","3410000","2026341018214500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","대구광역시 중구 태평로1가 1-187 태평라이프아파트","대구광역시 중구 태평로 177, 2층 215호 (태평로1가, 태평라이프아파트)","41903","성심직업소개소","2026-01-02 13:26:06","I","2026-01-04 00:20:12","","344204.5224695","265028.313376104","개인","유료",
"56","유료직업소개소","11_50_02_P","3930000","2026556000214500001","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","경기도 안산시 단원구 선부동 974-5","경기도 안산시 단원구 지곡로 39-1, 지하1층 (선부동)","15229","인재","2026-01-02 17:07:04","I","2026-01-04 00:20:12","","182462.348337174","426227.665659029","개인","유료",
"57","유료직업소개소","11_50_02_P","3160000","2026316016014500001","2026-01-02","","01","영업/정상","20","영업중","","","","","028666060","","","서울특별시 구로구 가리봉동 89-2","서울특별시 구로구 디지털로27길 131, 2층 (가리봉동)","08385","(주)더조은인력","2026-01-02 10:09:18","I","2026-01-04 00:20:12","","189925.537705133","442513.948952414","법인","유료",
"58","유료직업소개소","11_50_02_P","3160000","2026316016014500002","2026-01-02","","01","영업/정상","20","영업중","","","","","","","","서울특별시 구로구 구로동 719-15","서울특별시 구로구 구로동로17길 19-1, 1층 (점포2칸)호 (구로동)","08318","섬김간병인협회","2026-01-02 11:32:44","I","2026-01-04 00:20:12","","189612.429752239","442904.390342244","개인","유료",
"59","유료직업소개소","11_50_02_P","4930000","2008493000814500002","2008-02-18","","01","영업/정상","20","영업중","","","","","061 537 5559","","","전라남도 해남군 해남읍 남외리 369번지 3호","전라남도 해남군 해남읍 남외1길 126","536-806","삼성인력개발직업소개소","2026-01-02 14:12:50","U","2026-01-04 02:40:00","","162431.953146592","119219.13013972","개인","유료",
"60","유료직업소개소","11_50_02_P","3620000","2011362008014500022","2011-12-20","","01","영업/정상","20","영업중","","","","","062 576 2535","","","광주광역시 북구 양산동 275번지 21호","광주광역시 북구 연양로 51-1 (양산동)","500-200","성공직업소개소","2026-01-02 16:58:59","U","2026-01-04 02:40:00","","188354.796797176","189723.744504631","개인","유료",
"61","유료직업소개소","11_50_02_P","3990000","2003399008911500001","2003-08-01","","01","영업/정상","20","영업중","","","","","","","","경기도 남양주시 금곡동 402-1 27통 4반 미라보아파트 1408호","경기도 남양주시 홍유릉로325번길 16, 203호 (금곡동,인정프린스아파트상가)","","가나안직업소개소","2026-01-02 16:11:30","U","2026-01-04 02:40:00","","218376.623580688","459383.558943005","개인","유료",
"62","유료직업소개소","11_50_02_P","4050000","2024562002714500031","2024-09-02","","01","영업/정상","20","영업중","","","","","","","","경기도 용인시 처인구 백암면 근곡리 707","경기도 용인시 처인구 백암면 죽양대로 1427-31","17176","주식회사 전국 기초수급자 중앙회","2026-01-02 09:41:28","U","2026-01-04 02:40:00","","231341.044704704","407813.07636533","법인","유료",
"63","유료직업소개소","11_50_02_P","3620000","2024362019114500026","2024-10-25","","01","영업/정상","20","영업중","","","","","","","","광주광역시 북구 오치동 1014-12 1층","광주광역시 북구 송월로58번길 7-2, 1층 (오치동)","61123","삼익간병인협회","2026-01-02 13:41:26","U","2026-01-04 02:40:00","","192111.283747338","187767.067242341","개인","유료",
"64","유료직업소개소","11_50_02_P","4641000","2024465100614500012","2024-07-30","","01","영업/정상","20","영업중","","","","","","","","전북특별자치도 전주시 완산구 효자동3가 1627-6","전북특별자치도 전주시 완산구 유연로 154, 5층 503호 (효자동3가)","54962","지더블유 인력개발원 주식회사","2026-01-02 09:15:28","U","2026-01-04 02:40:00","","209168.496399958","258310.060691602","법인","유료",
"65","유료직업소개소","11_50_02_P","3900000","2016390019514500005","2016-06-03","","01","영업/정상","20","영업중","","","","","02  26110111","","","","경기도 광명시 오리로 1036-1, 202호 (광명동)","14203","명직업소개소","2026-01-02 14:20:56","U","2026-01-04 02:40:00","","186518.518788703","442143.525732803","개인","유료",
"66","유료직업소개소","11_50_02_P","3000000","2012300016314500005","2012-12-18","","01","영업/정상","20","영업중","","","","","02  63277300","","","서울특별시 종로구 내수동 167 대우빌딩","서울특별시 종로구 새문안로3길 30, 대우빌딩 601, 603호 (내수동)","03173","주식회사플러스휴먼리소스","2026-01-02 10:05:21","U","2026-01-04 02:40:00","","197567.93800572","452276.454633376","법인","유료",
"67","유료직업소개소","11_50_02_P","3000000","2016300016914500012","2016-10-20","","01","영업/정상","20","영업중","","","","","02  988 1919","","","서울특별시 종로구 숭인동 298-1","서울특별시 종로구 종로 350, 3층 2호 (숭인동)","03114","로타리 직업소개소","2026-01-02 15:02:18","U","2026-01-04 02:40:00","","201380.152505008","452291.856970378","개인","유료",
"68","유료직업소개소","11_50_02_P","5670000","2024567056814500007","2024-04-09","","03","폐업","40","폐업","2026-01-02","","","","0555438874","","","경상남도 창원시 진해구 경화동 1173-31","경상남도 창원시 진해구 충장로 255-1, 102호 (경화동)","51666","유니플러스비전","2026-01-02 17:07:45","U","2026-01-04 02:40:00","","353011.298297119","185075.080460282","개인","유료",
"69","유료직업소개소","11_50_02_P","3000000","2024300024514500008","2024-05-08","","01","영업/정상","20","영업중","","","","","","","","서울특별시 종로구 신문로1가 116 에스타워","서울특별시 종로구 새문안로 82, 에스타워 19층 1907호 (신문로1가)","03185","주식회사 에코인투","2026-01-02 10:04:20","U","2026-01-04 02:40:00","","197626.497681648","451938.484384565","법인","유료",
"70","유료직업소개소","11_50_02_P","3860000","2017386050214500001","2017-03-13","","01","영업/정상","20","영업중","","","","","032 342 1204","","","경기도 부천시 소사구 소사본동 22통 6반 청담네스트 301호","경기도 부천시 소사구 소사로 237-3, 2층 (소사본동)","14705","서해직업소개소","2026-01-02 19:10:27","U","2026-01-04 02:40:00","","181821.318644203","441941.708005833","개인","유료",
"71","유료직업소개소","11_50_02_P","3650000","2020365011514500003","2020-04-17","","01","영업/정상","20","영업중","","","","","","","","대전광역시 중구 유천동 335번지 1호","대전광역시 중구 대둔산로 524, 1층 (유천동)","34978","굿모닝인력","2026-01-02 15:42:43","U","2026-01-04 02:40:00","","234996.423038226","312836.892337597","개인","유료",
"72","유료직업소개소","11_50_02_P","3900000","2025390037314500001","2025-10-22","","01","영업/정상","20","영업중","","","","","07066777016","","","경기도 광명시 일직동 515","경기도 광명시 일직로 72, 광명국제무역센터 에이동 1211호 (일직동)","14348","올바로솔루션","2026-01-02 14:27:46","U","2026-01-04 02:40:00","","190124.458858418","435332.556961729","개인","유료",
"73","유료직업소개소","11_50_02_P","4540000","2025454031114500018","2025-12-24","","01","영업/정상","20","영업중","","","","","","","","충청남도 논산시 화지동 32-55","충청남도 논산시 해월로 215, 1층 (화지동)","32965","희망인력","2026-01-02 11:21:51","U","2026-01-04 02:40:00","","208025.798187317","300701.85143751","개인","유료",
"74","유료직업소개소","11_50_02_P","4641000","2016465007714500002","2016-02-01","","01","영업/정상","20","영업중","","","","","","","","대전광역시 유성구 궁동 482-7","대전광역시 유성구 대학로 82, 4층 (궁동)","34183","주식회사 제이비커리어 대전센터","2026-01-02 15:59:23","U","2026-01-04 02:40:00","","230860.821978306","317814.881361424","법인","유료",
"75","유료직업소개소","11_50_02_P","3650000","2018365011514500005","2018-05-04","","03","폐업","40","폐업","2026-01-02","","","","","","","대전광역시 중구 옥계동 39번지 2호","대전광역시 중구 대종로 89, 2층 (옥계동)","35069","천지인력개발","2026-01-02 14:39:42","U","2026-01-04 02:40:00","","240588.912275857","311192.25829696","개인","유료",
