"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"28","국내여행업","03_12_01_P","5600000","CDFI2260012003000001","2003-01-22","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 군내면 유교리 457-6","경기도 포천시 군내면 유교로 175","11157","천일고속관광(주)","2026-01-05 11:43:22","U","2026-01-07 02:40:00","","","","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20250826","20260826","","0","",
"29","국내여행업","03_12_01_P","5600000","CDFI2260012011000001","2011-12-14","","01","영업/정상","13","영업중","","","","","031-544-2848","","","경기도 포천시 선단동 8-5","경기도 포천시 탑동가산로 548 (선단동)","11158","투어샵","2026-01-05 11:27:58","U","2026-01-07 02:40:00","","215019.544627424","483944.583155903","국내여행업","","준주거지역","1","아파트지역","","서울보증보험주식회사","근린생활시설","3","1","0","0","Tour Shop","Domestic Tour Agency","0","0","","0","0","","0","33","","0","","","","","","","78000000","20250101","20251231","","33","",
"30","국내여행업","03_12_01_P","5600000","CDFI2260012012000001","2010-01-25","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 가산면 마산리 399-25","경기도 포천시 가산면 선마로 238","11164","하나포천투어","2026-01-05 11:32:38","U","2026-01-07 02:40:00","","216399.443170036","482739.88816105","국내여행업","","일반상업지역","2","학교정화(상대)","","서울보증보험","근린생활시설","2","0","0","0","Hana Pocheon Tour","Domestic tour agengcy","0","0","","0","0","","0","47.53","","0","","","","","","","160000000","20250901","20260831","","48","",
"31","국내여행업","03_12_01_P","5600000","CDFI2260012012000002","2012-07-11","","01","영업/정상","13","영업중","","","","","031-542-9233","","487-823","경기도 포천시 소흘읍 송우리 146-2","경기도 포천시 소흘읍 솔모루로 53","11178","드림여행사","2026-01-05 11:29:48","U","2026-01-07 02:40:00","","212655.091335009","480513.513671117","국내여행업","","근린상업지역","3","아파트지역","","서울보증보험","근린생활시설","3","0","0","0","","","0","0","","0","0","","0","50","","0","","","","","","","30000000","20251008","20261007","","50","",
"32","국내여행업","03_12_01_P","5600000","CDFI2260012013000001","2013-04-08","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 신읍동 112-11","경기도 포천시 호병로 51-10 (신읍동)","11148","IC TOUR","2026-01-05 11:34:12","U","2026-01-07 02:40:00","","217285.241111162","488050.788934465","국내여행업","","자연녹지지역","0","학교정화(상대)","","서울보증보험주식회사","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","33","","0","","","","","","","30000000","20250801","20260731","","33","",
"33","국내여행업","03_12_01_P","5600000","CDFI2260012013000004","2013-08-04","","01","영업/정상","13","영업중","","","","","031-531-0178","","487-892","경기도 포천시 영북면 운천리 505-11","경기도 포천시 영북면 운천로 8","11105","주식회사 조은","2026-01-05 11:35:18","U","2026-01-07 02:40:00","","223916.029626986","509891.208826298","국내여행업","","준주거지역","2","학교정화(상대)","","서울보증보험주식회사","사무실","1","0","0","0","","","0","0","","0","0","","0","26","","0","","","","","","","30000000","20250805","20260804","","26","",
"34","국내여행업","03_12_01_P","6510000","CDFI2260012015000002","2015-01-08","","01","영업/정상","13","영업중","","","","","064-805-6565","","690-846","제주특별자치도 제주시 삼도일동 554-6","제주특별자치도 제주시 서광로21길 4-1, 2층층 (삼도일동)","63182","나우제주","2026-01-05 18:30:18","U","2026-01-07 02:40:00","","155526.065999918","559.026062112054","국내여행업","","","0","","","서울보증보험","사무실","0","0","0","0","","","0","0","","0","0","","0","44","","0","","","","","","","50000000","20260108","20270107","","44","",
"35","국내여행업","03_12_01_P","5600000","CDFI2260012015000002","2015-11-02","","01","영업/정상","13","영업중","","","","","031-543-9922","","","경기도 포천시 자작동 588-4","경기도 포천시 자작로 155, 경기대진테크노파크 304-2호 (자작동)","11158","브이아이피여행(주)","2026-01-05 11:40:17","U","2026-01-07 02:40:00","","214204.284090553","485923.217347631","국내여행업","","관리지역","6","기타","","서울보증보험주식회사","교육연구시설","5","1","0","0","","","0","0","","0","0","","0","96.66","","0","","","","","","","30000000","20251022","20281021","","97","",
"36","국내여행업","03_12_01_P","5600000","CDFI2260012017000001","1998-06-15","","01","영업/정상","13","영업중","","","","","031-536-7740,","","","경기도 포천시 신북면 가채리 809-5","경기도 포천시 신북면 원앙로 99","11140","하나플러스투어(주)","2026-01-05 11:40:56","U","2026-01-07 02:40:00","","218117.497915878","489094.697888573","국내여행업","관광사업","준주거지역","1","기타","","서울보증보험","사무실","1","0","0","0","Hana Plus Tour co., Ltd.","Domestic Travel Agency","0","0","","0","0","","0","52.81","","0","","","","","","","200000000","20240621","20270620","","53","",
"37","국내여행업","03_12_01_P","3200000","CDFI2260012025000004","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 관악구 신림동 299-17","서울특별시 관악구 광신길 237, 지하1층 (신림동)","08846","힐링로드","2026-01-05 11:15:11","U","2026-01-07 02:40:00","","193791.180894756","440520.004217588","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251231","20261230","","0","",
"38","국내여행업","03_12_01_P","3150000","CDFI2260012012000008","2012-07-27","","03","폐업","03","폐업","2023-12-07","","","","02-2607-6896","","157-884","서울특별시 강서구 화곡동 372-1 지층","서울특별시 강서구 가로공원로 186, 지층 (화곡동)","157-884","주식회사 착한여행늘봄","2026-01-05 17:04:36","U","2026-01-07 02:40:00","","185498.755132778","448300.451846753","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","","","","0","",
"39","국내여행업","03_12_01_P","4090000","CDFI2260012020000003","2020-08-05","","01","영업/정상","13","영업중","","","","","02-737-7274","","","경기도 김포시 양촌읍 양곡리 279-1","경기도 김포시 양촌읍 양곡4로 139, 나동 104호","10057","주식회사 하나트레블","2026-01-05 09:27:52","U","2026-01-07 02:40:00","","166728.39096648","462059.048308218","국내여행업","","","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250904","20260904","","0","",
"40","국내여행업","03_12_01_P","6510000","CDFI2260012023000001","2023-01-03","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담삼동 1032-3 101호","제주특별자치도 제주시 서해안로 620-13, 101호 (용담삼동)","63150","주식회사 제주마음렌트카","2026-01-05 18:25:39","U","2026-01-07 02:40:00","","153753.722782165","2240.13204931294","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","100000000","20260103","20270102","","0","",
"41","국내여행업","03_12_01_P","3420000","CDFI2260012021000003","2021-06-04","","03","폐업","03","폐업","2024-06-20","","","","","","","대구광역시 동구 신서동 557-7","대구광역시 동구 동호로 143, 2층 (신서동)","41088","(주)예문관","2026-01-05 15:27:08","U","2026-01-07 02:40:00","","356353.404987598","264478.094357599","국내여행업","","","0","","","관광공제회","","2","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","500000000","","","","0","",
"42","국내여행업","03_12_01_P","5600000","CDFI2260012023000001","2011-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 화현면 명덕리 570-6","경기도 포천시 화현면 봉화로577번길 32","11125","(주)팔삼하나여행사","2026-01-05 11:37:53","U","2026-01-07 02:40:00","","224003.847541918","488449.93298799","국내여행업","","","0","","","경기도관광협회(3천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20241025","20261024","","0","",
"43","국내여행업","03_12_01_P","5160000","CDFI2260012016000001","2016-06-14","","01","영업/정상","13","영업중","","","","","054-873-7799","","","경상북도 청송군 청송읍 금곡리 844-17 품에그린","경상북도 청송군 청송읍 금곡4길 3, C동 1층 102호 (품에그린)","37433","청송관광협동조합","2026-01-06 09:08:54","U","2026-01-09 02:40:00","","383903.946230858","328156.800031501","국내여행업","","","1","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","130","","0","","","","","","","30000000","","","","130","",
"44","국내여행업","03_12_01_P","4580000","CDFI2260012018000002","2018-07-24","","03","폐업","03","폐업","2026-01-06","","","","","","","충청남도 서천군 서천읍 군사리 568-2","충청남도 서천군 서천읍 서천로 47","33646","굿모닝 여행사","2026-01-06 16:30:51","U","2026-01-09 02:40:00","","172393.542251518","286224.085855285","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","40000000","","","","0","",
"45","국내여행업","03_12_01_P","6510000","CDFI2260012019000022","2019-05-15","","01","영업/정상","13","영업중","","","","","064-722-9907","","","제주특별자치도 제주시 용담이동 481-27 2층","제주특별자치도 제주시 용두암길 14, 2층 (용담이동)","63152","큐제주닷컴","2026-01-06 10:28:53","U","2026-01-09 02:40:00","","155820.923647082","-101.060543739437","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20250516","20260516","","0","",
"46","국내여행업","03_12_01_P","6510000","CDFI2260012013000034","2013-06-05","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 노형동 939-4 영보아파트 201호","제주특별자치도 제주시 원노형로 36, 201호 (노형동, 영보아파트)","63082","(주)제주사람들","2026-01-07 18:04:47","U","2026-01-09 02:40:00","","152030.968312106","-1089.63563776642","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260107","20270107","","0","",
"47","국내여행업","03_12_01_P","6510000","CDFI2260012012000007","2012-01-18","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 481-27 2층","제주특별자치도 제주시 용두암길 14, 2층 (용담이동)","63152","제주닷투","2026-01-06 10:27:37","U","2026-01-09 02:40:00","","155820.923647082","-101.060543739437","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","60","","0","","","","","","","50000000","20230113","20240113","","60","",
"48","국내여행업","03_12_01_P","6510000","CDFI2260012018000019","2018-04-03","","01","영업/정상","13","영업중","","","","","064-748-3112","","","제주특별자치도 제주시 연동 302-12 신평화빌딩 206호","제주특별자치도 제주시 신대로13길 1, 신평화빌딩 206호 (연동)","63122","22세기여행사","2026-01-07 15:03:59","U","2026-01-09 02:40:00","","153187.087907833","-832.712407264074","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","54108288","20250409","20260409","","0","",
"49","국내여행업","03_12_01_P","6510000","CDFI2260012015000001","2015-01-05","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 건입동 657","제주특별자치도 제주시 임항로 257, 3층 (건입동)","63283","히든여행사","2026-01-06 13:46:48","U","2026-01-09 02:40:00","","157095.75962775","2449.45478333662","국내여행업","","","0","","","서울보증보험","사무실","0","0","0","0","","","0","0","","0","0","","0","61","","0","","","","","","","50000000","20260105","20270104","","61","",
"50","국내여행업","03_12_01_P","6510000","CDFI2260012002000043","2002-01-11","","01","영업/정상","13","영업중","","","","","743-0701","","","제주특별자치도 제주시 연동 1524 203호","제주특별자치도 제주시 국기중길 28, 203호 (연동)","63139","(주)제주새롬여행사","2026-01-07 17:12:30","U","2026-01-09 02:40:00","","152723.209958297","-1833.31763055602","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260111","20270110","","0","",
"51","국내여행업","03_12_01_P","6510000","CDFI2260012005000006","2005-01-24","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 일도이동 46","제주특별자치도 제주시 천수로 92, 208동 202호 (일도이동, 2차신천지아파트)","63257","제주항공여행사","2026-01-06 15:17:53","U","2026-01-09 02:40:00","","157741.82393166","1207.64002334212","국내여행업","관광사업","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260123","20270123","","0","",
