"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"29","목욕장업","11_44_01_P","4140000","4140000-202-2026-00001","2026-01-07","","01","영업/정상","01","영업","","","","","070 49530539","633.50","486-902","경기도 연천군 전곡읍 은대리 664-3 태풍아파트","경기도 연천군 전곡읍 평화로699번길 22 (태풍아파트)","11024","태풍인의 집 목욕탕","2026-01-07 09:35:44","I","2026-01-09 00:20:01","공동탕업","205437.822391346","503354.452554446","공동탕업","2","0","1","2","0","0","2","Y","","","","임대","1","1","N",
"30","목욕장업","11_44_01_P","3940000","3950000-202-2017-00003","2017-08-14","","01","영업/정상","01","영업","","","","","031 51734500","7065.02","412-090","경기도 고양시 덕양구 동산동 370 스타필드 고양 쇼핑몰동 4(일부)층","경기도 고양시 덕양구 고양대로 1955, 4(일부)층 (동산동, 스타필드 고양 쇼핑몰동)","10595","아쿠아필드 고양점","2026-01-07 13:18:25","U","2026-01-09 02:40:00","공동탕업+찜질시설서비스영업","190645.314309928","460528.947974088","공동탕업+찜질시설서비스영업","0","0","4","4","0","0","11","Y","","","","","0","0","Y",
"31","목욕장업","11_44_01_P","3520000","3520000-202-2018-00001","2018-01-03","","01","영업/정상","01","영업","","","","","070 74628000","1506.18","406-838","인천광역시 연수구 옥련동 265-8 지하 1층B01호, 지하2층 B02호","인천광역시 연수구 비류대로 170, 지하 1층B01호, 지하2층 B02호 (옥련동)","21948","태평양사우나","2026-01-06 09:54:51","U","2026-01-09 02:40:00","공동탕업","169267.352680461","436307.985720984","공동탕업","0","0","0","0","1","2","2","Y","","","","","0","0","N",
"32","목욕장업","11_44_01_P","3480000","3480000-202-2020-00001","2020-01-16","","01","영업/정상","01","영업","","","","","053 615 2233","2680.76","","대구광역시 달성군 유가읍 금리 1145","대구광역시 달성군 유가읍 테크노중앙대로1길 68, 5, 6층 501, 502, 601호","43024","유황원스파","2026-01-07 13:33:30","U","2026-01-09 02:40:00","공동탕업+찜질시설서비스영업","331369.042250508","242604.778959053","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"33","목욕장업","11_44_01_P","3150000","3150000-202-2020-00002","2020-02-20","","01","영업/정상","01","영업","","","","","0236617070","318.34","157-210","서울특별시 강서구 마곡동 774-1 B104호","서울특별시 강서구 공항대로 209, 지하1층 B104~107호 (마곡동)","07802","마곡 사우나","2026-01-06 11:43:57","U","2026-01-09 02:40:00","공동탕업+찜질시설서비스영업","184988.438404292","450841.104425972","공동탕업+찜질시설서비스영업","0","0","0","0","1","1","2","Y","","","","","0","0","N",
"34","목욕장업","11_44_01_P","3740000","3750000-202-2024-00001","2024-01-17","","01","영업/정상","01","영업","","","","","15553550","1064.00","440-835","경기도 수원시 장안구 정자동 111-14","경기도 수원시 장안구 수성로 175, 7층 7133호 (정자동)","16318","콩코드 피트니스클럽","2026-01-06 17:08:49","U","2026-01-09 02:40:00","공동탕업+찜질시설서비스영업","199161.380909543","420620.351156652","공동탕업+찜질시설서비스영업","0","0","7","7","0","0","2","Y","","","","","0","0","Y",
"35","목욕장업","11_44_01_P","5470000","5470000-202-2020-00001","2020-08-20","","01","영업/정상","01","영업","","","","","055944 0112","2250.51","670-912","경상남도 거창군 가조면 일부리 1275 패밀리관광호텔","경상남도 거창군 가조면 온천길 108-11, 패밀리관광호텔","50118","호텔가조(HOTELGaJo)","2026-01-07 16:48:47","U","2026-01-09 02:40:00","공동탕업","292732.543602736","244814.378937786","공동탕업","3","1","1","1","0","0","8","N","","","","자가","0","0","N",
"36","목욕장업","11_44_01_P","3450000","3450000-202-2006-00001","2006-01-11","","01","영업/정상","01","영업","","","","","053 357 6002","1219.42","702-851","대구광역시 북구 칠성동2가 2-5","대구광역시 북구 옥산로 103 (칠성동2가, 침산푸르지오지하 101호)","41593","금은주식회사 그린스포츠센타","2026-01-07 09:49:07","U","2026-01-09 02:40:00","공동탕업","343260.639405268","266077.818454819","공동탕업","0","0","0","0","1","1","2","Y","","","","임대","0","0","N",
"37","목욕장업","11_44_01_P","3460000","3460000-202-2002-00004","2002-10-12","","03","폐업","02","폐업","2026-01-07","","","","053 791 4200","1575.90","706-140","대구광역시 수성구 매호동 1058-2","대구광역시 수성구 천을로 173 (매호동)","42265","달구벌신협 스포랜드","2026-01-07 11:43:29","U","2026-01-09 02:40:00","공동탕업","354384.426572907","261760.798799355","공동탕업","6","2","2","4","0","0","0","N","","","","","0","0","N",
"38","목욕장업","11_44_01_P","3550000","3550000-202-2001-00007","2001-01-11","","01","영업/정상","01","영업","","","","","032 5473322","1735.87","407-825","인천광역시 계양구 작전동 901-1 상록메디컬센타","인천광역시 계양구 장제로 718, 상록메디컬센타 5층,7층 (작전동)","21079","천지연스파사우나","2026-01-07 10:07:09","U","2026-01-09 02:40:00","공동탕업","176445.615200023","447763.871895495","공동탕업","7","1","5","7","0","0","0","N","","","","","0","0","N",
"39","목욕장업","11_44_01_P","5710000","5720000-202-2012-01001","2012-04-20","","01","영업/정상","01","영업","","","","","043 292 7766","2109.43","360-190","충청북도 청주시 상당구 용담동 411 드림21","충청북도 청주시 상당구 산성로116번길 28, 드림21 5~7층 (용담동)","28744","드림스파사우나","2026-01-07 09:38:19","U","2026-01-09 02:40:00","공동탕업+찜질시설서비스영업","245169.948206807","348025.440936144","공동탕업+찜질시설서비스영업","7","2","5","7","0","0","1","Y","","","","","0","0","Y",
"40","목욕장업","11_44_01_P","5470000","5470000-202-1974-00001","1974-12-12","","01","영업/정상","01","영업","","","","","055 9442516","322.00","670-802","경상남도 거창군 거창읍 김천리 83-1","경상남도 거창군 거창읍 강남로 140","50144","대성탕","2026-01-07 16:56:52","U","2026-01-09 02:40:00","공동탕업","282549.070892638","242976.445688","공동탕업","3","0","1","2","0","0","0","N","","","","","0","0","N",
"41","목욕장업","11_44_01_P","5470000","5470000-202-1995-00001","1995-03-07","","01","영업/정상","01","영업","","","","","055 9411280","526.09","670-912","경상남도 거창군 가조면 수월리 455-4","경상남도 거창군 가조면 가조가야로 1125","50118","본사우나","2026-01-07 16:56:09","U","2026-01-09 02:40:00","공동탕업","292059.73350256","246091.855412442","공동탕업","0","0","1","2","0","0","0","N","","","","","0","0","N",
"42","목욕장업","11_44_01_P","5470000","5470000-202-2014-00001","2014-04-08","","01","영업/정상","01","영업","","","","","055 944 7080","858.39","670-809","경상남도 거창군 거창읍 중앙리 455 하나로3차아파트 지하1층~지상1층","경상남도 거창군 거창읍 거열로4길 98 (하나로3차아파트 지하1층~지상1층)","50128","하나로휘트니스","2026-01-07 16:57:11","U","2026-01-09 02:40:00","목욕장업 기타","282107.77124595","244046.050598344","목욕장업 기타","11","1","1","1","1","1","10","Y","","","","","0","0","N",
"43","목욕장업","11_44_01_P","5470000","5470000-202-2000-00001","2000-05-12","","01","영업/정상","01","영업","","","","","055 9410721","1838.70","670-912","경상남도 거창군 가조면 일부리 1301","경상남도 거창군 가조면 온천길 161","50118","백두산천지온천","2026-01-07 16:47:46","U","2026-01-09 02:40:00","공동탕업","292511.78520015","244770.72456648","공동탕업","1","0","1","1","0","0","12","Y","","","","자가","4","10","N",
"44","목욕장업","11_44_01_P","5380000","5380000-202-2013-00001","2013-02-21","","01","영업/정상","01","영업","","","","","055 365 4745","838.00","626-837","경상남도 양산시 삼호동 782-4","경상남도 양산시 서창동3길 5 (삼호동)","50527","현대사우나","2026-01-06 10:34:13","U","2026-01-09 02:40:00","공동탕업","397171.329234984","214928.150352922","공동탕업","0","0","1","3","0","0","0","N","","","","","0","0","N",
"45","목욕장업","11_44_01_P","4490000","5650000-202-2005-00001","2005-01-10","","01","영업/정상","01","영업","","","","","041 555 5450","1342.64","330-986","충청남도 천안시 동남구 구성동 314-13","충청남도 천안시 동남구 대흥로 13 (구성동)","31191","깨끗한마을","2026-01-07 13:51:44","U","2026-01-09 02:40:00","공동탕업","214071.934828117","365993.557584053","공동탕업","4","0","2","0","0","0","2","N","","","","자가","0","0","N",
"46","목욕장업","11_44_01_P","4331000","4331000-202-2024-00001","2024-10-11","","01","영업/정상","01","영업","","","","","033460 2321","432.01","","강원특별자치도 인제군 남면 신남리 334-6","","","남면목욕탕","2026-01-08 17:45:12","U","2026-01-10 02:40:00","공동탕업","295046.080127921","496717.391780343","공동탕업","1","0","1","3","0","0","2","N","","","","자가","0","0","N",
"47","목욕장업","11_44_01_P","5250000","5250000-202-2019-00002","2019-07-02","","03","폐업","02","폐업","2026-01-08","","","","054 783 8904","156.73","767-883","경상북도 울진군 금강송면 소광리 222-1","경상북도 울진군 금강송면 십이령로 552, 금강송에코리움(찜질방)","36300","금강송에코리움(찜질방)","2026-01-08 18:04:31","U","2026-01-10 02:40:00","찜질시설서비스영업","397095.613052142","388164.669800643","찜질시설서비스영업","1","0","1","0","0","0","0","Y","","","","","0","0","N",
"48","목욕장업","11_44_01_P","3400000","3400000-202-2011-00001","2011-09-02","","01","영업/정상","01","영업","","","","","051 723 2900","1230.57","","부산광역시 기장군 정관읍 매학리 715-1","부산광역시 기장군 정관읍 정관8로 16-5","46015","정관온천","2026-01-08 15:49:13","U","2026-01-10 02:40:00","공동탕업","397974.191655377","204747.884437376","공동탕업","5","2","5","5","0","0","10","N","","","","","0","0","N",
"49","목욕장업","11_44_01_P","3330000","3330000-202-2009-00002","2009-11-26","","01","영업/정상","01","영업","","","","","051 745 1042","1916.36","612-020","부산광역시 해운대구 우동 1495 신세계 백화점셈텀점 10층","부산광역시 해운대구 센텀남대로 35 (우동, 신세계 백화점셈텀점 10층)","48058","신세계 센텀시티 트리니티 스파","2026-01-08 17:35:11","U","2026-01-10 02:40:00","공동탕업","393952.264486105","187602.933160728","공동탕업","14","5","10","10","0","0","2","N","","","","자가","0","0","N",
"50","목욕장업","11_44_01_P","3400000","3400000-202-2020-00001","2020-05-14","","01","영업/정상","01","영업","","","","","051 727 9991","2270.00","619-951","부산광역시 기장군 장안읍 기룡리 454-3 동부산관광호텔","부산광역시 기장군 장안읍 장안로 38, 동부산관광호텔 별관동 지하1층","46032","동부산온천","2026-01-08 16:02:18","U","2026-01-10 02:40:00","공동탕업","404770.45246328","207205.267789628","공동탕업","3","2","0","0","1","1","2","Y","","","","자가","0","0","N",
"51","목욕장업","11_44_01_P","3930000","3930000-202-2025-00002","2025-12-03","","01","영업/정상","01","영업","","","","","031 4941316","171.29","425-850","경기도 안산시 단원구 원곡동 960-3","경기도 안산시 단원구 부부로 64, 지하1층 (원곡동)","15363","아늑료칸호텔안산역목욕장","2026-01-08 10:43:41","U","2026-01-10 02:40:00","공동탕업+찜질시설서비스영업","181469.047431628","425794.3890198","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","4","Y","","","","","0","0","N",
"52","목욕장업","11_44_01_P","4080000","4080000-202-2020-00002","2020-09-28","","01","영업/정상","01","영업","","","","","","6042.69","456-826","경기도 안성시 공도읍 진사리 354 스타필드 안성","경기도 안성시 공도읍 서동대로 3930-39, 스타필드 안성 쇼핑몰 3층 3108호","17563","아쿠아필드","2026-01-08 10:03:15","U","2026-01-10 02:40:00","공동탕업+찜질시설서비스영업","213062.918998049","388093.036705258","공동탕업+찜질시설서비스영업","0","0","5","0","0","0","2","N","","","","","0","0","N",
"53","목욕장업","11_44_01_P","4761000","4761000-202-1988-00001","1988-12-16","","01","영업/정상","01","영업","","","","","6439311","271.50","","전북특별자치도 임실군 관촌면 관촌리 457-1","전북특별자치도 임실군 관촌면 사선로 45","55910","산수장목욕탕","2026-01-08 16:11:27","U","2026-01-10 02:40:00","공동탕업","224354.004212756","241638.987257088","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"54","목욕장업","11_44_01_P","3940000","4100100-202-2003-00009","2003-10-01","","01","영업/정상","01","영업","","","","","031 9229688","777.29","411-827","경기도 고양시 일산서구 일산동 1064-3 신일산연합상가 B107호일부,B201호일부","경기도 고양시 일산서구 일산로 562, B107호일부,B201호일부호 (일산동, 신일산연합상가)","10374","일산스파골프휘트니스","2026-01-09 17:03:55","U","2026-01-11 02:40:00","공동탕업","179267.11335259","464086.734405078","공동탕업","5","4","0","0","0","0","6","Y","","","","임대","0","0","N",
"55","목욕장업","11_44_01_P","3940000","4100100-202-2021-00001","2021-11-17","","01","영업/정상","01","영업","","","","","031 923 2285","1944.47","411-839","경기도 고양시 일산서구 탄현동 98-6 다영프라자 지하1층 B101호","경기도 고양시 일산서구 탄현로 144-103, 다영프라자 지하1층 B101호 (탄현동)","10248","로얄자연에스파","2026-01-09 10:08:54","U","2026-01-11 02:40:00","공동탕업+찜질시설서비스영업","179335.779457754","467129.048981022","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","2","N","","","","자가","0","0","Y",
"56","목욕장업","11_44_01_P","4711000","4711000-202-1987-00001","1987-01-26","","01","영업/정상","01","영업","","","","","063 542 8955","981.28","","전북특별자치도 김제시 요촌동 198-13","전북특별자치도 김제시 동서로 157 (요촌동)","54390","아리랑목욕탕","2026-01-09 14:56:21","U","2026-01-11 02:40:00","공동탕업","189621.708670215","255459.006717227","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"57","목욕장업","11_44_01_P","6510000","6510000-202-2023-00003","2023-12-20","","01","영업/정상","01","영업","","","","","0647450011","178.70","690-162","제주특별자치도 제주시 오라이동 1699","제주특별자치도 제주시 연사6길 64, 2층 (오라이동)","63145","에스비지사우나여","2026-01-09 10:50:29","U","2026-01-11 02:40:00","공동탕업+찜질시설서비스영업","154233.545727114","-1494.49229603562","공동탕업+찜질시설서비스영업","0","0","2","2","0","0","1","N","","","","","0","0","N",
