"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자치단체코드","업체유형명","자본금","지정정비업종명","면허일자","면허유효기간시작일자","면허유효기간종료일자","자격면허발급기관",
"14","국제물류주선업","11_45_01_P","6260000","6260000-63-618","2013-01-07","","01","영업/정상","0010","운행","","","","","0514654590","","","","부산광역시 중구 대청로155번길 6, 4층 (중앙동4가,우현상선)","48941","(주)우현상선","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","385688.912554737","180165.796519922","6260000","국제물류주선업","300000000","","","","","",
"15","국제물류주선업","11_45_01_P","6260000","6260000-63-135","2008-01-18","","01","영업/정상","0010","운행","","","","","0514621493","","48941","부산광역시 중구 중앙동4가 23-1 노블리안2 505호","부산광역시 중구 중앙대로 80, 노블리안2 505호 (중앙동4가)","48941","(주)인트로비스","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","385630.742187332","180306.821082315","6260000","국제물류주선업","305000000","","","","","",
"16","국제물류주선업","11_45_01_P","6260000","6260000-63-1442","2025-01-20","","01","영업/정상","0010","운행","","","","","","","48938","부산광역시 중구 중앙동4가 85-17","부산광역시 중구 중앙대로98번길 13, 해원빌딩 304호 (중앙동4가)","48938","(주)알브이디글로벌","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","385721.617384412","180507.2427066","6260000","국제물류주선업","300000000","","","","","",
"17","국제물류주선업","11_45_01_P","6260000","6260000-63-905","2016-09-13","","01","영업/정상","0010","운행","","","","","","","","","부산광역시 중구 해관로 89, 606호 (대창동1가,부산중앙빌딩)","48924","큐에스디코리아(주)","2026-01-03 00:00:00","U","2026-01-05 02:40:00","","385507.640529964","180548.792611588","6260000","국제물류주선업","300000000","","","","","",
"18","국제물류주선업","11_45_01_P","6260000","6260000-63-160","2005-12-19","","01","영업/정상","0010","운행","","","","","0514663447","","","","부산광역시 동구 중앙대로180번길 13, 1307호 (초량동,프레지던트오피스텔)","48821","동북로지스틱(주)","2026-01-03 00:00:00","U","2026-01-05 02:40:00","","385956.31866986","181231.059906128","6260000","국제물류주선업","400000000","","","","","",
"19","국제물류주선업","11_45_01_P","6260000","6260000-63-1333","2022-11-01","","01","영업/정상","0010","운행","","","","","0517432347","","48093","부산광역시 해운대구 우동 760-3 오션타워","부산광역시 해운대구 해운대해변로 203, 오션타워 1001호(우동)","48093","(주)밸류온보드","2026-01-03 00:00:00","U","2026-01-05 02:40:00","","396180.621245267","186522.350475257","6260000","국제물류주선업","400000000","","","","","",
"20","국제물류주선업","11_45_01_P","6260000","6260000-63-1430","2024-12-04","","01","영업/정상","0010","운행","","","","","0519721218","","46709","부산광역시 강서구 봉림동 912-3","부산광역시 강서구 가락대로 1205 (봉림동)","46709","와이케이특송(주) [변경전 : 와이지비에스로지스(주)]","2026-01-03 00:00:00","U","2026-01-05 02:40:00","","373038.952666418","187604.053073598","6260000","국제물류주선업","300000000","","","","","",
"21","국제물류주선업","11_45_01_P","6280000","6280000-63-892","2021-11-17","","01","영업/정상","0010","운행","","","","","","","22647","인천광역시 서구 원당동 824-10 대산프라자","인천광역시 서구 원당대로 865, 대산프라자 505호 (원당동)","22647","주식회사 더로지스틱스에이치엘엠","2026-01-05 00:00:00","U","2026-01-07 02:40:00","","173236.898635277","454662.428022687","6280000","국제물류주선업","300000000","","","","","",
"22","국제물류주선업","11_45_01_P","6260000","6260000-63-1101","2019-06-26","","01","영업/정상","0010","운행","","","","","0516269280","","48553","부산광역시 남구 용당동 168-1 휴게시설동 309호","부산광역시 남구 신선로 261, 휴게시설동 309호 (용당동)","48553","(주)대오로지스","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","390807.628200494","181223.764821624","6260000","국제물류주선업","300000000","","","","","",
"23","국제물류주선업","11_45_01_P","6260000","6260000-63-335","2001-07-30","","03","폐업","0030","폐지","","","","","0514418311","","49509","부산광역시 사하구 장림동 275-1","부산광역시 사하구 다대로 271(장림동)","49509","헤비리프트 해운항공(주)","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","380297.445306368","177236.615730627","6260000","국제물류주선업","300000000","","","","","",
"24","국제물류주선업","11_45_01_P","6260000","6260000-63-693","2014-01-02","","01","영업/정상","0010","운행","","","","","0512913787","","48553","부산광역시 남구 용당동 168-1 휴게동 102호","부산광역시 남구 신선로 261, 휴게동 102호 (용당동)","48553","빅오션트랜스(주)","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","390807.628200494","181223.764821624","6260000","국제물류주선업","300000000","","","","","",
"25","국제물류주선업","11_45_01_P","6260000","6260000-63-90","2001-07-30","","03","폐업","0030","폐지","","","","","0514418311","","49509","부산광역시 사하구 장림동 265번지","부산광역시 사하구 다대로271번길 13 (장림동)","49509","헤비리프트해운항공(주)","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","380377.680748629","177235.101882817","6260000","국제물류주선업","300000000","","","","","",
"26","국제물류주선업","11_45_01_P","6260000","6260000-63-1355","2023-05-01","","03","폐업","0030","폐지","","","","","","","49491","부산광역시 사하구 장림동 532번지 벽산아파트 3동 303호","부산광역시 사하구 장평로41번길 19, 3동 303호 (장림동, 벽산아파트)","49491","(주)해상로직스","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","379838.148066938","176203.003034788","6260000","국제물류주선업","300000000","","","","","",
"27","국제물류주선업","11_45_01_P","6260000","6260000-63-1334","2013-06-27","","03","폐업","0030","폐지","","","","","0517848674","","48032","부산광역시 해운대구 반여동 763-26","부산광역시 해운대구 선수촌로 191, 1층(반여동)","48032","(주)삼정윈글로벌","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","393384.556980432","192110.471474115","6260000","국제물류주선업","300000000","","","","","",
"28","국제물류주선업","11_45_01_P","6260000","6260000-63-1310","2022-08-26","","01","영업/정상","0010","운행","","","","","0514649494","","48733","부산광역시 동구 초량동 1196-2","부산광역시 동구 중앙대로236번길 10(초량동)","48733","그린월드(주)","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","386119.762095008","181723.93323895","6260000","국제물류주선업","700000000","","","","","",
"29","국제물류주선업","11_45_01_P","6260000","6260000-63-1492","2026-01-08","","01","영업/정상","0010","운행","","","","","","","46726","부산광역시 강서구 명지동 3598-4 제이티프라자 407호","부산광역시 강서구 명지국제1로 56-2, 제이티프라자 407호 (명지동)","46726","(주)제이티물류","2026-01-08 00:00:00","I","2026-01-10 00:20:07","","373739.372644942","178830.01918991","6260000","국제물류주선업","300000000","","","","","",
"30","국제물류주선업","11_45_01_P","6280000","6280000-63-1184","2025-12-24","","01","영업/정상","0010","운행","","","","","","","22376","인천광역시 중구 운서동 3090-1 305호","인천광역시 중구 영종대로162번길 20, 305호 (운서동)","22376","주식회사 엘엔에스지비엘","2026-01-08 00:00:00","I","2026-01-10 00:20:07","","155310.903204623","443484.899162499","6280000","국제물류주선업","0","","","","","",
"31","국제물류주선업","11_45_01_P","6260000","6260000-63-489","2001-09-26","","01","영업/정상","0010","운행","","","","","0512562631","","","부산광역시 중구 동광동3가   45번지 1호 동광빌딩 503호","부산광역시 중구 대청로126번길 18, 503호 (동광동3가,동광빌딩)","","(주)월드크루즈","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","6260000","국제물류주선업","300000000","","","","","",
"32","국제물류주선업","11_45_01_P","6260000","6260000-63-1147","2020-02-18","","01","영업/정상","0010","운행","","","","","0514411187","","48936","부산광역시 중구 중앙동4가 78-15","부산광역시 중구 충장대로5번길 50-1, 6층 (중앙동4가)","48936","김해특수 주식회사","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385748.59314215","180848.000905503","6260000","국제물류주선업","350000000","","","","","",
"33","국제물류주선업","11_45_01_P","6280000","6280000-63-793","2020-06-26","","01","영업/정상","0010","운행","","","","","","","22341","인천광역시 중구 신흥동3가 42-10 아트허브","인천광역시 중구 서해대로180번길 32, 아트허브 4동 (신흥동3가)","22341","(주)우성로지스틱스","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","166764.58497117","437904.881206116","6280000","국제물류주선업","300000000","","","","","",
"34","국제물류주선업","11_45_01_P","6280000","6280000-63-1185","2025-05-21","","01","영업/정상","0010","운행","","","","","","","21960","인천광역시 연수구 옥련동 536번지 중고차수출단지내출입구15 11호","인천광역시 연수구 능허대로 208, 중고차수출단지내출입구15 1층 11호 (옥련동)","21960","주식회사 원우코리아","2026-01-09 00:00:00","I","2026-01-11 00:20:02","","168925.844831212","435108.721560572","6280000","국제물류주선업","350000000","","","","","",
"35","국제물류주선업","11_45_01_P","6280000","6280000-63-756","2019-12-26","","01","영업/정상","0010","운행","","","","","","","22204","인천광역시 미추홀구 학익동 401-58 시티필드 5012호","인천광역시 미추홀구 매소홀로 262, 시티필드 5층 5012호 (학익동)","22204","(주)라온티피엘","2026-01-09 00:00:00","U","2026-01-11 02:40:00","","169169.873759794","438068.204570087","6280000","국제물류주선업","300000000","","","","","",
"36","국제물류주선업","11_45_01_P","6280000","6280000-63-960","2022-12-16","","01","영업/정상","0010","운행","","","","","","","22132","인천광역시 미추홀구 주안동 239-2 한국생명","인천광역시 미추홀구 주안로 77, 한국생명 3층(주안동)","22132","주식회사 오션마스타로지스틱스","2026-01-09 00:00:00","U","2026-01-11 02:40:00","","171469.71751416","440302.048945705","6280000","국제물류주선업","300000000","","","","","",
"37","국제물류주선업","11_45_01_P","6540000","6540000-63-58","2026-01-07","","01","영업/정상","0010","운행","","","","","","","54334","전북특별자치도 김제시 용지면 부교리 57-4","전북특별자치도 김제시 용지면 백자3길 37","54334","로젠 주식회사","2026-01-12 00:00:00","I","2026-01-14 00:20:02","","199200.142231409","257627.606538941","6540000","국제물류주선업","0","","","","","",
"38","국제물류주선업","11_45_01_P","6430000","6430000-63-64","2026-01-13","","01","영업/정상","0010","운행","","","","","","","28416","충청북도 청주시 흥덕구 복대동 2647번지 풍년빌딩","충청북도 청주시 흥덕구 진재로 41, 풍년빌딩 3층 A125호 (복대동)","28416","유한회사 새롬","2026-01-12 00:00:00","I","2026-01-14 00:20:02","","238326.543839454","348258.342027188","6430000","국제물류주선업","300000000","","","","","",
"39","국제물류주선업","11_45_01_P","6260000","6260000-63-1005","2018-02-12","","01","영업/정상","0010","운행","","","","","0519492047","","46257","부산광역시 금정구 회동동 556번지 첨단산단우성스마트시티 703호","부산광역시 금정구 개좌로 270, 첨단산단우성스마트시티 703호 (회동동)","46257","비씨티씨엔에어(주)","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","393573.970222863","194557.230250711","6260000","국제물류주선업","300000000","","","","","",
"40","국제물류주선업","11_45_01_P","6260000","6260000-63-632","2004-08-26","","01","영업/정상","0010","운행","","","","","","","47596","부산광역시 연제구 연산동 702-9 뉴그랜드오피스텔 1107호","부산광역시 연제구 중앙대로 1078, 뉴그랜드오피스텔 11층 1107호 (연산동)","47596","동경로직스","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","389444.436546193","189180.052866007","6260000","국제물류주선업","0","","","","","",
"41","국제물류주선업","11_45_01_P","6260000","6260000-63-459","2011-08-03","","01","영업/정상","0010","운행","","","","","","","48059","부산광역시 해운대구 우동 1458번지 인텔리움센텀 908호","부산광역시 해운대구 센텀6로 21, 인텔리움센텀 908호 (우동)","48059","(주)코엔스","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","393901.99210345","188122.938094434","6260000","국제물류주선업","2994513920","","","","","",
"42","국제물류주선업","11_45_01_P","6260000","6260000-63-1341","2023-01-02","","01","영업/정상","0010","운행","","","","","0514699750","","48943","부산광역시 중구 중앙동6가 2번지 씨제이대한통운빌딩","부산광역시 중구 대교로 119, 씨제이대한통운빌딩 1207호(중앙동6가)","48943","(주)브릿지로지스틱스","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","385699.918526823","179869.356251057","6260000","국제물류주선업","300000000","","","","","",
"43","국제물류주선업","11_45_01_P","6290000","6290000-63-56","2022-05-23","","01","영업/정상","0010","운행","","","","","","","61007","광주광역시 북구 월출동 971-18 아이바티 1호","광주광역시 북구 첨단벤처소로38번길 2, 아이바티 1동(월출동)","61007","(주)아이비티","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","187368.641134125","192795.356082177","6290000","국제물류주선업","6348125200","","","","","",
"44","국제물류주선업","11_45_01_P","6310000","6310000-63-70","2024-10-15","","01","영업/정상","0010","운행","","","","","","","44992","울산광역시 울주군 온산읍 학남리 58-13","울산광역시 울주군 온산읍 회학3길 36","44992","협운스톨트항운 주식회사","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","411650.357119364","219892.471852915","6310000","국제물류주선업","1600000000","","","","","",
"45","국제물류주선업","11_45_01_P","6260000","6260000-63-64","2007-05-22","","01","영업/정상","0010","운행","","","","","0514648301","","48939","부산광역시 중구 중앙동4가 89-13 금현빌딩3층","부산광역시 중구 충장대로 3, 금현빌딩 3층(중앙동4가)","48939","(주)에스에이엠로지스틱스","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","385637.881580017","180394.391409338","6260000","국제물류주선업","300000000","","","","","",
"46","국제물류주선업","11_45_01_P","6260000","6260000-63-130","2007-12-27","","01","영업/정상","0010","운행","","","","","","","","","부산광역시 중구 충장대로5번길 18-1, 402호 (중앙동4가,대광빌딩)","","지맥스해운항공(주)","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","","","6260000","국제물류주선업","300000000","","","","","",
"47","국제물류주선업","11_45_01_P","6260000","6260000-63-1337","2022-11-18","","01","영업/정상","0010","운행","","","","","","","48930","부산광역시 중구 중앙동4가 37-16 동아제일빌딩 1207호","부산광역시 중구 중앙대로81번길 9, 동아제일빌딩 1207호 (중앙동4가)","48930","(주)씨피알","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","385473.576410347","180297.978228543","6260000","국제물류주선업","300000000","","","","","",
"48","국제물류주선업","11_45_01_P","6270000","6270000-63-81","2022-11-04","","01","영업/정상","0010","운행","","","","","","","41243","대구광역시 동구 신천동 327-3 동대구역아펠리체 1동 603호","대구광역시 동구 동부로22길 9, 동대구역아펠리체 1동 603호(신천동)","41243","(주)다올해운항공","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","346923.598277205","265216.814157821","6270000","국제물류주선업","300000000","","","","","",
"49","국제물류주선업","11_45_01_P","6280000","6280000-63-1186","2025-12-18","","01","영업/정상","0010","운행","","","","","","","21990","인천광역시 연수구 송도동 214번지 이동 810-5호","인천광역시 연수구 송도미래로 30, 송도BRC스마트밸리지식산업센터 이동 810-5호 (송도동)","21990","매일로지텍 주식회사","2026-01-14 00:00:00","I","2026-01-16 00:20:02","","168781.930908815","429455.977053908","6280000","국제물류주선업","300000000","","","","","",
"50","국제물류주선업","11_45_01_P","6260000","6260000-63-864","2016-03-03","","01","영업/정상","0010","운행","","","","","0514632340","","48931","부산광역시 중구 중앙동3가 1번지 부산우체국","부산광역시 중구 중앙대로 63, 부산우체국 6층 (중앙동3가)","48931","에이치제이지엘에스(주)","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","385561.650139456","180152.738082365","6260000","국제물류주선업","300000000","","","","","",
"51","국제물류주선업","11_45_01_P","6260000","6260000-63-229","2009-01-23","","01","영업/정상","0010","운행","","","","","0514677908","","48943","부산광역시 중구 중앙동6가 2번지 씨제이대한통운빌딩15층","부산광역시 중구 대교로 119, 씨제이대한통운빌딩 15층 (중앙동6가)","48943","디와이디해운항공(주)","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","385699.918526823","179869.356251057","6260000","국제물류주선업","300000000","","","","","",
"52","국제물류주선업","11_45_01_P","6480000","6480000-63-125","2022-11-14","","01","영업/정상","0010","운행","","","","","","","50981","경상남도 김해시 부곡동 1157-1 대동아파트상가","경상남도 김해시 월산로 82-58, 대동아파트상가 2층 203호(부곡동)","50981","아라로지스 주식회사","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","364501.450358769","190932.064733221","6480000","국제물류주선업","300000000","","","","","",
"53","국제물류주선업","11_45_01_P","6480000","6480000-63-128","2023-01-06","","01","영업/정상","0010","운행","","","","","","","51717","경상남도 창원시 마산합포구 월포동 1-6","경상남도 창원시 마산합포구 해안대로 166(월포동)","51717","합명회사 대진해운사","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","342670.613638577","189114.69298324","6480000","국제물류주선업","300000000","","","","","",
"54","국제물류주선업","11_45_01_P","6260000","6260000-63-368","2010-07-14","","01","영업/정상","0010","운행","","","","","0514634631","","46971","부산광역시 사상구 괘법동 570-4 화인빌딩8층 803호","부산광역시 사상구 광장로 10, 화인빌딩 8층 803호(괘법동)","46971","(주)티씨더블유라인","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","380133.263890889","186600.174174412","6260000","국제물류주선업","300000000","","","","","",
"55","국제물류주선업","11_45_01_P","6260000","6260000-63-1133","2019-11-27","","01","영업/정상","0010","운행","","","","","0517146861","","48939","부산광역시 중구 중앙동4가 89-14 은산베이빌딩 901호","부산광역시 중구 중앙대로 88, 은산베이빌딩 901호 (중앙동4가)","48939","(주)윌로지코","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","385616.660201449","180406.241287734","6260000","국제물류주선업","300000000","","","","","",
"56","국제물류주선업","11_45_01_P","6280000","6280000-63-1074","2024-06-04","","01","영업/정상","0010","운행","","","","","","","22342","인천광역시 중구 항동7가 104-7 802호","인천광역시 중구 서해대로 143, 8층 802호 (항동7가)","22342","(주)지케이로지스틱스","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","","","6280000","국제물류주선업","0","","","","","",
"57","국제물류주선업","11_45_01_P","6260000","6260000-63-529","2006-11-24","","01","영업/정상","0010","운행","","","","","0519068000","","48938","부산광역시 중구 중앙동4가 85-11 효동빌딩 301호","부산광역시 중구 충장대로9번길 16, 효동빌딩 301호 (중앙동4가)","48938","씨제이국제물류(주)","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","385717.476671201","180525.499100588","6260000","국제물류주선업","300000000","","","","","",
"58","국제물류주선업","11_45_01_P","6260000","6260000-63-761","2014-12-19","","01","영업/정상","0010","운행","","","","","0514641300","","48456","부산광역시 남구 문현동 366-18 세종그랑시아아파트","부산광역시 남구 수영로 12, 1동 107호(문현동, 세종그랑시아아파트)","48456","명진종합물류 (주)","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","388514.80133876","183853.843158668","6260000","국제물류주선업","300000000","","","","","",
"59","국제물류주선업","11_45_01_P","6280000","6280000-63-1166","2025-08-25","","01","영업/정상","0010","운행","","","","","","","22006","인천광역시 연수구 송도동 29-8 송도씨워크인테라스한라 씨동 1722호","인천광역시 연수구 센트럴로 313, 송도씨워크인테라스한라 씨동 1722호 (송도동)","22006","주)씨온글로벌","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","167306.809226746","433346.288587482","6280000","국제물류주선업","300000000","","","","","",
"60","국제물류주선업","11_45_01_P","6260000","6260000-63-1279","2022-03-25","","01","영업/정상","0010","운행","","","","","0514649935","","48938","부산광역시 중구 중앙동4가 85-8 203호","부산광역시 중구 충장대로13번길 17, 203호 (중앙동4가)","48938","(주)엔제이글로벌","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","385743.006618628","180527.274537325","6260000","국제물류주선업","300000000","","","","","",
