"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"13","무료직업소개소","11_50_01_P","5590000","2023559029114500001","2023-05-03","","01","영업/정상","20","영업중","","","","","0318417080","","","","경기도 양주시 삼숭로58번길 108-47, 4층 (삼숭동)","11486","양주시니어클럽","2026-01-05 13:28:58","U","2026-01-07 02:40:00","","209506.66268015","477670.610704629","법인","무료",
"14","무료직업소개소","11_50_01_P","3020000","2006302007411200007","2006-12-28","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 춘천시 근화동 700 강원노인복지회관","강원특별자치도 춘천시 이디오피아길 13, 강원노인복지회관 1층 (근화동)","24238","(사)대한노인회 강원특별자치도연합회 노인취업지원센터","2026-01-12 17:41:13","U","2026-01-14 02:40:00","","262466.174936181","485961.343052668","법인","무료",
"15","무료직업소개소","11_50_01_P","3000000","2012300016314500004","2012-12-07","","01","영업/정상","20","영업중","","","","","0222302122","","","서울특별시 종로구 숭인2동 1371번지 (5층)","서울특별시 종로구 종로 408 (숭인동, (5층))","110-828","사단법인 한국경영혁신중소기업협회","2026-01-02 10:03:05","U","2026-01-04 02:40:00","","201907.246775887","452514.653732367","법인","무료",
"16","무료직업소개소","11_50_01_P","3050000","2020305018614500006","2020-08-05","","01","영업/정상","20","영업중","","","","","","","","서울특별시 동대문구 용두동 253-1 동대문구 공유커뮤니티센터 3층","서울특별시 동대문구 무학로 89, 동대문구 공유커뮤니티센터 3층 (용두동)","02587","동대문시니어클럽","2026-01-13 14:17:22","U","2026-01-15 02:40:00","","202557.766413515","452206.2713086","법인","무료",
"17","무료직업소개소","11_50_01_P","4140000","2018414004814500001","2018-02-20","","01","영업/정상","20","영업중","","","","","031 834 0898","","","경기도 연천군 연천읍 옥산리 807-17","경기도 연천군 연천읍 문화로108번길 18-5","11012","(사)대한노인회연천군지회","2026-01-15 09:56:49","U","2026-01-17 02:40:00","","206909.190140488","511095.38050517","법인","무료",
"18","무료직업소개소","11_50_01_P","4450000","2012445005314500002","2012-05-15","","01","영업/정상","20","영업중","","","","","0435375900","","","충청북도 진천군 진천읍 교성리 240-4 진천상공회의소회관","충청북도 진천군 진천읍 남산길 34, 진천상공회의소회관 5층","27840","진천상공회의소 무료직업소개소","2026-01-12 16:52:03","U","2026-01-14 02:40:00","","239078.269649466","372559.876371109","법인","무료",
"19","무료직업소개소","11_50_01_P","4530000","2016453023314500010","2016-06-13","","01","영업/정상","20","영업중","","","","","041 668 2028","","","충청남도 서산시 성연면 166번지","충청남도 서산시 성연면 가재미길 38","31933","서산시니어클럽","2026-01-08 09:01:04","U","2026-01-10 02:40:00","","149705.502138508","368740.635556684","법인","무료",
"20","무료직업소개소","11_50_01_P","3630000","2023363031014500016","2023-12-14","","01","영업/정상","20","영업중","","","","","062 9600956","","","","광주광역시 광산구 무진대로 276 (우산동)","62364","광산구장애인복지관","2026-01-13 10:22:31","U","2026-01-15 02:40:00","","182669.99","184652.225","법인","무료",
"21","무료직업소개소","11_50_01_P","4620000","2016462007614500002","2016-07-06","","01","영업/정상","20","영업중","","","","","0416755913","","","충청남도 태안군 태안읍 남문리 634번지","충청남도 태안군 태안읍 환동로 46","32144","태안시니어클럽","2026-01-14 10:11:48","U","2026-01-16 02:40:00","","136827.81465211","361333.903221795","법인","무료",
"22","무료직업소개소","11_50_01_P","4711000","2025471107614500007","2020-09-10","","03","폐업","40","폐업","2025-12-30","","","","063 221 0079","","","","전북특별자치도 전주시 덕진구 오공로 38, 2층 (중동)","54872","전라북도 농어업·농어촌 일자리플러스센터","2025-12-31 08:25:10","U","2026-01-03 02:40:00","","198620.299867345","263936.992723457","법인","무료",
"23","무료직업소개소","11_50_01_P","5710000","2022572002514500007","2022-12-21","","03","폐업","40","폐업","2026-01-02","","","","0432921912","","","충청북도 청주시 상당구 지북동 208","충청북도 청주시 상당구 단재로 397 (지북동)","28759","청주청남시니어클럽","2026-01-09 15:46:39","U","2026-01-11 02:40:00","","245238.601022347","343874.171030108","법인","무료",
