"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"11","세탁업","06_20_01_P","4191000","4191000-205-2025-00002","2025-12-09","","01","영업/정상","01","영업","","","","","033 7455552","251.91","","강원특별자치도 원주시 행구동 200-22","강원특별자치도 원주시 행구로 481, 1층 (행구동)","26455","마가렛보호작업장이음세탁장","2025-12-31 16:51:55","U","2026-01-03 02:40:00","일반세탁업","289351.157945214","427441.318271537","일반세탁업","3","0","1","1","0","0","","","","임대","2","0","0","4","N",
"12","세탁업","06_20_01_P","3940000","3950000-205-2023-00002","2023-03-14","","03","폐업","02","폐업","2025-12-31","","","","","187.80","412-520","경기도 고양시 덕양구 내유동 379-1 1층 전체 라동","경기도 고양시 덕양구 통일로1031번길 366-16, 1층 전체 라동 (내유동)","10262","대양클리닉","2025-12-31 15:42:11","U","2026-01-03 02:40:00","세탁업 기타","186122.819293644","468259.813418931","세탁업 기타","0","0","0","0","0","0","","","","","2","0","0","0","N",
"13","세탁업","06_20_01_P","3630000","3630000-205-2014-00001","2014-01-03","","03","폐업","02","폐업","2025-12-31","","","","062 9550542","30.60","506-301","광주광역시 광산구 도천동 628-1 상가동 101호","광주광역시 광산구 비아로62번길 12, 상가동 101호 (도천동)","62235","중흥세탁소","2025-12-31 17:24:10","U","2026-01-03 02:40:00","일반세탁업","183403.527706993","191228.687948609","일반세탁업","0","0","0","0","0","0","","","","","3","0","0","0","N",
"14","세탁업","06_20_01_P","3630000","3630000-205-2013-00011","2013-09-27","","03","폐업","02","폐업","2025-12-31","","","","","106.40","506-800","광주광역시 광산구 도산동 726","광주광역시 광산구 송도로182번길 79-46 (도산동)","","하얀장갑","2025-12-31 16:22:44","U","2026-01-03 02:40:00","일반세탁업","181238.710925283","180954.98173596","일반세탁업","1","0","0","0","0","0","","","","","5","0","0","0","N",
"15","세탁업","06_20_01_P","3530000","3530000-205-2014-00002","2014-02-21","","03","폐업","02","폐업","2025-12-31","","","","032 812 6704","24.40","405-849","인천광역시 남동구 논현동 448","인천광역시 남동구 남동서로236번길 30, 1층 137호 (논현동)","21632","해피크리닝하우스","2025-12-31 10:41:24","U","2026-01-03 02:40:00","일반세탁업","172937.577216559","434208.033824157","일반세탁업","0","0","1","0","0","0","","","","","2","0","0","1","N",
"16","세탁업","06_20_01_P","3990000","3990000-205-2020-00007","2020-09-08","","01","영업/정상","01","영업","","","","","","198.00","472-883","경기도 남양주시 오남읍 오남리 546-8 1층","","","탑크린","2025-12-31 15:20:04","U","2026-01-03 02:40:00","세탁업 기타","218315.921882852","464732.270774651","세탁업 기타","2","0","1","1","","","","","","","2","0","0","3","N",
"17","세탁업","06_20_01_P","4810000","4810000-205-2020-00003","2020-10-23","","03","폐업","02","폐업","2025-12-31","","","","","55.30","550-806","전라남도 여수시 국동 704-1","전라남도 여수시 국동4길 32 (국동)","59757","베베유카","2025-12-31 14:30:48","U","2026-01-03 02:40:00","일반세탁업","265514.278105346","137269.772273499","일반세탁업","2","0","2","0","0","0","","","","임대","1","0","0","1","N",
"18","세탁업","06_20_01_P","4020000","4020000-205-2004-00003","2004-01-28","","03","폐업","02","폐업","2025-12-31","","","","031 437 7779","33.49","435-060","경기도 군포시 대야미동 650-5 102호","경기도 군포시 대야2로7번길 16, 102호 (대야미동)","15887","대야세탁소","2025-12-31 15:19:55","U","2026-01-03 02:40:00","일반세탁업","192730.338336424","425152.62016818","일반세탁업","0","0","1","1","0","0","","","","임대","0","0","0","0","N",
"19","세탁업","06_20_01_P","3920000","3920000-205-2018-00004","2018-05-30","","03","폐업","02","폐업","2025-12-31","","","","031 858 1918","39.83","483-030","경기도 동두천시 생연동 334 황금프라자","경기도 동두천시 행선로110번길 12, 108호 (생연동, 황금프라자)","11359","하늘세탁","2025-12-31 09:26:21","U","2026-01-03 02:40:00","일반세탁업","205555.284104826","488338.425023089","일반세탁업","0","0","0","0","0","0","","","","","3","0","0","1","N",
"20","세탁업","06_20_01_P","3930000","5560000-205-2007-00014","2007-11-20","","01","영업/정상","01","영업","","","","","031 494 9621","35.10","425-828","경기도 안산시 단원구 선부동 1003 안산 중흥S-클래스 더 퍼스트","경기도 안산시 단원구 선이로 17, A동 1층 101호 (선부동, 안산 중흥S-클래스 더 퍼스트)","15223","중흥세탁 전문점","2025-12-31 14:16:35","U","2026-01-03 02:40:00","일반세탁업","182762.211378434","426779.366142107","일반세탁업","0","0","0","0","0","0","","","","","2","","","0","N",
"21","세탁업","06_20_01_P","3200000","3200000-205-1992-02818","1992-10-09","","01","영업/정상","01","영업","","","","","02 8540903","19.80","151-869","서울특별시 관악구 신림동 1595-5","서울특별시 관악구 신원로3길 40 (신림동)","08774","협신사","2025-12-31 12:57:32","U","2026-01-03 02:40:00","일반세탁업","193441.378191575","442258.705838748","일반세탁업","3","0","1","1","0","0","","","","","0","0","0","0","N",
"22","세탁업","06_20_01_P","3200000","3200000-205-2000-00009","2000-11-13","","01","영업/정상","01","영업","","","","","02 837 4742","20.63","151-015","서울특별시 관악구 신림동 1727 임광관악파크 105동 지하204호","서울특별시 관악구 난곡로 167, 105동 지하204호 (신림동,임광관악파크)","08858","임광세탁","2025-12-31 15:19:03","U","2026-01-03 02:40:00","일반세탁업","192773.751831861","440839.689205962","일반세탁업","5","1","2","2","0","0","","","","","0","0","0","0","N",
"23","세탁업","06_20_01_P","5710000","5725000-205-1994-02011","1994-10-12","","03","폐업","02","폐업","2025-12-31","","","","043 2728985","29.24","361-140","충청북도 청주시 서원구 모충동 산 36-5 한솔아파트상가 203호","","","한솔세탁소","2025-12-31 10:44:32","U","2026-01-03 02:40:00","일반세탁업","","","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"24","세탁업","06_20_01_P","3940000","3960100-205-2013-00002","2013-03-06","","03","폐업","02","폐업","2025-12-31","","","","031 927 7700","491.86","410-835","경기도 고양시 일산동구 장항동 1756","경기도 고양시 일산동구 태극로 20, B110호 (장항동)","10394","소노캄고양세탁실","2025-12-31 11:29:59","U","2026-01-03 02:40:00","일반세탁업","177950.802263582","462211.391982139","일반세탁업","20","4","0","0","1","1","","","","","0","0","0","0","N",
"25","세탁업","06_20_01_P","3640000","3640000-205-2020-00002","2020-12-29","","03","폐업","02","폐업","2025-12-31","","","","042 633 2122","36.96","300-835","대전광역시 동구 홍도동 47-2","대전광역시 동구 동산초교로 41, 106호 (홍도동)","34556","신동아 세탁소","2025-12-31 11:20:30","U","2026-01-03 02:40:00","일반세탁업","238092.285624623","316364.894312182","일반세탁업","0","0","0","0","0","0","","","","","3","0","0","0","N",
"26","세탁업","06_20_01_P","3120000","3120000-205-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","02  304 2145","29.44","120-130","서울특별시 서대문구 북가좌동 484 성공타워2","서울특별시 서대문구 수색로6길 17-14, 성공타워2 에이동 1층 107호 (북가좌동)","03791","성공세탁","2026-01-02 11:44:50","I","2026-01-04 00:20:12","일반세탁업","192178.634161709","452110.722725976","일반세탁업","0","0","1","1","0","0","","","","","1","0","0","0","N",
"27","세탁업","06_20_01_P","3150000","3150000-205-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","0226999485","24.00","157-846","서울특별시 강서구 방화동 249-202","서울특별시 강서구 초원로14길 28-4, 1층 (방화동)","07616","방화동세탁소","2026-01-02 10:17:24","I","2026-01-04 00:20:12","빨래방업","183431.992405907","451695.954665388","빨래방업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"28","세탁업","06_20_01_P","3510500","3510500-205-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","59.00","","인천광역시 미추홀구 주안동 1331-36","인천광역시 미추홀구 신기길16번길 1-1, 1층 (주안동)","22217","장인세탁소","2026-01-02 10:44:55","I","2026-01-04 00:20:12","일반세탁업","171307.557813266","438412.249638795","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"29","세탁업","06_20_01_P","3210000","3210000-205-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","174.75","137-829","서울특별시 서초구 방배동 766-2","서울특별시 서초구 방배중앙로27길 29, 1층 101호 (방배동)","06555","크린에코","2026-01-02 17:00:07","I","2026-01-04 00:20:12","일반세탁업","198522.378903836","443658.098277933","일반세탁업","0","0","1","1","0","0","","","","","2","0","0","2","N",
"30","세탁업","06_20_01_P","3210000","3210000-205-2014-00007","2014-12-01","","03","폐업","02","폐업","2026-01-02","","","","02532 3012","174.75","137-829","서울특별시 서초구 방배동 766-2 101호","서울특별시 서초구 방배중앙로27길 29, 1층 101호 (방배동)","06555","크린에코 서초지사","2026-01-02 16:39:41","U","2026-01-04 02:40:00","일반세탁업","198522.378903836","443658.098277933","일반세탁업","0","0","1","1","0","0","","","","임대","7","0","0","0","N",
"31","세탁업","06_20_01_P","6510000","6510000-205-1987-00038","1987-06-12","","01","영업/정상","01","영업","","","","","064 7475000","0.00","690-813","제주특별자치도 제주시 연동 263-15 (연동로 101)","제주특별자치도 제주시 노연로 80 (연동,(연동로 101))","63132","글래드호텔앤리조트(주)메종글래드제주","2026-01-02 15:05:40","U","2026-01-04 02:40:00","일반세탁업","152390.482526722","-1164.56501308051","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"32","세탁업","06_20_01_P","3200000","3200000-205-2019-00003","2019-09-23","","03","폐업","02","폐업","2026-01-02","","","","","30.00","151-913","서울특별시 관악구 봉천동 952-9","서울특별시 관악구 봉천로23나길 52, 1층 (봉천동)","08717","복음세탁소","2026-01-02 09:16:56","U","2026-01-04 02:40:00","일반세탁업","194465.827595477","442731.374990484","일반세탁업","3","1","1","1","0","0","","","","임대","1","0","0","0","N",
"33","세탁업","06_20_01_P","3520000","3520000-205-2004-00017","2004-06-16","","03","폐업","02","폐업","2026-01-02","","","","032 8330403","13.20","406-838","인천광역시 연수구 옥련동 194-4 IF상가 1층 117호","인천광역시 연수구 독배로 35 (옥련동,IF상가 1층 117호)","21958","운동화 빨래방","2026-01-02 09:46:18","U","2026-01-04 02:40:00","운동화전문세탁업","168454.658046789","435811.44754117","운동화전문세탁업","0","0","1","1","0","0","","","","임대","0","0","0","0","N",
"34","세탁업","06_20_01_P","3500000","3500000-205-2006-00002","2006-03-16","","03","폐업","02","폐업","2026-01-02","","","","032777 4832","27.36","401-040","인천광역시 동구 송현동 154 솔빛마을 주공아파트 분산상가 1층 b동 103호","인천광역시 동구 송현로 24, b동 103호 (송현동, 솔빛주공상가 )","22547","한미세탁","2026-01-02 14:09:20","U","2026-01-04 02:40:00","일반세탁업","167816.651034315","441843.07833343","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
"35","세탁업","06_20_01_P","3670000","3670000-205-2007-00010","2007-11-29","","01","영업/정상","01","영업","","","","","042 823 0075","12.21","305-308","대전광역시 유성구 장대동 285-8","대전광역시 유성구 유성대로720번길 106 (장대동)","34170","행복세탁소","2026-01-02 17:17:59","U","2026-01-04 02:40:00","일반세탁업","230251.027723522","317437.357888623","일반세탁업","0","0","1","1","0","0","","","","임대","0","","","","N",
"36","세탁업","06_20_01_P","3150000","3150000-205-2020-00001","2020-01-02","","03","폐업","02","폐업","2026-01-02","","","","0226999485","24.00","157-846","서울특별시 강서구 방화동 249-202","서울특별시 강서구 초원로14길 28-4, 1층 (방화동)","07616","방화동 세탁소","2026-01-02 10:02:10","U","2026-01-04 02:40:00","빨래방업","183431.992405907","451695.954665388","빨래방업","0","0","1","0","0","0","","","","","1","0","0","0","N",
"37","세탁업","06_20_01_P","3350000","3350000-205-2020-00001","2020-03-16","","01","영업/정상","01","영업","","","","","","56.50","609-828","부산광역시 금정구 서동 141-415","부산광역시 금정구 금사로 37, 1층 (서동)","46315","백송크리닝","2026-01-02 16:11:14","U","2026-01-04 02:40:00","일반세탁업","391897.219739398","192889.944682652","일반세탁업","0","0","","","","","","","","","2","0","0","3","N",
"38","세탁업","06_20_01_P","3940000","4100100-205-2024-00002","2024-05-16","","01","영업/정상","01","영업","","","","","","278.00","411-808","경기도 고양시 일산서구 덕이동 359-13","경기도 고양시 일산서구 경의로 963-67 (덕이동)","10231","새물내 클린","2026-01-02 11:16:58","U","2026-01-04 02:40:00","일반세탁업","178457.642558495","466663.020749565","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","0","N",
"39","세탁업","06_20_01_P","3620000","3620000-205-2008-00013","2008-08-08","","03","폐업","02","폐업","2025-12-31","","","","062 653 5150","35.00","500-190","광주광역시 북구 연제동 1009 대주2차아파트 상가 103호","광주광역시 북구 양일로 52-1 (연제동, 대주2차@상가 103호)","61091","대주세탁소","2026-01-02 10:52:19","U","2026-01-04 02:40:00","일반세탁업","188089.27881409","188635.58959181","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","0","N",
"40","세탁업","06_20_01_P","3620000","3620000-205-1992-00034","1992-11-24","","03","폐업","02","폐업","2025-12-31","","","","062 2662359","37.49","500-841","광주광역시 북구 오치동 1003 주공종합상가 105호","광주광역시 북구 서하로194번길 2 (오치동, 주공A 종합상가105호)","61119","그랜드사","2026-01-02 10:48:23","U","2026-01-04 02:40:00","일반세탁업","190889.056443471","187398.6795568","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"41","세탁업","06_20_01_P","3220000","3220000-205-2009-00008","2009-03-24","","03","폐업","02","폐업","2026-01-02","","","","02572 0334","59.40","135-855","서울특별시 강남구 도곡동 458-8 1층","서울특별시 강남구 논현로26길 54 (도곡동,1층)","06300","크리네코 도곡","2026-01-02 10:16:22","U","2026-01-04 02:40:00","일반세탁업","204039.597083984","442435.293739552","일반세탁업","0","0","1","1","0","0","","","","임대","1","0","0","1","N",
"42","세탁업","06_20_01_P","3460000","3460000-205-2012-00007","2012-07-23","","01","영업/정상","01","영업","","","","","053 744 4327","60.64","706-821","대구광역시 수성구 범어동 204-1","대구광역시 수성구 범어로19길 11, 41호,42호,43호,51,52호 (범어동)","42087","명품세탁옷수선","2026-01-02 09:54:55","U","2026-01-04 02:40:00","일반세탁업","347631.711844926","263195.091440135","일반세탁업","3","1","2","2","0","0","","","","임대","2","","","1","N",
"43","세탁업","06_20_01_P","3150000","3150000-205-1998-00012","1998-08-11","","03","폐업","02","폐업","2026-01-02","","","","0226666886","22.08","157-856","서울특별시 강서구 방화동 817 동성아파트상가 106호","서울특별시 강서구 금낭화로23길 8 (방화동,동성아파트상가 106호)","07509","동성세탁소","2026-01-02 14:12:48","U","2026-01-04 02:40:00","일반세탁업","183340.03965069","453050.733807442","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","1","N",
"44","세탁업","06_20_01_P","3330000","3330000-205-2018-00004","2018-09-28","","01","영업/정상","01","영업","","","","","","70.40","612-808","부산광역시 해운대구 반송동 872 삼한그린타운2차","부산광역시 해운대구 신반송로 102, 213동 지하1층 103호 (반송동, 삼한그린타운2차)","48012","대진세탁","2026-01-02 15:33:19","U","2026-01-04 02:40:00","일반세탁업","396841.065778346","194463.478475608","일반세탁업","5","-1","0","0","0","0","","","","","2","0","0","0","N",
"45","세탁업","06_20_01_P","4721000","4721000-205-2015-00003","2015-12-02","","01","영업/정상","01","영업","","","","","0632232369","32.25","","전북특별자치도 완주군 이서면 갈산리 637","전북특별자치도 완주군 이서면 출판로 23","55365","한결같은 세탁소","2026-01-02 16:33:18","U","2026-01-04 02:40:00","일반세탁업","204848.726864938","260070.516875607","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"46","세탁업","06_20_01_P","3200000","3200000-205-2006-00017","2006-09-07","","01","영업/정상","01","영업","","","","","02 8865009","24.00","151-892","서울특별시 관악구 신림동 1436-4","서울특별시 관악구 신림동5길 28 (신림동)","08760","세탁천국","2026-01-02 15:21:26","U","2026-01-04 02:40:00","일반세탁업","193507.280112401","442639.897579455","일반세탁업","","","1","1","","","","","","임대","","","","","N",
"47","세탁업","06_20_01_P","3540000","3540000-205-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","137.70","403-859","인천광역시 부평구 부평동 534-91 청자빌딩 1층","인천광역시 부평구 경원대로 1344, 청자빌딩 1층 (부평동)","21404","크린 마망","2026-01-05 14:06:27","I","2026-01-07 00:20:36","일반세탁업","175016.793583439","443231.547308962","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
"48","세탁업","06_20_01_P","3640000","3640000-205-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","36.96","300-835","대전광역시 동구 홍도동 47-2","대전광역시 동구 동산초교로 41, 106호 (홍도동)","34556","신동아세탁소","2026-01-05 15:13:26","I","2026-01-07 00:20:36","일반세탁업","238092.285624623","316364.894312182","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","0","N",
"49","세탁업","06_20_01_P","4090000","4090000-205-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","","84.32","415-060","경기도 김포시 장기동 1913-2","경기도 김포시 김포한강1로 77-33, 1층 (장기동)","10080","카시트&유모차 세탁 포베베 김포","2026-01-05 14:09:30","I","2026-01-07 00:20:36","일반세탁업","170785.980313986","460478.124547837","일반세탁업","0","0","0","0","0","0","","","","임대","4","0","0","0","N",
"50","세탁업","06_20_01_P","6520000","6520000-205-1990-00001","1990-02-13","","01","영업/정상","01","영업","","","","","064 7628981","38.86","697-844","제주특별자치도 서귀포시 서귀동 303-8","제주특별자치도 서귀포시 서문서로55번길 12 (서귀동)","63593","옥슨세탁소","2026-01-05 10:04:39","U","2026-01-07 02:40:00","일반세탁업","158745.086901403","-27053.1645347477","일반세탁업","0","0","0","0","0","0","","","","","0","","","0","N",
"51","세탁업","06_20_01_P","3000000","3000000-205-2006-00002","2006-02-17","","03","폐업","02","폐업","2026-01-05","","","","02  765 3485","20.40","110-840","서울특별시 종로구 창신동 232 두산상가 202호","서울특별시 종로구 지봉로5길 7 (창신동, 두산상가 202호)","03104","두산세탁소","2026-01-05 10:44:02","U","2026-01-07 02:40:00","일반세탁업","201192.534300327","452436.247037246","일반세탁업","0","0","2","2","0","0","","","","","0","0","0","0","N",
"52","세탁업","06_20_01_P","3990000","3990000-205-2017-00013","2017-11-20","","01","영업/정상","01","영업","","","","","","30.24","472-749","경기도 남양주시 오남읍 양지리 193-1 극동아파트 상가동 101호","경기도 남양주시 오남읍 진건오남로884번길 22-59, 상가동 101호 (극동아파트)","12036","아웃도어크리닝수선전문점","2026-01-05 16:57:45","U","2026-01-07 02:40:00","일반세탁업","217786.847131895","467099.600938788","일반세탁업","2","0","1","1","","","","","","임대","1","0","0","1","N",
"53","세탁업","06_20_01_P","3990000","3990000-205-2018-00002","2018-02-12","","03","폐업","02","폐업","2026-01-05","","","","","37.00","","경기도 남양주시 다산동 5864 다산 자연 앤 롯데캐슬 근린생활시설 상가동 201호","경기도 남양주시 다산중앙로146번길 5, 다산 자연 앤 롯데캐슬 근린생활시설 상가동 2층 201호 (다산동)","12285","롯데세탁","2026-01-05 14:45:16","U","2026-01-07 02:40:00","일반세탁업","213530.174051329","458327.645779041","일반세탁업","2","0","2","2","0","0","","","","","2","0","0","2","N",
"54","세탁업","06_20_01_P","4090000","4090000-205-2008-00007","2008-10-13","","01","영업/정상","01","영업","","","","","031 988 1103","40.50","415-080","경기도 김포시 구래동 6874-17 호수마을 e편한세상아파트 상가동 106호","경기도 김포시 김포한강5로 385, 상가동 106호 (구래동, 호수마을 e편한세상아파트)","10063","명품세탁","2026-01-05 13:47:11","U","2026-01-07 02:40:00","일반세탁업","167202.081452415","460902.05987808","일반세탁업","0","0","2","2","0","0","","","","임대","1","","","1","N",
"55","세탁업","06_20_01_P","5710000","5735000-205-1995-01006","1995-04-19","","01","영업/정상","01","영업","","","","","043 212 1260","28.42","360-820","충청북도 청주시 청원구 율량동 1204 성원아파트","충청북도 청주시 청원구 주성로132번길 14, 성원아파트 상가동 1층 104호 (율량동)","28339","성원세탁소","2026-01-05 16:24:05","U","2026-01-07 02:40:00","일반세탁업","242922.257699602","352121.755522768","일반세탁업","1","0","0","0","0","0","","","","","0","0","0","0","N",
"56","세탁업","06_20_01_P","5710000","5730000-205-2025-00001","2025-01-08","","01","영업/정상","01","영업","","","","","","493.95","361-913","충청북도 청주시 흥덕구 옥산면 신촌리 30-10 1층","충청북도 청주시 흥덕구 옥산면 신촌길 81-3, 1층","28114","레몬기업","2026-01-05 13:45:12","U","2026-01-07 02:40:00","일반세탁업","231570.302900742","350573.056892674","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"57","세탁업","06_20_01_P","3500000","3500000-205-2026-00001","2026-01-07","","01","영업/정상","01","영업","","","","","","29.64","401-040","인천광역시 동구 송현동 154 솔빛마을주공아파트","인천광역시 동구 송현로 50, 솔빛마을 주공아파트 분산상가 B동 1층 103호 (송현동, 솔빛마을주공아파트)","22547","솔빛세탁소","2026-01-07 12:06:55","I","2026-01-09 00:20:01","일반세탁업","167816.651034315","441843.07833343","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"58","세탁업","06_20_01_P","3210000","3210000-205-2026-00002","2026-01-06","","01","영업/정상","01","영업","","","","","","0.00","137-834","서울특별시 서초구 방배동 828-28 창희림","서울특별시 서초구 방배천로30길 22, 101호 (방배동, 창희림)","06564","마마운동화 이불 빨래방","2026-01-06 11:11:20","I","2026-01-09 00:20:01","세탁업 기타","198771.112974038","442870.390239061","세탁업 기타","1","0","0","0","0","0","","","","","3","0","0","0","N",
"59","세탁업","06_20_01_P","3090000","3090000-205-2026-00001","2026-01-06","","01","영업/정상","01","영업","","","","","","20.16","132-030","서울특별시 도봉구 쌍문동 산 69-1 금호타운2차아파트 상가동 106호","서울특별시 도봉구 해등로 241-14, 상가동 106호 (쌍문동, 금호타운2차아파트)","01429","금호세탁소","2026-01-06 15:12:40","I","2026-01-09 00:20:01","일반세탁업","202485.434176007","461657.415551729","일반세탁업","1","0","1","1","0","0","","","","","1","0","0","1","N",
