"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"12","의료기기판매(임대)업","01_02_03_P","3980000","PHMG120253980021047000062","2024-01-25","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 갈매동 ***-** 금강펜테리움 IX타워 지식산업센터","경기도 구리시 갈매순환로***번길 **, 금강펜테리움 IX타워 지식산업센터 *층 엠-***호 (갈매동)","11901","큐어메드","2025-12-30 10:19:24","I","2026-01-03 00:20:02","","210943.005419279","459321.36955802","","","34.18","",
"13","의료기기판매(임대)업","01_02_03_P","3110000","PHMG120253110032047000053","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 대조동 ***-** *층","서울특별시 은평구 연서로**길 **, *층 (대조동)","03385","지에스(GS)25연신내제일점","2025-12-31 18:10:00","I","2026-01-03 00:20:02","","192945.891991944","457172.764137396","","","","",
"14","의료기기판매(임대)업","01_02_03_P","3290000","PHMG120253290024047000118","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 양정동 *** 대원칸타빌멤버스","부산광역시 부산진구 거제대로 **, ***동 지하*층 ***호 (양정동, 대원칸타빌멤버스)","47214","다이클로 부산대원칸타빌점","2025-12-31 16:31:30","I","2026-01-03 00:20:02","","388349.226700145","187729.117956086","","","","",
"15","의료기기판매(임대)업","01_02_03_P","3050000","PHMG120253050034047000083","2025-12-30","","01","영업/정상","13","영업중","","","","","0233949951","","","서울특별시 동대문구 장안동 ***-**","서울특별시 동대문구 천호대로**길 **, *층 *호 (장안동)","02643","세종바이오팜 주식회사","2025-12-31 14:56:32","I","2026-01-03 00:20:02","","205936.23419677","451398.881393475","","","","",
"16","의료기기판매(임대)업","01_02_03_P","3990000","PHMG120253990310047000089","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 별내동 ***-*","경기도 남양주시 덕송*로**번길 **, ***-R**호 (별내동)","12097","제이지몰","2025-12-31 13:31:20","I","2026-01-03 00:20:02","","210352.180809085","462697.340002101","","","","",
"17","의료기기판매(임대)업","01_02_03_P","3990000","PHMG120253990310047000090","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 별내동 ***-* 불암타워","경기도 남양주시 별내*로 ***, 불암타워 ***-R**호 (별내동)","12097","제이지라이프","2025-12-31 13:32:42","I","2026-01-03 00:20:02","","210293.755569206","462687.73674692","","","","",
"18","의료기기판매(임대)업","01_02_03_P","3990000","PHMG120253990310047000091","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 별내동 ***-*","경기도 남양주시 별내*로 ***, ***-R**호 (별내동)","12097","제이지온","2025-12-31 13:34:44","I","2026-01-03 00:20:02","","210314.39","462650.455","","","","",
"19","의료기기판매(임대)업","01_02_03_P","3990000","PHMG120253990310047000092","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 진접읍 금곡리 **** 해밀마을신안인스빌아파트","경기도 남양주시 진접읍 해밀예당*로 **, ****동 ****호 (해밀마을신안인스빌아파트)","12066","리브뉴","2025-12-31 17:15:51","I","2026-01-03 00:20:02","","216642.926909367","467932.229592422","","","","",
"20","의료기기판매(임대)업","01_02_03_P","5690000","PHMG120255690045047000077","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 고운동 **** 세종 스마트큐브Ⅰ","세종특별자치시 고운서길 **, 세종 스마트큐브Ⅰ ***호 (고운동)","30063","사단법인 대한시니어건강관리협회","2025-12-30 10:14:50","I","2026-01-03 00:20:02","","220890.762664806","333894.266507361","","","","",
"21","의료기기판매(임대)업","01_02_03_P","5690000","PHMG120255690045047000078","2025-12-29","","01","영업/정상","13","영업중","","","","","044-866-5991","","","세종특별자치시 나성동 *** MVG","세종특별자치시 나성북로 **, MVG *층 ***호 (나성동)","30128","세종현약국","2025-12-31 09:02:16","I","2026-01-03 00:20:02","","223082.154561222","332111.535873778","","","","",
"22","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120255670066047000072","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 신포동*가 **-*","경상남도 창원시 마산합포구 동서동*길 ** (신포동*가)","51720","3H스마트지압침대 어시장센터","2025-12-30 11:08:55","I","2026-01-03 00:20:02","","343254.759057801","190396.404716529","","","","",
"23","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120255670066047000073","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산회원구 석전동 ***-**","경상남도 창원시 마산회원구 *·**대로 ***-* (석전동)","51314","하나히어링 보청기 마산회원센터","2025-12-30 14:21:44","I","2026-01-03 00:20:02","","343121.74510849","193026.241112526","","","","",
"24","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120255670554047000082","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 성산구 중앙동 **-* 리제스타워","경상남도 창원시 성산구 중앙대로 **, 리제스타워 ***호 (중앙동)","51515","루겸 눈썹&왁싱","2025-12-31 13:13:59","I","2026-01-03 00:20:02","","352724.24119786","192807.918505236","","","","",
"25","의료기기판매(임대)업","01_02_03_P","4390000","PHMG120254390029047000034","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","충청북도 충주시 교현동 ***-**","충청북도 충주시 예성*길 **, *층 (교현동)","27377","지에스25 충주엔젤점","2025-12-31 09:38:04","I","2026-01-03 00:20:02","","282767.88660435","386595.605889354","","","98.01","",
"26","의료기기판매(임대)업","01_02_03_P","3210000","PHMG120253210034047000248","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 잠원동 **-**","서울특별시 서초구 잠원로*길 **, *층 ***호 (잠원동)","06518","주식회사 우산","2025-12-31 11:36:51","I","2026-01-03 00:20:02","","200958.810528572","445792.191399183","","","37.13","",
"27","의료기기판매(임대)업","01_02_03_P","3830000","PHMG120253830263047000090","2022-12-02","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 동안구 평촌동 ***-*","경기도 안양시 동안구 귀인로***번길 **, 지하*층 일부(V-**)호 (평촌동)","14103","주식회사 에스와이코퍼레이션","2025-12-31 16:53:55","I","2026-01-03 00:20:02","","196512.025287275","431234.565123802","","","","",
"28","의료기기판매(임대)업","01_02_03_P","3150000","PHMG120253150037047000164","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 공항동 **-* 이스카이오피스텔","서울특별시 강서구 공항대로 **-*, **층 ****-***호 (공항동, 이스카이오피스텔)","07622","주식회사 위브레스","2025-12-31 09:35:41","I","2026-01-03 00:20:02","","183068.55405978","450983.319831035","","","","",
"29","의료기기판매(임대)업","01_02_03_P","3150000","PHMG120253150037047000165","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 ***-* 퀸즈파크나인","서울특별시 강서구 공항대로 ***, 퀸즈파크나인 *층 ***-일부호 (마곡동)","07803","바이온","2025-12-31 17:35:56","I","2026-01-03 00:20:02","","185371.298773738","450793.771245265","","","","",
"30","의료기기판매(임대)업","01_02_03_P","4641000","PHMG120254641050047000097","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 효자동*가 ****-* 해피하우스","전북특별자치도 전주시 완산구 농소*길 **-*, 해피하우스 ***호 (효자동*가)","54965","현메디칼","2025-12-31 15:47:23","I","2026-01-03 00:20:02","","208863.829572937","257173.837895468","","","18.33","",
"31","의료기기판매(임대)업","01_02_03_P","5130000","PHMG120255130030047000046","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 조영동 ***-*","경상북도 경산시 대학로**길 **-*, *층 (조영동)","38526","세븐일레븐 조영점","2025-12-31 09:03:26","I","2026-01-03 00:20:02","","358554.299800306","261376.129872886","","","","",
"32","의료기기판매(임대)업","01_02_03_P","5130000","PHMG120255130030047000047","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 서상동 *-*","경상북도 경산시 경안로**길 **, *층 ***호 (서상동)","38628","주식회사 가한","2025-12-31 17:56:43","I","2026-01-03 00:20:02","","356670.401847524","259261.797461178","","","31.6","",
"33","의료기기판매(임대)업","01_02_03_P","3660000","PHMG120253660023047000165","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 둔산동 *** 수정타운","대전광역시 서구 청사로 ***, *동 ***호 (둔산동, 수정타운)","35206","유니마레(Unimare)","2025-12-31 17:42:50","I","2026-01-03 00:20:02","","235578.300909883","317656.586787264","","","","",
"34","의료기기판매(임대)업","01_02_03_P","5540000","PHMG120255540016047000092","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 광주시 경안동 **-*","경기도 광주시 파발로***번길 *-*, *층 ***호 (경안동)","12755","안스케어","2025-12-31 13:30:20","I","2026-01-03 00:20:02","","222437.098366048","434650.4616809","","","115.58","",
"35","의료기기판매(임대)업","01_02_03_P","4170000","PHMG120254170019047000042","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 양평읍 양근리 ***-*","경기도 양평군 양평읍 관문길 **, ***-J**호","12552","주니니","2025-12-30 18:01:49","I","2026-01-03 00:20:02","","243545.25089961","443446.658362449","","","1","",
"36","의료기기판매(임대)업","01_02_03_P","4010000","PHMG120254010281047000116","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","","경기도 시흥시 옥구천동로***번길 **, 송산빌딩 *층 ***호 (정왕동)","15034","주식회사 에스비홀딩스","2025-12-31 09:11:36","I","2026-01-03 00:20:02","","176535.093909137","427622.381673838","","","10.06","",
"37","의료기기판매(임대)업","01_02_03_P","4010000","PHMG120254010281047000117","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","","경기도 시흥시 서울대학로***번길 **-**, 해든메디컬센터 ****-*호 (배곧동)","15011","주식회사 팀메딕스 메디컬그룹","2025-12-31 14:30:10","I","2026-01-03 00:20:02","","175629.861351806","429465.951646881","","","","",
"38","의료기기판매(임대)업","01_02_03_P","3460000","PHMG120253460023047000097","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 신매동 ***-**","대구광역시 수성구 신매로 **, *층 ***호 (신매동)","42275","주식회사 덕원헬스케어","2025-12-31 10:17:59","I","2026-01-03 00:20:02","","","","","","","",
"39","의료기기판매(임대)업","01_02_03_P","3460000","PHMG120253460023047000098","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 지산동 ****-*","대구광역시 수성구 지산로**길 **, 지하*층 (지산동)","42189","라흐베라","2025-12-31 14:07:16","I","2026-01-03 00:20:02","","347453.041124431","259686.286754392","","","","",
"40","의료기기판매(임대)업","01_02_03_P","3740000","PHMG120253740031047000035","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 장안구 영화동 ***-*","경기도 수원시 장안구 정조로 ***, *층 (영화동)","16271","멀티샵","2025-12-30 16:14:22","I","2026-01-03 00:20:02","","200915.760607808","421173.742040804","","","","",
"41","의료기기판매(임대)업","01_02_03_P","3740000","PHMG120253740033047000064","2025-10-21","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 팔달구 교동 ***-*","경기도 수원시 팔달구 매산로 ***, *층 (교동)","16465","씨앤메디","2025-12-30 16:05:17","I","2026-01-03 00:20:02","","201316.604495349","418895.608852033","","","","",
"42","의료기기판매(임대)업","01_02_03_P","3740000","PHMG120253740106047000083","2025-12-08","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 영통구 영통동 ****-* 탑빌딩","경기도 수원시 영통구 청명로**번길 **, 탑빌딩 *층 ***호 (영통동)","16705","페르마메디","2025-12-30 10:41:27","I","2026-01-03 00:20:02","","206933.778579183","416452.868514752","","","","",
"43","의료기기판매(임대)업","01_02_03_P","3550000","PHMG120253550020047000070","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","인천광역시 계양구 계산동 ****-* 대주프라자","인천광역시 계양구 계양문화로**번길 **, 대주프라자 *층 ***호 (계산동)","21068","위드윤메디컬","2025-12-30 11:36:34","I","2026-01-03 00:20:02","","176494.67657054","448184.394717223","","","9.9","",
"44","의료기기판매(임대)업","01_02_03_P","5600000","PHMG120255600005047000022","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 신북면 가채리 ***-*","경기도 포천시 신북면 중앙로 ***, *층","11140","오성안전물산","2025-12-31 10:09:49","I","2026-01-03 00:20:02","","218623.844947882","489869.908914228","","","112","",
"45","의료기기판매(임대)업","01_02_03_P","3330000","PHMG120253330024047000084","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 좌동 ****-* 대하프라자","부산광역시 해운대구 양운로 **, 대하프라자 ***호 (좌동)","48106","제이예니","2025-12-30 09:58:51","I","2026-01-03 00:20:02","","398063.402085498","187993.710645781","","","95.76","",
"46","의료기기판매(임대)업","01_02_03_P","3930000","PHMG120253930154047000092","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 고잔동 ***-* 롯데백화점","경기도 안산시 단원구 고잔*길 **, 롯데백화점 *층 (고잔동)","15360","롯데백화점 안산점 세라젬","2025-12-30 14:12:32","I","2026-01-03 00:20:02","","185262.981866275","424012.30109378","","","","",
"47","의료기기판매(임대)업","01_02_03_P","3930000","PHMG120253930162047000039","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 이동 ***-* 월드프라자","경기도 안산시 상록구 중보로 **, 월드프라자 ***동 ****호 (이동)","15495","메이타운","2025-12-30 10:32:43","I","2026-01-03 00:20:02","","186646.616867435","422716.613445175","","","","",
"48","의료기기판매(임대)업","01_02_03_P","3620000","PHMG120253620020047000093","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 매곡동 ***","광주광역시 북구 어매마을길 **, *층 (매곡동)","61059","타파웨어","2025-12-31 13:22:55","I","2026-01-03 00:20:02","","190356.57395929","188042.466726478","","","38.32","",
"49","의료기기판매(임대)업","01_02_03_P","4060000","PHMG120254060482047000071","2025-07-02","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 와동동 ****-* 힐스테이트 더 운정","경기도 파주시 와석순환로***번길 **, ***동 ****호 (와동동, 힐스테이트 더 운정)","10896","구구","2025-12-31 08:58:05","I","2026-01-03 00:20:02","","179232.340113879","469528.61287477","","","","",
"50","의료기기판매(임대)업","01_02_03_P","5310000","PHMG120255310029047000052","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 하대동 ***-**","경상남도 진주시 상대로**번길 **, *층 (하대동)","52776","루체테뷰티","2025-12-31 13:52:21","I","2026-01-03 00:20:02","","301920.597594934","188012.359485974","","","","",
"51","의료기기판매(임대)업","01_02_03_P","3370000","PHMG120253370022047000067","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","부산광역시 연제구 거제동 ***-***","부산광역시 연제구 해맞이로**번길 **, *층 일부호 (거제동)","47534","이안 메디케어","2025-12-31 15:38:13","I","2026-01-03 00:20:02","","388224.227714303","188675.271031056","","","43","",
"52","의료기기판매(임대)업","01_02_03_P","4000000","PHMG120254000018047000034","2022-01-18","","01","영업/정상","13","영업중","","","","","","","","경기도 오산시 궐동 *** 호반써밋라포레","경기도 오산시 죽담로 ***, ***동 **층 ****호 (궐동, 호반써밋라포레)","18117","주식회사 밀스원","2025-12-31 09:08:02","I","2026-01-03 00:20:02","","","","","","","",
"53","의료기기판매(임대)업","01_02_03_P","3210000","PHMG120013210034047000014","2001-07-07","","01","영업/정상","13","영업중","","","","","02-597-8192","","","서울특별시 서초구 서초동 ****번지 *호 *층","서울특별시 서초구 반포대로*길 **, *층 (서초동)","06710","㈜킴스메디텍","2025-12-31 09:43:53","U","2026-01-03 02:40:00","","200913.70817739","442201.058647483","","","","",
"54","의료기기판매(임대)업","01_02_03_P","3230000","PHMG120193230034047000026","2019-01-25","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 송파구 송파동 **번지 **호","서울특별시 송파구 백제고분로**길 ** (송파동)","05667","3H송파센터","2025-12-31 09:45:18","U","2026-01-03 02:40:00","","209628.037880193","444814.798362574","","","132.6","",
"55","의료기기판매(임대)업","01_02_03_P","3140000","PHMG120193140033047000020","2000-12-19","","03","폐업","03","폐업","2025-12-30","","","","02-858 -5275","","","서울특별시 양천구 신정동 ****번지 *호","서울특별시 양천구 신월로 ***, *층 ***호 (신정동)","08057","설아코퍼레이션","2025-12-31 15:07:33","U","2026-01-03 02:40:00","","186717.837364576","446659.077974826","","","","",
"56","의료기기판매(임대)업","01_02_03_P","3220000","PHMG120193220033047000094","2019-03-25","","03","폐업","03","폐업","2025-12-26","","","","","","","서울특별시 강남구 대치동 ***번지 *호 삼익빌딩","서울특별시 강남구 역삼로 ***, 삼익빌딩 *층 ***호 (대치동)","06195","고큐바테크놀로지(주)서울사무소","2025-12-31 13:04:39","U","2026-01-03 02:40:00","","204948.439650854","444498.364663631","","","","",
"57","의료기기판매(임대)업","01_02_03_P","3130000","PHMG120193130033047000015","2019-02-21","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-30","","","","","","","","서울특별시 마포구 마포대로 **, 창강빌딩 ***호 (도화동)","04168","메디 다이제스트","2025-12-31 11:05:53","U","2026-01-03 02:40:00","","195568.006693886","448931.294688013","","","","",
"58","의료기기판매(임대)업","01_02_03_P","5020000","PHMG120225020056047000132","2022-04-22","","03","폐업","03","폐업","2025-12-31","","","","","","","","경상북도 포항시 북구 두호로**번길 *-*, ***호 (두호동)","37710","씨유 포항두호일등점","2025-12-31 17:15:46","U","2026-01-03 02:40:00","","413872.6747206","286978.566166324","","","","",
"59","의료기기판매(임대)업","01_02_03_P","3440000","PHMG120233440024047000051","2023-08-07","","03","폐업","03","폐업","2025-12-31","","","","","","","대구광역시 남구 대명동 **** 대명역센트럴엘리프","대구광역시 남구 대명로**길 **, ***동 지하*층 ***호 (대명동, 대명역센트럴엘리프)","42483","씨유 센트럴엘리프점","2025-12-31 17:15:00","U","2026-01-03 02:40:00","","341273.052474244","260863.595098348","","","","",
"60","의료기기판매(임대)업","01_02_03_P","3070000","PHMG120233070034047000079","2023-08-07","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 성북구 동소문동*가 ***-* 보미리즌빌","서울특별시 성북구 동소문로 **, 보미리즌빌 *층 ***호 (동소문동*가)","02830","씨유성신리더스점","2025-12-31 13:50:54","U","2026-01-03 02:40:00","","201294.859107786","454483.588643704","","","","",
"61","의료기기판매(임대)업","01_02_03_P","4900000","PHMG120234900013047000009","2023-08-11","","01","영업/정상","13","영업중","","","","","","","","","전라남도 화순군 화순읍 오성로  ***-* , ***동****호","58109","GS25화순중앙점","2025-12-30 16:35:25","U","2026-01-03 02:40:00","","197172.493361293","172610.756733561","","","","",
"62","의료기기판매(임대)업","01_02_03_P","3990000","PHMG120233990309047000092","2023-07-03","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 남양주시 다산동 ****-* 다산지금지구 근생*-*","경기도 남양주시 다산지금로 ***, 아인시티* *층 ***호 (다산동)","12284","나디브 위생뷰티 남양주다산F-1점","2025-12-31 10:03:02","U","2026-01-03 02:40:00","","215330.55462167","455442.644135124","","","37.08","",
"63","의료기기판매(임대)업","01_02_03_P","3620000","PHMG120233620020047000116","2023-08-22","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 운암동 ***-**","광주광역시 북구 대자로 **, *층 ***호 (운암동)","61262","슬랩메디","2025-12-31 10:46:56","U","2026-01-03 02:40:00","","188745.013725066","186015.368903923","","","4.95","",
"64","의료기기판매(임대)업","01_02_03_P","3480000","PHMG120233480012047000028","2023-07-06","","03","폐업","03","폐업","2025-12-30","","","","","","","대구광역시 달성군 다사읍 서재리 **** 메가시티 태왕아너스","대구광역시 달성군 다사읍 궁산*길 **, ***동 ****호 (메가시티 태왕아너스)","42929","온유메디칼(ONU medical)","2025-12-31 09:17:08","U","2026-01-03 02:40:00","","334247.967231754","264548.344147937","","","","",
"65","의료기기판매(임대)업","01_02_03_P","3670000","PHMG120233670022047000081","2023-07-06","","03","폐업","03","폐업","2025-12-31","","","","","","","대전광역시 유성구 송강동 ***-*","대전광역시 유성구 구즉로**번길 *, 지하층 (송강동)","34009","나디브 위생뷰티 대전송강C-1점","2025-12-31 12:59:11","U","2026-01-03 02:40:00","","234493.658453773","325938.51486955","","","","",
"66","의료기기판매(임대)업","01_02_03_P","5670000","PHMG120235670554047000066","2023-07-18","","03","폐업","03","폐업","2025-12-24","","","","","","","경상남도 창원시 성산구 반림동 ** 트리비앙아파트","경상남도 창원시 성산구 원이대로 ***, ***동 ****호 (반림동, 트리비앙아파트)","51426","일자","2025-12-30 08:40:46","U","2026-01-03 02:40:00","","352167.352653266","194047.750748182","","","","",
"67","의료기기판매(임대)업","01_02_03_P","3630000","PHMG120233630020047000091","2023-08-09","","03","폐업","03","폐업","2025-12-23","","","","","","","광주광역시 광산구 신창동 ****-* 삼능아파트","광주광역시 광산구 신창로 **, 제상가동 *층 ***,***호 (신창동, 삼능아파트)","62295","세븐일레븐 광주신창삼능점","2025-12-31 17:48:55","U","2026-01-03 02:40:00","","185155.322519732","187510.437904853","","","","",
"68","의료기기판매(임대)업","01_02_03_P","5060000","PHMG120095060023047000004","2009-05-29","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-01-01","","","","","","740-983","경상북도 김천시 평화동 ***번지 *호","경상북도 김천시 김천로 ***-* (평화동)","39609","고려의료기상사","2026-01-01 11:35:37","U","2026-01-03 02:40:00","","300220.425708914","291969.635561798","","","39.6","",
"69","의료기기판매(임대)업","01_02_03_P","5060000","PHMG120165060023047000011","2016-09-07","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-01-01","","","","","","","","경상북도 김천시 김천로 *** (황금동, 한신아파트)","39592","앙콤하우스","2026-01-01 11:34:47","U","2026-01-03 02:40:00","","301336.925669","291211.826958695","","","75.9","",
"70","의료기기판매(임대)업","01_02_03_P","5060000","PHMG120145060023047000022","2014-11-21","","01","영업/정상","13","영업중","","","","","","","","경상북도 김천시 신음동 *** 롯데마트김천점","경상북도 김천시 시청로 **(신음동)","39544","롯데마트 김천점","2025-12-30 18:20:50","U","2026-01-03 02:40:00","","300539.27821686","293407.852900489","","","","",
"71","의료기기판매(임대)업","01_02_03_P","5060000","PHMG120145060023047000026","2014-12-01","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-01-01","","","","","","","","경상북도 김천시 평화중앙*길 * (평화동)","39609","씨유김천점","2026-01-01 11:36:19","U","2026-01-03 02:40:00","","300201.115633948","291964.045494241","","","","",
