"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"11","관광숙박업","03_11_01_P","3220000","CDFI2260032026000002","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 199-4","서울특별시 강남구 강남대로 482, 3층 (논현동)","06120","레이지타이거 HOSTEL","2026-01-05 13:24:14","I","2026-01-07 00:20:36","","202098.026747912","444801.432607191","관광숙박업","","주거지역","4","주택가주변","","","숙박시설","3","1","0","0","","","0","0","","0","0","","0","233.49","","0","","","","","","","104500000","","","","233","호스텔업",
"12","관광숙박업","03_11_01_P","3010000","CDFI2260032026000001","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 남산동2가 18-9","서울특별시 중구 퇴계로20길 31 (남산동2가)","04629","더큐브 호텔","2026-01-05 10:18:20","I","2026-01-07 00:20:36","","198711.004408276","450729.70372038","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"13","관광숙박업","03_11_01_P","3010000","CDFI2260032026000002","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 황학동 731-1","서울특별시 중구 퇴계로83길 10-22 (황학동)","04576","SINDANG GRAND JOY 호스텔","2026-01-05 11:21:58","I","2026-01-07 00:20:36","","201643.411062205","451532.973367955","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"14","관광숙박업","03_11_01_P","3700000","CDFI2260032019000001","2019-02-26","","01","영업/정상","13","영업중","","","","","052-277-2700","","","울산광역시 남구 삼산동 216-12","울산광역시 남구 삼산로383번길 6-17 (삼산동)","44712","브라운도트","2026-01-05 11:13:42","U","2026-01-07 02:40:00","","413056.400861217","229303.051361999","관광숙박업","","일반상업지역","10","","","","숙박시설","10","0","50","0","","","0","0","","0","0","","0","2892.05","","0","","","","","","","0","","","","2892","관광호텔업",
"15","관광숙박업","03_11_01_P","3290000","CDFI2260032023000001","2023-08-14","","01","영업/정상","13","영업중","","","","","051-815-5050","","","부산광역시 부산진구 부전동 524-48","부산광역시 부산진구 부전로 28 (부전동)","47288","H AVENUE","2026-01-05 17:44:34","U","2026-01-07 02:40:00","","387324.936691713","185693.767866322","관광숙박업","","","9","","","","","8","1","43","0","","","0","0","","0","0","","0","1957.16","","0","","","","","","","0","","","","1957","관광호텔업",
"16","관광숙박업","03_11_01_P","3420000","CDFI2260032025000002","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 효목동 284-9","대구광역시 동구 효신로16길 47 (효목동)","41230","거복스테이","2026-01-05 16:11:29","U","2026-01-07 02:40:00","","347442.799741651","265549.782401853","관광숙박업","","중심상업지역","2","","","","숙박시설","2","0","2","134","","","0","0","","0","0","","0","134.32","","0","","","","","","","720000000","","","","134","호스텔업",
"17","관광숙박업","03_11_01_P","4400000","CDFI2260032011000002","2011-10-20","","01","영업/정상","13","영업중","","","","","043-649-6022","","","충청북도 제천시 백운면 평동리 707","충청북도 제천시 백운면 금봉로 365","27105","포레스트리솜","2026-01-05 10:40:42","U","2026-01-07 02:40:00","","292837.458535471","406867.552237621","관광숙박업","","전용주거지역","7","기타","","","숙박시설","7","5","0","0","","","0","0","","0","0","","0","193784","","0","","","","","","","100000000","","","","193784","휴양콘도미니엄업",
"18","관광숙박업","03_11_01_P","3010000","CDFI2260032026000003","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 명동2가 54-2","서울특별시 중구 명동8길 8-11, 3층 (명동2가)","04536","무드온서울","2026-01-07 11:15:29","I","2026-01-09 00:20:01","","198513.571993372","451211.103380431","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"19","관광숙박업","03_11_01_P","3000000","CDFI2260032026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로5가 257-1","서울특별시 종로구 종로 248-1, 5층 (종로5가)","03197","편안정 종로5가점","2026-01-06 13:27:36","I","2026-01-09 00:20:01","","200401.722939568","452062.956830205","관광숙박업","","상업지역","7","기타","","","숙박시설","6","1","0","0","Pyeon an jeong Jongno 5-ga","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","90.55","","0","","","","","","","0","","","","91","호스텔업",
"20","관광숙박업","03_11_01_P","3000000","CDFI2260032026000002","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 종로5가 257-1","서울특별시 종로구 종로 248-1, 2층 (종로5가)","03197","스테이 도손 동대문점","2026-01-06 13:30:30","I","2026-01-09 00:20:01","","200401.722939568","452062.956830205","관광숙박업","","상업지역","7","기타","","","숙박시설","6","1","0","0","Stay doson Dongdaemun","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","90.55","","0","","","","","","","0","","","","91","호스텔업",
"21","관광숙박업","03_11_01_P","3380000","CDFI2260032026000003","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 183-16","부산광역시 수영구 광남로 103-3, 7층 (광안동)","48302","로프트 부산","2026-01-06 09:21:41","I","2026-01-09 00:20:01","","392639.545533527","185609.907098712","관광숙박업","","준주거지역","0","","","","","7","0","0","0","","","0","0","","0","0","","0","150.12","","0","","","","","","","20000000","","","","150","호스텔업",
"22","관광숙박업","03_11_01_P","3460000","CDFI2260031990000002","1990-05-30","","01","영업/정상","13","영업중","","","","","765-7776","","706-801","대구광역시 수성구 두산동 199-1","대구광역시 수성구 동대구로 27 (두산동)","42175","호텔아리아나","2026-01-07 16:37:39","U","2026-01-09 02:40:00","","346576.826066994","260428.966309755","관광숙박업","관광사업","","10","","","DB손해보험","호텔","9","1","53","8183","","","0","0","","0","0","","0","7745.26","","0","","","","","","","0","","","","7745","관광호텔업",
"23","관광숙박업","03_11_01_P","6520000","CDFI2260032013001088","2013-11-11","","02","휴업","02","휴업","","2025-12-24","2027-12-23","","0647847337","","","제주특별자치도 서귀포시 성산읍 수산리 2579","제주특별자치도 서귀포시 성산읍 서성일로 726-33","","아이피로드","2026-01-06 09:16:37","U","2026-01-09 02:40:00","","187152.443263264","-7523.73824844413","관광숙박업","","","0","","","","","0","0","20","","","","","","","","","","","713.63","","","","","","","","","1657000000","","","","714","호스텔업",
"24","관광숙박업","03_11_01_P","5330000","CDFI2260032019000005","2019-11-28","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 용남면 동달리 164-6","경상남도 통영시 용남면 동암길 147-4, 해오름","53028","해오름 키즈","2026-01-06 15:43:11","U","2026-01-09 02:40:00","","332639.844708737","153305.645611975","관광숙박업","","자연녹지지역","3","기타","","","숙박시설","3","0","9","0","","","0","0","","0","0","","0","499.87","","0","","","","","","","0","","","","500","호스텔업",
"25","관광숙박업","03_11_01_P","3250000","CDFI2260031978000001","1978-05-15","","01","영업/정상","13","영업중","","","","","051-250-6002","","","부산광역시 중구 동광동3가 20","부산광역시 중구 백산길 20 (동광동3가, 타워호텔)","48951","타워힐관광호텔","2026-01-07 13:55:59","U","2026-01-09 02:40:00","","385421.90323305","179905.794376225","관광숙박업","관광사업","","7","","","","","6","1","116","0","TOWERHILL HOTEL","TOURIST ACCOMMODATION(TOURIST HOTEL)","0","0","","0","0","","0","5658.34","","0","","","","","","","0","","","","5658","관광호텔업",
"26","관광숙박업","03_11_01_P","4090000","CDFI2260032020000001","2020-04-22","","01","영업/정상","13","영업중","","","","","031-981-1189","","","경기도 김포시 장기동 2011-3","경기도 김포시 태장로795번길 147 (장기동)","10090","스타비아 관광호텔","2026-01-07 15:27:59","U","2026-01-09 02:40:00","","172097.418897451","459816.39225749","관광숙박업","","준주거지역","8","","","","","7","1","69","4842","","","0","0","","0","0","","0","4841.03","","0","","","","","","","0","","","","4841","관광호텔업",
"27","관광숙박업","03_11_01_P","3420000","CDFI2260032021000004","2021-10-18","","01","영업/정상","13","영업중","","","","","","","","대구광역시 동구 상매동 505","대구광역시 동구 율암로 156-28 (상매동)","41059","골든캐프호텔","2026-01-06 15:35:15","U","2026-01-09 02:40:00","","354010.469849012","266822.901383458","관광숙박업","","근린상업지역","8","기타","","","숙박시설","7","1","54","0","","","0","0","","0","0","","0","4956","","0","","","","","","","3000000000","","","","4956","관광호텔업",
"28","관광숙박업","03_11_01_P","5020000","CDFI2260032025000003","2025-10-15","","01","영업/정상","13","영업중","","","","","054-250-3001","","","경상북도 포항시 북구 두호동 555","경상북도 포항시 북구 해안로 105 (두호동)","37708","(주)비치호텔","2026-01-06 16:30:07","U","2026-01-09 02:40:00","","414225.91082061","286818.332103619","관광숙박업","","","0","","","","","0","0","42","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"29","관광숙박업","03_11_01_P","5020000","CDFI2260032025000005","2025-12-15","","01","영업/정상","13","영업중","","","","","054-727-0422","","","경상북도 포항시 남구 대잠동 942-25","경상북도 포항시 남구 새천년대로422번길 9 (대잠동)","37761","루트422","2026-01-06 16:34:22","U","2026-01-09 02:40:00","","411354.318491606","281744.867948965","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","400000000","","","","0","소형호텔업",
"30","관광숙박업","03_11_01_P","3160000","CDFI2260032023000001","2023-08-09","","01","영업/정상","13","영업중","","","","","0507-1433-5500","","","서울특별시 구로구 구로동 569-18 코코모호텔","서울특별시 구로구 새말로 20, 코코모호텔 (구로동)","08292","커넥티드 호텔 구로(CONNECTED HOTEL GURO)","2026-01-07 11:15:43","U","2026-01-09 02:40:00","","189616.936088565","444424.824149503","관광숙박업","","준공업지역","9","기타","","","호텔","9","1","47","231","","","0","0","","0","0","","0","1604.5","","0","","","","","","","6000000000","","","","1605","관광호텔업",
"31","관광숙박업","03_11_01_P","3220000","CDFI2260032016000002","2016-02-12","","01","영업/정상","13","영업중","","","","","0269369700","","","서울특별시 강남구 삼성동 158-13","서울특별시 강남구 테헤란로87길 9 (삼성동, 호텔페이토)","06169","호텔 페이토 삼성","2026-01-07 17:27:32","U","2026-01-09 02:40:00","","205121.655","445138.69","관광숙박업","","일반상업지역","24","기타","","","숙박시설","19","5","","","","","","","","","","","","","","","","","","","","","17702400000","","","","","관광호텔업",
"32","관광숙박업","03_11_01_P","3200000","CDFI2260032016000002","2016-09-13","","01","영업/정상","13","영업중","","","","","02-501-5001","","","서울특별시 관악구 신림동 1433-122","서울특별시 관악구 신림동7길 52 (신림동)","08759","(주)관광호텔 뜨랑블루","2026-01-07 09:47:16","U","2026-01-09 02:40:00","","193457.995986558","442484.950403885","관광숙박업","","일반상업지역","14","유흥업소밀집지역","","롯데손보(특수건물)","숙박시설","12","2","66","3620","A Corporation Tourist Hotel Trangblue","The Tourist Accommodation Business(Tourist Hotels)","0","0","","0","0","","0","3620.1","","0","","","","","","","3000000000","","","","3620","관광호텔업",
"33","관광숙박업","03_11_01_P","4400000","CDFI2260032021000001","2021-04-07","","01","영업/정상","13","영업중","","","","","043-644-3355","","","충청북도 제천시 영천동 999-10","충청북도 제천시 청풍호로2가길 10 (영천동)","27194","칙칙폭폭999 게스트하우스","2026-01-07 09:36:36","U","2026-01-09 02:40:00","","306736.748814227","403722.033725888","관광숙박업","","일반주거지역","3","주택가주변","","","근린생활시설","3","0","0","0","","","0","0","","0","0","","0","861.82","","0","","","","","","","0","","","","862","호스텔업",
"34","관광숙박업","03_11_01_P","4090000","CDFI2260032021000001","2021-04-14","","01","영업/정상","13","영업중","","","","","031-984-1723","","","경기도 김포시 구래동 6882-8","경기도 김포시 김포한강9로75번길 38, 9층 (구래동)","10071","호텔M타워","2026-01-07 15:33:00","U","2026-01-09 02:40:00","","166697.643845538","460205.691270697","관광숙박업","","","4","","","","","4","0","70","0","","","0","0","","0","0","","0","4923","","0","","","","","","","0","","","","4923","관광호텔업",
"35","관광숙박업","03_11_01_P","4090000","CDFI2260032021000002","2021-04-14","","01","영업/정상","13","영업중","","","","","031-982-5821","","","경기도 김포시 구래동 6881-19","경기도 김포시 김포한강9로75번길 64 (구래동)","10071","웨스트9호텔","2026-01-07 15:31:44","U","2026-01-09 02:40:00","","166571.46","460153.33","관광숙박업","","","10","","","","","8","2","65","0","","","0","0","","0","0","","0","4406.83","","0","","","","","","","0","","","","4407","관광호텔업",
"36","관광숙박업","03_11_01_P","4090000","CDFI2260032018000001","2018-06-27","","01","영업/정상","13","영업중","","","","","031-982-5555","","","경기도 김포시 장기동 2014-5","경기도 김포시 태장로795번길 111 (장기동)","10090","펜타스타호텔","2026-01-07 15:26:18","U","2026-01-09 02:40:00","","171993.646420739","459638.545636666","관광숙박업","","","8","","","","","7","1","69","4789","","","0","0","","0","0","","0","4788.76","","0","","","","","","","0","","","","4789","관광호텔업",
"37","관광숙박업","03_11_01_P","3380000","CDFI2260032026000004","2026-01-08","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 181-52 주건축물제1동","부산광역시 수영구 광안해변로295번길 4-11, 5~6층 (민락동, 주건축물제1동)","48290","굿스테이","2026-01-08 15:52:34","I","2026-01-10 00:20:07","","393652.290802511","186286.66148863","관광숙박업","","준주거지역","0","","","","","5","0","11","0","","","0","0","","0","0","","0","416.5","","0","","","","","","","70000000","","","","417","호스텔업",
"38","관광숙박업","03_11_01_P","3320000","CDFI2260032023000001","2023-09-05","","01","영업/정상","13","영업중","","","","","","","","부산광역시 북구 만덕동 51-9","부산광역시 북구 구만덕로80번길 4, 피코관광호스텔 (만덕동)","46607","피코 관광호스텔","2026-01-08 11:26:47","U","2026-01-10 02:40:00","","386157.190021193","192468.847504737","관광숙박업","","자연녹지지역","7","기타","","재난배상책임보험(삼성)","숙박시설","6","1","6","996","","","0","0","","0","0","","0","995.85","","0","","","","","","","0","","","","996","호스텔업",
"39","관광숙박업","03_11_01_P","4211000","CDFI2260031996000002","1996-08-10","","01","영업/정상","13","영업중","","","","","534-6682,530-0706","","240-080","강원특별자치도 동해시 망상동 396-18","강원특별자치도 동해시 동해대로 6285 (망상동)","25701","(주)동해보양온천컨벤션호텔","2026-01-08 13:44:40","U","2026-01-10 02:40:00","","384244.340894126","456511.330745685","관광숙박업","관광사업","자연녹지지역","10","학교정화(상대)","","","숙박시설","8","2","182","31815","","","0","0","","0","0","","0","9451.61","","0","","","","","","","0","","","","9452","관광호텔업",
"40","관광숙박업","03_11_01_P","3330000","CDFI2260032024000006","2024-11-07","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 557-5","부산광역시 해운대구 우동1로20번길 53, 3,4층 (우동)","48087","구텐모르겐","2026-01-08 20:55:22","U","2026-01-10 02:40:00","","396651.338993174","187230.20319681","관광숙박업","","일반주거지역","0","","","","숙박시설","0","0","3","0","","","0","0","","0","0","","0","128.48","","0","","","","","","","40000000","","","","128","호스텔업",
"41","관광숙박업","03_11_01_P","3330000","CDFI2260032024000003","2024-10-30","","01","영업/정상","13","영업중","","","","","0507-1325-0097","","","부산광역시 해운대구 송정동 312-9","부산광역시 해운대구 송정광어골로 21, 4층 (송정동)","48073","펜톤나인 송정해수욕장 송정3호점","2026-01-08 20:51:56","U","2026-01-10 02:40:00","","400178.392140175","188869.035783063","관광숙박업","","준주거지역","8","","","","숙박시설","8","0","3","0","","","0","0","","0","0","","0","150.84","","0","","","","","","","120000000","","","","151","호스텔업",
"42","관광숙박업","03_11_01_P","3330000","CDFI2260032024000004","2024-10-30","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 중동 1482-1","부산광역시 해운대구 달맞이길117번가길 219, 3,4,5층 (중동)","48115","아파트먼트풀 스테이","2026-01-08 20:53:15","U","2026-01-10 02:40:00","","398863.293477986","186853.650719528","관광숙박업","","일반주거지역","5","","","","숙박시설","1","5","4","0","","","0","0","","0","0","","0","548.69","","0","","","","","","","100000000","","","","549","호스텔업",
"43","관광숙박업","03_11_01_P","3330000","CDFI2260032015000005","2015-07-27","","01","영업/정상","13","영업중","","","","","","","612-846","부산광역시 해운대구 중동","부산광역시 해운대구 달맞이길62번가길 31, 2층 (중동)","48098","일로와 스테이","2026-01-08 11:33:37","U","2026-01-10 02:40:00","","397802.743262991","186546.161279845","관광숙박업","","상업지역","2","","","","","2","0","6","375","","","0","0","","0","0","","0","187.58","","0","","","","","","","28000000","","","","188","호스텔업",
"44","관광숙박업","03_11_01_P","3330000","CDFI2260032013000002","2013-08-29","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 중동 1398-7 해운대구중동마린타워","부산광역시 해운대구 해운대해변로 321, 해운대구중동마린타워 11층 (중동)","48096","팝콘호스텔","2026-01-08 11:46:37","U","2026-01-10 02:40:00","","397215.3575977","186959.519684587","관광숙박업","","일반상업지역","13","기타","","","기타","11","2","7","4886","","","0","0","","0","0","","0","784.98","","0","","","","","","","0","","","","785","호스텔업",
"45","관광숙박업","03_11_01_P","4211000","CDFI2260032021000003","2021-03-25","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 망상동 390-12 동해바다펜션","강원특별자치도 동해시 동해대로 6277, 동해바다펜션 (망상동)","25701","동해바다","2026-01-08 17:14:53","U","2026-01-10 02:40:00","","384348.435959737","456467.479904954","관광숙박업","","자연녹지지역","3","학교정화(상대)","","KB손해보험","숙박시설","3","0","15","614","","","0","0","","0","0","","0","261.52","","0","","","","","","","30000000","","","","262","호스텔업",
"46","관광숙박업","03_11_01_P","4211000","CDFI2260032022000001","2022-07-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 구미동 496-3","강원특별자치도 동해시 오일장길 23-1, 2층 (구미동)","25813","휘게51","2026-01-08 17:18:13","U","2026-01-10 02:40:00","","387996.237503498","444293.996127202","관광숙박업","","준주거지역","3","학교정화(상대)","","DB손해보험(재난배상책임보험)","숙박시설","3","0","4","369","","","0","0","","0","0","","0","135.06","","0","","","","","","","105000000","","","","135","호스텔업",
"47","관광숙박업","03_11_01_P","4211000","CDFI2260032023000002","2023-04-14","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 대진동 187-2","강원특별자치도 동해시 일출로 375 (대진동)","25708","너에게로 감동해","2026-01-08 17:21:58","U","2026-01-10 02:40:00","","386918.013761384","454555.208467128","관광숙박업","","자연녹지지역","5","","","재난배상책임보험(삼성화재)","숙박시설","4","1","8","594","","","0","0","","0","0","","0","594.45","","0","","","","","","","0","","","","594","호스텔업",
"48","관광숙박업","03_11_01_P","4241000","CDFI2260032022000001","2022-01-21","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 삼척시 도계읍 도계리 303-1","강원특별자치도 삼척시 도계읍 도계대한길 36","25948","도계 유리게스트하우스","2026-01-08 14:50:56","U","2026-01-10 02:40:00","","381692.032224774","416776.163378779","관광숙박업","","일반주거지역","3","기타","","","숙박시설","3","0","18","1897","","","0","0","","0","0","","0","1897.27","","0","","","","","","","90648977000","","","","1897","호스텔업",
"49","관광숙박업","03_11_01_P","3670000","CDFI2260031995000001","1995-01-23","","01","영업/정상","13","영업중","","","","","229-8000","","305-301","대전광역시 유성구 봉명동 547-6","대전광역시 유성구 계룡로141번길 21 (봉명동, 호텔 레전드)","305-301","(주)제이에이치레전드호텔","2026-01-08 14:38:17","U","2026-01-10 02:40:00","","230983.056881919","317019.100632244","관광숙박업","관광사업","일반상업지역","16","기타","","","숙박시설","11","5","0","0","","","0","0","","0","0","","0","18910.63","","0","","","","","","","0","","","","18911","관광호텔업",
"50","관광숙박업","03_11_01_P","3330000","CDFI2260032024000001","2024-05-08","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 송정동 313-12","부산광역시 해운대구 송정중앙로6번길 126, 3,4,5층 (송정동)","48073","송정담다펜션","2026-01-08 20:49:54","U","2026-01-10 02:40:00","","400170.32219517","188826.733902683","관광숙박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","267.77","","0","","","","","","","200000000","","","","268","호스텔업",
"51","관광숙박업","03_11_01_P","3380000","CDFI2260032025000035","2025-12-18","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 179-3","부산광역시 수영구 광안해변로 235, 11층 (민락동)","48284","루미에르","2026-01-08 21:38:42","U","2026-01-10 02:40:00","","393085.150482681","186011.990468756","관광숙박업","","일반상업지역","0","","","","","11","0","4","0","","","0","0","","0","0","","0","271.23","","0","","","","","","","0","","","","271","호스텔업",
"52","관광숙박업","03_11_01_P","3380000","CDFI2260032025000036","2025-12-23","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 34-7","부산광역시 수영구 민락본동로19번길 59, 3층 (민락동)","48290","시안","2026-01-08 21:38:59","U","2026-01-10 02:40:00","","393630.621334446","186333.44431789","관광숙박업","","준주거지역","3","","","","","0","0","1","0","","","0","0","","0","0","","0","130.05","","0","","","","","","","10000000","","","","130","호스텔업",
"53","관광숙박업","03_11_01_P","3330000","CDFI2260032025000005","2025-07-22","","01","영업/정상","13","영업중","","","","","051-710-4663","","","부산광역시 해운대구 중동 1412-7 다옴빌딩","부산광역시 해운대구 해운대해변로 277, 다옴빌딩 6층 (중동)","48094","코브스테이 해운대","2026-01-08 21:05:02","U","2026-01-10 02:40:00","","396876.187174887","186661.366264929","관광숙박업","","일반상업지역","0","","","","","0","0","12","0","","","0","0","","0","0","","0","443.78","","0","","","","","","","0","","","","444","호스텔업",
