"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"24","물류창고업체","11_45_02_P","4090000","2024409041632500002","2024-04-11","","01","영업/정상","01","영업중","","","","","","","","경기도 김포시 양촌읍 대포리 455","경기도 김포시 양촌읍 대포산단로 73, 5층","10048","쿠팡로지스틱스서비스유한회사","2026-01-02 10:37:23","U","2026-01-04 02:40:00","","","","1","14557.83","0","0","0","100","오토소터, 컨베이어, 포장작업대, 렉","","법인","1","1","","",
"25","물류창고업체","11_45_02_P","4681000","2025468104832500002","2025-10-31","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 익산시 왕궁면 동용리 532","전북특별자치도 익산시 왕궁면 호반로 35","54575","쿠팡로지스틱스서비스 유한회사","2026-01-02 15:35:44","U","2026-01-04 02:40:00","","208872.962563483","276895.451098366","1","1743.36","0","0","0","3","지게차 2대","0","법인","1","1","","1",
"26","물류창고업체","11_45_02_P","3990000","2024399047732500002","2024-03-19","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 남양주시 화도읍 답내리 199-1 아모레퍼시픽물류센터","경기도 남양주시 화도읍 경춘로 2362, 아모레퍼시픽물류센터","12191","쿠팡로지스틱스서비스 유한회사","2026-01-02 08:12:54","U","2026-01-04 02:40:00","","230805.757281937","461740.887007786","1","4199.01","0","0","0","0","지게차, 팔레트, 테이블리프트2개소","","법인","1","1","","",
"27","물류창고업체","11_45_02_P","3990000","2025399047732500004","2025-07-22","","01","영업/정상","01","영업중","","","","","1544-989-8","","","경기도 남양주시 오남읍 양지리 662","경기도 남양주시 오남읍 양지로 296","12036","쿠팡로지스틱스서비스(유)","2026-01-02 15:33:23","U","2026-01-04 02:40:00","","216950.410364113","466594.051740217","2","1664.66","0","0","0","10","롤테이너, 네트워크장비, PDA 등","","법인","1","","","",
"28","물류창고업체","11_45_02_P","5670000","2013567030132500012","2012-08-02","","03","폐업","03","폐업","2025-12-29","","","","0552566103","","641-921","경상남도 창원시 의창구 대산면 모산리 17번지 9호","경상남도 창원시 의창구 대산면 대산북로 677","641-921","경남단감원예농협","2026-01-02 18:09:02","U","2026-01-04 02:40:00","","355261.022105339","208245.79605481","2","1153","0","0","0","","","","법인","","","","",
"29","물류창고업체","11_45_02_P","3990000","2022399042132500004","2022-08-31","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 남양주시 별내면 청학리 440","경기도 남양주시 별내면 청학로 83","12089","쿠팡로지스틱스서비스 유한회사","2026-01-02 08:30:52","U","2026-01-04 02:40:00","","210304.767925538","467223.287313414","1","1927","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너","","법인","","1","","",
"30","물류창고업체","11_45_02_P","3990000","2022399042132500006","2022-08-31","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 남양주시 진접읍 내각리 99-5","경기도 남양주시 진접읍 금강로1281번길 24-1, 1,3층,지하1~3층","12072","쿠팡로지스틱스서비스 유한회사","2026-01-02 08:31:52","U","2026-01-04 02:40:00","","215253.975186235","467752.331098387","1","17566.08","0","0","0","132","지게차, 네트워크장비, PDA, 롤테이너 등","","법인","","1","","",
"31","물류창고업체","11_45_02_P","3990000","2022399042132500007","2022-08-31","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 남양주시 화도읍 차산리 434-6","경기도 남양주시 화도읍 재재기로149번길 57, B1, B2, 3, 4층","12200","쿠팡로지스틱스서비스 유한회사","2026-01-02 15:34:08","U","2026-01-04 02:40:00","","226970.861621999","457182.073718779","1","37189.67","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너 등","","법인","","1","","",
"32","물류창고업체","11_45_02_P","4681000","2023468039832500002","2023-08-28","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","전북특별자치도 익산시 함라면 신대리 325-1","전북특별자치도 익산시 함라면 함안로 342","54502","쿠팡로지스틱스서비스 유한회사","2026-01-02 15:39:27","U","2026-01-04 02:40:00","","191261.623847131","283456.060943555","1","3656.64","0","0","0","6","테이블리프트2개소","0","법인","1","","","",
"33","물류창고업체","11_45_02_P","4090000","2025409052332500008","2025-03-24","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 김포시 고촌읍 전호리 662","경기도 김포시 고촌읍 아라육로230번길 16, 1층","10135","쿠팡로지스틱스서비스 유한회사","2026-01-02 10:08:11","U","2026-01-04 02:40:00","","180608.043050996","455120.046927362","1","8157.10","0","0","0","50","철제슬로프, 도크레벨러","","법인","","1","","",
"34","물류창고업체","11_45_02_P","3990000","2025399047732500002","2025-04-21","","01","영업/정상","01","영업중","","","","","15-44-9898","","","경기도 남양주시 이패동 636","경기도 남양주시 다산지금로145번안길 22 (이패동)","12244","쿠팡로지스틱스서비스(유)","2026-01-02 08:34:28","U","2026-01-04 02:40:00","","215728.200654118","455378.615777351","2","3454.48","0","0","0","10","테이블리프트3EA, 지게차 등","","법인","","1","","",
"35","물류창고업체","11_45_02_P","4090000","2022409041632500005","2022-08-24","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 김포시 고촌읍 전호리 743 제일모직 수도권 통합물류센터","경기도 김포시 고촌읍 아라육로 75, 제일모직 수도권 통합물류센터 4층","10136","쿠팡로지스틱스서비스 유한회사","2026-01-02 10:41:15","U","2026-01-04 02:40:00","","181515.408945204","454177.216142397","1","29745","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너","","법인","1","1","","",
"36","물류창고업체","11_45_02_P","4090000","2022409041632500007","2022-08-24","","01","영업/정상","01","영업중","","","","","02-6150-8309","","","경기도 김포시 고촌읍 전호리 701 (주)티제이물류","경기도 김포시 고촌읍 아라육로58번길 147 (주)티제이물류 1층","10136","쿠팡로지스틱스서비스 유한회사","2026-01-02 10:38:26","U","2026-01-04 02:40:00","","181134.188515778","454520.073667343","1","8324.32","0","0","0","132","지게차, 네트워크 장비, PDA, 롤테이너 등","","법인","1","1","","",
"37","물류창고업체","11_45_02_P","3990000","2025399047732500001","2025-01-20","","01","영업/정상","01","영업중","","","","","1544-989-8","","","경기도 남양주시 진건읍 배양리 532","경기도 남양주시 진건읍 진관로 232","12247","쿠팡로지스틱스서비스 유한회사","2026-01-02 08:33:37","U","2026-01-04 02:40:00","","214565.665629975","458852.678658972","2","1219.42","0","0","0","10","롤테이너, 네트워크장비, PDA 등","","법인","","","","",
"38","물류창고업체","11_45_02_P","5310000","2024531032132500002","2024-12-02","","01","영업/정상","01","영업중","","","","","","","","경상남도 진주시 지수면 승산리 163-1 외2필지","경상남도 진주시 지수면 지수로434번길 30","52610","쿠팡로지스틱스서비스 유한회사","2026-01-02 15:53:21","U","2026-01-04 02:40:00","","315832.043080071","193027.775987474","1","1663.35","0","0","0","2","지게차 1대","","법인","1","","","",
"39","물류창고업체","11_45_02_P","5141000","2026514101532500001","2026-01-02","","01","영업/정상","01","영업중","","","","","","","","대구광역시 군위군 효령면 고곡리 120","대구광역시 군위군 효령면 하평길 115","43137","로지스 경북","2026-01-05 09:37:13","I","2026-01-07 00:20:36","","342212.942914927","290695.803214273","1","2175","0","0","2175","1","창고 1동","","개인","1","","","",
"40","물류창고업체","11_45_02_P","3530000","2023353022132500002","2023-09-01","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","인천광역시 남동구 고잔동 655-5","인천광역시 남동구 논현고잔로 87, 6층 (고잔동)","21687","쿠팡로지스틱스서비스 유한회사","2026-01-05 15:07:50","U","2026-01-07 02:40:00","","174388.051036022","432089.056482532","1","25607","0","0","25607","100","지게차, 테이블리프트","","법인","","1","","",
"41","물류창고업체","11_45_02_P","3530000","2023353022132500003","2023-09-01","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","인천광역시 남동구 고잔동 163-3 롯데칠성음료","인천광역시 남동구 논현고잔로 137, 롯데칠성음료 1층 (고잔동)","21686","쿠팡로지스틱스서비스유한회사","2026-01-05 11:24:54","U","2026-01-07 02:40:00","","174532.893416076","432649.625253971","1","1375","0","0","1375","65","창고시설","","법인","","1","","",
"42","물류창고업체","11_45_02_P","5690000","2023569039532500100","2023-01-26","","03","폐업","03","폐업","2025-12-31","","","","043-531-1240","","","세종특별자치시 전의면 관정리 742","세종특별자치시 전의면 산단길 22-50","30003","씨제이대한통운 주식회사","2026-01-05 14:59:17","U","2026-01-07 02:40:00","","218844.388523349","355085.856198952","1","3767","0","0","0","","","","법인","","","","",
"43","물류창고업체","11_45_02_P","5380000","2017538022732500002","2017-06-22","","03","폐업","03","폐업","2025-12-29","","","","055-367-7823","","","","경상남도 양산시 어실로 482 (어곡동, 하이마트물류센타)","50590","롯데하이마트(주)(어곡동)","2026-01-05 09:07:20","U","2026-01-07 02:40:00","","382247.612151711","212675.317001585","2","5367","0","0","0","","","","법인","","","","",
"44","물류창고업체","11_45_02_P","5540000","2024554038132500001","2024-02-29","","01","영업/정상","01","영업중","","","","","","","","경기도 광주시 문형동 901","경기도 광주시 오포로297번길 53 (문형동)","12774","주식회사 에스에스지닷컴","2026-01-05 09:46:07","U","2026-01-07 02:40:00","","","","1","69019.96","1","14699.00","0","310","오토스토어, MDPS, 메자닌 등","1000","법인","1","","","",
"45","물류창고업체","11_45_02_P","4830000","2013483013732500002","2013-03-14","","01","영업/정상","01","영업중","","","","","061-330-0000","","520-951","전라남도 나주시 이창동 83번지 2호","전라남도 나주시 영산포로 22 (이창동)","520-951","나주시농업협동조합공동사업법인","2026-01-05 13:21:23","U","2026-01-07 02:40:00","","173098.035273149","165080.898435586","1","224.55","25","3528.65","0","12","선별포장실, 신선편이실, 저온저장고 등","","법인","1","1","1","1",
"46","물류창고업체","11_45_02_P","3450000","2025345008532500002","2025-10-13","","01","영업/정상","01","영업중","","","","","1544-9898-","","","대구광역시 북구 산격동 1580","대구광역시 북구 유통단지로13길 8 (산격동)","41504","쿠팡로지스틱스서비스 유한회사","2026-01-05 14:11:54","U","2026-01-07 02:40:00","","345327.736682658","268763.26426025","1","4809.91","0","0","0","10","테이블리픝,롤테이너,네트워크장비","","법인","","1","","",
"47","물류창고업체","11_45_02_P","5690000","2025569045032500001","2025-02-16","","01","영업/정상","01","영업중","","","","","1544-9898-0000","","","세종특별자치시 부강면 갈산리 470-2","세종특별자치시 부강면 연청로 745-46, 라동","30071","쿠팡로지스틱스서비스(유)","2026-01-05 14:59:35","U","2026-01-07 02:40:00","","232028.675543742","337994.827081663","1","6335","0","0","5081.01","55","지게차, 롤테이너, 전동컨베이어 등","1000000","법인","1","1","","",
"48","물류창고업체","11_45_02_P","5690000","2023569039532500004","2023-11-14","","01","영업/정상","01","영업중","","","","","","","","세종특별자치시 부강면 문곡리 135-1","세종특별자치시 부강면 부강외천로 318","30073","쿠팡로지스틱스서비스 유한회사","2026-01-05 15:00:39","U","2026-01-07 02:40:00","","236012.164417641","336354.222767831","1","18017.49","0","0","0","10","지게차 6대, EPJ 3대, 핸드자키 5대","","법인","1","","","",
"49","물류창고업체","11_45_02_P","4080000","2026408026132500001","2026-01-06","","01","영업/정상","01","영업중","","","","","02-2135-5013","","","경기도 안성시 일죽면 고은리 452-1","경기도 안성시 일죽면 고목남길 95-31","17525","용마로지스(주)","2026-01-07 09:59:16","I","2026-01-09 00:20:01","","239124.898266192","402326.78950208","1","2633.36","0","0","0","3","지게차 등","","법인","","","","",
"50","물류창고업체","11_45_02_P","3910000","2026391042332500001","2026-01-06","","01","영업/정상","01","영업중","","","","","031-615-1511","","","경기도 평택시 진위면 마산리 455-4","경기도 평택시 진위면 삼남로 745-24","17718","(주)에이알","2026-01-06 17:40:45","I","2026-01-09 00:20:01","","207952.680833479","398453.973690799","1","4793.90","0","0","0","10","화물용 승강기 1대, 화물용 수직 반송기 2대, 지게차 8대 등","","법인","1","","","",
"51","물류창고업체","11_45_02_P","4080000","2019408020832500004","2019-03-28","","01","영업/정상","01","영업중","","","","","02-2135-5013","","","경기도 안성시 양성면 도곡리 40번지 4호 1층","경기도 안성시 양성면 양성로 376-106","17501","용마로지스 주식회사","2026-01-07 09:54:27","U","2026-01-09 02:40:00","","219255.360601026","398340.667073472","1","10648","0","0","0","440","랙, 지게차","9700","법인","1","","","",
"52","물류창고업체","11_45_02_P","5540000","2023554033532500004","2023-07-04","","01","영업/정상","01","영업중","","","","","031-761-1961","","","경기도 광주시 곤지암읍 삼리 313","경기도 광주시 곤지암읍 백고개길 199","12806","삼양로지스틱스(주)","2026-01-06 17:56:27","U","2026-01-09 02:40:00","","227984.121183998","428001.769157433","1","4471.2","0","0","0","16","렉, 지게차","","법인","1","","","",
"53","물류창고업체","11_45_02_P","4080000","2023408024132500006","2023-09-13","","01","영업/정상","01","영업중","","","","","02-2135-5013","","","경기도 안성시 대덕면 무능리 2","경기도 안성시 대덕면 소동산길 3-29, 2층","17541","용마로지스㈜","2026-01-07 09:58:20","U","2026-01-09 02:40:00","","220801.813978156","393997.022325126","1","29005.09","0","0","0.","30","랙(rack)설비, 전동 지게차 등","36000","법인","1","","","",
"54","물류창고업체","11_45_02_P","4980000","2023498013432500001","2023-09-04","","01","영업/정상","01","영업중","","","","","000-1544-9898","","","전라남도 장성군 남면 삼태리 854-1","전라남도 장성군 남면 나노산단3로 11","57248","쿠팡로지스틱스서비스 유한회사","2026-01-07 13:05:09","U","2026-01-09 02:40:00","","184327.327208564","193143.893443739","1","3649.59","0","0","0","50","테이블 리프트(2개_","","법인","1","1","","",
"55","물류창고업체","11_45_02_P","3910000","2023391042332500010","2023-09-06","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","경기도 평택시 청북읍 후사리 337-5","경기도 평택시 청북읍 서해로 1491-21","17799","쿠팡로지스틱스서비스 유한회사","2026-01-06 13:48:10","U","2026-01-09 02:40:00","","194611.608789683","391668.573324421","2","2101.2","0","0","0","-","지게차, 테이블리프트 2개소","","법인","1","","","",
"56","물류창고업체","11_45_02_P","4800000","2023480024232500001","2023-08-31","","01","영업/정상","01","영업중","","","","","","","","전라남도 목포시 대양동 1189-2","전라남도 목포시 대양산단로149번길 41 (대양동)","58600","쿠팡로지스틱스서비스(유)","2026-01-07 15:39:03","U","2026-01-09 02:40:00","","145047.570325687","148768.024526663","3","1479.36","0","0","0","5","일반창고 3동 및 테이블리프트 2개소","","법인","1","1","","",
"57","물류창고업체","11_45_02_P","4080000","2022408024132500004","2022-03-22","","01","영업/정상","01","영업중","","","","","02-2135-5013","","","경기도 안성시 일죽면 당촌리 5","경기도 안성시 일죽면 조목동길 28-12","17527","용마로지스 주식회사","2026-01-07 09:57:09","U","2026-01-09 02:40:00","","245579.652573118","400249.67982373","1","13845.62","0","0","0","30","랙 설비, 전동 지게차 등","30000","법인","1","","","",
"58","물류창고업체","11_45_02_P","3490000","2024349021932500008","2024-07-31","","01","영업/정상","01","영업중","","","","","02-1544-9898","","","인천광역시 중구 신흥동3가 49 CBRE IM ILC 물류센터","인천광역시 중구 서해대로210번길 6, CBRE IM ILC 물류센터 7층 (신흥동3가)","22339","쿠팡로지스틱스서비스 유한회사","2026-01-06 14:04:38","U","2026-01-09 02:40:00","","166664.662486737","438200.59109307","1","3338.86","0","0","0","11","지게차 등","","법인","1","","","",
"59","물류창고업체","11_45_02_P","4070000","2024407024932500006","2024-05-01","","01","영업/정상","01","영업중","","","","","","","","경기도 이천시 백사면 모전리 32-30","경기도 이천시 백사면 이여로88번길 60","17316","쿠팡로지스틱스서비스(유)","2026-01-06 14:33:47","U","2026-01-09 02:40:00","","241173.4652042","422990.781216632","1","1876.8","0","0","0","10","지게차, 테이블리프트 등","","법인","","","","",
"60","물류창고업체","11_45_02_P","6300000","2025S63000000001","2025-12-26","","01","영업/정상","1","등록","","","","","0234159901","","34708","대전광역시 동구 구도동 368번지","대전광역시 동구 안골로28번길 30 (구도동)","34708","로젠주식회사","2026-01-07 16:04:17","U","2026-01-09 02:40:00","","242149.839101547","307940.384064962","1","10006.72","0","0","0","8","컨베이어밸트, 상하차슈트, 랙(rack)","","개인","","","","",
"61","물류창고업체","11_45_02_P","3490000","2025349022232500008","2025-11-26","","01","영업/정상","01","영업중","","","","","","","","인천광역시 중구 운북동 1328-1","인천광역시 중구 영종순환로900번길 30 (운북동)","22362","쿠팡로지스틱스서비스(유)","2026-01-06 13:21:35","U","2026-01-09 02:40:00","","155535.595635534","445496.009707269","1","7863.60","0","0","0","30","롤테이너, 컨베이어 등","","법인","1","","","",
