"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","비상시설위치","시설구분명","시설명건물명","해제일자",
"25","민방위급수시설","11_46_01_P","3120000","3120000-E199600001","1996-03-25","","01","영업/정상","18","사용중","","","","","","100","","서울특별시 서대문구 연희동 738번지","서울특별시 서대문구 동교로 291 (연희동, 연희동임광아파트)","03716","임광아파트(관리소장)","2025-12-31 11:59:38","U","2026-01-03 02:40:00","","193491.728786052","451436.40926898","서울특별시 서대문구 연희동 738번지","공공용시설","임광아파트(관리소장)","",
"26","민방위급수시설","11_46_01_P","3120000","3120000-E199100001","1991-08-01","","01","영업/정상","18","사용중","","","","","","100","","서울특별시 서대문구 충정로2가 40번지","서울특별시 서대문구 경기대로 82 (충정로2가, 광산빌딩)","03735","광산사우나(이용수)","2025-12-31 13:44:18","U","2026-01-03 02:40:00","","196820.124190281","451518.870744569","서울특별시 서대문구 충정로2가 40번지","공공용시설","광산사우나(이용수)","",
"27","민방위급수시설","11_46_01_P","3120000","3120000-E200600001","2006-05-10","","01","영업/정상","18","사용중","","","","","","152","","서울특별시 서대문구 연희동 742번지","서울특별시 서대문구 연희로28길 35-28 (연희동, 성원상떼빌팰리스아파트)","03719","연희팰리스빌아파트","2025-12-31 17:17:20","U","2026-01-03 02:40:00","","194460.258457732","452616.348704254","서울특별시 서대문구 연희동 742번지","정부지원시설","연희팰리스빌아파트","",
"28","민방위급수시설","11_46_01_P","3120000","3120000-E200500003","2005-11-10","","01","영업/정상","18","사용중","","","","","","79","","서울특별시 서대문구 봉원동 23번지","서울특별시 서대문구 봉원사길 117 (봉원동)","03721","봉원사(종무소)","2025-12-31 11:58:27","U","2026-01-03 02:40:00","","195256.447894793","452190.050767159","서울특별시 서대문구 봉원동 23번지","공공용시설","봉원사(종무소)","",
"29","민방위급수시설","11_46_01_P","3120000","3120000-E198800007","1988-06-01","","01","영업/정상","18","사용중","","","","","","190","","서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔","서울특별시 서대문구 연희로 353, 스위스그랜드호텔 (홍은동)","03650","스위스그랜드호텔","2025-12-31 13:55:49","U","2026-01-03 02:40:00","","194211.997213753","454098.970268002","서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔","공공용시설","스위스그랜드호텔","",
"30","민방위급수시설","11_46_01_P","3390000","3390000-E201800006","2018-08-21","","01","영업/정상","18","사용중","","","","","","88","","부산광역시 사상구 덕포동 96번지","부산광역시 사상구 백양대로 701 (덕포동)","46956","우리주유소","2025-12-31 09:28:07","U","2026-01-03 02:40:00","","381062.479655731","187394.58809869","부산광역시 사상구 덕포동 96번지","공공용시설","우리주유소","",
"31","민방위급수시설","11_46_01_P","5670000","5670184-E202200001","2022-11-17","","01","영업/정상","18","사용중","","","","","","100","","경상남도 창원시 마산회원구 회원동 62-4 회원1동행정복지센터","경상남도 창원시 마산회원구 회원동11길 7, 회원1동행정복지센터 (회원동)","51297","회원1동행정복지센터 앞","2025-12-31 11:36:01","U","2026-01-03 02:40:00","","343227.640243596","192118.864560635","경상남도 창원시 마산회원구 회원동 62-4 회원1동행정복지센터","지자체시설","회원1동행정복지센터 앞","",
"32","민방위급수시설","11_46_01_P","5670000","5670184-E199400005","1994-09-04","","01","영업/정상","18","사용중","","","","","","120","","경상남도 창원시 마산회원구 봉암동 511번지","","","봉암동 창신중학교 담앞","2025-12-31 15:43:22","U","2026-01-03 02:40:00","","","","경상남도 창원시 마산회원구 봉암동 511번지","지자체시설","봉암동 창신중학교 담앞","",
"33","민방위급수시설","11_46_01_P","3700000","3700000-E199900001","1999-02-25","","01","영업/정상","18","사용중","","","","","","60","","울산광역시 남구 야음동 730-6 한라훼미리아파트","울산광역시 남구 신남로 8-13, 한라훼미리아파트 (야음동)","44745","한라훼미리 아파트","2025-12-31 09:40:58","U","2026-01-03 02:40:00","","409866.518720877","227130.942393367","울산광역시 남구 야음동 730-6 한라훼미리아파트","공공용시설","한라훼미리 아파트","",
"34","민방위급수시설","11_46_01_P","3700000","3700000-E200300008","2003-07-01","","01","영업/정상","18","사용중","","","","","","80","","울산광역시 남구 야음동 710번지 1호","울산광역시 남구 수암로116번길 58 (야음동)","44749","뉴신선사우나","2025-12-31 09:43:38","U","2026-01-03 02:40:00","","410379.708503619","227342.544773139","울산광역시 남구 야음동 710번지 1호","공공용시설","뉴신선사우나","",
"35","민방위급수시설","11_46_01_P","3080000","3080000-E202500002","2025-06-19","","01","영업/정상","18","사용중","","","","","","70","","서울특별시 강북구 수유동 산 164-5 삼성암","서울특별시 강북구 인수봉로23길 235, 삼성암 (수유동)","01096","삼성암","2025-12-31 17:08:26","U","2026-01-03 02:40:00","","200196.25305016","458698.567533498","서울특별시 강북구 수유동 산 164-5 삼성암","공공용시설","삼성암","",
"36","민방위급수시설","11_46_01_P","3700000","3700000-E202300010","2023-06-09","","01","영업/정상","18","사용중","","","","","","80","","울산광역시 남구 야음동 789-117 씨엘요양병원","울산광역시 남구 수암로128번길 7, 씨엘요양병원 (야음동)","44750","씨엘요양병원","2026-01-02 11:30:53","U","2026-01-04 02:40:00","","410487.931007679","227727.864252344","울산광역시 남구 야음동 789-117 씨엘요양병원","공공용시설","씨엘요양병원","",
"37","민방위급수시설","11_46_01_P","4231000","4231000-E199500002","1995-12-20","","01","영업/정상","18","사용중","","","","","","336","","강원특별자치도 속초시 도문동 155번지","강원특별자치도 속초시 설악산로 470-7 (도문동)","","더케이설악산가족호텔 민방위비상급수시설","2026-01-02 16:25:31","U","2026-01-04 02:40:00","","336198.408904293","519310.752368986","강원특별자치도 속초시 도문동 155번지","공공용시설","더케이설악산가족호텔 민방위비상급수시설","",
"38","민방위급수시설","11_46_01_P","4231000","4231000-E201400001","2014-07-24","","01","영업/정상","18","사용중","","","","","","550","","강원특별자치도 속초시 노학동 795번지 4호","강원특별자치도 속초시 사당골길 43 (노학동)","217-070","금호설악리조트 비상급수시설","2026-01-02 16:12:02","U","2026-01-04 02:40:00","","335668.590337204","521081.322687044","강원특별자치도 속초시 노학동 795번지 4호","공공용시설","금호설악리조트 비상급수시설","",
"39","민방위급수시설","11_46_01_P","4160000","4160000-E199800001","1998-02-16","","01","영업/정상","18","사용중","","","","","","105","","경기도 가평군 가평읍 66번지 2호","경기도 가평군 가평읍 호반로 2601","477-804","가평고등학교","2026-01-02 15:07:43","U","2026-01-04 02:40:00","","245137.274435798","479575.382521232","경기도 가평군 가평읍 66번지 2호","정부지원시설","가평고등학교","",
"40","민방위급수시설","11_46_01_P","4160000","4160000-E199600004","1996-05-01","","01","영업/정상","18","사용중","","","","","","60","","경기도 가평군 가평읍 531번지 2호","경기도 가평군 가평읍 북한강변로 238","477-803","가평수덕원","2026-01-02 16:54:00","U","2026-01-04 02:40:00","","246965.234479018","472214.001832563","경기도 가평군 가평읍 531번지 2호","공공용시설","가평수덕원","",
"41","민방위급수시설","11_46_01_P","4160000","4160000-E200400001","2004-01-30","","01","영업/정상","18","사용중","","","","","","110","","경기도 가평군 조종면 276번지","경기도 가평군 조종면 조종새싹로 13-9 (조종초등학교)","12437","조종초등학교","2026-01-02 15:09:11","U","2026-01-04 02:40:00","","230645.111002911","479890.622622163","경기도 가평군 조종면 276번지","정부지원시설","조종초등학교","",
"42","민방위급수시설","11_46_01_P","4160000","4160000-E200400002","2004-05-10","","01","영업/정상","18","사용중","","","","","","110","","경기도 가평군 가평읍 100번지","경기도 가평군 가평읍 아랫마장길 59","477-802","농업기술센터","2026-01-02 15:08:11","U","2026-01-04 02:40:00","","243869.005544704","482723.107530776","경기도 가평군 가평읍 100번지","정부지원시설","농업기술센터","",
"43","민방위급수시설","11_46_01_P","4160000","4160000-E200800001","2008-05-09","","01","영업/정상","18","사용중","","","","","","1954","","경기도 가평군 상면 52번지","경기도 가평군 상면 둔덕말길 232 (가평베네스트골프클럽)","12443","삼성에버랜드가평베네스트","2026-01-02 16:27:27","U","2026-01-04 02:40:00","","226656.53269365","477303.07158774","경기도 가평군 상면 52번지","공공용시설","삼성에버랜드가평베네스트","",
"44","민방위급수시설","11_46_01_P","4080000","4080000-E199800004","1998-09-07","","01","영업/정상","18","사용중","","","","","","175","","경기도 안성시 일죽면 송천리 253번지  1   호","경기도 안성시 일죽면 금일로 433","","일죽면 비상급수시설","2026-01-02 14:52:00","U","2026-01-04 02:40:00","","","","경기도 안성시 일죽면 송천리 253번지  1   호","정부지원시설","일죽면 비상급수시설","",
"45","민방위급수시설","11_46_01_P","3250000","3250000-E199200001","1992-03-14","","01","영업/정상","18","사용중","","","","","","120","","부산광역시 중구 보수동2가 75-10","부산광역시 중구 보수대로124번길 43-9 (보수동2가)","48963","보수동28통내","2026-01-02 13:22:26","U","2026-01-04 02:40:00","","384428.742495999","180336.564854774","부산광역시 중구 보수동2가 75-10","지자체시설","보수동28통내","",
"46","민방위급수시설","11_46_01_P","3250000","3250000-E199500003","1995-04-12","","01","영업/정상","18","사용중","","","","","","272","","부산광역시 중구 보수동1가 95번지 3호","부산광역시 중구 흑교로 48 (보수동1가)","600-802","중구복합건강센터","2026-01-02 14:21:59","U","2026-01-04 02:40:00","","384598.620585225","180174.947710732","부산광역시 중구 보수동1가 95번지 3호","지자체시설","중구복합건강센터","",
"47","민방위급수시설","11_46_01_P","3250000","3250000-E199800001","1998-09-02","","01","영업/정상","18","사용중","","","","","","300","","부산광역시 중구 동광동5가 16번지 11호","부산광역시 중구 동광길93번길 5 (동광동5가)","600-025","대동맨션내","2026-01-02 13:27:48","U","2026-01-04 02:40:00","","385386.910670474","180576.24477204","부산광역시 중구 동광동5가 16번지 11호","정부지원시설","대동맨션내","",
"48","민방위급수시설","11_46_01_P","3250000","3250000-E200100003","2001-04-11","","01","영업/정상","18","사용중","","","","","","80","","부산광역시 중구 부평동3가 62번지 13호","부산광역시 중구 흑교로17번길 7-1 (부평동3가)","600-809","해림목욕탕","2026-01-02 14:39:39","U","2026-01-04 02:40:00","","384506.317967696","179855.018384751","부산광역시 중구 부평동3가 62번지 13호","공공용시설","해림목욕탕","",
"49","민방위급수시설","11_46_01_P","3250000","3250000-E199500001","1995-03-22","","01","영업/정상","18","사용중","","","","","","120","","부산광역시 중구 보수동2가 64번지 1호","부산광역시 중구 보수대로124번길 24-2 (보수동2가)","600-082","청소년문화의집","2026-01-02 14:33:25","U","2026-01-04 02:40:00","","384343.646038637","180387.92541197","부산광역시 중구 보수동2가 64번지 1호","지자체시설","청소년문화의집","",
"50","민방위급수시설","11_46_01_P","3250000","3250000-E200100001","2001-04-11","","01","영업/정상","18","사용중","","","","","","70","","부산광역시 중구 대청동1가 48번지","부산광역시 중구 용두산길 9 (대청동1가)","600-091","천주교부산중앙성당","2026-01-02 13:36:45","U","2026-01-04 02:40:00","","385208.188974367","180002.981176552","부산광역시 중구 대청동1가 48번지","공공용시설","천주교부산중앙성당","",
"51","민방위급수시설","11_46_01_P","4681000","4681000-E198700002","1987-01-01","","01","영업/정상","18","사용중","","","","","","82","","전북특별자치도 익산시 함열읍 530번지 1호","전북특별자치도 익산시 함열읍 와리3길 19-3","570-804","함열고등학교","2026-01-02 11:40:22","U","2026-01-04 02:40:00","","196262.900550791","286884.878188907","전북특별자치도 익산시 함열읍 530번지 1호","공공용시설","함열고등학교","",
"52","민방위급수시설","11_46_01_P","3740000","5610000-E199900007","1999-04-21","","01","영업/정상","18","사용중","","","","","","170","","경기도 수원시 영통구 영통동 988번지 3호","","","살구골약수터","2026-01-02 14:25:31","U","2026-01-04 02:40:00","","206382.637099201","416236.392714035","경기도 수원시 영통구 영통동 988번지 3호","공공용시설","살구골약수터","",
"53","민방위급수시설","11_46_01_P","3700000","3700000-E201200017","2012-06-20","","01","영업/정상","18","사용중","","","","","","157","","울산광역시 남구 무거동 276번지 1호","울산광역시 남구 굴화4길 22 (무거동, 굴화주공2차아파트)","44631","굴화주공2-1단지","2026-01-02 09:17:14","U","2026-01-04 02:40:00","","405105.087535819","230488.674217928","울산광역시 남구 무거동 276번지 1호","공공용시설","굴화주공2-1단지","",
"54","민방위급수시설","11_46_01_P","4681000","4681000-E202500003","2025-07-02","","01","영업/정상","18","사용중","","","","","","80","","전북특별자치도 익산시 어양동 622-1 영등중학교","전북특별자치도 익산시 하나로 490, 영등중학교 (어양동)","54552","이리영등중학교","2026-01-02 11:05:55","U","2026-01-04 02:40:00","","198252.11328091","273780.434975512","전북특별자치도 익산시 어양동 622-1 영등중학교","공공용시설","이리영등중학교","",
"55","민방위급수시설","11_46_01_P","4681000","4681000-E202500004","2025-07-02","","01","영업/정상","18","사용중","","","","","","98","","전북특별자치도 익산시 부송동 1119 익산궁동초등학교","전북특별자치도 익산시 무왕로25길 26, 익산궁동초등학교 (부송동)","54550","익산궁동초등학교","2026-01-02 11:05:17","U","2026-01-04 02:40:00","","199371.457140121","273556.178695008","전북특별자치도 익산시 부송동 1119 익산궁동초등학교","공공용시설","익산궁동초등학교","",
"56","민방위급수시설","11_46_01_P","4681000","4681000-E202500002","2025-07-02","","01","영업/정상","18","사용중","","","","","","80","","전북특별자치도 익산시 남중동 218-1 이리고등학교","전북특별자치도 익산시 익산대로36길 35, 이리고등학교 (남중동)","54620","이리고등학교","2026-01-02 11:01:14","U","2026-01-04 02:40:00","","195927.388056002","272064.801933208","전북특별자치도 익산시 남중동 218-1 이리고등학교","공공용시설","이리고등학교","",
"57","민방위급수시설","11_46_01_P","4681000","4681000-E202500001","2025-11-27","","01","영업/정상","18","사용중","","","","","","400","","전북특별자치도 익산시 신동 117-4 원광대학병원","전북특별자치도 익산시 익산대로 460, 원광대학병원 (신동)","54538","원광대학교병원","2026-01-02 10:59:56","U","2026-01-04 02:40:00","","196580.502135097","273846.142924742","전북특별자치도 익산시 신동 117-4 원광대학병원","공공용시설","원광대학교병원","",
"58","민방위급수시설","11_46_01_P","4681000","4681000-E202500005","2025-07-02","","01","영업/정상","18","사용중","","","","","","80","","전북특별자치도 익산시 영등동 155 이리동초등학교","전북특별자치도 익산시 동서로51길 57, 이리동초등학교 (영등동)","54638","이리동초등학교","2026-01-02 11:07:14","U","2026-01-04 02:40:00","","197918.097871896","272968.10951835","전북특별자치도 익산시 영등동 155 이리동초등학교","공공용시설","이리동초등학교","",
"59","민방위급수시설","11_46_01_P","4490000","5650000-E198000002","1980-04-11","","01","영업/정상","18","사용중","","","","","","10","","충청남도 천안시 동남구 용곡동 141번지 3호","충청남도 천안시 동남구 용수골길 23 (용곡동, 현대사료(주))","31202","현대사료","2026-01-02 16:52:17","U","2026-01-04 02:40:00","","212492.006515819","364564.436961376","충청남도 천안시 동남구 용곡동 141번지 3호","공공용시설","현대사료","",
"60","민방위급수시설","11_46_01_P","5670000","5670206-E202300005","2023-02-21","","01","영업/정상","18","사용중","","","","","","100","","경상남도 창원시 진해구 덕산동 21-4 현대아파트","경상남도 창원시 진해구 덕산로 22, 3층 1호 (덕산동, 현대아파트)","51649","덕산동-현대빌라","2026-01-03 12:35:07","U","2026-01-05 02:40:00","","355047.315469583","184363.895919804","경상남도 창원시 진해구 덕산동 21-4 현대아파트","공공용시설","덕산동-현대빌라","",
"61","민방위급수시설","11_46_01_P","4990000","4990000-E202500001","2025-12-22","","01","영업/정상","18","사용중","","","","","","100","","전라남도 완도군 완도읍 화흥리 441-1","","","전라남도 완도군 화흥리(2)민방위 비상급수시설","2026-01-04 13:22:41","I","2026-01-06 00:20:39","","","","전라남도 완도군 완도읍 화흥리 441-1","정부지원시설","전라남도 완도군 화흥리(2)민방위 비상급수시설","",
"62","민방위급수시설","11_46_01_P","5330000","5330000-E201400001","2014-06-10","","01","영업/정상","18","사용중","","","","","","105","","경상남도 통영시 광도면 1897번지 1호","경상남도 통영시 광도면 안정1길 310","53008","안정사 약수터","2026-01-04 15:27:30","U","2026-01-06 02:40:00","","327661.888845844","161511.234588037","경상남도 통영시 광도면 1897번지 1호","지자체시설","안정사 약수터","",
"63","민방위급수시설","11_46_01_P","3780000","3800000-E202600001","2026-01-05","","01","영업/정상","18","사용중","","","","","","100","","경기도 성남시 중원구 여수동 413","경기도 성남시 중원구 돌마로 1028 (여수동)","13432","성남시 체육회 축구장","2026-01-05 15:45:54","I","2026-01-07 00:20:36","","212185.080160415","435670.722516462","경기도 성남시 중원구 여수동 413","공공용시설","성남시 체육회 축구장","",
"64","민방위급수시설","11_46_01_P","3780000","3800000-E202600002","2026-01-05","","01","영업/정상","18","사용중","","","","","","60","","경기도 성남시 중원구 도촌동 45-2","경기도 성남시 중원구 희망로 99 (도촌동)","13419","인연다육농원","2026-01-05 16:22:09","I","2026-01-07 00:20:36","","213430.415708324","435290.337688909","경기도 성남시 중원구 도촌동 45-2","공공용시설","인연다육농원","",
"65","민방위급수시설","11_46_01_P","3030000","3030000-E201900001","2019-01-18","","01","영업/정상","18","사용중","","","","","","90","","서울특별시 성동구 행당동 320번지 60호 행당초등학교","서울특별시 성동구 고산자로8길 6, 행당초등학교 (행당동)","04746","행당초등학교","2026-01-05 13:18:08","U","2026-01-07 02:40:00","","202991.775140185","450491.273962214","서울특별시 성동구 행당동 320번지 60호 행당초등학교","공공용시설","행당초등학교","",
