"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"18","치과기공소","01_02_04_P","3310000","PHMB320263310024062300001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","","부산광역시 남구 석포로 123, 3층 (대연동)","48486","현아트 치과기공소","2026-01-06 14:50:48","I","2026-01-09 00:20:01","","390523.904328179","183030.890449133","1","3","5","1","1","2","2","1","1","1","1","3","1","1","1",
"19","치과기공소","01_02_04_P","5310000","PHMB320265310029062300001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 대안동 9-14","경상남도 진주시 진주대로 1058-1, 5층 (대안동)","52754","효은치과기공소","2026-01-06 18:43:26","I","2026-01-09 00:20:01","","298672.179209895","188844.682098561","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"20","치과기공소","01_02_04_P","5310000","PHMB320265310029062300002","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 대안동 9-14","경상남도 진주시 진주대로 1058-1, 4층 (대안동)","52754","모든치과기공소","2026-01-07 10:25:34","I","2026-01-09 00:20:01","","298672.179209895","188844.682098561","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"21","치과기공소","01_02_04_P","3010000","PHMB320043010033062300003","2004-08-30","","01","영업/정상","13","영업중","","","","","776-1029","","100-813","서울특별시 중구 서소문동 14번지 2호 동림빌딩6층","서울특별시 중구 서소문로 139 (서소문동, 동림빌딩6층)","04515","와이지(Y.G)치과기공소","2026-01-06 15:53:29","U","2026-01-09 02:40:00","","197828.407885459","451318.673025468","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"22","치과기공소","01_02_04_P","4191000","PHMB320264191050062300001","2004-08-07","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 반곡동 1899-2 (주)강림빌딩","강원특별자치도 원주시 미래로 1, (주)강림빌딩 403호 (반곡동)","26462","아름치과기공소","2026-01-07 09:05:29","I","2026-01-10 00:20:07","","287175.792304778","425342.028675645","1","1","3","1","1","2","1","1","1","2","1","1","1","1","1",
"23","치과기공소","01_02_04_P","4490000","PHMB320244490260062300001","2024-03-14","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 원성동 134-14 교보다방","충청남도 천안시 동남구 충절로 132, 3층 (원성동)","31127","드림치과기공소","2026-01-06 14:57:06","U","2026-01-10 02:40:00","","214065.121350663","367307.323038484","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"24","치과기공소","01_02_04_P","3230000","PHMB320263230034062300001","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 삼전동 67","서울특별시 송파구 백제고분로28길 33, 202호 (삼전동)","05597","크림치과기공소","2026-01-09 17:51:18","I","2026-01-11 00:20:02","","207998.620655655","444206.426928469","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"25","치과기공소","01_02_04_P","5700000","PHMB320024110016062300001","2002-12-18","","01","영업/정상","13","영업중","","","","","031)885-1069","","","","경기도 여주시 우암로 44 (하동)","12624","삼신치과기공소","2026-01-09 15:42:22","U","2026-01-11 02:40:00","","255929.145123703","421671.220757779","1","1","13","1","2","3","2","1","2","2","1","2","3","2","1",
"26","치과기공소","01_02_04_P","5310000","PHMB320265310029062300003","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 충무공동 83-5","경상남도 진주시 범골로60번길 10, 203호 (충무공동)","52859","미담치과기공소","2026-01-12 11:07:42","I","2026-01-14 00:20:02","","303048.875362279","186187.164272793","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"27","치과기공소","01_02_04_P","3270000","PHMB320023270022062300002","2002-07-25","","01","영업/정상","13","영업중","","","","","051-467-8758","","601-837","부산광역시 동구 초량동 1162번지 26호","부산광역시 동구 중앙대로286번길 7-9 (초량동)","","한신치과기공소","2026-01-12 14:14:24","U","2026-01-14 02:40:00","","386315.929962294","182280.199123631","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"28","치과기공소","01_02_04_P","3310000","PHMB320223310024062300002","2012-05-22","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 대연동 879-17 링구아어학원","부산광역시 남구 유엔로157번길 4, 링구아어학원 3층 (대연동)","48505","정성치과기공소","2026-01-12 09:19:32","U","2026-01-14 02:40:00","","390747.772792337","183257.04737197","2","1","5","1","3","1","1","1","5","1","2","1","1","1","1",
"29","치과기공소","01_02_04_P","3090000","PHMB320263090033062300001","2016-04-04","","01","영업/정상","13","영업중","","","","","031-571-0839","","","서울특별시 도봉구 창동 135-14","서울특별시 도봉구 노해로63다길 6, 4층 401호 (창동)","01399","그린치과기공소","2026-01-13 10:08:26","I","2026-01-15 00:20:35","","204063.565019682","461204.628081227","2","2","5","1","2","3","6","3","3","3","2","4","2","3","1",
"30","치과기공소","01_02_04_P","3170000","PHMB320263170035062300002","2026-01-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 345-19 가산 하우스디 와이즈타워 10층 1021호","서울특별시 금천구 가산디지털1로 75-15, 가산 하우스디 와이즈타워 10층 1021호 (가산동)","08592","더고운 치과기공소","2026-01-13 16:48:25","I","2026-01-15 00:20:35","","189678.284548834","441134.747749945","1","2","2","0","1","1","1","1","1","1","1","1","1","1","0",
"31","치과기공소","01_02_04_P","4641000","PHMB320154640131062300002","2015-03-04","","03","폐업","03","폐업","2026-01-13","","","","","","","","전북특별자치도 전주시 완산구 용머리로 70 (효자동1가)","55081","기혼치기공소","2026-01-13 18:28:39","U","2026-01-15 02:40:00","","210578.179406549","256251.403738093","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"32","치과기공소","01_02_04_P","3860000","PHMB320263860384062300001","2026-01-14","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 원미구 원미동 39-1 부천테크노밸리 U1 center","경기도 부천시 원미구 조마루로385번길 92, 부천테크노밸리 U1 center 1601호 (원미동)","14558","DK LAB","2026-01-14 16:40:01","I","2026-01-16 00:20:02","","181376.331910043","444312.585092819","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0",
"33","치과기공소","01_02_04_P","3270000","PHMB319913270022062300002","1991-07-24","","01","영업/정상","13","영업중","","","","","051-464-4886","","","부산광역시 동구 수정동 120번지 4호","부산광역시 동구 고관로 96-1, 3층 (수정동)","48791","월드치과기공소","2026-01-14 15:15:43","U","2026-01-16 02:40:00","","386375.021787724","182848.601429652","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"34","치과기공소","01_02_04_P","3180000","PHMB320223180034062300001","2022-06-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 신길동 3741-41","서울특별시 영등포구 대방천로 179, 3층 (신길동)","07430","린치핀치과기공소","2026-01-14 15:12:43","U","2026-01-16 02:40:00","","192052.874633026","444126.786718781","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"35","치과기공소","01_02_04_P","3520000","PHMB320263520019062300001","2026-01-14","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 송도동 205 에스파이브시티","인천광역시 연수구 첨단대로 40, 에스파이브시티 B동 4층 401호 (송도동)","21988","스마트 디지털 기공소","2026-01-15 15:22:38","I","2026-01-17 00:20:02","","168953.658815401","429847.971625832","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"36","치과기공소","01_02_04_P","4641000","PHMB320264641050062300001","2026-01-13","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 중화산동2가 615-6","전북특별자치도 전주시 완산구 중산6길 14, 4층 401호 (중화산동2가)","54976","DWK치기공소","2026-01-15 13:54:36","I","2026-01-17 00:20:02","","210934.192469315","257419.907332291","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"37","치과기공소","01_02_04_P","3620000","PHMB320243620020062300003","2013-03-21","","01","영업/정상","13","영업중","","","","","062-573-2804","","","광주광역시 북구 양산동 947-1","광주광역시 북구 연양로 61, 201호 (양산동)","61071","티스본(Teeth Born)","2026-01-15 15:29:09","U","2026-01-17 02:40:00","","188465.140813667","189729.298193411","1","1","5","1","1","2","2","2","2","1","1","1","2","1","1",
"38","치과기공소","01_02_04_P","3320000","PHMB320163320045062300001","2016-04-04","","01","영업/정상","13","영업중","","","","","051-336-2804","","","부산광역시 북구 덕천동 388번지 1호","부산광역시 북구 만덕대로90번길 13, 207호 (덕천동, 대방아파트 상가2동)","46568","마인드업치과기공소","2026-01-15 14:41:36","U","2026-01-17 02:40:00","","383443.264423517","192181.296404737","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"39","치과기공소","01_02_04_P","3170000","PHMB320253170035062300013","2019-02-08","","03","폐업","03","폐업","2026-01-15","","","","02-2664-2849","","","서울특별시 금천구 가산동 327-5 G밸리 더리브 스마트타워 8층 807호","서울특별시 금천구 가산디지털2로 34, G밸리 더리브 스마트타워 8층 807호 (가산동)","08592","투스테크 치과기공소","2026-01-15 17:47:32","U","2026-01-17 02:40:00","","189622.332386295","441057.177316052","1","2","1","0","1","1","1","1","1","1","1","1","1","1","1",
"40","치과기공소","01_02_04_P","5020000","PHMB320255020055062300001","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 남구 해도동 81-20 농협","경상북도 포항시 남구 중앙로 59, 농협 2층 (해도동)","37815","주식회사 디지털갤러리","2026-01-15 10:45:14","U","2026-01-17 02:40:00","","413537.077531398","282356.582287438","1","2","4","1","2","2","2","1","1","2","1","2","1","2","1",
