"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","제조구분명","사업장부지용도구분명",
"14","고압가스업","09_28_05_P","5400000","2000540000902130001","2006-07-07","","01","영업/정상","01","영업중","","","","","","","","경상남도 함안군 군북면 장지리 165-2 비에이치아이(주)","경상남도 함안군 군북면 장백로 122, 비에이치아이(주)","52063","비에이치아이(주)","2025-12-31 08:55:23","U","2026-01-03 02:40:00","저장소","","","일반","주거용",
"15","고압가스업","09_28_05_P","3010000","1999301007102200177","1999-06-22","","02","휴업","02","휴업","","2025-11-20","2026-05-20","2026-05-20","","","","서울특별시 중구 남산동3가 11-10 한국전력공사 경인건설본부","서울특별시 중구 퇴계로 140, 한국전력공사 경인건설본부 (남산동3가)","04629","한국전력공사 경인건설본부","2025-12-31 15:12:24","U","2026-01-03 02:40:00","제조","198837.318605849","450935.017499023","냉동","상업.업무용",
"16","고압가스업","09_28_05_P","4080000","2019408020802100008","2019-12-06","","01","영업/정상","01","영업중","","","","2020-10-06","","","","경기도 안성시 미양면 계륵리 271-2 케이씨텍제4공장","경기도 안성시 미양면 제2공단3길 12, 케이씨텍제4공장","17599","(주)케이씨텍(4공장)","2025-12-31 16:09:27","U","2026-01-03 02:40:00","제조","223076.881680856","386328.309664975","일반","",
"17","고압가스업","09_28_05_P","4490000","2022565003202100001","2022-02-22","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 동남구 성남면 대화리 368","충청남도 천안시 동남구 성남면 5산단3로 30","31245","(주)덕산테코피아 천안사업장","2025-12-31 17:11:53","U","2026-01-03 02:40:00","저장소","222423.566376427","359854.49257946","","",
"18","고압가스업","09_28_05_P","4160000","2022416015602100001","2022-01-28","","01","영업/정상","01","영업중","","","","","","3730","","경기도 가평군 조종면 현리 465 464-1, 464-2, 465-8, 산 72-7","","","대성의료종합가스(주) 현리공장","2025-12-31 09:24:27","U","2026-01-03 02:40:00","판매","230141.279139368","478628.26676933","","",
"19","고압가스업","09_28_05_P","4641000","2024464103402100002","2024-06-25","","01","영업/정상","01","영업중","","","","2026-01-01","","3486","","전북특별자치도 전주시 덕진구 전미동2가 77-1","","","에스케이플러그하이버스 전주전미액화수소자동차충전소","2025-12-31 17:05:29","U","2026-01-03 02:40:00","제조","209469.820853568","265453.840611121","충전","",
"20","고압가스업","09_28_05_P","5080000","2024508035402100001","2024-07-28","","01","영업/정상","01","영업중","","","","2025-12-31","","","","경상북도 구미시 공단동 295-14","경상북도 구미시 산호대로 142-32 (공단동)","39377","구미공단 액화수소 자동차 충전소","2025-12-31 09:17:38","U","2026-01-03 02:40:00","제조","325015.97639166","289282.351502261","충전","공업용",
"21","고압가스업","09_28_05_P","5710000","2024573002302100008","2024-08-06","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 흥덕구 외북동 364 SK하이닉스청주사업장M15공장","충청북도 청주시 흥덕구 에스케이로 120, SK하이닉스청주사업장M15공장 (외북동)","28356","에스케이하이닉스(주)-4공장 M15 Ph3 2F PGS","2025-12-31 13:00:55","U","2026-01-03 02:40:00","저장소","238512.871931808","350558.335657718","","",
"22","고압가스업","09_28_05_P","5350000","2013535019602100008","2013-07-26","","01","영업/정상","01","영업중","","","","","","","","경상남도 김해시 부원동 1041 부원역세권지구 A-1블럭","경상남도 김해시 김해대로 2330 (부원동)","","롯데쇼핑(주)롯데마트김해점","2025-12-31 09:14:52","U","2026-01-03 02:40:00","제조","371275.452046503","193430.416033372","냉동","",
"23","고압가스업","09_28_05_P","3540000","2000354004702100066","2000-01-29","","01","영업/정상","01","영업중","","","","","","","","인천광역시 부평구 부평동 738","인천광역시 부평구 광장로 16 (부평동)","","롯데쇼핑(주)롯데마트 부평역점","2025-12-31 11:37:28","U","2026-01-03 02:40:00","제조","175405.11373693","443089.591009306","냉동","업무용",
"24","고압가스업","09_28_05_P","3540000","2006354006102100004","2006-11-17","","01","영업/정상","01","영업중","","","","","","","","인천광역시 부평구 산곡동 159-52","인천광역시 부평구 마장로 296 (산곡동)","","롯데쇼핑(주)롯데마트 부평점","2025-12-31 11:36:34","U","2026-01-03 02:40:00","제조","173767.426219215","444794.439991356","냉동","상업.업무용",
"25","고압가스업","09_28_05_P","3780000","2001378007602200001","2001-07-02","","01","영업/정상","01","영업중","","","","","","","","경기도 성남시 분당구 서현동 274-5","경기도 성남시 분당구 황새울로319번길 13 (서현동)","","(주)정소프트","2025-12-31 10:12:41","U","2026-01-03 02:40:00","제조","210550.916560739","431521.714878741","냉동","상업.업무용",
"26","고압가스업","09_28_05_P","3780000","2003378007602200004","2003-06-11","","01","영업/정상","01","영업중","","","","","","","","경기도 성남시 수정구 신흥동 4196","경기도 성남시 수정구 산성대로 253 (신흥동)","","국민은행성남중앙로지점","2025-12-31 10:10:33","U","2026-01-03 02:40:00","제조","212779.518663963","437600.509647367","냉동","상업용",
"27","고압가스업","09_28_05_P","3780000","2001378007602200003","2001-09-10","","01","영업/정상","01","영업중","","","","","","","","경기도 성남시 중원구 갈현동 112","경기도 성남시 중원구 순암로 787 (갈현동)","","성남시장례문화사업소","2025-12-31 10:12:26","U","2026-01-03 02:40:00","제조","216127.668550294","435191.208931285","냉동","지정되지않음",
"28","고압가스업","09_28_05_P","3780000","2002378007602200002","2002-01-30","","01","영업/정상","01","영업중","","","","","","","","경기도 성남시 분당구 서현동 263 AK플라자","경기도 성남시 분당구 황새울로360번길 42, AK플라자 (서현동)","13591","(주)국민은행(캡스톤사모부동산투자신탁50(전문)호의 신탁업자)","2025-12-31 10:10:17","U","2026-01-03 02:40:00","제조","210853.833466798","431447.85813153","냉동","지정되지않음",
"29","고압가스업","09_28_05_P","3780000","2002378007602200008","2002-08-27","","01","영업/정상","01","영업중","","","","","","","","경기도 성남시 중원구 상대원동 149-3","경기도 성남시 중원구 사기막골로31번길 18 (상대원동)","","(주)파리크라상(1공장)","2025-12-31 10:11:51","U","2026-01-03 02:40:00","제조","214850.621456842","437078.794293803","냉동","지정되지않음",
"30","고압가스업","09_28_05_P","3780000","1999378007602100001","1999-03-12","","01","영업/정상","01","영업중","","","","","","","","경기도 성남시 중원구 상대원동 223-42","","","현대산업엔지니어링","2025-12-31 10:13:00","U","2026-01-03 02:40:00","제조","","","냉동","주거용",
"31","고압가스업","09_28_05_P","3470000","2003347007502100003","2003-12-29","","01","영업/정상","01","영업중","","","","","","","","대구광역시 달서구 상인동 1502 롯데백화점상인점","대구광역시 달서구 월배로 232, 롯데백화점상인점 (상인동)","42809","롯데쇼핑(주) 상인점","2025-12-31 16:31:00","U","2026-01-03 02:40:00","제조","339047.793378934","258741.902180368","냉동","상업.업무용",
"32","고압가스업","09_28_05_P","4490000","2022566002902100001","2022-01-14","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 서북구 백석동 739","충청남도 천안시 서북구 3공단2로 27 (백석동)","31093","한국유미코아배터리머티리얼즈 유한책임회사","2025-12-31 14:23:40","U","2026-01-03 02:40:00","저장소","209930.689013858","370272.975679917","","",
"33","고압가스업","09_28_05_P","5020000","2000502007102200001","2010-11-04","","01","영업/정상","01","영업중","","","","","","","","경상북도 포항시 북구 학산동 127-9 롯데백화점","경상북도 포항시 북구 학산로 62, 롯데백화점 (학산동)","37718","롯데쇼핑(주)포항점","2025-12-31 16:34:58","U","2026-01-03 02:40:00","제조","413457.339843014","285842.648592678","냉동","상업.업무용",
"34","고압가스업","09_28_05_P","4490000","2018565003202100006","2018-08-01","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 동남구 성남면 대화리 368","","","(주)덕산테코피아","2025-12-31 17:04:47","U","2026-01-03 02:40:00","제조","222423.566376427","359854.49257946","냉동","",
"35","고압가스업","09_28_05_P","4490000","2020565003202100001","2020-04-03","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 동남구 성남면 대화리 368","충청남도 천안시 동남구 성남면 5산단3로 30, 반도체사업부","31245","(주)덕산테코피아 천안사업장","2025-12-31 17:11:17","U","2026-01-03 02:40:00","저장소","222423.566376427","359854.49257946","","",
"36","고압가스업","09_28_05_P","5080000","2021508028902100004","2021-12-01","","01","영업/정상","01","영업중","","","","","","","","경상북도 구미시 공단동 189 LS전선 구미공장","경상북도 구미시 수출대로 228, LS전선 구미공장 (공단동)","39369","엘에스전선(주)구미공장","2025-12-31 14:42:42","U","2026-01-03 02:40:00","제조","325175.372818699","290728.185663039","일반","",
"37","고압가스업","09_28_05_P","4490000","2025565003202100005","2025-12-17","","01","영업/정상","01","영업중","","2025-12-17","2025-12-30","","","","","충청남도 천안시 동남구 신부동 124 도솔광장","충청남도 천안시 동남구 천안대로 844, 도솔광장 (신부동)","31115","(주)더함","2025-12-31 13:35:05","U","2026-01-03 02:40:00","제조","214364.929704322","369193.171652813","냉동","",
"38","고압가스업","09_28_05_P","4490000","2025566002902100004","2025-12-26","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 서북구 백석동 251 천안종합운동장 야외 아이스 스케이트장","","","(주)더함","2025-12-31 13:50:51","U","2026-01-03 02:40:00","제조","210178.819591002","368635.028176592","냉동","",
"39","고압가스업","09_28_05_P","3660000","2025366021602100001","2025-12-18","","01","영업/정상","01","영업중","","","","","","","","대전광역시 서구 만년동 396 한밭수목원","","","주식회사 더함","2025-12-31 15:31:51","U","2026-01-03 02:40:00","제조","234730.196302702","318634.275337881","냉동","",
"40","고압가스업","09_28_05_P","5310000","2025531033802100003","2025-12-15","","01","영업/정상","01","영업중","","","","","","","","경상남도 진주시 초전동 1583-14 진주국민체육센터","경상남도 진주시 남강로 1655, 진주국민체육센터 (초전동)","52733","주식회사 더함","2025-12-31 17:06:34","U","2026-01-03 02:40:00","제조","302418.88422588","190404.354921593","냉동","",
"41","고압가스업","09_28_05_P","3290000","2018329012802100001","2018-06-29","","01","영업/정상","01","영업중","","","","","","","","부산광역시 부산진구 부전동 503-15 롯데백화점부산본점","부산광역시 부산진구 가야대로 772, 롯데백화점부산본점 (부전동)","47285","롯데쇼핑(주)부산점","2025-12-31 13:37:10","U","2026-01-03 02:40:00","제조","387271.299492377","186099.137533193","냉동","",
"42","고압가스업","09_28_05_P","3290000","2011329008502100002","2011-07-19","","01","영업/정상","01","영업중","","","","","","","","부산광역시 부산진구 부전동 503-15 롯데백화점","부산광역시 부산진구 가야대로 772 (부전동, 롯데백화점부산점)","","롯데쇼핑(주) 부산본점","2025-12-31 15:51:09","U","2026-01-03 02:40:00","제조","387271.299492377","186099.137533193","냉동","",
"43","고압가스업","09_28_05_P","3290000","2016329012802100002","2016-12-07","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 부산진구 가야대로 772 (가야동)","","롯데쇼핑(주) 부산본점(2)","2025-12-31 13:43:10","U","2026-01-03 02:40:00","제조","387271.299492377","186099.137533193","냉동","",
"44","고압가스업","09_28_05_P","3340000","1994334001702100003","1994-09-30","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","","","","부산광역시 사하구 장림동 911","","","선경특수가스상사","2025-12-31 16:28:01","U","2026-01-03 02:40:00","판매","378909.579408291","176541.723652275","일반","기타",
"45","고압가스업","09_28_05_P","3340000","2007334006602200016","2009-01-13","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 1033-2","부산광역시 사하구 을숙도대로 610 (장림동)","","롯데쇼핑(주)롯데마트사하점","2025-12-31 16:08:42","U","2026-01-03 02:40:00","제조","379719.031458622","177973.843364907","냉동","업무용",
"46","고압가스업","09_28_05_P","4080000","2022408023802100028","2022-12-29","","02","휴업","02","휴업","","2024-11-04","2025-10-31","","","","","경기도 안성시 원곡면 외가천리 17-11","","","이도프라퍼티스 주식회사","2025-12-31 16:25:55","U","2026-01-03 02:40:00","제조","212810.750521031","392534.653513921","냉동","",
"47","고압가스업","09_28_05_P","4691000","2009469019302100002","2009-11-02","","01","영업/정상","01","영업중","","","","","","","","전북특별자치도 정읍시 농소동 446-1","전북특별자치도 정읍시 벚꽃로 85 (농소동)","","롯데쇼핑(주) 롯데마트 정읍점","2025-12-31 14:38:45","U","2026-01-03 02:40:00","제조","185466.212511596","231110.263474669","냉동","",
"48","고압가스업","09_28_05_P","5400000","2008540000902100009","2010-04-23","","01","영업/정상","01","영업중","","","","","","","","경상남도 함안군 군북면 모로리 705-1","경상남도 함안군 군북면 여명로 309","","비에이치아이(주) 모로지점","2025-12-31 08:56:05","U","2026-01-03 02:40:00","저장소","319965.547947391","198010.395819241","","공업용",
"49","고압가스업","09_28_05_P","5710000","1995441006702100002","1994-07-16","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 성재리 421-3","충청북도 청주시 청원구 오창읍 성재2길 21","","㈜팜스토리 한냉","2025-12-31 13:20:32","U","2026-01-03 02:40:00","제조","230646.791543607","357806.629135357","냉동","",
"50","고압가스업","09_28_05_P","3940000","2022394041802100001","2022-09-30","","01","영업/정상","01","영업중","","","","","","","","경기도 고양시 일산서구 주엽동 15 롯데마트","경기도 고양시 일산서구 중앙로 1496, 롯데마트(지3층 기계실) (주엽동)","10379","롯데쇼핑(주)롯데마트주엽점","2025-12-31 14:25:38","U","2026-01-03 02:40:00","제조","178348.883331191","463464.183725362","냉동","",
"51","고압가스업","09_28_05_P","3380000","2001338001502200008","2001-06-30","","03","폐업","03","폐업","2025-12-26","","","","","","","부산광역시 수영구 광안동 205 도시철도 광안역","부산광역시 수영구 수영로 지하 576, 도시철도 광안역 (광안동)","48298","부산교통공사(광안역)","2025-12-31 18:03:52","U","2026-01-03 02:40:00","제조","392732.128348688","186381.350041617","냉동","도로등",
"52","고압가스업","09_28_05_P","3400000","2014340004402100002","2014-09-22","","01","영업/정상","01","영업중","","","","2015-06-03","","","","부산광역시 기장군 기장읍 당사리 64 외106필지","부산광역시 기장군 기장읍 기장해안로 147","","롯데쇼핑(주) 롯데몰 동부산점","2025-12-31 17:34:49","U","2026-01-03 02:40:00","제조","401473.950698586","190354.255834345","냉동","",
"53","고압가스업","09_28_05_P","3700000","2001370000902100003","2010-08-25","","01","영업/정상","01","영업중","","","","","","","","울산광역시 남구 삼산동 1480-1 롯데백화점, 울산고속버스터미널","울산광역시 남구 삼산로 288 (삼산동)","44719","롯데쇼핑(주)울산점","2025-12-31 14:01:11","U","2026-01-03 02:40:00","제조","412001.966655452","229039.563308072","냉동","상업용",
"54","고압가스업","09_28_05_P","5000000","2018500009702200001","2018-10-31","","01","영업/정상","01","영업중","","","","2019-01-07","","","","전라남도 진도군 진도읍 포산리 390","전라남도 진도군 진도읍 진도대로 6935","58932","진도소방서","2025-12-31 16:20:13","U","2026-01-03 02:40:00","제조","130706.309690868","108519.813071939","충전","",
"55","고압가스업","09_28_05_P","4490000","2018565003202100008","2018-10-10","","01","영업/정상","01","영업중","","","","","","","","충청남도 천안시 동남구 성남면 대화리 368","충청남도 천안시 동남구 성남면 5산단3로 30","31245","주식회사 덕산테코피아 천안사업장","2025-12-31 17:09:46","U","2026-01-03 02:40:00","저장소","222423.566376427","359854.49257946","","",
"56","고압가스업","09_28_05_P","3300000","2008330006402100001","2008-04-11","","01","영업/정상","01","영업중","","","","","","","","부산광역시 동래구 온천동 502-3","부산광역시 동래구 중앙대로 1393 (온천동)","","롯데쇼핑(주)동래점","2025-12-31 13:53:24","U","2026-01-03 02:40:00","제조","389097.800933845","192260.811648263","냉동","",
"57","고압가스업","09_28_05_P","3910000","2012391025102100008","2012-09-24","","01","영업/정상","01","영업중","","","","","","","","경기도 평택시 안중읍 덕우리 82-18 다동 사무동 1층","경기도 평택시 안중읍 안중북로 152-11 (다동 사무동 1층)","","(주)동희정공 평택공장","2025-12-31 13:01:40","U","2026-01-03 02:40:00","저장소","192934.324822787","389136.211419519","","",
"58","고압가스업","09_28_05_P","3130000","2010313011802100003","2010-08-27","","01","영업/정상","01","영업중","","","","","","","","서울특별시 마포구 상암동 1641","서울특별시 마포구 월드컵북로47길 37 (상암동)","","상암카이저팰리스 입주자 협의회","2025-12-31 11:24:58","U","2026-01-03 02:40:00","제조","190283.807496955","452378.024462485","냉동","주거기타",
"59","고압가스업","09_28_05_P","3860000","2018386043202100002","2018-06-14","","01","영업/정상","01","영업중","","","","","","","","경기도 부천시 원미구 중동 1140 LOTTE백화점","경기도 부천시 원미구 길주로 300, LOTTE백화점 (중동)","14548","롯데쇼핑(주)중동점","2025-12-31 09:58:40","U","2026-01-03 02:40:00","제조","180053.344972882","444507.865626959","냉동","",
"60","고압가스업","09_28_05_P","4050000","2025405057802100033","2025-12-22","","01","영업/정상","01","영업중","","","","","","","","경기도 용인시 처인구 원삼면 죽능리 587-2","","","도쿄일렉트론코리아 주식회사","2026-01-02 13:06:10","I","2026-01-04 00:20:12","저장소","226564.346672131","405546.283874193","","",
"61","고압가스업","09_28_05_P","3400000","2025340013202200001","2025-12-31","","01","영업/정상","01","영업중","","","","","","","","부산광역시 기장군 기장읍 대변리 274-6 지이스트냉동","부산광역시 기장군 기장읍 기장해안로 640, 지이스트냉동","46079","(주)지이스트 냉동","2026-01-02 09:25:31","I","2026-01-04 00:20:12","제조","403102.294892911","193654.066366362","냉동","",
"62","고압가스업","09_28_05_P","3460000","1990346005502100018","1990-09-04","","03","폐업","03","폐업","2024-12-05","","","","","","","대구광역시 수성구 상동 165","","","대구한의대학교부속대구한방병원","2026-01-02 11:35:22","U","2026-01-04 02:40:00","제조","345209.026923955","260921.194853755","냉동","지정되지않음",
"63","고압가스업","09_28_05_P","4191000","1998419007902100003","1998-07-23","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 원주시 문막읍 반계리 99-1","강원특별자치도 원주시 문막읍 원문로 2142","","부론삼성린나이가스","2026-01-02 10:58:51","U","2026-01-04 02:40:00","판매","270570.268838913","422199.21994841","일반","특수토지",
"64","고압가스업","09_28_05_P","3600000","2006360006802100002","2006-11-15","","01","영업/정상","01","영업중","","","","","","","","광주광역시 서구 풍암동 423-2","광주광역시 서구 금화로 240 (풍암동)","","롯데쇼핑(주)롯데마트광주점","2026-01-02 15:24:52","U","2026-01-04 02:40:00","제조","188791.275961965","181590.099672513","냉동","기타",
"65","고압가스업","09_28_05_P","4311000","2013431005202100001","2013-12-16","","01","영업/정상","01","영업중","","","","","","900","","강원특별자치도 화천군 화천읍 하리 100-2","","","화천군청","2026-01-02 14:13:24","U","2026-01-04 02:40:00","제조","","","냉동","공업기타",
"66","고압가스업","09_28_05_P","4311000","2019431005202200001","2019-08-26","","01","영업/정상","01","영업중","","","","","","","","강원특별자치도 화천군 하남면 위라리 380","강원특별자치도 화천군 하남면 위라리길 47","24140","화천소방서(화천119안전센터)","2026-01-02 13:57:45","U","2026-01-04 02:40:00","제조","262513.162758639","510807.741140151","충전","",
"67","고압가스업","09_28_05_P","3600000","2016360012302100001","2016-05-12","","01","영업/정상","01","영업중","","","","","","","","","광주광역시 서구 금화로 240 (금호동)","","롯데쇼핑(주)롯데마트 광주점","2026-01-02 15:24:26","U","2026-01-04 02:40:00","제조","188791.275961965","181590.099672513","냉동","",
"68","고압가스업","09_28_05_P","5080000","2011508013302200003","2011-03-21","","01","영업/정상","01","영업중","","","","","","","","경상북도 구미시 임수동 94-1 삼성전자 2공장","경상북도 구미시 3공단3로 302, 삼성전자 2공장 (임수동)","39388","삼성전자(주)구미2사업장","2026-01-02 15:35:47","U","2026-01-04 02:40:00","제조","327246.920067768","290666.358443785","냉동","공업용",
"69","고압가스업","09_28_05_P","3480000","2000348000502200061","2009-01-30","","01","영업/정상","01","영업중","","","","","","","","대구광역시 달성군 논공읍 북리 29-12","대구광역시 달성군 논공읍 논공로 465","","(주)비락 대구공장","2026-01-02 17:02:10","U","2026-01-04 02:40:00","제조","332651.312578375","249603.913214796","냉동","주상나지",
"70","고압가스업","09_28_05_P","5670000","2015567046202200001","2015-02-11","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 의창구 퇴촌동 69 창원대학교","경상남도 창원시 의창구 창원대학로 20, 창원대학교 생활관 7동 (퇴촌동)","51140","주식회사 두잉이앤엠 (창원대학교 생활관 7동)","2026-01-02 15:11:39","U","2026-01-04 02:40:00","제조","353936.09789638","195478.969693508","냉동","",
"71","고압가스업","09_28_05_P","4050000","2022405046102200007","2022-07-20","","01","영업/정상","01","영업중","","","","","","","","경기도 용인시 처인구 이동읍 덕성리 1261-1","경기도 용인시 처인구 이동읍 덕성산단2로76번길 9","17130","(주)세이프원","2026-01-02 14:40:34","U","2026-01-04 02:40:00","제조","218853.805548628","408168.741153048","냉동","",
"72","고압가스업","09_28_05_P","4080000","2006408014102100010","2006-09-13","","01","영업/정상","01","영업중","","","","","","","","경기도 안성시 공도읍 양기리 306","경기도 안성시 공도읍 서동대로 4478","","롯데쇼핑(주)롯데마트 안성점","2026-01-02 17:57:27","U","2026-01-04 02:40:00","제조","217695.637116434","389592.895375219","냉동","상업용",
"73","고압가스업","09_28_05_P","5670000","2021567056802100006","2021-03-29","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","","","","경상남도 창원시 성산구 성주동 175","경상남도 창원시 성산구 불모산로 43 (성주동)","51541","재단법인 창원산업진흥원 성주수소충전소(버스충전)","2026-01-02 10:00:58","U","2026-01-04 02:40:00","제조","356804.88978761","189336.086060363","충전","",
"74","고압가스업","09_28_05_P","3700000","2025370023202100010","2025-12-17","","01","영업/정상","01","영업중","","","","","","","","울산광역시 남구 옥동 산 5 울산문수축구경기장","","","(주)더함","2026-01-02 15:24:15","U","2026-01-04 02:40:00","제조","404870.775403217","228549.300255368","","",
"75","고압가스업","09_28_05_P","3700000","2022370016002110010","2022-11-14","","01","영업/정상","01","영업중","","","","","","","","울산광역시 남구 황성동 27-1 현대중공업(주)","울산광역시 남구 처용로 800 (황성동,현대중공업(주))","","에이치디현대중공업(주)","2026-01-02 10:38:34","U","2026-01-04 02:40:00","제조","414862.284475018","221163.348697205","냉동","",
"76","고압가스업","09_28_05_P","4530000","2020453039102100005","2020-09-07","","01","영업/정상","01","영업중","","","","","","","","충청남도 서산시 대산읍 대죽리 1212","","","에이치디현대오일뱅크(주) 제3공장","2026-01-02 09:43:23","U","2026-01-04 02:40:00","제조","146804.036441644","390479.740568059","특정","",
"77","고압가스업","09_28_05_P","4030000","2021403021802100001","2021-03-16","","01","영업/정상","01","영업중","","","","2022-03-16","","","","경기도 의왕시 학의동 1039 롯데프리미엄아울렛의왕점","경기도 의왕시 바라산로 1, 롯데프리미엄아울렛의왕점 (학의동)","16016","롯데쇼핑(주) 프리미엄아울렛 의왕점","2026-01-02 16:16:10","U","2026-01-04 02:40:00","제조","200775.6096513","430435.021970577","냉동","",
