"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"11","담배소매업","11_43_02_P","3670000","2025367021505600074","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","대전광역시 유성구 둔곡동 426-2","대전광역시 유성구 국제과학로 285, B101호 (둔곡동)","34002","씨스페이스 둔곡사이언스점","2025-12-31 15:12:18","I","2026-01-03 00:20:02","","232158.153333143","328113.082202898","20251231","제7조의3제2항에따른경우",
"12","담배소매업","11_43_02_P","3860000","2025388100605600029","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 부천시 소사구 송내동 379 삼정프라자 나동 5,6호","경기도 부천시 소사구 경인로117번길 10, 삼정프라자 나동 1층 5,6호 (송내동)","14723","이마트24R송내푸르지오점","2025-12-31 11:07:25","I","2026-01-03 00:20:02","","179493.992617319","442505.012596874","20251231","제7조의3제2항에따른경우",
"13","담배소매업","11_43_02_P","5710000","2025572502705600041","2025-12-31","","01","영업/정상","0","정상영업","","","","","043-238-5700","","","충청북도 청주시 서원구 성화동 616 성화센트럴파크아파트","충청북도 청주시 서원구 신성화로 12, 성화센트럴파크아파트 상가동 102호 (성화동)","28639","성화센트럴파크공인중개사사무소","2025-12-31 13:15:31","I","2026-01-03 00:20:02","","241102.488700218","346205.055323455","20251231","제7조의3제2항에따른경우",
"14","담배소매업","11_43_02_P","3910000","2025391003505600085","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 평택시 고덕동 2714-1 평택고덕 15단지 S001동 1,2호","경기도 평택시 고덕국제5로 138, S001동 1,2호 (고덕동, 평택고덕 15단지)","18022","씨유 고덕15단지점","2025-12-31 17:49:32","I","2026-01-03 00:20:02","","","","20251231","제7조의3제2항에따른경우",
"15","담배소매업","11_43_02_P","4060000","2025406055205600020","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 파주시 야당동 982 한빛마을2단지휴먼빌레이크팰리스상가","경기도 파주시 미래로408번길 117, 한빛마을2단지휴먼빌레이크팰리스상가 상가동 1층 101호 (야당동)","10907","세븐일레븐 파주운정휴먼빌점","2025-12-31 11:14:46","I","2026-01-03 00:20:02","","178094.03080344","468146.521334551","20251231","제7조의3제2항에따른경우",
"16","담배소매업","11_43_02_P","4060000","2025406055205600021","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 파주시 동패동 2282 물향기마을 7단지","경기도 파주시 물향기2로 140, 에스001동 102, 103호 (동패동, 물향기마을 7단지)","10890","주식회사 운정다온","2025-12-31 11:15:01","I","2026-01-03 00:20:02","","","","20251231","제7조의3제2항에따른경우",
"17","담배소매업","11_43_02_P","4060000","2025406055205600022","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 파주시 금촌동 776-11 보곡빌딩","경기도 파주시 금정4길 33, 1층 (금촌동)","10923","이마트24 파주교육청점","2025-12-31 11:15:17","I","2026-01-03 00:20:02","","180364.755788282","472767.790334242","20251231","제7조의3제2항에따른경우",
"18","담배소매업","11_43_02_P","4060000","2025406055205600023","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 파주시 파주읍 향양리 336-14 에코환경(주)","경기도 파주시 파주읍 우계로 275, A동 2호","10833","쏘올플레이스","2025-12-31 17:37:42","I","2026-01-03 00:20:02","","183234.120773991","483036.483648055","20251231","제7조의3제2항에따른경우",
"19","담배소매업","11_43_02_P","5540000","2025554035805600081","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 광주시 삼동 255-1","경기도 광주시 고불로 464, 1층 (삼동)","12767","지에스(GS)25 광주삼동점","2025-12-31 10:21:45","I","2026-01-03 00:20:02","","217594.193529802","434271.635145589","20251231","제7조의3제2항에따른경우",
"20","담배소매업","11_43_02_P","4610000","2025461013405600024","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","충청남도 예산군 고덕면 대천리 770-7","충청남도 예산군 고덕면 고덕중앙로 72","32403","세븐일레븐 예산고덕중앙점","2025-12-31 17:00:20","I","2026-01-03 00:20:02","","173505.489175964","360547.03639426","20251231","제7조의3제2항에따른경우",
"21","담배소매업","11_43_02_P","4010000","2025401031705600084","2025-12-29","","01","영업/정상","0","정상영업","","","","","","","","경기도 시흥시 정왕동 2022-6","경기도 시흥시 오이도1길 26-1, 1층 (정왕동)","15015","씨유 오이도빌리지점","2025-12-31 17:00:23","I","2026-01-03 00:20:02","","172478.967131453","426718.890309621","20251229","제7조의3제2항에따른경우",
"22","담배소매업","11_43_02_P","5080000","2025508034905600121","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경상북도 구미시 인의동 485","경상북도 구미시 여헌로 55 (인의동)","39433","주식회사 지마트유통센터","2025-12-31 11:39:07","I","2026-01-03 00:20:02","","328235.652582582","290478.863653471","20251231","제7조의3제2항에따른경우",
"23","담배소매업","11_43_02_P","5080000","2025508034905600123","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경상북도 구미시 산동읍 인덕리 104 LS전선","경상북도 구미시 산동읍 강동로 764, LS전선","39160","(주)엘아이지홈앤밀전선구미기숙사점","2025-12-31 13:19:27","I","2026-01-03 00:20:02","","331588.818194196","296853.172847353","20251231","제7조의3제2항에따른경우",
"24","담배소매업","11_43_02_P","4620000","2025462014205600033","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","충청남도 태안군 고남면 누동리 1505-8","충청남도 태안군 고남면 젓개길 274-9","32171","선창낚시","2025-12-31 16:14:21","I","2026-01-03 00:20:02","","148924.854738226","326250.816276698","20251231","제7조의3제2항에따른경우",
"25","담배소매업","11_43_02_P","3210000","2025321019505600048","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 서초구 잠원동 57-20","서울특별시 서초구 잠원로8길 25, 149호 (잠원동)","06518","잠원슈퍼","2025-12-31 16:41:39","I","2026-01-03 00:20:02","","200958.810528572","445792.191399183","20251231","제7조의3제2항에따른경우",
"26","담배소매업","11_43_02_P","3210000","2025321019505600049","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 서초구 서초동 1675-10","서울특별시 서초구 서초대로58길 18, 102호 (서초동)","06633","로또킹","2025-12-31 16:42:17","I","2026-01-03 00:20:02","","201499.216034893","443532.244720319","20251231","제7조의3제2항에따른경우",
"27","담배소매업","11_43_02_P","3360000","2025336018705600038","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 강서구 신호동 221-3","부산광역시 강서구 신호사로 68, 1층 (신호동)","46759","지에스(GS)25 신호기적점","2025-12-31 10:47:01","I","2026-01-03 00:20:02","","371414.318097327","177885.110069331","20251231","제7조의3제2항에따른경우",
"28","담배소매업","11_43_02_P","5130000","2025513018005600058","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경상북도 경산시 옥산동 726-1","경상북도 경산시 성암로21길 37-14, 1층 110호 (옥산동)","38660","더달달슈퍼","2025-12-31 11:49:23","I","2026-01-03 00:20:02","","355884.567172124","260114.945987661","20251231","제7조의3제2항에따른경우",
"29","담배소매업","11_43_02_P","3050000","2025305021005600031","2025-12-30","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 동대문구 이문동 149-8","서울특별시 동대문구 이문로 150, F동 112호, 113호 (이문동)","02414","지에스(GS)25 이문파크자이점","2025-12-31 17:46:42","I","2026-01-03 00:20:02","","205541.211931615","455132.605075423","20251230","제7조의3제2항에따른경우",
"30","담배소매업","11_43_02_P","4050000","2025562002705600078","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","경기도 용인시 처인구 포곡읍 영문리 368","경기도 용인시 처인구 포곡읍 석성로985번길 3","17025","지에스25 포곡영문점","2025-12-31 15:28:59","I","2026-01-03 00:20:02","","218175.210872017","419391.72122844","20251231","제7조의3제2항에따른경우",
"31","담배소매업","11_43_02_P","3220000","2025322024905600071","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 강남구 논현동 62-3 청학아파트 시동 제에이호","서울특별시 강남구 도산대로 232, 시동 1층 제에이호 (논현동, 청학아파트)","06048","씨유논현럭키점","2025-12-31 13:57:00","I","2026-01-03 00:20:02","","202778.208361846","446451.090109483","20251231","제7조의3제2항에따른경우",
"32","담배소매업","11_43_02_P","3030000","2025303009105600028","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 성동구 성수동2가 301-4","서울특별시 성동구 연무장3길 21, 1층 (성수동2가)","04782","(주)비지에프리테일 성수동특화점","2025-12-31 16:29:26","I","2026-01-03 00:20:02","","204515.612206524","449256.33002989","20251231","제7조의3제2항에따른경우",
"33","담배소매업","11_43_02_P","4641000","2025465100605600069","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","전북특별자치도 전주시 완산구 평화동2가 336-6 현대아파트","전북특별자치도 전주시 완산구 소대배기로 21, 현대아파트 상가동 202호 (평화동2가)","55123","네이처리프 평화점","2025-12-31 12:29:21","I","2026-01-03 00:20:02","","212015.492878199","254178.917200169","20251231","제7조의3제2항에따른경우",
"34","담배소매업","11_43_02_P","3700000","2025370023305600046","2025-12-31","","01","영업/정상","0","정상영업","","","","","","","","울산광역시 남구 삼산동 1592-5","울산광역시 남구 갈밭로46번길 4, 1층 (삼산동)","44717","지에스25 삼산정동로점","2025-12-31 15:30:23","I","2026-01-03 00:20:02","","412633.153064331","228744.369297849","20251231","제7조의3제2항에따른경우",
"35","담배소매업","11_43_02_P","4231000","2025423109505600023","2025-12-29","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 속초시 금호동 473-235 센텀마크빌딩","강원특별자치도 속초시 중앙로121번길 28, 센텀마크빌딩 1층 115호 (금호동)","24833","위베이프(WE VAPE)","2025-12-31 09:00:25","I","2026-01-03 00:20:02","","339101.583488613","523440.599544996","20251229","제7조의3제2항에따른경우",
"36","담배소매업","11_43_02_P","4490000","2016566002705600018","2016-02-24","","03","폐업","2","폐업처리","2025-12-31","","","","","","","","충청남도 천안시 서북구 성환읍 성환11길 40","31016","(주)코리아세븐 천안성환터미널점","2025-12-31 14:08:27","U","2026-01-03 02:40:00","","211705.141403007","379421.52327921","20160224","제7조의3제2항에따른경우",
"37","담배소매업","11_43_02_P","3620000","2018362017405600007","2018-11-08","","03","폐업","2","폐업처리","2025-12-31","","","","","","","광주광역시 북구 오치동 776번지 14호","광주광역시 북구 서하로194번길 3 (오치동)","61120","GS25 오치주공점","2025-12-31 16:14:14","U","2026-01-03 02:40:00","","190994.138244131","187518.675474934","20181108","제7조의3제3항에따른경우",
"38","담배소매업","11_43_02_P","4820000","2023482033705600040","2023-07-04","","03","폐업","2","폐업처리","2025-12-31","","","","","","","전라남도 순천시 오천동 963","전라남도 순천시 오천6길 16, 105호 (오천동)","57999","이마트24 순천오천점","2025-12-31 14:02:41","U","2026-01-03 02:40:00","","245093.2129232","159580.059677665","20230704","제7조의3제2항에따른경우",
"39","담배소매업","11_43_02_P","4490000","2023565003205600044","2023-07-25","","02","휴업","1","휴업처리","","2026-01-02","2026-01-16","","","","","충청남도 천안시 동남구 원성동 429-133","충청남도 천안시 동남구 원성천1길 99, 상가동 105호,106호 (원성동)","31132","씨유 천안역e편한점","2025-12-31 15:55:45","U","2026-01-03 02:40:00","","","","20230725","제7조의3제2항에따른경우",
"40","담배소매업","11_43_02_P","4930000","2023493009405600014","2023-09-07","","03","폐업","2","폐업처리","2025-12-31","","","","","","","전라남도 해남군 해남읍 해리 166-7 1층","전라남도 해남군 해남읍 해남로 11, 1층","59027","GS25 해남터미널점","2025-12-31 15:35:36","U","2026-01-03 02:40:00","","163985.898245972","119275.311632781","20230907","제7조의3제2항에따른경우",
"41","담배소매업","11_43_02_P","3050000","2023305021005600038","2023-08-10","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 동대문구 전농동 620-47 청량리역 롯데캐슬 SKY-L65","서울특별시 동대문구 답십리로 27, 115,116호 (전농동, 청량리역 롯데캐슬 SKY-L65)","02559","씨유 청량리스카이점","2025-12-31 13:06:55","U","2026-01-03 02:40:00","","203917.462724049","452951.998520792","20230810","제7조의3제2항에따른경우",
"42","담배소매업","11_43_02_P","3700000","2019370014605600041","2019-05-01","","01","영업/정상","0","정상영업","","","","","052-277-8596","","","울산광역시 남구 무거동 468번지 1호","울산광역시 남구 옥현로58번길 15 (무거동)","44614","롯데쇼핑(주) 롯데슈퍼울산무거점","2025-12-31 14:22:41","U","2026-01-03 02:40:00","","405174.519849065","229152.420071641","20190501","제7조의3제2항에따른경우",
"43","담배소매업","11_43_02_P","4191000","2020419028305600022","2020-08-21","","03","폐업","2","폐업처리","2025-12-31","","","","","","","강원특별자치도 원주시 반곡동 1802 반곡벽산블루밍2차아파트 상가","강원특별자치도 원주시 반곡길 47, 반곡벽산블루밍2차아파트 상가 105,106호 (반곡동)","26457","이마트24self원주벽산블루밍점","2025-12-31 09:11:57","U","2026-01-03 02:40:00","","285595.558360577","426773.603270248","20200821","제7조의3제2항에따른경우",
"44","담배소매업","11_43_02_P","4271000","2020427007705600007","2020-06-01","","01","영업/정상","0","정상영업","","","","","033-372-0801","","","강원특별자치도 영월군 남면 창원리 729번지 1호 한길에너지","강원특별자치도 영월군 남면 강원남로 641, 한길에너지","26218","태경에프앤지(주) 동강휴게소","2025-12-31 14:49:03","U","2026-01-03 02:40:00","","320310.552327543","409231.987019287","20200601","제7조의3제2항에따른경우",
"45","담배소매업","11_43_02_P","4810000","2006481001905600101","2006-11-10","","01","영업/정상","0","정상영업","","","","","061 6410954","","","전라남도 여수시 광무동 383-9","전라남도 여수시 광무한재길 51-7 (광무동)","59750","지훈슈퍼","2025-12-31 16:38:54","U","2026-01-03 02:40:00","","266011.824415743","138510.645744381","20061110","2009년11월법개정전자료",
"46","담배소매업","11_43_02_P","3940000","2016395005205600019","2016-02-26","","01","영업/정상","0","정상영업","","","","","031-968-6370","","","","경기도 고양시 덕양구 도래울2로 3 (도내동)","10551","롯데쇼핑 (주)롯데슈퍼고양원흥점","2025-12-31 15:04:04","U","2026-01-03 02:40:00","","188452.346012262","458665.019245591","20160226","제7조의3제2항에따른경우",
"47","담배소매업","11_43_02_P","6510000","1979551000905600057","1979-07-01","","03","폐업","2","폐업처리","2025-12-31","","","","","","","제주특별자치도 제주시 조천읍 함덕리 1016번지 3   호","제주특별자치도 제주시 조천읍 신북로 483","","안나상회","2025-12-31 14:55:09","U","2026-01-03 02:40:00","","168522.412110644","5251.34724015786","19790701","2009년11월법개정전자료",
"48","담배소매업","11_43_02_P","3600000","2007360006805600071","2007-06-13","","01","영업/정상","0","정상영업","","","","","062)652-5601","","502-156","광주광역시 서구 풍암동 1109번지","광주광역시 서구 풍암2로 2 (풍암동)","502-156","롯데쇼핑(주)롯데슈퍼풍암점","2025-12-31 13:36:56","U","2026-01-03 02:40:00","","188875.632035508","180897.678717452","20070613","제7조의3제3항에따른경우",
"49","담배소매업","11_43_02_P","3620000","2007362007905600002","2007-10-02","","03","폐업","2","폐업처리","2025-12-31","","","","571-6471","","500-200","광주광역시 북구 양산동 361번지 31호","광주광역시 북구 하서로 265 (양산동)","","세븐일레븐광주센터점","2025-12-31 15:11:39","U","2026-01-03 02:40:00","","188598.906567348","188868.480416746","20071002","2009년11월법개정전자료",
"50","담배소매업","11_43_02_P","3780000","2016380002905600004","2016-01-21","","01","영업/정상","0","정상영업","","","","","02-1577-0711","","","경기도 성남시 수정구 창곡동 559-5 이너매스우남","경기도 성남시 수정구 위례서일로 22, 이너매스우남 111호 (창곡동)","13647","(주)코리아세븐 성남위례역점","2025-12-31 13:38:33","U","2026-01-03 02:40:00","","211162.515413291","435024.300090444","20160121","제7조의3제2항에따른경우",
"51","담배소매업","11_43_02_P","3900000","2011390014005600046","2011-05-18","","01","영업/정상","0","정상영업","","","","","00000000","","423-050","경기도 광명시 소하동 1364번지   116호","경기도 광명시 하안로 112, 116호 (소하동)","423-051","롯데쇼핑(주)롯데슈퍼광명소하점","2025-12-31 18:23:07","U","2026-01-03 02:40:00","","190327.345575609","438471.587763776","20110518","제7조의3제2항에따른경우",
"52","담배소매업","11_43_02_P","3900000","2004390007905600026","2004-04-20","","01","영업/정상","0","정상영업","","","","","0226878792","","","경기도 광명시 철산동 240호 마상가 지하1층","경기도 광명시 모세로 40 (철산동, 마상가지하1층)","423-835","롯데쇼핑(주) 롯데슈퍼광명점","2025-12-31 17:44:53","U","2026-01-03 02:40:00","","188384.451803221","442053.090434857","20040420","2009년11월법개정전자료",
"53","담배소매업","11_43_02_P","3390000","2007339005605600013","2007-02-01","","03","폐업","2","폐업처리","2025-12-31","","","","051-710-7333","","617-804","부산광역시 사상구 감전동 165번지 10호","부산광역시 사상구 감전천로 216 (감전동)","617-804","(주)아워홈LG유플러스부산교환국사점","2025-12-31 16:23:50","U","2026-01-03 02:40:00","","380074.930063087","185488.183963366","20070201","제7조의3제3항에따른경우",
"54","담배소매업","11_43_02_P","3520000","2014352010505600027","2014-06-26","","01","영업/정상","0","정상영업","","","","","","","406-111","인천광역시 연수구 연수동 507번지 7호","인천광역시 연수구 비류대로433번길 11 (연수동, 1층 101호~107호)","406-111","롯데쇼핑(주)롯데슈퍼연수함박점","2025-12-31 12:58:50","U","2026-01-03 02:40:00","","171844.010874814","435917.52432117","20140626","제7조의3제3항에따른경우",
"55","담배소매업","11_43_02_P","3530000","2011353010405600177","2011-10-27","","01","영업/정상","0","정상영업","","","","","","","","인천광역시 남동구 간석동 250번지 1호 간석오피앙 에이동 109호","인천광역시 남동구 경인로 611, 에이동 109호 (간석동, 간석오피앙)","21507","오피앙","2025-12-31 16:56:51","U","2026-01-03 02:40:00","","173878.004377318","440421.018006189","20111027","제7조의3제2항에따른경우",
"56","담배소매업","11_43_02_P","3520000","2004352004705600024","2004-04-16","","01","영업/정상","0","정상영업","","","","","032 815 8117","","","인천광역시 연수구 동춘동 932 한양2차아파트(롯데슈퍼)","인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) (동춘동)","21973","롯데쇼핑 (주)롯데슈퍼연수점","2025-12-31 09:23:53","U","2026-01-03 02:40:00","","170938.652786429","433755.427480694","20040416","제7조의3제3항에따른경우",
"57","담배소매업","11_43_02_P","3980000","2015398010805600065","2015-12-28","","03","폐업","2","폐업처리","2025-12-31","","","","","","","경기도 구리시 인창동 713번지","경기도 구리시 인창2로 13, 제지3층 비304호 (인창동, 구리 더샵 그린포레(1단지))","11951","세븐일레븐 구리더샾점","2025-12-31 16:39:48","U","2026-01-03 02:40:00","","211437.555147685","455691.628091168","20151228","제7조의3제2항에따른경우",
"58","담배소매업","11_43_02_P","3180000","2004318007605600043","2004-03-31","","01","영업/정상","0","정상영업","","","","","02-2290-5739","","","서울특별시 영등포구 여의도동 42 한양아파트","서울특별시 영등포구 국제금융로 79 (여의도동, 한양아파트)","07340","롯데쇼핑(주) 롯데슈퍼여의점","2025-12-31 10:49:45","U","2026-01-03 02:40:00","","193963.563089797","446584.550237569","20040331","제7조의3제2항에따른경우",
"59","담배소매업","11_43_02_P","3110000","2006311009905600059","2006-06-23","","01","영업/정상","0","정상영업","","","","","02-382-8654","","","서울특별시 은평구 불광동 308번지 1 호 외 15, 19, 20","서울특별시 은평구 통일로 842 (불광동)","122-756","롯데쇼핑(주) 롯데슈퍼 범서점","2025-12-31 14:42:43","U","2026-01-03 02:40:00","","193035.279146132","457365.911737494","20060623","2009년11월법개정전자료",
"60","담배소매업","11_43_02_P","3120000","2009312011905601944","2009-08-27","","01","영업/정상","0","정상영업","","","","","02-308-5601","","120-805","서울특별시 서대문구 남가좌1동 240번지 동부센트레빌 지하2층","서울특별시 서대문구 거북골로 120 (남가좌동, 동부센트레빌)","120-770","롯데쇼핑(주)롯데슈퍼 남가좌점","2025-12-31 10:30:09","U","2026-01-03 02:40:00","","192480.02944094","452634.55767379","20090827","제7조의3제3항에따른경우",
"61","담배소매업","11_43_02_P","5380000","2022538027705600002","2022-01-21","","03","폐업","2","폐업처리","2025-12-30","","","","","","","경상남도 양산시 덕계동 811-45 대승하이아트2차아파트","경상남도 양산시 덕계북길 13, 대승하이아트2차아파트 상가동 1층 102호 (덕계동)","50537","세븐일레븐 양산덕계대승점","2025-12-31 13:46:36","U","2026-01-03 02:40:00","","395924.621879555","211588.936054127","20220121","제7조의3제2항에따른경우",
"62","담배소매업","11_43_02_P","4020000","2022402022705600001","2022-01-10","","03","폐업","2","폐업처리","2025-12-31","","","","","","","경기도 군포시 금정동 735","경기도 군포시 당산로 158, 1층 102호 (금정동)","15812","이마트24 군포더트렌디점","2025-12-31 13:07:39","U","2026-01-03 02:40:00","","194909.754587629","429234.510249833","20220110","제7조의3제2항에따른경우",
"63","담배소매업","11_43_02_P","5080000","2021508029005600061","2021-12-31","","03","폐업","2","폐업처리","2025-12-31","","","","","","","경상북도 구미시 도량동 447-5","경상북도 구미시 송선로15길 27(도량동)","39215","새롬 기사식당","2025-12-31 14:24:44","U","2026-01-03 02:40:00","","318767.377843882","293759.79847051","20211231","제7조의3제2항에따른경우",
"64","담배소매업","11_43_02_P","3500000","2023350016105600009","2023-06-01","","03","폐업","2","폐업처리","2025-12-31","","","","","","","인천광역시 동구 화수동 7-11 HD현대인프라코어","인천광역시 동구 인중로 489, HD현대인프라코어 (화수동)","22502","(주)풀무원푸드앤컬처","2025-12-31 13:06:53","U","2026-01-03 02:40:00","","167026.3164495","442927.500637717","20230601","제7조의3제3항에따른경우",
"65","담배소매업","11_43_02_P","4090000","2023409039905600041","2023-05-02","","03","폐업","2","폐업처리","2025-12-31","","","","","","","경기도 김포시 사우동 251 에코힐즈","경기도 김포시 사우중로 23, 101호 (사우동, 에코힐즈)","10109","지에스(GS)25 김포에코점","2025-12-31 11:03:13","U","2026-01-03 02:40:00","","174956.513733206","457284.792801935","20230502","제7조의3제2항에따른경우",
"66","담배소매업","11_43_02_P","5710000","2024573002305600019","2024-04-01","","03","폐업","2","폐업처리","2025-12-31","","","","","","","충청북도 청주시 흥덕구 옥산면 남촌리 1114-1","충청북도 청주시 흥덕구 옥산면 과학산업3로 29, LG에너지솔루션 오창에너지플랜트1공장 북문 복지동 2층","28122","지에스25 오창엔솔2호점","2025-12-31 11:09:13","U","2026-01-03 02:40:00","","237081.354151502","355094.620921702","20240401","제7조의3제3항에따른경우",
"67","담배소매업","11_43_02_P","4020000","2024402025605600014","2024-05-29","","03","폐업","2","폐업처리","2025-12-31","","","","","","","경기도 군포시 금정동 722-7 아산 나부빌","경기도 군포시 금산로 1, 상가 101호 (금정동, 아산 나부빌)","15827","지에스25(GS25) 군포번영점","2025-12-31 13:25:23","U","2026-01-03 02:40:00","","194705.935956202","428970.560893993","20240529","제7조의3제2항에따른경우",
"68","담배소매업","11_43_02_P","3650000","2006365007905600070","2006-12-19","","01","영업/정상","0","정상영업","","2021-12-20","2022-01-18","","042 2565620","","","대전광역시 중구 중촌동 16번지 10호 제일프라자  207∼231","대전광역시 중구 목중로 50, 207∼231호 (중촌동,제일프라자)","","롯데쇼핑(주)롯데슈퍼 중촌점","2025-12-31 13:12:56","U","2026-01-03 02:40:00","","236700.702164313","315310.859965919","20061219","제7조의3제3항에따른경우",
