"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"21","후원방문판매업체","08_26_05_P","6260000","20236260000301000064","2023-09-11","","03","폐업","4","폐업","2024-12-26","","","","","","46300","부산광역시 금정구 장전동  ***번지 **호 파크아트온 ****호","부산광역시 금정구 식물원로**번길 **, 파크아트온 ****호 (장전동)","","더라온 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389731.696876228","193618.729297313","후원방문판매업","0","8825700615",
"22","후원방문판매업체","08_26_05_P","6260000","20236260000301000065","2023-09-11","","03","폐업","4","폐업","2024-12-26","","","","","","48714","부산광역시 동구 수정동  ****번지 *호","부산광역시 동구 망양로 ***-* (수정동)","","인셀덤라이프","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385939.402085347","182746.548854628","후원방문판매업","0","8691202206",
"23","후원방문판매업체","08_26_05_P","6260000","20236260000301000055","2023-07-12","","03","폐업","4","폐업","2024-12-26","","","","","","47171","부산광역시 부산진구 개금동  **번지 *호 개금주공상가 ***-*호","부산광역시 부산진구 백양관문로 *, 개금주공상가 *층 ***-*호 (개금동)","","인셀덤루체","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385002.870304631","186361.24583842","후원방문판매업","0","2180139137",
"24","후원방문판매업체","08_26_05_P","6260000","20236260000301000056","2023-07-12","","03","폐업","4","폐업","2024-12-26","","","","","","47002","부산광역시 사상구 주례동  ****번지 *호 주례롯데캐슬골드스마트 ***동 ****호","부산광역시 사상구 가야대로***번길 *, ***동 ****호 (주례동, 주례롯데캐슬골드스마트)","","팡팡","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","382090.649629568","185454.296112757","후원방문판매업","0","2616900484",
"25","후원방문판매업체","08_26_05_P","6260000","20236260000301000057","2023-07-21","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 연제구 연산동  ***번지 *호 연산동SKVIEW(*단지) ****호","부산광역시 연제구 중앙대로 ****, ****호 (연산동, 연산동 SK VIEW(*단지))","","인셀덤 르헤미야","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389510.788094066","189669.571671014","후원방문판매업","0","3560701240",
"26","후원방문판매업체","08_26_05_P","6260000","20226260000301000049","2022-04-18","","03","폐업","4","폐업","2024-12-26","","","","","","48431","부산광역시 남구 대연동  ****번지 *호 대연삼정그린코아더베스트 ***동 ****호","부산광역시 남구 수영로***번길 ***-**, ***동 ****호 (대연동, 대연 삼정그린코아 더 베스트)","","인셀덤E.S","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","4722401480",
"27","후원방문판매업체","08_26_05_P","6260000","20226260000301000052","2022-04-18","","03","폐업","4","폐업","2024-12-26","","","","","","47269","부산광역시 부산진구 개금동  ***번지 *호 개금롯데캐슬 ***동 ****호","부산광역시 부산진구 개금온정로 **, ***동 ****호(개금동, 개금 롯데캐슬)","","인셀덤Bella","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384603.385142206","185799.475455775","후원방문판매업","0","2032110567",
"28","후원방문판매업체","08_26_05_P","6260000","20226260000301000053","2022-04-18","","03","폐업","4","폐업","2024-12-26","","","","","","48485","부산광역시 남구 대연동  ****번지 **호 대연월드빌 ***호","부산광역시 남구 석포로***번길 **, ***호(대연동, 대연월드빌)","","인셀덤 다은","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390350.607616497","183105.01461238","후원방문판매업","0","7821202006",
"29","후원방문판매업체","08_26_05_P","6260000","20226260000301000055","2022-04-18","","03","폐업","4","폐업","2024-12-26","","","","","","47536","부산광역시 연제구 거제동  ***번지 ***호 거제유림아시아드 ***동 ***호","부산광역시 연제구 해맞이로 **, ***동 ***호 (거제동, 거제유림아시아드)","","팡팡인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388108.114728816","188454.030819101","후원방문판매업","0","3772801427",
"30","후원방문판매업체","08_26_05_P","6260000","20226260000301000059","2022-04-18","","03","폐업","4","폐업","2024-12-26","","","","","","46772","부산광역시 강서구 명지동  ****번지 *호 더힐시그니처 상가*동 ***호","부산광역시 강서구 명지국제*로 ***, 상가*동 ***호(명지동, 더 힐 시그니처)","","인셀하나","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","374487.930784783","178988.233459289","후원방문판매업","0","2291969223",
"31","후원방문판매업체","08_26_05_P","6260000","20246260000301000028","2024-09-10","","03","폐업","4","폐업","2024-12-26","","","","","","47190","부산광역시 부산진구 당감동  ***번지 *호 삼익아파트","부산광역시 부산진구 당감로 **, *동 ***호 (당감동, 삼익아파트)","","수니","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","385681.024112217","186728.150348704","후원방문판매업","0","6681002690",
"32","후원방문판매업체","08_26_05_P","6260000","20246260000301000029","2024-09-10","","03","폐업","4","폐업","2024-12-26","","","","","","47534","부산광역시 연제구 거제동  ***번지 **호 성공*","부산광역시 연제구 해맞이로**번길 **, ***호 (거제동, 성공*)","","은하수 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388294.452675338","188808.033099524","후원방문판매업","0","4087093521",
"33","후원방문판매업체","08_26_05_P","6260000","20246260000301000032","2024-10-16","","03","폐업","4","폐업","2024-12-26","","","","","","49525","부산광역시 사하구 다대동  ***번지 *호 다대자유아파트","부산광역시 사하구 다대로 ***, ***동 ****호 (다대동, 다대자유아파트)","","소망인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","379889.658155967","174307.148168245","후원방문판매업","0","8780203632",
"34","후원방문판매업체","08_26_05_P","6260000","20226260000301000020","2022-02-15","","03","폐업","4","폐업","2024-12-26","","","","","","49375","부산광역시 사하구 감천동  ***번지 **호","부산광역시 사하구 옥천로 **-*, *층(감천동)","","인셀덤 승리 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","382827.93537609","178464.817651477","후원방문판매업","0","2660102487",
"35","후원방문판매업체","08_26_05_P","6260000","20226260000301000021","2022-02-15","","03","폐업","4","폐업","2024-12-26","","","","","","47613","부산광역시 연제구 연산동  ****번지 *호 동덕현대아파트 ***동 ***호","부산광역시 연제구 연미로 **, ***동 ***호(연산동, 동덕현대아파트)","","인셀덤 만사형통 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390525.038055812","187871.69390496","후원방문판매업","0","1440402290",
"36","후원방문판매업체","08_26_05_P","6260000","20226260000301000023","2022-02-15","","03","폐업","4","폐업","2024-12-26","","","","","","46970","부산광역시 사상구 괘법동  ***번지 *호 르네시떼 ****,****호","부산광역시 사상구 광장로 *, 르네시떼 ****,****호(괘법동)","","인셀덤 루디아138(Lydia138)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","380128.339808992","186803.363627799","후원방문판매업","0","4390102805",
"37","후원방문판매업체","08_26_05_P","6260000","20226260000301000024","2022-02-15","","03","폐업","4","폐업","2024-12-26","","","","","","47526","부산광역시 연제구 거제동  ****번지 *호 아시아드푸르지오 ***동 ***호","부산광역시 연제구 아시아드대로**번길 **, ***동 ***호(거제동, 아시아드푸르지오)","","펄스","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388600.243465819","189573.715737704","후원방문판매업","0","4964600965",
"38","후원방문판매업체","08_26_05_P","6260000","20226260000301000026","2022-02-15","","03","폐업","4","폐업","2024-12-26","","","","","","47821","부산광역시 동래구 온천동  ****번지 **호 더리체 ****호","부산광역시 동래구 미남로 ***, ****호(온천동, 더 리체)","","인셀덤 앨리스","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","388416.818259461","191594.697725714","후원방문판매업","0","3543101161",
"39","후원방문판매업체","08_26_05_P","6260000","20226260000301000044","2022-03-14","","03","폐업","4","폐업","2024-12-26","","","","","","47894","부산광역시 동래구 안락동  ****번지 *호 강변뜨란채 ***동 ****호","부산광역시 동래구 안남로 **, ***동 ****호(안락동, 강변뜨란채)","","인셀덤 부산명륜점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","391265.368401014","190445.821167737","후원방문판매업","0","8436400452",
"40","후원방문판매업체","08_26_05_P","6260000","20246260000301000021","2024-06-11","","03","폐업","4","폐업","2024-12-24","","","","","","46305","부산광역시 금정구 부곡동  ***번지 *호","부산광역시 금정구 가마실로 **-* (부곡동)","","딩동 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","390914.803571475","193640.418839406","후원방문판매업","0","7484001015",
"41","후원방문판매업체","08_26_05_P","6260000","20206260000301000013","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 부산진구 부전동  ***번지 *호 더샵센트럴스타 A동 ****호","부산광역시 부산진구 중앙대로***번길 **, A동 ****호 (부전동, 더샵 센트럴스타)","","인셀덤시온","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","387748.383011444","185533.437357236","후원방문판매업","0","7434600314",
"42","후원방문판매업체","08_26_05_P","6260000","20206260000301000006","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 수영구 남천동  ***번지 *호 남천동원로얄듀크 ***동 ***호","부산광역시 수영구 황령대로 ***, ***동 ***호 (남천동, 남천동원로얄듀크)","","미라클 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","391673.99099279","184619.802884551","후원방문판매업","0","3244900467",
"43","후원방문판매업체","08_26_05_P","6260000","20206260000301000009","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 동래구 온천동  ****번지 *호 삼협아파트 ****호","부산광역시 동래구 쇠미로***번길 **, ****호 (온천동, 삼협아파트)","","월드 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","387869.214476809","192053.464196812","후원방문판매업","0","2813300650",
"44","후원방문판매업체","08_26_05_P","6260000","20206260000301000024","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","47598","부산광역시 연제구 연산동  ****번지 **호","부산광역시 연제구 중앙대로 ****, *층 (연산동)","","인셀덤 부산동래 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","1591401119",
"45","후원방문판매업체","08_26_05_P","6260000","20206260000301000003","2020-03-02","","03","폐업","4","폐업","2024-12-24","","","","","","46762","부산광역시 강서구 명지동  ****번지 **호 영어도시퀸덤*차 ***동 ***호","부산광역시 강서구 명지오션시티**로 **, ***동 ***호 (명지동, 영어도시 퀸덤*차)","","인셀덤 세계로","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","373016.981172742","178139.407187281","후원방문판매업","0","1121999230",
"46","후원방문판매업체","08_26_05_P","6260000","20206260000301000028","2020-03-02","","01","영업/정상","5","영업","","","","","","","","부산광역시 서구 서대신동*가  **번지 **호 서대신금호어울림아파트 ***동 ***호","부산광역시 서구 꽃마을로 **, ***동 ***호 (서대신동*가, 서대신금호어울림아파트)","","오하글로벌","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","383244.89500976","181797.378285149","후원방문판매업","0","8461800492",
"47","후원방문판매업체","08_26_05_P","6260000","20206260000301000031","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 동래구 안락동  ***번지 **호","부산광역시 동래구 반송로***번길 ** (안락동)","","인셀덤 라브릿지뷰티동래점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","391161.618295898","191181.473000616","후원방문판매업","0","6074823295",
"48","후원방문판매업체","08_26_05_P","6260000","20206260000301000033","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","49329","부산광역시 사하구 당리동  ***번지 *호 경성리치W아파트 B동 ***호","부산광역시 사하구 낙동대로 ***, B동 ***호(당리동, 경성리치W아파트)","","인셀덤 낙동 브랜치","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","380112.660261235","180021.207743134","후원방문판매업","0","7546400269",
"49","후원방문판매업체","08_26_05_P","6260000","20206260000301000040","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","49338","부산광역시 사하구 괴정동  ***번지 *호","부산광역시 사하구 낙동대로 *** (괴정동)","","대영인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","381852.219759972","179813.441565171","후원방문판매업","0","1012068150",
"50","후원방문판매업체","08_26_05_P","6260000","20206260000301000042","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","46572","부산광역시 북구 덕천동  ***번지 *호 벽산아파트 ****호","부산광역시 북구 만덕*로**번길 **, ****호 (덕천동, 벽산아파트)","","민주(民周)대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","384149.846540942","192152.635372998","후원방문판매업","0","5615500349",
"51","후원방문판매업체","08_26_05_P","6260000","20206260000301000044","2020-03-02","","03","폐업","4","폐업","2024-12-26","","","","","","","부산광역시 해운대구 반송동  ***번지 *호 삼한*차아파트 상가동 ***호","부산광역시 해운대구 신반송로 **, 상가동 *층 ***호 (반송동, 삼한*차아파트)","","인셀덤 반송점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","396744.805219899","194058.245601212","후원방문판매업","0","5112307517",
"52","후원방문판매업체","08_26_05_P","6260000","20206260000301000047","2020-03-19","","03","폐업","4","폐업","2024-12-26","","","","","","48118","부산광역시 해운대구 우동  ****번지 *호 아라트리움 ***호","부산광역시 해운대구 마린시티*로 ***, 아라트리움 *층 ***호(우동)","","인셀덤샤인","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","395542.530890583","186068.484392089","후원방문판매업","0","7551301356",
"53","후원방문판매업체","08_26_05_P","6260000","20226260000301000006","2022-01-18","","03","폐업","4","폐업","2024-12-26","","","","","","47728","부산광역시 동래구 온천동  ***번지 *호","부산광역시 동래구 중앙대로****번길 **, *층(온천동)","","탑(TOP)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389044.701360119","192137.315414378","후원방문판매업","0","4252100432",
"54","후원방문판매업체","08_26_05_P","6260000","20226260000301000010","2022-01-18","","03","폐업","4","폐업","2024-12-26","","","","","","49406","부산광역시 사하구 괴정동  ****번지 *호 힐스테이트사하역 ***동 ***호","부산광역시 사하구 괴정로 ***, ***동 ***호 (괴정동, 힐스테이트 사하역)","","인셀덤 Double U","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","","","후원방문판매업","0","7260102558",
"55","후원방문판매업체","08_26_05_P","6260000","20216260000301000160","2021-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","48043","부산광역시 해운대구 반여동  ****번지 **호 삼익그린맨션 *동 ****호","부산광역시 해운대구 선수촌로**번길 **, *동 ****호(반여동, 삼익그린맨션)","","인셀덤 축제 대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392808.906216695","190668.998673762","후원방문판매업","0","3344100925",
"56","후원방문판매업체","08_26_05_P","6260000","20216260000301000165","2021-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","46051","부산광역시 기장군 철마면 안평리 ***번지 *호 천수암","부산광역시 기장군 철마면 안평로**번길 **-*, 천수암","","인셀덤 라온","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","398189.917878278","195260.767875115","후원방문판매업","0","1784000823",
"57","후원방문판매업체","08_26_05_P","6260000","20216260000301000166","2021-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","46044","부산광역시 기장군 일광면 이천리 ***번지 *호 일광신도시비스타동원*차 ***동 ****호","부산광역시 기장군 일광면 해송*로 **, ***동 ****호(일광 신도시 비스타 동원 *차)","","위드 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","402945.133937173","198940.726106573","후원방문판매업","0","1763201160",
"58","후원방문판매업체","08_26_05_P","6260000","20216260000301000169","2021-12-16","","03","폐업","4","폐업","2024-12-26","","","","","","49067","부산광역시 영도구 신선동*가  ***번지 *호","부산광역시 영도구 참샘길 ***(신선동*가)","","인셀덤 하이스트","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386658.240999991","178562.311129022","후원방문판매업","0","3944600903",
"59","후원방문판매업체","08_26_05_P","6260000","20236260000301000030","2023-04-10","","03","폐업","4","폐업","2024-12-26","","","","","","46725","부산광역시 강서구 명지동  ****번지 *호","부산광역시 강서구 영강길 ** (명지동)","","인셀덤라온대리점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","375761.832842642","180425.798562505","후원방문판매업","0","2972801572",
"60","후원방문판매업체","08_26_05_P","6260000","20236260000301000031","2023-04-10","","03","폐업","4","폐업","2024-12-26","","","","","","48098","부산광역시 해운대구 중동  ***번지 *호","부산광역시 해운대구 달맞이길**번길 *-** (중동)","","인셀덤 래빗","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","397925.717643784","186531.006857331","후원방문판매업","0","1513001401",
"61","후원방문판매업체","08_26_05_P","6260000","20236260000301000032","2023-04-10","","03","폐업","4","폐업","2024-12-26","","","","","","47904","부산광역시 동래구 안락동  ****번지 *호 안락뜨란채*단지아파트 ***동 ****호","부산광역시 동래구 연안로 **, ***동 ****호 (안락동, 안락뜨란채*단지아파트)","","인셀덤 다온","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","392071.6197892","190245.241017626","후원방문판매업","0","5072933172",
"62","후원방문판매업체","08_26_05_P","6260000","20236260000301000042","2023-05-11","","03","폐업","4","폐업","2024-12-26","","","","","","46769","부산광역시 강서구 성북동  ***번지 *호","부산광역시 강서구 동선*안길 ** (성북동)","","뷰리풀 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","366766.294684609","174031.386871248","후원방문판매업","0","1493801097",
"63","후원방문판매업체","08_26_05_P","6260000","20236260000301000045","2023-05-11","","03","폐업","4","폐업","2024-12-26","","","","","","47711","부산광역시 동래구 온천동  ***번지 *호 온천동유림노르웨이숲 상가동 ***호","부산광역시 동래구 중앙대로 ****, 상가동 *층 ***호 (온천동, 온천동 유림노르웨이숲)","","에이스챔피언 인셀덤","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","389479.03847268","192774.203546772","후원방문판매업","0","7974900758",
"64","후원방문판매업체","08_26_05_P","6410000","20236410000301100259","2023-05-03","","01","영업/정상","2","영업","","","","","","","13438","경기도 성남시 중원구 여수동  ***번지 *호 유아이빌딩 ***호","경기도 성남시 중원구 양현로***번길 *-**, 유아이빌딩 ***호 (여수동)","","아모레퍼시픽 판교센터 분당점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","211235.798499247","435067.986805129","후원방문판매업","0","1754700819",
"65","후원방문판매업체","08_26_05_P","6410000","20236410000301100260","2023-05-03","","01","영업/정상","2","영업","","","","","","","13438","경기도 성남시 중원구 여수동  ***번지 *호 유아이빌딩 ***호","경기도 성남시 중원구 양현로***번길 *-**, 유아이빌딩 ***호 (여수동)","","아모레퍼시픽 판교센터 판교점","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","211235.798499247","435067.986805129","후원방문판매업","0","2703001513",
