"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"11","요양보호사교육기관","11_49_01_P","6470000","201764700000040005-20170911","2017-09-11","","01","영업/정상","0","운영","","","","","0542915457","","","경상북도 포항시 남구 오천읍 세계리 902-126","경상북도 포항시 남구 오천읍 해병로301번길 7, 4층","","남포항요양보호사교육원","2026-01-08 13:42:09","U","2026-01-10 02:40:00","","","","","","","",
"12","요양보호사교육기관","11_49_01_P","6410000","202164100002040014-20210906","2021-09-06","","01","영업/정상","0","운영","","","","","0315737804","","","경기도 남양주시 오남읍 양지리 410-2","경기도 남양주시 오남읍 경복대로 4, 4층","41360","어부바요양보호사교육원","2026-01-08 13:11:00","U","2026-01-10 02:40:00","","217005.016241195","467058.666197953","","","","",
"13","요양보호사교육기관","11_49_01_P","6110000","201061100000040166-20101021","2010-10-21","","01","영업/정상","0","운영","","","","","0226789721","","","서울특별시 영등포구 영등포동4가 134-2","서울특별시 영등포구 영신로34길 18 (영등포동4가)","","서울사회복지대학원대학교부설요양보호사교육원","2026-01-08 16:10:47","U","2026-01-10 02:40:00","","","","","","","",
"14","요양보호사교육기관","11_49_01_P","6410000","202264100001040038-20220504","2022-05-04","","01","영업/정상","0","운영","","","","","0318978279","","","경기도 용인시 수지구 상현동 354-12 송정빌딩","경기도 용인시 수지구 상현로 7, 송정빌딩 3층(상현동)","","광교사과나무요양보호사교육원","2026-01-08 13:07:15","U","2026-01-10 02:40:00","","","","","","","",
"15","요양보호사교육기관","11_49_01_P","6310000","202663100000040001-20260109","2026-01-09","","03","폐업","1","폐지","","","","","0522700382","","","울산광역시 울주군 웅촌면 곡천리 713번지 춘해보건대학","울산광역시 울주군 웅촌면 대학길 9, 춘해보건대학","","춘해보건대학교요양보호사교육원(양성대학)","2026-01-09 13:49:39","I","2026-01-11 00:20:02","","","","","","","20260109",
"16","요양보호사교육기관","11_49_01_P","6310000","202663100000040002-20260109","2026-01-09","","01","영업/정상","0","운영","","","","","0522700382","","","울산광역시 울주군 웅촌면 곡천리 713번지 춘해보건대학","울산광역시 울주군 웅촌면 대학길 9, 춘해보건대학","","춘해보건대학교요양보호사교육원(양성대학)","2026-01-09 13:49:50","I","2026-01-11 00:20:02","","","","","","","",
"17","요양보호사교육기관","11_49_01_P","6260000","201662600000040002-20160127","2016-01-27","","01","영업/정상","0","운영","","","","","0519132450","","","부산광역시 부산진구 범천동 849-19 도문빌딩","부산광역시 부산진구 범일로 190, 도문빌딩 7층(범천동)","","서면삼성실버요양보호사교육원","2026-01-09 10:14:02","U","2026-01-11 02:40:00","","","","","","","",
"18","요양보호사교육기관","11_49_01_P","6410000","202264100001040040-20220517","2022-05-17","","01","영업/정상","0","운영","","","","","0312525112","","","경기도 수원시 장안구 정자동 889-2","경기도 수원시 장안구 정자천로134번길 34, 2층(정자동)","","수원YWCA요양보호사교육원","2026-01-09 14:54:48","U","2026-01-11 02:40:00","","","","","","","",
"19","요양보호사교육기관","11_49_01_P","6270000","202462700000040004-20241205","2024-12-05","","01","영업/정상","0","운영","","","","","","","","대구광역시 동구 입석동 941-1","대구광역시 동구 해동로 123 (입석동)","","웰컴요양보호사교육원","2026-01-09 11:07:00","U","2026-01-11 02:40:00","","","","","","","",
"20","요양보호사교육기관","11_49_01_P","6260000","201562600000040006-20151214","2015-12-14","","01","영업/정상","0","운영","","","","","0519444050","","","부산광역시 기장군 기장읍 대라리 168-4 명광빌딩 201호","부산광역시 기장군 기장읍 대청로 42, 명광빌딩 2층","","소망요양보호사교육원","2026-01-12 13:10:41","U","2026-01-14 02:40:00","","","","","","","",
"21","요양보호사교육기관","11_49_01_P","6460000","202464600000040005-20240604","2024-06-04","","01","영업/정상","0","운영","","","","","0617233100","","","전라남도 순천시 해룡면 신대리 2042-8","전라남도 순천시 해룡면 신대로 49, 3층","","에덴요양보호사교육원","2026-01-12 19:10:03","U","2026-01-14 02:40:00","","","","","","","",
"22","요양보호사교육기관","11_49_01_P","6410000","201864100001040010-20180713","2018-07-13","","01","영업/정상","0","운영","","","","","0314469104","","","경기도 안양시 만안구 안양동 707-3","경기도 안양시 만안구 냉천로 177-1, 2층 (안양동)","","삼성중앙요양보호사교육원","2026-01-12 20:02:28","U","2026-01-14 02:40:00","","","","","","","",
"23","요양보호사교육기관","11_49_01_P","6410000","202064100002040005-20200528","2020-05-28","","01","영업/정상","0","운영","","","","","0319798572","","","경기도 고양시 덕양구 행신동 1083번지 아성프라자 402호","경기도 고양시 덕양구 중앙로 442, 아성프라자 402호 (행신동)","","가라뫼요양보호사교육원","2026-01-12 16:36:43","U","2026-01-14 02:40:00","","","","","","","",
"24","요양보호사교육기관","11_49_01_P","6410000","202164100001040029-20210809","2021-08-09","","01","영업/정상","0","운영","","","","","0322792279","","","경기도 부천시 원미구 중동 1033-3 굿모닝프라자 209-210호","경기도 부천시 원미구 길주로 199, 굿모닝프라자 209-210호 (중동)","","부천중앙요양보호사교육원","2026-01-12 18:50:54","U","2026-01-14 02:40:00","","","","","","","",
"25","요양보호사교육기관","11_49_01_P","6410000","202264100001040049-20220609","2022-06-09","","01","영업/정상","0","운영","","","","","0313825988","","","경기도 안양시 동안구 관양동 1604-1 신세대상가 504호","경기도 안양시 동안구 관평로182번길 48, 신세대상가 504호(관양동)","","평촌이레요양보호사교육원","2026-01-12 17:00:23","U","2026-01-14 02:40:00","","","","","","","",
"26","요양보호사교육기관","11_49_01_P","6260000","201062600000040023-20100611","2010-06-11","","01","영업/정상","0","운영","","","","","0516333323","","","부산광역시 부산진구 범천1동   870번지 1호 3층","부산광역시 부산진구 중앙대로 621 (범천동,3층)","","뉴중앙 요양보호사교육원","2026-01-13 15:24:11","U","2026-01-15 02:40:00","","387558.514002486","185158.362348042","","","","",
"27","요양보호사교육기관","11_49_01_P","6410000","202264100001040010-20220214","2022-02-14","","01","영업/정상","0","운영","","","","","03180158004","","","경기도 화성시 반송동 42-6 센트럴프라자 504-505호","경기도 화성시 동탄지성로 92, 센트럴프라자 504-505호(반송동)","","동탄요양보호사교육원","2026-01-13 19:18:28","U","2026-01-15 02:40:00","","","","","","","",
"28","요양보호사교육기관","11_49_01_P","6480000","202164800000040003-20210128","2021-01-28","","01","영업/정상","0","운영","","","","","0552744523","","","경상남도 창원시 성산구 신월동 39-5 2층","경상남도 창원시 성산구 상남로 224, 2층(신월동)","","행복드림요양보호사교육원","2026-01-13 15:52:53","U","2026-01-15 02:40:00","","","","","","","",
"29","요양보호사교육기관","11_49_01_P","6410000","201064100002040044-20101020","2010-10-20","","01","영업/정상","0","운영","","","","","0319222014","","","경기도 고양시일산서구 탄현동   1562번지 6호 예일프라자 501호","경기도 고양시 일산서구 일현로 29, 501호 (탄현동,예일프라자)","","나누미요양보호사교육원","2026-01-14 15:05:02","U","2026-01-16 02:40:00","","178911.568150447","465309.559659601","","","","",
"30","요양보호사교육기관","11_49_01_P","6260000","202262600000040008-20221213","2022-12-13","","01","영업/정상","0","운영","","","","","0514151171","","","부산광역시 영도구 대교동1가 161번지","부산광역시 영도구 태종로 75, 3층 (대교동1가)","","가나요양보호사교육원","2026-01-14 14:36:50","U","2026-01-16 02:40:00","","","","","","","",
"31","요양보호사교육기관","11_49_01_P","6410000","201764100001040006-20170407","2017-04-07","","01","영업/정상","0","운영","","","","","0319917720","","","경기도 김포시 사우동 924번지 제우스프라자 706호","경기도 김포시 김포대로 841, 제우스프라자 706호 (사우동)","","김포아빌요양보호사교육원","2026-01-15 15:34:19","U","2026-01-17 02:40:00","","","","","","","",
"32","요양보호사교육기관","11_49_01_P","6480000","201764800000040005-20170627","2017-06-27","","01","영업/정상","0","운영","","","","","0553255008","","","경상남도 김해시 부원동 620-3","경상남도 김해시 호계로422번길 12, 3층 (부원동)","","김해중앙요양보호사교육원","2026-01-15 16:39:36","U","2026-01-17 02:40:00","","","","","","","",
"33","요양보호사교육기관","11_49_01_P","6480000","201864800000040001-20180105","2018-01-05","","01","영업/정상","0","운영","","","","","0552485248","","","경상남도 창원시 마산합포구 산호동 405-55 2층,4층","경상남도 창원시 마산합포구 합포로 157, 2층,4층 (산호동)","","탑요양보호사교육원","2026-01-14 16:44:06","U","2026-01-17 02:40:00","","","","","","","",
"34","요양보호사교육기관","11_49_01_P","6480000","201564800000040002-20150128","2015-01-28","","01","영업/정상","0","운영","","","","","0559337956","","","경상남도 합천군 합천읍 합천리 656-8","경상남도 합천군 합천읍 충효로 80, 2층","","경남요양보호사교육원","2026-01-14 17:44:16","U","2026-01-17 02:40:00","","","","","","","",
"35","요양보호사교육기관","11_49_01_P","6410000","202164100001040006-20210205","2021-02-05","","01","영업/정상","0","운영","","","","","","","","경기도 수원시 팔달구 매산로1가 11-9 세진브론즈빌 3호","경기도 수원시 팔달구 덕영대로 899, 세진브론즈빌 3층 (매산로1가)","41115","수원탑요양보호사교육원","2026-01-15 15:42:12","U","2026-01-17 02:40:00","","199957.882781959","418466.640408242","","","","",
"36","요양보호사교육기관","11_49_01_P","6410000","202564100001040002-20250114","2025-01-14","","01","영업/정상","0","운영","","","","","0312587474","","","경기도 수원시 팔달구 팔달로1가 11-5 405호","경기도 수원시 팔달구 정조로 802, 405호 (팔달로1가)","","함께요양보호사교육원","2026-01-15 18:00:45","U","2026-01-17 02:40:00","","","","","","","",
