"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"18","환경전문공사업","09_30_16_P","6530000","642000009201500022","2026-01-09","","01","영업/정상","N","신규","","","","","","","26349","강원특별자치도 원주시 호저면 만종리 217-1","강원특별자치도 원주시 호저면 우무개로 326","26349","(주)동성환경엔지니어링","2026-01-09 08:47:16","U","2026-01-11 02:40:00","","280935.024259656","429774.133074899","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"19","환경전문공사업","09_30_16_P","6440000","644000009202400024","2026-01-09","","01","영업/정상","N","신규","","","","","","","31791","충청남도 당진시 고대면 성산리 800번지","충청남도 당진시 고대면 성산로 232","31791","주식회사 다빈치","2026-01-09 16:12:43","U","2026-01-11 02:40:00","","162462.82970415","385193.273468011","0","환경전문공사업","0","","4427031025","31791","0","800","0","","","","","","44270","4427031025","0","3265057","","0","232","0","31791",
"20","환경전문공사업","09_30_16_P","6270000","627000009202600001","2026-01-12","","01","영업/정상","N","신규","","","","","","","41401","대구광역시 북구 읍내동 401번지","대구광역시 북구 칠곡중앙대로 654, 3층 301호 (읍내동)","41401","(주)태창이앤테크","2026-01-12 15:57:31","I","2026-01-14 00:20:02","","340185.315668956","273697.69807509","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"21","환경전문공사업","09_30_16_P","6470000","647000009202300045","2026-01-12","","01","영업/정상","N","신규","","","","","","","36751","경상북도 안동시 정하동 289-8","경상북도 안동시 강남7길 23-10 (정하동)","36751","(주)오빌이앤씨","2026-01-12 09:35:09","U","2026-01-14 02:40:00","","355195.816203915","340152.237070718","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"22","환경전문공사업","09_30_16_P","6530000","653000009202300013","2026-01-12","","01","영업/정상","N","신규","","","","","","","26349","강원특별자치도 원주시 호저면 만종리 328-8","강원특별자치도 원주시 호저면 우무개로 349, 2층층","26349","(주)우석이엔씨","2026-01-12 15:38:03","U","2026-01-14 02:40:00","","","","0","환경전문공사업","0","","5113032025","26349","0","328","8","","","","","","51130","5113032025","0","3219038","","0","349","0","26349",
"23","환경전문공사업","09_30_16_P","6410000","641000009202400326","2026-01-12","","01","영업/정상","N","신규","","","","","","","449-882","경기도 용인시처인구 남사면 봉명리  648번지","경기도 용인시 처인구 남사면 천덕산로11번길 49","449-882","(주)비룡","2026-01-12 09:46:03","U","2026-01-14 02:40:00","","209893.256705752","402308.33608469","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"24","환경전문공사업","09_30_16_P","6470000","647000009202500001","2025-02-01","","03","폐업","Q","폐업","2026-01-12","","","","","","40048","경상북도 성주군 선남면 선원리 659번지 일성보일러산업","경상북도 성주군 선남면 나선로 1002-26, 일성보일러산업","40048","(주)태창이앤테크","2026-01-12 11:02:59","U","2026-01-14 02:40:00","","324536.328353236","265078.773248557","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"25","환경전문공사업","09_30_16_P","6270000","627000009200600030","2026-01-13","","01","영업/정상","N","신규","","","","","","","42971","대구광역시 달성군 옥포읍 본리리 2597번지","대구광역시 달성군 옥포읍 비슬로447길 45-17","42971","(주)동덕이엔비","2026-01-13 19:40:03","U","2026-01-15 02:40:00","","332378.756115985","255947.788244498","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"26","환경전문공사업","09_30_16_P","6270000","627000009200600010","2026-01-13","","01","영업/정상","N","신규","","","","","","","704-919","대구광역시 달서구 신당동   1320번지 2호 이앤씨 이노비즈타워 1206호","대구광역시 달서구 달서대로 559 (신당동,이앤씨 이노비즈타워 1206호)","","(주)신세계엔텍","2026-01-13 19:23:56","U","2026-01-15 02:40:00","","334621.225167521","262044.332357665","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"27","환경전문공사업","09_30_16_P","6260000","626000009200800001","2026-01-13","","01","영업/정상","N","신규","","","","","","","619-952","부산광역시 기장군 장안읍 반룡리  850번지 장안일반산업단지","부산광역시 기장군 장안읍 장안산단1로 11","619-952","그린컨기술(주)","2026-01-13 16:28:55","U","2026-01-15 02:40:00","","405397.470560958","206746.790462324","0","환경전문공사업","0","","","","","","","","","","","","26710","2671025300","0","3140067","","0","11","","619952",
"28","환경전문공사업","09_30_16_P","3210000","321000067201400002","2014-10-20","","01","영업/정상","BBBB","영업","","","","","02-489-8419","","","서울특별시 서초구 염곡동 300-4","서울특별시 서초구 양재대로 246 (염곡동)","06792","에스지씨이앤씨 주식회사","2026-01-13 10:45:08","U","2026-01-15 02:40:00","","203908.342097327","440422.094963963","0","환경전문공사업","121","(주)산업공해연구소","4113310500","","1","358","11","","","3층","","","41133","4113310500","1","4337206","3층 (상대원동)","0","61","","",
"29","환경전문공사업","09_30_16_P","6440000","644000009202400009","2026-01-13","","01","영업/정상","N","신규","","","","","","","31074","충청남도 천안시 서북구 성성동 1001번지","충청남도 천안시 서북구 2공단4로 40-11, G1켐퍼스 1028호 (성성동)","31074","탑에코에너지(주)","2026-01-13 11:23:47","U","2026-01-15 02:40:00","","","","0","환경전문공사업","0","","4413310500","31074","0","1001","0","","","","","","44133","4413310500","1","3250004","G1켐퍼스","0","40","11","31074",
"30","환경전문공사업","09_30_16_P","6410000","641000009202600003","2026-01-14","","01","영업/정상","N","신규","","","","","","","14118","경기도 안양시 동안구 호계동 555-26","경기도 안양시 동안구 엘에스로116번길 91, 716호 (호계동)","14118","㈜빈텍코리아","2026-01-14 10:27:31","I","2026-01-16 00:20:02","","","","0","환경전문공사업","0","","4117310400","14118","0","555","26","","","","","","41173","4117310400","1","4349274","","0","91","0","14118",
"31","환경전문공사업","09_30_16_P","6410000","641000009202600004","2026-01-14","","01","영업/정상","N","신규","","","","","","","14058","경기도 안양시 동안구 관양동 911번지","경기도 안양시 동안구 흥안대로 457-27, 713호(관양동)","14058","(주)엔포텍디에스","2026-01-14 10:28:45","I","2026-01-16 00:20:02","","197591.734240012","432509.367799388","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"32","환경전문공사업","09_30_16_P","6410000","641000009202600005","2026-01-14","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 새솔동 99-1 501호","경기도 화성시 노들길 6-18, 5층 501호 (새솔동)","","청담환경기술 주식회사","2026-01-14 13:16:38","I","2026-01-16 00:20:02","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"33","환경전문공사업","09_30_16_P","6410000","641000009202600002","2026-01-14","","01","영업/정상","N","신규","","","","","","","","경기도 안양시 동안구 관양동 1594번지 아크로팰리스","경기도 안양시 동안구 시민대로 267, 아크로팰리스 1009호(관양동)","","지테크주식회사","2026-01-14 10:24:57","I","2026-01-16 00:20:02","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"34","환경전문공사업","09_30_16_P","3210000","321000067201400003","2014-10-20","","01","영업/정상","BBBB","영업","","","","","02-489-8419","","","서울특별시 서초구 염곡동 300-4","서울특별시 서초구 양재대로 246 (염곡동)","06792","에스지씨이앤씨 주식회사","2026-01-14 16:09:20","U","2026-01-16 02:40:00","","203908.342097327","440422.094963963","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"35","환경전문공사업","09_30_16_P","6410000","641000009202400270","2026-01-14","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 봉담읍 마하리 326번지","경기도 화성시 봉담읍 시청로 1542-5","","주식회사 선진테크윈","2026-01-14 15:56:38","U","2026-01-16 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"36","환경전문공사업","09_30_16_P","6410000","641000009202400015","2026-01-14","","01","영업/정상","N","신규","","","","","","","12084","경기도 남양주시 별내면 청학리 418-1 스파빌","경기도 남양주시 별내면 청학로 78, 스파빌","12084","(주)신성환경","2026-01-14 15:56:45","U","2026-01-16 02:40:00","","210389.923359462","467269.120496548","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"37","환경전문공사업","09_30_16_P","6410000","641000009202500202","2026-01-14","","01","영업/정상","N","신규","","","","","","","15433","경기도 안산시 단원구 원시동 768-1 대우테크노피아아파트 612호","경기도 안산시 단원구 산단로 296, 대우테크노피아아파트 612호 (원시동)","15433","(주)유니온환경","2026-01-14 13:10:14","U","2026-01-16 02:40:00","","181174.40591547","424448.569834666","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"38","환경전문공사업","09_30_16_P","6500000","650000009202200001","2026-01-14","","01","영업/정상","N","신규","","","","","","","","제주특별자치도 제주시 도남동 188-3 장성프로미스","제주특별자치도 제주시 원남6길 49, 3층(도남동, 장성 프로미스)","","(주)영아리환경기술","2026-01-14 18:23:57","U","2026-01-16 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"39","환경전문공사업","09_30_16_P","6410000","641000009202500061","2026-01-14","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 반월동 345-3 201호","경기도 화성시 효행로 1369, 201호 (반월동)","","(주)청녹엔텍","2026-01-14 13:11:40","U","2026-01-16 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"40","환경전문공사업","09_30_16_P","6410000","641000009202300262","2026-01-14","","01","영업/정상","N","신규","","","","","","","15578","경기도 안산시 상록구 사동 1574-9","경기도 안산시 상록구 성안2길 23 (사동)","15578","(주)지오그린텍","2026-01-14 13:11:25","U","2026-01-16 02:40:00","","185694.222784483","422262.810786926","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"41","환경전문공사업","09_30_16_P","6410000","641000009202500024","2026-01-14","","01","영업/정상","N","신규","","","","","","","12918","경기도 하남시 풍산동 489번지 미사테스타타워지식산업센터","경기도 하남시 미사강변서로 25, 미사테스타타워지식산업센터 839,840동 (풍산동)","12918","미령환경개발(주)","2026-01-14 13:11:35","U","2026-01-16 02:40:00","","216038.566179914","450059.249204826","0","환경전문공사업","0","","4145011000","12918","0","489","0","","","미사테스타타워지식산업센터","","","41450","4145011000","1","3202057","미사테스타타워지식산업센터","0","25","0","12918",
"42","환경전문공사업","09_30_16_P","6440000","644000009201100016","2016-10-17","","01","영업/정상","N","신규","","","","","","","336-011","충청남도 아산시 온양1동   1663","충청남도 아산시 시민로440번길 6 (온천동)","336-010","대형환경건설(주) - 대기","2016-10-17 13:52:20","D","2026-01-16 17:26:42","","200150.849702408","365143.008610982","","환경전문공사업","160","","","","","","","","","","","","","","","","","","","","",
"43","환경전문공사업","09_30_16_P","6440000","644000009200700030","2007-07-27","","03","폐업","Q","폐업","2009-08-31","","","","","","343-861","충청남도 당진군 정미면 덕마리  49번지 신성대학 산학협력관 412호","충청남도 당진시 정미면 대학로 1, 412호 (산학협력관)","343-861","(주)포인트시스템 - 폐업","2014-02-20 17:02:27","D","2026-01-16 17:26:42","","163557.608469845","372621.396822332","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","",
"44","환경전문공사업","09_30_16_P","6440000","644000009201800003","2018-08-10","","03","폐업","Q","폐업","2019-07-11","","","","","","31811","충청남도 당진시 합덕읍 운산리 900-1 영동빌딩,영동빌라 101호","충청남도 당진시 합덕읍 예덕로 418, 101호 (영동빌딩, 영동빌라)","31811","(주)스마트환경 - 대기","2019-07-11 17:31:44","D","2026-01-16 17:26:42","","179116.118098702","367763.816928669","","환경전문공사업","119.98","","","","","","","","","","","","","","","","","","","","",
"45","환경전문공사업","09_30_16_P","6440000","644000009200900002","2019-08-18","","01","영업/정상","N","신규","","","","","","","336-011","충청남도 아산시 온천1동   1663번지","충청남도 아산시 시민로440번길 6 (온천동)","336-010","대형환경건설(주) - 수질","2019-08-18 19:13:27","D","2026-01-16 17:26:42","","200150.849702408","365143.008610982","","환경전문공사업","160","","","","","","","","","","","","","","","","","","","","",
"46","환경전문공사업","09_30_16_P","6440000","644000009201300002","2017-01-13","","01","영업/정상","N","신규","","","","","","","","","충청남도 아산시 도고면 온천대로 609-29","336-912","(주)태동환경테크","2017-01-13 14:58:51","D","2026-01-16 17:26:42","","192913.04110919","362441.296265015","","환경전문공사업","96","","","","","","","","","","","","","","","","","","","","",
"47","환경전문공사업","09_30_16_P","6440000","644000009201400004","2019-05-28","","01","영업/정상","N","신규","","","","","","","","","충청남도 보령시 보령북로 98, 3층 (대천동)","33439","부경엔지니어링(주)","2019-05-28 07:43:30","D","2026-01-16 17:26:42","","163619.150337365","317038.41182565","","환경전문공사업","66","","","","","","","","","","","","","","","","","","","","",
"48","환경전문공사업","09_30_16_P","6440000","644000009201400015","2018-09-21","","01","영업/정상","N","신규","","","","","","","314-803","충청남도 공주시 신관동   393번지 7호","충청남도 공주시 관골1길 49, 2층 (신관동)","314-802","(주)우석건설","2018-09-21 13:34:51","D","2026-01-16 17:26:42","","211924.620594333","330358.467278617","","환경전문공사업","45","","","","","","","","","","","","","","","","","","","","",
"49","환경전문공사업","09_30_16_P","3220000","322000067201000019","2010-04-30","","01","영업/정상","BBBB","영업","","","","","34135350","","","서울특별시 강남구 개포동 13-3번지","서울특별시 강남구 개포로 623, 2031호 (개포동, 대청타워)","06336","(주)고도엔바","2017-08-29 10:14:46","D","2026-01-16 17:26:42","","206970.919291372","443574.411625824","","환경전문공사업","","","4121010100","423812","1","288","31","","","","","","41210","4121010100","1","4361034","(광명동)","0","4","","",
"50","환경전문공사업","09_30_16_P","5380000","538000067200900001","2009-05-25","","01","영업/정상","BBBB","영업","","","","","","","","경상남도 양산시 산막동 329-1","","","선두환경기술(주)","2023-10-31 13:23:50","D","2026-01-16 17:26:42","","386840.556482228","209865.534461936","0","환경전문공사업","215","","","","","","","","","","","","","","","","","","","","",
"51","환경전문공사업","09_30_16_P","5380000","538000067200900002","2009-06-09","","01","영업/정상","BBBB","영업","","","","","055-363-9383","","","경상남도 양산시 산막동 329-1","경상남도 양산시 산막공단북6길 31 (산막동)","626-120","선두환경기술(주)- 대기","2014-09-02 10:08:17","D","2026-01-16 17:26:42","","386840.556482228","209865.534461936","","환경전문공사업","","","4833010800","626120","1","329","1","","","","","","","","","","","","","","",
"52","환경전문공사업","09_30_16_P","6440000","644000009201900009","2019-07-23","","01","영업/정상","N","신규","","","","","","","314-803","충청남도 공주시 신관동   393번지 7호","충청남도 공주시 관골1길 49, 2층 (신관동)","314-802","(주)우석건설","2019-07-23 20:09:32","D","2026-01-16 17:26:42","","211924.620594333","330358.467278617","","환경전문공사업","45","","","","","","","","","","","","","","","","","","","","",
"53","환경전문공사업","09_30_16_P","6440000","644000009201900013","2019-10-18","","01","영업/정상","N","신규","","","","","","","31786","충청남도 당진시 대덕동 1016-2 네오서진건설(주)","충청남도 당진시 아미로 684, 네오서진건설(주) (대덕동)","31786","네오서진건설(주)","2019-10-18 15:39:52","D","2026-01-16 17:26:42","","167941.082280286","374627.027131224","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","",
"54","환경전문공사업","09_30_16_P","5670000","567018467202000001","2020-04-21","","01","영업/정상","BBBB","영업","","","","","055-281-7763","","","경상남도 창원시 마산회원구 봉암동 541 경남지능형홈산업화센터 2동 405호","경상남도 창원시 마산회원구 봉암북7길 21, 경남지능형홈산업화센터 2동 405호 (봉암동)","51347","신성이엔씨","2020-04-21 17:16:58","D","2026-01-16 17:26:42","","345448.520895791","192967.509392437","","환경전문공사업","63","그린파이너스(주)","4812112900","","1","6","10","","","","","","48121","4812112900","1","3327051","(팔용동)","0","68","","51402",
"55","환경전문공사업","09_30_16_P","5670000","567018467201300001","2013-12-04","","01","영업/정상","BBBB","영업","","","","","055-281-7763","","","경상남도 창원시 마산회원구 봉암동 541 경남지능형홈산업화센터","경상남도 창원시 마산회원구 봉암북7길 21, 경남지능형홈산업화센터 2동 405호 (봉암동)","51347","신성이엔씨","2019-12-13 13:34:28","D","2026-01-16 17:26:42","","345448.520895791","192967.509392437","","환경전문공사업","62","","","","","","","","","","","","","","","","","","","","",
"56","환경전문공사업","09_30_16_P","5670000","567018467202000002","2020-09-08","","01","영업/정상","BBBB","영업","","","","","055-256-7001","","","경상남도 창원시 마산회원구 석전동 258-4","경상남도 창원시 마산회원구 3·15대로 629 (석전동)","51304","태영엔지니어링(주)","2025-09-17 10:35:46","D","2026-01-16 17:26:42","","343352.463564679","193424.020688285","0","환경전문공사업","83","한국환경기계분석연구원(주)","4812916100","","1","1296","15","","","청안프리존빌딩","","502","48129","4812916100","1","3331045","청안프리존빌딩 502호 (두동)","0","166","","51600",
"57","환경전문공사업","09_30_16_P","5670000","567014067202000002","2020-08-28","","01","영업/정상","BBBB","영업","","","","","055-267-9991","","","경상남도 창원시 성산구 성산동 77-1 SK테크노파크","경상남도 창원시 성산구 완암로 50, SK테크노파크 714호 (성산동)","51573","한종산업개발 주식회사","2020-09-05 15:36:51","D","2026-01-16 17:26:42","","351434.354649109","190869.641679339","","환경전문공사업","108","(주)워트랩생활환경연구원","","","","","","","","","","","","","","","","","","","",
"58","환경전문공사업","09_30_16_P","6440000","644000009200700023","2019-03-18","","01","영업/정상","N","신규","","","","","","","331-200","충청남도 천안시 서북구 차암동   210번지 18호","충청남도 천안시 서북구 4산단로 64, 2층 (차암동)","331-200","(주)에스엠엔지니어링","2019-03-18 14:47:30","D","2026-01-16 17:26:42","","210210.963100017","371739.18281193","","환경전문공사업","184","","","","","","","","","","","","","","","","","","","","",
"59","환경전문공사업","09_30_16_P","6440000","644000009200800013","2025-12-02","","03","폐업","Q","폐업","2026-01-15","","","","","","","당진시 원당로 9-17","당진시 원당로 9-17","","서진산업(주)","2026-01-15 08:47:47","U","2026-01-17 02:40:00","","","","0","환경전문공사업","412","","","","","","","","","","","","","","","","","","","","",
"60","환경전문공사업","09_30_16_P","6470000","647000009201500020","2016-06-17","","03","폐업","Q","폐업","2026-01-14","","","","","","","","경북 경산시 압량면 일연로 115길 47","","영인산업(주)","2026-01-15 14:54:29","U","2026-01-17 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"61","환경전문공사업","09_30_16_P","5440000","544000067200900002","2009-08-08","","01","영업/정상","BBBB","영업","","","","","0558841048","","","경상남도 하동군 진교면 고룡리 3 미진스위트빌상가 201호","","","세강종합건설(주)","2026-01-15 14:21:26","U","2026-01-17 02:40:00","","282317.087623798","169476.848478106","404","환경전문공사업","178","(주)상록엔바이로","4817040028","660911","1","178","","","","(주)상록엔바이로","","","48170","4817040000","0","3332082","","0","696","","660910",
"62","환경전문공사업","09_30_16_P","3160000","316000067201000004","2010-10-22","","01","영업/정상","BBBB","영업","","","","","027675670","","","서울특별시 구로구 구로동 197-21 태평양물산빌딩","서울특별시 구로구 디지털로31길 12, 16~19층 (구로동, 태평양물산빌딩)","152-848","벽산엔지니어링(주)","2026-01-15 16:28:33","U","2026-01-17 02:40:00","","190648.446122433","442554.636221572","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
