"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"13","옥외광고업","04_15_01_P","3130000","2026313026808500001","2026-01-02","","01","영업/정상","20","정상","","","","","","","","","서울특별시 마포구 월드컵북로**안길 **-*, 지*층 (성산동)","03972","주식회사 금자탑애드텍","2026-01-02 16:01:13","I","2026-01-04 00:20:12","","192265.881071004","451413.05180366","광고물 제작 및 설치",
"14","옥외광고업","04_15_01_P","4251000","2004425005408200004","2004-09-20","","03","폐업","40","폐업","2025-04-21","","","","033 434 9707","","","강원특별자치도 홍천군 홍천읍 갈마곡리 ***-*","강원특별자치도 홍천군 홍천읍 홍천로 ***","25125","현수막일번지","2026-01-02 16:54:56","U","2026-01-04 02:40:00","","278903.100994584","466460.380104304","현수막",
"15","옥외광고업","04_15_01_P","3940000","2024396010708500009","2024-09-09","","01","영업/정상","20","정상","","","","","0319950131","","","","경기도 고양시 일산동구 호수로 ***, 엠비씨드림센터 (장항동)","10403","(주)엠비씨플러스","2026-01-02 14:31:38","U","2026-01-04 02:40:00","","179708.826286267","461404.803949418","유선 및 위성방송, 정보통신공사, 옥외광고대행",
"16","옥외광고업","04_15_01_P","3940000","2019396010708500018","2024-07-10","","01","영업/정상","20","정상","","","","","","","","","경기도 고양시 일산동구 장항로 ***-** (장항동)","10432","(주)드림애드앤프린팅그룹","2026-01-02 14:01:49","U","2026-01-04 02:40:00","","179998.976403122","459479.97157467","옥외광고업",
"17","옥외광고업","04_15_01_P","3680000","2001368004208200240","2001-09-27","","03","폐업","40","폐업","2025-12-30","","","","042 6345546","","","대전광역시 대덕구 오정동 **-*","대전광역시 대덕구 한밭대로***번길 ** (오정동)","306-010","삼마광고기획","2026-01-02 13:40:45","U","2026-01-04 02:40:00","","236750.206872325","317317.759778946","옥외광고물등 제작 및 설치",
"18","옥외광고업","04_15_01_P","3940000","2021396010708500017","2021-12-15","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 백석동 ****-*","경기도 고양시 일산동구 백석로**번길 *-**, *층 (백석동)","10420","글방광고앤모던라이팅","2026-01-02 14:34:02","U","2026-01-04 02:40:00","","181083.630748611","460603.929347","옥외광고물 제작·설치·시공",
"19","옥외광고업","04_15_01_P","3940000","2023396010708500006","2023-03-31","","01","영업/정상","20","정상","","","","","","","","","경기도 고양시 일산동구 공릉천로***번길 ** (설문동)","10254","남다른 간판","2026-01-02 14:46:46","U","2026-01-04 02:40:00","","183773.766522293","469003.274739572","광고물ㆍ게시시설 제작ㆍ표시ㆍ설치 및 옥외광고 대행",
"20","옥외광고업","04_15_01_P","3940000","2020396010708500006","2020-04-03","","01","영업/정상","20","정상","","","","","","","","","경기도 고양시 일산동구 고봉로 ***-**, *층 (설문동)","10245","디케이","2026-01-02 14:48:50","U","2026-01-04 02:40:00","","181111.581029993","468758.143567718","옥외광고업",
"21","옥외광고업","04_15_01_P","3940000","2025396010708500007","2025-07-29","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 성석동 ****-**","경기도 고양시 일산동구 감내길 ***-** (성석동)","10246","네온채널","2026-01-02 13:57:48","U","2026-01-04 02:40:00","","180973.349330993","468110.593906336","광고물 제작",
"22","옥외광고업","04_15_01_P","3940000","2025396010708500010","2025-09-25","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 풍동 * 더샵일산엘로이 *단지 ***동 ****호","경기도 고양시 일산동구 풍산로 **, 더샵일산엘로이 *단지 ***동 ****호 (풍동)","10309","엔제이디자인","2026-01-02 13:49:42","U","2026-01-04 02:40:00","","","","옥외광고물 디자인, 광고 기획, 광고 대행 등",
"23","옥외광고업","04_15_01_P","3940000","2025396010708500011","2025-09-30","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 식사동 ***-**","경기도 고양시 일산동구 고양대로****번길 ** (식사동)","10304","샛별광고","2026-01-02 13:46:34","U","2026-01-04 02:40:00","","183045.927179463","462795.661842696","옥외광고물제조",
"24","옥외광고업","04_15_01_P","3940000","2025396010708500008","2025-08-12","","01","영업/정상","20","정상","","","","","031 954 9541","","","경기도 고양시 일산동구 문봉동 ***-*","경기도 고양시 일산동구 문봉길 **-** (문봉동)","10257","주식회사 백상","2026-01-02 13:52:05","U","2026-01-04 02:40:00","","183962.911119925","466936.863019592","옥외광고업",
"25","옥외광고업","04_15_01_P","3940000","2025396010708500009","2025-09-12","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 지영동 ***-**","경기도 고양시 일산동구 지영로***번길 ***-**, *층 (지영동)","10256","케이엠환경디자인","2026-01-02 13:50:37","U","2026-01-04 02:40:00","","184952.247911733","467436.346368617","옥외광고물 제작",
"26","옥외광고업","04_15_01_P","4050000","2025405051008500007","2025-05-19","","01","영업/정상","20","정상","","","","","","","","경기도 용인시 처인구 포곡읍 둔전리 ***-*","경기도 용인시 처인구 포곡읍 포곡로***번길 **-*, *층","17027","다인기획","2026-01-02 15:04:33","U","2026-01-04 02:40:00","","219388.051537465","418970.983802535","현수막 등",
"27","옥외광고업","04_15_01_P","3940000","2025396010708500006","2025-07-08","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 장항동 *** 로데오탑 ***호","경기도 고양시 일산동구 무궁화로 **-**, 로데오탑 *층 ***호 (장항동)","10401","주식회사 탑","2026-01-02 13:59:25","U","2026-01-04 02:40:00","","179465.695319664","462041.899769362","광고물 제작",
"28","옥외광고업","04_15_01_P","3940000","2013396010708500006","2013-03-15","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 설문동 ***-**","경기도 고양시 일산동구 장진천길**번길 **-** (설문동)","410-818","(주)디자인새난","2026-01-02 14:44:08","U","2026-01-04 02:40:00","","183447.448638422","467697.373048833","옥외광고물 제작, 대행, 기획",
"29","옥외광고업","04_15_01_P","3940000","2000394000008200033","2000-06-16","","01","영업/정상","20","정상","","","","","031970 8113","","","경기도 고양시 일산동구 사리현동 ***-* 나동","경기도 고양시 일산동구 성현로***번길 ** (사리현동,나동)","","(주)디자인투맨","2026-01-02 14:03:02","U","2026-01-04 02:40:00","","185772.183448396","466144.814889499","광고물 제작, 설치, 표시, 대행",
"30","옥외광고업","04_15_01_P","3940000","2010396012508500012","2010-07-22","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 식사동 ***-*","경기도 고양시 일산동구 사리현로 * (식사동)","","(주)토탈싸인","2026-01-02 14:52:04","U","2026-01-04 02:40:00","","184138.612403862","465200.216302771","옥외광고업(제작,표시,설치,대행)",
"31","옥외광고업","04_15_01_P","3940000","2006410010708200001","2014-05-29","","01","영업/정상","20","정상","","","","","031 907 3188","","","경기도 고양시 일산동구 장항동 ***-* ***호","경기도 고양시 일산동구 정발산로 **-**, ***호 (장항동)","410-837","(주)애드플러스","2026-01-02 14:39:53","U","2026-01-04 02:40:00","","179849.580666893","461692.59774274","광고대행",
"32","옥외광고업","04_15_01_P","3940000","2018396010708500008","2017-03-13","","01","영업/정상","20","정상","","2024-09-26","2025-09-30","2025-11-19","031 905 8777","","","경기도 고양시 일산동구 백석동 ****-* 유니테크빌벤처타운","경기도 고양시 일산동구 일산로 ***, 유니테크빌벤처타운 ***호 (백석동)","10442","(주)동우디스플레이","2026-01-02 13:40:47","U","2026-01-04 02:40:00","","181727.683200933","460855.679685362","그래픽디자인업",
"33","옥외광고업","04_15_01_P","3940000","2009396012508500014","2025-11-13","","01","영업/정상","20","정상","","","","","031 906 2332","","","경기도 고양시 일산동구 장항동 ***-** A동","경기도 고양시 일산동구 장대길 ***-**, A동 (장항동)","10428","(주)가나기획","2026-01-02 14:00:34","U","2026-01-04 02:40:00","","179228.945543085","459952.309849615","옥외광고업",
"34","옥외광고업","04_15_01_P","3940000","2002394006308200006","2002-02-26","","01","영업/정상","20","정상","","","","","031 919 6928","","","경기도 고양시 일산동구 성석동 ****-** *층","경기도 고양시 일산동구 성현로 ** (성석동,*층)","","기린광고","2026-01-02 14:38:31","U","2026-01-04 02:40:00","","181340.067808074","467524.005392497","옥외광고업",
"35","옥외광고업","04_15_01_P","3940000","2014410010708500009","2014-12-17","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산서구 구산동 **-*","경기도 고양시 일산동구 노첨길 ** (장항동)","10432","아트싸인","2026-01-02 14:28:33","U","2026-01-04 02:40:00","","174546.806747719","465572.688794129","옥외광고물 제작 및 설치 납품",
"36","옥외광고업","04_15_01_P","3940000","2011396010708500005","2011-10-07","","01","영업/정상","20","정상","","","","","031 907 7895","","","경기도 고양시 일산동구 장항동 ***-**","경기도 고양시 일산동구 장항로 ***-***, 나동 (장항동)","10432","주식회사 디에이치피","2026-01-02 14:47:53","U","2026-01-04 02:40:00","","179942.097682839","459363.52813513","옥외광고업(제작,설치,표시,대행)",
"37","옥외광고업","04_15_01_P","3940000","2025396010708500001","2025-01-02","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 일산동구 장항동 ***-* 드림월드빌딩 ***호","경기도 고양시 일산동구 정발산로 **, 드림월드빌딩 ***호 (장항동)","10402","주식회사 시트모아","2026-01-02 14:35:17","U","2026-01-04 02:40:00","","179703.277546761","461593.64421342","광고물 제작, 광고대행, 설계",
"38","옥외광고업","04_15_01_P","4641000","2026466100908500001","2026-01-05","","01","영업/정상","20","정상","","","","","","","","","전북특별자치도 전주시 덕진구 매암길 ** (원동)","54802","바다디장인","2026-01-05 17:48:46","I","2026-01-07 00:20:36","","202389.677320893","263594.967723298","옥외광고업",
"39","옥외광고업","04_15_01_P","5340000","2026534025808500001","2026-01-04","","01","영업/정상","20","정상","","","","","","","","경상남도 사천시 사천읍 선인리 ***-*","경상남도 사천시 사천읍 선인길 **-**","52517","아이디어광고기획","2026-01-05 11:14:22","I","2026-01-07 00:20:36","","299894.682298733","176197.118890364","옥외광고물 설치 및 옥외광고 대행",
"40","옥외광고업","04_15_01_P","3410000","1996341001608200009","1996-10-24","","03","폐업","40","폐업","2026-01-05","","","","0534277949","","","대구광역시 중구 동인동*가 ***-*","대구광역시 중구 국채보상로***길 ** (동인동*가)","","칼라광고사","2026-01-05 10:52:34","U","2026-01-07 02:40:00","","345494.363848142","264663.86214413","옥외광고업",
"41","옥외광고업","04_15_01_P","3020000","2001302007708200104","2000-06-15","","02","휴업","30","휴업","","2024-08-16","2025-12-31","","02  796 2999","","","서울특별시 용산구 이촌동 ***-*** 반도아파트 *동 ***호","서울특별시 용산구 이촌로 ***-**, *동 ***호 (이촌동, 반도아파트)","04425","한스","2026-01-05 10:10:20","U","2026-01-07 02:40:00","","198343.562783292","446088.416295863","광고물제작 및 대행",
"42","옥외광고업","04_15_01_P","5090000","2012509010408500001","2012-04-16","","01","영업/정상","20","정상","","","","","","","","경상북도 영주시 가흥동 ****-**","경상북도 영주시 원당로**번길 ** (가흥동)","36101","굿디자인","2026-01-05 18:17:48","U","2026-01-07 02:40:00","","344313.106943994","369731.204363359","옥외광고(현수막,간판)",
"43","옥외광고업","04_15_01_P","5680000","2015568023308500003","2016-02-22","","01","영업/정상","20","정상","","","","","","","","충청남도 당진시 신평면 거산리 **-*","충청남도 당진시 신평면 거산*거리길 ** (삼육영어아카데미)","31748","(주)백두","2026-01-05 15:54:52","U","2026-01-07 02:40:00","","178043.417219138","375402.020559767","옥외광고업",
"44","옥외광고업","04_15_01_P","4500000","2022450029508500001","2026-01-02","","01","영업/정상","20","정상","","","","","","","","충청남도 공주시 교동 ***-*","충청남도 공주시 무령로 *** (교동)","32542","에스광고기획","2026-01-05 11:36:35","U","2026-01-07 02:40:00","","210814.879448565","328419.445267512","광고디자인, 인쇄물, 판촉물 광고제작",
"45","옥외광고업","04_15_01_P","3700000","2008370006908500021","2026-01-05","","03","폐업","40","폐업","2026-01-05","","","","052 223 5508","","","울산광역시 남구 야음동 ***-**","울산광역시 남구 처용로**번길 ** (야음동)","","동강현수막","2026-01-05 18:03:19","U","2026-01-07 02:40:00","","412095.026525793","226767.184155222","광고물제조및도소매",
"46","옥외광고업","04_15_01_P","3390000","2025339012108500012","2025-12-31","","01","영업/정상","20","정상","","","","","","","","","부산광역시 사상구 모라로 **, 부산벤처타워 /***호 (모라동)","46918","주식회사 에쓰엠텍","2026-01-05 17:24:03","U","2026-01-07 02:40:00","","380700.827195332","189776.290986029","옥외광고사업",
"47","옥외광고업","04_15_01_P","5670000","2024567050108500001","2026-01-05","","01","영업/정상","20","정상","","","","","","","","경상남도 창원시 성산구 용호동 **-* 라이크빌-*","경상남도 창원시 성산구 용지로***번길 **, *층 ***호 (용호동, 라이크빌-*)","51436","예스광고디자인","2026-01-05 14:49:17","U","2026-01-07 02:40:00","","352951.544723242","193645.197610782","광고물(간판) 기획 등",
"48","옥외광고업","04_15_01_P","5530000","2020553039408500006","2020-03-26","","01","영업/정상","20","정상","","","","","031 355 5129","","","경기도 화성시 마도면 송정리 **-*","경기도 화성시 마도면 송정로 ***-**","18540","주식회사 더존애드","2026-01-05 13:27:57","U","2026-01-07 02:40:00","","181490.21454905","413598.13774662","옥외광고물 제작",
"49","옥외광고업","04_15_01_P","3040000","2001304011508500276","2001-04-30","","03","폐업","40","폐업","2025-12-31","","","","024567123","","","서울특별시 광진구 광장동 ***-* 한수상가**호.**호","서울특별시 광진구 아차산로 ***, **,**호 (광장동, 한수상가)","143-752","(주)한송기업","2026-01-05 13:24:55","U","2026-01-07 02:40:00","","209345.941766315","449811.718207794","광고물제작",
"50","옥외광고업","04_15_01_P","5330000","2025533020908500002","2025-05-09","","01","영업/정상","20","정상","","","","","","","","경상남도 통영시 광도면 죽림리 ****-**","경상남도 통영시 광도면 죽림*로 **-**, *층","53016","브랜디","2026-01-05 10:27:16","U","2026-01-07 02:40:00","","329880.806716509","154105.771288316","광고물 제작 및 광고",
"51","옥외광고업","04_15_01_P","3620000","2000362001508200178","1996-01-18","","03","폐업","40","폐업","2025-08-11","","","","5125550","","","광주광역시 북구 중흥동 ***-*","광주광역시 북구 효죽로*번길 ** (중흥동)","","애드시티","2026-01-05 18:04:19","U","2026-01-07 02:40:00","","192294.094465801","185652.17375886","옥외광고물 제작",
"52","옥외광고업","04_15_01_P","3470000","1999347000008200234","2026-01-05","","01","영업/정상","20","정상","","","","","053 527 1014","","","대구광역시 달서구 본리동 ***-*","대구광역시 달서구 구마로 ** (본리동)","704-914","미미사","2026-01-06 09:05:08","U","2026-01-08 02:40:00","","338712.405065494","260816.491612801","광고물제작",
"53","옥외광고업","04_15_01_P","4060000","2026406047208500001","2026-01-07","","01","영업/정상","20","정상","","","","","","","","","경기도 파주시 하우*길 *** (야당동)","10909","주식회사 에이원애드피아","2026-01-07 14:39:07","I","2026-01-09 00:20:01","","179400.677482783","468724.260737532","옥외광고물 제작,설치",
"54","옥외광고업","04_15_01_P","4530000","2026453043708500002","2026-01-07","","01","영업/정상","20","정상","","","","","","","","충청남도 서산시 석남동 **-**","충청남도 서산시 동서*로 ***, *층 ***호 (석남동)","32004","디자인서산","2026-01-07 13:20:49","I","2026-01-09 00:20:01","","151644.275950458","362902.666574701","광고대행업",
"55","옥외광고업","04_15_01_P","4050000","2026405051008500001","2026-01-06","","01","영업/정상","20","정상","","","","","","","","경기도 용인시 기흥구 하갈동 ***-*","경기도 용인시 기흥구 청명산로 **-*, *층 (하갈동)","17098","사인핏","2026-01-06 10:07:39","I","2026-01-09 00:20:01","","208001.5259604","417224.57360431","옥외광고 설치 및 제작 등",
"56","옥외광고업","04_15_01_P","4641000","2026465100908500001","2026-01-05","","01","영업/정상","20","정상","","","","","","","","전북특별자치도 전주시 완산구 서노송동 ***-**","전북특별자치도 전주시 완산구 물왕멀*길 **-** (서노송동)","55006","엔젤솔루션","2026-01-06 09:12:02","I","2026-01-09 00:20:01","","213345.049085544","258484.885760851","간판 및 현수막 제작 시공",
"57","옥외광고업","04_15_01_P","3830000","2026384003908500001","2026-01-07","","01","영업/정상","20","정상","","","","","","","","경기도 안양시 만안구 석수동 ***-**","경기도 안양시 만안구 안양로***번길 **, ***호 (석수동)","13962","디자인올곧","2026-01-07 16:29:42","I","2026-01-09 00:20:01","","","","옥외광고물 제작",
"58","옥외광고업","04_15_01_P","3640000","2026364020908500001","2022-06-15","","01","영업/정상","20","정상","","","","","042 634 8228","","","대전광역시 동구 상소동 ***","대전광역시 동구 산내로***번길 *** (상소동)","34712","에바다, 대동자동차공업","2026-01-07 16:10:46","I","2026-01-09 00:20:01","","241183.276949535","302774.323994719","차량랩핑(광고)",
"59","옥외광고업","04_15_01_P","5600000","2026560018008500001","2026-01-02","","01","영업/정상","20","정상","","","","","","","","경기도 포천시 군내면 유교리 ***-*","경기도 포천시 군내면 연정말길 **, *층","11157","(주)행사의 신","2026-01-07 09:40:53","I","2026-01-09 00:20:01","","217470.191005834","483777.389982341","옥외광고업",
"60","옥외광고업","04_15_01_P","3420000","2026342017808500001","1996-10-24","","01","영업/정상","20","정상","","","","","0534277949","","","대구광역시 중구 동인동*가 ***-*","대구광역시 동구 동부로*길 **, *층 (신천동)","41263","칼라광고사","2026-01-06 09:27:50","I","2026-01-09 00:20:01","","345494.363848142","264663.86214413","옥외광고업",
"61","옥외광고업","04_15_01_P","3910000","2007391002808500019","2021-10-08","","01","영업/정상","20","정상","","","","","031 651 1544","","","경기도 평택시 팽성읍 송화리 ***","경기도 평택시 팽성읍 송화*길 **, ***~***호","17981","솜씨플러스","2026-01-07 15:08:53","U","2026-01-09 02:40:00","","204314.713794379","382781.618927894","옥외광고물 설치,제작",
"62","옥외광고업","04_15_01_P","3460000","2023346011808500004","2026-01-06","","01","영업/정상","20","정상","","","","","","","","","대구광역시 수성구 알파시티*로 **, *층 (노변동)","42251","샤이니디자인","2026-01-07 09:25:07","U","2026-01-09 02:40:00","","353180.854003794","260928.077579174","간판, 현수막",
"63","옥외광고업","04_15_01_P","3830000","2012385003308500005","2025-12-11","","01","영업/정상","20","정상","","","","","02 2263 0560","","","경기도 안양시 동안구 비산동 ****-**","경기도 안양시 동안구 관악대로 ***-*, 지천빌딩 *층 (비산동)","13941","(주) 도시환경개발","2026-01-06 17:47:47","U","2026-01-09 02:40:00","","195603.850083075","433360.689775774","간판,광고물제작 등",
"64","옥외광고업","04_15_01_P","3910000","2006391002808200008","2014-02-19","","01","영업/정상","20","정상","","","","","031 611 4074","","","경기도 평택시 진위면 은산리 ***-*","경기도 평택시 진위면 은산*길 **","17717","(주)클릭건설","2026-01-07 10:58:52","U","2026-01-09 02:40:00","","210259.167785129","398356.489253341","옥외광고업, 현수막 제작 설치",
"65","옥외광고업","04_15_01_P","3180000","2015318020008500013","2015-07-16","","03","폐업","40","폐업","2025-12-19","","","","","","","서울특별시 영등포구 양평동*가 **-*","서울특별시 영등포구 선유로**길 *-*, *층 (양평동*가, 백상빌딩)","07262","(주)정성광고기획","2026-01-06 13:55:15","U","2026-01-09 02:40:00","","190344.130611658","446892.263265829","옥외광고업대행(지하철광고)",
"66","옥외광고업","04_15_01_P","3380000","2013338004208500004","2025-01-07","","03","폐업","40","폐업","2026-01-07","","","","051 783 3832","","","부산광역시 수영구 남천동 **-* 로얄오피스텔 ***호","부산광역시 수영구 수영로 ***-* (남천동)","613-816","간판공장","2026-01-07 17:50:40","U","2026-01-09 02:40:00","","392128.255708793","184765.314836397","옥외광고물등 제작",
"67","옥외광고업","04_15_01_P","3340000","2004334004708200015","2017-10-11","","01","영업/정상","20","정상","","","","","051 201 2251","","","부산광역시 사하구 하단동 ***-**","부산광역시 사하구 하신중앙로 *** (하단동)","49428","광고기업연합","2026-01-07 09:27:05","U","2026-01-09 02:40:00","","378970.690272816","180117.22219132","광고물제작",
"68","옥외광고업","04_15_01_P","5700000","2015570004008500001","2015-01-15","","03","폐업","40","폐업","2025-12-31","","","","070 4133 845","","","경기도 여주시 점동면 ***","경기도 여주시 점동면 삼합리길 ***","469-873","(주)트래픽애드","2026-01-06 13:44:05","U","2026-01-09 02:40:00","","264832.451343436","412416.030339054","광고물제작 및 대행",
"69","옥외광고업","04_15_01_P","4231000","2003423001008200001","2003-02-06","","03","폐업","40","폐업","2025-12-22","","","","033 631 5655","","","강원특별자치도 속초시 청호동 ****-*","강원특별자치도 속초시 미리내*길 ** (청호동)","24885","영북광고","2026-01-07 13:22:54","U","2026-01-09 02:40:00","","339756.074473835","522332.927402208","광고물제작",
"70","옥외광고업","04_15_01_P","4251000","2005425005408200002","2025-12-31","","01","영업/정상","20","정상","","","","","033 434 1449","","","강원특별자치도 홍천군 홍천읍 연봉리 ***-*","강원특별자치도 홍천군 홍천읍 마지기로 *","25138","토탈광고기획","2026-01-06 15:16:57","U","2026-01-09 02:40:00","","276922.456166036","464997.706062586","광고물제작",
"71","옥외광고업","04_15_01_P","5380000","2024538032908500004","2024-04-04","","03","폐업","40","폐업","2025-12-29","","","","","","","경상남도 양산시 동면 금산리 ****-**","경상남도 양산시 동면 금오*길 **-**","50639","마백전기","2026-01-07 13:24:19","U","2026-01-09 02:40:00","","383965.642290154","203153.311408138","옥외 및 전시광고업",
"72","옥외광고업","04_15_01_P","5380000","2000538000008200065","2019-11-12","","02","휴업","30","휴업","","2025-12-15","9999-12-31","2021-05-12","055 3855504","","","경상남도 양산시 북정동 ***-* 서울밧데리","경상남도 양산시 신기로 ** (북정동)","50572","대진광고","2026-01-07 13:25:03","U","2026-01-09 02:40:00","","385682.974035091","208102.611020179","옥외광고 제작업",
"73","옥외광고업","04_15_01_P","5370000","1999537000008200006","2019-04-03","","01","영업/정상","20","정상","","","","","055 637 8275","","","경상남도 거제시 고현동 ***-*","경상남도 거제시 고현로 **-* (고현동)","","삼성광고디자인","2026-01-07 15:52:11","U","2026-01-09 02:40:00","","348126.696582152","155346.14970539","옥외광고물제작",
"74","옥외광고업","04_15_01_P","3740000","2003374005808200037","2008-06-10","","03","폐업","40","폐업","2026-01-07","","","","031 252 0555","","","경기도 수원시 팔달구 인계동 *** *** 동부빌딩 ***호","경기도 수원시 팔달구 장다리로 *** (인계동,*** 동부빌딩 ***호)","16481","조민기획","2026-01-07 16:51:44","U","2026-01-09 02:40:00","","202429.877141598","419111.96379962","옥외광고물 제작업",
"75","옥외광고업","04_15_01_P","3640000","2021364015708500010","2021-10-12","","03","폐업","40","폐업","2026-01-06","","","","","","","대전광역시 동구 판암동 ***","대전광역시 동구 용대길 **, *층 ***호 (판암동)","34667","이디스디자인","2026-01-06 16:35:44","U","2026-01-09 02:40:00","","240105.814029591","313780.239537902","간판제작 및 설치",
