"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"19","대규모점포","08_25_01_P","4070000","2013407008807500002","2013-08-06","","01","영업/정상","1","정상영업","","","","","031-640-0521","69930","467-821","경기도 이천시 호법면 단천리 산 48번지 1호","경기도 이천시 호법면 프리미엄아울렛로 177-74","467-821","롯데쇼핑(주) 프리미엄아울렛 이천점","2025-12-31 14:13:45","U","2026-01-03 02:40:00","복합쇼핑몰","235461.813044175","415640.639277805","대규모점포",
"20","대규모점포","08_25_01_P","4170000","2018417013407500001","2018-03-07","","01","영업/정상","1","정상영업","","","","","02-2145-8000","6085.75","","경기도 양평군 양평읍 공흥리 468-33 롯데마트","경기도 양평군 양평읍 남북로 76, 롯데마트","12560","롯데쇼핑(주)롯데마트 경기양평점","2026-01-02 14:59:43","U","2026-01-04 02:40:00","그 밖의 대규모점포","244381.267486222","443145.649076961","대규모점포",
"21","대규모점포","08_25_01_P","3420000","2010342009007500001","2010-07-13","","01","영업/정상","1","정상영업","","","","","053-965-9250","25448.82","701-220","대구광역시 동구 율하동 1117번지","대구광역시 동구 안심로 80 (율하동)","701-847","롯데쇼핑프라자 율하점","2026-01-02 09:33:51","U","2026-01-04 02:40:00","쇼핑센터","352868.53664899","264480.565484064","대규모점포",
"22","대규모점포","08_25_01_P","3420000","2011342011107500001","2011-04-26","","01","영업/정상","1","정상영업","","","","","945-2500","27231.15","701-170","대구광역시 동구 봉무동 1545번지","대구광역시 동구 팔공로49길 16 (봉무동)","701-170","롯데아울렛 이시아폴리스점","2026-01-02 09:17:26","U","2026-01-04 02:40:00","쇼핑센터","347690.434441289","270271.225719383","대규모점포",
"23","대규모점포","08_25_01_P","4950000","2016495010907500001","2016-11-08","","01","영업/정상","1","정상영업","","","","","02-2118-6854","36551.21","","전라남도 무안군 삼향읍 남악리 2622번지","전라남도 무안군 삼향읍 남악로162번길 80","58579","롯데쇼핑(주) 남악점","2026-01-02 18:07:27","U","2026-01-04 02:40:00","복합쇼핑몰","150976.298714347","145015.31300588","대규모점포",
"24","대규모점포","08_25_01_P","3200000","2012320019107500002","1997-11-07","","01","영업/정상","1","정상영업","","","","","02-3289-8728","21711.05","151-718","서울특별시 관악구 보라매동 729호 22통 롯데백화점","서울특별시  봉천로 209","151-718","롯데쇼핑(주) 관악점","2026-01-02 14:08:11","U","2026-01-04 02:40:00","복합쇼핑몰","193301.885808714","443151.561302292","대규모점포",
"25","대규모점포","08_25_01_P","3050000","2025305021007500003","2025-12-24","","01","영업/정상","1","정상영업","","","","","02-2006-2364","195","","서울특별시 동대문구 이문동 149-8 근린생활시설 2동 101호","서울특별시 동대문구 이문로 120 (이문동)","02418","GS THE FRESH 이문파크자이점","2026-01-02 09:40:22","U","2026-01-04 02:40:00","구분없음","205541.211931615","455132.605075423","준대규모점포",
"26","대규모점포","08_25_01_P","3740000","2003374001107500007","2003-11-20","","01","영업/정상","1","정상영업","","","","","031-240-2500","6535.57","","경기도 수원시장안구 천천동 525호","경기도 수원시 장안구 만석로19번길 25-10 (천천동)","","롯데쇼핑(주) 롯데마트 천천점","2026-01-02 13:36:54","U","2026-01-04 02:40:00","대형마트","198351.916669296","421604.975940414","대규모점포",
"27","대규모점포","08_25_01_P","3740000","2012374017307500001","2012-03-27","","01","영업/정상","1","정상영업","","","","","02-2145-8474","13912.61","","경기도 수원시 영통구 이의동 1332 광교C1 호반베르디움, Summit Place광교","경기도 수원시 영통구 센트럴타운로 85(이의동, 광교C1 호반베르디움, Summit Place광교)","16507","롯데쇼핑(주) 롯데마트 광교점","2026-01-02 13:36:39","U","2026-01-04 02:40:00","대형마트","204409.226022404","420967.617798492","대규모점포",
"28","대규모점포","08_25_01_P","3520000","2025352024107500001","2025-05-12","","01","영업/정상","1","정상영업","","","","","032-810-2500","9196.74","","인천광역시 연수구 청학동 502-4 롯데마트 연수점","인천광역시 연수구 청능대로 87, 롯데마트 연수점 (청학동)","21926","롯데마트 연수점","2026-01-02 15:34:30","U","2026-01-04 02:40:00","대형마트","171173.885129435","434824.628551534","대규모점포",
"29","대규모점포","08_25_01_P","3520000","2025352024107500002","2025-05-12","","01","영업/정상","1","정상영업","","","","","032-222-2523","10874","","인천광역시 연수구 송도동 6-11 롯데마트","인천광역시 연수구 컨벤시아대로 177, 롯데마트 (송도동)","21998","롯데마트 송도점","2026-01-02 15:34:10","U","2026-01-04 02:40:00","대형마트","168348.646973511","431855.205739156","대규모점포",
"30","대규모점포","08_25_01_P","4050000","2012405028807500002","2012-01-18","","01","영업/정상","1","정상영업","","","","","0313385601","1872","449-924","경기도 용인시 처인구 김량장동 13번지","경기도 용인시 처인구 백옥대로 1066 (김량장동)","449-924","롯데슈퍼 용인점","2026-01-02 18:54:41","U","2026-01-04 02:40:00","복합쇼핑몰","218609.119199767","414323.727786853","준대규모점포",
"31","대규모점포","08_25_01_P","4050000","2012405028807500003","2012-05-04","","01","영업/정상","1","정상영업","","","","","02-2145-8470","15152.38","446-597","경기도 용인시 기흥구 신갈동 62번지","경기도 용인시 기흥구 신갈로58번길 16 (신갈동)","446-597","롯데쇼핑(주) 롯데마트 신갈점","2026-01-02 18:55:23","U","2026-01-04 02:40:00","대형마트","209459.248962457","418917.232336063","대규모점포",
"32","대규모점포","08_25_01_P","3270000","2006327006407500001","2006-02-16","","01","영업/정상","1","정상영업","","","","1979-12-24","051  6459691","2511.4","601-806","부산광역시 동구 범일2동 290번지 3호","부산광역시 동구 범일로65번길 8 (범일동)","601-806","사단법인 부산남문시장번영회","2026-01-05 09:48:52","U","2026-01-07 02:40:00","그 밖의 대규모점포","387566.848456349","183802.134192251","대규모점포",
"33","대규모점포","08_25_01_P","5080000","2005508013307500003","2005-12-21","","01","영업/정상","1","정상영업","","","","","054 440 2501","21521","","경상북도 구미시 신평동 465호","경상북도 구미시 구미대로22길 11 (신평동)","730-071","롯데쇼핑(주)롯데마트구미점","2026-01-05 10:43:50","U","2026-01-07 02:40:00","복합쇼핑몰","322854.380277954","291225.602303128","대규모점포",
"34","대규모점포","08_25_01_P","3940000","2009394017807500002","1996-10-10","","01","영업/정상","1","정상영업","","","","","031-930-7008","11214.7","","경기도 고양시 덕양구 행신동 941 롯데마트 고양점","경기도 고양시 덕양구 충장로 150, 및 중앙로558번길 21 (행신동)","10495","롯데쇼핑(주) 롯데마트 고양점","2026-01-05 13:24:20","U","2026-01-07 02:40:00","대형마트","185469.285638831","458105.907013269","대규모점포",
"35","대규모점포","08_25_01_P","3940000","2000394000007500023","2000-01-10","","01","영업/정상","1","정상영업","","","","","910-3312,3315,3323","9665","","경기도 고양시일산서구 주엽동 15호","경기도 고양시 일산서구 중앙로 1496 (주엽동, 문촌마을11단지아파트)","411-748","롯데쇼핑(주) 롯데마트 주엽점","2026-01-05 13:24:47","U","2026-01-07 02:40:00","대형마트","178348.883331191","463464.183725362","대규모점포",
"36","대규모점포","08_25_01_P","3940000","2001394005707500024","2001-05-26","","01","영업/정상","1","정상영업","","","","","947-2500, 930-2011","6916.04","","경기도 고양시덕양구 화정동 982호","경기도 고양시 덕양구 화중로 66 (화정동)","412-827","롯데쇼핑(주) 롯데마트 화정점","2026-01-05 10:49:57","U","2026-01-07 02:40:00","대형마트","185024.681774615","458969.125315118","대규모점포",
"37","대규모점포","08_25_01_P","3000000","2003300007607500003","2003-10-20","","01","영업/정상","1","정상영업","","","","","0222770114","4612.66","110-126","서울특별시 종로구 종로6가 289번지 57호","서울특별시 종로구 종로 272 (종로6가)","110-126","동대문종합시장 신관","2026-01-05 13:50:49","U","2026-01-07 02:40:00","복합쇼핑몰","200647.01325068","452054.764927519","대규모점포",
"38","대규모점포","08_25_01_P","5530000","2020553038907500001","2020-05-08","","01","영업/정상","1","정상영업","","","","","031-320-4298","76978.9","","경기도 화성시 오산동 967-157 동탄역 롯데캐슬","경기도 화성시 동탄역로 160, 동탄역 롯데캐슬 (오산동)","18478","롯데백화점 동탄점","2026-01-05 16:29:04","U","2026-01-07 02:40:00","백화점","208569.642431686","410949.263462028","대규모점포",
"39","대규모점포","08_25_01_P","3290000","2011329008507500002","2011-04-22","","01","영업/정상","1","정상영업","","","","","051-608-2500","15674.78","614-091","부산광역시 부산진구 부암1동 257번지","부산광역시 부산진구 신천대로 241 (부암동)","614-837","롯데쇼핑(주) 롯데키즈마트 부산점","2026-01-05 16:25:09","U","2026-01-07 02:40:00","대형마트","386646.262710145","186822.941472238","대규모점포",
"40","대규모점포","08_25_01_P","5670000","2018567056607500002","2018-12-20","","03","폐업","3","폐업처리","2026-01-05","","","","055-714-8291","578.51","","경상남도 창원시 의창구 사림동 106번지 6호","경상남도 창원시 의창구 사림로45번길 8 (사림동)","51143","(주)이마트에브리데이 창원사림점","2026-01-05 16:03:51","U","2026-01-07 02:40:00","그 밖의 대규모점포","352662.39135862","195573.118375138","준대규모점포",
"41","대규모점포","08_25_01_P","3320000","2001332005907500001","2001-03-24","","01","영업/정상","1","정상영업","","","","","051-604-2552","8579.51","","부산광역시 북구 화명동 2273호","부산광역시 북구 화명대로 47 (화명동, 롯데마트(화명점))","616-744","롯데쇼핑(주)롯데마트화명점","2026-01-06 13:31:05","U","2026-01-09 02:40:00","대형마트","383175.025396512","194733.01249893","대규모점포",
"42","대규모점포","08_25_01_P","4000000","2011400010607500001","2011-11-28","","01","영업/정상","1","정상영업","","","","","031-375-5602","427.7","447-802","경기도 오산시 오산동 877번지 21호","경기도 오산시 대원로15번길 17 (오산동)","447-802","롯데쇼핑(주)롯데슈퍼 오산점","2026-01-06 16:42:06","U","2026-01-09 02:40:00","구분없음","206134.694133401","405121.782352674","준대규모점포",
"43","대규모점포","08_25_01_P","4520000","2012452030107500001","2012-10-30","","01","영업/정상","1","정상영업","","","","","041-570-2521","21456.18","","충청남도 아산시 모종동 555번지 5호 아산시외버스터미널복합시설","충청남도 아산시 번영로 225, 아산시외버스터미널복합시설 (모종동)","31522","롯데마트 터미널점","2026-01-06 09:16:01","U","2026-01-09 02:40:00","대형마트","201341.191554264","364818.034415495","대규모점포",
"44","대규모점포","08_25_01_P","3670000","2001367001407500001","2001-10-16","","01","영업/정상","1","정상영업","","","","","042-540-2500","16205.68","","대전광역시 유성구 원내동 33호 외 19필지","대전광역시 유성구 유성대로 26-37 (원내동)","305-252","롯데쇼핑(주) 롯데마트 서대전점","2026-01-06 13:59:18","U","2026-01-09 02:40:00","백화점","228962.548245134","311265.617953081","대규모점포",
"45","대규모점포","08_25_01_P","3670000","2007367007507500001","2007-11-14","","01","영업/정상","1","정상영업","","","","","042-930-2521","18409.34","305-509","대전광역시 유성구 관평동 887번지","대전광역시 유성구 테크노중앙로 14 (관평동)","305-509","롯데쇼핑(주)롯데마트 대덕테크노밸리점","2026-01-06 13:59:31","U","2026-01-09 02:40:00","전문점","234616.595769579","325170.14934764","대규모점포",
"46","대규모점포","08_25_01_P","3670000","2008367009007500002","2008-10-15","","01","영업/정상","1","정상영업","","","","","042-820-8321","10119.72","305-358","대전광역시 유성구 하기동 519번지","대전광역시 유성구 북유성대로 206 (하기동)","305-358","롯데쇼핑(주)롯데마트 노은점","2026-01-06 14:02:26","U","2026-01-09 02:40:00","백화점","228791.561904026","320417.927035738","대규모점포",
"47","대규모점포","08_25_01_P","5350000","2004535010107500002","2004-08-12","","01","영업/정상","1","정상영업","","","","","055 311 2500","11125.31","","경상남도 김해시 대청동 300 롯데마트","경상남도 김해시 번화1로56번길 15, 롯데마트 (대청동)","51004","롯데쇼핑(주) 롯데마트장유점","2026-01-06 13:25:20","U","2026-01-09 02:40:00","대형마트","363984.907414338","189687.574572712","대규모점포",
"48","대규모점포","08_25_01_P","3250000","2009325008307500001","2009-11-30","","01","영업/정상","1","정상영업","","","","","678-2500","104322","600-017","부산광역시 중구 중앙동7가","부산광역시 중구 중앙대로 2 (중앙동7가)","600-017","롯데백화점 광복점","2026-01-07 13:50:37","U","2026-01-09 02:40:00","백화점","385590.814676765","179553.867031936","대규모점포",
"49","대규모점포","08_25_01_P","3250000","2011325008307500001","2011-01-05","","01","영업/정상","1","정상영업","","","","","0516782500","12347","600-017","부산광역시 중구 중앙동7가 20번지 1호","부산광역시 중구 중앙대로 2 (중앙동7가)","600-017","롯데마트 광복점","2026-01-07 13:49:26","U","2026-01-09 02:40:00","대형마트","385590.814676765","179553.867031936","대규모점포",
"50","대규모점포","08_25_01_P","3250000","2014325008307500001","2014-07-23","","01","영업/정상","1","정상영업","","","","","051-678-2500","3331.35","","","부산광역시 중구 중앙대로 2 (중앙동7가)","600-017","롯데전문점 광복점","2026-01-07 13:50:18","U","2026-01-09 02:40:00","전문점","385590.814676765","179553.867031936","대규모점포",
"51","대규모점포","08_25_01_P","4281000","2011428008307500001","2011-11-04","","01","영업/정상","1","정상영업","","","","","033-335-5601","654.25","232-948","강원특별자치도 평창군 진부면 하진부리 206번지 9호","강원특별자치도 평창군 진부면 진부시장뒷길 57-3","232-940","롯데쇼핑(주)롯데슈퍼평창진부점","2026-01-07 13:30:20","U","2026-01-09 02:40:00","복합쇼핑몰","337498.910963726","460723.341252456","준대규모점포",
"52","대규모점포","08_25_01_P","6510000","2007651001907500002","2007-08-08","","01","영업/정상","1","정상영업","","","","","064-798-2500","11235.53","","제주특별자치도 제주시 노형동 708번지 외 2필지","제주특별자치도 제주시 연북로 1 (노형동,외 2필지)","","롯데쇼핑(주) 롯데마트제주점","2026-01-07 15:11:05","U","2026-01-09 02:40:00","대형마트","151724.182129656","-1426.12446748641","대규모점포",
"53","대규모점포","08_25_01_P","3780000","2000378000007530007","1999-03-26","","01","영업/정상","1","정상영업","","","","","031-738-2500","22347.85","","경기도 성남시 분당구 수내동 14번지","경기도 성남시 분당구 황새울로200번길 45 (수내동, 롯데백화점)","13595","롯데백화점 분당점","2026-01-07 09:47:28","U","2026-01-09 02:40:00","백화점","210053.033510874","430715.591035213","대규모점포",
"54","대규모점포","08_25_01_P","3780000","2013378021907500001","2013-01-15","","01","영업/정상","1","정상영업","","","","","02-2145-8000","6214.88","463-400","경기도 성남시 분당구 삼평동 741번지","경기도 성남시 분당구 대왕판교로606번길 58 (삼평동)","","롯데마트 판교점","2026-01-07 09:40:47","U","2026-01-09 02:40:00","대형마트","209993.600292929","432609.081811328","대규모점포",
"55","대규모점포","08_25_01_P","3000000","1991300007607500001","1991-07-31","","01","영업/정상","1","정상영업","","","","","0222620209","55081.94","110-784","서울특별시 종로구 종로6가 289번지 3 호","서울특별시 종로구 종로 266 (종로6가)","110-784","동대문종합시장","2026-01-06 13:54:03","U","2026-01-09 02:40:00","그 밖의 대규모점포","200717.7490316","452011.865092338","대규모점포",
"56","대규모점포","08_25_01_P","5530000","2008553018707500001","2008-12-17","","03","폐업","3","폐업처리","2025-12-31","","","","031-8012-6613","5233","445-893","경기도 화성시 봉담읍 동화리 597번지 1호","경기도 화성시 봉담읍 동화길 81-16","445-893","하나로마트 봉담점","2026-01-07 09:07:51","U","2026-01-09 02:40:00","복합쇼핑몰","196298.667303854","412856.90918779","대규모점포",
"57","대규모점포","08_25_01_P","5370000","2015537016507500001","2015-01-21","","01","영업/정상","1","정상영업","","","","","055-680-5801","10876.03","","경상남도 거제시 옥포동 443번지 옥포아파트","경상남도 거제시 서간도길 9-9 (옥포동, 거제엘크루랜드마크,롯데마트)","53227","롯데쇼핑(주) 롯데마트 거제점","2026-01-06 13:44:04","U","2026-01-09 02:40:00","대형마트","354141.686293625","155958.799201757","대규모점포",
"58","대규모점포","08_25_01_P","3920000","2009392005707500001","2009-10-15","","01","영업/정상","1","정상영업","","","","","0318302521","8798.06","483-010","경기도 동두천시 송내동 551번지","경기도 동두천시 평화로2169번길 21 (송내동)","483-010","롯데쇼핑(주) 롯데마트 동두천점","2026-01-06 13:38:33","U","2026-01-09 02:40:00","대형마트","204589.217640042","486451.318446758","대규모점포",
"59","대규모점포","08_25_01_P","5670000","2015567047107500002","2011-04-01","","01","영업/정상","1","정상영업","","","","","055-719-5213","2459.5","","","경상남도 창원시 마산회원구 내서읍 경남대로 927 (롯데마트 삼계점)","51236","롯데마트 삼계점","2026-01-06 17:46:35","U","2026-01-09 02:40:00","그 밖의 대규모점포","336854.926637507","193664.997477032","준대규모점포",
"60","대규모점포","08_25_01_P","4000000","2025400019407500001","2026-01-06","","01","영업/정상","1","정상영업","","","","","031-371-2501","8575","","경기도 오산시 오산동 868 롯데마트오산점","경기도 오산시 경기대로 271, 롯데마트오산점 (오산동)","18135","롯데쇼핑(주)롯데마트","2026-01-06 16:41:48","U","2026-01-09 02:40:00","대형마트","206416.225089197","405292.957866229","대규모점포",
"61","대규모점포","08_25_01_P","4400000","2011440018107500001","2011-05-20","","01","영업/정상","1","정상영업","","","","","043-641-1051","8257.41","390-160","충청북도 제천시 강제동 684번지","충청북도 제천시 장평천로 11 (강제동)","","(주)이마트 제천점","2026-01-07 09:29:31","U","2026-01-09 02:40:00","대형마트","308612.065962418","403106.413353613","대규모점포",
"62","대규모점포","08_25_01_P","4400000","2012440020907500001","2012-04-20","","01","영업/정상","1","정상영업","","","","","043-640-2600","4067","","","충청북도 제천시 용두대로 111 (하소동)","390-240","롯데쇼핑(주) 롯데마트 제천점","2026-01-06 11:36:27","U","2026-01-09 02:40:00","복합쇼핑몰","306621.778539108","404931.341312042","대규모점포",
"63","대규모점포","08_25_01_P","4060000","2012406029207500006","2012-05-23","","03","폐업","3","폐업처리","2026-01-05","","","","031-948-9489","980.75","","","경기도 파주시 시청로 190 (아동동)","10850","이마트에브리데이 팜스프링점","2026-01-07 09:14:51","U","2026-01-09 02:40:00","구분없음","180355.254248507","474266.843537213","준대규모점포",
"64","대규모점포","08_25_01_P","3910000","2011391024407500002","2011-11-25","","01","영업/정상","1","정상영업","","2025-09-11","2026-09-10","2025-09-11","031-686-5601","887.6","451-885","경기도 평택시 안중읍 현화리 323번지 1호","경기도 평택시 안중읍 안중믿음길 50-6","451-885","롯데슈퍼 주식회사 미친데이 안중점","2026-01-06 17:05:25","U","2026-01-09 02:40:00","구분없음","192967.232439378","387072.994089902","준대규모점포",
"65","대규모점포","08_25_01_P","3010000","2012301010007500002","1979-12-27","","01","영업/정상","1","정상영업","","","","1997-12-27","02-772-3871","59979.25","","","서울특별시 중구 남대문로 81 (소공동)","100-721","롯데백화점 본점","2026-01-08 13:26:13","U","2026-01-10 02:40:00","백화점","198259.65357739","451392.198218657","대규모점포",
"66","대규모점포","08_25_01_P","5380000","2004538012907500001","2004-12-24","","01","영업/정상","1","정상영업","","","","","055-379-2500","8595.08","626-270","경상남도 양산시 삼호동 7B-1L외18필지","경상남도 양산시 삼호1길 34 (삼호동)","626-270","롯데쇼핑(주) 롯데마트 웅상점","2026-01-08 17:09:02","U","2026-01-10 02:40:00","대형마트","396764.399355907","214721.460538956","대규모점포",
"67","대규모점포","08_25_01_P","3510500","2010351009207500001","1997-11-08","","01","영업/정상","1","정상영업","","","","","032-728-2221","59168.33","","인천광역시 미추홀구 관교동 15번지","인천광역시 미추홀구 연남로 35 (관교동)","22242","롯데쇼핑(주)인천점","2026-01-08 14:36:43","U","2026-01-10 02:40:00","백화점","173499.267314606","437739.32138498","대규모점포",
"68","대규모점포","08_25_01_P","3080000","2006308009207500001","2006-12-14","","01","영업/정상","1","정상영업","","","","","02   9442500","45651.37","","서울특별시 강북구 미아동 70번지 6   호","서울특별시 강북구 도봉로 62 (미아동)","142-804","롯데백화점 미아점","2026-01-08 09:35:30","U","2026-01-10 02:40:00","복합쇼핑몰","202625.646264572","456875.973976242","대규모점포",
