"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"25","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320144070023087500021","2014-11-10","","03","폐업","03","폐업","2025-12-30","","","","637-8010","","467-800","경기도 이천시 중리동 213번지","경기도 이천시 중리천로 76, 112호 (중리동, 이천라온팰리스)","17374","세븐일레븐 이천라온팰리스점","2025-12-30 14:39:27","U","2026-01-03 02:40:00","","239461.390091394","419701.557736528","65.45",
"26","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320184070023087500013","2018-03-27","","03","폐업","03","폐업","2025-12-30","","","","","","","경기도 이천시 백사면 송말리 105번지 9호","경기도 이천시 백사면 이여로 467","17309","세븐일레븐 이천이여로점","2025-12-30 14:39:37","U","2026-01-03 02:40:00","","242930.049745606","425945.670959219","123",
"27","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320154070023087500010","2015-06-24","","03","폐업","03","폐업","2025-12-31","","","","031-641-3130","","467-906","경기도 이천시 장호원읍 장호원리 161번지 3호","경기도 이천시 장호원읍 장여로37번길 33","17418","세븐일레븐 이천장호원 성공점","2025-12-31 15:22:30","U","2026-01-03 02:40:00","","255877.256793954","402229.92162304","56",
"28","안전상비의약품 판매업소","01_01_05_P","3830000","PHMH320173830197087500034","2017-05-24","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 만안구 석수동 324번지 3호","경기도 안양시 만안구 안양로468번길 26, 1층 (석수동)","13967","GS25석수다성점","2025-12-30 16:04:43","U","2026-01-03 02:40:00","","","","42",
"29","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320164070023087500032","2016-08-01","","03","폐업","03","폐업","2025-12-31","","","","","","","","경기도 이천시 모가면 공원로 216-4","17407","세븐일레븐 남이천ic점","2025-12-31 15:22:08","U","2026-01-03 02:40:00","","240906.300724517","409087.438301003","95",
"30","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320124070023087500105","2012-12-28","","03","폐업","03","폐업","2025-12-29","","","","632-3115","","467-811","경기도 이천시 마장면 관리 536번지 14호 외 1필지","경기도 이천시 마장면 마도로 102","17382","씨유 이천관리점","2025-12-30 14:39:56","U","2026-01-03 02:40:00","","231374.631691831","418097.745016184","96",
"31","안전상비의약품 판매업소","01_01_05_P","4070000","PHMH320124070023087500020","2012-11-09","","03","폐업","03","폐업","2025-12-31","","","","031-632-5942","","467-120","경기도 이천시 단월동 731번지","경기도 이천시 진상미로 1855 (단월동)","17400","GS25 이천단월점","2025-12-31 15:21:57","U","2026-01-03 02:40:00","","239974.752192146","412511.696805637","52.89",
"32","안전상비의약품 판매업소","01_01_05_P","5590000","PHMH320125590021087500039","2012-11-12","","03","폐업","03","폐업","2025-12-30","","","","031-855-7872","","","","경기도 양주시 백석읍 양주산성로 545","11513","GS25양주가야점","2025-12-31 14:36:17","U","2026-01-03 02:40:00","","199358.332867147","475993.852234429","0",
"33","안전상비의약품 판매업소","01_01_05_P","4050000","PHMH320164050149087500031","2016-12-02","","03","폐업","03","폐업","2025-12-31","","","","0312122770","","","경기도 용인시 수지구 상현동 1107번지","경기도 용인시 수지구 법조로 251 (상현동, 광교마을광교웅진스타클래스1단지)","16941","GS25 광교웅진점","2025-12-31 18:04:55","U","2026-01-03 02:40:00","","206475.277604857","422092.067275039","43.68",
"34","안전상비의약품 판매업소","01_01_05_P","5350000","PHMH320195350029087500040","2019-08-28","","01","영업/정상","13","영업중","","","","","055-335-1150","","","경상남도 김해시 삼방동 177번지 4호","경상남도 김해시 활천로267번길 19 (삼방동)","50818","지에스(GS25)김해삼방점","2025-12-31 10:33:49","U","2026-01-03 02:40:00","","373617.489562909","195606.376321177","0",
"35","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320224060023087500020","2022-04-13","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 와동동 1400-4","경기도 파주시 가온로 184, 1층 108호 (와동동)","10897","지에스25 호수공원럭키","2025-12-31 11:08:34","U","2026-01-03 02:40:00","","178144.816385403","468652.199832724","0",
"36","안전상비의약품 판매업소","01_01_05_P","4211000","PHMH320224210020087500006","2022-04-05","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 동해시 송정동 848-11","강원특별자치도 동해시 송정중앙로 53-2(송정동)","25786","세븐일레븐 동해송정점","2025-12-30 13:45:12","U","2026-01-03 02:40:00","","387948.924441159","446144.560839162","123",
"37","안전상비의약품 판매업소","01_01_05_P","4211000","PHMH320124210020087500005","2012-11-08","","03","폐업","03","폐업","2025-12-30","","","","033-535-6954","","","","강원특별자치도 동해시 발한로 207-1 (발한동)","25720","씨유동해발한점","2025-12-30 13:44:13","U","2026-01-03 02:40:00","","386276.228367235","451633.841026484","60",
"38","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320194060023087500045","2019-10-07","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 문발동 524번지 3호 아시아출판문화정보센터","경기도 파주시 회동길 145, 아시아출판문화정보센터 1층 (문발동)","10881","GS25 출판도시점","2025-12-31 11:03:53","U","2026-01-03 02:40:00","","172303.263979203","467361.580155734","132.62",
"39","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320214640131087500057","2021-09-24","","01","영업/정상","13","영업중","","","","","","","","","전북특별자치도 전주시 완산구 배학3길 1, 1층 (효자동3가)","54964","씨유뉴효자원룸점","2025-12-30 11:53:04","U","2026-01-03 02:40:00","","208677.666996263","257742.631126289","0",
"40","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320214640131087500060","2021-10-08","","03","폐업","03","폐업","2025-12-30","","","","","","","","전북특별자치도 전주시 완산구 효천천변길 24, 1층 101호 (효자동2가)","55079","세븐일레븐 전주효천점","2025-12-30 13:53:41","U","2026-01-03 02:40:00","","209163.870426643","255751.406771377","0",
"41","안전상비의약품 판매업소","01_01_05_P","5420000","PHMH320225420013087500003","2022-02-16","","03","폐업","03","폐업","2023-07-30","","","","","","","경상남도 고성군 고성읍 서외리 158-1","경상남도 고성군 고성읍 성내로 75","52936","7-ELEVEN 고성푸르미르점","2025-12-30 11:53:53","U","2026-01-03 02:40:00","","320233.609560551","164937.049319324","59.33",
"42","안전상비의약품 판매업소","01_01_05_P","3420000","PHMH320223420023087500003","2022-02-22","","03","폐업","03","폐업","2025-12-30","","","","","","","대구광역시 동구 입석동 930-4","대구광역시 동구 동촌로8길 18(입석동)","41154","씨유동촌화성타운점","2025-12-30 16:08:55","U","2026-01-03 02:40:00","","348624.812832474","266680.945361493","56.6",
"43","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320224640131087500088","2022-11-10","","03","폐업","03","폐업","2025-12-26","","","","","","","전북특별자치도 전주시 완산구 중화산동2가 771-1","전북특별자치도 전주시 완산구 효자로 282(중화산동2가)","54975","지에스25전주화산리본점","2025-12-30 12:24:36","U","2026-01-03 02:40:00","","210443.206685326","257645.777324855","0",
"44","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320224060023087500013","2022-03-18","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 와동동 1562","경기도 파주시 가람로51번길 13, 106호 (와동동)","10870","지에스(GS)25 운정젠틀점","2025-12-31 11:08:54","U","2026-01-03 02:40:00","","178369.379982275","470296.303566562","0",
"45","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320184200028087500004","2018-01-17","","03","폐업","03","폐업","2025-12-31","","","","","","","강원특별자치도 강릉시 포남동 935번지","강원특별자치도 강릉시 난설헌로 131-4 (포남동)","25471","씨유강릉녹색도시점","2025-12-31 18:10:49","U","2026-01-03 02:40:00","","367932.967369657","477779.94853531","98",
"46","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320124200028087500109","2012-11-15","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","033-655-0774","","210-320","강원특별자치도 강릉시 지변동 251번지 7호","강원특별자치도 강릉시 지변길 2 (지변동)","25457","GS25 강릉원주대점","2026-01-01 16:24:05","U","2026-01-03 02:40:00","","365103.960101758","476190.996479083","0",
"47","안전상비의약품 판매업소","01_01_05_P","4281000","PHMH320164280009087500004","2021-07-28","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 용평면 속사리 442","강원특별자치도 평창군 용평면 운두령로 8-3","25312","지에스25 평창속사IC점","2025-12-31 10:27:57","U","2026-01-03 02:40:00","","332022.294862871","460628.360474341","60",
"48","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320164200028087500006","2016-01-22","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","033-651-1219","","","강원특별자치도 강릉시 입암동 107번지 1호","강원특별자치도 강릉시 월대산로 59 (입암동)","25578","GS25입암대로점","2026-01-01 16:31:02","U","2026-01-03 02:40:00","","368872.5496535","474808.296157337","1",
"49","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320204200028087500057","2020-12-31","","03","폐업","03","폐업","2025-12-24","","","","","","","강원특별자치도 강릉시 교동 1889-8","강원특별자치도 강릉시 정원로 48, 1층 (교동)","25515","지에스(GS)25 교동온누리점","2025-12-31 09:45:27","U","2026-01-03 02:40:00","","365292.662572265","474974.196092047","2",
"50","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320214200028087500010","2021-05-21","","02","휴업","02","휴업","","2025-12-29","2026-05-31","","","","","강원특별자치도 강릉시 교동 1885-9","강원특별자치도 강릉시 솔올로5번길 40, 1층 102호 (교동)","25515","세븐일레븐 강릉교동스타점","2025-12-31 09:45:37","U","2026-01-03 02:40:00","","365199.458952565","475137.884682519","2",
"51","안전상비의약품 판매업소","01_01_05_P","4271000","PHMH320164270014087500003","2016-04-05","","01","영업/정상","13","영업중","","","","","033-372-0801","","","강원특별자치도 영월군 남면 729번지","강원특별자치도 영월군 남면 강원남로 641","26218","태경에프앤지(주) 동강휴게소","2025-12-31 15:06:56","U","2026-01-03 02:40:00","","320310.552327543","409231.987019287","75.47",
"52","안전상비의약품 판매업소","01_01_05_P","4201000","PHMH320164200028087500011","2016-02-25","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","","","","강원특별자치도 강릉시 지변동 257번지 1호","강원특별자치도 강릉시 지변길 16, 1층 (지변동)","25457","씨유강릉대원룸점","2026-01-01 16:23:37","U","2026-01-03 02:40:00","","364967.060826285","476184.664322134","1",
"53","안전상비의약품 판매업소","01_01_05_P","3860000","PHMH320243860577087500014","2024-06-26","","03","폐업","03","폐업","2025-12-30","","","","","","","경기도 부천시 소사구 옥길동 701-1 부천옥길엘에이치1단지","경기도 부천시 소사구 양지로 134, 상가동 1층 101,102,103호 (옥길동, 부천옥길엘에이치1단지)","14784","(주)에스에스컴퍼니 씨유옥길본점","2025-12-30 16:49:14","U","2026-01-03 02:40:00","","183758.716143645","440967.210783209","90.56",
"54","안전상비의약품 판매업소","01_01_05_P","3390000","PHMH320133390023087500011","2013-05-20","","03","폐업","03","폐업","2025-12-31","","","","","","","","부산광역시 사상구 사상로 451 (모라동)","46924","대박Time마트","2025-12-31 10:20:50","U","2026-01-03 02:40:00","","380869.179185108","189102.483813617","0",
"55","안전상비의약품 판매업소","01_01_05_P","3400000","PHMH320173400013087500011","2017-06-21","","01","영업/정상","13","영업중","","","","","051-727-5984","","","","부산광역시 기장군 정관읍 정관4로 24, 501동 105호","46016","GS25 정관동일점","2025-12-30 10:01:58","U","2026-01-03 02:40:00","","397218.009053384","204903.216935529","100",
"56","안전상비의약품 판매업소","01_01_05_P","3690000","PHMH320123690018087500041","2012-12-21","","01","영업/정상","13","영업중","","","","","052-293-4936","","","","울산광역시 중구 북부순환도로 887 (서동)","44481","세븐일레븐울산서동점","2025-12-30 20:55:48","U","2026-01-03 02:40:00","","412679.079497117","233782.05154556","50",
"57","안전상비의약품 판매업소","01_01_05_P","3710000","PHMH320163710033087500005","2016-04-21","","01","영업/정상","13","영업중","","","","","","","","울산광역시 동구 화정동 949 힐스테이트 이스턴베이","울산광역시 동구 화진길 100, 상가2동 103~104호 (화정동, 힐스테이트 이스턴베이)","44082","CU화정엠코타운점","2025-12-31 18:11:06","U","2026-01-03 02:40:00","","419870.019178176","224101.572434738","54",
"58","안전상비의약품 판매업소","01_01_05_P","3530000","PHMH320203530019087500016","2020-03-27","","03","폐업","03","폐업","2025-12-31","","","","","","","인천광역시 남동구 서창동 744번지","인천광역시 남동구 운연천로 7 (서창동)","21611","세븐일레븐서창은서점","2025-12-31 20:56:39","U","2026-01-03 02:40:00","","178532.03792186","436204.6261891","80",
"59","안전상비의약품 판매업소","01_01_05_P","3420000","PHMH320203420023087500012","2020-03-25","","03","폐업","03","폐업","2025-12-29","","","","","","","대구광역시 동구 용계동 157번지 16호","대구광역시 동구 반야월로 45, 1층 (용계동)","41124","세븐일레븐 대구용계대로점","2025-12-30 14:48:14","U","2026-01-03 02:40:00","","352863.934047258","265098.472014237","1",
"60","안전상비의약품 판매업소","01_01_05_P","4620000","PHMH320204620040087500004","2020-03-31","","03","폐업","03","폐업","2025-12-31","","","","","","","","충청남도 태안군 태안읍 동문3길 3","32143","세븐일레븐태안행복중앙점","2026-01-01 11:26:33","U","2026-01-03 02:40:00","","137735.18005145","361065.415676464","3",
"61","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320174640131087500001","2017-01-03","","01","영업/정상","13","영업중","","","","","","","","","전북특별자치도 전주시 완산구 농소1길 1, 1층 (효자동3가)","54965","씨유효자솔하우스점","2025-12-30 11:53:15","U","2026-01-03 02:40:00","","208679.493246163","257097.203132003","0",
"62","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320214060023087500079","2021-12-28","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 당하동 549-1","경기도 파주시 별하람로 53, S001동 102,103,104호 (당하동)","10869","지에스25 운정별하람점","2025-12-31 10:58:26","U","2026-01-03 02:40:00","","178920.730186642","470995.977317913","0",
"63","안전상비의약품 판매업소","01_01_05_P","4090000","PHMH320234090023087500019","2023-06-01","","03","폐업","03","폐업","2025-12-30","","","","1577-0711","","","경기도 김포시 감정동 517-1 쌍용아파트","경기도 김포시 중봉로58번길 60, 쌍용아파트 1층 102호,103호 (감정동)","10102","(주)코리아세븐 김포쌍용점","2025-12-30 18:18:46","U","2026-01-03 02:40:00","","173222.298206086","458110.166338055","79.2",
"64","안전상비의약품 판매업소","01_01_05_P","3050000","PHMH320243050034087500012","2024-03-27","","03","폐업","03","폐업","2025-12-31","","","","02-1577-8007","","","서울특별시 동대문구 이문동 264-445","서울특별시 동대문구 천장산로 47, 1층 나 12, 13호 (이문동)","02448","씨유(CU) 이문삼성","2025-12-31 14:36:06","U","2026-01-03 02:40:00","","204991.594354689","455332.294541678","0",
"65","안전상비의약품 판매업소","01_01_05_P","3120000","PHMH320243120033087500010","2024-04-12","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 서대문구 연희동 609 1층","서울특별시 서대문구 증가로 83, 1층 (연희동)","03700","지에스(GS)25 서대문연희점","2025-12-31 14:23:02","U","2026-01-03 02:40:00","","193467.836973469","452491.540026141","0",
"66","안전상비의약품 판매업소","01_01_05_P","3650000","PHMH320123650023087500070","2012-11-19","","03","폐업","03","폐업","2025-12-31","","","","255-0554","","301-840","대전광역시 중구 중촌동 17번지 2호","대전광역시 중구 목중로26번길 35 (중촌동)","34812","GS25 현대중촌점","2025-12-31 13:52:45","U","2026-01-03 02:40:00","","236961.977343965","315258.070771879","66",
"67","안전상비의약품 판매업소","01_01_05_P","3320000","PHMH320213320045087500024","2021-11-17","","03","폐업","03","폐업","2025-12-31","","","","","","","부산광역시 북구 금곡동 98-1 금곡2단지주공아파트","부산광역시 북구 금곡대로616번길 10-7, 상가(7701)동 105, 108호 (금곡동, 금곡2단지주공아파트)","46507","지에스(GS)25 금곡주공점","2025-12-31 14:35:06","U","2026-01-03 02:40:00","","383322.180242206","197560.128736023","68.49",
"68","안전상비의약품 판매업소","01_01_05_P","3740000","PHMH320213740032087500050","2021-11-30","","03","폐업","03","폐업","2025-12-29","","","","","","","경기도 수원시 권선구 세류동 152-37","경기도 수원시 권선구 정조로588번길 20, 1층 (세류동)","16577","세븐일레븐 수원권선세류점","2025-12-30 14:34:07","U","2026-01-03 02:40:00","","201229.212572828","417659.979710935","0",
"69","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320214060023087500078","2021-12-02","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 와동동 1567-5","경기도 파주시 가람로51번길 16-34, 102호 (와동동)","10870","씨유 운정신도시점","2025-12-31 11:09:13","U","2026-01-03 02:40:00","","178566.197342672","470363.502443908","79.2",
"70","안전상비의약품 판매업소","01_01_05_P","4620000","PHMH320214620040087500011","2021-12-09","","03","폐업","03","폐업","2025-12-31","","","","","","","충청남도 태안군 태안읍 남문리 720-9","충청남도 태안군 태안읍 군청8길 22-16","32144","세븐일레븐 태안행복점","2026-01-01 11:26:46","U","2026-01-03 02:40:00","","137593.642570814","360625.967867565","3",
"71","안전상비의약품 판매업소","01_01_05_P","3540000","PHMH320253540021087500026","2025-11-26","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 삼산동 460-3 SM프라자 1층 104호","인천광역시 부평구 충선로209번길 13, SM프라자 1층 104호 (삼산동)","21344","씨유 삼산바른점","2025-12-30 09:32:15","U","2026-01-03 02:40:00","","176537.125","445107.025","0",
"72","안전상비의약품 판매업소","01_01_05_P","4490000","PHMH320254490261087500019","2025-12-22","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 업성동 484-10","충청남도 천안시 서북구 번영로 608 (업성동)","31077","엔마트 천안점","2025-12-31 10:38:37","U","2026-01-03 02:40:00","","211287.263601068","372256.115655256","0",
"73","안전상비의약품 판매업소","01_01_05_P","4060000","PHMH320184060023087500036","2018-08-07","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 목동동 1149 힐스테이트 운정","경기도 파주시 교하로 100, 940동 116~117호 (목동동, 힐스테이트 운정)","10891","씨유 운정힐스테이트점","2025-12-31 11:04:29","U","2026-01-03 02:40:00","","176466.766632528","469093.368737977","78",
