"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"17","건설폐기물처리업","09_30_05_P","5020000","502000092201900006","2019-07-22","","01","영업/정상","BBBB","영업","","","","","0542546367","","","경상북도 포항시 북구 흥해읍 용전리 719-88","경상북도 포항시 북구 흥해읍 용전길147번길 7-5","37532","(주)서전환경개발","2026-01-02 10:38:56","U","2026-01-04 02:40:00","","409848.685457696","293595.117430203","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"18","건설폐기물처리업","09_30_05_P","3620000","362000092201900005","2019-12-09","","01","영업/정상","BBBB","영업","","","","","0629557199","","","광주광역시 광산구 신창동 849-5","","","(주)대림이앤티","2026-01-02 17:09:42","U","2026-01-04 02:40:00","","185131.645642476","186584.657487578","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"19","건설폐기물처리업","09_30_05_P","5160000","516000092200300001","2003-04-01","","01","영업/정상","BBBB","영업","","","","","0548746969","","763-811","경상북도 청송군 진보면 월전리 227","경상북도 청송군 진보면 경동로 4525","763-811","(주)대광아스콘","2026-01-02 09:20:33","U","2026-01-04 02:40:00","","385527.76176381","339479.959978747","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","10937.3","",
"20","건설폐기물처리업","09_30_05_P","3510500","351050092200800002","2019-09-26","","03","폐업","2","폐업","2019-09-26","","","","0328889244","","","인천광역시 연수구 옥련동 550-3 송도프라자 3층 304호","인천광역시 연수구 인권로 2, 송도프라자 3층 304호 (옥련동)","21945","(주)승은개발","2026-01-02 18:01:11","U","2026-01-04 02:40:00","","169055.075169454","435128.83234938","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"21","건설폐기물처리업","09_30_05_P","4090000","409000092201600001","2016-04-25","","01","영업/정상","BBBB","영업","","","","","031-982-1317","","","경기도 김포시 사우동 204-10","경기도 김포시 돌문로 95, 203호 (사우동)","10108","(주)하나개발","2026-01-02 15:39:59","U","2026-01-04 02:40:00","","174611.516038325","457725.506843659","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"22","건설폐기물처리업","09_30_05_P","5020000","502000092202400001","2024-03-22","","01","영업/정상","BBBB","영업","","","","","0542839009","","","경상북도 포항시 남구 대송면 대각리 291","경상북도 포항시 남구 대송면 철강산단로 12-21","37875","(주)부일기업","2026-01-02 10:36:16","U","2026-01-04 02:40:00","","413386.085150094","275244.41418504","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"23","건설폐기물처리업","09_30_05_P","4641000","464100092202100002","2021-06-10","","02","휴업","1","휴업","","2024-09-06","","","","","","전북특별자치도 전주시 완산구 중인동 115-4","전북특별자치도 전주시 완산구 장교로 4-10 (중인동)","55074","유한회사 이에스전주","2026-01-02 15:50:53","U","2026-01-04 02:40:00","","209735.143141904","253795.701142231","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"24","건설폐기물처리업","09_30_05_P","5710000","571000092202500003","2025-08-21","","01","영업/정상","BBBB","영업","","","","","0432854040","","","충청북도 청주시 서원구 장암동 481","충청북도 청주시 서원구 3순환로 242 (장암동)","28805","(주)대한철거산업","2026-01-02 15:21:47","U","2026-01-04 02:40:00","","243180.528652126","342646.778767948","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"25","건설폐기물처리업","09_30_05_P","3190000","319000092201000002","2024-08-12","","01","영업/정상","BBBB","영업","","","","","028329800","","156-011","서울특별시 동작구 신대방동 719 동작상떼빌 105동 210호","서울특별시 동작구 신대방1가길 38 (신대방동,동작상떼빌 105동 210호)","","(주)삼정이앤티","2026-01-02 11:09:16","U","2026-01-04 02:40:00","","191691.678396263","442818.113681285","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"26","건설폐기물처리업","09_30_05_P","4050000","405000092200600006","2025-09-02","","01","영업/정상","BBBB","영업","","","","","0313231004","","449-884","경기도 용인시 처인구 남사읍 통삼리 619-2 외4필지(619-2,14,10,20)","경기도 용인시 처인구 남사읍 경기동로 52","17118","(주)지솔알이에이치","2026-01-02 18:02:54","U","2026-01-04 02:40:00","","211781.539806266","404910.194991874","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"27","건설폐기물처리업","09_30_05_P","3400000","340000092201000001","2010-07-05","","01","영업/정상","BBBB","영업","","","","","0519413445","","","부산광역시 기장군 정관읍 예림리 184-1","부산광역시 기장군 정관면 산단로 632-78","","대성환경산업","2026-01-04 08:31:50","U","2026-01-06 02:40:00","","401495.034234409","204556.214605514","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","990","",
"28","건설폐기물처리업","09_30_05_P","3660000","366000092200700003","2007-09-28","","01","영업/정상","BBBB","영업","","","","","0422708862","","302-150","대전광역시 서구 둔산동 1420 대전광역시청","대전광역시 서구 둔산로 100, 대전광역시청 (둔산동)","35242","대전광역시 건설관리본부","2026-01-04 11:00:14","U","2026-01-06 02:40:00","","234473.013243674","316662.429832668","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"29","건설폐기물처리업","09_30_05_P","3670000","367000092201500003","2015-04-20","","01","영업/정상","BBBB","영업","","","","","042-826-5301","","","대전광역시 유성구 구암동 630-5","대전광역시 유성구 월드컵대로245번길 29 (구암동)","34182","가가환경(주)","2026-01-04 14:13:48","U","2026-01-06 02:40:00","","229382.556528005","316627.238736769","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"30","건설폐기물처리업","09_30_05_P","3860000","386000092202500002","2026-01-05","","01","영업/정상","BBBB","영업","","","","","","","","경기도 부천시 원미구 심곡동 383-8 프리존 빌딩","경기도 부천시 원미구 부일로 448, 프리존 빌딩 4층 401-28호 (심곡동)","14637","대영붕붕이","2026-01-05 10:38:20","I","2026-01-07 00:20:36","","180480.705338028","442664.19813911","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"31","건설폐기물처리업","09_30_05_P","5000000","500000092202300001","2023-11-02","","03","폐업","2","폐업","2026-01-05","","","","","","","전라남도 진도군 고군면 고성리 321-3","전라남도 진도군 고군면 오일시2길 118","58909","대원환경","2026-01-05 20:53:43","U","2026-01-07 02:40:00","","136908.658841141","111645.154213948","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"32","건설폐기물처리업","09_30_05_P","3280000","328000092199600001","2021-08-03","","01","영업/정상","BBBB","영업","","","","","051 403 6677","","606-821","부산광역시 영도구 청학동 155-54","부산광역시 영도구 해양로 155 (청학동)","606-821","남일환경산업","2026-01-05 15:34:03","U","2026-01-07 02:40:00","","387846.932858451","178904.726728665","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"33","건설폐기물처리업","09_30_05_P","3280000","328000092200700001","2007-01-26","","01","영업/정상","BBBB","영업","","","","","051 403 6677","","606-821","부산광역시 영도구 청학동 155-54","부산광역시 영도구 해양로 155 (청학동)","606-821","남일환경산업","2026-01-05 15:34:03","U","2026-01-07 02:40:00","","387846.932858451","178904.726728665","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"34","건설폐기물처리업","09_30_05_P","3280000","328000092200600002","2006-03-10","","01","영업/정상","BBBB","영업","","","","","051 403 6677","","606-821","부산광역시 영도구 청학동 155-54","부산광역시 영도구 해양로 155 (청학동)","606-821","남일환경산업","2026-01-05 15:34:03","U","2026-01-07 02:40:00","","387846.932858451","178904.726728665","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"35","건설폐기물처리업","09_30_05_P","5310000","531000092200600003","2021-05-20","","01","영업/정상","BBBB","영업","","","","","0557596666","","","경상남도 진주시 지수면 압사리 78-1","경상남도 진주시 지수면 용봉로 81","","동건환경(주)","2026-01-05 18:28:17","U","2026-01-07 02:40:00","","314669.747533867","192928.874832125","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"36","건설폐기물처리업","09_30_05_P","4181000","418100092200500003","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0332611234","","","강원특별자치도 춘천시 신동면 혈동리 607-1","강원특별자치도 춘천시 신동면 한치로 495","24411","주식회사 강토개발","2026-01-05 15:45:57","U","2026-01-07 02:40:00","","259809.044603012","475857.84367573","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"37","건설폐기물처리업","09_30_05_P","4181000","418100092200800001","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0332611234","","","강원특별자치도 춘천시 신동면 혈동리 607-1","강원특별자치도 춘천시 신동면 한치로 495","24411","주식회사 강토개발","2026-01-05 15:45:57","U","2026-01-07 02:40:00","","259809.044603012","475857.84367573","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","19900","",
"38","건설폐기물처리업","09_30_05_P","3670000","367000092201900002","2019-07-18","","01","영업/정상","BBBB","영업","","","","","042-633-9300","","","대전광역시 유성구 봉산동 709-1 유진공영","대전광역시 유성구 봉산북로 18, 유진공영 (봉산동)","34003","거산철거환경","2026-01-05 09:59:55","U","2026-01-07 02:40:00","","234293.162925543","327366.195318669","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"39","건설폐기물처리업","09_30_05_P","4351000","435100092200200001","2025-10-23","","01","영업/정상","BBBB","영업","","","","","671-1592","","","강원특별자치도 양양군 현남면 지경리 134-5","강원특별자치도 양양군 현남면 지경길 9-39","25058","(주)양지산업","2026-01-05 16:20:23","U","2026-01-07 02:40:00","","358364.200925875","491875.564745227","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12000","",
"40","건설폐기물처리업","09_30_05_P","4820000","482000092200200001","2002-04-22","","01","영업/정상","BBBB","영업","","","","","061-723-4088","","540-320","전라남도 순천시 서면 구상리 198-1","전라남도 순천시 서면 매천로 421","57903","(주)동아환경","2026-01-05 18:11:49","U","2026-01-07 02:40:00","","249891.776718737","165919.875225778","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","263","",
"41","건설폐기물처리업","09_30_05_P","4900000","490000092202400002","2024-08-23","","01","영업/정상","BBBB","영업","","","","","","","","전라남도 화순군 화순읍 다지리 345-2","전라남도 화순군 화순읍 충의로 250","58133","상호환경","2026-01-05 15:32:27","U","2026-01-07 02:40:00","","199835.870973171","171994.717177488","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"42","건설폐기물처리업","09_30_05_P","4090000","409000092202400001","2024-04-12","","01","영업/정상","BBBB","영업","","","","","","","","경기도 김포시 사우동 240","경기도 김포시 사우중로 35-27, 2층 201-1호 (사우동)","10108","선일환경","2026-01-05 18:00:02","U","2026-01-07 02:40:00","","174921.828883468","457455.255933504","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"43","건설폐기물처리업","09_30_05_P","4201000","420100092202400004","2024-02-22","","01","영업/정상","BBBB","영업","","","","","0336510488","","","강원특별자치도 강릉시 노암동 312-10","강원특별자치도 강릉시 노가니길 24-1 (노암동)","25587","천호건설산업환경","2026-01-05 15:13:40","U","2026-01-07 02:40:00","","367466.951283854","473440.431718512","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"44","건설폐기물처리업","09_30_05_P","5020000","502000092201400001","2016-02-11","","01","영업/정상","BBBB","영업","","","","","054-278-4491","","","","경상북도 포항시 북구 흥해읍 덕장길 218","791-945","서현개발(주)","2026-01-05 10:14:58","U","2026-01-07 02:40:00","","409926.605840043","296605.468107744","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"45","건설폐기물처리업","09_30_05_P","5020000","502000092201500003","2025-09-04","","01","영업/정상","BBBB","영업","","","","","2627801","","791-942","경상북도 포항시 북구 흥해읍 용천리 1141-32","경상북도 포항시 북구 흥해읍 동해대로1954번길 23-20","37531","우광산업(주)","2026-01-05 16:56:59","U","2026-01-07 02:40:00","","411442.42575175","296881.242339603","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"46","건설폐기물처리업","09_30_05_P","5020000","502000092201600003","2016-05-11","","01","영업/정상","BBBB","영업","","","","","2627801","","791-942","경상북도 포항시 북구 흥해읍 용천리 1141-32","경상북도 포항시 북구 흥해읍 동해대로1954번길 23-20","37531","우광산업(주)","2026-01-05 16:56:59","U","2026-01-07 02:40:00","","411442.42575175","296881.242339603","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","600","",
"47","건설폐기물처리업","09_30_05_P","4781000","478100092200700001","2025-09-08","","01","영업/정상","BBBB","영업","","","","","0635621061","","","전북특별자치도 고창군 성내면 조동리 413-2","전북특별자치도 고창군 성내면 둥둥바우길 118-170","585-812","(주)진영이엔티","2026-01-05 17:23:39","U","2026-01-07 02:40:00","","177588.994307079","228424.649952437","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","17600","",
"48","건설폐기물처리업","09_30_05_P","3670000","367000092201500001","2025-12-30","","01","영업/정상","BBBB","영업","","","","","042-633-9300","","","대전광역시 유성구 봉산동 709-1 유진공영","대전광역시 유성구 봉산북로 18, 유진공영 (봉산동)","34003","거산철거환경","2026-01-05 09:59:55","U","2026-01-07 02:40:00","","234293.162925543","327366.195318669","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"49","건설폐기물처리업","09_30_05_P","3310000","331000092200700001","2007-11-30","","01","영업/정상","BBBB","영업","","","","","051-645-8866","","","부산광역시 남구 문현동 1219","부산광역시 남구 우암로 282 (문현동)","48478","주식회사 거창기업","2026-01-05 14:36:32","U","2026-01-07 02:40:00","","388430.634909209","182875.426639169","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"50","건설폐기물처리업","09_30_05_P","5480000","548000092200500001","2004-12-20","","01","영업/정상","BBBB","영업","","","","","055-932-9200","","678-811","경상남도 합천군 율곡면 두사리 275","경상남도 합천군 율곡면 황강옥전로 292-3","50243","㈜상원엔텍","2026-01-05 15:16:42","U","2026-01-07 02:40:00","","310977.430040361","234548.244350955","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","20476","",
"51","건설폐기물처리업","09_30_05_P","3150000","315000092199500008","1995-12-06","","01","영업/정상","BBBB","영업","","","","","02-2663-5746","","157-230","서울특별시 강서구 개화동 324","서울특별시 강서구 금낭화로26가길 152-10 (개화동)","07501","주식회사 천일에너지 강서허브","2026-01-05 16:29:17","U","2026-01-07 02:40:00","","183338.583360203","453705.701830779","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","1050","",
"52","건설폐기물처리업","09_30_05_P","4050000","405000092202500002","2026-01-07","","01","영업/정상","BBBB","영업","","","","","","","","경기도 용인시 처인구 남사읍 봉무리 482-2","경기도 용인시 처인구 남사읍 처인성로 223, 3호","17118","(주)제이비산업","2026-01-07 13:30:55","I","2026-01-09 00:20:01","","213539.810601147","401448.695640959","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"53","건설폐기물처리업","09_30_05_P","5070000","507000092200600012","2023-08-22","","01","영업/정상","BBBB","영업","","","","","0548586377","","","경상북도 안동시 수하동 797-68","경상북도 안동시 앙실2길 83 (수하동)","760-420","대성골재(주)","2026-01-06 14:31:05","U","2026-01-09 02:40:00","","350156.983983475","341311.225440358","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","36000","",
"54","건설폐기물처리업","09_30_05_P","5070000","507000092200900004","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0548586377","","","경상북도 안동시 수하동 797-68","경상북도 안동시 앙실2길 83 (수하동)","760-420","대성골재(주)","2026-01-06 14:31:05","U","2026-01-09 02:40:00","","350156.983983475","341311.225440358","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"55","건설폐기물처리업","09_30_05_P","4600000","460000092199900001","2022-11-15","","01","영업/정상","BBBB","영업","","","","","6420101","","350-883","충청남도 홍성군 은하면 장척리 1-4","충청남도 홍성군 은하면 천광로 856-29","350-883","더블유아이케이 주식회사","2026-01-07 16:31:46","U","2026-01-09 02:40:00","","165088.219105761","333215.234515223","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","57240","",
"56","건설폐기물처리업","09_30_05_P","4490000","449000092200000003","2000-07-18","","03","폐업","2","폐업","2008-11-20","","","","5830253","","","충청남도 천안시 서북구 신당동 71-1","충청남도 천안시 서북구 천일고2길 31 (신당동)","31081","중부환경㈜","2026-01-07 10:15:59","U","2026-01-09 02:40:00","","214240.875651423","373246.51700488","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","건설폐기물","0","",
"57","건설폐기물처리업","09_30_05_P","3580000","358000092202300001","2024-05-01","","01","영업/정상","BBBB","영업","","","","","032-899-2622","","","인천광역시 미추홀구 용현동 627-608 옹진군청","인천광역시 미추홀구 매소홀로 120, 옹진군청 (용현동)","22193","옹진군청","2026-01-07 15:57:50","U","2026-01-09 02:40:00","","167788.212718008","438332.341555484","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"58","건설폐기물처리업","09_30_05_P","5100000","510000092201500004","2016-05-25","","01","영업/정상","BBBB","영업","","","","","0549277200","","770-060","경상북도 영천시 금노동 413-9","경상북도 영천시 천문로 134-1 (금노동)","770-060","(주)티에스이엔이","2026-01-07 11:30:50","U","2026-01-09 02:40:00","","374104.496454304","273954.6482894","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"59","건설폐기물처리업","09_30_05_P","5100000","510000092200700001","2008-06-09","","03","폐업","2","폐업","2021-09-14","","","","054-337-8828","","","경상북도 영천시 고경면 삼포리 964","경상북도 영천시 고경면 상계로 259-42 (대영개발㈜)","38902","(주)대영산업","2026-01-07 10:44:29","U","2026-01-09 02:40:00","","389304.269431195","281537.470027315","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","28800","",
"60","건설폐기물처리업","09_30_05_P","5310000","531000092201000003","2016-11-24","","01","영업/정상","BBBB","영업","","","","","055-754-0601","","660-170","경상남도 진주시 장대동 107-4","경상남도 진주시 남강로 694 (장대동)","660-170","(주)청호산업","2026-01-07 15:45:29","U","2026-01-09 02:40:00","","298968.449241798","188551.085058545","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"61","건설폐기물처리업","09_30_05_P","3740000","374000092200800014","2006-08-18","","01","영업/정상","BBBB","영업","","","","","0313571484","","","경기도 수원시 팔달구 화서동 644-4","경기도 수원시 팔달구 덕영대로697번길 21-7, 702호 (화서동, 정자프라자)","16435","다우개발(주)","2026-01-07 13:43:33","U","2026-01-09 02:40:00","","199127.438693968","420358.881263675","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"62","건설폐기물처리업","09_30_05_P","4251000","425100092200800004","2008-05-06","","01","영업/정상","BBBB","영업","","","","","0334359912","","","강원특별자치도 홍천군 홍천읍 삼마치리 80-1","강원특별자치도 홍천군 홍천읍 옥류동길 123-6","","상지환경산업(주)","2026-01-06 10:56:29","U","2026-01-09 02:40:00","","278840.232859806","459670.811622533","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","9000","",
"63","건설폐기물처리업","09_30_05_P","3630000","363000092201100004","2020-04-29","","01","영업/정상","BBBB","영업","","","","","062-961-9097","","","광주광역시 광산구 우산동 220-21","광주광역시 광산구 상무대로 507-9 (우산동)","62362","국토환경(주)","2026-01-07 15:03:01","U","2026-01-09 02:40:00","","183560.085610414","182796.411288237","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
