"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"36","소독업","09_30_11_P","4000000","PHMB520204000018042500005","1987-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 오산시 오산동 334-28","경기도 오산시 오산천로 260-1, 2층 (오산동)","18136","홍익시설관리(주)","2025-12-31 09:15:11","U","2026-01-03 02:40:00","","206153.962484173","405936.944173373","44.5","5.5","2","3","2","7","5","5","5","1",
"37","소독업","09_30_11_P","3420000","PHMB520203420023042500018","2020-10-30","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","","","","","대구광역시 동구 안심로 389-3, B동 101호 (신서동)","41083","365세기위생방역","2025-12-31 16:33:34","U","2026-01-03 02:40:00","","355857.357218327","264781.41070211","42.9","16.5","1","2","0","3","5","5","5","1",
"38","소독업","09_30_11_P","3560000","PHMB520253560021042500007","2025-05-22","","03","폐업","03","폐업","2025-12-31","","","","","","","인천광역시 서구 원당동 825-5 LG프라자","인천광역시 서구 고산후로121번길 21, LG프라자 301호 (원당동)","22647","아라클린","2025-12-31 14:38:49","U","2026-01-03 02:40:00","","173155.346999206","454740.260427575","41.3","5.6","1","2","0","3","5","5","5","1",
"39","소독업","09_30_11_P","5310000","PHMB520255310029042500005","2025-05-30","","01","영업/정상","13","영업중","","","","","","","","경상남도 진주시 상대동 730-62","경상남도 진주시 남강로885번길 7-2 (상대동)","52787","(주)경진시스템","2025-12-31 13:38:41","U","2026-01-03 02:40:00","","300704.038418574","187329.279229251","91","18.4","1","2","0","3","5","5","5","1",
"40","소독업","09_30_11_P","3420000","PHMB520213420023042500003","2021-03-25","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","","","","대구광역시 동구 각산동 444-7","대구광역시 동구 경안로 826, 4층 (각산동)","41073","굿에어 대구지점","2025-12-31 16:56:44","U","2026-01-03 02:40:00","","354734.129812761","265350.156977283","19.8","13.2","2","2","0","3","5","5","5","1",
"41","소독업","09_30_11_P","3640000","PHMB520123640023042500001","2012-01-19","","03","폐업","03","폐업","2025-12-29","","","","042-286-9791","","","대전광역시 동구 대성동 223-7","대전광역시 동구 대전로 310, 3층 (대성동)","34699","㈜세스코 대전지역단 대전남부지부","2025-12-31 09:16:35","U","2026-01-03 02:40:00","","241325.565008548","310653.348901277","303.47","27","10","2","1","4","5","6","20","1",
"42","소독업","09_30_11_P","4040000","PHMB520254040023042500002","2025-04-01","","01","영업/정상","13","영업중","","","","","02-6953-7418","","","경기도 하남시 감북동 345-14 스마트빌딩","경기도 하남시 감초로44번길 33, 스마트빌딩 2층 (감북동)","12990","(주)탱고플러스","2025-12-31 11:45:46","U","2026-01-03 02:40:00","","214040.114739438","446094.776522183","75","75","1","2","0","3","5","5","5","1",
"43","소독업","09_30_11_P","3700000","PHMB520223700018042500004","2022-07-20","","01","영업/정상","13","영업중","","","","","052-227-0991","","","울산광역시 남구 삼산동 1506-15","울산광역시 남구 월평로 215 (삼산동)","44696","울산남구지역자활센터","2025-12-31 16:25:10","U","2026-01-03 02:40:00","","410196.687620757","229866.262587404","12.04","10.08","1","2","0","3","5","5","5","1",
"44","소독업","09_30_11_P","4390000","PHMB520124390029042500001","2012-01-12","","01","영업/정상","13","영업중","","","","","043)857-8805","","","충청북도 충주시 성서동 431 2층","충청북도 충주시 성서3길 8, 2층 (성서동)","27387","(주)세스코 충북동부지역단","2025-12-31 09:28:26","U","2026-01-03 02:40:00","","282859.1983217","385878.091509857","199.8","84","4","3","1","30","6","40","100","1",
"45","소독업","09_30_11_P","4090000","PHMB520234090023042500011","2023-10-30","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 통진읍 서암리 714-11 동성빌딩 205호","경기도 김포시 통진읍 조강로 38, 동성빌딩 205호","10018","킬더린(KILTHELIN) 김포지사","2025-12-31 17:45:25","U","2026-01-03 02:40:00","","164770.315408568","465334.857463773","0","0","1","2","0","3","5","5","5","1",
"46","소독업","09_30_11_P","3330000","PHMB520233330024042500007","2023-09-21","","03","폐업","03","폐업","2025-12-31","","","","0507-1303-3728","","","부산광역시 해운대구 중동 1499-5","부산광역시 해운대구 달맞이길117번나길 15-15, 103호 (중동)","48117","내강건물관리","2025-12-31 16:20:00","U","2026-01-03 02:40:00","","398535.072460285","186518.507511852","20","26","1","2","0","3","5","5","5","10",
"47","소독업","09_30_11_P","5540000","PHMB520245540016042500007","2024-12-18","","03","폐업","03","폐업","2025-12-31","","","","","","","","경기도 광주시 초월읍 무들로 183, 2층 202호","12733","명인개발","2025-12-31 17:12:44","U","2026-01-03 02:40:00","","226878.850969598","431153.627154455","0","0","1","2","0","3","5","5","5","1",
"48","소독업","09_30_11_P","4641000","PHMB520254641050042500001","2025-01-10","","03","폐업","03","폐업","2025-12-31","","","","1588-0036","","","전북특별자치도 전주시 덕진구 인후동1가 867-2","전북특별자치도 전주시 덕진구 정언신로 76, 광혜빌라 201-3호 (인후동1가)","55020","(주)삼양인터내셔날","2025-12-31 14:10:46","U","2026-01-03 02:40:00","","214581.358394632","258937.469727733","18","8.7","1","2","0","3","5","5","5","1",
"49","소독업","09_30_11_P","5020000","PHMB520255020056042500005","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","","경상북도 포항시 북구 중흥로213번길 31 (죽도동)","37752","클린더홈 한국방역","2026-01-02 15:44:55","I","2026-01-04 00:20:12","","412202.66172982","282978.469300421","38","8","2","2","0","3","5","5","5","1",
"50","소독업","09_30_11_P","3220000","PHMB520263220033042500001","2026-01-02","","01","영업/정상","13","영업중","","","","","02-3457-4622","","","서울특별시 강남구 대치동 896-45 RG빌딩","서울특별시 강남구 선릉로86길 46, RG빌딩 4층 (대치동)","06197","주식회사 세윤플러스","2026-01-02 17:11:05","I","2026-01-04 00:20:12","","204659.507813949","444648.368809362","60","11","1","2","0","3","5","5","5","1",
"51","소독업","09_30_11_P","5310000","PHMB520165310029042500002","2016-03-02","","04","취소/말소/만료/정지/중지","24","직권폐업","2025-12-31","","","","055-752-0612","","","경상남도 진주시 강남동 174-8","경상남도 진주시 망경로306번길 23 (강남동)","52709","(주)미르상사","2026-01-02 08:58:44","U","2026-01-04 02:40:00","","298980.353923689","187734.210212773","30","11.19","1","2","0","3","5","5","5","1",
"52","소독업","09_30_11_P","4010000","PHMB520194010281042500001","2019-02-14","","01","영업/정상","13","영업중","","","","","031-313-2733","","","경기도 시흥시 대야동 543번지 1호 디아망타운","경기도 시흥시 비둘기공원7길 33, 디아망타운 702호 (대야동)","14912","경기시흥작은자리지역자활센터","2026-01-02 13:31:19","U","2026-01-04 02:40:00","","181596.577677484","437913.268307503","145.17","25.35","1","2","0","3","5","5","5","1",
"53","소독업","09_30_11_P","3930000","PHMB520193930154042500005","2019-04-22","","01","영업/정상","13","영업중","","","","","031-410-4182","","","경기도 안산시 단원구 초지동 742번지 1호 키즈타워1","경기도 안산시 단원구 원포공원1로 70, 키즈타워1 402호 (초지동)","15455","안산내일장애인보호작업장","2026-01-02 09:39:26","U","2026-01-04 02:40:00","","183120.067370172","422382.013647671","31.7","23","1","2","0","3","5","5","5","1",
"54","소독업","09_30_11_P","4191000","PHMB520174190023042500002","2017-02-08","","04","취소/말소/만료/정지/중지","24","직권폐업","2026-01-02","","","","033-748-9228","","","","강원특별자치도 원주시 중앙로 186, 1층 (학성동)","26415","주식회사 꽃보다크린","2026-01-02 13:56:50","U","2026-01-04 02:40:00","","283920.371696088","428321.552357175","28.06","15.35","1","2","0","3","5","5","5","1",
"55","소독업","09_30_11_P","4850000","PHMB520124850015042500002","2012-06-27","","01","영업/정상","13","영업중","","","","","061-383-1081","","","전라남도 담양군 대전면 월본리 799번지 1호 20통","전라남도 담양군 대전면 갈전길 22","","(주)신우이엔지","2026-01-02 09:20:38","U","2026-01-04 02:40:00","","190881.541818087","197000.864145229","41.2","15","1","2","1","5","5","5","5","1",
"56","소독업","09_30_11_P","4060000","PHMB520244060477042500009","2024-10-25","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 법원읍 대능리 81-6 한국SGI법원문화회관 1동 1호","경기도 파주시 법원읍 법원로 17-22, 한국SGI법원문화회관","10826","파주환경건설","2026-01-02 14:58:42","U","2026-01-04 02:40:00","","189000.090522313","482900.818997539","0","0","1","2","0","3","5","5","5","1",
"57","소독업","09_30_11_P","4830000","PHMB520084830021042500002","2008-08-12","","01","영업/정상","13","영업중","","","","","061-331-0084","","520-160","전라남도 나주시 석현동 141번지 3호","전라남도 나주시 건재로 328 (석현동)","58243","(주)거몽","2026-01-02 10:07:57","U","2026-01-04 02:40:00","","175871.519473565","172665.510359363","66","18","1","2","1","5","5","5","5","1",
"58","소독업","09_30_11_P","3930000","PHMB520183930154042500004","2018-05-29","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 와동 121번지 15호","경기도 안산시 단원구 사세충열로 69, 103호 (와동)","15255","우미이앤씨","2026-01-02 09:40:43","U","2026-01-04 02:40:00","","184761.248422062","426480.44579261","16.49","11.1","1","2","0","3","5","5","5","3",
"59","소독업","09_30_11_P","3930000","PHMB520053930154042500006","2005-08-10","","01","영업/정상","13","영업중","","","","","031-484-9953","","","경기도 안산시 단원구 초지동 743-1 비전타운","경기도 안산시 단원구 원포공원1로 67, 비전타운 115호 (초지동)","15455","씨앤에스환경개발","2026-01-02 09:51:30","U","2026-01-04 02:40:00","","183118.787318973","422300.007248888","23.8","23.8","1","2","1","5","5","5","5","1",
"60","소독업","09_30_11_P","3930000","PHMB520133930154042500001","2013-03-13","","01","영업/정상","13","영업중","","","","","410-9989","","425-807","경기도 안산시 단원구 고잔동 703번지 2호 A동 103호","경기도 안산시 단원구 광덕4로 144, A동 103호 (고잔동, 트윈타운)","15461","(주)가람자산관리","2026-01-02 09:44:43","U","2026-01-04 02:40:00","","184718.323201476","423657.325483107","47.63","14.88","1","2","1","5","5","5","5","2",
"61","소독업","09_30_11_P","3930000","PHMB520053930154042500008","2005-10-20","","01","영업/정상","13","영업중","","","","","031-482-7017","","","경기도 안산시 단원구 원시동 768번지 1호","경기도 안산시 단원구 산단로 296, 디동 127호 (원시동, 대우테크노피아)","15433","(주)한국비엠","2026-01-02 09:50:20","U","2026-01-04 02:40:00","","181174.40591547","424448.569834666","11.22","28.56","1","2","1","5","5","5","5","1",
"62","소독업","09_30_11_P","3930000","PHMB520163930154042500003","2016-06-17","","01","영업/정상","13","영업중","","","","","031-492-1723","","","경기도 안산시 단원구 고잔동 703-2 트윈타운","경기도 안산시 단원구 광덕4로 144, 트윈타운 A동 6층 602호 (고잔동)","15461","(주) 경방에스씨엠","2026-01-02 09:41:12","U","2026-01-04 02:40:00","","184718.323201476","423657.325483107","50.5","19.6","1","2","0","3","5","5","5","1",
"63","소독업","09_30_11_P","3930000","PHMB520163930154042500001","2016-04-12","","01","영업/정상","13","영업중","","","","","031-475-2141","","","경기도 안산시 단원구 고잔동 736-5 유주빌딩","경기도 안산시 단원구 이삭1길 11, 유주빌딩 3층 (고잔동)","15466","(주)에스에이알(S.A.R)","2026-01-02 09:42:04","U","2026-01-04 02:40:00","","185528.408290204","423480.658392704","16.38","12.76","1","2","0","3","5","5","5","1",
"64","소독업","09_30_11_P","3930000","PHMB520213930154042500024","2021-12-22","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 고잔동 768-3","경기도 안산시 단원구 광덕동로 81, 5층 505-3호 (고잔동)","15470","(주)서원에이스","2026-01-02 09:32:32","U","2026-01-04 02:40:00","","185076.37152596","423311.542316698","37.45","14.41","1","2","0","3","5","5","5","1",
"65","소독업","09_30_11_P","3180000","PHMB519843180034042500001","1984-10-26","","01","영업/정상","13","영업중","","","","","02-780-6876","","","","서울특별시 영등포구 국제금융로6길 33, 1005호 (여의도동)","07331","아세아환경(주)","2026-01-02 15:53:14","U","2026-01-04 02:40:00","","193469.554731741","446508.068667777","0","0","1","2","0","3","5","5","5","1",
"66","소독업","09_30_11_P","3180000","PHMB519993180034042500005","1999-10-25","","01","영업/정상","13","영업중","","","","","02-761-0633","","","","서울특별시 영등포구 국회대로68길 23, 506호 (여의도동, 정원빌딩)","07237","보흥실업(주)","2026-01-02 16:08:24","U","2026-01-04 02:40:00","","192894.437488166","447360.835255288","0","0","1","2","0","3","5","5","5","1",
"67","소독업","09_30_11_P","3180000","PHMB520093180034042500016","2009-11-23","","01","영업/정상","13","영업중","","","","","02-2632-1710","","150-037","서울특별시 영등포구 영등포동7가 94번지 324호  오성빌딩 502호","서울특별시 영등포구 버드나루로 56, 502호 (영등포동7가, 오성빌딩)","07248","(주)해동우남","2026-01-02 16:11:27","U","2026-01-04 02:40:00","","192044.009477254","446830.448317721","20.52","14.28","1","2","1","5","5","5","5","1",
