"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"18","의료유사업","01_01_10_P","3740000","PHMB420263740106042400001","2026-01-09","","01","영업/정상","13","영업중","","","","","031-211-6522","","","경기도 수원시 영통구 매탄동 1264-2 강희타운","경기도 수원시 영통구 매탄로108번길 28, 강희타운 502호, 503호 (매탄동)","16545","영통마사지안마원","2026-01-14 15:55:47","I","2026-01-17 00:20:02","안마원","203904.452250175","417548.288167155","안마원","1","0","0","0","0","4","0","157",
"19","의료유사업","01_01_10_P","3450000","PHMB420263450022042400001","2026-01-08","","01","영업/정상","13","영업중","","","","","","","","대구광역시 북구 동천동 933-1","대구광역시 북구 대천로 78, 3층 (동천동)","41430","라파엘안마센터","2026-01-12 09:19:03","I","2026-01-14 00:20:02","안마원","340500.479843625","271847.991480799","안마원","0","0","0","0","0","4","0","142",
"20","의료유사업","01_01_10_P","5450000","PHMB420205450011042400001","2020-05-14","","01","영업/정상","13","영업중","","","","","055-973-3380","","","경상남도 산청군 신안면 하정리 724번지 26호","경상남도 산청군 신안면 원지강변로63번길 30-38","52249","산청지압안마원","2026-01-06 14:17:49","U","2026-01-09 02:40:00","안마원","288278.908130963","200740.3400553","안마원","1","0","0","0","0","3","0","66",
"21","의료유사업","01_01_10_P","3780000","PHMB420063780064042400003","2006-04-10","","01","영업/정상","13","영업중","","2019-01-10","2019-02-10","","","","463-010","경기도 성남시분당구 정자동 156-3 대명제스트빌딩 B01호","경기도 성남시 분당구 성남대로331번길 3-13, 지층 01호 (정자동, 대명제스트빌딩)","13558","휠안마시술소","2026-01-14 11:19:38","U","2026-01-16 02:40:00","안마시술소","209469.373536974","429151.981967036","안마시술소","3","0","0","0","0","22","0","693.98",
"22","의료유사업","01_01_10_P","5530000","PHMB420155530021042400001","2015-11-18","","01","영업/정상","13","영업중","","","","","031-278-5741","","","경기도 화성시 봉담읍 동화리 600번지 6호","경기도 화성시 봉담읍 동화길 93-6, 지존타워 4층 402호","18302","동화안마원","2025-12-31 13:53:41","U","2026-01-03 02:40:00","안마원","196322.483202168","412729.777146082","안마원","3","0","0","0","0","5","0","104.42",
"23","의료유사업","01_01_10_P","3780000","PHMB420173780063042400001","2017-11-29","","01","영업/정상","13","영업중","","","","","031-753-1116","","","경기도 성남시 중원구 성남동 3248번지","경기도 성남시 중원구 광명로 20-1, 3층 (성남동)","13364","모란약손안마원","2026-01-05 08:45:02","U","2026-01-07 02:40:00","안마원","211564.985918761","436782.462316095","안마원","3","0","0","0","0","5","0","129.5",
"24","의료유사업","01_01_10_P","3780000","PHMB420073780064042400006","2003-05-16","","01","영업/정상","13","영업중","","","","","031-717-5281","","463-500","경기도 성남시분당구 구미동 179,180 광림프라자 8층","경기도 성남시 분당구 구미로9번길 17, 8층 (구미동, 광림프라자 )","13637","야후안마시술소","2026-01-07 16:39:19","U","2026-01-09 02:40:00","안마시술소","209660.537458814","426437.495726339","안마시술소","3","0","0","0","0","22","0","638.72",
"25","의료유사업","01_01_10_P","3220000","PHMB420043220033042400005","2004-04-29","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 142번지 23호 1~5층","서울특별시 강남구 선릉로92길 43, 1~5층 (삼성동)","06160","상한가안마시술소","2025-12-31 10:04:50","U","2026-01-03 02:40:00","안마시술소","204536.688635146","444910.803555561","안마시술소","6","0","0","0","0","28","13.5","795.88",
"26","의료유사업","01_01_10_P","4010000","PHMB420044010027042400002","2004-07-15","","01","영업/정상","13","영업중","","","","","031-319-1070","","","경기도 시흥시 정왕동 1727-3 해남프라자","경기도 시흥시 서촌상가3길 15-6, 해남프라자 4~5층 (정왕동)","15036","에스(S)안마시술소","2025-12-30 16:25:34","U","2026-01-03 02:40:00","안마시술소","176274.096964084","427289.182216337","안마시술소","2","0","0","0","0","37","66.69","782.34",
"27","의료유사업","01_01_10_P","4641000","PHMB420254641050042400001","2025-03-10","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 효자동1가 594-7","전북특별자치도 전주시 완산구 서원로 228, 301호 (효자동1가)","55051","효자안마지압원","2026-01-14 09:34:08","U","2026-01-17 02:40:00","안마원","210708.424640338","256919.344965737","안마원","1","0","0","0","0","0","0","71.82",
