"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"14","세탁업","06_20_01_P","4010000","4010000-205-2026-00004","2026-04-02","","01","영업/정상","01","영업","","","","","","62.84","429-881","경기도 시흥시 거모동 1772-10 건영타운","경기도 시흥시 도일로112번길 9-1, 101호 (거모동, 건영타운)","15069","우리세탁","2026-04-02 14:37:14","I","2026-04-04 00:20:02","일반세탁업","180868.361712177","426528.394822025","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","1","N",
"15","세탁업","06_20_01_P","3220000","3220000-205-2026-00002","2026-04-02","","01","영업/정상","01","영업","","","","","","14.43","135-894","서울특별시 강남구 신사동 614-7 방우빌딩","서울특별시 강남구 압구정로 212, 방우빌딩 지하1층 1호 (신사동)","06022","오마이운동화빨래방","2026-04-02 14:06:20","I","2026-04-04 00:20:02","일반세탁업","202622.614427913","447287.248289595","일반세탁업","0","0","0","0","1","1","","","","","1","0","0","1","N",
"16","세탁업","06_20_01_P","3220000","3220000-205-2026-00001","2026-04-02","","01","영업/정상","01","영업","","","","","02  566 3356","28.99","135-835","서울특별시 강남구 대치동 316 은마아파트","서울특별시 강남구 삼성로 212, A블록 지하1층 6-7호 (대치동, 은마아파트)","06284","유미세탁","2026-04-02 10:48:34","I","2026-04-04 00:20:02","일반세탁업","205707.089399978","443914.194133105","일반세탁업","0","0","0","0","1","1","","","","","1","0","0","2","N",
"17","세탁업","06_20_01_P","3080000","3080000-205-2026-00001","2026-04-02","","01","영업/정상","01","영업","","","","","","112.23","142-808","서울특별시 강북구 미아동 258-179 동성빌딩","서울특별시 강북구 오현로9길 159, 동성빌딩 2층 (미아동)","01153","카시트세탁 유모차세탁 지우미 미아점","2026-04-02 13:12:21","I","2026-04-04 00:20:02","세탁업 기타","202766.6148137","457923.950039118","세탁업 기타","0","0","0","0","0","0","","","","","3","0","0","1","N",
"18","세탁업","06_20_01_P","6510000","6510000-205-1987-00093","1987-10-06","","03","폐업","02","폐업","2026-04-02","","","","064 7222523","0.00","690-826","제주특별자치도 제주시 이도이동 1015-1 (장수1로 56)","제주특별자치도 제주시 신성로12길 20-1 (이도이동,(장수1로 56))","63206","창은","2026-04-02 14:35:13","U","2026-04-04 02:40:00","일반세탁업","156337.10524257","-7.58430104296203","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"19","세탁업","06_20_01_P","4050000","5620000-205-2026-00002","2026-02-12","","01","영업/정상","01","영업","","","","","","91.00","449-933","경기도 용인시 처인구 역북동 586-17","경기도 용인시 처인구 명지로55번길 17-6, 지하1층 일부(101호) (역북동)","17057","킨더클리닝 용인점 유모차세탁 카시트세탁","2026-04-02 09:17:20","U","2026-04-04 02:40:00","세탁업 기타","216864.606603919","414317.223868732","세탁업 기타","0","0","0","0","1","1","","","","","1","1","0","0","N",
"20","세탁업","06_20_01_P","3740000","3760000-205-2026-00002","2026-03-11","","01","영업/정상","01","영업","","","","","","83.60","441-400","경기도 수원시 권선구 곡반정동 602-2","경기도 수원시 권선구 동수원로36번길 6-6, 1층 (곡반정동)","16672","유모차세탁카시트세탁 꼼꼬미 영통광교점","2026-04-02 16:30:53","U","2026-04-04 02:40:00","일반세탁업","202031.206614871","414755.780620389","일반세탁업","0","0","1","1","0","0","","","","","3","0","0","1","N",
"21","세탁업","06_20_01_P","3350000","3350000-205-2020-00001","2020-03-16","","01","영업/정상","01","영업","","","","","","78.52","609-828","부산광역시 금정구 서동 141-415","부산광역시 금정구 금사로 37, 1층 (서동)","46315","마라톤세탁소","2026-04-02 14:46:15","U","2026-04-04 02:40:00","일반세탁업","391897.219739398","192889.944682652","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","3","N",
"22","세탁업","06_20_01_P","5360000","5360000-205-1989-00001","1989-10-26","","01","영업/정상","01","영업","","","","","055 3547886","27.00","627-803","경상남도 밀양시 내이동 911-4","경상남도 밀양시 약산로 51 (내이동)","50427","금성","2026-04-02 15:29:54","U","2026-04-04 02:40:00","일반세탁업","358760.028272874","222878.259576786","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"23","세탁업","06_20_01_P","3620000","3620000-205-1988-00036","1988-08-29","","01","영업/정상","01","영업","","","","","0625278663","33.00","500-862","광주광역시 북구 유동 110-13 1층","광주광역시 북구 금재로1번길 26-22, 1층 (유동)","61246","광성사","2026-04-02 16:56:09","U","2026-04-04 02:40:00","일반세탁업","191303.624725626","184433.536655253","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"24","세탁업","06_20_01_P","5690000","5690000-205-2009-00002","2009-11-26","","01","영업/정상","01","영업","","","","","044 865 4918","38.04","339-884","세종특별자치시 조치원읍 죽림리 72 죽림우방유쉘 301동 105호","세종특별자치시 조치원읍 산막길 17, 301동 105호 (죽림우방유쉘)","30034","우방세탁소","2026-04-02 15:54:31","U","2026-04-04 02:40:00","일반세탁업","226330.303400507","343632.776461136","일반세탁업","0","0","0","0","0","0","","","","","2","0","0","1","N",
"25","세탁업","06_20_01_P","3290000","3290000-205-2026-00001","2026-04-03","","01","영업/정상","01","영업","","","","","","60.52","614-868","부산광역시 부산진구 전포동 882-8","부산광역시 부산진구 전포대로175번길 37-4, 1층 (전포동)","47298","워시피플 서면전포점","2026-04-03 13:45:27","I","2026-04-05 00:20:22","세탁업 기타","387925.11636979","185599.425100819","세탁업 기타","3","0","1","1","0","0","","","","","3","0","0","3","N",
"26","세탁업","06_20_01_P","3390000","3390000-205-1997-00835","1996-03-20","","01","영업/정상","01","영업","","","","","051 305 2880","20.43","617-819","부산광역시 사상구 모라동 650-1","부산광역시 사상구 모라로37번길 7 (모라동)","46917","지훈이네세탁소","2026-04-03 14:51:29","U","2026-04-05 02:40:00","일반세탁업","380889.159639644","189825.876726179","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"27","세탁업","06_20_01_P","4070000","4070000-205-2005-00007","2005-07-01","","01","영업/정상","01","영업","","","","","031 634 5909","21.60","467-866","경기도 이천시 부발읍 아미리 592-44 7차 현대아파트 상가 103호","경기도 이천시 부발읍 신아로92번길 74-21, 103호 (7차 현대아파트 상가)","17332","미미세탁전문점","2026-04-03 16:27:44","U","2026-04-05 02:40:00","일반세탁업","243557.753794134","417313.424665474","일반세탁업","2","0","1","1","0","0","","","","임대","2","0","0","0","N",
"28","세탁업","06_20_01_P","4820000","4820000-205-1987-00029","1987-11-02","","03","폐업","02","폐업","2026-04-03","","","","061743 3811","15.11","540-959","전라남도 순천시 장천동 46-1","전라남도 순천시 장명5길 5-1 (장천동)","57956","천광 세탁소","2026-04-03 10:04:30","U","2026-04-05 02:40:00","일반세탁업","244591.437855753","161498.998994386","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"29","세탁업","06_20_01_P","3550000","3550000-205-1991-00021","1991-11-21","","03","폐업","02","폐업","2026-04-03","","","","032 5430393","39.60","407-817","인천광역시 계양구 작전동 102-3 뉴서울아파트상가 6호","인천광역시 계양구 봉오대로744번길 3, 2층 6호 (작전동, 뉴서울아파트상가)","21117","뉴서울세탁소","2026-04-03 09:11:47","U","2026-04-05 02:40:00","일반세탁업","176284.026687232","447511.88193427","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","1","N",
"30","세탁업","06_20_01_P","4080000","4080000-205-2021-00001","2021-05-18","","01","영업/정상","01","영업","","","","","","700.62","456-841","경기도 안성시 미양면 갈전리 261","경기도 안성시 미양면 은골길 71, 2동","17598","엠크린","2026-04-03 15:03:58","U","2026-04-05 02:40:00","세탁업 기타","220659.889567653","386579.265084","세탁업 기타","0","0","0","0","0","0","","","","임대","3","0","0","4","N",
"31","세탁업","06_20_01_P","5600000","5600000-205-2022-00001","2022-05-11","","01","영업/정상","01","영업","","","","","031 844 8256","45.30","487-823","경기도 포천시 소흘읍 송우리 730-32 1층","경기도 포천시 소흘읍 봉솔로 10, 1층","11180","꼼꼼 운동화 손세탁","2026-04-03 16:05:11","U","2026-04-05 02:40:00","운동화전문세탁업","212244.812049692","480244.542895264","운동화전문세탁업","0","0","1","1","0","0","","","","","2","0","0","1","N",
