"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"11","관광숙박업","03_11_01_P","3040000","CDFI2260032014000001","2014-01-08","","01","영업/정상","13","영업중","","","","","02-465-7171","","143-840","서울특별시 광진구 군자동 350-6","서울특별시 광진구 동일로 212 (군자동)","05002","아늑 호텔 앤 스파 서울 성수 건대","2026-01-30 16:41:05","U","2026-02-04 11:04:37","","206032.404204369","449812.167768449","관광숙박업","","일반주거지역","11","기타","","재난배상책임보험(삼성)","호텔","8","3","55","2822","","Tourist Hotel","0","0","","0","0","","0","2821","","0","","","","","","","200000000","","","","2821","관광호텔업",
"12","관광숙박업","03_11_01_P","3030000","CDFI2260032026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동2가 250-30","서울특별시 성동구 동일로 75, 3,4층 (성수동2가)","04786","청화스테이","2026-02-04 20:35:46","I","2026-02-06 00:20:02","","205439.236017865","448604.933857576","관광숙박업","","준공업지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","69.5","","0","","","","","","","0","","","","70","호스텔업",
"13","관광숙박업","03_11_01_P","3380000","CDFI2260032026000007","2026-02-03","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 179-3","부산광역시 수영구 광안해변로 235, 7층 (민락동)","48284","너의계절","2026-02-03 09:41:23","I","2026-02-06 00:20:02","","393085.150482681","186011.990468756","관광숙박업","","일반상업지역","0","","","","","7","0","4","0","","","0","0","","0","0","","0","346.15","","0","","","","","","","150000000","","","","346","호스텔업",
"14","관광숙박업","03_11_01_P","3290000","CDFI2260032026000006","2026-02-03","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 168-5","부산광역시 부산진구 동천로95번길 21, 3층 (부전동)","47292","소요스테이","2026-02-03 09:04:31","I","2026-02-06 00:20:02","","387728.37048179","186164.618196994","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","25000000","","","","0","호스텔업",
"15","관광숙박업","03_11_01_P","3380000","CDFI2260032024000013","2024-07-23","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 200-4","부산광역시 수영구 광안해변로 179, 6층 (광안동)","48303","메종 별바다 광안","2026-02-04 10:31:16","U","2026-02-06 02:40:00","","392732.161638137","185542.452702234","관광숙박업","","일반상업지역","0","","","","","6","0","4","0","","","0","0","","0","0","","0","218.85","","0","","","","","","","120000000","","","","219","호스텔업",
"16","관광숙박업","03_11_01_P","3650000","CDFI2260031986000002","1986-11-27","","01","영업/정상","13","영업중","","","","","","","301-822","대전광역시 중구 선화동 230-6 외5필지","대전광역시 중구 대종로505번길 50 (선화동,외5필지)","","대림호텔","2026-02-04 10:39:32","U","2026-02-06 02:40:00","","237867.647635938","314268.665022617","관광숙박업","관광사업","일반상업지역","7","기타","","","호텔","6","1","44","5378","","","0","0","","0","0","","0","5378.48","","0","","","","","","","200000000","","","","5378","관광호텔업",
"17","관광숙박업","03_11_01_P","3350000","CDFI2260032014000001","2014-10-29","","01","영업/정상","13","영업중","","","","","051-518-8899","","609-853","부산광역시 금정구 구서동 420-40","부산광역시 금정구 금정로 242 (구서동)","46274","(주)덴바스타호텔구서점","2026-02-04 16:07:45","U","2026-02-06 02:40:00","","390347.549734077","195952.674076618","관광숙박업","","일반상업지역","10","기타","","수협","","10","1","51","0","","","0","0","","0","0","","0","2615","","0","","","","","","","0","","","","2615","관광호텔업",
"18","관광숙박업","03_11_01_P","3380000","CDFI2260032026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 176-29","부산광역시 수영구 광안해변로277번길 3, 2층 (민락동)","48286","하나 여름","2026-02-03 09:13:07","U","2026-02-06 02:40:00","","393469.641387294","186162.120397291","관광숙박업","","준주거지역","0","","","","","2","0","1","0","","","0","0","","0","0","","0","121.94","","0","","","","","","","27500000","","","","122","호스텔업",
"19","관광숙박업","03_11_01_P","3380000","CDFI2260032026000002","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 민락동 179-3","부산광역시 수영구 광안해변로 235, 4층 (민락동)","48284","컨셉스테이","2026-02-03 09:13:24","U","2026-02-06 02:40:00","","393085.150482681","186011.990468756","관광숙박업","","상업지역","0","","","","","4","0","5","0","","","0","0","","0","0","","0","316.11","","0","","","","","","","320501632","","","","316","호스텔업",
"20","관광숙박업","03_11_01_P","3380000","CDFI2260032026000003","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 183-16","부산광역시 수영구 광남로 103-3, 7층 (광안동)","48302","로프트 부산","2026-02-03 09:13:39","U","2026-02-06 02:40:00","","392639.545533527","185609.907098712","관광숙박업","","준주거지역","0","","","","","7","0","2","0","","","0","0","","0","0","","0","150.12","","0","","","","","","","20000000","","","","150","호스텔업",
"21","관광숙박업","03_11_01_P","3280000","CDFI2260032024000001","2024-05-24","","03","폐업","03","폐업","2026-02-03","","","","","","","부산광역시 영도구 청학동 475-18","부산광역시 영도구 와치로 54, 2~4층 (청학동)","49086","벨리타","2026-02-03 13:18:18","U","2026-02-06 02:40:00","","387846.256753477","178497.547583488","관광숙박업","","","3","","","","","3","0","3","219","","","0","0","","0","0","","0","218.58","","0","","","","","","","0","","","","219","호스텔업",
"22","관광숙박업","03_11_01_P","3290000","CDFI2260031998000001","1998-03-19","","01","영업/정상","13","영업중","","","","","051-810-5820","","","부산광역시 부산진구 부전동 503-15","부산광역시 부산진구 가야대로 772 (부전동)","47285","(주)부산롯데호텔","2026-02-04 16:43:27","U","2026-02-06 02:40:00","","387271.299492377","186099.137533193","관광숙박업","관광사업","","47","","","","","43","4","650","183804","BUSAN LOTTE HOTEL CO., LTD","TOURIST ACCOMMODATION(TOURIST HOTEL)","0","0","","0","0","","0","740.84","","0","","","","","","","0","","","","741","관광호텔업",
"23","관광숙박업","03_11_01_P","4010000","CDFI2260032025000001","2025-07-21","","01","영업/정상","13","영업중","","","","","0314960004","","","경기도 시흥시 정왕동 2042-15","경기도 시흥시 오이도로 249 (정왕동)","15015","호텔 오이도","2026-02-04 11:24:24","U","2026-02-06 02:40:00","","172405.878339458","426566.106666174","관광숙박업","","일반주거지역","7","주택가주변","","","호텔","6","1","23","1127","HOTEL OIDO","SMALL HOTEL","0","0","","0","0","","0","277.85","","0","","","","","","","0","","","","278","소형호텔업",
"24","관광숙박업","03_11_01_P","3040000","CDFI2260032017000001","2017-01-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 능동 276-1","서울특별시 광진구 천호대로 560 (능동)","04985","호텔부티크나인","2026-02-04 14:29:08","U","2026-02-06 02:40:00","","207010.871583566","450476.132985226","관광숙박업","","","17","","","","호텔","17","2","86","5960","","","0","0","","0","0","","0","5959.76","","0","","","","","","","500000000","","","","5960","관광호텔업",
"25","관광숙박업","03_11_01_P","4090000","CDFI2260032013000001","2013-09-12","","01","영업/정상","13","영업중","","","","","031-996-8056~8","","415-865","경기도 김포시 통진읍 마송리 161-4","경기도 김포시 통진읍 김포대로 2337-1","10029","라인플러스호텔","2026-02-04 14:02:21","U","2026-02-06 02:40:00","","163577.954106815","465859.322424853","관광숙박업","","자연녹지지역","5","기타","","","호텔","4","1","36","1265","","","0","0","","0","0","","0","1465","","0","","","","","","","2500000000","","","","1465","호스텔업",
"26","관광숙박업","03_11_01_P","3010000","CDFI2260032015000010","2015-03-17","","01","영업/정상","13","영업중","","","","","023161780","","100-013","서울특별시 중구 충무로3가 30-1","서울특별시 중구 충무로 23-1 (충무로3가)","04555","홉인 서울 명동 (HOP INN SEOUL MYEONGDONG)","2026-02-03 10:22:51","U","2026-02-06 02:40:00","","199295.433977253","451227.87958574","관광숙박업","","일반상업지역","0","","","3성","호텔","12","2","97","3384","HOP INN SEOUL MYEONGDONG","Tourist Hotel","0","0","","0","0","","0","3383.64","","0","","","","","","","0","","","","3384","관광호텔업",
"27","관광숙박업","03_11_01_P","4641000","CDFI2260032025000001","2025-01-24","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 전동 51 갑진한의원","전북특별자치도 전주시 완산구 팔달로 144, 갑진한의원 3층 (전동)","55042","스테이달로","2026-02-03 09:30:04","U","2026-02-06 02:40:00","","213334.241501321","257242.848649037","관광숙박업","","","3","","","NH농협손해보험","","0","0","1","0","","","0","0","","0","0","","0","67.81","","0","","","","","","","0","","","","68","호스텔업",
"28","관광숙박업","03_11_01_P","3910000","CDFI2260031989000001","1989-11-13","","01","영업/정상","13","영업중","","","","","","","450-826","경기도 평택시 평택동 62-10","경기도 평택시 평택1로 7 (평택동)","","평택스테이관광호텔","2026-02-05 11:29:44","U","2026-02-07 02:40:00","","207633.698389432","387911.818346872","관광숙박업","관광사업","","10","","","","","7","3","50","4606","PYEONGTAEK STAY HOTEL","Tourist Hotel Business","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"29","관광숙박업","03_11_01_P","4160000","CDFI2260032026000001","2026-01-26","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 설악면 사룡리 140-2","경기도 가평군 설악면 자잠로282번길 93","12460","AUGUST 호스텔","2026-02-05 16:32:02","U","2026-02-07 02:40:00","","243766.613980747","466637.439068652","관광숙박업","","관리지역","3","기타","","","기타","3","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"30","관광숙박업","03_11_01_P","3290000","CDFI2260032018000001","2018-05-31","","01","영업/정상","13","영업중","","","","","051-815-5252","","","부산광역시 부산진구 부전동 534-3","부산광역시 부산진구 서면로 6 (부전동)","47289","사우스반데코 호텔","2026-02-05 10:33:31","U","2026-02-07 02:40:00","","387484.555612448","185481.417451146","관광숙박업","","일반상업지역","12","학교정화(상대)","","한화손해보험","숙박시설","11","1","56","2945","Southvandeco Hotel","Tourist Hotel","0","0","","0","0","","0","2944.85","","0","","","","","","","2350000130","","","","2945","관광호텔업",
"31","관광숙박업","03_11_01_P","3120000","CDFI2260032025000002","2025-10-30","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 창천동 18-5","서울특별시 서대문구 명물길 6, 8층 (창천동)","03777","스테이 헬로 STAY HELLO","2026-02-05 10:15:36","U","2026-02-07 02:40:00","","194398.900504068","450561.690366905","관광숙박업","","일반주거지역","11","기타","","","숙박시설","9","2","7","0","","","0","0","","0","0","","0","127.18","","0","","","","","","","150000000","","","","127","호스텔업",
"32","관광숙박업","03_11_01_P","5050000","CDFI2260032004000003","1998-07-29","","01","영업/정상","13","영업중","","","","","054-701-0090","","","경상북도 경주시 노서동 170-1","경상북도 경주시 태종로699번길 3, 경주지지관광호텔 (노서동)","38157","경주지지관광호텔","2026-02-06 10:31:20","U","2026-02-08 02:40:00","","399106.474227057","262107.235004903","관광숙박업","관광사업","준주거지역","6","학교정화(상대)","","","호텔","5","1","53","4641","","","0","0","","0","0","","0","4641.17","","0","","","","","","","0","","","","4641","관광호텔업",
"33","관광숙박업","03_11_01_P","3380000","CDFI2260032017000002","2017-03-15","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 192-1","부산광역시 수영구 광안로62번길 1, 3~4층 (광안동)","48303","솔게스트하우스 부산파티점","2026-02-06 17:11:36","U","2026-02-08 02:40:00","","392991.419288377","185987.297434754","관광숙박업","","상업지역","4","","","","","4","0","8","616","SOL HOSTEL(BUSAN)","TOURIST ACCOMMODATION(HOSTEL)","0","0","","0","0","","0","225.16","","0","","","","","","","0","","","","225","호스텔업",
"34","관광숙박업","03_11_01_P","3350000","CDFI2260032021000001","2021-12-31","","01","영업/정상","13","영업중","","","","","051-512-0000","","","부산광역시 금정구 구서동 85-29","부산광역시 금정구 금정로237번길 36 (구서동)","46273","로즈베이호텔","2026-02-06 13:43:01","U","2026-02-08 02:40:00","","390308.249813358","196303.622302623","관광숙박업","","일반상업지역","12","","","수협중앙회","","12","0","0","0","","","0","0","","0","0","","0","1683.34","","0","","","","","","","0","","","","1683","호스텔업",
"35","관광숙박업","03_11_01_P","3530000","CDFI2260032015000002","2015-08-18","","01","영업/정상","13","영업중","","","","","032-472-9540","","","인천광역시 남동구 구월동 1460-1","인천광역시 남동구 인하로507번길 56 (구월동, 엠플레이스호텔)","21573","엠플레이스호텔","2026-02-06 16:24:18","U","2026-02-08 02:40:00","","173686.389217784","438219.344730238","관광숙박업","","일반상업지역","9","유흥업소밀집지역","","","호텔","7","2","66","4889","","","0","0","","0","0","","0","4889.34","","0","","","","","","","5900000300","","","","4889","관광호텔업",
"36","관광숙박업","03_11_01_P","5020000","CDFI2260032025000003","2025-10-15","","01","영업/정상","13","영업중","","","","","054-250-3001","","","경상북도 포항시 북구 두호동 555","경상북도 포항시 북구 해안로 105 (두호동)","37708","(주)비치호텔","2026-02-06 15:28:44","U","2026-02-08 02:40:00","","414225.91082061","286818.332103619","관광숙박업","","","0","","","","","0","0","42","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","관광호텔업",
"37","관광숙박업","03_11_01_P","3010000","CDFI2260032018000002","2018-02-14","","01","영업/정상","13","영업중","","","","","02-3141-4115","","","서울특별시 중구 북창동 12-1 호텔 토마스 명동","서울특별시 중구 세종대로16길 26, 호텔 토마스 명동 (북창동)","04526","호텔 토마스 명동","2026-02-06 14:46:16","U","2026-02-08 02:40:00","","198018.679926506","451207.729791045","관광숙박업","","","0","","","3성","","0","0","123","6027","HOTEL THOMAS MYEONGDONG","TOURIST HOTEL","0","0","","0","0","","0","6027.18","","0","","","","","","","1000000000","","","","6027","관광호텔업",
"38","관광숙박업","03_11_01_P","3380000","CDFI2260032026000008","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 183-16","부산광역시 수영구 광남로 103-3, 6층 (광안동)","48302","로프트 부산2","2026-02-09 11:22:47","I","2026-02-11 00:20:41","","392639.545533527","185609.907098712","관광숙박업","","준주거지역","0","","","","","6","0","3","0","","","0","0","","0","0","","0","197.12","","0","","","","","","","20000000","","","","197","호스텔업",
"39","관광숙박업","03_11_01_P","3010000","CDFI2260032021000004","2021-10-01","","01","영업/정상","13","영업중","","","","","02-2251-7463","","","서울특별시 중구 을지로5가 19-29","서울특별시 중구 동호로 369 (을지로5가)","04546","머큐어 앰배서더 서울 동대문(MERCURE AMBASSADOR SEOUL DONGDAEMUN)","2026-02-09 07:08:01","U","2026-02-11 02:40:00","","200095.261182808","451680.793663218","관광숙박업","","일반상업지역","0","","","2성급","","20","4","297","1382005","MERCURE AMBASSADOR SEOUL DONGDAEMUN","TOURIST HOTEL","0","0","","0","0","","0","13820.05","","0","","","","","","","0","","","","13820","관광호텔업",
"40","관광숙박업","03_11_01_P","5250000","CDFI2260032026000002","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","경상북도 울진군 매화면 덕신리 119-5 망양휴게소","경상북도 울진군 매화면 망양북로 30, 망양휴게소","36341","까사인디고","2026-02-10 16:01:14","I","2026-02-12 00:20:02","","415834.119786697","377359.565164051","관광숙박업","","관리지역","3","기타","","","숙박시설","1","2","0","0","","","0","0","","0","0","","0","216.75","","0","","","","","","","1300000000","","","","217","호스텔업",
"41","관광숙박업","03_11_01_P","3010000","CDFI2260032026000004","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로3가 59-13","서울특별시 중구 수표로 10 (충무로3가)","04554","스테이모드","2026-02-10 11:34:56","U","2026-02-12 02:40:00","","199095.113474444","451098.796818087","관광숙박업","","","4","","","","","4","0","8","0","","","0","0","","0","0","","0","0","","0","","","","","","","300000000","","","","0","호스텔업",
"42","관광숙박업","03_11_01_P","3010000","CDFI2260032026000006","2026-01-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 을지로7가 63","서울특별시 중구 퇴계로63길 22, 지상2층~지상5층 (을지로7가)","04565","스테이 쉼","2026-02-10 11:35:46","U","2026-02-12 02:40:00","","200710.77679721","451455.325218208","관광숙박업","","","6","","","","숙박시설","5","1","5","0","","","0","0","","0","0","","0","179.12","","0","","","","","","","0","","","","179","호스텔업",
"43","관광숙박업","03_11_01_P","3010000","CDFI2260032026000003","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 명동2가 54-2","서울특별시 중구 명동8길 8-11, 3층 (명동2가)","04536","무드온 명동","2026-02-10 11:34:06","U","2026-02-12 02:40:00","","198513.571993372","451211.103380431","관광숙박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"44","관광숙박업","03_11_01_P","3010000","CDFI2260032026000001","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 남산동2가 18-9","서울특별시 중구 퇴계로20길 31 (남산동2가)","04629","더큐브 호텔","2026-02-10 11:32:07","U","2026-02-12 02:40:00","","198711.004408276","450729.70372038","관광숙박업","","","0","","","","","0","0","5","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"45","관광숙박업","03_11_01_P","3010000","CDFI2260032026000002","2026-01-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 황학동 731-1","서울특별시 중구 퇴계로83길 10-22 (황학동)","04576","SINDANG GRAND JOY 호스텔","2026-02-10 11:32:24","U","2026-02-12 02:40:00","","201643.411062205","451532.973367955","관광숙박업","","","0","","","","","0","0","2","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"46","관광숙박업","03_11_01_P","3010000","CDFI2260032026000007","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 소공동 81","서울특별시 중구 남대문로7길 33, 7층 (소공동)","04532","해치 스테이","2026-02-10 11:36:30","U","2026-02-12 02:40:00","","198164.81474774","451278.901392417","관광숙박업","","상업지역","7","","","","","7","1","11","0","","","0","0","","0","0","","0","293.65","","0","","","","","","","160000000","","","","294","호스텔업",
"47","관광숙박업","03_11_01_P","3010000","CDFI2260032026000008","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 남대문로5가 149","서울특별시 중구 세종대로2가길 40 (남대문로5가)","04527","스테이 한가온 명동","2026-02-10 11:37:40","U","2026-02-12 02:40:00","","197786.233103721","450657.203237286","관광숙박업","","일반상업지역","3","","","","","0","0","3","0","","","0","0","","0","0","","0","111.73","","0","","","","","","","0","","","","112","호스텔업",
"48","관광숙박업","03_11_01_P","3000000","CDFI2260032025000010","2025-08-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 178-90","서울특별시 종로구 종로65길 12-22 (숭인동)","03112","브릭 스테이 (BRIC STAY)","2026-02-10 18:00:05","U","2026-02-12 02:40:00","","201741.476646868","452548.707959757","관광숙박업","","준주거지역","3","주택가주변","","","숙박시설","3","1","0","0","Brick Stay","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","258.29","","0","","","","","","","20000000","","","","258","호스텔업",
"49","관광숙박업","03_11_01_P","3000000","CDFI2260032026000008","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 충신동 148","서울특별시 종로구 율곡로22길 12-14, 4층 (충신동)","03123","연경당","2026-02-10 16:04:50","U","2026-02-12 02:40:00","","200349.182282318","452499.369331122","관광숙박업","","일반상업지역","9","","","","","8","1","0","0","Yeongyeongdang","Tourist accommodation business (hostel business)","0","0","","0","0","","0","78.24","","0","","","","","","","0","","","","78","호스텔업",
"50","관광숙박업","03_11_01_P","3000000","CDFI2260032015000001","2015-01-26","","01","영업/정상","13","영업중","","","","","02-744-1271","","110-380","서울특별시 종로구 권농동 127-1","서울특별시 종로구 율곡로10길 11 (권농동)","03134","언플러그 안국","2026-02-10 17:58:40","U","2026-02-12 02:40:00","","199156.623916493","452747.807991092","관광숙박업","","일반상업지역","6","","","","숙박시설","5","1","30","1353","Unplugged Security Bureau","Tourist Accomodation Business","0","0","","0","0","","0","1353.48","","0","","","","","","","10000000","","","","1353","호스텔업",
"51","관광숙박업","03_11_01_P","5110000","CDFI2260032008000001","2008-11-05","","01","영업/정상","13","영업중","","","","","054-530-8899","","742-891","경상북도 상주시 모서면 삼포리 462-9","경상북도 상주시 모서면 화현3길 127","","(주)블루원(블루원상주골프리조트 휴양콘도미니엄)","2026-02-11 14:33:26","U","2026-02-13 02:40:00","","284821.995252018","315248.913248957","관광숙박업","관광사업","","0","","","메리츠화재","콘도미니엄","3","1","0","0","","","0","0","","0","0","","0","5237.17","","0","","","","","","","0","","","","5237","휴양콘도미니엄업",
"52","관광숙박업","03_11_01_P","4201000","CDFI2260031982000001","1982-08-20","","03","폐업","03","폐업","2026-02-11","","","","","","210-130","강원특별자치도 강릉시 강문동 303-1","강원특별자치도 강릉시 해안로406번길 13-6 (강문동)","","경포비치호텔","2026-02-11 15:26:31","U","2026-02-13 02:40:00","","368443.499863469","479144.821501435","관광숙박업","관광사업","","6","","","","호텔","5","1","0","0","","","0","0","","0","0","","0","7169","","0","","","","","","","0","","","","7169","관광호텔업",
