"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"12","소독업","09_30_11_P","3620000","PHMB520233620020042500005","2023-05-03","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 운암동 417-42","광주광역시 북구 무등로27번길 11-1, 1층 (운암동)","61233","미래클린","2026-03-03 10:43:51","U","2026-03-05 02:40:00","","189686.717815832","185722.093433907","35","4","1","2","0","3","5","5","5","1",
"13","소독업","09_30_11_P","3110000","PHMB520203110032042500008","2020-04-17","","03","폐업","03","폐업","2026-03-03","","","","","","","서울특별시 은평구 신사동 29번지 178호","서울특별시 은평구 은평로 30, SM타워 (신사동)","03450","한국집합건물 사회적협동조합","2026-03-03 17:48:01","U","2026-03-05 02:40:00","","192085.158902114","455071.308631398","158.92","35.64","1","2","0","3","5","5","5","1",
"14","소독업","09_30_11_P","3300000","PHMB520113300024042500007","2011-09-22","","01","영업/정상","13","영업중","","","","","051-553-2172","","","부산광역시 동래구 온천동 149-24","부산광역시 동래구 금강공원로20번길 68, 3층 (온천동)","47708","에코유비전","2026-03-03 18:02:32","U","2026-03-05 02:40:00","","389609.286386037","193388.959701474","0","0","1","2","1","5","5","5","5","1",
"15","소독업","09_30_11_P","3220000","PHMB520183220033042500005","2018-09-10","","01","영업/정상","13","영업중","","","","","02-560-9090","","","서울특별시 강남구 역삼동 701-1 역삼 아르누보씨티","서울특별시 강남구 언주로 506, 역삼 아르누보씨티 1층 (역삼동)","06152","(주)한국자산보증관리","2026-03-03 17:25:10","U","2026-03-05 02:40:00","","203716.938085702","444579.034008591","0","0","1","2","1","5","5","5","5","1",
"16","소독업","09_30_11_P","3740000","PHMB520183740106042500003","2018-04-04","","01","영업/정상","13","영업중","","","","","1688-5427","","","경기도 수원시 영통구 신동 478-6 테크트리 영통 지식산업센터","경기도 수원시 영통구 신원로 55, 테크트리 영통 지식산업센터 9층 915호, 916호 (신동)","16677","(주)지비에프엔씨","2026-03-03 15:59:50","U","2026-03-05 02:40:00","","204158.20826042","416378.941446645","135","30","1","2","0","5","5","5","5","2",
"17","소독업","09_30_11_P","3100000","PHMB520093100034042500013","2009-10-07","","03","폐업","03","폐업","2026-03-03","","","","02-908-4473","","139-793","서울특별시 노원구 중계1동 358번지 주공아파트3단지상가 204호, 209호","서울특별시 노원구 덕릉로 662 (중계동)","01711","(주)현우환경","2026-03-03 14:42:45","U","2026-03-05 02:40:00","","206651.699789929","461582.803734992","48.7","35.2","1","2","1","5","5","5","5","1",
"18","소독업","09_30_11_P","3110000","PHMB520263110032042500003","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 신사동 356 뉴신사 신성아파트","서울특별시 은평구 은평터널로 163, 상가동 지하1층 (신사동, 뉴신사 신성아파트)","03445","한국집합건물 사회적협동조합","2026-03-04 09:35:12","I","2026-03-06 00:20:02","","191670.559003392","454576.758260397","136","33","1","2","0","3","2","2","2","1",
"19","소독업","09_30_11_P","3930000","PHMB520263930154042500002","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 원시동 773-9","경기도 안산시 단원구 동산로 63, 4층 453호 (원시동)","15433","혜광크린","2026-03-04 09:09:15","I","2026-03-06 00:20:02","","181961.733012032","423615.27638305","0","0","1","2","0","3","2","2","2","1",
"20","소독업","09_30_11_P","3440000","PHMB520263440024042500004","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","","대구광역시 남구 골안길 106-1, 1층 (대명동)","42499","예원아이엔티","2026-03-04 16:58:53","I","2026-03-06 00:20:02","","341141.788382193","260421.416383881","0","0","1","2","0","3","5","5","5","1",
"21","소독업","09_30_11_P","4050000","PHMB520264050148042500003","2026-02-20","","01","영업/정상","13","영업중","","","","","","","","","경기도 용인시 기흥구 신구로 52, 삼구프라자 106호 (구갈동)","16971","그린월드","2026-03-04 14:33:53","I","2026-03-06 00:20:02","","209661.295052216","419421.470047813","0","0","1","2","0","3","5","5","5","1",
"22","소독업","09_30_11_P","3650000","PHMB520263650023042500001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 산성동 278-20","대전광역시 중구 대둔산로386번길 11, 1층 (산성동)","35055","초이스드론","2026-03-04 16:27:44","I","2026-03-06 00:20:02","","234686.117175141","311516.330232706","39.79","12.89","1","2","0","3","5","5","5","1",
"23","소독업","09_30_11_P","5350000","PHMB520235350351042500002","2023-07-13","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 삼정동 89-11 성우ART빌 203호","경상남도 김해시 활천로 55, 203호 (삼정동, 성우ART빌)","50923","퓨어픽스","2026-03-04 17:23:32","U","2026-03-06 02:40:00","","372263.089711648","194226.903369234","50.79","9.53","1","2","0","3","5","5","5","1",
"24","소독업","09_30_11_P","3060000","PHMB520123060034042500008","2012-11-06","","01","영업/정상","13","영업중","","","","","02-3493-4448","","131-862","서울특별시 중랑구 상봉1동 190번지 67호 지하","서울특별시 상봉중앙로1길 36","02091","(주)새서울환경","2026-03-04 17:30:27","U","2026-03-06 02:40:00","","207666.878836451","455135.800669899","0","0","1","2","1","5","5","5","5","1",
"25","소독업","09_30_11_P","3490000","PHMB520223490019042500005","2022-03-21","","01","영업/정상","13","영업중","","","","","","","","인천광역시 중구 신흥동3가 32-12","인천광역시 중구 제물량로24번길 7, 2층 (신흥동3가)","22331","그린아웃소싱(주)","2026-03-04 17:48:13","U","2026-03-06 02:40:00","","167882.864430644","440130.828155871","0","0","1","4","1","6","5","5","5","3",
"26","소독업","09_30_11_P","3490000","PHMB520243490019042500003","2024-08-02","","01","영업/정상","13","영업중","","","","","","","","인천광역시 중구 중산동 1886-11 블루오션 레지던스호텔 3","인천광역시 중구 자연대로 8, 블루오션 레지던스호텔 3 2층 14호 (중산동)","22397","주식회사 대원제삼차자산관리","2026-03-04 10:21:41","U","2026-03-06 02:40:00","","161287.416353374","442849.644778346","46.28","0","1","2","0","3","5","5","5","1",
"27","소독업","09_30_11_P","5350000","PHMB520255350351042500004","2025-11-11","","03","폐업","03","폐업","2026-03-04","","","","","","","경상남도 김해시 삼정동 89-11 성우ART빌 203호","경상남도 김해시 활천로 55, 203호 (삼정동, 성우ART빌)","50923","청혜","2026-03-04 17:26:31","U","2026-03-06 02:40:00","","372263.089711648","194226.903369234","50.79","9.53","2","2","0","3","5","5","5","1",
"28","소독업","09_30_11_P","3310000","PHMB520233310024042500002","2023-03-24","","01","영업/정상","13","영업중","","","","","","","","부산광역시 남구 용당동 251 부경대학교용당캠퍼스","부산광역시 남구 신선로 365, 부경대학교용당캠퍼스 용당1관동 104B호 (용당동)","48548","(주)물과공기","2026-03-04 09:15:27","U","2026-03-06 02:40:00","","390581.892513851","181723.665157492","0","0","1","2","0","3","5","5","5","1",
"29","소독업","09_30_11_P","3930000","PHMB520233930162042500003","2021-02-03","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 이동 685-8","경기도 안산시 상록구 삼태기1길 23, 1층 102호 (이동)","15496","푸른숲","2026-03-04 09:28:50","U","2026-03-06 02:40:00","","186127.175670422","422858.587717205","43.11","15.57","1","2","0","5","5","5","5","1",
"30","소독업","09_30_11_P","3300000","PHMB520163300024042500003","2016-04-29","","01","영업/정상","13","영업중","","","","","051-558-4800","","","","부산광역시 동래구 연안로52번길 81, 2층 (안락동)","47905","고리시스템즈","2026-03-04 15:06:45","U","2026-03-06 02:40:00","","392288.550613301","190009.851522593","0","0","1","2","0","3","5","5","5","1",
"31","소독업","09_30_11_P","3160000","PHMB520263160034042500004","2026-02-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 구로동 615-3 에스티엑스 더블유 타워","서울특별시 구로구 경인로53길 90, 에스티엑스 더블유 타워 215호 (구로동)","08215","수풀림","2026-03-04 17:21:52","U","2026-03-06 02:40:00","","188890.674096939","444722.181249086","53.84","3.3","1","2","0","3","2","2","2","1",
"32","소독업","09_30_11_P","3980000","PHMB520263980021042500007","2026-02-23","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 갈매동 545","경기도 구리시 갈매중앙로 190, 휴밸나인 지식산업센터 디6067호 (갈매동)","11901","(주)엑스텍바이오","2026-03-04 13:35:10","U","2026-03-06 02:40:00","","211121.079282325","459492.888691226","53.55","5.1","1","2","0","3","5","5","6","1",
"33","소독업","09_30_11_P","4970000","PHMB520204970018042500007","2020-10-23","","01","영업/정상","13","영업중","","","","","","","","전라남도 영광군 대마면 남산리 592","전라남도 영광군 대마면 동삼로9길 49-6","57054","세프로존","2026-03-04 11:09:41","U","2026-03-06 02:40:00","","162347.646948131","199161.728377429","43.8","0","1","2","0","3","5","5","5","1",
"34","소독업","09_30_11_P","3240000","PHMB520253240033042500002","2025-02-27","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 암사동 515-19","서울특별시 강동구 상암로4가길 3, 101호 (암사동)","05242","(주)사람과자연앤","2026-03-04 13:27:12","U","2026-03-06 02:40:00","","211070.434681386","449750.751620655","33","6","3","3","0","7","5","10","20","1",
"35","소독업","09_30_11_P","4090000","PHMB520234090023042500010","2023-10-20","","03","폐업","03","폐업","2026-03-04","","","","031-989-5161","","","","경기도 김포시 태장로 741, 456호 (장기동)","10090","글로벌다문화특수방역사업단","2026-03-04 12:59:37","U","2026-03-06 02:40:00","","172060.790207415","459930.508280681","0","0","2","2","0","3","5","5","5","2",
"36","소독업","09_30_11_P","3600000","PHMB520263600020042500003","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 치평동 278-7","광주광역시 서구 마륵복개로 137, 신화B/D 4층 (치평동)","61998","샘물기업","2026-03-05 16:41:04","I","2026-03-07 00:20:02","","186491.625474338","183203.198061127","0","0","1","2","0","3","5","5","5","1",
"37","소독업","09_30_11_P","5090000","PHMB520265090024042500001","2026-03-03","","01","영업/정상","13","영업중","","","","","","","","경상북도 영주시 하망동 294-39","경상북도 영주시 원당로163번길 10, 1층 112호 (하망동)","36081","미래관리시스템","2026-03-05 17:35:52","I","2026-03-07 00:20:02","","345325.697265147","370601.741697164","35","15","1","2","0","3","5","5","5","3",
"38","소독업","09_30_11_P","4470000","PHMB520264470017042500002","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","충청북도 음성군 생극면 신양리 377-20","충청북도 음성군 생극면 오신로 599, 102호","27619","주식회사건우조경","2026-03-05 15:59:59","I","2026-03-07 00:20:02","","254023.343827879","392584.267190311","15.48","18","1","2","0","4","5","5","5","1",
"39","소독업","09_30_11_P","3500000","PHMB520263500020042500001","2020-11-06","","01","영업/정상","13","영업중","","","","","","","","인천광역시 동구 금곡동 54-80","인천광역시 동구 금곡로 64-1, 지하1층 (금곡동)","22562","바퀴벌레퇴치벌레소독방역쥐퇴치송충이방역","2026-03-05 09:22:01","I","2026-03-07 00:20:02","","168320.452853302","441278.576391267","18.79","3.96","1","2","0","3","5","5","5","1",
"40","소독업","09_30_11_P","3430000","PHMB520263430019042500002","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","대구광역시 서구 중리동 48-12","대구광역시 서구 국채보상로34길 13, 2층 (중리동)","41836","투제이","2026-03-05 18:00:36","I","2026-03-07 00:20:02","","339894.452123755","264204.561653263","65.67","14.56","1","2","0","3","2","2","2","1",
"41","소독업","09_30_11_P","3930000","PHMB520263930154042500003","2026-03-03","","03","폐업","03","폐업","2026-03-05","","","","","","","경기도 안산시 단원구 원시동 770-3 신안산비즈스타복합지식산업센터","경기도 안산시 단원구 산단로 232, 신안산비즈스타복합지식산업센터 401호 (원시동)","15433","엘에이치비","2026-03-05 16:05:54","I","2026-03-07 00:20:02","","181355.692340689","423815.131111617","20","5","1","2","0","3","2","2","2","1",
"42","소독업","09_30_11_P","4400000","PHMB520094400020042500001","2009-03-06","","02","휴업","02","휴업","","2026-03-05","2027-03-04","","043-653-0307","","390-150","충청북도 제천시 화산동 433번지","충청북도 제천시 숭의로 50 (화산동)","27184","씨그린써비스","2026-03-05 16:17:18","U","2026-03-07 02:40:00","","307545.797420059","403938.059736806","0","0","1","2","1","5","5","5","7","1",
"43","소독업","09_30_11_P","3540000","PHMB520243540021042500007","2024-08-28","","01","영업/정상","13","영업중","","","","","","","","인천광역시 부평구 삼산동 462-3 대경프라자","인천광역시 부평구 체육관로 18, 대경프라자 5층 501-6077호 (삼산동)","21344","클렌드","2026-03-05 13:48:39","U","2026-03-07 02:40:00","","176378.53666649","445159.787999837","12.5","9","1","2","0","3","5","5","5","1",
"44","소독업","09_30_11_P","3460000","PHMB520223460023042500003","2022-03-16","","01","영업/정상","13","영업중","","","","","","","","","대구광역시 수성구 달구벌대로627길 22-19(매호동)","42268","화담주식회사","2026-03-05 10:49:12","U","2026-03-07 02:40:00","","353758.617205747","261678.821864652","36.4","11.7","1","2","0","3","5","5","5","1",
"45","소독업","09_30_11_P","3540000","PHMB520173540021042500001","2017-01-02","","01","영업/정상","13","영업중","","","","","032-421-4036(4030)","","","인천광역시 부평구 청천동 399번지 3호 에프앤피빌딩 402호","인천광역시 부평구 평천로 145, 402호 (청천동, 에프앤피 빌딩)","21310","에이스종합관리(주)","2026-03-05 15:10:32","U","2026-03-07 02:40:00","","174102.060736136","446402.686530171","0","0","1","2","0","3","5","5","5","1",
"46","소독업","09_30_11_P","3930000","PHMB519993930154042500002","1999-08-31","","01","영업/정상","13","영업중","","","","","031-405-4330","","425-801","경기도 안산시단원구 고잔동 526번지 4호 (205호)","경기도 안산시 단원구 중앙대로 829 (고잔동,(205호))","","(주)금강주택관리","2026-03-05 10:49:10","U","2026-03-07 02:40:00","","184701.89362794","423967.919651224","29","17.7","1","2","1","5","5","5","5","1",
"47","소독업","09_30_11_P","3990000","PHMB520203990309042500001","2020-01-03","","03","폐업","03","폐업","2026-03-05","","","","","","","경기도 남양주시 다산동 6144-1 FB101호","경기도 남양주시 다산중앙로19번길 25-23, FB101호 (다산동)","12248","한송방재","2026-03-05 13:10:34","U","2026-03-07 02:40:00","","213508.45979994","456789.19099147","19.8","9","1","2","0","3","5","5","5","1",
"48","소독업","09_30_11_P","3360000","PHMB520203360024042500003","2020-03-02","","03","폐업","03","폐업","2026-03-05","","","","","","","부산광역시 강서구 봉림동 744번지 25호","부산광역시 강서구 가락대로1303번길 67-1 (봉림동)","46708","세이프퓸 남부지사","2026-03-05 17:52:08","U","2026-03-07 02:40:00","","372771.60277489","188537.004676635","15","20","1","2","0","3","5","5","5","1",
"49","소독업","09_30_11_P","3700000","PHMB520263700018042500001","2026-01-28","","01","영업/정상","13","영업중","","","","","052-267-5655","","","","울산광역시 남구 돋질로426번길 8 (삼산동)","44712","드림건설 주식회사","2026-03-05 09:31:54","U","2026-03-07 02:40:00","","413145.988137074","229435.053631951","30","80","1","2","0","3","5","5","5","1",
"50","소독업","09_30_11_P","5710000","PHMB520205710107042500008","2020-06-23","","03","폐업","03","폐업","2026-03-05","","","","","","","충청북도 청주시 청원구 북이면 내추리 121-21","충청북도 청주시 청원구 북이면 용계내추로 444-9","28134","씨제이알 주식회사","2026-03-05 15:48:43","U","2026-03-07 02:40:00","","249195.259616503","362487.504085043","105.5","33","1","2","0","3","5","5","5","1",
"51","소독업","09_30_11_P","3900000","PHMB520253900028042500006","2025-10-20","","03","폐업","03","폐업","2026-03-05","","","","","","","경기도 광명시 일직동 515","경기도 광명시 일직로 72, 광명무역센터 C동 11층 1117호 (일직동)","14348","일타클린케어","2026-03-05 15:20:47","U","2026-03-07 02:40:00","","190124.458858418","435332.556961729","25.8","1.6","1","2","0","3","5","5","5","1",
"52","소독업","09_30_11_P","5600000","PHMB520215600005042500004","2021-09-07","","01","영업/정상","13","영업중","","","","","","","","경기도 포천시 이동면 도평리 140-8","경기도 포천시 이동면 화동로2433번길 34","11110","(주)자이언트클린","2026-03-05 15:19:44","U","2026-03-07 02:40:00","","","","87.34","5.4","1","2","0","3","5","5","5","1",
"53","소독업","09_30_11_P","4191000","PHMB520264191050042500004","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 흥업면 대안리 779-8","강원특별자치도 원주시 흥업면 대안천길 52-20","26492","케이플랜","2026-03-05 10:41:32","U","2026-03-07 02:40:00","","278495.595176641","423232.700940438","28","2","1","2","0","3","2","2","2","1",
"54","소독업","09_30_11_P","4791000","PHMB520234790046042500001","2023-11-14","","03","폐업","03","폐업","2026-02-05","","","","","","","전북특별자치도 부안군 부안읍 서외리 422-9 부안기초푸드뱅크","전북특별자치도 부안군 부안읍 당산로 10-1, 부안기초푸드뱅크","56309","성실크린","2026-03-05 17:08:54","U","2026-03-07 02:40:00","","175163.137937996","247490.730617597","197.71","0","1","2","0","3","5","5","5","1",
"55","소독업","09_30_11_P","3860000","PHMB520213860384042500011","2021-03-24","","03","폐업","03","폐업","2026-03-05","","","","032-673-3658","","","경기도 부천시 오정구 오정동 181-8 오정우체국 4층","경기도 부천시 오정구 오정로 262, 오정우체국 4층 (오정동)","14434","주식회사 레이브원","2026-03-05 16:40:36","U","2026-03-07 02:40:00","","181164.453367925","447593.217851231","116.9","32.2","1","2","0","3","5","5","5","1",
"56","소독업","09_30_11_P","4711000","PHMB520244711034042500003","2024-12-03","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 김제시 요촌동 294-8","전북특별자치도 김제시 중앙로 77 (요촌동)","54383","열매클린","2026-03-05 13:01:00","U","2026-03-07 02:40:00","","189501.24496428","256133.510823368","13","22","1","2","0","3","5","5","5","1",
