번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,의자수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,침대수,다중이용업소여부,Unnamed: 44,record_key
796,미용업,05_18_01_P,3130000,3130000-211-2026-00033,2026-03-05,,1,영업/정상,1,영업,,,,,,12.93,121-804,서울특별시 마포구 공덕동 371 공덕삼성아파트,"서울특별시 마포구 마포대로 115-12, 공덕삼성아파트 상가동 319-1호 (공덕동)",4145.0,레츠아이(LETZ:EYE),2026-03-05 13:31:07,I,2026-03-07 00:20:02,일반미용업,195614.865103655,449366.926256986,일반미용업,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,N,,레츠아이(LETZ:EYE)_서울특별시마포구공덕동371공덕삼성아파트
840,미용업,05_18_01_P,3740000,3760000-218-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,0.0,441-100,경기도 수원시 권선구 서둔동 371 센트라우스,"경기도 수원시 권선구 세화로168번길 15, 상가동 1층 105호 (서둔동, 센트라우스)",16620.0,네일윤,2026-03-05 11:56:44,I,2026-03-07 00:20:02,기타,199495.516178625,418463.924929945,"피부미용업, 네일미용업",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,N,,네일윤_경기도수원시권선구서둔동371센트라우스
797,미용업,05_18_01_P,3130000,3130000-215-2026-00007,2026-03-05,,1,영업/정상,1,영업,,,,,,57.16,121-867,서울특별시 마포구 연남동 390-31,"서울특별시 마포구 동교로38길 27-12, 2층 (연남동)",3982.0,모호,2026-03-05 17:20:54,I,2026-03-07 00:20:02,네일아트업,193395.781567588,451061.891712329,네일미용업,2.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,모호_서울특별시마포구연남동390-31
798,미용업,05_18_01_P,5380000,5380000-215-2026-00003,2026-03-05,,1,영업/정상,1,영업,,,,,,31.98,626-823,경상남도 양산시 동면 내송리 879-2,"경상남도 양산시 동면 내송내안2길 33, 102호",50644.0,은네일&뷰티,2026-03-05 17:38:07,I,2026-03-07 00:20:02,네일아트업,,,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,N,,은네일&뷰티_경상남도양산시동면내송리879-2
800,미용업,05_18_01_P,5710000,5735000-211-2026-00005,2026-03-05,,1,영업/정상,1,영업,,,,,043 217 3808,32.72,363-882,충청북도 청주시 청원구 오창읍 장대리 53-19,"충청북도 청주시 청원구 오창읍 오창시내5길 10, 101호",28129.0,1388미장원,2026-03-05 15:02:48,I,2026-03-07 00:20:02,일반미용업,240721.804988701,360176.72870082,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,2.0,N,,1388미장원_충청북도청주시청원구오창읍장대리53-19
801,미용업,05_18_01_P,5530000,5770000-212-2026-00006,2026-03-05,,1,영업/정상,1,영업,,,,,,33.0,,경기도 화성시 동탄구 영천동 749-13,"경기도 화성시 동탄구 동탄치동천로2길 5, 1층 일부(104)호 (영천동)",18474.0,코지브로우,2026-03-05 14:07:40,I,2026-03-07 00:20:02,피부미용업,211023.805122109,411291.646528112,피부미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,N,,코지브로우_경기도화성시동탄구영천동749-13
865,미용업,05_18_01_P,3660000,3660000-219-2026-00007,2026-03-05,,1,영업/정상,1,영업,,,,,,0.0,302-869,대전광역시 서구 둔산동 1184,"대전광역시 서구 둔산남로9번길 89, 2층 일부호 (둔산동)",35234.0,오브뷰티,2026-03-05 16:54:25,I,2026-03-07 00:20:02,메이크업업,234109.705,316722.385000001,화장ㆍ분장 미용업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,N,,오브뷰티_대전광역시서구둔산동1184
802,미용업,05_18_01_P,5530000,5770000-219-2026-00005,2026-03-05,,1,영업/정상,1,영업,,,,,,4.68,,경기도 화성시 동탄구 목동 487-2,"경기도 화성시 동탄구 동탄순환대로 400, 2층 212일부호 (목동)",18484.0,미미뷰티,2026-03-05 15:47:06,I,2026-03-07 00:20:02,메이크업업,,,화장ㆍ분장 미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,N,,미미뷰티_경기도화성시동탄구목동487-2
866,미용업,05_18_01_P,4050000,5620000-221-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,40.0,,경기도 용인시 처인구 모현읍 동림리 62-31,"경기도 용인시 처인구 모현읍 왕림로 6-1, 가동 1층 일부",16884.0,모뗀아이,2026-03-05 14:24:47,I,2026-03-07 00:20:02,피부미용업,215619.223375474,426666.140106375,"피부미용업, 화장ㆍ분장 미용업",0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,N,,모뗀아이_경기도용인시처인구모현읍동림리62-31
803,미용업,05_18_01_P,3520000,3520000-212-2026-00008,2026-03-05,,1,영업/정상,1,영업,,,,,,40.32,406-081,인천광역시 연수구 송도동 96 리치센트럴 지상1층 112호,"인천광역시 연수구 인천타워대로197번길 16, 리치센트럴 지상1층 112호 (송도동)",22009.0,온드 에스테틱(ONDE),2026-03-05 14:08:16,I,2026-03-07 00:20:02,피부미용업,167630.628037892,431952.05649671,피부미용업,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,2.0,N,,온드에스테틱(ONDE)_인천광역시연수구송도동96리치센트럴지상1층112호
804,미용업,05_18_01_P,3520000,3520000-226-2026-00002,2026-03-05,,1,영업/정상,1,영업,,,,,,50.0,406-814,인천광역시 연수구 연수동 569-9 이강빌딩,"인천광역시 연수구 새말로96번길 30, 이강빌딩 지상2층 일부호 (연수동)",21925.0,생글 뷰티,2026-03-05 11:06:00,I,2026-03-07 00:20:02,네일아트업,171518.095241901,435203.744359546,"피부미용업, 네일미용업, 화장ㆍ분장 미용업",0.0,0.0,2.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,생글뷰티_인천광역시연수구연수동569-9이강빌딩
839,미용업,05_18_01_P,3740000,3760000-215-2026-00003,2026-03-05,,1,영업/정상,1,영업,,,,,,0.0,441-450,경기도 수원시 권선구 호매실동 1398-2,"경기도 수원시 권선구 호매실로90번길 77, 4층 409호 (호매실동)",16630.0,릴네일,2026-03-05 10:37:23,I,2026-03-07 00:20:02,네일아트업,196697.918469267,417429.160552981,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,N,,릴네일_경기도수원시권선구호매실동1398-2
805,미용업,05_18_01_P,3180000,3180000-213-2026-00002,2026-03-05,,1,영업/정상,1,영업,,,,,,35.92,150-037,서울특별시 영등포구 영등포동7가 90,"서울특별시 영등포구 국회대로54길 4, 3층 (영등포동7가)",7247.0,손에담다,2026-03-05 13:27:13,I,2026-03-07 00:20:02,네일아트업,191732.906512386,446963.073207271,종합미용업,0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,,임대,0.0,0.0,0.0,N,,손에담다_서울특별시영등포구영등포동7가90
844,미용업,05_18_01_P,4681000,4681000-212-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,32.5,,전북특별자치도 익산시 모현동1가 403-1,전북특별자치도 익산시 선화로13길 28 (모현동1가),54656.0,소요 에스테틱,2026-03-05 13:20:54,I,2026-03-07 00:20:02,피부미용업,194877.368477148,272213.702160174,피부미용업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.0,N,,소요에스테틱_전북특별자치도익산시모현동1가403-1
790,미용업,05_18_01_P,6510000,6510000-211-2026-00015,2026-03-05,,1,영업/정상,1,영업,,,,,,98.02,690-824,제주특별자치도 제주시 이도이동 75-2,"제주특별자치도 제주시 연신로 79, 3층 (이도이동)",63228.0,더헤어앤코제주베라체점,2026-03-05 10:45:02,I,2026-03-07 00:20:02,일반미용업,157978.422473902,-105.207665140804,일반미용업,0.0,0.0,3.0,3.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,N,,더헤어앤코제주베라체점_제주특별자치도제주시이도이동75-2
838,미용업,05_18_01_P,4470000,4470000-213-2026-00003,2026-03-05,,1,영업/정상,1,영업,,,,,,62.75,,충청북도 음성군 맹동면 동성리 506,"충청북도 음성군 맹동면 대하로 211, 304호",27738.0,윤결 컨디션 케어,2026-03-05 11:28:09,I,2026-03-07 00:20:02,기타,248101.510610071,378530.777610968,종합미용업,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,임대,0.0,0.0,1.0,N,,윤결컨디션케어_충청북도음성군맹동면동성리506
788,미용업,05_18_01_P,4010000,4010000-213-2026-00015,2026-03-05,,1,영업/정상,1,영업,,,,,,25.2,429-907,경기도 시흥시 포동 13-3 태산아파트 상가12동,"경기도 시흥시 신현로38번길 23-1, 태산아파트 상가12동 상가12동 111호 (포동)",14957.0,영광헤어,2026-03-05 10:47:31,I,2026-03-07 00:20:02,기타,180727.946758681,433946.4869706,종합미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,영광헤어_경기도시흥시포동13-3태산아파트상가12동
850,미용업,05_18_01_P,3290000,3290000-212-2026-00006,2026-03-05,,1,영업/정상,1,영업,,,,,,38.32,614-827,부산광역시 부산진구 범천동 847-2,"부산광역시 부산진구 범일로 158, 104동 2층 207호 (범천동)",47361.0,멜로드뷰티,2026-03-05 14:12:26,I,2026-03-07 00:20:02,피부미용업,387641.682113215,184715.319562849,피부미용업,2.0,2.0,2.0,2.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,N,,멜로드뷰티_부산광역시부산진구범천동847-2
849,미용업,05_18_01_P,3540000,3540000-221-2026-00003,2026-03-05,,1,영업/정상,1,영업,,,,,,23.1,403-825,인천광역시 부평구 부평동 738-21 부평민자역사 본건물 나호 지하2층 25-1호,"인천광역시 부평구 광장로 16, 부평민자역사 본건물 나호 지하2층 25-1호 (부평동)",21404.0,벨라루나,2026-03-05 11:33:33,I,2026-03-07 00:20:02,피부미용업,175405.11373693,443089.591009306,"피부미용업, 화장ㆍ분장 미용업",0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,0.0,0.0,0.0,N,,벨라루나_인천광역시부평구부평동738-21부평민자역사본건물나호지하2층25-1호
852,미용업,05_18_01_P,3290000,3290000-213-2026-00005,2026-03-05,,1,영업/정상,1,영업,,,,,,30.92,614-848,부산광역시 부산진구 부전동 573-5 서면동원시티비스타,"부산광역시 부산진구 중앙대로783번길 11, 3층 315호 (부전동, 서면동원시티비스타)",47251.0,봄든,2026-03-05 13:56:00,I,2026-03-07 00:20:02,피부미용업,387773.225187108,186726.035902914,종합미용업,26.0,3.0,3.0,3.0,0.0,0.0,2.0,,,,,0.0,0.0,1.0,N,,봄든_부산광역시부산진구부전동573-5서면동원시티비스타
854,미용업,05_18_01_P,4050000,5620000-211-2026-00009,2026-03-05,,1,영업/정상,1,영업,,,,,,28.29,,경기도 용인시 처인구 모현읍 왕산리 967-3,"경기도 용인시 처인구 모현읍 백옥대로2476번길 9, 다온스퀘어 101호",17035.0,더 헤어샵(The hair shop),2026-03-05 15:56:44,I,2026-03-07 00:20:02,일반미용업,,,일반미용업,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,,,,1.0,0.0,0.0,N,,더헤어샵(Thehairshop)_경기도용인시처인구모현읍왕산리967-3
848,미용업,05_18_01_P,3540000,3540000-215-2026-00005,2026-03-05,,1,영업/정상,1,영업,,,,,,24.2,403-866,인천광역시 부평구 삼산동 462-3 대경프라자 404호 일부호,"인천광역시 부평구 체육관로 18, 대경프라자 404호 일부호 (삼산동)",21344.0,네일아트 내성발톱관리 주아르테,2026-03-05 13:56:44,I,2026-03-07 00:20:02,네일아트업,176378.53666649,445159.787999837,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,네일아트내성발톱관리주아르테_인천광역시부평구삼산동462-3대경프라자404호일부호
855,미용업,05_18_01_P,4050000,5620000-215-2026-00002,2026-03-05,,1,영업/정상,1,영업,,,,,,30.0,449-933,경기도 용인시 처인구 역북동 781 역북1단지 우남퍼스트빌,"경기도 용인시 처인구 낙은로 60, 120동 103호 (역북동, 역북1단지 우남퍼스트빌)",17045.0,모노네일,2026-03-05 15:00:43,I,2026-03-07 00:20:02,네일아트업,217400.784844912,415708.293122213,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,N,,모노네일_경기도용인시처인구역북동781역북1단지우남퍼스트빌
856,미용업,05_18_01_P,3650000,3650000-211-2026-00008,2026-03-05,,1,영업/정상,1,영업,,,,,,0.0,301-815,대전광역시 중구 부사동 151-10 2층,"대전광역시 중구 보문로 61-1, 2층 (부사동)",35047.0,바움헤어,2026-03-05 12:02:11,I,2026-03-07 00:20:02,일반미용업,238912.760266333,312561.174692233,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,N,,바움헤어_대전광역시중구부사동151-102층
834,미용업,05_18_01_P,3250000,3250000-211-2026-00002,2026-03-05,,1,영업/정상,1,영업,,,,,,164.03,600-045,부산광역시 중구 남포동5가 11-3,"부산광역시 중구 구덕로 58-1, 3층 (남포동5가)",48953.0,유바이브,2026-03-05 09:46:56,I,2026-03-07 00:20:02,일반미용업,384973.569813017,179569.436536763,일반미용업,0.0,0.0,3.0,3.0,0.0,0.0,10.0,,,,,0.0,0.0,0.0,N,,유바이브_부산광역시중구남포동5가11-3
847,미용업,05_18_01_P,4201000,4201000-213-2026-00009,2026-03-05,,1,영업/정상,1,영업,,,,,,39.6,,강원특별자치도 강릉시 남항진동 47,"강원특별자치도 강릉시 공항길127번길 19, 1층 (남항진동)",25617.0,에스에스뷰티헤어앤메이크업(SS뷰티헤어&메이크업),2026-03-05 14:38:20,I,2026-03-07 00:20:02,메이크업업,371745.052122158,475424.406304623,종합미용업,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,에스에스뷰티헤어앤메이크업(SS뷰티헤어&메이크업)_강원특별자치도강릉시남항진동47
846,미용업,05_18_01_P,4030000,4030000-211-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,19.66,437-080,경기도 의왕시 내손동 843 우미린아파트,"경기도 의왕시 내손순환로 4, 우미린아파트 상가동 106호 (내손동)",16035.0,에비뉴 헤어살롱,2026-03-05 16:42:51,I,2026-03-07 00:20:02,일반미용업,197694.539569152,431732.859633833,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,에비뉴헤어살롱_경기도의왕시내손동843우미린아파트
859,미용업,05_18_01_P,3150000,3150000-213-2026-00011,2026-03-05,,1,영업/정상,1,영업,,,,,,42.2,157-210,서울특별시 강서구 마곡동 744 마곡 엠밸리 9단지,"서울특별시 강서구 공항대로 103, 상가903동 103호 (마곡동, 마곡 엠밸리 9단지)",7600.0,오유헤어,2026-03-05 14:08:05,I,2026-03-07 00:20:02,일반미용업,,,종합미용업,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,2.0,N,,오유헤어_서울특별시강서구마곡동744마곡엠밸리9단지
964,미용업,05_18_01_P,4060000,4060000-215-2026-00012,2026-03-05,,1,영업/정상,1,영업,,,,,,21.0,413-190,경기도 파주시 와동동 1404 해솔마을 7단지 롯데캐슬,"경기도 파주시 가온로 205, 근생1동 106호 일부호 (와동동, 해솔마을 7단지 롯데캐슬)",10898.0,메오브네일(MEOB NAIL),2026-03-05 12:02:30,U,2026-03-07 02:40:00,네일아트업,178018.126666757,468815.974016293,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,메오브네일(MEOBNAIL)_경기도파주시와동동1404해솔마을7단지롯데캐슬
860,미용업,05_18_01_P,3150000,3150000-213-2026-00012,2026-03-05,,1,영업/정상,1,영업,,,,,,40.0,157-883,서울특별시 강서구 화곡동 355-3,"서울특별시 강서구 곰달래로15길 31, 1층 우측호 (화곡동)",7766.0,아르떼 워라벨 이루다 369,2026-03-05 15:04:35,I,2026-03-07 00:20:02,일반미용업,185742.463858422,447715.259069436,종합미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,N,,아르떼워라벨이루다369_서울특별시강서구화곡동355-3
845,미용업,05_18_01_P,3490000,3490000-215-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,36.67,400-340,인천광역시 중구 운서동 3091-13 프라임시티3 207호,"인천광역시 중구 햇내로13번길 8, 프라임시티3 207호 (운서동)",22376.0,N.Nail,2026-03-05 11:52:23,I,2026-03-07 00:20:02,네일아트업,155414.702347856,443336.004791429,네일미용업,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,N,,N.Nail_인천광역시중구운서동3091-13프라임시티3207호
953,미용업,05_18_01_P,3990000,3990000-219-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,42.0,,경기도 남양주시 다산동 6060-2 다산 중앙하이츠 파크 202호,"경기도 남양주시 다산중앙로123번길 22-18, 다산 중앙하이츠 파크 202호 (다산동)",12248.0,리우뷰티 랩,2026-03-05 10:59:21,U,2026-03-07 02:40:00,메이크업업,213309.532839326,458022.604508585,화장ㆍ분장 미용업,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,임대,0.0,0.0,0.0,N,,리우뷰티랩_경기도남양주시다산동6060-2다산중앙하이츠파크202호
861,미용업,05_18_01_P,3150000,3150000-215-2026-00005,2026-03-05,,1,영업/정상,1,영업,,,,,,34.32,157-210,서울특별시 강서구 마곡동 799-7,"서울특별시 강서구 마곡중앙4로 10, 그랑트윈타워 A동 4층 405호 (마곡동)",7631.0,"오늘, 네일",2026-03-05 16:11:24,I,2026-03-07 00:20:02,네일아트업,184729.670153955,450716.326229816,네일미용업,4.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,0.0,0.0,0.0,N,,"오늘,네일_서울특별시강서구마곡동799-7"
862,미용업,05_18_01_P,3060000,3060000-213-2026-00007,2026-03-05,,1,영업/정상,1,영업,,,,,,54.0,131-816,서울특별시 중랑구 면목동 126-17 성우빌딩,"서울특별시 중랑구 면목로73길 10, 1층 101호 (면목동)",2146.0,아름드리다 헤어,2026-03-05 10:52:47,I,2026-03-07 00:20:02,일반미용업,207592.392902083,454076.735692288,종합미용업,0.0,0.0,1.0,0.0,0.0,0.0,6.0,,,,,0.0,0.0,0.0,N,,아름드리다헤어_서울특별시중랑구면목동126-17성우빌딩
784,미용업,05_18_01_P,6510000,6510000-219-2026-00010,2026-03-05,,1,영업/정상,1,영업,,,,,,12.4,690-851,제주특별자치도 제주시 이도이동 1999-5,"제주특별자치도 제주시 구남동2길 18, 지하1층 (이도이동)",63232.0,에끌라웨딩,2026-03-05 13:58:47,I,2026-03-07 00:20:02,메이크업업,156791.163564512,-634.058995413156,화장ㆍ분장 미용업,0.0,0.0,0.0,0.0,1.0,1.0,3.0,,,,,0.0,0.0,0.0,N,,에끌라웨딩_제주특별자치도제주시이도이동1999-5
785,미용업,05_18_01_P,3100000,3100000-225-2026-00003,2026-03-05,,1,영업/정상,1,영업,,,,,,22.2,139-873,서울특별시 노원구 하계동 271-3 신한은행,"서울특별시 노원구 섬밭로 209, 벽산상가 제지하층 131호 (하계동)",1776.0,네일온,2026-03-05 12:23:21,I,2026-03-07 00:20:02,네일아트업,205601.066015629,459233.675551946,"일반미용업, 네일미용업, 화장ㆍ분장 미용업",0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,임대,0.0,0.0,1.0,N,,네일온_서울특별시노원구하계동271-3신한은행
786,미용업,05_18_01_P,6520000,6520000-211-2026-00001,2026-03-05,,1,영업/정상,1,영업,,,,,,42.56,697-805,제주특별자치도 서귀포시 법환동 422,"제주특별자치도 서귀포시 이어도로 945-1, 1층 (법환동)",63573.0,퀸즈헤어,2026-03-05 09:49:40,I,2026-03-07 00:20:02,일반미용업,154668.326784994,-28396.9742499908,일반미용업,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,임대,0.0,0.0,0.0,N,,퀸즈헤어_제주특별자치도서귀포시법환동422
787,미용업,05_18_01_P,4900000,4900000-211-2026-00004,2026-03-05,,1,영업/정상,1,영업,,,,,,73.27,519-804,전라남도 화순군 화순읍 교리 405 힐스테이트 화순 114동 105호,"전라남도 화순군 화순읍 칠충로 141-7, 114동 1층 105호 (힐스테이트 화순)",58120.0,욱헤어,2026-03-05 16:37:18,I,2026-03-07 00:20:02,일반미용업,198330.987848831,173565.7187772,일반미용업,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,0.0,0.0,0.0,N,,욱헤어_전라남도화순군화순읍교리405힐스테이트화순114동105호
