"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"11","약국","01_01_06_P","4050000","PHMD120164050149084000016","2016-06-14","","01","영업/정상","13","영업중","","","","","031-217-9986","","","경기도 용인시 수지구 상현동 1131번지 6호 105호","경기도 용인시 수지구 광교중앙로 304, 105호 (상현동)","16943","광교팜온누리약국","2026-03-03 10:28:10","U","2026-03-05 02:40:00","","206100.323819545","421679.062727974","46.02","20160614",
"12","약국","01_01_06_P","3210000","PHMD119903210034084000004","1990-06-05","","03","폐업","03","폐업","2026-03-03","","","","02-521-9443","","137-875","서울특별시 서초구 서초동 1575번지 9호 삼화빌딩","서울특별시 서초구 서초중앙로 107 (서초동, 삼화빌딩)","06644","서초당약국","2026-03-03 09:44:23","U","2026-03-05 02:40:00","","201149.635279701","443249.376340374","42.39","19900605",
"13","약국","01_01_06_P","3090000","PHMD120203090033084000001","2020-01-23","","03","폐업","03","폐업","2026-03-01","","","","02-3492-2828","","","서울특별시 도봉구 방학동 670번지 2호","서울특별시 도봉구 방학로 169, 1층 (방학동)","01384","튼튼약국","2026-03-03 10:01:52","U","2026-03-05 02:40:00","","202878.778399507","462193.498927906","33.5","20200123",
"14","약국","01_01_06_P","3930000","PHMD120253930154084000010","2025-11-18","","03","폐업","03","폐업","2026-02-19","","","","031-364-8198","","","경기도 안산시 단원구 원곡동 798-9","경기도 안산시 단원구 중앙대로 459, 103호 (원곡동)","15393","코리아약국","2026-03-03 13:14:33","U","2026-03-05 02:40:00","","181342.787841363","425137.822342851","50.48","20251118",
"15","약국","01_01_06_P","3610000","PHMD120253610019084000004","2025-12-03","","01","영업/정상","13","영업중","","","","","062-710-2234","","","광주광역시 남구 주월동 1197-4","광주광역시 남구 서문대로 820, 1층 (주월동)","61697","주월사랑약국","2026-03-03 10:18:03","U","2026-03-05 02:40:00","","190865.600555474","181395.427987428","79.35","20251203",
"16","약국","01_01_06_P","3660000","PHMD120243660023084000001","2024-01-18","","01","영업/정상","13","영업중","","","","","042-710-0280","","","대전광역시 서구 관저동 1761","대전광역시 서구 계백로 1013, 1층 104~105호 (관저동)","35363","큰약국","2026-03-03 11:14:28","U","2026-03-05 02:40:00","","230153.156851193","311297.892365428","104.18","20240118",
"17","약국","01_01_06_P","3000000","PHMD120263000034084000002","2026-02-06","","01","영업/정상","13","영업중","","","","","02-762-8788","","","서울특별시 종로구 명륜1가 101-1 지강빌딩","서울특별시 종로구 성균관로 34, 지강빌딩 1층 일부호 (명륜1가)","03074","성대정문약국","2026-03-03 16:33:47","U","2026-03-05 02:40:00","","199673.029847493","453711.269847466","67","20260206",
"18","약국","01_01_06_P","4520000","PHMD120254520031084000009","2025-09-16","","03","폐업","03","폐업","2026-03-03","","","","041-544-7324","","","충청남도 아산시 모종동 658","충청남도 아산시 모종남로12번길 8, 충무메디타워 201호 (모종동)","31528","아산바로약국","2026-03-03 14:58:41","U","2026-03-05 02:40:00","","201721.072934579","364174.173332923","82","20250916",
"19","약국","01_01_06_P","3670000","PHMD120083670022084000009","2008-06-09","","01","영업/정상","13","영업중","","","","","042-931-6375","","","대전광역시 유성구 반석동","대전광역시 유성구 반석로 23, 1층 104호 (반석동, 제일프라자)","34068","네거리약국","2026-03-03 17:08:11","U","2026-03-05 02:40:00","","227935.045889844","321204.40162134","45.03","20080609",
"20","약국","01_01_06_P","5540000","PHMD120165540016084000007","2016-10-24","","01","영업/정상","13","영업중","","","","","031-766-2761","","","경기도 광주시 경안동 30번지 5호","경기도 광주시 중앙로 108 (경안동)","12758","새봄약국","2026-03-03 17:36:33","U","2026-03-05 02:40:00","","222830.345535408","434175.012296945","89.22","20161024",
"21","약국","01_01_06_P","3780000","PHMD120113780064084000006","2011-02-07","","03","폐업","03","폐업","2026-03-03","","","","031-703-1711","","463-400","경기도 성남시 분당구 삼평동 708번지 에메트타운 106호","경기도 성남시 분당구 판교로 375, 106호 (삼평동, 에메트타운)","13489","판교온누리약국","2026-03-03 14:15:08","U","2026-03-05 02:40:00","","210137.648588675","433579.722057233","30.8","20110207",
"22","약국","01_01_06_P","3100000","PHMD120063100034084000031","2006-10-12","","01","영업/정상","13","영업중","","","","","936-0811","","","서울특별시 노원구 상계동 763-7 동일프라자빌딩","서울특별시 노원구 동일로 1343, 동일프라자빌딩 108호 (상계동)","01767","1번약국","2026-03-03 10:42:27","U","2026-03-05 02:40:00","","205400.87065435","460681.679132551","39.1","20061012",
"23","약국","01_01_06_P","3100000","PHMD120033100034084000008","2003-03-03","","03","폐업","03","폐업","2026-03-03","","","","951-5541","","139-810","서울특별시 노원구 상계동 67번지","서울특별시 노원구 덕릉로126길 11 (상계동)","01643","메디팜은아약국","2026-03-03 10:42:08","U","2026-03-05 02:40:00","","207148.07098568","463140.410750422","67","20030303",
"24","약국","01_01_06_P","3200000","PHMD120263200033084000001","2026-02-10","","01","영업/정상","13","영업중","","","","","02-2039-7997","","","서울특별시 관악구 봉천동 971-14 1층","서울특별시 관악구 봉천로 239, 1층 (봉천동)","08722","우리약국","2026-03-03 13:07:42","U","2026-03-05 02:40:00","","193595.070903582","443043.550424396","47.04","20260210",
"25","약국","01_01_06_P","3210000","PHMD120213210034084000016","2021-04-19","","01","영업/정상","13","영업중","","","","","02-572-1402","","","서울특별시 서초구 내곡동 384 서초포레스타2단지","서울특별시 서초구 헌릉로8길 45, 상가동 203호 (내곡동, 서초포레스타2단지)","06800","서초봄약국","2026-03-03 10:52:00","U","2026-03-05 02:40:00","","205329.561120927","439241.118196373","18.72","20210419",
"26","약국","01_01_06_P","3240000","PHMD120213240033084000006","2021-04-05","","01","영업/정상","13","영업중","","","","","02-429-7197","","","","서울특별시 강동구 올림픽로 787, 태성프라자 109호 (암사동)","05241","이레약국","2026-03-03 13:07:20","U","2026-03-05 02:40:00","","211216.359129232","449919.980434795","36.4","20210405",
"27","약국","01_01_06_P","4160000","PHMD120054160015084000002","2005-02-23","","01","영업/정상","13","영업중","","","","","031-582-4994","","","경기도 가평군 가평읍 읍내리 478-23","경기도 가평군 가평읍 연인길 3","12418","한천당약국","2026-03-03 17:02:59","U","2026-03-05 02:40:00","","245185.458104312","480775.892714318","58.2","20050223",
"28","약국","01_01_06_P","3970000","PHMD120253970017084000001","2025-03-11","","01","영업/정상","13","영업중","","","","","02-507-7893","","","경기도 과천시 갈현동 319-1 과천 아이플렉스","경기도 과천시 과천대로5길 6, 과천 아이플렉스 107호 (갈현동)","13840","과천든든약국","2026-03-03 11:03:28","U","2026-03-05 02:40:00","","198139.216870513","434362.540148787","53.86","20250311",
"29","약국","01_01_06_P","3240000","PHMD120253240033084000014","2025-02-18","","02","휴업","02","휴업","","2026-02-27","2027-08-27","","02-6084-7771","","","서울특별시 강동구 둔촌동 170-1 포레온스테이션5","서울특별시 강동구 양재대로 1360, 포레온스테이션5 3002호 (둔촌동)","05409","푸름약국","2026-03-03 11:40:34","U","2026-03-05 02:40:00","","212195.109947109","447197.273286818","25.36","20250218",
"30","약국","01_01_06_P","3070000","PHMD120223070034084000005","2022-08-29","","01","영업/정상","13","영업중","","","","","02-929-7252","","","서울특별시 성북구 동선동1가 2-5","서울특별시 성북구 동소문로20가길 12, 1층 (동선동1가)","02845","아프지마365약국","2026-03-03 10:03:31","U","2026-03-05 02:40:00","","201447.596116229","454442.573239504","33.83","20220829",
"31","약국","01_01_06_P","3860000","PHMD120183860384084000010","2018-03-26","","03","폐업","03","폐업","2026-03-03","","","","032-345-7779","","","경기도 부천시 소사구 괴안동 129번지 1호 삼성홈플러스소사점","경기도 부천시 소사구 경인로 532 (괴안동)","14676","마이홈온누리약국","2026-03-03 09:17:59","U","2026-03-05 02:40:00","","183505.044366024","442533.953044508","26.88","20180326",
"32","약국","01_01_06_P","5710000","PHMD120165710108084000001","2016-01-01","","01","영업/정상","13","영업중","","","","","043-233-7561","","","충청북도 청주시 흥덕구 복대동 2926번지","충청북도 청주시 흥덕구 증안로 58 (복대동)","28420","새일신약국","2026-03-03 16:29:44","U","2026-03-05 02:40:00","","238364.387562694","348428.770030431","90.66","20160101",
"33","약국","01_01_06_P","3150000","PHMD120123150037084000018","2012-06-01","","03","폐업","03","폐업","2026-03-03","","","","3663-1205","","157-862","서울특별시 강서구 염창동 264번지 37호","서울특별시 강서구 양천로 684, 1층 (염창동)","07555","애플약국","2026-03-03 16:51:58","U","2026-03-05 02:40:00","","188615.453159","449827.102397602","42","20120601",
"34","약국","01_01_06_P","4040000","PHMD120264040023084000002","2026-02-24","","01","영업/정상","13","영업중","","","","","","","","경기도 하남시 망월동 1129","경기도 하남시 미사강변동로84번길 15, 218호 (망월동)","12912","미사이화약국","2026-03-04 13:54:20","I","2026-03-06 00:20:02","","217043.47771616","451202.658969361","53.62","20260224",
"35","약국","01_01_06_P","3240000","PHMD120263240033084000003","2026-03-04","","01","영업/정상","13","영업중","","","","","02-6425-7888","","","서울특별시 강동구 성내동 551-4 다성 이즈빌","서울특별시 강동구 성내로8길 22, 1층 101호 (성내동, 다성 이즈빌)","05399","코알라약국","2026-03-04 11:17:08","I","2026-03-06 00:20:02","","210800.211867925","447391.989013181","80.33","20260304",
"36","약국","01_01_06_P","3110000","PHMD120263110032084000002","2026-03-04","","01","영업/정상","13","영업중","","","","","02-351-4228","","","서울특별시 은평구 대조동 10-1 은평스타빌딩 104호","서울특별시 은평구 불광로 29, 은평스타빌딩 1층 104호 (대조동)","03396","365왕약국","2026-03-04 17:15:05","I","2026-03-06 00:20:02","","193651.134148026","456526.076692087","24.75","20260304",
"37","약국","01_01_06_P","3460000","PHMD120063460023084000010","2006-08-08","","01","영업/정상","13","영업중","","","","","053-744-4408","","706-759","대구광역시 수성구 만촌동 816번지","대구광역시 수성구 교학로11길 46, 302동 104호 (만촌동, 만촌1차우방상가)","42073","사과나무약국","2026-03-04 14:06:58","U","2026-03-06 02:40:00","","349406.436978942","262298.536177506","34.83","20060808",
"38","약국","01_01_06_P","3600000","PHMD120153600020084000001","2015-01-14","","03","폐업","03","폐업","2026-03-03","","","","062-385-7557","","502-827","광주광역시 서구 치평동 1176번지 1호 107호","광주광역시 서구 상무중앙로 9, 1층 107호 (치평동)","61962","동양약국","2026-03-04 17:52:21","U","2026-03-06 02:40:00","","186061.022990434","183186.563097706","60.62","20150114",
"39","약국","01_01_06_P","3600000","PHMD120033600020084000001","2003-01-06","","01","영업/정상","13","영업중","","","","","062-681-5213","","","광주광역시 서구 금호동 793-1 동해빌딩","광주광역시 서구 금화로 90, 동해빌딩 1층 (금호동)","62014","금호프라자약국","2026-03-04 17:53:47","U","2026-03-06 02:40:00","","187034.716510347","181433.65767051","102.8","20030106",
"40","약국","01_01_06_P","3650000","PHMD120173650023084000010","2017-05-29","","02","휴업","02","휴업","","2025-03-14","2027-03-12","","042-525-3368","","","대전광역시 중구 태평동 395번지 1호","대전광역시 중구 태평로 71, 408호 (태평동, 삼부프라자)","34885","인약국","2026-03-04 15:04:33","U","2026-03-06 02:40:00","","235249.085595717","313681.079573387","77.89","20170529",
"41","약국","01_01_06_P","3300000","PHMD119953300024084000001","1995-05-02","","01","영업/정상","13","영업중","","","","","051-502-1165","","","부산광역시 동래구 온천동 1459-36","부산광역시 동래구 여고북로 167 (온천동)","47825","금정약국","2026-03-04 11:11:33","U","2026-03-06 02:40:00","","388804.787453185","191188.033525252","30.25","19950502",
"42","약국","01_01_06_P","3460000","PHMD120253460023084000008","2025-07-25","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 두산동 205-3","대구광역시 수성구 무학로 125, 1층 (두산동)","42175","365큰약국","2026-03-04 14:04:12","U","2026-03-06 02:40:00","","346528.151865448","260138.067818983","180","20250725",
"43","약국","01_01_06_P","3290000","PHMD120263290024084000005","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 475-3","부산광역시 부산진구 서면문화로 11 (부전동)","47257","서면열린약국","2026-03-05 17:15:46","I","2026-03-07 00:20:02","","387390.736657999","186309.511195967","132.98","20260305",
"44","약국","01_01_06_P","4291000","PHMD120264291027084000001","2026-03-03","","01","영업/정상","13","영업중","","","","","0507-1340-0659","","","강원특별자치도 정선군 남면 무릉리 484-21","강원특별자치도 정선군 남면 무릉1로 101","26146","증산약국","2026-03-04 10:11:34","I","2026-03-07 00:20:02","","357525.072384029","417410.397256206","12.16","20260303",
"45","약국","01_01_06_P","5710000","PHMD120265710108084000003","2026-03-05","","01","영업/정상","13","영업중","","","","","070-4032-2002","","","충청북도 청주시 흥덕구 문암동 255","충청북도 청주시 흥덕구 송화로 185, JK빌딩 107, 108호 (문암동)","28291","다나약국","2026-03-05 11:18:58","I","2026-03-07 00:20:02","","240410.539145346","351971.142649424","90","20260305",
"46","약국","01_01_06_P","5380000","PHMD120265380356084000001","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","경상남도 양산시 동면 사송리 1109","경상남도 양산시 동면 삼송로 148, 1층","50637","365플러스약국","2026-03-05 11:21:54","I","2026-03-07 00:20:02","","","","58.89","20260305",
"47","약국","01_01_06_P","3230000","PHMD120183230034084000034","2018-07-23","","01","영업/정상","13","영업중","","","","","02-423-2270","","","서울특별시 송파구 잠실동 22번지 6호 리센츠","서울특별시 송파구 올림픽로 145, 리센츠 4층 4B01호 (잠실동)","05502","더함약국","2026-03-05 17:58:04","U","2026-03-07 02:40:00","","207624.424720682","445533.439634339","14.44","20180723",
"48","약국","01_01_06_P","3560000","PHMD120233560021084000011","2023-07-03","","01","영업/정상","13","영업중","","","","","070-4848-4866","","","인천광역시 서구 당하동 1246-8 위너스 프라자","인천광역시 서구 이음3로 149, 위너스프라자 104호 (당하동)","22869","검단센트럴약국","2026-03-05 10:33:58","U","2026-03-07 02:40:00","","","","44.4","20230703",
"49","약국","01_01_06_P","3420000","PHMD120143420023084000009","2014-10-07","","01","영업/정상","13","영업중","","","","","","","701-817","대구광역시 동구 신암동 1286번지 2호","대구광역시 동구 신암로 80, 1층 (신암동)","41205","진약국","2026-03-04 09:32:35","U","2026-03-07 02:40:00","","345271.599731885","265417.600347598","25.34","20141007",
"50","약국","01_01_06_P","4060000","PHMD120124060023084000018","2012-10-05","","01","영업/정상","13","영업중","","","","","031-947-3134","","","경기도 파주시 동패동 1759 형성프라자","경기도 파주시 와석순환로 133, 형성프라자 103, 104, 105호 (동패동)","10905","태양온누리약국","2026-03-05 13:11:50","U","2026-03-07 02:40:00","","177437.662520252","467771.910454094","174.46","20121005",
"51","약국","01_01_06_P","3540000","PHMD120133540021084000002","2013-01-18","","01","영업/정상","13","영업중","","","","","032-865-1240","","403-020","인천광역시 부평구 산곡동 267번지 7호 1층","인천광역시 부평구 마장로264번길 68-20 (산곡동)","21376","세광약국","2026-03-04 10:39:54","U","2026-03-07 02:40:00","","173979.599194163","444267.753436451","29","20130118",
"52","약국","01_01_06_P","3220000","PHMD120203220033084000011","2020-03-17","","01","영업/정상","13","영업중","","","","","02-6953-7755","","","서울특별시 강남구 도곡동 543번지 7호 도곡1차 I PARK","서울특별시 강남구 도곡로28길 8, 상가동 102,103호 (도곡동, 도곡1차 I PARK)","06272","도곡명약국","2026-03-05 13:07:55","U","2026-03-07 02:40:00","","203751.459934623","443325.264017041","37.25","20200317",
"53","약국","01_01_06_P","5400000","PHMD120245400046084000001","2024-03-26","","03","폐업","03","폐업","2026-03-05","","","","","","","경상남도 함안군 가야읍 도항리 322-1","경상남도 함안군 가야읍 함마대로 1494","52044","열린약국","2026-03-05 13:45:26","U","2026-03-07 02:40:00","","327230.474746444","198186.755412502","47.28","20240326",
"54","약국","01_01_06_P","3740000","PHMD120153740033084000014","2015-10-23","","01","영업/정상","13","영업중","","","","","07088711324","","","","경기도 수원시 팔달구 갓매산로 51, 105호 (매산로2가, 에스알프라자23차)","16455","사랑약국","2026-03-05 18:03:44","U","2026-03-07 02:40:00","","200331.688913556","418556.776373607","53.43","20151023",
"55","약국","01_01_06_P","3150000","PHMD120263150037084000001","2026-02-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 화곡동 1067-19 상원빌딩","서울특별시 강서구 화곡로 135, 상원빌딩 1층 105호,106호 (화곡동)","07712","화곡종로약국","2026-03-05 11:46:58","U","2026-03-07 02:40:00","","185495.78820009","448753.188261092","57.6","20260205",
"56","약국","01_01_06_P","4741000","PHMD120054740041084000001","2005-04-25","","01","영업/정상","13","영업중","","","","","063-322-9672","","","전북특별자치도 무주군 무주읍 읍내리 1004-1","전북특별자치도 무주군 무주읍 주계로 76","55516","푸른약국","2026-03-04 18:23:41","U","2026-03-07 02:40:00","","259278.178993865","278611.33527576","25.55","20050425",
"57","약국","01_01_06_P","5670000","PHMD120075270048084000004","2023-01-11","","01","영업/정상","13","영업중","","","","","055-261-1906","","","","경상남도 창원시 성산구 가양로124번길 17-12 (대방동, 실로암빌딩)","51465","정다운온누리약국","2026-03-04 17:53:33","U","2026-03-07 02:40:00","","355447.636966617","191176.871425838","0","20230111",
"58","약국","01_01_06_P","3780000","PHMD120143780064084000001","2014-01-24","","01","영업/정상","13","영업중","","","","","031) 711-3204","","463-480","경기도 성남시 분당구 금곡동 168번지 메디파크빌딩 102호","경기도 성남시 분당구 돌마로 43, 102호 (금곡동, 메디파크빌딩)","13615","건강백세약국","2026-03-05 12:47:08","U","2026-03-07 02:40:00","","209379.607051064","427601.15850135","99.32","20140124",
"59","약국","01_01_06_P","3040000","PHMD120093040033084000004","2009-04-07","","01","영업/정상","13","영업중","","","","","461-1401","","","서울특별시 광진구 화양동 6-3 7호선 건대입구역","서울특별시 광진구 능동로 지하110, 7호선 건대입구역 지하2층 201호 (화양동)","05030","건대지하철약국","2026-03-05 11:34:17","U","2026-03-07 02:40:00","","206168.35701984","448696.940072846","73.5","20090407",
"60","약국","01_01_06_P","3530000","PHMD120263530019084000003","2026-02-09","","01","영업/정상","13","영업중","","","","","032-435-1346","","","인천광역시 남동구 구월동 1346-5","인천광역시 남동구 문화로115번길 13, 1층 (구월동)","21569","구월온누리약국","2026-03-05 11:04:30","U","2026-03-07 02:40:00","","173276.988602664","438623.811565554","101.65","20260209",
"61","약국","01_01_06_P","5530000","PHMD120195530021084000023","2019-05-13","","01","영업/정상","13","영업중","","","","","031-613-1452","","","경기도 화성시 동탄구 영천동 852-2","경기도 화성시 동탄구 동탄대로 637, 107호 (영천동)","18468","반가워약국","2026-03-04 16:39:20","U","2026-03-07 02:40:00","","206331.01302369","410872.023927048","46.17","20190513",
"62","약국","01_01_06_P","5530000","PHMD120265530507084000001","2026-01-07","","01","영업/정상","13","영업중","","","","","031-235-6119","","","","경기도 화성시 병점구 효행로 1337-23 (반월동, e편한세상 반월 나노시티역)","18383","아이온누리약국","2026-03-05 15:46:11","U","2026-03-07 02:40:00","","205354.311885065","413724.701543383","39.6","20260107",
"63","약국","01_01_06_P","5710000","PHMD120145710013084000002","2014-07-02","","03","폐업","03","폐업","2026-03-05","","","","043-217-7251","","363-215","충청북도 청주시 청원구 주성동 346번지","충청북도 청주시 청원구 충청대로 168, 102호 (주성동, 골든타임빌딩)","28318","탄탄약국","2026-03-05 17:08:02","U","2026-03-07 02:40:00","","244301.036011203","352312.755812164","103.37","20140702",
"64","약국","01_01_06_P","3860000","PHMD120143860272084000003","2014-02-17","","01","영업/정상","13","영업중","","","","","032-652-7582","","","경기도 부천시 원미구 심곡동 168번지 1호 1층","경기도 부천시 원미구 부천로 30, 1층 (심곡동)","14641","가나안약국","2026-03-04 09:07:40","U","2026-03-07 02:40:00","","180788.358060772","442756.394937736","37.95","20140217",
"65","약국","01_01_06_P","5710000","PHMD120175710108084000011","2017-10-30","","01","영업/정상","13","영업중","","","","","043-236-2350","","","","충청북도 청주시 흥덕구 증안로 54 (복대동)","28416","청주열린약국","2026-03-05 09:15:13","U","2026-03-07 02:40:00","","238330.015049365","348430.333669989","76","20171030",
"66","약국","01_01_06_P","3170000","PHMD120123170035084000003","2012-02-01","","03","폐업","03","폐업","2026-03-04","","","","890-8058","","153-011","서울특별시 금천구 독산동 291번지 7호","서울특별시 금천구 시흥대로 391, 3층 (독산동, 홈플러스금천점)","08584","건강플러스약국","2026-03-04 10:34:16","U","2026-03-07 02:40:00","","190809.507840375","440728.382273075","37.26","20120201",
"67","약국","01_01_06_P","5380000","PHMD120255380356084000001","2025-01-06","","03","폐업","03","폐업","2026-03-04","","","","055-363-2022","","","경상남도 양산시 물금읍 범어리 2698-6","경상남도 양산시 물금읍 화합1길 11, 1층","50610","대학약국","2026-03-05 09:59:28","U","2026-03-07 02:40:00","","382489.325298074","205207.319548344","123.06","20250106",
