"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"15","치과기공소","01_02_04_P","3240000","PHMB320213240033062300003","2018-07-04","","01","영업/정상","13","영업중","","","","","02-6401-6846","","","서울특별시 강동구 길동 83-4 이진빌딩","서울특별시 강동구 명일로26길 12, 이진빌딩 3층 (길동)","05300","에프원치과기공소","2026-02-06 09:52:33","U","2026-02-08 02:40:00","","213027.521447764","448948.849544402","1","1","2","0","1","1","1","1","2","1","1","1","1","1","1",
"16","치과기공소","01_02_04_P","3940000","PHMB320233940138062300001","2015-04-23","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 행신동 707-2","경기도 고양시 덕양구 충장로 7, 3층 306호 (행신동)","10523","이앤교정치과기공소","2026-02-06 08:38:10","U","2026-02-08 02:40:00","","185247.567498371","456820.779495127","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"17","치과기공소","01_02_04_P","3630000","PHMB320253630020062300001","2021-04-07","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 장덕동 1300","광주광역시 광산구 장신로 77, 4층 401호 (장덕동)","62224","봄날치과기공소","2026-02-06 11:35:32","U","2026-02-08 02:40:00","","183401.029822815","188021.504481302","1","1","3","0","1","1","2","1","1","2","1","1","2","1","0",
"18","치과기공소","01_02_04_P","3170000","PHMB320263170035062300003","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 549-1 한라 원앤원타워 B동 12층 1210호","서울특별시 금천구 가산디지털2로 101, 한라 원앤원타워 B동 12층 1210호 (가산동)","08505","스튜디오케이 덴탈랩","2026-02-10 16:50:33","I","2026-02-12 00:20:02","","189282.642165078","441654.484590816","1","3","4","0","1","1","2","1","1","1","1","1","1","1","0",
"19","치과기공소","01_02_04_P","4490000","PHMB320044490042062300001","2004-09-03","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 쌍용동 879 미락빌딩","충청남도 천안시 서북구 미라2길 90, 미락빌딩 3층 (쌍용동)","31155","알파이치과기공소","2026-02-10 08:14:17","U","2026-02-12 02:40:00","","211605.622674918","367343.539170552","1","1","2","1","1","1","1","1","1","1","1","3","1","1","1",
"20","치과기공소","01_02_04_P","6510000","PHMB320176510096062300004","2017-08-01","","01","영업/정상","13","영업중","","","","","064-746-7572","","","제주특별자치도 제주시 노형동 711-3","제주특별자치도 제주시 연북로 14, 402호 (노형동)","63086","바른치과기공소","2026-02-10 17:19:05","U","2026-02-12 02:40:00","","151843.004425202","-1512.9352835229","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"21","치과기공소","01_02_04_P","5340000","PHMB320255340030062300002","2025-08-25","","01","영업/정상","13","영업중","","","","","","","","경상남도 사천시 정동면 고읍리 438-18","경상남도 사천시 정동면 옥산로 46, 1층 103호","52521","우주 치과기공소","2026-02-10 17:26:19","U","2026-02-12 02:40:00","","299141.890761488","176128.687944885","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0",
"22","치과기공소","01_02_04_P","3720000","PHMB320003720017062300002","2000-10-25","","01","영업/정상","13","영업중","","","","","052-294-2833","","","울산광역시 북구 매곡동 258","울산광역시 북구 매산로 102, 2층 (매곡동)","44224","메인치과기공소","2026-02-11 11:16:33","U","2026-02-13 02:40:00","","413719.974879038","240307.945498248","1","1","4","1","1","2","3","1","1","1","1","1","1","1","1",
"23","치과기공소","01_02_04_P","3690000","PHMB320263690018062300001","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","울산광역시 중구 태화동 459-8","울산광역시 중구 태화로 167, 4층 (태화동)","44454","글래드","2026-02-12 15:07:46","I","2026-02-14 00:20:02","","407994.982139663","230552.710008027","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"24","치과기공소","01_02_04_P","3010000","PHMB320263010033062300001","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로3가 49 엘크루 메트로시티 208호","서울특별시 중구 충무로 13, 엘크루 메트로시티 2층 208호 (충무로3가)","04554","벧엘치과기공소","2026-02-11 10:17:24","I","2026-02-14 00:20:02","","199279.677406441","451120.517700578","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"25","치과기공소","01_02_04_P","3220000","PHMB320263220033062300002","2026-02-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 신사동 504-11 SINSA SQUARE","서울특별시 강남구 강남대로 652, SINSA SQUARE 1층 105-1호 (신사동)","06027","다른치과기공소","2026-02-11 14:33:27","I","2026-02-14 00:20:02","","201620.446225572","446358.542778413","1","2","2","1","1","1","1","1","1","1","1","2","1","1","1",
"26","치과기공소","01_02_04_P","3030000","PHMB320263030033062300001","2026-02-11","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 성동구 아차산로17길 57, 일신건영휴먼테코 904-1호 (성수동2가)","04799","하이테크5치과기공소","2026-02-11 15:57:53","I","2026-02-14 00:20:02","","205753.250469411","449482.033814702","1","1","2","0","1","1","1","1","1","1","1","1","1","1","1",
"27","치과기공소","01_02_04_P","3330000","PHMB320013330024062300001","2001-07-20","","01","영업/정상","13","영업중","","","","","702-2834","","","부산광역시 해운대구 반여동 885번지 3호","부산광역시 해운대구 선수촌로177번길 5, 4층 (반여동)","48032","미광치과기공소","2026-02-12 14:34:54","U","2026-02-14 02:40:00","","393285.184223866","192001.472430779","1","2","5","1","1","2","3","2","2","1","2","2","3","1","1",
"28","치과기공소","01_02_04_P","3320000","PHMB320113320045062300004","2011-06-14","","03","폐업","03","폐업","2019-06-01","","","","343-2809","","616-819","부산광역시 북구 덕천1동 379번지 26호","부산광역시 북구 만덕대로77번길 5, 2층 (덕천동)","46555","이다움치과기공소","2026-02-13 10:44:12","U","2026-02-15 02:40:00","","383234.204377257","192203.751615434","4","1","5","1","1","2","2","1","1","1","1","1","2","1","1",
"29","치과기공소","01_02_04_P","3740000","PHMB320003740032062300001","2000-12-16","","01","영업/정상","13","영업중","","","","","","","","","경기도 수원시 권선구 금호로 236 (탑동)","16604","예은치과기공소","2026-02-13 15:53:32","U","2026-02-15 02:40:00","","197796.942761648","419269.374116215","1","1","3","1","1","2","1","1","1","1","1","1","3","1","1",
"30","치과기공소","01_02_04_P","3610000","PHMB320263610019062300001","2023-03-13","","01","영업/정상","13","영업중","","","","","","","","광주광역시 남구 백운동 634-1 백운광장역 천년가","광주광역시 남구 독립로10번길 8, 2층 204호 (백운동, 백운광장역 천년가)","61660","더함기공소","2026-02-19 16:44:52","I","2026-02-21 00:20:05","","191041.57606984","181711.146137247","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1",
"31","치과기공소","01_02_04_P","3110000","PHMB320263110032062300001","2003-03-31","","01","영업/정상","13","영업중","","","","","02-3216-2804","","","서울특별시 은평구 대조동 15-194","서울특별시 은평구 진흥로 167, 4층 (대조동)","03397","장치과기공소","2026-02-19 17:56:49","I","2026-02-21 00:20:05","","193598.348172363","456279.824091706","1","2","5","1","2","2","2","1","1","2","2","2","2","1","1",
"32","치과기공소","01_02_04_P","5680000","PHMB320084630020062300001","2008-09-08","","01","영업/정상","13","영업중","","","","","","","","충청남도 당진시 수청동 981 드림타워","충청남도 당진시 밤절로 140, 드림타워 4층 401호 (수청동)","31771","당진미래치과기공소","2026-02-19 17:39:23","U","2026-02-21 02:40:00","","168332.98623644","377834.801852782","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"33","치과기공소","01_02_04_P","3270000","PHMB320173270022062300001","2017-05-12","","03","폐업","03","폐업","2026-02-12","","","","051-987-2809","","","부산광역시 동구 초량동 1212-22","부산광역시 동구 중앙대로180번길 12-4, 2층 (초량동)","48822","웰컴치과기공소","2026-02-19 15:00:59","U","2026-02-21 02:40:00","","385893.062825117","181198.287019303","1","1","5","1","1","1","2","1","1","1","1","3","1","1","1",
"34","치과기공소","01_02_04_P","3230000","PHMB320063230034062300003","2006-06-23","","03","폐업","03","폐업","2025-05-15","","","","413-2889","","","서울특별시 송파구 가락동 164번지 8호","서울특별시 송파구 동남로17길 5, 3층 (가락동)","05820","치아정밀치과기공소","2026-02-19 15:49:40","U","2026-02-21 02:40:00","","211559.017223612","443875.673691888","1","1","4","1","1","2","3","1","1","1","1","1","3","2","1",
"35","치과기공소","01_02_04_P","3170000","PHMB320243170035062300004","2024-03-15","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 319-8 에이스한솔타워 7층 713호","서울특별시 금천구 가산디지털1로 58, 에이스한솔타워 7층 713호 (가산동)","08591","베스트 얼라인 치과기공소","2026-02-20 17:22:52","U","2026-02-22 02:40:00","","189881.714656576","441010.052948731","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1",
"36","치과기공소","01_02_04_P","5670000","PHMB320155670554062300002","2015-12-14","","03","폐업","03","폐업","2026-02-10","","","","544-2870","","","경상남도 창원시 성산구 남양동 24번지","경상남도 창원시 성산구 대정로 84 (남양동, 피오르빌아파트)","51482","창원TP치과기공소","2026-02-20 16:51:58","U","2026-02-22 02:40:00","","354886.357417343","191364.363381491","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"37","치과기공소","01_02_04_P","3420000","PHMB320173420023062300002","2017-11-16","","03","폐업","03","폐업","2026-02-23","","","","","","","대구광역시 동구 효목동 136번지 21호","대구광역시 동구 효동로 78, 2층 (효목동)","41171","모두치과기공소","2026-02-23 13:44:53","U","2026-02-25 02:40:00","","348379.17660244","266072.817740397","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"38","치과기공소","01_02_04_P","3460000","PHMB320223460023062300002","2011-03-03","","01","영업/정상","13","영업중","","","","","053-354-2804","","","대구광역시 수성구 수성동1가 89-5","대구광역시 수성구 달구벌대로456길 9, 3층 (수성동1가)","42121","스페샬치과기공소","2026-02-23 18:02:41","U","2026-02-25 02:40:00","","345481.300768291","263349.812165856","1","1","2","1","1","2","3","1","1","1","2","1","1","1","1",
"39","치과기공소","01_02_04_P","3170000","PHMB320263170035062300004","2016-09-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 680 우림라이온스밸리2차 9층 910호 일부, 911호","서울특별시 금천구 가산디지털1로 2, 우림라이온스밸리2차 9층 910호 일부, 911호 (가산동)","08591","라임치과기공소","2026-02-24 15:43:09","I","2026-02-26 00:20:08","","190050.903572929","440523.497478209","1","8","5","1","1","2","2","1","1","1","1","1","2","1","1",
"40","치과기공소","01_02_04_P","3150000","PHMB320263150037062300002","2019-11-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 800-15 이너매스마곡Ⅱ 7층 708호","서울특별시 강서구 마곡중앙2로 35, 이너매스마곡Ⅱ 7층 708호 (마곡동)","07806","스마일디자인 치과기공소","2026-02-25 17:57:22","I","2026-02-27 00:20:02","","184971.522700042","450643.056387457","1","3","2","1","1","1","1","1","1","1","1","1","1","1","0",
"41","치과기공소","01_02_04_P","3040000","PHMB320253040033062300002","2025-05-19","","03","폐업","03","폐업","2026-02-25","","","","","","","서울특별시 광진구 중곡동 31-1 3층","서울특별시 광진구 능동로 392, 3층 (중곡동)","04934","모던치과기공소","2026-02-25 17:58:01","U","2026-02-27 02:40:00","","207311.333347724","451312.93518937","1","2","5","1","1","1","2","1","2","2","1","1","2","2","1",
"42","치과기공소","01_02_04_P","3600000","PHMB320263600020062300002","2026-02-26","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 치평동 1187-2 월계수타운","광주광역시 서구 치평로 116, 3층 301호 (치평동, 월계수타운)","61950","DD치과기공소","2026-02-26 17:51:04","I","2026-02-28 00:20:02","","186056.622141996","184295.96132782","1","2","2","0","1","1","1","1","1","1","2","3","1","1","0",
"43","치과기공소","01_02_04_P","3030000","PHMB320263030033062300002","2026-02-26","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 성동구 아차산로17길 57, 일신건영휴먼테코 904-2호 (성수동2가)","04799","하이테크S치과기공소","2026-02-26 14:41:55","I","2026-02-28 00:20:02","","205753.250469411","449482.033814702","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
