"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","지정일자","민원종류명",
"27","담배소매업","11_43_02_P","4510000","2026451023105600007","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","충청남도 보령시 신흑동 2266-3","충청남도 보령시 해수욕장10길 6, 가101호, 가102호 (신흑동)","33489","지에스25 머드광장점","2026-04-01 17:05:35","I","2026-04-03 00:20:02","","155976.546619159","312849.081197214","20260401","제7조의3제2항에따른경우",
"28","담배소매업","11_43_02_P","5690000","2026569040805600010","2026-03-31","","01","영업/정상","0","정상영업","","","","","","","","세종특별자치시 새롬동 585 에스월드빌딩","세종특별자치시 새롬중앙로 51, 에스월드빌딩 108호 (새롬동)","30126","지에스25(GS25)세종새롬하늘점","2026-04-01 11:33:04","I","2026-04-03 00:20:02","","222374.687497066","331641.062953752","20260331","제7조의3제2항에따른경우",
"29","담배소매업","11_43_02_P","3120000","2026312021905600004","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 서대문구 대현동 90-70 파라타워","서울특별시 서대문구 신촌로 163, 101호일부호 (대현동)","03766","세븐일레븐이대파라타워점","2026-04-01 11:23:19","I","2026-04-03 00:20:02","","194992.480881426","450528.825988678","20260401","제7조의3제2항에따른경우",
"30","담배소매업","11_43_02_P","4620000","2026462014205600010","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","충청남도 태안군 태안읍 동문리 298-1","충청남도 태안군 태안읍 중앙로 95-1","32141","씨유태안동문점","2026-04-01 17:44:42","I","2026-04-03 00:20:02","","137366.816274411","361526.222416265","20260401","제7조의3제2항에따른경우",
"31","담배소매업","11_43_02_P","4201000","2026420101905600015","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","강원특별자치도 강릉시 유천동 781 강릉유천한내들더퍼스트 상가","강원특별자치도 강릉시 선수촌로 93, 강릉유천한내들더퍼스트 상가 108동 101, 102호 (유천동)","25458","지에스25 강릉한내들점","2026-04-01 14:47:52","I","2026-04-03 00:20:02","","364614.904755231","474635.774944024","20260401","제7조의3제2항에따른경우",
"32","담배소매업","11_43_02_P","3020000","2026302020305600004","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 용산구 이태원동 226-7","서울특별시 용산구 회나무로 43, 옥외건물 1층 (이태원동)","04344","베이프마트","2026-04-01 16:46:09","I","2026-04-03 00:20:02","","199165.360853386","448621.237751287","20260401","제7조의3제2항에따른경우",
"33","담배소매업","11_43_02_P","3020000","2026302020305600005","2026-04-01","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 용산구 이태원동 127-28","서울특별시 용산구 보광로 126, 1층 (이태원동)","04406","전담스팟 이태원점","2026-04-01 17:36:22","I","2026-04-03 00:20:02","","199419.467720549","447976.93552739","20260401","제7조의3제2항에따른경우",
"34","담배소매업","11_43_02_P","3940000","2025395005205600036","2025-07-29","","01","영업/정상","0","정상영업","","","","","","","","경기도 고양시 덕양구 지축동 976-5","경기도 고양시 덕양구 지축3로 39, 1층 (지축동)","10584","화정슈퍼","2026-01-06 14:52:27","U","2026-04-03 01:40:20","","184518.097306059","458669.863237957","20250729","제7조의3제2항에따른경우",
"35","담배소매업","11_43_02_P","5240000","2002524000805600004","2022-11-11","","01","영업/정상","0","정상영업","","","","","","","","경상북도 봉화군 봉화읍 거촌리 380호","","","국군복지단 대구경북지역대 봉화(위)마트","2026-04-01 16:25:56","U","2026-04-03 02:40:00","","","","20221111","2009년11월법개정전자료",
"36","담배소매업","11_43_02_P","3240000","2023324028905600042","2023-07-26","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 강동구 성내동 549-5 성내스테이 103호","서울특별시 강동구 성내로 54, 1층 103호 (성내동, 성내스테이)","05399","다니엘 서비스","2026-04-01 15:04:46","U","2026-04-03 02:40:00","","211055.001609475","447336.664019539","20230726","제7조의3제2항에따른경우",
"37","담배소매업","11_43_02_P","4540000","2023454027505600029","2023-07-06","","03","폐업","2","폐업처리","2026-04-01","","","","","","","충청남도 논산시 연무읍 동산리 894-326 연무 코러스마트","충청남도 논산시 연무읍 연무로 199","33008","주식회사 신우","2026-04-01 17:52:42","U","2026-04-03 02:40:00","","209031.052660585","292185.2602417","20230706","제7조의3제3항에따른경우",
"38","담배소매업","11_43_02_P","3450000","2023345016005600056","2023-09-01","","03","폐업","2","폐업처리","2026-04-01","","","","","","","대구광역시 북구 매천동 741 매천센트럴파크","대구광역시 북구 매전로4길 9, 상가1동 102호 (매천동, 매천센트럴파크)","41487","세븐일레븐 대구매천휴먼시아점","2026-04-01 15:02:24","U","2026-04-03 02:40:00","","339401.315760352","268552.162253249","20230901","제7조의3제2항에따른경우",
"39","담배소매업","11_43_02_P","3200000","2019320022505600049","2019-05-28","","03","폐업","2","폐업처리","2026-04-01","","","","","","","서울특별시 관악구 신림동 95번지 53호 영어린이집","서울특별시 관악구 참숯5길 12, 영어린이집 1층 (신림동)","08829","지에스25 관악 이편한","2026-04-01 13:15:31","U","2026-04-03 02:40:00","","194656.426343828","441654.982514438","20190528","제7조의3제2항에따른경우",
"40","담배소매업","11_43_02_P","3830000","2019385003705600022","2019-05-31","","03","폐업","2","폐업처리","2026-04-01","","","","","","","경기도 안양시 동안구 호계동 829번지 15호","경기도 안양시 동안구 호성로 29, 1층 (호계동)","14127","씨유안양호성점","2026-04-01 17:55:27","U","2026-04-03 02:40:00","","196736.125298861","429175.091166909","20190531","제7조의3제2항에따른경우",
"41","담배소매업","11_43_02_P","4351000","2021435006905600001","2021-01-11","","02","휴업","1","휴업처리","","2022-07-01","2026-09-30","","033-671-4475","","","강원특별자치도 양양군 강현면 전진리 7-30 스타비치모텔","강원특별자치도 양양군 강현면 해맞이길 14, 스타비치모텔","25009","25리빙마트","2026-04-01 15:10:23","U","2026-04-03 02:40:00","","342941.094279804","514273.578103267","20210111","제7조의3제2항에따른경우",
"42","담배소매업","11_43_02_P","3590000","2015359013405600011","2015-02-25","","03","폐업","2","폐업처리","2026-04-01","","","","","","501-808","광주광역시 동구 금동 50번지","광주광역시 동구 천변우로 431 (금동)","501-808","지에스25광주금교점","2026-04-01 15:33:02","U","2026-04-03 02:40:00","","192246.445268887","182722.853288588","20150225","제7조의3제2항에따른경우",
"43","담배소매업","11_43_02_P","3500000","2022350013205600507","2022-03-23","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","","","","인천광역시 동구 송림동 43-12","인천광역시 동구 송림로 132, 1층 (송림동)","22571","오복김밥본점","2026-04-01 16:18:47","U","2026-04-03 02:40:00","","168912.4750519","441697.752472793","20220323","제7조의3제2항에따른경우",
"44","담배소매업","11_43_02_P","4810000","1974481000005600006","1974-06-30","","03","폐업","2","폐업처리","2026-04-01","","","","006106424564","","","전라남도 여수시 서교동 464호","전라남도 여수시 좌수영로 11 (서교동)","","금진슈퍼","2026-04-01 17:26:21","U","2026-04-03 02:40:00","","266559.017557369","138339.926108213","19740630","2009년11월법개정전자료",
"45","담배소매업","11_43_02_P","3780000","2002381003105600087","2002-06-28","","01","영업/정상","0","정상영업","","","","","031 7083464","","","경기도 성남시분당구 야탑동 517호 벽산상가 127호","경기도 성남시 분당구 야탑로 124 (야탑동,벽산상가 127호)","","지에스25탑마을벽산아름점","2026-04-01 10:50:36","U","2026-04-03 02:40:00","","211639.531094828","434078.499060508","20020628","2009년11월법개정전자료",
"46","담배소매업","11_43_02_P","3110000","2024311021705600050","2024-09-13","","03","폐업","2","폐업처리","2026-04-01","","","","","","","서울특별시 은평구 갈현동 267-56 어울림빌","서울특별시 은평구 갈현로29길 53, 비1호 (갈현동, 어울림빌)","03322","씨유 대성바론점","2026-04-01 16:44:17","U","2026-04-03 02:40:00","","192090.280667818","457806.746448487","20240913","제7조의3제2항에따른경우",
"47","담배소매업","11_43_02_P","4390000","2024439021405600065","2024-10-11","","03","폐업","2","폐업처리","2026-04-01","","","","","","","충청북도 충주시 용산동 159","충청북도 충주시 용정7길 13, 우측점포 1층 (용산동)","27394","삼형제네 야채과일","2026-04-01 16:11:15","U","2026-04-03 02:40:00","","283325.044548696","385342.701639425","20241011","제7조의3제2항에따른경우",
"48","담배소매업","11_43_02_P","3620000","2017362014505600159","2017-11-28","","03","폐업","2","폐업처리","2026-04-01","","","","","","","광주광역시 북구 연제동 42번지","광주광역시 북구 양일1로 5, 1층 (연제동)","61091","주식회사 와이마트대주연제점","2026-04-01 13:41:15","U","2026-04-03 02:40:00","","188194.259261571","188676.461732599","20171128","제7조의3제3항에따른경우",
"49","담배소매업","11_43_02_P","3930000","2016555003005600017","2016-03-03","","03","폐업","2","폐업처리","2026-03-31","","","","","","","경기도 안산시 상록구 본오동 784번지 6호","경기도 안산시 상록구 석호로 357, 1층 (본오동)","15549","행복할인마트","2026-04-01 09:39:11","U","2026-04-03 02:40:00","","188430.119438848","421290.271189848","20160303","제7조의3제2항에따른경우",
"50","담배소매업","11_43_02_P","3740000","2022377004105600008","2022-02-18","","03","폐업","2","폐업처리","2026-04-01","","","","","","","경기도 수원시 팔달구 지동 73-5","경기도 수원시 팔달구 중부대로 119(지동)","16249","지에스25(GS25) 팔달유진","2026-04-01 09:25:01","U","2026-04-03 02:40:00","","202533.956951485","419604.657370363","20220218","제7조의3제2항에따른경우",
"51","담배소매업","11_43_02_P","5070000","2022507017805600005","2022-02-25","","03","폐업","2","폐업처리","2026-04-01","","","","","","","경상북도 안동시 금곡동 30-1","경상북도 안동시 단원로 175, 1층 (금곡동)","36689","세븐일레븐 안동단원로점","2026-04-01 16:50:32","U","2026-04-03 02:40:00","","354173.951905741","342383.895278822","20220225","제7조의3제2항에따른경우",
"52","담배소매업","11_43_02_P","3640000","2026364018105600013","2026-03-23","","01","영업/정상","0","정상영업","","","","","","","","대전광역시 동구 자양동 141-14","대전광역시 동구 동대전로131번길 8-20 (자양동)","34608","이마트24 STAY우송빌리지점","2026-04-01 13:47:01","U","2026-04-03 02:40:00","","239945.927726523","314984.590757861","20260323","제7조의3제2항에따른경우",
"53","담배소매업","11_43_02_P","3380000","2026338009405600008","2026-03-24","","01","영업/정상","0","정상영업","","","","","","","","부산광역시 수영구 광안동 122-6 이린타워빌8","부산광역시 수영구 수영로606번길 73, 104,105,106호 (광안동, 이린타워빌8)","48293","지에스(GS)25 광안프레시점","2026-04-01 14:09:07","U","2026-04-03 02:40:00","","392888.178055464","186512.930157115","20260324","제7조의3제2항에따른경우",
"54","담배소매업","11_43_02_P","3040000","2026304019005600002","2026-03-26","","01","영업/정상","0","정상영업","","","","","","","","서울특별시 광진구 중곡동 76-61","서울특별시 광진구 긴고랑로 146, 지하1층 (중곡동)","04945","지에스(GS)25 중곡긴고랑점","2026-04-01 15:06:50","U","2026-04-03 02:40:00","","207965.073737908","450708.952277508","20260326","제7조의3제2항에따른경우",
"55","담배소매업","11_43_02_P","3110000","2024311021705600034","2024-07-08","","03","폐업","2","폐업처리","2026-04-01","","","","","","","서울특별시 은평구 대조동 45-2","서울특별시 은평구 진흥로 119, 1층 (대조동)","03395","매머드 베이프","2026-04-01 16:46:57","U","2026-04-03 02:40:00","","193161.566996716","456114.368516132","20240708","제7조의3제2항에따른경우",
"56","담배소매업","11_43_02_P","3510500","2024351057905600043","2024-07-09","","03","폐업","2","폐업처리","2026-04-01","","","","","","","인천광역시 미추홀구 도화동 997-1","인천광역시 미추홀구 숙골로95번길 25, 1층 103호 (도화동)","22100","전자담배","2026-04-01 15:54:28","U","2026-04-03 02:40:00","","169847.829116715","440947.629589847","20240709","제7조의3제2항에따른경우",
"57","담배소매업","11_43_02_P","3500000","2009350005105600007","2009-03-19","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","773-9931","","401-060","인천광역시 동구 금곡동 67번지 1호","인천광역시 동구 금송로7번길 13 (금곡동)","","현대슈퍼","2026-04-01 16:20:46","U","2026-04-03 02:40:00","","168404.932422317","441085.06374507","20090319","2009년11월법개정전자료",
"58","담배소매업","11_43_02_P","3500000","2012350005105600011","2012-05-25","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","2016-05-16","2016-06-29","","","","401-072","인천광역시 동구 송림2동 69번지 29호","인천광역시 동구 금곡로82번길 13 (송림동)","401-072","우리홈마트","2026-04-01 16:19:36","U","2026-04-03 02:40:00","","168493.332886882","441220.195987266","20120525","제7조의3제2항에따른경우",
"59","담배소매업","11_43_02_P","3500000","2017350008305600008","2017-06-01","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","","","","","인천광역시 동구 송현로 69 (송현동)","22546","산해진미 왕 식자재마트","2026-04-01 16:16:38","U","2026-04-03 02:40:00","","167972.394863741","442166.160714562","20170601","제7조의3제2항에따른경우",
"60","담배소매업","11_43_02_P","3500000","1998350000905600056","1998-11-10","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","","","","인천광역시 동구 화수동 7-276","인천광역시 동구 화수부두로 3-1(화수동)","22502","대신상회","2026-04-01 16:14:47","U","2026-04-03 02:40:00","","167294.180893674","442886.858383646","19981110","2009년11월법개정전자료",
"61","담배소매업","11_43_02_P","3500000","1998350000905600154","1998-01-01","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","2015-08-25","2015-09-24","","032 7637313","","","인천광역시 동구 송현동 12-54","인천광역시 동구 샛골로 197(송현동)","22540","영화식품","2026-04-01 16:18:28","U","2026-04-03 02:40:00","","168547.318172554","442037.401110937","19980101","2009년11월법개정전자료",
"62","담배소매업","11_43_02_P","3500000","2018350008305600007","2018-04-12","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","","","","인천광역시 동구 송현동 129번지 인천산업용품유통단지","인천광역시 동구 방축로37번길 30, 인천산업용품유통단지 5동 108호 (송현동)","22530","대길종합상사","2026-04-01 16:13:45","U","2026-04-03 02:40:00","","169226.889631696","442817.65455975","20180412","제7조의3제3항에따른경우",
"63","담배소매업","11_43_02_P","3500000","1998350000905600483","1998-10-28","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","032 7645865","","","인천광역시 동구 송림동 124번지 54  호 6  통 7  반","인천광역시 동구 샛골로171번길 8-8 (송림동)","","수진문구","2026-04-01 16:17:35","U","2026-04-03 02:40:00","","168477.451542882","441818.860793265","19981028","2009년11월법개정전자료",
"64","담배소매업","11_43_02_P","3500000","2005350000905600034","2005-11-21","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","032 7664264","","","인천광역시 동구 송림동 51번지 1호","인천광역시 동구 송림로109번길 42-1 (송림동)","22538","D.C생활용품","2026-04-01 16:09:03","U","2026-04-03 02:40:00","","168659.686965925","441864.553947295","20051121","2009년11월법개정전자료",
"65","담배소매업","11_43_02_P","3500000","2005350000905600036","2005-12-01","2026-04-01","04","취소/말소/만료/정지/중지","5","지정취소","","","","","032 7617692","","","인천광역시 동구 송현동 13번지 9호 7통 5반","인천광역시 동구 안송로95번길 1 (송현동)","22541","등나무 슈퍼","2026-04-01 16:16:13","U","2026-04-03 02:40:00","","168342.885147268","441984.044133844","20051201","2009년11월법개정전자료",
"66","담배소매업","11_43_02_P","3500000","2001350000905600022","2001-09-10","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","032-762-4030","","","인천광역시 동구 화수동 4-29","인천광역시 동구 화수로 72(화수동)","22513","우리쇼핑","2026-04-01 16:19:11","U","2026-04-03 02:40:00","","167310.753932719","442565.535241026","20010910","2009년11월법개정전자료",
"67","담배소매업","11_43_02_P","3500000","2016350008305600018","2016-12-22","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","","","","","인천광역시 동구 안송로 70 (송림동)","22540","대전슈퍼","2026-04-01 16:15:45","U","2026-04-03 02:40:00","","168341.353265079","441851.565199158","20161222","제7조의3제2항에따른경우",
"68","담배소매업","11_43_02_P","3500000","2010350005105600008","2010-04-16","2026-04-01","04","취소/말소/만료/정지/중지","3","직권취소","","","","","032-761-0810","","401-010","인천광역시 동구 만석동 43번지 42호 15통 3반","인천광역시 동구 제물량로341번길 37 (만석동)","","대원미니슈퍼","2026-04-01 16:15:15","U","2026-04-03 02:40:00","","166263.449871086","442334.371079075","20100416","제7조의3제2항에따른경우",
"69","담배소매업","11_43_02_P","3530000","2014353013005600067","2014-05-28","","03","폐업","2","폐업처리","2026-04-01","","","","","","","","인천광역시 남동구 호구포로810번길 58, 1층 3호 (구월동)","405-839","세븐일레븐 구월모래내점","2026-04-01 14:29:05","U","2026-04-03 02:40:00","","175389.672952294","439169.707355887","20140528","제7조의3제2항에따른경우",
