번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),사용목적,사용방법,월사용량,수용정원수,시설사용여부,Unnamed: 33,record_key
39,특정고압가스업,09_28_14_P,3160000,2023316028812200001,2023-08-24,,1,영업/정상,1,사용중,,,,,,,,서울특별시 구로구 개봉동 144-5,,,(주)대명이십일,2026-02-19 14:21:35,U,2026-02-21 02:40:00,,187064.192158501,443874.017248936,개봉동 144-5번지 공사장,가시설 작업,70.0,7,,,(주)대명이십일_서울특별시구로구개봉동144-5
2,특정고압가스업,09_28_14_P,3500000,2023350016112200001,2023-08-04,,1,영업/정상,1,사용중,,,,,,,,인천광역시 동구 화수동 7-11,인천광역시 동구 인중로 489 (화수동),22502.0,에이치디건설기계(주),2026-02-02 09:25:36,U,2026-02-04 02:40:00,,167026.3164495,442927.500637717,"연구, 시험용","연구, 시험용",88.0,50,,,에이치디건설기계(주)_인천광역시동구화수동7-11
58,특정고압가스업,09_28_14_P,4070000,2021407018812200002,2021-11-19,,3,폐업,2,폐지,2026-02-25,,,,,,,경기도 이천시 호법면 매곡리 128-4,경기도 이천시 호법면 덕평로 554-30,17396.0,(주)탑머티리얼,2026-02-25 13:14:01,U,2026-02-27 02:40:00,,233886.802934151,412556.020630818,제조시 공정과정(고온열처리),액제산소 용기 저장시설을 갖추고 대기식 기화기를 통하여 기화시켜 이를 배관을 이용하여 산소가스를 사용하고자 함.,673.08,50,,,(주)탑머티리얼_경기도이천시호법면매곡리128-4
46,특정고압가스업,09_28_14_P,3740000,2020376003412200006,2020-11-06,,1,영업/정상,1,사용중,,,,,,,,경기도 수원시 권선구 고색동 1007,경기도 수원시 권선구 산업로155번길 139 (고색동),16648.0,(주)비아트론,2026-02-20 14:56:21,U,2026-02-22 02:40:00,,198536.057640159,416014.17414091,장비 연구의 목적,"고압가스 저장실에 고압가스를 저장 및 보관하여 사용시 가스배관을 통하여 사용처까지 가스를 공급함
(월간 사용량 압축가스 23.388m3, 액화가스 84.018Kg)",1.0,130,,,(주)비아트론_경기도수원시권선구고색동1007
40,특정고압가스업,09_28_14_P,3160000,2020316024812200003,2020-10-14,,1,영업/정상,1,사용중,,,,,,,,서울특별시 구로구 구로동 25,서울특별시 구로구 새말로 94 (구로동),8289.0,아름제일병원,2026-02-19 14:18:00,U,2026-02-21 02:40:00,,190244.829015482,444811.238193821,의료용,의료용,0.0,0,,,아름제일병원_서울특별시구로구구로동25
35,특정고압가스업,09_28_14_P,3130000,2020313016112200004,2020-04-21,,3,폐업,2,폐지,2026-02-12,,,,,,,서울특별시 마포구 아현동 662,,,SK건설(주),2026-02-12 15:25:52,U,2026-02-15 02:40:00,,195554.21266596,450382.73238922,용접 및 용단,용접 및 용단,42.0,2,,,SK건설(주)_서울특별시마포구아현동662
36,특정고압가스업,09_28_14_P,3130000,2020313016112200005,2020-04-21,,3,폐업,2,폐지,2026-02-12,,,,,,,서울특별시 마포구 공덕동 385-13,,,SK건설(주),2026-02-12 15:25:31,U,2026-02-15 02:40:00,,,,용접 및 용단,용접 및 용단,35.0,4,,,SK건설(주)_서울특별시마포구공덕동385-13
31,특정고압가스업,09_28_14_P,5530000,2019553037912200007,2019-05-10,,1,영업/정상,1,사용중,,,,,,,,경기도 화성시 만세구 팔탄면 창곡리 3-1,경기도 화성시 만세구 팔탄면 푸른들판로1010번길 78,18525.0,주식회사 세진코리아,2026-02-12 19:09:33,U,2026-02-14 02:40:00,,190030.415602742,410493.030377656,주형 및 금형제조에 사용,"저장탱크 및 기화기, 감압설비를 통한 사용",15000.0,10,,,주식회사세진코리아_경기도화성시만세구팔탄면창곡리3-1
12,특정고압가스업,09_28_14_P,3290000,2019329012812200001,2019-01-28,,1,영업/정상,1,사용중,,,,,,,,부산광역시 부산진구 양정동 320-3 수 요양병원,"부산광역시 부산진구 동평로 401, 수 요양병원 (양정동)",47211.0,의료법인청원의료재단 수요양병원,2026-02-03 16:31:35,U,2026-02-06 02:40:00,,388418.982637727,188078.306325796,의료용,압축가스,250.0,520,,,의료법인청원의료재단수요양병원_부산광역시부산진구양정동320-3수요양병원
30,특정고압가스업,09_28_14_P,3930000,2013393028812200003,2013-12-03,,3,폐업,2,폐지,2026-02-12,,,,,,,경기도 안산시 단원구 성곡동 765-4 시화공단 5바 905,"경기도 안산시 단원구 첨단로 153 (성곡동, 시화공단 5바 905)",,(주)대유철강,2026-02-12 18:56:31,U,2026-02-14 02:40:00,,176769.355479622,422949.499241792,철판절단가공,"철판절단
에너지정책과-5008호(2026.2.12.)",10000.0,9,,,(주)대유철강_경기도안산시단원구성곡동765-4시화공단5바905
57,특정고압가스업,09_28_14_P,3630000,2012363017312200002,2012-03-06,,3,폐업,2,폐지,2026-02-25,,,,,,,광주광역시 광산구 장록동 751-15,광주광역시 광산구 평동산단2번로 204 (장록동),,(주)프리미어,2026-02-25 16:04:51,U,2026-02-27 02:40:00,,179153.044454427,181612.775158345,용접용,용기사용,1090.0,130,,,(주)프리미어_광주광역시광산구장록동751-15
37,특정고압가스업,09_28_14_P,5670000,2011567014512200005,2011-07-29,,1,영업/정상,1,사용중,,,,,,,,경상남도 창원시 성산구 성주동 44-1,경상남도 창원시 성산구 정동로62번길 51 (성주동),,에삽씨케이 주식회사,2026-02-13 09:59:57,U,2026-02-15 02:40:00,,353864.51450123,189788.667029848,산업용,열처리 공정용,144.0,3,,,에삽씨케이주식회사_경상남도창원시성산구성주동44-1
9,특정고압가스업,09_28_14_P,3630000,2011363012212200001,2011-01-26,,1,영업/정상,1,사용중,,,,,,,,광주광역시 광산구 월전동 1036,광주광역시 광산구 평동산단로62번길 25 (월전동),,에이에스티(주),2026-01-30 17:50:23,U,2026-02-04 11:04:37,,179429.315224719,179624.724600922,열교환기 등 제품 생산 및 용접,저장탱크설치하여 배관이용하여 사용,10000.0,100,,,에이에스티(주)_광주광역시광산구월전동1036
21,특정고압가스업,09_28_14_P,4231000,2010423005112200001,2010-03-31,,1,영업/정상,1,사용중,,,,,,,,강원특별자치도 속초시 교동 669-1,강원특별자치도 속초시 중앙로 11 (교동),,의료법인 온새움 의료재단 온재병원,2026-02-06 08:49:51,U,2026-02-08 02:40:00,,338197.766804118,522865.442373193,의료용,의료용 산소공급,320.0,200,,,의료법인온새움의료재단온재병원_강원특별자치도속초시교동669-1
23,특정고압가스업,09_28_14_P,3560000,2008356006812200159,2008-12-03,,3,폐업,2,폐지,2008-12-03,,,,,,,인천광역시 서구 당하동 951-11,,,검단탑종합병원,2026-02-09 15:48:30,U,2026-02-11 02:40:00,,,,환자호흡용,각 병실 공급,4977.0,1000,,,검단탑종합병원_인천광역시서구당하동951-11
42,특정고압가스업,09_28_14_P,3160000,2008316011712200001,2008-02-27,,1,영업/정상,1,사용중,,,,,,,,서울특별시 구로구 개봉동 43-1,서울특별시 구로구 고척로21나길 88-41 (개봉동),,(주)미소들병원,2026-02-19 14:11:52,U,2026-02-21 02:40:00,,185884.744012457,444536.915882661,의료용,용기사용,5000.0,320,,,(주)미소들병원_서울특별시구로구개봉동43-1
41,특정고압가스업,09_28_14_P,3160000,2006316011702700001,1999-09-11,,1,영업/정상,1,사용중,,,,,0220671577,,,서울특별시 구로구 고척동 76-189 구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",8223.0,구로성심병원,2026-02-19 14:10:19,U,2026-02-21 02:40:00,,188114.404383349,444166.198422671,의료용,액화산소를 기화시켜 배관을 통해 공급,6000.0,500,,,구로성심병원_서울특별시구로구고척동76-189구로성심병원
50,특정고압가스업,09_28_14_P,3100000,1998310029712200001,1998-07-10,,1,영업/정상,1,사용중,,,,,,,,서울특별시 노원구 상계동 771-2 서울특별시 기술교육원(북부캠퍼스),"서울특별시 노원구 덕릉로70가길 81, 서울특별시 기술교육원(북부캠퍼스) (상계동)",1772.0,서울특별시기술교육원(북부캠퍼스),2026-02-23 15:32:01,U,2026-02-25 02:40:00,,205057.664642849,459996.379649526,교육용,새올에 없어 안전공사 직원 태블릿으로 확인후 새올에 직접 입력함,0.0,0,,,서울특별시기술교육원(북부캠퍼스)_서울특별시노원구상계동771-2서울특별시기술교육원(북부캠퍼스)
13,특정고압가스업,09_28_14_P,4211000,1994421009302700030,1994-04-18,,1,영업/정상,1,사용중,,,,,5205040,,,강원특별자치도 동해시 송정동 60,강원특별자치도 동해시 대동로 210 (송정동),,쌍용씨앤이(주) 북평공장,2026-02-03 13:08:55,U,2026-02-06 02:40:00,,388872.150122467,445348.387176442,산업용,해당없음,600.0,0,,,쌍용씨앤이(주)북평공장_강원특별자치도동해시송정동60
16,특정고압가스업,09_28_14_P,3290000,1990329001302700037,1990-06-09,,1,영업/정상,1,사용중,,,,,051 8508558,,,부산광역시 부산진구 양정동 산 45,"부산광역시 부산진구 양정로 62 (양정동, 동의대학교부속 동의의료원)",,학교법인 동의병원,2026-02-03 10:57:27,U,2026-02-06 02:40:00,,,,의료용,0,0.0,0,,,학교법인동의병원_부산광역시부산진구양정동산45
8,특정고압가스업,09_28_14_P,5670000,1990527002202700086,1990-02-12,,1,영업/정상,1,사용중,,,,,05500000000,,,경상남도 창원시 성산구 신촌동 65,경상남도 창원시 성산구 적현로 147 (신촌동),,(주)세아창원특수강,2026-02-02 14:01:49,U,2026-02-04 02:40:00,,346140.768506965,190698.587267838,공업용,기체산소-배관공급,0.0,1,,,(주)세아창원특수강_경상남도창원시성산구신촌동65
43,특정고압가스업,09_28_14_P,3160000,2018316020312200003,1990-01-05,,1,영업/정상,1,사용중,,,,,,,,서울특별시 구로구 구로동 80 고려대부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",8308.0,고려대학교의과대학부속구로병원,2026-02-19 14:04:30,U,2026-02-21 02:40:00,,189737.563067918,443329.459368413,의료용,용기 사용(액화산소 문제발생  대비 비상용 보관),3000.0,1250,,,고려대학교의과대학부속구로병원_서울특별시구로구구로동80고려대부속구로병원
32,특정고압가스업,09_28_14_P,3930000,1985393009202700226,1985-07-30,,3,폐업,2,폐지,2026-02-12,,,,031 4003661,,,경기도 안산시 상록구 일동 95,경기도 안산시 상록구 구룡로 87 (일동),,근로복지공단 안산병원,2026-02-12 18:55:35,U,2026-02-14 02:40:00,,188790.160811676,423859.289933906,.,에너지정책과-5011호(2026.2.12.).,4900.0,3,,,근로복지공단안산병원_경기도안산시상록구일동95
15,특정고압가스업,09_28_14_P,3290000,1984329001302700033,1984-12-01,,3,폐업,2,폐지,2001-01-01,,,,051 8114045,,,부산광역시 부산진구 전포동 188-9,부산광역시 부산진구 동성로76번길 4 (전포동),,대우버스(주),2026-02-04 11:09:43,U,2026-02-06 02:40:00,,,,작업용,0,0.0,0,,,대우버스(주)_부산광역시부산진구전포동188-9
17,특정고압가스업,09_28_14_P,3560000,1977356001302700001,1977-12-23,,1,영업/정상,1,사용중,,,,,032 5705413,,,인천광역시 서구 원창동 100,인천광역시 서구 봉수대로 415 (원창동),,SK인천석유화학(주),2026-02-05 11:27:40,U,2026-02-07 02:40:00,,169432.293307121,445974.108712164,공업용,-,0.0,100,,,SK인천석유화학(주)_인천광역시서구원창동100
