번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업소구분명,소재지,지정일자,신청일자,항목값1,Unnamed: 33,record_key
1895,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600017,2026-02-25,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 완산구 중앙동4가 19-1,"전북특별자치도 전주시 완산구 전라감영로 41, 1층 (중앙동4가)",55038,세븐일레븐 전주전라감영점,2026-02-25 13:19:27,I,2026-02-27 00:20:02,,212921.316282286,257278.504382531,지정,전북특별자치도 전주시 완산구 중앙동4가 19-1,20260225.0,20260225.0,관급봉투,,세븐일레븐전주전라감영점_전북특별자치도전주시완산구중앙동4가19-1
1894,쓰레기종량제봉투판매업,09_30_13_P,4030000,403000014202600005,2026-02-25,,1,영업/정상,11,영업,,,,,,,,경기도 의왕시 포일동 519-2 대일빌딩,"경기도 의왕시 흥안대로456번길 122, 대일빌딩 1층 A-101호 (포일동)",16018,세븐일레븐 의왕포일점,2026-02-25 17:16:30,I,2026-02-27 00:20:02,,198306.106219219,432221.821814122,지정,경기도 의왕시 포일동 519-2 대일빌딩,20260225.0,20260225.0,관급봉투,,세븐일레븐의왕포일점_경기도의왕시포일동519-2대일빌딩
1888,쓰레기종량제봉투판매업,09_30_13_P,4550000,455000014202600001,2026-02-24,,1,영업/정상,11,영업,,,,,,,,충청남도 금산군 남일면 신천리 76-5,"충청남도 금산군 남일면 십이폭포로 491, 1층",32758,씨유 금산용수목점,2026-02-24 15:30:10,I,2026-02-26 00:20:08,,245066.842010804,281243.319525495,지정,충청남도 금산군 남일면 신천리 76-5,20260224.0,20260224.0,관급봉투,,씨유금산용수목점_충청남도금산군남일면신천리76-5
1899,쓰레기종량제봉투판매업,09_30_13_P,4191000,419100014202600016,2026-02-24,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 원주시 우산동 660 상지대학교 상지대학교 행복기숙사,"강원특별자치도 원주시 상지대길 83, 상지대학교 행복기숙사 (우산동)",26339,스위티움(주)상지대점,2026-02-25 10:04:48,I,2026-02-27 00:20:02,,282151.822954944,430257.366976729,지정,강원특별자치도 원주시 우산동 660 상지대학교 상지대학교 행복기숙사,20260224.0,20260224.0,관급봉투,,스위티움(주)상지대점_강원특별자치도원주시우산동660상지대학교상지대학교행복기숙사
1886,쓰레기종량제봉투판매업,09_30_13_P,4721000,472100014202600005,2026-02-24,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 완주군 삼례읍 삼례리 897-35,전북특별자치도 완주군 삼례읍 동학로 36-8,55342,세븐일레븐 삼례퍼스트점,2026-02-24 10:27:49,I,2026-02-26 00:20:08,,206713.548711641,267804.335306013,지정,전북특별자치도 완주군 삼례읍 삼례리 897-35,20260224.0,20260223.0,관급봉투,,세븐일레븐삼례퍼스트점_전북특별자치도완주군삼례읍삼례리897-35
1887,쓰레기종량제봉투판매업,09_30_13_P,5370000,537000014202600001,2026-02-24,,1,영업/정상,11,영업,,,,,,,,경상남도 거제시 하청면 하청리 515,경상남도 거제시 하청면 하청2길 8,53204,대진유통,2026-02-24 14:04:20,I,2026-02-26 00:20:08,,351325.151319732,163230.66222208,지정,,20260224.0,20260220.0,관급봉투,,대진유통_경상남도거제시하청면하청리515
1881,쓰레기종량제봉투판매업,09_30_13_P,5530000,575000014202600002,2026-02-23,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 효행구 정남면 신리 136-12,"경기도 화성시 효행구 정남면 서봉로 1078, B동 1층",18519,씨유(CU)화성서봉로점,2026-02-23 19:46:38,I,2026-02-25 00:20:01,,198129.138773601,406857.468591831,지정,경기도 화성시 효행구 정남면 신리 136-12,20260224.0,20260211.0,관급봉투,,씨유(CU)화성서봉로점_경기도화성시효행구정남면신리136-12
1879,쓰레기종량제봉투판매업,09_30_13_P,3990000,399000014202600007,2026-02-23,,1,영업/정상,11,영업,,,,,,,,경기도 남양주시 화도읍 가곡리 268,"경기도 남양주시 화도읍 가곡로 39, 1층",12032,세븐일레븐 남양주가곡점,2026-02-23 11:11:25,I,2026-02-25 00:20:01,,226574.668208455,464689.526608481,지정,경기도 남양주시 화도읍 가곡리 268,20260223.0,20260223.0,관급봉투,,세븐일레븐남양주가곡점_경기도남양주시화도읍가곡리268
1880,쓰레기종량제봉투판매업,09_30_13_P,3820000,382000014202600006,2026-02-23,,1,영업/정상,11,영업,,,,,,,,경기도 의정부시 호원동 468-25,"경기도 의정부시 평화로 121-1, 1층 (호원동)",11714,케이(k)할인마트,2026-02-23 15:24:34,I,2026-02-25 00:20:01,,,,지정,경기도 의정부시 호원동 468-25,20260223.0,20260220.0,관급봉투,,케이(k)할인마트_경기도의정부시호원동468-25
1873,쓰레기종량제봉투판매업,09_30_13_P,3990000,399000014202600006,2026-02-20,,1,영업/정상,11,영업,,,,,,,,경기도 남양주시 진접읍 금곡리 379,"경기도 남양주시 진접읍 경복대로 420, 1층",12051,씨유 남양주경복점,2026-02-20 15:39:42,I,2026-02-22 00:20:02,,218595.356645939,470126.146666872,지정,경기도 남양주시 진접읍 금곡리 379,20260220.0,20260220.0,관급봉투,,씨유남양주경복점_경기도남양주시진접읍금곡리379
1872,쓰레기종량제봉투판매업,09_30_13_P,5530000,577000014202600008,2026-02-20,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 동탄구 영천동  880-5,"경기도 화성시 동탄구 동탄영천로 81-5, 골든프라자 106호 (영천동)",18467,씨유 동탄다원점,2026-02-20 10:22:00,I,2026-02-22 00:20:02,,209040.741882331,411970.326950963,지정,경기도 화성시 동탄구 영천동 880-5,20260220.0,20260213.0,관급봉투,,씨유동탄다원점_경기도화성시동탄구영천동880-5
1871,쓰레기종량제봉투판매업,09_30_13_P,4490000,565000014202600010,2026-02-20,,1,영업/정상,11,영업,,,,,,,,충청남도 천안시 동남구 신방동 980,충청남도 천안시 동남구 통정2길 6-26 (신방동),31204,드림마트 정육,2026-02-20 14:07:14,I,2026-02-22 00:20:02,,211742.613081923,364101.416481248,지정,충청남도 천안시 동남구 신방동 980,20260220.0,20260220.0,관급봉투,,드림마트정육_충청남도천안시동남구신방동980
1859,쓰레기종량제봉투판매업,09_30_13_P,4160000,416000014202600004,2026-02-19,,1,영업/정상,11,영업,,,,,,,,경기도 가평군 가평읍 읍내리 583-1,경기도 가평군 가평읍 석봉로191번길 18,12414,씨유 가평코아루점,2026-02-19 15:32:06,I,2026-02-21 00:20:05,,244639.138709147,481169.025121228,지정,경기도 가평군 가평읍 읍내리 583-1,20260219.0,20260219.0,관급봉투,,씨유가평코아루점_경기도가평군가평읍읍내리583-1
1860,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600015,2026-02-19,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 완산구 평화동1가 466,"전북특별자치도 전주시 완산구 덕적골2길 35-4, 1층 (평화동1가)",55119,GS25 전주평화주공점,2026-02-19 13:33:25,I,2026-02-21 00:20:05,,212701.222729143,255024.757828812,지정,전북특별자치도 전주시 완산구 평화동1가 466,20260219.0,20260219.0,관급봉투,,GS25전주평화주공점_전북특별자치도전주시완산구평화동1가466
1861,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600016,2026-02-19,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 완산구 풍남동3가 26-5 라한호텔 전주,"전북특별자치도 전주시 완산구 기린대로 85, 라한호텔 전주 지하1층 (풍남동3가)",55041,세븐일레븐 전주라한호텔점,2026-02-19 14:34:59,I,2026-02-21 00:20:05,,213854.303534735,257455.722665921,지정,전북특별자치도 전주시 완산구 풍남동3가 26-5 라한호텔 전주,20260219.0,20260219.0,관급봉투,,세븐일레븐전주라한호텔점_전북특별자치도전주시완산구풍남동3가26-5라한호텔전주
1858,쓰레기종량제봉투판매업,09_30_13_P,5090000,509000014202600001,2026-02-19,,1,영업/정상,11,영업,,,,,,,,경상북도 영주시 가흥동 1889,경상북도 영주시 대학로188번길 1 (가흥동),36135,스마일마트,2026-02-19 17:06:51,I,2026-02-21 00:20:05,,343309.741706582,369147.945169437,지정,,20260219.0,20260219.0,관급봉투,,스마일마트_경상북도영주시가흥동1889
1857,쓰레기종량제봉투판매업,09_30_13_P,4490000,565000014202600009,2026-02-19,,1,영업/정상,11,영업,,,,,,,,충청남도 천안시 동남구 신방동 1258,충청남도 천안시 동남구 통정9로 10 (신방동),31208,세븐일레븐 천안신방유안점,2026-02-19 16:48:04,I,2026-02-21 00:20:05,,211311.665432369,363662.422137734,지정,충청남도 천안시 동남구 신방동 1258,20260219.0,20260219.0,관급봉투,,세븐일레븐천안신방유안점_충청남도천안시동남구신방동1258
1862,쓰레기종량제봉투판매업,09_30_13_P,3990000,399000014202600005,2026-02-19,,1,영업/정상,11,영업,,,,,,,,경기도 남양주시 다산동 4433 롯데낙천대아파트,"경기도 남양주시 미금로 24, 상가동 109, 110호 (다산동, 롯데낙천대아파트)",12254,씨유 도농롯데점,2026-02-19 21:20:56,I,2026-02-21 00:20:05,,213473.202972038,456161.682369825,지정,경기도 남양주시 다산동 4433 롯데낙천대아파트,20260220.0,20260219.0,관급봉투,,씨유도농롯데점_경기도남양주시다산동4433롯데낙천대아파트
1855,쓰레기종량제봉투판매업,09_30_13_P,4691000,469100014202600003,2026-02-16,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 정읍시 농소동 1525 정읍푸르지오더퍼스트,"전북특별자치도 정읍시 농흥1길 79 (농소동, 정읍푸르지오더퍼스트)",56155,씨유 정읍푸르지오더퍼스트점,2026-02-16 15:23:05,I,2026-02-20 00:20:13,,,,지정,전북특별자치도 정읍시 농소동 1525 정읍푸르지오더퍼스트,20260216.0,20260115.0,관급봉투,,씨유정읍푸르지오더퍼스트점_전북특별자치도정읍시농소동1525정읍푸르지오더퍼스트
1851,쓰레기종량제봉투판매업,09_30_13_P,5530000,577000014202600007,2026-02-13,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 동탄구 영천동  847-3,"경기도 화성시 동탄구 동탄대로23안길 31, 105호 (영천동)",18468,이마트24 동탄더큐브온에어점,2026-02-13 11:32:58,I,2026-02-15 00:20:02,,,,지정,경기도 화성시 동탄구 영천동 847-3,20260213.0,20260212.0,관급봉투,,이마트24동탄더큐브온에어점_경기도화성시동탄구영천동847-3
1850,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600014,2026-02-13,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 덕진구 송천동2가 1309 102호,"전북특별자치도 전주시 덕진구 세병로 93, 102호 (송천동2가)",55148,삼촌네신선식품매장,2026-02-13 15:53:11,I,2026-02-15 00:20:02,,211913.649706594,263653.116882198,지정,전북특별자치도 전주시 덕진구 송천동2가 1309 102호,20260213.0,20260213.0,관급봉투,,삼촌네신선식품매장_전북특별자치도전주시덕진구송천동2가1309102호
1838,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600013,2026-02-12,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 덕진구 송천동2가 199 김현성가정의학과,"전북특별자치도 전주시 덕진구 붓내3길 28, 1층 (송천동2가)",54829,GS25 송천뜨란채점,2026-02-12 13:48:08,I,2026-02-14 00:20:02,,211201.427755664,262938.695531159,지정,전북특별자치도 전주시 덕진구 송천동2가 199 김현성가정의학과,20260212.0,20260212.0,관급봉투,,GS25송천뜨란채점_전북특별자치도전주시덕진구송천동2가199김현성가정의학과
1842,쓰레기종량제봉투판매업,09_30_13_P,5050000,505000014202600006,2026-02-12,,1,영업/정상,11,영업,,,,,,,,경상북도 경주시 북군동 11-1 켄싱턴리조트,"경상북도 경주시 보문로 182-29, 켄싱턴리조트 지하1층 (북군동)",38116,씨유 R켄싱턴리조트경주점,2026-02-12 15:28:50,I,2026-02-14 00:20:02,,404841.798099653,264595.723082789,지정,경상북도 경주시 북군동 11-1 켄싱턴리조트,20260212.0,20260212.0,관급봉투,,씨유R켄싱턴리조트경주점_경상북도경주시북군동11-1켄싱턴리조트
1839,쓰레기종량제봉투판매업,09_30_13_P,4880000,488000014202600001,2026-02-12,,1,영업/정상,11,영업,,,,,,,,전라남도 고흥군 도화면 당오리 534-4 소매점,"전라남도 고흥군 도화면 중심길 43, 소매점",59529,도화마트,2026-02-12 16:30:01,I,2026-02-14 00:20:02,,229303.648607008,112597.835942367,지정,전라남도 고흥군 도화면 당오리 534-4 소매점,20260212.0,20260206.0,관급봉투,,도화마트_전라남도고흥군도화면당오리534-4소매점
1840,쓰레기종량제봉투판매업,09_30_13_P,4691000,469100014202600002,2026-02-12,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 정읍시 연지동 329-25,전북특별자치도 정읍시 명덕로 51 (연지동),56159,효성전기 철물공구,2026-02-12 16:57:55,I,2026-02-14 00:20:02,,185873.50033818,230660.974254839,지정,전북특별자치도 정읍시 연지동 329-25,20260212.0,20260202.0,관급봉투,,효성전기철물공구_전북특별자치도정읍시연지동329-25
1841,쓰레기종량제봉투판매업,09_30_13_P,4191000,419100014202600015,2026-02-12,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 원주시 단구동 1686-9,"강원특별자치도 원주시 오성마을길 2, 1층 (단구동)",26400,씨유 원주단구본점,2026-02-12 09:58:40,I,2026-02-14 00:20:02,,284473.347928924,424467.331851955,지정,강원특별자치도 원주시 단구동 1686-9,20260212.0,20260210.0,관급봉투,,씨유원주단구본점_강원특별자치도원주시단구동1686-9
1843,쓰레기종량제봉투판매업,09_30_13_P,5470000,547000014202600001,2026-02-12,,1,영업/정상,11,영업,,,,,,,,경상남도 거창군 가조면 마상리 190-5,경상남도 거창군 가조면 지산로 1467,50118,지에스25 가조지산점,2026-02-12 10:31:35,I,2026-02-14 00:20:02,,291856.449751819,245775.325877187,지정,경상남도 거창군 가조면 마상리 190-5,20260212.0,20260206.0,관급봉투,,지에스25가조지산점_경상남도거창군가조면마상리190-5
1793,쓰레기종량제봉투판매업,09_30_13_P,5530000,575000014202600001,2026-02-11,,1,영업/정상,11,영업,,,,,,,,경기도 화성시 효행구 봉담읍 동화리 155 봉담자이라피네,"경기도 화성시 효행구 봉담읍 동화서북안길 50, 601동 1층 107호 (봉담자이라피네)",18298,팔도마당 봉담점,2026-02-11 08:13:18,I,2026-02-13 00:20:38,,197262.649536481,413399.701165226,지정,경기도 화성시 효행구 봉담읍 동화리 155 봉담자이라피네,20260211.0,20260203.0,관급봉투,,팔도마당봉담점_경기도화성시효행구봉담읍동화리155봉담자이라피네
1790,쓰레기종량제봉투판매업,09_30_13_P,4641000,464100014202600012,2026-02-11,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 전주시 덕진구 여의동 751-56,전북특별자치도 전주시 덕진구 팔복로 253 (여의동),54855,씨유(CU)전주팔복공단점,2026-02-11 13:44:10,I,2026-02-13 00:20:38,,207154.087775322,262014.334508912,지정,전북특별자치도 전주시 덕진구 여의동 751-56,20260211.0,20260211.0,관급봉투,,씨유(CU)전주팔복공단점_전북특별자치도전주시덕진구여의동751-56
1794,쓰레기종량제봉투판매업,09_30_13_P,3940000,395000014202600004,2026-02-11,,1,영업/정상,11,영업,,,,,,,,경기도 고양시 덕양구 원흥동 705 고양 원흥 한일윈스타 지식산업센터,"경기도 고양시 덕양구 삼원로 73, 고양 원흥 한일윈스타 지식산업센터 1층 119,120호 (원흥동)",10550,지에스25 원흥한일원스타점,2026-02-11 10:11:55,I,2026-02-13 00:20:38,,188913.048541656,459643.367557637,지정,경기도 고양시 덕양구 원흥동 705 고양 원흥 한일윈스타 지식산업센터,20260211.0,20260210.0,관급봉투,,지에스25원흥한일원스타점_경기도고양시덕양구원흥동705고양원흥한일윈스타지식산업센터
1796,쓰레기종량제봉투판매업,09_30_13_P,5050000,505000014202600005,2026-02-11,,1,영업/정상,11,영업,,,,,,,,경상북도 경주시 안강읍 산대리 2381,"경상북도 경주시 안강읍 구부랑길 68-7, 우방타운상가 205동 101호",38012,이마트24 경주우방점,2026-02-11 16:19:24,I,2026-02-13 00:20:38,,398107.959586129,280423.935601013,지정,경상북도 경주시 안강읍 산대리 2381,20260211.0,20260211.0,관급봉투,,이마트24경주우방점_경상북도경주시안강읍산대리2381
1795,쓰레기종량제봉투판매업,09_30_13_P,3820000,382000014202600005,2026-02-11,,1,영업/정상,11,영업,,,,,,,,경기도 의정부시 녹양동 355 녹양힐스테이트,"경기도 의정부시 녹양로62번길 12 (녹양동, 녹양힐스테이트)",11615,씨유녹양힐스테이트점,2026-02-11 14:00:41,I,2026-02-13 00:20:38,,202978.492639538,472604.872479804,지정,경기도 의정부시 녹양동 355 녹양힐스테이트,20260211.0,20260210.0,관급봉투,,씨유녹양힐스테이트점_경기도의정부시녹양동355녹양힐스테이트
1777,쓰레기종량제봉투판매업,09_30_13_P,4140000,414000014202600001,2026-02-10,,1,영업/정상,11,영업,,,,,,,,경기도 연천군 왕징면 북삼리 170-4,경기도 연천군 왕징면 북삼로80번가길 59,11042,필로우캠핑장,2026-02-10 09:42:37,I,2026-02-12 00:20:02,,200772.022029233,510316.558309905,지정,경기도 연천군 왕징면 북삼리 170-4,20260210.0,20260209.0,관급봉투,,필로우캠핑장_경기도연천군왕징면북삼리170-4
1776,쓰레기종량제봉투판매업,09_30_13_P,5050000,505000014202600004,2026-02-10,,1,영업/정상,11,영업,,,,,,,,경상북도 경주시 현곡면 금장리 439,"경상북도 경주시 현곡면 안현로 43-3, 세정스위츠리버아파트 상가 2동 101,102호",38051,씨유 경주금장스위츠점,2026-02-10 11:25:46,I,2026-02-12 00:20:02,,398842.059378415,265613.091916339,지정,경상북도 경주시 현곡면 금장리 439,20260210.0,20260210.0,관급봉투,,씨유경주금장스위츠점_경상북도경주시현곡면금장리439
1775,쓰레기종량제봉투판매업,09_30_13_P,3610000,361000014202600003,2026-02-10,,1,영업/정상,11,영업,,,,,,,,광주광역시 남구 주월동 957-1 주월동 홀리어스 오피스텔,"광주광역시 남구 대남대로 219, 제1층 104호 (주월동, 주월동 홀리어스 오피스텔)",61720,(주)코리아세븐 광주백운광장점,2026-02-10 13:19:03,I,2026-02-12 00:20:02,,190845.53907137,181557.600484084,지정,광주광역시 남구 주월동 957-1 주월동 홀리어스 오피스텔,20260210.0,20260210.0,관급봉투,,(주)코리아세븐광주백운광장점_광주광역시남구주월동957-1주월동홀리어스오피스텔
1774,쓰레기종량제봉투판매업,09_30_13_P,4221000,422100014202600001,2026-02-10,,1,영업/정상,11,영업,,,,,,,,강원특별자치도 태백시 소도동 47-62,강원특별자치도 태백시 천제단길 11 (소도동),26043,씨스페이스24태백산점,2026-02-10 11:24:32,I,2026-02-12 00:20:02,,374190.624789874,405008.881456811,지정,강원특별자치도 태백시 소도동 47-62,20260210.0,20260209.0,관급봉투,,씨스페이스24태백산점_강원특별자치도태백시소도동47-62
1791,쓰레기종량제봉투판매업,09_30_13_P,4430000,443000014202600001,2026-02-10,,1,영업/정상,11,영업,,,,,,,,충청북도 옥천군 동이면 세산리 675 공장,충청북도 옥천군 동이면 세산1길 2,29024,세븐일레븐 옥천동이점,2026-02-11 14:05:46,I,2026-02-13 00:20:38,,254174.897664253,307989.653968005,지정,,20260210.0,20260210.0,관급봉투,,세븐일레븐옥천동이점_충청북도옥천군동이면세산리675공장
1778,쓰레기종량제봉투판매업,09_30_13_P,4140000,414000014202600002,2026-02-10,,1,영업/정상,11,영업,,,,,,,,경기도 연천군 전곡읍 은대리 566,경기도 연천군 전곡읍 전곡로 187-1,11028,CS유통(주)롯데슈퍼 전곡점,2026-02-10 10:03:31,I,2026-02-12 00:20:02,,205749.023512098,502827.430494496,지정,경기도 연천군 전곡읍 은대리 566,20260210.0,20260205.0,관급봉투,,CS유통(주)롯데슈퍼전곡점_경기도연천군전곡읍은대리566
1752,쓰레기종량제봉투판매업,09_30_13_P,3820000,382000014202600004,2026-02-09,,1,영업/정상,11,영업,,,,,02-1577-8007,,,경기도 의정부시 용현동 46 현대아파트,"경기도 의정부시 오목로 38, 현대아파트 1층 108호 (용현동)",11793,씨유 의정부현대점,2026-02-09 09:39:21,I,2026-02-11 00:20:41,,207611.658096158,469962.685549828,지정,경기도 의정부시 용현동 46 현대아파트,20260209.0,20260205.0,관급봉투,,씨유의정부현대점_경기도의정부시용현동46현대아파트
1754,쓰레기종량제봉투판매업,09_30_13_P,4191000,419100014202600014,2026-02-09,,3,폐업,2,폐업,2026-02-09,,,,,,,강원특별자치도 원주시 반곡동 1619-10,강원특별자치도 원주시 늘품로 245 (반곡동),26457,지에스25 원주늘품로점,2026-02-09 17:34:26,I,2026-02-11 00:20:41,,285763.666077049,425954.216728246,종료,강원특별자치도 원주시 반곡동 1619-10,20260209.0,20260209.0,관급봉투,,지에스25원주늘품로점_강원특별자치도원주시반곡동1619-10
1755,쓰레기종량제봉투판매업,09_30_13_P,4721000,472100014202600004,2026-02-09,,1,영업/정상,11,영업,,,,,,,,전북특별자치도 완주군 이서면 용서리 785 혁신금호어울림아파트 제상가동 101-1호,"전북특별자치도 완주군 이서면 반교로 51, 제상가동 101-1,2호 (혁신금호어울림아파트)",55365,씨유 혁신어울림점,2026-02-09 09:28:53,I,2026-02-11 00:20:41,,202044.063786377,258484.32808343,지정,전북특별자치도 완주군 이서면 용서리 785 혁신금호어울림아파트 제상가동 101-1호,20260209.0,20260206.0,관급봉투,,씨유혁신어울림점_전북특별자치도완주군이서면용서리785혁신금호어울림아파트제상가동101-1호
1751,쓰레기종량제봉투판매업,09_30_13_P,3820000,382000014202600003,2026-02-09,,1,영업/정상,11,영업,,,,,,,,경기도 의정부시 의정부동 724 의정부역센트럴자이&위브캐슬,"경기도 의정부시 경의로 130, B동 105호 (의정부동, 의정부역센트럴자이&위브캐슬)",11699,소도몰 의정부센트럴자이점,2026-02-09 09:36:44,I,2026-02-11 00:20:41,,204368.427119001,469951.268772564,지정,경기도 의정부시 의정부동 724 의정부역센트럴자이&위브캐슬,20260209.0,20260205.0,관급봉투,,소도몰의정부센트럴자이점_경기도의정부시의정부동724의정부역센트럴자이&위브캐슬
