"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"11","요양보호사교육기관","11_49_01_P","6480000","201964800000040006-20190715","2019-07-15","","01","영업/정상","0","운영","","","","","0552776387","","","경상남도 창원시 의창구 명서동 199-10 세인모리스타운 1001호","경상남도 창원시 의창구 우곡로217번길 36, 세인모리스타운 1001호 (명서동)","","청솔요양보호사교육원","2026-02-02 13:23:24","U","2026-02-06 02:40:00","","","","","","","",
"12","요양보호사교육기관","11_49_01_P","6440000","202564400000040006-20251031","2025-10-31","","01","영업/정상","0","운영","","","","","0416303147","","","충청남도 홍성군 홍성읍 남장리 392-1 청운대학교,홍익관","충청남도 홍성군 홍성읍 대학길 25, 청운대학교,홍익관","44800","청운대학교 산학협력단 부설 요양보호사교육원","2026-02-03 13:08:03","U","2026-02-06 02:40:00","","169714.542780394","342272.726436176","","","","",
"13","요양보호사교육기관","11_49_01_P","6460000","202164600000040007-20210714","2021-07-14","","01","영업/정상","0","운영","","","","","0614735277","","","전라남도 영암군 영암읍 서남리 17-2 광주은행영암지점 0동","전라남도 영암군 영암읍 남문로 5, 광주은행영암지점 0동 2층","","힐링 요양보호사 교육원","2026-02-03 14:01:55","U","2026-02-06 02:40:00","","","","","","","",
"14","요양보호사교육기관","11_49_01_P","6480000","202164800000040018-20210806","2021-08-06","","01","영업/정상","0","운영","","","","","0553650222","","","경상남도 양산시 중부동 692-3 나래프라자701호중일부","경상남도 양산시 양산역1길 18, 나래프라자701호중일부(중부동)","","양산제일요양보호사교육원","2026-02-04 09:35:12","U","2026-02-06 02:40:00","","","","","","","",
"15","요양보호사교육기관","11_49_01_P","6470000","202564700000040002-20250708","2025-07-08","","01","영업/정상","0","운영","","","","","0536004231","","","경상북도 경산시 하양읍 부호리 33번지 경일대학교","경상북도 경산시 하양읍 가마실길 50, 경일대학교","47290","경일대학교요양보호사교육원","2026-02-04 15:58:01","U","2026-02-06 02:40:00","","362535.711088405","269023.618453936","","","","",
"16","요양보호사교육기관","11_49_01_P","6460000","201064600000040037-20101027","2010-10-27","","01","영업/정상","0","운영","","","","","0613936777","","","전라남도 장성군 북일면 문암리 184번지 5호","전라남도 장성군 북일면 매남길 17","","한.순요양보호사교육원","2026-02-04 17:23:03","U","2026-02-06 02:40:00","","177802.838308841","210590.861883744","","","","",
"17","요양보호사교육기관","11_49_01_P","6410000","202664100001040003-20260205","2026-02-05","","01","영업/정상","0","운영","","","","","0318287126","","","경기도 의정부시 가능동 562-1 경민대학","경기도 의정부시 서부로 545, 창업관 10층 1002호 (가능동)","41150","경민대학교 산학협력단 요양보호사교육원","2026-02-05 09:54:03","I","2026-02-07 00:20:02","","202033.524291592","471586.920339003","","","","",
"18","요양보호사교육기관","11_49_01_P","6260000","201662600000040009-20161116","2016-11-16","","01","영업/정상","0","운영","","","","","","","","","부산광역시 남구 수영로 193, 3층 (대연동)","","참좋은요양보호사교육원","2026-02-05 15:10:50","U","2026-02-07 02:40:00","","","","","","","",
"19","요양보호사교육기관","11_49_01_P","6110000","202261100000040002-20220107","2022-01-07","","01","영업/정상","0","운영","","","","","023242388","","","서울특별시 마포구 서교동 399-23","서울특별시 마포구 양화로6길 65, 3층(서교동)","","마포요양보호사교육원","2026-02-05 10:30:55","U","2026-02-07 02:40:00","","","","","","","",
"20","요양보호사교육기관","11_49_01_P","6410000","202164100001040025-20210628","2021-06-28","","01","영업/정상","0","운영","","","","","0312683131","","","경기도 수원시 팔달구 교동 84-1 경화빌딩","경기도 수원시 팔달구 매산로 123, 경화빌딩 2층(교동)","41115","수원국제요양보호사교육원","2026-02-05 09:06:22","U","2026-02-07 02:40:00","","201182.014255826","418884.39923051","","","","",
"21","요양보호사교육기관","11_49_01_P","6410000","201364100001040010-20130820","2013-08-20","","01","영업/정상","0","운영","","","","","0312662382","","","경기도 용인시 수지구 풍덕천1동   85-35번지 4층","경기도 용인시 수지구 포은대로 476, 4층 (풍덕천동,성지빌딩)","","남서울요양보호사교육원","2026-02-05 16:00:19","U","2026-02-07 02:40:00","","","","","","","",
"22","요양보호사교육기관","11_49_01_P","6540000","202065400000040002-20200403","2020-04-03","","01","영업/정상","0","운영","","","","","0632805296","","","전북특별자치도 전주시 완산구 중화산동1가 177번지 전주기전대학","전북특별자치도 전주시 완산구 전주천서로 267, 전주기전대학 3층(중화산동1가)","52111","전주기전대학부설 요양보호사교육원","2026-02-05 08:05:25","U","2026-02-07 02:40:00","","212172.911528126","257499.247389382","","","","",
"23","요양보호사교육기관","11_49_01_P","6480000","202064800000040010-20200511","2020-05-11","","01","영업/정상","0","운영","","","","","0553815215","","","경상남도 양산시 삼호동 1010-7 웅상클리닉센터 501호","경상남도 양산시 삼호1길 36-5, 웅상클리닉센터 5층(삼호동)","","굿모닝요양보호사교육원","2026-02-06 18:18:27","U","2026-02-08 02:40:00","","","","","","","",
"24","요양보호사교육기관","11_49_01_P","6470000","201064700000040022-20101025","2010-10-25","","01","영업/정상","0","운영","","","","","0544337078","","","경상북도 김천시 성내동   75-9번지 평화빌딩4층","경상북도 김천시 자산로 118 (성내동)","","김천요양보호사교육원","2026-02-06 11:37:36","U","2026-02-08 02:40:00","","","","","","","",
"25","요양보호사교육기관","11_49_01_P","6480000","202264800000040004-20220128","2022-01-28","","01","영업/정상","0","운영","","","","","0553280955","","","경상남도 김해시 율하동 1339-3 경희메디컬빌딩 901호","경상남도 김해시 율하3로 29, 경희메디컬빌딩 901호(율하동)","","율하현대요양보호사교육원","2026-02-09 10:04:47","U","2026-02-11 02:40:00","","","","","","","",
"26","요양보호사교육기관","11_49_01_P","6480000","202064800000040016-20200917","2020-09-17","","01","영업/정상","0","운영","","","","","0553371288","","","경상남도 김해시 외동 1034-4 301호","경상남도 김해시 분성로 62, 3층 (외동)","","효사랑요양보호사교육원","2026-02-09 15:35:09","U","2026-02-11 02:40:00","","","","","","","",
"27","요양보호사교육기관","11_49_01_P","6530000","201165300000040046-20110214","2011-02-14","","01","영업/정상","0","운영","","","","","","","","강원특별자치도 춘천시 운교동 174-4","강원특별자치도 춘천시 금강로 114, 4층(운교동)","","희망요양보호사교육원","2026-02-10 10:25:21","U","2026-02-12 02:40:00","","","","","","","",
"28","요양보호사교육기관","11_49_01_P","6260000","201662600000040002-20160127","2016-01-27","","01","영업/정상","0","운영","","","","","0519132450","","","부산광역시 부산진구 범천동 849-19 도문빌딩","부산광역시 부산진구 범일로 190, 도문빌딩 7층(범천동)","","서면삼성실버요양보호사교육원","2026-02-10 13:34:01","U","2026-02-12 02:40:00","","","","","","","",
"29","요양보호사교육기관","11_49_01_P","6260000","201062600000040045-20100706","2010-07-06","","01","영업/정상","0","운영","","","","","0515235339","","","부산광역시 해운대구 재송동 1061-9","부산광역시 해운대구 재반로103번길 14, 2층(재송동)","","해운대요양보호사교육원","2026-02-11 10:10:09","U","2026-02-13 02:40:00","","","","","","","",
"30","요양보호사교육기관","11_49_01_P","6280000","201662800000040003-20160513","2016-05-13","","01","영업/정상","0","운영","","","","","0325642210","","","인천광역시 서구 가정동 0번지 루원눈담봄 612호","인천광역시 서구 봉오대로 255, 루원눈담봄 6층 612호 (가정동)","28260","국제요양보호사교육원","2026-02-11 09:16:42","U","2026-02-13 02:40:00","","","","","","","",
"31","요양보호사교육기관","11_49_01_P","6500000","202665000000040001-20260212","2026-02-12","","01","영업/정상","0","운영","","","","","0647122869","","","제주특별자치도 제주시 오라이동 651-14","제주특별자치도 제주시 아연로 216-17, 1층 (오라이동)","","딜라이트요양보호사교육원","2026-02-12 19:25:41","I","2026-02-14 00:20:02","","","","","","","",
"32","요양보호사교육기관","11_49_01_P","6440000","202464400000040001-20240109","2024-01-09","","01","영업/정상","0","운영","","","","","0416748700","","","충청남도 태안군 태안읍 동문리 343-3 현대자동차 201호","충청남도 태안군 태안읍 중앙로 147, 현대자동차 201호","","제일요양보호사교육원","2026-02-12 09:22:50","U","2026-02-14 02:40:00","","","","","","","",
"33","요양보호사교육기관","11_49_01_P","6480000","201264800000040086-20121129","2012-11-29","","01","영업/정상","0","운영","","","","","0558827521","","","경상남도 하동군 하동읍 비파리  363번지 5호 2층","경상남도 하동군 하동읍 화심길 51-13, 2층","","해맑은요양보호사교육원","2026-02-12 16:41:49","U","2026-02-14 02:40:00","","269032.082728749","175007.514666841","","","","",
"34","요양보호사교육기관","11_49_01_P","6260000","201062600000040070-20101011","2010-10-11","","01","영업/정상","0","운영","","","","","07082402465","","","부산광역시 북구 덕천동 352-8 청림빌딩6층","부산광역시 북구 낙동대로1781번길 1, 청림빌딩 6층 (덕천동)","","삼성실버 요양보호사교육원","2026-02-13 13:10:25","U","2026-02-15 02:40:00","","","","","","","",
"35","요양보호사교육기관","11_49_01_P","6480000","202164800000040035-20211221","2021-12-21","","01","영업/정상","0","운영","","","","","0559633319","","","경상남도 함양군 함양읍 교산리 1034-12 2층","경상남도 함양군 함양읍 필봉산길 50, 2층","","함양상림요양보호사교육원","2026-02-13 13:56:19","U","2026-02-15 02:40:00","","","","","","","",
"36","요양보호사교육기관","11_49_01_P","6110000","202461100000040018-20240508","2024-05-08","","01","영업/정상","0","운영","","","","","028529501","","","서울특별시 구로구 구로동 505번지","서울특별시 구로구 구로중앙로31길 34, 605호 (구로동)","","구로요양보호사교육원","2026-02-13 13:25:50","U","2026-02-15 02:40:00","","","","","","","",
"37","요양보호사교육기관","11_49_01_P","6480000","201664800000040004-20160906","2016-09-06","","01","영업/정상","0","운영","","","","","0552219991","","","경상남도 창원시 마산합포구 신포동1가 65-5 경남간호학원","경상남도 창원시 마산합포구 해안대로 289, 경남간호학원 5층 (신포동1가)","","경남간호학원부설요양보호사교육원","2026-02-13 17:41:35","U","2026-02-15 02:40:00","","","","","","","",
"38","요양보호사교육기관","11_49_01_P","6480000","202164800000040003-20210128","2021-01-28","","01","영업/정상","0","운영","","","","","0552744523","","","경상남도 창원시 성산구 신월동 39-5 2층","경상남도 창원시 성산구 상남로 224, 2층(신월동)","","행복드림요양보호사교육원","2026-02-13 14:33:17","U","2026-02-15 02:40:00","","","","","","","",
"39","요양보호사교육기관","11_49_01_P","6470000","202364700000040003-20231020","2023-10-20","","01","영업/정상","0","운영","","","","","0549339335","","","경상북도 성주군 성주읍 성산리 545-1 더갤럭시빌딩 A동 501호","경상북도 성주군 성주읍 성주로 3289, 더갤럭시빌딩 A동 501호","47840","성주요양보호사교육원","2026-02-13 14:45:18","U","2026-02-15 02:40:00","","316705.610985155","269440.212087491","","","","",
"40","요양보호사교육기관","11_49_01_P","6410000","202664100001040004-20260212","2026-02-12","","01","영업/정상","0","운영","","","","","0312922015","","","경기도 화성시 봉담읍 동화리 425-10 ,2층","경기도 화성시 봉담읍 진등1길 62, 2층","","화성재원요양보호사교육원","2026-02-12 17:15:26","I","2026-02-16 00:20:01","","","","","","","",
"41","요양보호사교육기관","11_49_01_P","6410000","202264100001040063-20221101","2022-11-01","","01","영업/정상","0","운영","","","","","03180278993","","","경기도 하남시 신장동 415-44","경기도 하남시 신평로 84, 3층 301~303호(신장동)","","복덩이하남요양보호사교육원","2026-02-12 07:56:59","U","2026-02-16 02:40:00","","","","","","","",
