번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,사업자등록번호,Unnamed: 52,record_key
23,환경컨설팅회사,09_30_18_P,6300000,630000020202400001,2026-02-24,,1,영업/정상,N,신규,,,,,427197823.0,,34027.0,대전광역시 유성구 탑립동 694-9 (주)엘투케이 C동,"대전광역시 유성구 테크노2로 252-16, (주)엘투케이 C동 (탑립동)",34027.0,(주)피앤케이,2026-02-24 10:45:25,U,2026-02-26 02:40:00,,236533.587009841,324383.649150957,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,3148652740.0,,(주)피앤케이_대전광역시유성구탑립동694-9(주)엘투케이C동
24,환경컨설팅회사,09_30_18_P,6410000,641000020202500022,2026-02-24,,1,영업/정상,N,신규,,,,,,,,경기도 수원시 권선구 세류동 1125-1 혜성빌딩,"경기도 수원시 권선구 세지로4번길 18, 혜성빌딩 (세류동)",,혜성크린텍크 주식회사,2026-02-24 18:57:29,U,2026-02-26 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,6918700700.0,,혜성크린텍크주식회사_경기도수원시권선구세류동1125-1혜성빌딩
22,환경컨설팅회사,09_30_18_P,6470000,647000020202400002,2026-02-23,,1,영업/정상,N,신규,,,,,,,,경상북도 구미시 진평동 20-1,"경상북도 구미시 인동22길 9, 5층 (진평동)",,(주)세신환경기술,2026-02-23 11:25:53,U,2026-02-25 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,5138141243.0,,(주)세신환경기술_경상북도구미시진평동20-1
20,환경컨설팅회사,09_30_18_P,6110000,611000020202600003,2026-02-20,,1,영업/정상,N,신규,,,,,,,7261.0,서울특별시 영등포구 당산동3가 550번지 리드원센터 407호,"서울특별시 영등포구 양산로 91, 리드원센터 4층 407호 (당산동3가)",7261.0,주식회사 세이브어스,2026-02-20 13:57:25,I,2026-02-22 00:20:02,,190483.297508855,446975.595771463,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,주식회사세이브어스_서울특별시영등포구당산동3가550번지리드원센터407호
21,환경컨설팅회사,09_30_18_P,6410000,641000020201800011,2026-02-20,,1,영업/정상,N,신규,,,,,,,14066.0,경기도 안양시 동안구 관양동 1608-4 동아프라자아케이드 306호,"경기도 안양시 동안구 부림로 121, 동아프라자아케이드 306호 (관양동)",14066.0,(주)이산,2026-02-20 09:26:00,U,2026-02-22 02:40:00,,196784.059244886,432448.726631302,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,(주)이산_경기도안양시동안구관양동1608-4동아프라자아케이드306호
18,환경컨설팅회사,09_30_18_P,6270000,627000020202600002,2026-02-11,,1,영업/정상,N,신규,,,,,,,41519.0,대구광역시 북구 산격동 505-7,"대구광역시 북구 동북로 117, 15층 25호 (산격동)",41519.0,(주)새영엔텍,2026-02-11 15:50:30,I,2026-02-13 00:20:38,,345000.80458905,268051.856327351,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,6868803696.0,,(주)새영엔텍_대구광역시북구산격동505-7
16,환경컨설팅회사,09_30_18_P,6110000,611000020202600002,2026-02-10,,1,영업/정상,N,신규,,,,,,,6156.0,서울특별시 강남구 삼성동 127-9 삼화빌딩 205호,"서울특별시 강남구 삼성로 535, 삼화빌딩 2층 205호 (삼성동)",6156.0,주식회사 지앤에스솔루션,2026-02-10 17:07:21,I,2026-02-12 00:20:02,,204766.113362433,445274.910029421,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,3918802784.0,,주식회사지앤에스솔루션_서울특별시강남구삼성동127-9삼화빌딩205호
17,환경컨설팅회사,09_30_18_P,6410000,641000020202400015,2026-02-10,,1,영업/정상,N,신규,,,,,,,15455.0,경기도 안산시 단원구 초지동 742-2 키즈타워2,"경기도 안산시 단원구 원포공원1로 64, 키즈타워2 2층 (초지동)",15455.0,케이비엔텍(주),2026-02-10 08:45:00,U,2026-02-12 02:40:00,,183165.555491372,422378.87289029,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,케이비엔텍(주)_경기도안산시단원구초지동742-2키즈타워2
15,환경컨설팅회사,09_30_18_P,6440000,644000020202100003,2026-02-09,,1,영업/정상,N,신규,,,,,,,,충청남도 천안시 동남구 청당동 518번지 505호,"충청남도 천안시 동남구 청수11로 26, 505호 (청당동)",,블루이엔텍(주),2026-02-09 18:06:56,U,2026-02-11 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1568601724.0,,블루이엔텍(주)_충청남도천안시동남구청당동518번지505호
14,환경컨설팅회사,09_30_18_P,6410000,641000020202000010,2026-02-09,,1,영업/정상,N,신규,,,,,,,14556.0,경기도 부천시 춘의동 195번지 삼보테크노타워 1709호,"경기도 부천시 조마루로385번길 122, 삼보테크노타워 1709호(춘의동)",14556.0,주식회사 켐프로,2026-02-09 08:54:01,U,2026-02-11 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1198709271.0,,주식회사켐프로_경기도부천시춘의동195번지삼보테크노타워1709호
13,환경컨설팅회사,09_30_18_P,6110000,611000020202600001,2026-02-06,,1,영업/정상,N,신규,,,,,,,8506.0,서울특별시 금천구 가산동 371-50 에이스하이엔드타워3차 806호,"서울특별시 금천구 가산디지털1로 145, 에이스하이엔드타워3차 806호 (가산동)",8506.0,주식회사 솔루티스,2026-02-06 10:33:56,I,2026-02-08 00:20:01,,189467.124186925,441780.0053985,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1138626765.0,,주식회사솔루티스_서울특별시금천구가산동371-50에이스하이엔드타워3차806호
10,환경컨설팅회사,09_30_18_P,6410000,641000020202400008,2026-02-05,,1,영업/정상,N,신규,,,,,,,16641.0,경기도 수원시 권선구 고색동 914-17 영진환경산업(주),"경기도 수원시 권선구 매송고색로 634-21, 영진환경산업(주) (고색동)",16641.0,영진환경산업(주),2026-02-05 13:58:40,U,2026-02-07 02:40:00,,197589.651629195,416005.090501005,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,영진환경산업(주)_경기도수원시권선구고색동914-17영진환경산업(주)
3,환경컨설팅회사,09_30_18_P,6530000,653000020202600001,2026-02-04,,1,영업/정상,N,신규,,,,,,,26483.0,강원특별자치도 원주시 단구동 1550-2,"강원특별자치도 원주시 천매봉길 32-19, 2층 (단구동)",26483.0,㈜씨케이엔지니어링,2026-02-04 14:49:41,I,2026-02-06 00:20:02,,283550.654612678,425047.568008439,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,6958802973.0,,㈜씨케이엔지니어링_강원특별자치도원주시단구동1550-2
4,환경컨설팅회사,09_30_18_P,6270000,627000020202600001,2026-02-04,,1,영업/정상,N,신규,,,,,,,42115.0,대구광역시 수성구 수성동3가 130-1 수성3가화성파크드림1단지 104동 1402호,"대구광역시 수성구 들안로60길 17, 104동 1402호 (수성동3가, 수성3가 화성파크드림 1단지)",42115.0,(주)신화엔바텍,2026-02-04 15:16:03,I,2026-02-06 00:20:02,,346243.114096546,263194.869698036,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,5038117519.0,,(주)신화엔바텍_대구광역시수성구수성동3가130-1수성3가화성파크드림1단지104동1402호
9,환경컨설팅회사,09_30_18_P,6480000,648000020202500002,2026-02-03,,1,영업/정상,N,신규,,,,,,,,경상남도 창원시 성산구 성산동 77-1 SK테크노파크 넥스동 806호,"경상남도 창원시 성산구 완암로 50, SK테크노파크 넥스동 806호 (성산동)",,엔포스(주),2026-02-03 10:20:08,U,2026-02-06 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,6098188137.0,,엔포스(주)_경상남도창원시성산구성산동77-1SK테크노파크넥스동806호
5,환경컨설팅회사,09_30_18_P,6470000,647000020202600001,2026-02-03,,1,영업/정상,N,신규,,,,,533222227.0,,38412.0,경상북도 경산시 와촌면 소월리 1310-16,경상북도 경산시 와촌면 팔공로132길 94,38412.0,(주)예장,2026-02-03 11:13:41,I,2026-02-06 00:20:02,,362988.269845551,273738.675629023,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,3758802123.0,,(주)예장_경상북도경산시와촌면소월리1310-16
7,환경컨설팅회사,09_30_18_P,6310000,631000020202600002,2026-02-03,,1,영업/정상,N,신규,,,,,,,44222.0,울산광역시 북구 매곡동 874-1,울산광역시 북구 매곡산업4길 75 (매곡동),44222.0,(주)진우기술,2026-02-03 10:28:06,I,2026-02-06 00:20:02,,413912.063035562,241636.302908202,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,(주)진우기술_울산광역시북구매곡동874-1
11,환경컨설팅회사,09_30_18_P,6470000,647000020202500004,2026-02-03,,3,폐업,Q,폐업,2026-02-05,,,,,,,경상북도 칠곡군 지천면 송정리 27번지,경상북도 칠곡군 지천면 송정도당길 97-9,,아시아환경(주),2026-02-05 10:15:39,U,2026-02-07 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,아시아환경(주)_경상북도칠곡군지천면송정리27번지
1,환경컨설팅회사,09_30_18_P,6410000,641000020201900006,2026-02-02,,1,영업/정상,N,신규,,,,,,,,경기도 안산시 단원구 고잔동 681-5 고잔프라자 407호,"경기도 안산시 단원구 광덕4로 108, 고잔프라자 407호 (고잔동)",,(주)조은환경안전기술,2026-02-02 16:34:13,U,2026-02-04 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,(주)조은환경안전기술_경기도안산시단원구고잔동681-5고잔프라자407호
2,환경컨설팅회사,09_30_18_P,6430000,643000020202500013,2026-01-30,,2,휴업,S,휴업,,2026-02-01,2027-01-31,,432361110.0,,,충청북도 청주시 서원구 남이면 석실리 262-2,충청북도 청주시 서원구 남이면 남석로 406,,주식회사 이씨에스기술원,2026-02-02 09:02:23,U,2026-02-05 09:52:04,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,5748103623.0,,주식회사이씨에스기술원_충청북도청주시서원구남이면석실리262-2
8,환경컨설팅회사,09_30_18_P,6310000,631000020202500005,2025-12-16,,3,폐업,Q,폐업,2026-01-30,,,,529000660.0,,44681.0,울산광역시 남구 신정동 4-9 에이동 201호,"울산광역시 남구 팔등로141번길 17, 에이동 2층 201호 (신정동)",44681.0,(주)해울환경,2026-02-03 10:24:12,U,2026-02-06 02:40:00,,410384.861351472,230189.059723604,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,7698603570.0,,(주)해울환경_울산광역시남구신정동4-9에이동201호
33,환경컨설팅회사,09_30_18_P,6280000,628000020202400004,2024-05-01,,1,영업/정상,N,신규,,,,,,,,인천광역시 남동구 고잔동 648-1 남동테크노타워지식산업센터,"인천광역시 남동구 호구포로 189, 남동테크노타워지식산업센터 909호 (고잔동)",,(주)그린이엔테크,2026-02-26 17:24:46,U,2026-02-28 02:40:00,,,,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,1318156942.0,,(주)그린이엔테크_인천광역시남동구고잔동648-1남동테크노타워지식산업센터
25,환경컨설팅회사,09_30_18_P,6110000,611000020202200104,2022-11-28,,3,폐업,Q,폐업,2026-02-09,,,,25123282.0,,5839.0,서울특별시 송파구 문정동 632번지 가든파이브웍스 A1013호,"서울특별시 송파구 충민로 52, 가든파이브웍스 A1013호(문정동)",5839.0,대윤환경 주식회사,2026-02-24 20:41:52,U,2026-02-26 02:40:00,,210780.126180232,441730.920486073,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,대윤환경주식회사_서울특별시송파구문정동632번지가든파이브웍스A1013호
19,환경컨설팅회사,09_30_18_P,6110000,611000020202200084,2022-11-28,,1,영업/정상,N,신규,,,,,260523206.0,,4795.0,서울특별시 성동구 성수동2가 289-5 대선APEXCENTER 705호,"서울특별시 성동구 아차산로7나길 18, 대선APEXCENTER 705호(성수동2가)",4795.0,주식회사 에코비젼21,2026-02-11 10:37:14,U,2026-02-13 02:40:00,,205005.412995572,449496.502512417,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,주식회사에코비젼21_서울특별시성동구성수동2가289-5대선APEXCENTER705호
27,환경컨설팅회사,09_30_18_P,6110000,611000020202200049,2022-11-18,,1,영업/정상,N,신규,,,,,25520019.0,,8501.0,서울특별시 금천구 가산동 481-10 벽산/경인디지털밸리2 709호,"서울특별시 금천구 가산디지털2로 184, 벽산/경인디지털밸리2 7층 709호 (가산동)",8501.0,아토스에코컨설팅(주),2026-02-25 14:53:39,U,2026-02-27 02:40:00,,189127.981104583,442460.505542105,0,환경컨설팅회사,0,,,,,,,,,,,,,,,,,,,,,,,아토스에코컨설팅(주)_서울특별시금천구가산동481-10벽산/경인디지털밸리2709호
