"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","판매점영업면적",
"16","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320234640131087500025","2023-04-20","","01","영업/정상","13","영업중","","","","","","","","","전북특별자치도 전주시 완산구 마전중앙로 21, 1층 (효자동3가)","54962","씨유전북경찰청점","2026-04-01 11:33:54","U","2026-04-03 02:40:00","","209331.138179875","258161.31748579","0",
"17","안전상비의약품 판매업소","01_01_05_P","5690000","PHMH320225690045087500006","2022-03-08","","03","폐업","03","폐업","2026-04-01","","","","","","","세종특별자치시 어진동 648 세종시 2차 푸르지오시티","세종특별자치시 가름로 255-21, 세종시 2차 푸르지오시티 1층 114,115,116호 (어진동)","30120","세븐일레븐 세종어진행복점","2026-04-01 19:47:54","U","2026-04-03 02:40:00","","223861.253208974","332749.004942996","0",
"18","안전상비의약품 판매업소","01_01_05_P","3120000","PHMH320263120033087500002","2026-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 충정로2가 184-7","서울특별시 서대문구 경기대로 62, 1층 (충정로2가)","03736","지에스25경기대충정로점","2026-04-01 16:17:05","U","2026-04-03 02:40:00","","196734.141013732","451335.806432011","60.3",
"19","안전상비의약품 판매업소","01_01_05_P","3690000","PHMH320183690018087500007","2018-03-20","","03","폐업","03","폐업","2026-04-01","","","","052-292-9089","","","울산광역시 중구 약사동 434번지 6호","울산광역시 중구 종가13길 20, 1층 (약사동)","44546","행복플러스25편의점","2026-04-01 18:30:49","U","2026-04-03 02:40:00","","411906.292133326","233493.571820595","65",
"20","안전상비의약품 판매업소","01_01_05_P","4020000","PHMH320204020028087500001","2020-01-09","","01","영업/정상","13","영업중","","","","","","","","경기도 군포시 도마교동 471 금강펜테리움센트럴파크 3차","경기도 군포시 송부로96번길 13, 112, 113호 (도마교동, 금강펜테리움센트럴파크 3차)","15885","GS25 뉴송정금강","2026-04-01 15:39:43","U","2026-04-03 02:40:00","","193356.354779703","423808.543445065","0",
"21","안전상비의약품 판매업소","01_01_05_P","4711000","PHMH320164710028087500001","2016-02-03","","03","폐업","03","폐업","2026-04-01","","","","063-542-6426","","","","전북특별자치도 김제시 중앙로 104 (요촌동, 제1동 상가 1층)","54384","씨유 김제청보리점","2026-04-01 13:17:43","U","2026-04-03 02:40:00","","189726.5857842","255985.484482077","0",
"22","안전상비의약품 판매업소","01_01_05_P","3620000","PHMH320203620020087500012","2020-03-26","","03","폐업","03","폐업","2026-03-31","","","","","","","","광주광역시 북구 북문대로247번길 34 (동림동)","61265","(주)코리아세븐 광주동림삼호가든점","2026-04-01 11:32:53","U","2026-04-03 02:40:00","","187582.782821414","187431.375146703","3.3",
"23","안전상비의약품 판매업소","01_01_05_P","3740000","PHMH320123740032087500065","2012-11-14","","01","영업/정상","13","영업중","","","","","0312330961","","","","경기도 수원시 권선구 덕영대로1201번길 28, 101호 (권선동)","16584","씨유 수원터미널점","2026-04-01 17:21:34","U","2026-04-03 02:40:00","","201964.948602735","416493.392163929","0",
"24","안전상비의약품 판매업소","01_01_05_P","5530000","PHMH320245530507087500003","2024-02-21","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 병점구 송산동 201-7 상가동","경기도 화성시 병점구 용주로 105, 상가동 1층 (송산동)","18356","지에스25 화성용주로점","2026-04-01 12:05:49","U","2026-04-03 02:40:00","","200697.108905298","412020.154318018","99",
"25","안전상비의약품 판매업소","01_01_05_P","4850000","PHMH320214850015087500001","2021-04-22","","01","영업/정상","13","영업중","","","","","","","","전라남도 담양군 담양읍 백동리 730 담양백동엘에이치2단지","전라남도 담양군 담양읍 미리산길 46, 102호 (담양백동엘에이치2단지)","57346","씨유 담양백동주공점","2026-04-01 09:02:04","U","2026-04-03 02:40:00","","198753.845923118","201453.990633618","68",
"26","안전상비의약품 판매업소","01_01_05_P","3410000","PHMH320213410023087500005","2021-03-23","","03","폐업","03","폐업","2026-03-31","","","","","","","","대구광역시 중구 북성로 83 (북성로1가)","41917","세븐일레븐 대구 북성로점","2026-04-01 10:21:55","U","2026-04-03 02:40:00","","343650.349168519","264960.405900379","52.8",
"27","안전상비의약품 판매업소","01_01_05_P","5130000","PHMH320215130030087500008","2021-04-05","","03","폐업","03","폐업","2026-04-01","","","","","","","경상북도 경산시 압량읍 부적리 434-3","경상북도 경산시 압량읍 대학로75길 28","38509","지에스(GS)25 압량공원점","2026-04-01 13:53:58","U","2026-04-03 02:40:00","","358847.846353808","261794.871374263","0",
"28","안전상비의약품 판매업소","01_01_05_P","3780000","PHMH320223780062087500014","2022-05-24","","03","폐업","03","폐업","2026-04-01","","","","","","","","경기도 성남시 수정구 논골로 24, 제비층 08호 (양지동, 양우내안애아파트)","13140","지에스25 성남양우점","2026-04-01 14:55:02","U","2026-04-03 02:40:00","","214108.027349112","439400.450598112","0",
"29","안전상비의약품 판매업소","01_01_05_P","3690000","PHMH320233690018087500011","2023-11-13","","03","폐업","03","폐업","2026-03-31","","","","","","","울산광역시 중구 복산동 460-72 번영로센트리지","울산광역시 중구 복산1길 1, 상가동 104호 (복산동, 번영로센트리지)","44469","지에스(GS)25 울산센트리지 3단지","2026-04-01 08:58:11","U","2026-04-03 02:40:00","","410890.764220803","231485.637709509","45",
"30","안전상비의약품 판매업소","01_01_05_P","3900000","PHMH320263900028087500003","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","경기도 광명시 철산동 105 철산자이브리에르","경기도 광명시 시청로 100, 1층 108, 109호 (철산동, 철산자이브리에르)","14229","지에스25 철산브리에르점","2026-04-01 09:34:34","I","2026-04-04 00:20:02","","188317.384005436","442603.984651742","76.5",
"31","안전상비의약품 판매업소","01_01_05_P","3900000","PHMH320263900028087500004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 광명시 광명동 88-14 광명센트럴아이파크","경기도 광명시 광이로 49, 근린생활시설 104호 (광명동, 광명센트럴아이파크)","14211","지에스25 광명아이파크점","2026-04-02 11:10:02","I","2026-04-04 00:20:02","","187375.3366065","442329.36711297","52.07",
"32","안전상비의약품 판매업소","01_01_05_P","3910000","PHMH320263910165087500006","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 독곡동 474 아주아파트","경기도 평택시 지산천로 40, 1층 104,105호 (독곡동, 아주아파트)","17720","씨유송탄독곡점","2026-04-02 14:09:32","I","2026-04-04 00:20:02","","205522.53170666","397909.428763378","79.15",
"33","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320264641062087500005","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 송천동2가 1345","전북특별자치도 전주시 덕진구 세병로 134, 103,104호 (송천동2가)","55150","씨유뉴에코데시앙네스트점","2026-04-02 16:54:50","I","2026-04-04 00:20:02","","212316.279957192","263871.163228277","0",
"34","안전상비의약품 판매업소","01_01_05_P","4010000","PHMH320264010281087500010","2026-03-30","","01","영업/정상","13","영업중","","","","","","","","경기도 시흥시 은행동 530-5 한솔빌딩","경기도 시흥시 은행로155번길 5, 한솔빌딩 1층 102호 (은행동)","14917","씨유 은행광장점","2026-04-02 10:22:36","I","2026-04-04 00:20:02","","182138.609031569","438051.677258388","106.5",
"35","안전상비의약품 판매업소","01_01_05_P","3240000","PHMH320263240033087500003","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강동구 성내동 27-11","서울특별시 강동구 천호옛12길 55, 1층 (성내동)","05384","지에스(GS)25 천호옛길점","2026-04-02 16:38:58","I","2026-04-04 00:20:02","","211199.659717327","448073.083641886","0",
"36","안전상비의약품 판매업소","01_01_05_P","5690000","PHMH320265690045087500003","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 어진동 648 세종시 2차 푸르지오시티","세종특별자치시 가름로 255-21, 세종시 2차 푸르지오시티 1층 114,115,116호 (어진동)","30120","세븐일레븐 세종어진행복점","2026-04-02 14:53:05","I","2026-04-04 00:20:02","","223861.253208974","332749.004942996","0",
"37","안전상비의약품 판매업소","01_01_05_P","3930000","PHMH320263930154087500004","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 초지동 713-5","경기도 안산시 단원구 신촌로 7, 1층 (초지동)","15440","GS25 안산늘푸른점","2026-04-02 15:13:07","I","2026-04-04 00:20:02","","183775.269581679","423561.391334152","0",
"38","안전상비의약품 판매업소","01_01_05_P","3450000","PHMH320263450022087500005","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","대구광역시 북구 대현동 109-3","대구광역시 북구 경대로7길 26-1, 1층 (대현동)","41569","씨유대현원룸점","2026-04-02 18:13:52","I","2026-04-04 00:20:02","","345425.862496777","266234.481274515","0",
"39","안전상비의약품 판매업소","01_01_05_P","3450000","PHMH320263450022087500006","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","대구광역시 북구 태전동 204-2","대구광역시 북구 태전로1길 28, 1층 (태전동)","41458","지에스25 태전프라임점","2026-04-02 18:14:08","I","2026-04-04 00:20:02","","339192.2587077","269983.732007627","0",
"40","안전상비의약품 판매업소","01_01_05_P","3040000","PHMH320263040033087500004","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","서울특별시 광진구 중곡동 76-61","서울특별시 광진구 긴고랑로 146, 지하1층 (중곡동)","04945","지에스(GS)25 중곡긴고랑점","2026-04-02 15:43:15","I","2026-04-04 00:20:02","","207965.073737908","450708.952277508","80.59",
"41","안전상비의약품 판매업소","01_01_05_P","3560000","PHMH320263560021087500011","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 가좌동 173-148","인천광역시 서구 보도진로 68, 1층 102호 (가좌동)","22844","씨유 가좌공단점","2026-04-02 17:00:04","I","2026-04-04 00:20:02","","169471.935223914","443647.083921734","0",
"42","안전상비의약품 판매업소","01_01_05_P","4000000","PHMH320174000018087500028","2017-09-26","","01","영업/정상","13","영업중","","","","","","","","","경기도 오산시 남부대로441번길 11-1, 상가동 101호 (고현동)","18150","GS25오산빌리지점","2026-04-02 15:48:28","U","2026-04-04 02:40:00","","207349.701909406","403718.642436699","53",
"43","안전상비의약품 판매업소","01_01_05_P","3910000","PHMH320163910168087500019","2016-04-22","","01","영업/정상","13","영업중","","","","","","","","경기도 평택시 비전동","경기도 평택시 동부공원로 24 (비전동)","17873","(주)코리아세븐평택비전현대점","2026-04-01 17:56:17","U","2026-04-04 02:40:00","","210328.958929109","387924.989041999","35.51",
"44","안전상비의약품 판매업소","01_01_05_P","3910000","PHMH320173910165087500030","2017-09-04","","03","폐업","03","폐업","2026-03-31","","","","","","","경기도 평택시 독곡동 474 아주아파트","경기도 평택시 지산천로 40, 104,105호 (독곡동, 아주아파트)","17720","씨유송탄독곡점","2026-04-01 09:25:12","U","2026-04-04 02:40:00","","205522.53170666","397909.428763378","56.16",
"45","안전상비의약품 판매업소","01_01_05_P","3590000","PHMH320153590019087500009","2015-06-25","","03","폐업","03","폐업","2026-04-01","","","","2247277","","501-170","광주광역시 동구 금동","광주광역시 동구 천변우로 431 (금동)","61488","지에스25 광주금교점","2026-04-02 09:18:58","U","2026-04-04 02:40:00","","192246.445268887","182722.853288588","59",
"46","안전상비의약품 판매업소","01_01_05_P","3480000","PHMH320193480012087500025","2019-08-13","","03","폐업","03","폐업","2026-03-30","","","","","","","대구광역시 달성군 유가읍 봉리 589번지 5호","대구광역시 달성군 유가읍 테크노중앙대로6길 25","43014","GS25 테크노원룸점","2026-04-02 10:59:53","U","2026-04-04 02:40:00","","331974.82695788","245192.869918423","0",
"47","안전상비의약품 판매업소","01_01_05_P","5050000","PHMH320185050041087500019","2018-06-15","","03","폐업","03","폐업","2026-03-19","","","","","","","","경상북도 경주시 동문로 58, 조은상가맨션 (성동동)","38139","CU경주대송점","2026-04-02 10:07:58","U","2026-04-04 02:40:00","","399985.182523089","263319.49663991","0",
"48","안전상비의약품 판매업소","01_01_05_P","5020000","PHMH320205020056087500001","2020-01-06","","01","영업/정상","13","영업중","","","","","","","","경상북도 포항시 북구 두호동 960-11","경상북도 포항시 북구 학전로 108, 1층 (두호동)","37620","씨유포항두호하이츠점","2026-04-02 09:05:52","U","2026-04-04 02:40:00","","414011.939225062","287264.000769997","0",
"49","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320224640131087500047","2022-06-14","","03","폐업","03","폐업","2026-04-08","","","","","","","전북특별자치도 전주시 덕진구 송천동2가 1345","전북특별자치도 전주시 덕진구 세병로 134, 1층 106호 (송천동2가)","55150","씨유에코데시앙네스트점","2026-04-02 16:53:33","U","2026-04-04 02:40:00","","212316.279957192","263871.163228277","0",
"50","안전상비의약품 판매업소","01_01_05_P","3290000","PHMH320223290024087500007","2022-04-01","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 160-3","부산광역시 부산진구 중앙대로 712-1(부전동)","47291","지에스(GS)25 서면중앙대로점","2026-04-02 16:01:59","U","2026-04-04 02:40:00","","387595.11321587","186075.37074516","0",
"51","안전상비의약품 판매업소","01_01_05_P","4010000","PHMH320224010281087500006","2022-02-15","","03","폐업","03","폐업","2026-03-30","","","","","","","","경기도 시흥시 은행로155번길 5, 한솔빌딩 102호 (은행동)","14917","씨유 은행광장","2026-04-02 10:51:31","U","2026-04-04 02:40:00","","182138.609031569","438051.677258388","0",
"52","안전상비의약품 판매업소","01_01_05_P","5670000","PHMH320225670066087500008","2022-02-28","","03","폐업","03","폐업","2026-03-31","","","","","","","경상남도 창원시 마산회원구 석전동 303","경상남도 창원시 마산회원구 석전남1길 38(석전동)","51314","세븐일레븐마산메트로점","2026-04-01 13:24:35","U","2026-04-04 02:40:00","","342867.637314093","193135.929283929","3",
"53","안전상비의약품 판매업소","01_01_05_P","3230000","PHMH320263230034087500010","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 신천동 8 잠실역2호선","서울특별시 송파구 올림픽로 지하265, 잠실역2호선 잠실광장 4호 (신천동)","05510","세븐일레븐 잠실역신광장점","2026-04-02 09:51:42","U","2026-04-04 02:40:00","","208952.69639351","445764.398128762","33.6",
"54","안전상비의약품 판매업소","01_01_05_P","3690000","PHMH320133690018087500018","2013-05-06","","03","폐업","03","폐업","2026-04-01","","","","052-248-0918","","","","울산광역시 중구 신기길 116 (태화동)","44456","씨유태화강변점","2026-04-02 10:44:43","U","2026-04-04 02:40:00","","","","50",
"55","안전상비의약품 판매업소","01_01_05_P","3270000","PHMH320203270022087500005","2020-03-27","","03","폐업","03","폐업","2026-04-02","","","","","","","부산광역시 동구 초량동 547번지 11호","부산광역시 동구 초량중로 34 (초량동)","48818","씨유초량온사랑점","2026-04-02 13:18:44","U","2026-04-04 02:40:00","","385672.694181936","181444.311576209","56",
"56","안전상비의약품 판매업소","01_01_05_P","4641000","PHMH320124640131087500139","2012-11-12","","03","폐업","03","폐업","2026-04-01","","","","","","","전북특별자치도 전주시 완산구 대성동 340번지 1호","전북특별자치도 전주시 완산구 춘향로 5277 (대성동)","55115","GS25전주대성점","2026-04-02 12:31:07","U","2026-04-04 02:40:00","","215384.236829853","255628.438334395","0",
"57","안전상비의약품 판매업소","01_01_05_P","4050000","PHMH320214050148087500045","2021-12-10","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 언남동 416-7","경기도 용인시 기흥구 구성로 102, 1층 113호 (언남동)","16919","GS25 언남중앙점","2026-04-02 11:44:09","U","2026-04-04 02:40:00","","210603.950662738","421280.438680217","56.2",
"58","안전상비의약품 판매업소","01_01_05_P","3480000","PHMH320243480012087500004","2024-03-21","","03","폐업","03","폐업","2026-04-01","","","","","","","대구광역시 달성군 현풍읍 중리 480 대구테크노폴리스남해오네뜨1차","대구광역시 달성군 현풍읍 테크노북로4길 11, 상가동동 105,106호 (대구테크노폴리스남해오네뜨1차)","42995","세븐일레븐 대구현풍오네뜨점","2026-04-02 11:10:47","U","2026-04-04 02:40:00","","331616.744310328","244975.83076738","59.5",
"59","안전상비의약품 판매업소","01_01_05_P","5670000","PHMH320245670066087500009","2024-05-28","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 마산합포구 월남동4가 11-8 홍문학원","경상남도 창원시 마산합포구 월영북15길 20, 홍문학원 (월남동4가)","51765","세븐일레븐 마산대내점","2026-04-01 13:36:20","U","2026-04-04 02:40:00","","341899.784222029","188075.556401961","3.3",
"60","안전상비의약품 판매업소","01_01_05_P","5330000","PHMH320245330023087500001","2024-01-24","","01","영업/정상","13","영업중","","","","","","","","경상남도 통영시 광도면 죽림리 1574-59","경상남도 통영시 광도면 죽림2로 55-70","53015","세븐일레븐 통영죽림중앙점","2026-04-02 16:59:30","U","2026-04-04 02:40:00","","329919.581847195","154380.143938395","0",
"61","안전상비의약품 판매업소","01_01_05_P","3450000","PHMH320203450022087500037","2020-08-28","","03","폐업","03","폐업","2026-04-02","","","","","","","대구광역시 북구 대현동 109-3","대구광역시 북구 경대로7길 26-1 (대현동)","41569","씨유 대현원룸점","2026-04-02 18:12:45","U","2026-04-04 02:40:00","","345425.862496777","266234.481274515","0",
"62","안전상비의약품 판매업소","01_01_05_P","3630000","PHMH320223630020087500035","2022-11-24","","01","영업/정상","13","영업중","","","","","","","","","광주광역시 광산구 임방울대로 773, 첨단 한국아델리움 메트로시티 109호 (쌍암동)","62274","지에스25첨단메트로점","2026-04-02 18:43:36","U","2026-04-04 02:40:00","","","","0",
"63","안전상비의약품 판매업소","01_01_05_P","4050000","PHMH320214050148087500023","2021-05-04","","01","영업/정상","13","영업중","","","","","1577-3663","","","경기도 용인시 기흥구 중동 1050 어은목마을경남아너스빌","경기도 용인시 기흥구 동백2로 12, 101호, 102호 (중동, 어은목마을경남아너스빌)","17010","씨유 기흥동백점","2026-04-02 13:11:04","U","2026-04-04 02:40:00","","213753.509457716","418316.915066562","50",
"64","안전상비의약품 판매업소","01_01_05_P","5670000","PHMH320215670066087500004","2021-01-18","","03","폐업","03","폐업","2026-04-01","","","","","","","경상남도 창원시 마산합포구 신포동1가 15-1","경상남도 창원시 마산합포구 서성로 19 (신포동1가)","51735","씨유마산신포센트럴점","2026-04-02 10:03:27","U","2026-04-04 02:40:00","","342939.570677184","190002.465666254","3",
"65","안전상비의약품 판매업소","01_01_05_P","3560000","PHMH320213560021087500010","2021-03-05","","03","폐업","03","폐업","2026-04-02","","","","","","","인천광역시 서구 가좌동 173-148 102호 일부","인천광역시 서구 보도진로 68 (가좌동)","22844","씨유 가좌공단점","2026-04-02 16:59:48","U","2026-04-04 02:40:00","","169471.935223914","443647.083921734","108",
"66","안전상비의약품 판매업소","01_01_05_P","5350000","PHMH320185350029087500003","2018-01-08","","01","영업/정상","13","영업중","","","","","","","","경상남도 김해시 무계동 191번지 7호","경상남도 김해시 장유로301번길 5 (무계동)","51007","지에스(GS)25 장유무계시장점","2026-04-02 13:13:25","U","2026-04-04 02:40:00","","365223.611944759","190482.826271229","33",
"67","안전상비의약품 판매업소","01_01_05_P","4080000","PHMH320174080023087500037","2017-09-28","","03","폐업","03","폐업","2026-04-01","","","","","","17548","","경기도 안성시 공도읍 대림동산길 101","17548","세븐일레븐 안성대림타운점","2026-04-02 07:51:28","U","2026-04-04 02:40:00","","217528.125882298","390628.772213424","100",
"68","안전상비의약품 판매업소","01_01_05_P","3180000","PHMH320123180034087500038","2012-11-08","","01","영업/정상","13","영업중","","","","","","","150-033","서울특별시 영등포구 영등포동3가 3번지 6호","서울특별시 영등포구 영등포로 252 (영등포동3가)","07303","(주)코리아세븐 영등포6호점","2026-04-02 15:45:12","U","2026-04-04 02:40:00","","191909.342575691","446291.868039343","3.3",
"69","안전상비의약품 판매업소","01_01_05_P","5530000","PHMH320215530439087500022","2021-05-01","","03","폐업","03","폐업","2026-03-31","","","","","","","경기도 화성시 만세구 양감면 송산리 11-5","경기도 화성시 만세구 양감면 초록로 884","18628","씨유 화성부처내점","2026-04-02 13:07:43","U","2026-04-04 02:40:00","","199402.67590938","402258.259331759","3.3",
"70","안전상비의약품 판매업소","01_01_05_P","5530000","PHMH320195530021087500006","2019-01-25","","01","영업/정상","13","영업중","","","","","","","","","경기도 화성시 효행구 봉담읍 상리3길 135, 104,105호 (화성봉담2 LH3단지)","18304","지에스(GS)25봉담타운점","2026-04-02 15:27:02","U","2026-04-04 02:40:00","","195672.825115212","413701.449618744","76.5",
"71","안전상비의약품 판매업소","01_01_05_P","3180000","PHMH320143180034087500007","2014-03-07","","01","영업/정상","13","영업중","","","","","","","150-804","서울특별시 영등포구 당산동3가 558번지 3호","서울특별시 영등포구 선유동1로 50, 102-2호 (당산동3가, 더파크365)","07261","씨유 당산그린점","2026-04-02 15:40:04","U","2026-04-04 02:40:00","","190487.78435765","447142.741732677","0",
"72","안전상비의약품 판매업소","01_01_05_P","3180000","PHMH320123180034087500102","2012-11-13","","01","영업/정상","13","영업중","","","","","","","150-010","서울특별시 영등포구 여의도동 43번지 4호","서울특별시 영등포구 국제금융로 86 (여의도동)","07333","씨유 여의도아이비점","2026-04-02 15:43:07","U","2026-04-04 02:40:00","","193896.282065175","446442.571421294","82.5",
"73","안전상비의약품 판매업소","01_01_05_P","3180000","PHMH320163180034087500069","2016-11-04","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 영등포구 영중로 119, 105호 (영등포동8가, 리마크빌영등포)","07228","(주)이마트24 영등포케이티점","2026-04-02 15:44:11","U","2026-04-04 02:40:00","","191536.037141169","447172.053366478","0",
