번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,기타내역2,Unnamed: 60,record_key
692,인터넷컴퓨터게임시설제공업,03_05_05_P,5250000,CDFF2241022026000003,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경상북도 울진군 죽변면 후정리 709-3,"경상북도 울진군 죽변면 해양과학길 75, 1층",36315,대박PC,2026-02-13 15:50:59,I,2026-02-15 00:20:02,,413639.611526069,399744.641507054,인터넷컴퓨터게임시설제공업,유통관련업,2.0,기타,PC,85.0,2.0,0.0,근린생활시설,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,전체이용가,,,,관리지역,,,대박PC_경상북도울진군죽변면후정리709-3
695,인터넷컴퓨터게임시설제공업,03_05_05_P,4050000,CDFF2241022026000008,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 용인시 처인구 김량장동 81-5 1층,"경기도 용인시 처인구 금령로106번길 13-3, 1층 (김량장동)",17051,허니PC,2026-02-13 10:33:11,I,2026-02-15 00:20:02,,218429.472441562,414752.191245109,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,46.66,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,,,,,,,,허니PC_경기도용인시처인구김량장동81-51층
687,인터넷컴퓨터게임시설제공업,03_05_05_P,4390000,CDFF2241022026000002,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,충청북도 충주시 칠금동 609,"충청북도 충주시 칠금11길 26, 1층 (칠금동)",27354,현대PC게임랜드,2026-02-13 16:34:24,I,2026-02-15 00:20:02,,281952.247541024,387611.287472447,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,234.12,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,100,,청소년이용불가,,,,,,,현대PC게임랜드_충청북도충주시칠금동609
690,인터넷컴퓨터게임시설제공업,03_05_05_P,3920000,CDFF2241022026000001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경기도 동두천시 생연동 612-11,"경기도 동두천시 중앙로 300, 1층 (생연동)",11329,놀자PC,2026-02-13 14:44:34,I,2026-02-15 00:20:02,,204752.977370695,489497.41516092,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,118.44,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,청소년이용불가,,,,,,,놀자PC_경기도동두천시생연동612-11
689,인터넷컴퓨터게임시설제공업,03_05_05_P,5710000,CDFF2241022026000008,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 상당구 영운동 81-14,"충청북도 청주시 상당구 영운천로 31, 2층 (영운동)",28742,대박PC,2026-02-13 11:38:32,I,2026-02-15 00:20:02,,244879.856000214,346358.346130878,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,162.69,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,청소년이용불가,,,,,,,대박PC_충청북도청주시상당구영운동81-14
685,인터넷컴퓨터게임시설제공업,03_05_05_P,3600000,CDFF2241022026000002,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,광주광역시 서구 치평동 1238-6 에코노블빌딩,"광주광역시 서구 상무연하로 50, 에코노블빌딩 1층 (치평동)",61949,제니PC,2026-02-13 14:46:29,I,2026-02-15 00:20:02,,186306.300357232,183742.772634262,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,124.36,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,전체이용가,,,,,,,제니PC_광주광역시서구치평동1238-6에코노블빌딩
688,인터넷컴퓨터게임시설제공업,03_05_05_P,5090000,CDFF2241022026000001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,경상북도 영주시 휴천동 303-13,"경상북도 영주시 선비로 80-1, 1층 (휴천동)",36116,판다 PC,2026-02-13 17:26:50,I,2026-02-15 00:20:02,,344820.932921138,369104.706702602,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,36.36,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,,,,,,,,판다PC_경상북도영주시휴천동303-13
686,인터넷컴퓨터게임시설제공업,03_05_05_P,4490000,CDFF2241022026000011,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,충청남도 천안시 서북구 성정동 746-4,"충청남도 천안시 서북구 양지10길 35, 1층 (성정동)",31146,미인PC,2026-02-13 16:42:30,I,2026-02-15 00:20:02,,212416.201077598,367691.877964146,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,80.25,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,,,,,,,,미인PC_충청남도천안시서북구성정동746-4
624,인터넷컴퓨터게임시설제공업,03_05_05_P,5080000,CDFF2241022026000005,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경상북도 구미시 인의동 699-13,"경상북도 구미시 인동북길 91-1, 1층 (인의동)",39436,당근PC,2026-02-12 09:13:44,I,2026-02-14 00:20:02,,328415.165574403,289669.558666133,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,115.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,,,,,,,,당근PC_경상북도구미시인의동699-13
625,인터넷컴퓨터게임시설제공업,03_05_05_P,4010000,CDFF2241022026000006,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경기도 시흥시 신천동 752-25 1층 좌측호,"경기도 시흥시 신천3길 48, 1층 좌측호 (신천동)",14948,금수저PC,2026-02-12 13:33:50,I,2026-02-14 00:20:02,,180539.217216801,437427.265531443,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,성인PC방,46.28,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,,,,금수저PC_경기도시흥시신천동752-251층좌측호
631,인터넷컴퓨터게임시설제공업,03_05_05_P,3150000,CDFF2241022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 화곡동 935-19 201호,"서울특별시 강서구 월정로 102, 2층 201호 (화곡동)",07775,에이스PC,2026-02-12 15:01:12,I,2026-02-14 00:20:02,,185747.670138989,447360.27075665,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,94.44,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,40,,,,,,,,,에이스PC_서울특별시강서구화곡동935-19201호
629,인터넷컴퓨터게임시설제공업,03_05_05_P,3700000,CDFF2241022026000011,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,울산광역시 남구 신정동 492-2,"울산광역시 남구 팔등로 60-1, 2층 (신정동)",44683,꽃분이PC,2026-02-12 17:42:33,I,2026-02-14 00:20:02,,409689.448523288,229731.444803527,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,75.42,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,,,,,,성인PC방,,꽃분이PC_울산광역시남구신정동492-2
700,인터넷컴퓨터게임시설제공업,03_05_05_P,4520000,CDFF2241022026000012,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,충청남도 아산시 배방읍 공수리 254-9 고물상,"충청남도 아산시 배방읍 모산로126번길 20, 고물상 103호",31486,카지노PC,2026-02-13 10:02:02,I,2026-02-15 00:20:02,,204979.527261271,363503.570024679,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,45.45,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,,,,,,성인PC방,,카지노PC_충청남도아산시배방읍공수리254-9고물상
633,인터넷컴퓨터게임시설제공업,03_05_05_P,4291000,CDFF2241022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 정선군 고한읍 고한리 152-7,강원특별자치도 정선군 고한읍 지장천로 857,26155,게임랜드pc,2026-02-12 17:37:37,I,2026-02-14 00:20:02,,362768.162293788,414733.716526776,인터넷컴퓨터게임시설제공업,유통관련업,1.0,기타,,27.0,1.0,0.0,기타,0.0,0.0,0.0,0.0,,,,,,,,,,,,4,,전체이용가,,,,일반상업지역,,,게임랜드pc_강원특별자치도정선군고한읍고한리152-7
622,인터넷컴퓨터게임시설제공업,03_05_05_P,3740000,CDFF2241022026000008,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 영통구 신동 936-1,"경기도 수원시 영통구 권선로908번길 5, 101호 (신동)",16683,SMiLE GAMES,2026-02-12 13:02:04,I,2026-02-14 00:20:02,,204004.982332213,416252.651873833,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,59.4,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,,,,,,,,SMiLEGAMES_경기도수원시영통구신동936-1
618,인터넷컴퓨터게임시설제공업,03_05_05_P,3530000,CDFF2241022026000005,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 남동구 구월동 1540-1 솔보프라자,"인천광역시 남동구 선수촌공원로23번길 10-10, 솔보프라자 1층 101호 (구월동)",21582,따따PC,2026-02-12 13:41:01,I,2026-02-14 00:20:02,,174184.830440783,437746.629218873,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,성인PC,35.25,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,,,,따따PC_인천광역시남동구구월동1540-1솔보프라자
634,인터넷컴퓨터게임시설제공업,03_05_05_P,4000000,CDFF2241022026000002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경기도 오산시 오산동 842-12 그랑프리,"경기도 오산시 오산로 279, 그랑프리 1층 (오산동)",18136,별여우PC,2026-02-12 13:05:45,I,2026-02-14 00:20:02,,206012.634501289,405581.266481244,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,35.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,,,,,,,,별여우PC_경기도오산시오산동842-12그랑프리
615,인터넷컴퓨터게임시설제공업,03_05_05_P,4761000,CDFF2241022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 임실군 임실읍 이도리 180-1,"전북특별자치도 임실군 임실읍 운수로 5, 1층",55925,행운PC,2026-02-12 11:01:47,I,2026-02-14 00:20:02,,225516.11366717,235216.829921311,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,42.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,4,,청소년이용불가,,,,,,,행운PC_전북특별자치도임실군임실읍이도리180-1
632,인터넷컴퓨터게임시설제공업,03_05_05_P,3510500,CDFF2241022026000004,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 미추홀구 용현동 8-7,인천광역시 미추홀구 한나루로 493 (용현동),22209,황제PC,2026-02-12 14:22:05,I,2026-02-14 00:20:02,,170468.170913759,438815.738898924,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,56.19,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,8,,,,,,일반주거지역,,,황제PC_인천광역시미추홀구용현동8-7
617,인터넷컴퓨터게임시설제공업,03_05_05_P,3680000,CDFF2241022026000003,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,대전광역시 대덕구 신탄진동 118-33,"대전광역시 대덕구 신탄진로 831, 2층 (신탄진동)",34306,행복PC방,2026-02-12 13:39:33,I,2026-02-14 00:20:02,,238329.530780008,327935.450482945,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,145.93,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,70,,,,,,,,,행복PC방_대전광역시대덕구신탄진동118-33
627,인터넷컴퓨터게임시설제공업,03_05_05_P,3640000,CDFF2241022026000002,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,대전광역시 동구 용전동 63-1 터미널프라자,"대전광역시 동구 동서대로1683번길 76-8, 터미널프라자 106호 (용전동)",34551,벤츠PC,2026-02-12 14:27:55,I,2026-02-14 00:20:02,,239056.03011314,316911.133237565,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,68.31,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,,,벤츠PC_대전광역시동구용전동63-1터미널프라자
626,인터넷컴퓨터게임시설제공업,03_05_05_P,4810000,CDFF2241022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,전라남도 여수시 문수동 456-10,전라남도 여수시 문수7길 31 (문수동),59703,노리터PC(인-512),2026-02-12 14:04:15,I,2026-02-14 00:20:02,,263499.862505463,139842.06817444,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,45.36,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,성인PC방,,노리터PC(인-512)_전라남도여수시문수동456-10
628,인터넷컴퓨터게임시설제공업,03_05_05_P,3700000,CDFF2241022026000010,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,울산광역시 남구 달동 1282-5,"울산광역시 남구 왕생로20번길 24, 101호 (달동)",44721,봉자PC,2026-02-12 17:37:44,I,2026-02-14 00:20:02,,411729.879548898,228724.925414915,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,56.67,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,,,,,,성인PC방,,봉자PC_울산광역시남구달동1282-5
630,인터넷컴퓨터게임시설제공업,03_05_05_P,3510500,CDFF2241022026000005,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 미추홀구 용현동 491-8,"인천광역시 미추홀구 독정이로 15, 2층 (용현동)",22179,마카오PC클럽,2026-02-12 16:44:13,I,2026-02-14 00:20:02,,169351.923560312,439528.775629151,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,136.39,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,13,,,,,,일반주거지역,,,마카오PC클럽_인천광역시미추홀구용현동491-8
570,인터넷컴퓨터게임시설제공업,03_05_05_P,3540000,CDFF2241022026000006,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,인천광역시 부평구 부평동 274-21 부평메디아나센터,"인천광역시 부평구 경원대로 1286, 부평메디아나센터 (부평동)",21405,도깨비PC,2026-02-11 09:46:08,I,2026-02-13 00:20:38,,174450.871453336,443175.254409704,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,102.28,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,전체이용가,,,,,,,도깨비PC_인천광역시부평구부평동274-21부평메디아나센터
578,인터넷컴퓨터게임시설제공업,03_05_05_P,5350000,CDFF2241022026000004,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 장유동 843-1,"경상남도 김해시 율하숲길 22, 110호 (장유동)",51022,세븐PC,2026-02-11 15:29:25,I,2026-02-13 00:20:38,,366078.596151538,187267.076045898,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,PC7개,37.24,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,,전체이용가,,,,,,,세븐PC_경상남도김해시장유동843-1
623,인터넷컴퓨터게임시설제공업,03_05_05_P,5710000,CDFF2241022026000007,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 청원구 율량동 2314,"충청북도 청주시 청원구 율중로 23, 1층 101호 (율량동)",28315,이쁜이PC,2026-02-11 10:34:08,I,2026-02-14 00:20:02,,245218.905518266,351101.996920688,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,46.59,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,,,,이쁜이PC_충청북도청주시청원구율량동2314
621,인터넷컴퓨터게임시설제공업,03_05_05_P,3660000,CDFF2241022026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,대전광역시 서구 도마동 69-12,대전광역시 서구 용화1길 6 (도마동),35333,여우PC,2026-02-11 18:25:54,I,2026-02-14 00:20:02,,233812.244170986,313522.810970055,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,55.44,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,4,,청소년이용불가,,,,,,,여우PC_대전광역시서구도마동69-12
620,인터넷컴퓨터게임시설제공업,03_05_05_P,5530000,CDFF2241022026000020,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 만세구 새솔동 76-3 센텀프라자 101호,"경기도 화성시 만세구 수노을중앙로 118, 센텀프라자 101호 (새솔동)",18244,노른자PC,2026-02-11 14:40:16,I,2026-02-14 00:20:02,,183695.518785042,420428.811075103,인터넷컴퓨터게임시설제공업,유통관련업,12.0,,성인PC방,38.76,9.0,3.0,근린생활시설,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,일반상업지역,,,노른자PC_경기도화성시만세구새솔동76-3센텀프라자101호
619,인터넷컴퓨터게임시설제공업,03_05_05_P,5530000,CDFF2241022026000019,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 만세구 팔탄면 구장리 33-4,"경기도 화성시 만세구 팔탄면 시청로 971, 1층 103호",18528,더퀸PC,2026-02-11 13:17:05,I,2026-02-14 00:20:02,,190660.886313158,407408.060548167,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,성인PC방,37.39,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,,,,더퀸PC_경기도화성시만세구팔탄면구장리33-4
616,인터넷컴퓨터게임시설제공업,03_05_05_P,3780000,CDFF2241022026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 4516,"경기도 성남시 수정구 시민로 153, 2층 (신흥동)",13341,퍼펙트PC,2026-02-11 15:06:10,I,2026-02-14 00:20:02,,212615.240983329,437739.045939178,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,106.74,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,성인PC방,,퍼펙트PC_경기도성남시수정구신흥동4516
743,인터넷컴퓨터게임시설제공업,03_05_05_P,3910000,CDFF2241022026000013,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 고덕동 2239-11,"경기도 평택시 고덕여염5길 147, 101호 (고덕동)",18017,두바이PC,2026-02-13 09:44:25,U,2026-02-15 02:40:00,,203851.604645362,392693.638766697,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,38.49,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,,,,,,성인PC방,,두바이PC_경기도평택시고덕동2239-11
635,인터넷컴퓨터게임시설제공업,03_05_05_P,5410000,CDFF2241022026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경상남도 창녕군 남지읍 남지리 977-2,"경상남도 창녕군 남지읍 남지중앙2길 61, 1층",50356,코코PC,2026-02-11 14:24:15,I,2026-02-14 00:20:02,,334025.005900524,211368.364179661,인터넷컴퓨터게임시설제공업,유통관련업,1.0,기타,,99.0,0.0,0.0,근린생활시설,0.0,0.0,0.0,0.0,,,,,,,,,,,,9,,청소년이용불가,,,,일반상업지역,,,코코PC_경상남도창녕군남지읍남지리977-2
636,인터넷컴퓨터게임시설제공업,03_05_05_P,3580000,CDFF2241022026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,인천광역시 옹진군 영흥면 내리 8-49,인천광역시 옹진군 영흥면 영흥로144번길 4,23118,보물섬,2026-02-11 13:05:55,I,2026-02-14 00:20:02,,155181.664610488,417316.69638742,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,,180.25,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,6,,청소년이용불가,,,,,,,보물섬_인천광역시옹진군영흥면내리8-49
577,인터넷컴퓨터게임시설제공업,03_05_05_P,4930000,CDFF2241022026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,전라남도 해남군 해남읍 평동리 138,전라남도 해남군 해남읍 홍교로 34,59040,라임성인PC,2026-02-11 17:32:14,I,2026-02-13 00:20:38,,163160.335703648,119079.265499125,인터넷컴퓨터게임시설제공업,유통관련업,0.0,,"피망 맞고, 한게임 맞고",33.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,7,,청소년이용불가,,,,,,,라임성인PC_전라남도해남군해남읍평동리138
