"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","제조구분명","사업장부지용도구분명",
"24","고압가스업","09_28_05_P","3860000","2026386078002200001","2026-04-02","","01","영업/정상","01","영업중","","","","","","","","경기도 부천시 원미구 도당동 157-3","경기도 부천시 원미구 옥산로230번길 23 (도당동)","14521","시믹씨엠오코리아㈜","2026-04-02 15:52:09","I","2026-04-04 00:20:02","제조","180623.809186591","445811.432378717","냉동","",
"25","고압가스업","09_28_05_P","5710000","2005441006702200012","2005-12-06","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 644-6","충청북도 청주시 청원구 오창읍 과학산업3로 162","","㈜현대바이오랜드 오창","2026-04-02 11:36:44","I","2026-04-04 00:20:02","제조","238001.943588777","355977.862928642","냉동","공업용",
"26","고압가스업","09_28_05_P","5710000","2007441006702200007","2007-10-24","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 303","충청북도 청주시 청원구 오창읍 과학산업2로 586","","㈜녹십자","2026-04-02 11:34:39","I","2026-04-04 00:20:02","제조","240107.041102883","358052.357324418","냉동","공업용",
"27","고압가스업","09_28_05_P","5710000","2009441006702200002","2009-05-22","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 654-3","충청북도 청주시 청원구 오창읍 과학산업3로 112","","㈜원익머트리얼즈","2026-04-02 11:33:24","I","2026-04-04 00:20:02","제조","237777.304936478","355540.885880347","냉동","",
"28","고압가스업","09_28_05_P","5710000","2011441013302200002","2011-03-31","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-7","충청북도 청주시 청원구 오창읍 과학산업4로 106","","더블유스코프코리아㈜ 1공장","2026-04-02 11:35:16","I","2026-04-04 00:20:02","제조","236898.873647523","355933.149472134","냉동","",
"29","고압가스업","09_28_05_P","5710000","2026571027002100001","2026-04-02","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 흥덕구 봉명동 450","충청북도 청주시 흥덕구 월명로201번길 68 (봉명동)","28437","엘에스일렉트릭(주) 청주사업장 2공장","2026-04-02 16:52:04","I","2026-04-04 00:20:02","제조","240168.772631596","350438.972852412","일반","",
"30","고압가스업","09_28_05_P","5710000","2026572502702100001","2026-03-30","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 서원구 현도면 선동리 102-1","","","에스엘에너지솔루션 주식회사","2026-04-02 09:03:50","I","2026-04-04 00:20:02","저장소","","","","전",
"31","고압가스업","09_28_05_P","5070000","2013507017802200001","2013-10-24","","02","휴업","02","휴업","","2026-04-03","2027-04-02","","","","","경상북도 안동시 풍산읍 매곡리 1136","","","안동시농업기술센터(천연색소산업화지원센터)","2026-04-02 14:39:33","U","2026-04-04 02:40:00","제조","338434.999771944","344922.480953856","냉동","",
"32","고압가스업","09_28_05_P","3560000","2007356013702100001","2007-09-18","","01","영업/정상","01","영업중","","","","","","","","인천광역시 서구 원창동 244-20","인천광역시 서구 북항로 268 (원창동)","","(주)한화","2026-04-02 14:42:14","U","2026-04-04 02:40:00","제조","166234.100857294","445037.696776419","냉동","주상나지",
"33","고압가스업","09_28_05_P","5710000","2007441006702200001","2008-08-11","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 641-2","충청북도 청주시 청원구 오창읍 각리1길 60","","㈜노바렉스(2공장)","2026-04-02 11:34:12","U","2026-04-04 02:40:00","제조","238494.322811597","356282.662480913","냉동","공업용",
"34","고압가스업","09_28_05_P","3730000","1984373001102100001","2011-02-23","","01","영업/정상","01","영업중","","","","","","","","울산광역시 울주군 온산읍 산암리 360 (제1공장)","","","S-OIL(주)","2026-04-02 09:08:17","U","2026-04-04 02:40:00","제조","412791.351066322","218347.084470858","특정","주상나지",
"35","고압가스업","09_28_05_P","5020000","2024502045802100004","2024-10-22","","01","영업/정상","01","영업중","","","","2026-04-02","","","","경상북도 포항시 북구 흥해읍 성곡리 213 한국지질자원연구원 포항지원","경상북도 포항시 북구 흥해읍 영일만대로 905, 한국지질자원연구원 포항지원","37559","한국지질자원연구원","2026-04-02 16:56:33","U","2026-04-04 02:40:00","제조","411894.646969498","289048.422118679","일반","기타",
"36","고압가스업","09_28_05_P","4810000","2011481024102200003","2011-11-01","","01","영업/정상","01","영업중","","","","","","","","전라남도 여수시 수정동 774-1 아쿠아리움","전라남도 여수시 오동도로 61-11, 아쿠아리움 (수정동)","59744","(주)여수씨월드","2026-04-02 08:32:56","U","2026-04-04 02:40:00","제조","268487.571685862","138887.88991866","냉동","",
"37","고압가스업","09_28_05_P","4810000","2011481024102100003","2011-10-05","","01","영업/정상","01","영업중","","","","","","","","전라남도 여수시 수정동 774-1","전라남도 여수시 오동도로 61-11 (수정동)","","(주)여수씨월드","2026-04-02 09:27:24","U","2026-04-04 02:40:00","제조","268487.571685862","138887.88991866","냉동","공업용",
"38","고압가스업","09_28_05_P","3930000","2008393021202200007","2009-10-07","","03","폐업","03","폐업","2026-03-18","","","","","","","경기도 안산시 단원구 성곡동 637-1","경기도 안산시 단원구 강촌로 90 (성곡동)","","전영화전(주)","2026-04-02 15:25:18","U","2026-04-04 02:40:00","제조","178544.499953213","423935.874893622","냉동","",
"39","고압가스업","09_28_05_P","3930000","1989393009202100048","1989-09-26","","03","폐업","03","폐업","2026-04-02","","","","","","","경기도 안산시 단원구 원시동 769-10","","","원평산업(주)","2026-04-02 16:36:01","U","2026-04-04 02:40:00","제조","","","냉동","주상나지",
"40","고압가스업","09_28_05_P","5710000","2010441006702100011","2010-12-03","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 316-3","충청북도 청주시 청원구 오창읍 양청송대길 116","","㈜에코프로비엠 1공장","2026-04-02 11:35:29","U","2026-04-04 02:40:00","제조","239713.150597493","357764.152007677","냉동","공업용",
"41","고압가스업","09_28_05_P","3930000","1988393009202100021","1988-07-25","","03","폐업","03","폐업","2026-04-02","","","","","","","경기도 안산시 단원구 성곡동 626 반월공단 B609-22","경기도 안산시 단원구 별망로 253 (성곡동,반월공단 B609-22)","","강남화성(주)","2026-04-02 17:42:19","U","2026-04-04 02:40:00","저장소","178223.10627473","423184.373675199","일반","주상나지",
"42","고압가스업","09_28_05_P","5710000","2000441001102200011","1996-05-10","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 북이면 신대리 60-1","충청북도 청주시 청원구 북이면 신대석성로 91-63","","㈜희성화학","2026-04-02 11:28:55","U","2026-04-04 02:40:00","제조","248168.797725703","359631.277086876","냉동","공업용",
"43","고압가스업","09_28_05_P","3230000","2023323031002100001","2023-05-16","","01","영업/정상","01","영업중","","","","","","","","서울특별시 송파구 신천동 7-18 롯데캐슬골드","서울특별시 송파구 올림픽로 269 (신천동, 롯데캐슬골드)","05510","롯데쇼핑(주) 롯데캐슬플라자","2026-04-02 16:14:22","U","2026-04-04 02:40:00","제조","208836.192051204","445807.727388799","냉동","",
"44","고압가스업","09_28_05_P","5340000","2012534001602200002","2012-08-06","","01","영업/정상","01","영업중","","","","","","","","","경상남도 사천시 유람선길 32 (대방동)","","동양냉동식품(주)","2026-04-02 17:28:14","U","2026-04-04 02:40:00","제조","297055.048057041","159530.368143915","냉동","",
"45","고압가스업","09_28_05_P","3230000","2017323023102100001","2017-04-13","","01","영업/정상","01","영업중","","","","","","","","","서울특별시 송파구 올림픽로 240 (신천동)","","롯데쇼핑(주) 잠실점","2026-04-02 16:02:05","U","2026-04-04 02:40:00","제조","208589.363343145","445455.90405262","냉동","",
"46","고압가스업","09_28_05_P","4671000","2024467109602200001","2024-04-16","","03","폐업","03","폐업","2026-04-02","","","","","","","전북특별자치도 군산시 오식도동 867-6 우진고분자","전북특별자치도 군산시 무역로 90, 우진고분자 (오식도동)","54002","(주)우진고분자","2026-04-02 17:56:17","U","2026-04-04 02:40:00","제조","159959.489484954","272580.300607559","냉동","",
"47","고압가스업","09_28_05_P","5070000","2020507017802200002","2020-08-13","","02","휴업","02","휴업","","2026-04-03","2027-04-02","","","","","경상북도 안동시 풍산읍 매곡리 1136 천연색소산업화센터","경상북도 안동시 풍산읍 산업단지2길 31, 천연색소산업화센터","36618","한국천연색소산업화센터","2026-04-02 14:38:04","U","2026-04-04 02:40:00","제조","338434.999771944","344922.480953856","냉동","",
"48","고압가스업","09_28_05_P","5340000","2025534023402100003","2025-08-29","","01","영업/정상","01","영업중","","","","","","","","경상남도 사천시 대방동 765-7 동양냉동식품","경상남도 사천시 유람선길 32, 동양냉동식품 (대방동)","52555","동양냉동식품(주)","2026-04-02 17:25:04","U","2026-04-04 02:40:00","제조","297055.048057041","159530.368143915","냉동","",
"49","고압가스업","09_28_05_P","5400000","2011540000902100008","2011-05-25","","01","영업/정상","01","영업중","","","","","","","","경상남도 함안군 칠서면 계내리 1","경상남도 함안군 칠서면 계룡로 102","","(주)서림산기제3공장","2026-04-02 09:15:59","U","2026-04-04 02:40:00","저장소","335763.353664329","209384.094368534","","",
"50","고압가스업","09_28_05_P","5670000","1988527002202100059","2007-10-25","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 의창구 팔용동 29-2 한국열처리","경상남도 창원시 의창구 팔용로 383, 한국열처리 (팔용동)","51395","주식회사 한국열처리","2026-04-02 09:04:24","U","2026-04-04 02:40:00","저장소","346346.176475921","195914.955292097","일반","주상나지",
"51","고압가스업","09_28_05_P","4050000","2001405008302200001","2001-06-18","","01","영업/정상","01","영업중","","","","","","","","경기도 용인시 처인구 백암면 장평리 776","경기도 용인시 처인구 백암면 삼백로 454","","농업회사법인 조인팜스(주) 강남지점","2026-04-02 09:09:51","U","2026-04-04 02:40:00","제조","233391.754100791","401259.182779225","냉동","지정되지않음",
"52","고압가스업","09_28_05_P","5710000","2012441013302200001","2012-02-02","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-9","충청북도 청주시 청원구 오창읍 과학산업5로 89","","에스에프씨㈜","2026-04-02 11:23:54","U","2026-04-04 02:40:00","제조","237181.807770193","356073.445572839","냉동","공업용",
"53","고압가스업","09_28_05_P","5710000","2016573500502100006","2016-10-17","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-11","충청북도 청주시 청원구 오창읍 과학산업4로 80","28122","더블유스코프코리아㈜ 2공장","2026-04-02 11:19:09","U","2026-04-04 02:40:00","제조","237089.374372652","355757.250435988","냉동","",
"54","고압가스업","09_28_05_P","5710000","2000441001102200013","1998-07-28","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 여천리 164-2","충청북도 청주시 청원구 오창읍 화산여천길 63-32","28127","㈜미래식품","2026-04-02 11:29:17","U","2026-04-04 02:40:00","제조","244771.843208856","363160.817839562","냉동","특수토지",
"55","고압가스업","09_28_05_P","5710000","2001441001102200005","2001-08-17","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 오창과학산업단지 9-2블럭","","","㈜메타바이오메드","2026-04-02 11:29:28","U","2026-04-04 02:40:00","제조","","","냉동","공업용",
"56","고압가스업","09_28_05_P","5710000","2006573500502100001","2006-03-15","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 311-2","충청북도 청주시 청원구 오창읍 과학산업2로 587-32","","㈜네패스(2공장)","2026-04-02 11:36:34","U","2026-04-04 02:40:00","제조","239673.668102311","358353.740186446","냉동","",
"57","고압가스업","09_28_05_P","5710000","2010441006702200006","2010-08-31","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 644-3","충청북도 청주시 청원구 오창읍 과학산업3로 188","28125","㈜풍남반도체테크","2026-04-02 11:36:18","U","2026-04-04 02:40:00","제조","238155.066939181","356143.961038586","냉동","공업용",
"58","고압가스업","09_28_05_P","5710000","2014573500502100006","2014-10-02","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 343","충청북도 청주시 청원구 오창읍 양청송대길 231","28118","㈜아이티켐","2026-04-02 11:22:46","U","2026-04-04 02:40:00","제조","240252.255488869","358824.570789059","냉동","",
"59","고압가스업","09_28_05_P","5710000","2014573500502100007","2014-11-05","","01","영업/정상","01","영업중","","","","2022-08-11","","","","충청북도 청주시 청원구 오창읍 송대리 330","충청북도 청주시 청원구 오창읍 2산단로 82","","㈜셀트리온제약","2026-04-02 11:22:36","U","2026-04-04 02:40:00","제조","239930.609413129","358690.175748996","냉동","",
"60","고압가스업","09_28_05_P","5710000","2015571003002100001","2015-02-25","","01","영업/정상","01","영업중","","","","2019-08-08","","12964","","충청북도 청주시 청원구 오창읍 화산리(花山) 119-1 119-1, 120-7, 119-10","충청북도 청주시 청원구 오창읍 호죽화산로 315","","㈜MS가스 청주공장","2026-04-02 11:22:05","U","2026-04-04 02:40:00","제조","234548.574745491","357508.745112667","충전","",
"61","고압가스업","09_28_05_P","5710000","2015573500502100001","2015-02-24","","01","영업/정상","01","영업중","","","","","","4600","","충청북도 청주시 청원구 오창읍 화산리(花山) 119-8","충청북도 청주시 청원구 오창읍 호죽화산로 315","28106","㈜MS가스(청주공장)","2026-04-02 11:22:16","U","2026-04-04 02:40:00","판매","234548.574745491","357508.745112667","","",
"62","고압가스업","09_28_05_P","5710000","2015573500502100003","2015-06-02","","01","영업/정상","01","영업중","","","","","","","","","충청북도 청주시 청원구 오창읍 양청송대길 231","","㈜아이티켐","2026-04-02 11:21:55","U","2026-04-04 02:40:00","제조","240252.255488869","358824.570789059","냉동","",
"63","고압가스업","09_28_05_P","5710000","2015573500502100004","2015-07-28","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 654-2","충청북도 청주시 청원구 오창읍 과학산업3로 116","28125","㈜네패스(1공장)","2026-04-02 11:21:36","U","2026-04-04 02:40:00","제조","237808.946198376","355608.034980668","냉동","",
"64","고압가스업","09_28_05_P","5710000","2015573500502200006","2015-07-22","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 345","충청북도 청주시 청원구 오창읍 양청송대길 209","","㈜대현에스티","2026-04-02 11:21:45","U","2026-04-04 02:40:00","제조","240073.969736694","358535.50941043","냉동","공업용",
"65","고압가스업","09_28_05_P","5710000","2011441013302100010","2011-08-22","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 316-7 세미테크(주)","충청북도 청주시 청원구 오창읍 양청송대길 82","","세미테크㈜","2026-04-02 11:28:20","U","2026-04-04 02:40:00","저장소","239549.647862935","357471.607022608","","공업용",
"66","고압가스업","09_28_05_P","5710000","2003441001102200001","2003-01-16","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 781-5","충청북도 청주시 청원구 오창읍 과학산업3로 86","","한국캠브리지필터㈜","2026-04-02 11:37:03","U","2026-04-04 02:40:00","제조","237626.321061947","355332.73520513","냉동","공업용",
"67","고압가스업","09_28_05_P","5710000","2003441001102200003","2003-03-27","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 내수읍 학평리 72","충청북도 청주시 청원구 내수읍 학평풍정길 13","","㈜에버코스","2026-04-02 11:36:54","U","2026-04-04 02:40:00","제조","249298.114014385","357392.743586576","냉동","공업용",
"68","고압가스업","09_28_05_P","5710000","2006441006702100003","2006-03-16","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-5","충청북도 청주시 청원구 오창읍 과학산업4로 118","","린텍코리아㈜","2026-04-02 11:34:50","U","2026-04-04 02:40:00","제조","236766.857152431","356055.133359366","냉동","공업용",
"69","고압가스업","09_28_05_P","5710000","2006441006702100006","2006-04-20","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-3","충청북도 청주시 청원구 오창읍 과학산업3로 105","28122","에이지씨디스플레이글라스오창㈜","2026-04-02 11:35:02","U","2026-04-04 02:40:00","제조","237544.410662922","355681.52296158","냉동","공업용",
"70","고압가스업","09_28_05_P","5710000","2016573500502100002","2016-03-10","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-11","충청북도 청주시 청원구 오창읍 과학산업4로 80","","더블유스코프코리아㈜ 2공장","2026-04-02 11:19:24","U","2026-04-04 02:40:00","제조","237089.374372652","355757.250435988","냉동","",
"71","고압가스업","09_28_05_P","5710000","2010441006702100002","2010-05-19","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 양청리 810-8","충청북도 청주시 청원구 오창읍 양청송대길 28","","㈜엠케이켐앤텍(오창공장)","2026-04-02 11:32:56","U","2026-04-04 02:40:00","제조","239256.300325633","357003.426941828","냉동","공업용",
"72","고압가스업","09_28_05_P","5710000","2013441013302200005","2013-07-08","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 양청리 810-8","충청북도 청주시 청원구 오창읍 양청송대길 28","","㈜엠케이켐앤텍","2026-04-02 11:23:12","U","2026-04-04 02:40:00","제조","239256.300325633","357003.426941828","냉동","공업용",
"73","고압가스업","09_28_05_P","5710000","2013573500502200002","2013-04-23","","01","영업/정상","01","영업중","","","","","","","","","충청북도 청주시 청원구 오창읍 과학산업4로 106, 더블유스코프코리아","28122","더블유스코프코리아㈜ 1공장","2026-04-02 11:23:23","U","2026-04-04 02:40:00","제조","236898.873647523","355933.149472134","냉동","",
"74","고압가스업","09_28_05_P","5710000","2014441013302200001","2014-05-09","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 북이면 장양리 415","충청북도 청주시 청원구 북이면 용계내추로 243","28134","㈜세움","2026-04-02 11:23:02","U","2026-04-04 02:40:00","제조","247298.705480823","362542.996097174","냉동","공업용",
"75","고압가스업","09_28_05_P","3910000","2021391003502100005","2021-03-10","","01","영업/정상","01","영업중","","","","","","","","경기도 평택시 고덕동 1695 삼성전자(주) 평택캠퍼스","경기도 평택시 삼성로 114, 삼성전자(주) 평택캠퍼스 (고덕동)","17786","삼성전자(주) [3라인 인프라복합동]","2026-04-02 10:55:35","U","2026-04-04 02:40:00","저장소","205276.542163998","392561.65560657","","",
"76","고압가스업","09_28_05_P","3150000","2006315012302200058","2006-11-07","","03","폐업","03","폐업","2026-02-04","","","","","","","서울특별시 강서구 가양동 18-24","서울특별시 강서구 양천로 431 (가양동)","","홈플러스(주)","2026-04-02 15:20:37","U","2026-04-04 02:40:00","제조","186687.131804431","451342.773451086","냉동","상업용",
"77","고압가스업","09_28_05_P","5710000","2013441013302100006","2013-03-20","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 각리 653-9","충청북도 청주시 청원구 오창읍 과학산업5로 89","28122","에스에프씨㈜","2026-04-02 11:23:43","U","2026-04-04 02:40:00","제조","237181.807770193","356073.445572839","냉동","",
"78","고압가스업","09_28_05_P","5710000","2012441013302100012","2012-11-07","","01","영업/정상","01","영업중","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 320-2","충청북도 청주시 청원구 오창읍 과학산업2로 586","28119","㈜녹십자","2026-04-02 11:23:33","U","2026-04-04 02:40:00","제조","239337.249159134","357736.033582542","냉동","공업용",
