"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"14","동물병원","02_03_01_P","5710000","572000001020041001","2004-07-07","","01","영업/정상","0000","정상","","","","","0432237582","52","","충청북도 청주시 상당구 금천동 477 금천 센트럴파크 스타힐스","충청북도 청주시 상당구 쇠내로 48, 301동 114호 (금천동, 금천 센트럴파크 스타힐스)","28734","우리동물병원","2026-03-04 13:37:38","U","2026-03-06 02:40:00","","244708.782385305","347086.317305363","동물병원","","000","0",
"15","동물병원","02_03_01_P","5710000","572000001020220001","2022-07-27","","01","영업/정상","0000","정상","","","","","","36.94","","충청북도 청주시 상당구 남일면 고은리 156-2","충청북도 청주시 상당구 남일면 쌍암동길 30-7","28190","아비넥스트 부설 동물병원","2026-03-04 16:06:56","U","2026-03-06 02:40:00","","246985.991557102","340752.874864622","동물병원","","000","0",
"16","동물병원","02_03_01_P","3860000","386000001020160004","2016-06-01","","01","영업/정상","0000","정상","","","","","032-715-7579","0","","경기도 부천시 원미구 중동 1106 위브더스테이트","경기도 부천시 원미구 신흥로 190, 위브더스테이트 (중동)","14549","24시해든동물메디컬센터","2026-03-04 20:25:49","U","2026-03-06 02:40:00","","180230.147459412","444378.254519656","동물병원","","000","0",
"17","동물병원","02_03_01_P","3410000","341000001020260001","2026-03-04","","01","영업/정상","0000","정상","","","","","053-716-4488","400","","대구광역시 중구 삼덕동2가 295-1","대구광역시 중구 달구벌대로 2199 (삼덕동2가)","41948","우리들외과동물의료센터","2026-03-05 09:06:55","I","2026-03-07 00:20:02","","344810.223828702","263747.153987442","동물병원","","000","0",
"18","동물병원","02_03_01_P","3460000","346000001020100001","2010-02-08","","01","영업/정상","0000","정상","","","","","764-7582","0","","대구광역시 수성구 상동 279-2","대구광역시 수성구 수성로 85 (상동)","","올펫 동물병원","2026-03-05 09:57:31","U","2026-03-07 02:40:00","","345516.433587226","260438.539043875","동물병원","","000","0",
"19","동물병원","02_03_01_P","4181000","418000001020190001","2019-04-07","","01","영업/정상","0000","정상","","","","","033-252-3205","0","","강원특별자치도 춘천시 후평동 244-34","강원특별자치도 춘천시 후석로 434 (후평동)","24232","춘천철원화천양구축산업협동조합","2026-03-05 17:39:27","U","2026-03-07 02:40:00","","265400.35106042","487577.815703786","동물병원","","L00","0",
"20","동물병원","02_03_01_P","3560000","356000001020100001","2010-03-02","","01","영업/정상","0000","정상","","","","","565-7975","398","","인천광역시 서구 당하동 1082-6","인천광역시 서구 서곶로 829, 1,2층 (당하동)","22675","검단탑동물의료센터","2026-03-04 09:02:44","U","2026-03-07 02:40:00","","171040.504920043","454384.034587416","동물병원","","000","0",
"21","동물병원","02_03_01_P","4331000","433000001020030001","2009-11-24","","01","영업/정상","0000","정상","","","","","461-2801","167.42","","강원특별자치도 인제군 북면 원통리 835-6","강원특별자치도 인제군 북면 원통로74번길 10-8","24621","인제축산업협동조합 동물병원","2026-03-05 11:01:57","U","2026-03-07 02:40:00","","305100.842018711","513032.13485069","동물병원","","L00","0",
"22","동물병원","02_03_01_P","5670000","567000001020150010","2015-12-04","","01","영업/정상","0000","정상","","","","","055-719-3119","510","","경상남도 창원시 의창구 명서동 199-7","경상남도 창원시 의창구 창이대로113번길 8, 1,2층 (명서동)","51388","24시 창원2차동물의료원","2026-03-05 15:06:14","U","2026-03-07 02:40:00","","350085.75383602","194915.23487445","동물병원","","000","0",
"23","동물병원","02_03_01_P","3420000","342000001020210002","2021-08-30","","01","영업/정상","0000","정상","","","","","","","","대구광역시 동구 대림동 890-2","대구광역시 동구 메디밸리로 13, 110호,111호,112호 (대림동)","41072","대구혁신메디컬 동물병원","2026-03-05 16:13:57","U","2026-03-07 02:40:00","","357916.122671764","265166.262857772","동물병원","","000","0",
"24","동물병원","02_03_01_P","5530000","577000001020150005","2015-04-17","","01","영업/정상","0000","정상","","","","","031-831-5508","0","","경기도 화성시 동탄구 반송동 92-7 스타프라자 402~6호","경기도 화성시 동탄구 메타폴리스로 53, 스타프라자 4층 402~406호 (반송동)","18454","메타 동물의료센터","2026-03-05 14:34:00","U","2026-03-07 02:40:00","","206427.276441127","411149.170349989","동물병원","","000","0",
"25","동물병원","02_03_01_P","3170000","317000001020170002","2017-03-28","","01","영업/정상","0000","정상","","","","","02-808-2475","129.6","","서울특별시 금천구 시흥동 999-1","서울특별시 금천구 시흥대로 251 (시흥동, 도일산호시티빌)","08614","금천 24시 K동물의료센터","2026-03-05 09:29:30","U","2026-03-07 02:40:00","","191041.238206348","439333.421297264","동물병원","","000","0",
"26","동물병원","02_03_01_P","3930000","393000001020250003","2025-07-15","","01","영업/정상","0000","정상","","","","","031-8042-6788","188.19","","경기도 안산시 단원구 고잔동 768-2 화승타운 209호","경기도 안산시 단원구 광덕3로 178, 화승타운 209호 (고잔동)","15470","라비온 동물의료센터","2026-03-05 09:05:41","U","2026-03-07 02:40:00","","185068.249590875","423353.993234263","동물병원","","000","0",
"27","동물병원","02_03_01_P","4060000","406000001020260001","2026-02-27","","01","영업/정상","0000","정상","","","","","050713098514","201.88","","경기도 파주시 와동동 1664-578","경기도 파주시 가람로 121-1, 201,202호 (와동동)","10869","운정소현동물의료센터","2026-03-04 15:46:44","U","2026-03-07 02:40:00","","","","동물병원","","000","0",
"28","동물병원","02_03_01_P","5710000","572000001020160001","2016-03-14","","01","영업/정상","0000","정상","","","","","043-288-7599","210","","충청북도 청주시 상당구 용암동 2623","충청북도 청주시 상당구 중고개로 191 (용암동)","28763","엘케이동물의료센터","2026-03-05 09:08:40","U","2026-03-07 02:40:00","","245918.5210445","346780.285263669","동물병원","","000","0",
"29","동물병원","02_03_01_P","3230000","323000001020220006","2022-06-29","","01","영업/정상","0000","정상","","","","","02-6953-7587","","","서울특별시 송파구 신천동 17-6","서울특별시 송파구 올림픽로 329, 403호 (신천동)","05509","잠실동물병원","2026-03-04 16:11:47","U","2026-03-07 02:40:00","","208317.419891103","445894.98085039","동물병원","","000","0",
