"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"15","체력단련장업","10_42_01_P","3780000","CDFH3301062023000012","2023-04-26","","01","영업/정상","13","영업중","","","","","","472.2","","경기도 성남시 중원구 금광동 1347","경기도 성남시 중원구 광명로324번길 3, 지층 (금광동)","13182","온웨이짐","2026-03-03 17:04:43","U","2026-03-05 02:40:00","","214278.214443085","438111.367534501","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"16","체력단련장업","10_42_01_P","3120000","CDFH3301062015000001","2015-01-20","","01","영업/정상","13","영업중","","","","","365-6999","720.6","","서울특별시 서대문구 창천동 31-4","서울특별시 서대문구 연세로 36, 6,7층 (창천동, 독수리빌딩)","03776","짐박스피트니스 신촌점","2026-03-03 13:26:33","U","2026-03-05 02:40:00","","194398.057135368","450731.959855132","체력단련장업","사립","","11","0","4070.5","0","0","0","0","","",
"17","체력단련장업","10_42_01_P","3140000","CDFH3301062017000003","2017-05-25","","01","영업/정상","13","영업중","","","","","","631.65","","서울특별시 양천구 신월동 994-9 2층","서울특별시 양천구 남부순환로 566 (신월동, 경창빌딩)","08041","휘트니스칸 신월점 헬스&PT&요가&필라테스","2026-03-03 09:20:08","U","2026-03-05 02:40:00","","185660.569755988","446216.954241004","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"18","체력단련장업","10_42_01_P","4600000","CDFH3301062021000002","2021-10-27","","01","영업/정상","13","영업중","","","","","041-632-1717","410","","충청남도 홍성군 홍성읍 옥암리 1080-2","충청남도 홍성군 홍성읍 문화로33번길 34, 3층","32247","OLD SCHOOL GYM 2호점","2026-03-03 17:02:55","U","2026-03-05 02:40:00","","169157.583464887","343703.055081304","체력단련장업","사립","","2","1","1310.3","0","0","0","0","","",
"19","체력단련장업","10_42_01_P","3190000","CDFH3301062021000011","2021-11-23","","01","영업/정상","13","영업중","","","","","","179.44","","서울특별시 동작구 상도1동 742-1","서울특별시 동작구 상도로 280, 2~3층 (상도1동)","07032","아워러스(OUROUS)","2026-03-03 18:10:39","U","2026-03-05 02:40:00","","195326.189841968","444465.209652975","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"20","체력단련장업","10_42_01_P","3930000","CDFH3301062024000006","2024-03-12","","01","영업/정상","13","영업중","","","","","","205.6","","경기도 안산시 단원구 고잔동 708-2 삼영타운 308호","경기도 안산시 단원구 광덕대로 151, 삼영타운 308호 (고잔동)","15471","하와이짐","2026-03-03 09:43:02","U","2026-03-05 02:40:00","","184774.065083849","423138.145650451","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"21","체력단련장업","10_42_01_P","3740000","CDFH3301062014000011","2014-06-24","","01","영업/정상","13","영업중","","","","","","210.12","","경기도 수원시 권선구 탑동 789-1 강서빌딩","경기도 수원시 권선구 탑동로 48, 강서빌딩 101호 (탑동)","16605","짐케이 탑동점","2026-03-03 10:34:09","U","2026-03-05 02:40:00","","197657.457521153","419011.952593467","체력단련장업","사립","","1","0","2866.87","0","0","0","0","","",
"22","체력단련장업","10_42_01_P","3070000","CDFH3301062025000015","2025-08-08","","01","영업/정상","13","영업중","","","","","","249.53","","서울특별시 성북구 안암동5가 94-2","서울특별시 성북구 고려대로 102, 3,4층 (안암동5가)","02856","조인성퍼스널트레이닝 프리미엄점","2026-03-03 16:07:11","U","2026-03-05 02:40:00","","202627.348033454","453760.733717966","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"23","체력단련장업","10_42_01_P","3040000","CDFH3301062021000005","2021-06-03","","01","영업/정상","13","영업중","","","","","","111.89","","서울특별시 광진구 화양동 44-13 지하1층","서울특별시 광진구 동일로24길 18-1, 지하1층 (화양동)","05020","우리동네 PT샵","2026-03-03 17:15:56","U","2026-03-05 02:40:00","","205778.723060262","449052.317939389","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"24","체력단련장업","10_42_01_P","3380000","CDFH3301062018000004","2018-10-15","","03","폐업","03","폐업","2026-03-03","","","","","292.15","","부산광역시 수영구 광안동 744-9","부산광역시 수영구 수영로 577, 11층 (광안동)","48255","유니크짐","2026-03-03 15:36:52","U","2026-03-05 02:40:00","","392438.47893577","186284.49875589","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"25","체력단련장업","10_42_01_P","3220000","CDFH3301062014000011","2014-03-11","","01","영업/정상","13","영업중","","","","","02-451-2486","530.36","135-190","서울특별시 강남구 세곡동 281-4 강남리더스프라자 501,502,503호","서울특별시 강남구 헌릉로 569 (세곡동)","06376","짐82","2026-03-03 09:19:48","U","2026-03-05 02:40:00","","208882.245870174","440405.743740801","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"26","체력단련장업","10_42_01_P","5070000","CDFH3301062019000001","2019-01-03","","01","영업/정상","13","영업중","","","","","","305.53","","경상북도 안동시 옥동 942-7 4층","경상북도 안동시 옥서3길 7-25, 4층 (옥동)","36662","더 바디 짐","2026-03-03 11:47:58","U","2026-03-05 02:40:00","","351686.513160876","341233.317589767","체력단련장업","사립","","1","0","1978.91","0","0","0","0","","",
"27","체력단련장업","10_42_01_P","3230000","CDFH3301062024000040","2024-12-20","","01","영업/정상","13","영업중","","","","","","26.45","","서울특별시 송파구 방이동 159-14","서울특별시 송파구 가락로 275, 303호 (방이동)","05629","파트너짐","2026-03-03 21:18:21","U","2026-03-05 02:40:00","","210489.546572091","445594.12322705","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"28","체력단련장업","10_42_01_P","3660000","CDFH3301062026000001","2026-03-04","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 복수동 280 삼익목화아파트","대전광역시 서구 복수북로 42, 2층 (복수동, 삼익목화아파트)","35404","모두의 헬스장 목화점","2026-03-04 10:05:50","I","2026-03-06 00:20:02","","233568.694082682","311936.312787478","체력단련장업","사립","","1","0","715.94","0","0","0","0","","",
"29","체력단련장업","10_42_01_P","5310000","CDFH3301062026000003","2026-03-04","","01","영업/정상","13","영업중","","","","","","116.96","","경상남도 진주시 충무공동 82-2 301호","경상남도 진주시 범골로 56, 301호 (충무공동)","52859","무브힐 혁신점","2026-03-04 09:01:36","I","2026-03-06 00:20:02","","302973.407969637","186197.235118747","체력단련장업","사립","","1","1","0","0","0","0","0","","",
"30","체력단련장업","10_42_01_P","3360000","CDFH3301062026000001","2026-03-04","","01","영업/정상","13","영업중","","","","","0512029696","","","부산광역시 강서구 명지동 3237-13","부산광역시 강서구 명지오션시티4로 90, 정우빌딩 6층 (명지동)","46765","플로우 피트니스","2026-03-04 10:25:35","I","2026-03-06 00:20:02","","373512.891351707","177420.077660298","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"31","체력단련장업","10_42_01_P","5690000","CDFH3301062026000006","2026-03-04","","01","영업/정상","13","영업중","","","","","","1080.82","","세종특별자치시 소담동 571","세종특별자치시 소담로 87, 베스트탑 5층 (소담동)","30150","(주)짐프레스 소담점","2026-03-04 18:00:36","I","2026-03-06 00:20:02","","226977.645454488","331651.465228845","체력단련장업","사립","","2","0","11492.85","0","0","0","0","","",
"32","체력단련장업","10_42_01_P","3780000","CDFH3301062026000007","2026-03-04","","01","영업/정상","13","영업중","","","","","","33.64","","경기도 성남시 중원구 성남동 4169","경기도 성남시 중원구 성남대로 1133, 2층 3A호 (성남동)","13376","심플짐","2026-03-04 09:25:49","I","2026-03-06 00:20:02","","211313.708010185","436554.780756187","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"33","체력단련장업","10_42_01_P","5710000","CDFH3301062022000015","2022-04-14","","03","폐업","03","폐업","2026-03-03","","","","043-239-8230","133.72","","충청북도 청주시 흥덕구 가경동 1983","충청북도 청주시 흥덕구 서현북로 56, 4층 (가경동)","28383","커브스 강서클럽","2026-03-04 11:13:51","U","2026-03-06 02:40:00","","238263.290838716","346785.047686727","체력단련장업","사립","","1","0","628.75","0","0","0","0","","",
"34","체력단련장업","10_42_01_P","3410000","CDFH3301062019000003","2019-11-11","","03","폐업","03","폐업","2026-03-03","","","","0507-1482-4488","196.35","","대구광역시 중구 대봉동 13-4","대구광역시 중구 달구벌대로446길 8-6, 3층 (대봉동)","41951","Re:Born Gym[리:본 짐]","2026-03-04 15:40:05","U","2026-03-06 02:40:00","","344958.740630594","263629.933687549","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"35","체력단련장업","10_42_01_P","4490000","CDFH3301062022000006","2022-03-22","","03","폐업","03","폐업","2026-02-23","","","","","220.32","","충청남도 천안시 동남구 신부동 289-16","충청남도 천안시 동남구 북일로 71, 203-204호 (신부동)","31115","ERUUL BODY PT(애룰 바디 피티)","2026-03-04 17:17:16","U","2026-03-06 02:40:00","","214029.836215819","369744.654077126","체력단련장업","사립","","0","0","2124.36","0","0","0","0","","",
"36","체력단련장업","10_42_01_P","3860000","CDFH3301062015000018","2015-09-02","","01","영업/정상","13","영업중","","","","","032-325-3374","630.48","","경기도 부천시 원미구 중동 1035 성원빌딩 5층","경기도 부천시 원미구 길주로 227, 5층 (중동, 성원빌딩)","14538","리바이 피트니스 부천시청점","2026-03-04 17:30:54","U","2026-03-06 02:40:00","","179397.483321092","444740.176083017","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"37","체력단련장업","10_42_01_P","3860000","CDFH3301062016000015","2016-08-23","","01","영업/정상","13","영업중","","","","","","776.28","","경기도 부천시 원미구 중동 1031-3 지하층B101호","경기도 부천시 원미구 길주로 183, 지하층 B101호 (중동, 영라이프빌딩)","14537","505 피트니스","2026-03-04 17:27:54","U","2026-03-06 02:40:00","","178971.057637214","444811.384758646","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"38","체력단련장업","10_42_01_P","4390000","CDFH3301062020000001","2020-03-17","","01","영업/정상","13","영업중","","","","","","261.8","","충청북도 충주시 칠금동 621 보람빌딩","충청북도 충주시 칠금11길 42, 보람빌딩 2층 (칠금동)","27354","피트미스(FITTMISS)","2026-03-04 10:40:43","U","2026-03-06 02:40:00","","281802.464062624","387612.915861769","체력단련장업","사립","","1","0","1261.88","0","0","0","0","","",
"39","체력단련장업","10_42_01_P","3030000","CDFH3301062026000001","2026-01-16","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 사근동 110 한양대학교 학생회관","서울특별시 성동구 왕십리로 222, 한양대학교 학생회관 5층 (사근동)","04763","예체능플레이 피트니스 한양대점","2026-03-04 09:44:04","U","2026-03-06 02:40:00","","204117.965772206","450608.519334481","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"40","체력단련장업","10_42_01_P","4490000","CDFH3301062023000010","2023-05-03","","03","폐업","03","폐업","2026-02-23","","","","","96","","충청남도 천안시 동남구 신부동 289-16","충청남도 천안시 동남구 북일로 71, 303호 (신부동)","31115","애룰바디","2026-03-04 17:14:59","U","2026-03-06 02:40:00","","214029.836215819","369744.654077126","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"41","체력단련장업","10_42_01_P","5310000","CDFH3301062025000006","2025-11-25","","01","영업/정상","13","영업중","","","","","055-752-3222","430","","경상남도 진주시 충무공동 289-1 다인프라자 9층","경상남도 진주시 에나로128번길 18, 다인프라자 9층 (충무공동)","52856","369피트니스 충무공동점","2026-03-04 17:18:50","U","2026-03-06 02:40:00","","304095.869017148","186926.484415118","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"42","체력단련장업","10_42_01_P","3900000","CDFH3301062023000003","2023-02-27","","01","영업/정상","13","영업중","","","","","","351.8","","경기도 광명시 광명동 352-14 로얄프라자","경기도 광명시 광화로 22, 로얄프라자 지하1층 (광명동)","14294","뱅가드 피트니스","2026-03-04 17:28:16","U","2026-03-06 02:40:00","","186568.489283325","441275.956646855","체력단련장업","사립","","0","0","4503.49","0","0","0","0","","",
"43","체력단련장업","10_42_01_P","5710000","CDFH3301062024000004","2024-02-21","","03","폐업","03","폐업","2025-02-21","","","","","260.24","","충청북도 청주시 흥덕구 가경동 2225 2층 203호","충청북도 청주시 흥덕구 서현로 90, 2층 203호 (가경동)","28382","피트니스 얼티밋","2026-03-04 11:13:35","U","2026-03-06 02:40:00","","238608.827690389","346481.605171667","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"44","체력단련장업","10_42_01_P","6520000","CDFH3301062024000001","2024-01-08","","03","폐업","03","폐업","2026-02-28","","","","","","","제주특별자치도 서귀포시 안덕면 동광리 1393-14","제주특별자치도 서귀포시 안덕면 신화역사로 426, 2층","63523","K&D 리듬체조(제주점)","2026-03-04 16:57:17","U","2026-03-06 02:40:00","","137811.806151966","-20525.2844552401","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"45","체력단련장업","10_42_01_P","3080000","CDFH3301062026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","0507-1377-5126","141.18","","서울특별시 강북구 번동 418-10 동국빌딩","서울특별시 강북구 한천로131길 36, 동국빌딩 4층 (번동)","01063","라이프 리턴","2026-03-04 15:47:10","U","2026-03-06 02:40:00","","202281.830934622","459505.068724709","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"46","체력단련장업","10_42_01_P","3940000","CDFH3301062025000031","2025-09-16","","01","영업/정상","13","영업중","","","","","","53.34","","경기도 고양시 덕양구 향동동 396 현대 테라타워 DMC A144호","경기도 고양시 덕양구 향동로 218, 현대 테라타워 DMC A144호 (향동동)","10545","향동 PT 미래핏 2호점","2026-03-04 17:07:34","U","2026-03-06 02:40:00","","190571.011617033","456226.711628653","체력단련장업","사립","","1","1","138515.69","0","0","0","0","","",
"47","체력단련장업","10_42_01_P","4641000","CDFH3301062017000004","2017-05-02","","03","폐업","03","폐업","2026-03-04","","","","063-224-2128","854.09","","","전북특별자치도 전주시 덕진구 기지로 66, 7층 (중동)","54871","사람 휘트니스 혁신도시점","2026-03-04 14:58:55","U","2026-03-06 02:40:00","","205258.213321692","259771.033856327","체력단련장업","사립","","2","0","11596.13","0","0","0","0","","",
"48","체력단련장업","10_42_01_P","4671000","CDFH3301062002000003","2002-09-16","","01","영업/정상","13","영업중","","","","","","924","573-360","전북특별자치도 군산시 미룡동 879-1 휴먼빌딩 5층","전북특별자치도 군산시 황룡로 10 (미룡동,휴먼빌딩 5층)","","머슬맥 휘트니스클럽","2026-03-04 14:49:03","U","2026-03-06 02:40:00","","171634.981096719","271701.469611125","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"49","체력단련장업","10_42_01_P","6510000","CDFH3301062022000021","2022-08-18","","03","폐업","03","폐업","2026-03-04","","","","","176.4","","제주특별자치도 제주시 한경면 저지리 2973-1","제주특별자치도 제주시 한경면 녹차분재로 552, 201호","63005","BEZM","2026-03-04 14:15:51","U","2026-03-06 02:40:00","","131621.349941021","-19313.5001682739","체력단련장업","사립","","0","0","558.69","0","0","0","0","","",
"50","체력단련장업","10_42_01_P","3220000","CDFH3301062017000041","2017-11-06","","01","영업/정상","13","영업중","","","","","02-512-5122","123.87","","서울특별시 강남구 신사동 638-5 고려빌딩","서울특별시 강남구 압구정로 310, 지하1층 (신사동)","06017","압구정PT studio","2026-03-04 13:18:28","U","2026-03-06 02:40:00","","203049.340327269","447393.51192286","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"51","체력단련장업","10_42_01_P","3480000","CDFH3301062026000001","2026-02-27","","01","영업/정상","13","영업중","","","","","","","","대구광역시 달성군 유가읍 봉리 601 하나리움퀸즈파크","대구광역시 달성군 유가읍 테크노북로 164 (하나리움퀸즈파크)","43015","피스트 킥 짐","2026-03-04 14:18:00","U","2026-03-06 02:40:00","","332149.48546355","244982.85665365","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"52","체력단련장업","10_42_01_P","3930000","CDFH3301062022000007","2022-06-03","","01","영업/정상","13","영업중","","","","","","332.1","","경기도 안산시 단원구 원곡동 846-3 A동 301호","경기도 안산시 단원구 라성로 40, A동 301호 (원곡동)","15382","휘트니스링크","2026-03-04 13:18:54","U","2026-03-06 02:40:00","","182294.985340242","425039.319016326","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"53","체력단련장업","10_42_01_P","3080000","CDFH3301062025000001","2025-01-10","","01","영업/정상","13","영업중","","","","","","131.84","","서울특별시 강북구 미아동 811-9 위브 테라스 파크","서울특별시 강북구 삼양로27길 43, 위브 테라스 파크 5층 503호 (미아동)","01197","웰케어PT","2026-03-04 17:43:17","U","2026-03-06 02:40:00","","201598.511376716","457357.306972319","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"54","체력단련장업","10_42_01_P","4510000","CDFH3301062026000001","2026-03-05","","01","영업/정상","13","영업중","","","","","","246.46","","충청남도 보령시 죽정동 662-1","충청남도 보령시 지장골길 94 (죽정동)","33443","정진헬스","2026-03-05 16:57:00","I","2026-03-07 00:20:02","","164225.859887267","317734.9619289","체력단련장업","사립","","1","0","499","0","0","0","0","","",
"55","체력단련장업","10_42_01_P","3690000","CDFH3301062026000002","2026-03-05","","01","영업/정상","13","영업중","","","","","","429","","울산광역시 중구 남외동 23-1","울산광역시 중구 병영성4길 2, 1,2층 (남외동)","44490","매드오리진","2026-03-05 16:56:15","I","2026-03-07 00:20:02","","","","체력단련장업","사립","","1","0","429","0","0","0","0","","",
"56","체력단련장업","10_42_01_P","3200000","CDFH3301062026000003","2026-03-05","","01","영업/정상","13","영업중","","","","","","75.68","","서울특별시 관악구 봉천동 972-32","서울특별시 관악구 봉천로 217-1, 3층 (봉천동)","08708","웰링커스","2026-03-05 09:54:32","I","2026-03-07 00:20:02","","193383.601607012","443109.84937523","체력단련장업","사립","","1","0","408.7","0","0","0","0","","",
"57","체력단련장업","10_42_01_P","5420000","CDFH3301062026000001","2026-03-05","","01","영업/정상","13","영업중","","","","","055-673-0059","1217.85","","경상남도 고성군 고성읍 동외리 164-2","경상남도 고성군 고성읍 동외로156번길 41","52941","다이노피아","2026-03-05 09:37:15","I","2026-03-07 00:20:02","","321212.098213687","164873.339778934","체력단련장업","사립","","1","0","3389.17","0","0","0","0","","",
"58","체력단련장업","10_42_01_P","3920000","CDFH3301062026000001","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","경기도 동두천시 지행동 719-2 삼성프라자","경기도 동두천시 중앙로 110-23, 삼성프라자 8층 (지행동)","11350","노블PT","2026-03-05 13:51:31","I","2026-03-07 00:20:02","","204624.770910575","487667.457442944","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"59","체력단련장업","10_42_01_P","5710000","CDFH3301062026000007","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 상당구 용담동 162-6","충청북도 청주시 상당구 교동로 163, B동 1층 (용담동)","28314","버텨견뎌(BTGD)","2026-03-05 17:07:05","I","2026-03-07 00:20:02","","245032.685565995","348208.541778929","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"60","체력단련장업","10_42_01_P","3360000","CDFH3301062019000005","2019-08-09","","01","영업/정상","13","영업중","","","","","","470.88","","부산광역시 강서구 신호동 215-15","부산광역시 강서구 신호산단2로27번길 3, 채움더테라스 3층 301~304호 (신호동)","46759","404피트니스 헬스&PT 신호점","2026-03-05 08:22:26","U","2026-03-07 02:40:00","","371179.513984489","178017.346679383","체력단련장업","사립","","2","0","3785.67","0","0","0","0","","",
"61","체력단련장업","10_42_01_P","3990000","CDFH3301062015000010","2015-10-28","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 별내동 1097-1 신성프라자","경기도 남양주시 별내5로5번길 15, 신성프라자 4층 (별내동)","12102","머스트휘트니스 별내점","2026-03-05 10:16:28","U","2026-03-07 02:40:00","","209853.951294477","460900.52671038","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"62","체력단련장업","10_42_01_P","6520000","CDFH3301062025000006","2025-12-30","","01","영업/정상","13","영업중","","","","","","136","","제주특별자치도 서귀포시 색달동 2137-6","제주특별자치도 서귀포시 색달로 25, 2층 (색달동)","63534","터치스톤","2026-03-05 13:51:35","U","2026-03-07 02:40:00","","144561.385120248","-26031.5190645628","체력단련장업","사립","","1","0","151.42","0","0","0","0","","",
"63","체력단련장업","10_42_01_P","5310000","CDFH3301062024000007","2024-04-18","","01","영업/정상","13","영업중","","","","","","488.4","","경상남도 진주시 신안동 582-3","경상남도 진주시 진양호로 280, 3층,4층 (신안동)","52697","빌리브짐","2026-03-05 17:09:32","U","2026-03-07 02:40:00","","296879.495080859","187092.419293264","체력단련장업","사립","","0","0","0","0","0","0","0","","",
