번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,Unnamed: 37,record_key
332,체육도장업,10_41_01_P,4050000,CDFH3301022026000006,2026-02-19,,1,영업/정상,13,영업중,,,,,,,,"경기도 용인시 기흥구 서천동 814 305,3호","경기도 용인시 기흥구 서천로127번길 3-3, 305,306호 (서천동)",17108,서천TEAM무예원,2026-02-19 15:16:24,I,2026-02-21 00:20:05,태권도,206358.094104339,414990.634626765,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,"서천TEAM무예원_경기도용인시기흥구서천동814305,3호"
331,체육도장업,10_41_01_P,4520000,CDFH3301022026000002,2026-02-15,,1,영업/정상,13,영업중,,,,,,,,충청남도 아산시 용화동 1460,"충청남도 아산시 용화로9번길 10-3, 1층 101호 (용화동)",31575,아산 알유 유도 짐,2026-02-15 17:17:03,I,2026-02-20 00:20:13,유도,200681.790691308,363397.06422828,체육도장업,사립,,1.0,0.0,805.2,0.0,,,,아산알유유도짐_충청남도아산시용화동1460
222,체육도장업,10_41_01_P,3440000,CDFH3301022026000001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,대구광역시 남구 대명동 2017-13 e편한세상 명덕역 퍼스트마크 302동 201~3호,"대구광역시 남구 명덕로 200 (대명동, e편한세상 명덕역 퍼스트마크)",42422,태권PD태권도장 명덕관,2026-02-13 10:58:45,I,2026-02-15 00:20:02,태권도,343883.433373668,262741.12688594,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,태권PD태권도장명덕관_대구광역시남구대명동2017-13e편한세상명덕역퍼스트마크302동201~3호
223,체육도장업,10_41_01_P,4090000,CDFH3301022026000003,2026-02-13,,1,영업/정상,13,영업중,,,,,031-986-5089,,,경기도 김포시 고촌읍 신곡리 1072,"경기도 김포시 고촌읍 장차로 4, 지하 1층",10125,고촌 승룡관 무사종합체육관,2026-02-13 17:54:05,I,2026-02-15 00:20:02,합기도,179621.7120697,455588.703106285,체육도장업,사립,,0.0,0.0,1305.0,0.0,,,,고촌승룡관무사종합체육관_경기도김포시고촌읍신곡리1072
224,체육도장업,10_41_01_P,3650000,CDFH3301022026000001,2026-02-13,,1,영업/정상,13,영업중,,,,,,,,대전광역시 중구 문화동 311-49,"대전광역시 중구 서문로105번길 4, 2층 (문화동)",34959,용인대 엘리트 복싱,2026-02-13 13:05:03,I,2026-02-15 00:20:02,권투,236439.130598126,313071.156068682,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,용인대엘리트복싱_대전광역시중구문화동311-49
204,체육도장업,10_41_01_P,4580000,CDFH3301022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,충청남도 서천군 장항읍 신창리 334-80,"충청남도 서천군 장항읍 장마로 41, 장항유도멀티짐 2층",33666,장항유도멀티짐,2026-02-12 16:45:54,I,2026-02-14 00:20:02,유도,171963.725079376,279121.03565345,체육도장업,사립,,1.0,1.0,509.0,0.0,,,,장항유도멀티짐_충청남도서천군장항읍신창리334-80
201,체육도장업,10_41_01_P,3530000,CDFH3301022026000005,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,인천광역시 남동구 구월동 1517-1 스카이프라자 3층,"인천광역시 남동구 인하로 627, 스카이프라자 3층 (구월동)",21585,무림합기도,2026-02-12 10:24:10,I,2026-02-14 00:20:02,합기도,174837.028250002,437925.748890457,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,무림합기도_인천광역시남동구구월동1517-1스카이프라자3층
197,체육도장업,10_41_01_P,6510000,CDFH3301022026000003,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,제주특별자치도 제주시 오라이동 1403-1,"제주특별자치도 제주시 사평6길 31, 1층 102호 (오라이동)",63145,비기닝태권스쿨,2026-02-12 09:57:59,I,2026-02-14 00:20:02,태권도,154779.672535741,-598.22653226152,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,비기닝태권스쿨_제주특별자치도제주시오라이동1403-1
198,체육도장업,10_41_01_P,3230000,CDFH3301022026000005,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 신천동 20-4,"서울특별시 송파구 올림픽로35길 45, 510호, 511호, 512호 (신천동)",05508,경희대 라이즈 태권도,2026-02-12 16:00:29,I,2026-02-14 00:20:02,태권도,209720.290631496,446244.350393389,체육도장업,사립,,1.0,1.0,0.0,0.0,,,,경희대라이즈태권도_서울특별시송파구신천동20-4
203,체육도장업,10_41_01_P,3630000,CDFH3301022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,광주광역시 광산구 산월동 885-2,"광주광역시 광산구 첨단중앙로68번길 60, 2층 (산월동, 첨단3-1차 호반리젠시빌)",62283,스트레이트 복싱,2026-02-12 10:46:13,I,2026-02-14 00:20:02,권투,185926.844104351,190186.611723482,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,스트레이트복싱_광주광역시광산구산월동885-2
199,체육도장업,10_41_01_P,3900000,CDFH3301022026000003,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경기도 광명시 광명동 9-8 광명자이더샵포레나 1단지 상가,"경기도 광명시 사성로75번길 1, 2층 (광명동, 광명자이더샵포레나 1단지)",14209,태권크리비룡태권도장,2026-02-12 18:04:50,I,2026-02-14 00:20:02,태권도,187855.739966923,442963.84824497,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,태권크리비룡태권도장_경기도광명시광명동9-8광명자이더샵포레나1단지상가
202,체육도장업,10_41_01_P,5590000,CDFH3301022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경기도 양주시 덕계동 892-3,"경기도 양주시 회천중앙로 240, 7층 703호~704호 (덕계동)",11444,경희대 수 태권도장,2026-02-12 10:44:51,I,2026-02-14 00:20:02,태권도,204613.394236359,479620.093732213,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,경희대수태권도장_경기도양주시덕계동892-3
200,체육도장업,10_41_01_P,3340000,CDFH3301022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,부산광역시 사하구 하단동 1157-10 외 2필지 110호,"부산광역시 사하구 하신번영로 407, 웰빙프라제 1층 110호 (하단동)",49301,청춘유도관 하단점,2026-02-12 09:51:43,I,2026-02-14 00:20:02,유도,378644.397589143,181572.854733243,체육도장업,사립,,1.0,0.0,1353.2,0.0,,,,청춘유도관하단점_부산광역시사하구하단동1157-10외2필지110호
196,체육도장업,10_41_01_P,5210000,CDFH3301022026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,경상북도 성주군 성주읍 백전리 629,"경상북도 성주군 성주읍 성주순환로 90, 성주스위트엠아파트 상가 2층 2층",40021,청춘유도관,2026-02-12 09:24:50,I,2026-02-14 00:20:02,유도,315440.057261158,270104.236844355,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,청춘유도관_경상북도성주군성주읍백전리629
169,체육도장업,10_41_01_P,4020000,CDFH3301022026000001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 군포시 당동 794-42,"경기도 군포시 군포로471번길 12, 3층 (당동)",15861,용인대 천하무적 태권도장(군포점),2026-02-11 17:47:25,I,2026-02-13 00:20:38,태권도,194890.01813956,427417.48845996,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,용인대천하무적태권도장(군포점)_경기도군포시당동794-42
168,체육도장업,10_41_01_P,3560000,CDFH3301022026000006,2026-02-11,,1,영업/정상,13,영업중,,,,,032-564-1061,,,인천광역시 서구 검암동 610-3,"인천광역시 서구 승학로506번안길 6, 2층 (검암동)",22696,검암 복싱 체육관,2026-02-11 17:41:33,I,2026-02-13 00:20:38,권투,171244.354432837,451477.18013346,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,검암복싱체육관_인천광역시서구검암동610-3
165,체육도장업,10_41_01_P,5350000,CDFH3301022026000005,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 진영읍 진영리 350-9,"경상남도 김해시 진영읍 진영로 78-18, 301호",50867,행복키움 태권도장,2026-02-11 08:46:47,I,2026-02-13 00:20:38,태권도,356457.361033962,201832.342968511,체육도장업,사립,,0.0,0.0,1225.14,0.0,,,,행복키움태권도장_경상남도김해시진영읍진영리350-9
166,체육도장업,10_41_01_P,4090000,CDFH3301022026000002,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 풍무동 707-2,"경기도 김포시 풍무로57번길 81, 1층 (풍무동)",10119,어쎈드 엠.엠.에이 짐(Ascend M.M.A Gym),2026-02-11 17:38:09,I,2026-02-13 00:20:38,권투,174937.324697947,455286.076909542,체육도장업,사립,,0.0,0.0,359.0,0.0,,,,어쎈드엠.엠.에이짐(AscendM.M.AGym)_경기도김포시풍무동707-2
167,체육도장업,10_41_01_P,5530000,CDFH3301022026000004,2026-02-11,,1,영업/정상,13,영업중,,,,,031-372-7001,,,경기도 화성시 동탄구 산척동  728-4 동탄2우성메디피아,"경기도 화성시 동탄구 동탄순환대로 127-17, 동탄2우성메디피아 8층 801,802호 (산척동)",18505,참 해동검도 동탄교육관,2026-02-11 13:03:23,I,2026-02-13 00:20:38,우슈,209458.265131345,407248.535700706,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,참해동검도동탄교육관_경기도화성시동탄구산척동728-4동탄2우성메디피아
150,체육도장업,10_41_01_P,3560000,CDFH3301022026000005,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,인천광역시 서구 당하동 1318-6 검단신도시 디에트르 더 펠리체,"인천광역시 서구 이음2로 30, 624동 103~105호 (당하동, 검단신도시 디에트르 더 펠리체)",22871,점핑클럽,2026-02-10 07:39:26,I,2026-02-12 00:20:02,태권도,,,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,점핑클럽_인천광역시서구당하동1318-6검단신도시디에트르더펠리체
149,체육도장업,10_41_01_P,4520000,CDFH3301022026000001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,충청남도 아산시 배방읍 세교리 1549,"충청남도 아산시 배방읍 세교중앙로 32, 4층 401호",31473,행복한 태권도(세교점),2026-02-10 13:56:57,I,2026-02-12 00:20:02,태권도,208294.118735148,364200.772310739,체육도장업,사립,,0.0,0.0,2976.82,0.0,,,,행복한태권도(세교점)_충청남도아산시배방읍세교리1549
148,체육도장업,10_41_01_P,3780000,CDFH3301022026000004,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 중원구 성남동 3460 중원실업빌딩,"경기도 성남시 중원구 둔촌대로101번길 28-17, 중원실업빌딩 지하층 (성남동)",13366,레드써클 성남점,2026-02-10 17:32:02,I,2026-02-12 00:20:02,레슬링,211524.926971197,436687.544565,체육도장업,사립,,0.0,1.0,0.0,0.0,,,,레드써클성남점_경기도성남시중원구성남동3460중원실업빌딩
147,체육도장업,10_41_01_P,3780000,CDFH3301022026000003,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 수정구 신흥동 173 우찬셀레스빌,"경기도 성남시 수정구 수정로 316, 310~312호 (신흥동, 우찬셀레스빌)",13261,무결태권도,2026-02-10 13:21:49,I,2026-02-12 00:20:02,태권도,213141.897152495,438824.191812254,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,무결태권도_경기도성남시수정구신흥동173우찬셀레스빌
146,체육도장업,10_41_01_P,3420000,CDFH3301022026000001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 신서동 540 영조 아름다운나날,"대구광역시 동구 동호로 88, 상가동 301호 (신서동, 영조 아름다운나날)",41090,서관장 합기도 무혼 본관,2026-02-10 17:39:45,I,2026-02-12 00:20:02,합기도,355918.510956483,264243.287075276,체육도장업,사립,,1.0,1.0,1293.12,0.0,,,,서관장합기도무혼본관_대구광역시동구신서동540영조아름다운나날
153,체육도장업,10_41_01_P,5690000,CDFH3301022026000003,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,세종특별자치시 대평동 699 판타지타워,"세종특별자치시 한누리대로 2257, 판타지타워 518호 (대평동)",30153,은하수 합기도,2026-02-10 18:30:17,I,2026-02-12 00:20:02,합기도,224843.574116244,330216.46065352,체육도장업,사립,,0.0,1.0,0.0,0.0,,,,은하수합기도_세종특별자치시대평동699판타지타워
151,체육도장업,10_41_01_P,4060000,CDFH3301022026000005,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 다율동 1037-3,"경기도 파주시 해올로 50-27, 다성프라자 501, 502호 (다율동)",10865,다율 국가대표 덕양 태권도장,2026-02-10 11:32:00,I,2026-02-12 00:20:02,태권도,,,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,다율국가대표덕양태권도장_경기도파주시다율동1037-3
119,체육도장업,10_41_01_P,3740000,CDFH3301022026000005,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 영통구 원천동 589 광교중흥에스클래스,"경기도 수원시 영통구 광교호수공원로 277, B1층 제비-188호 (원천동, 광교중흥에스클래스)",16517,용호복싱킥복싱광교,2026-02-09 19:44:09,I,2026-02-11 00:20:41,권투,205026.079641798,420062.878231009,체육도장업,사립,,1.0,0.0,59095.0,0.0,,,,용호복싱킥복싱광교_경기도수원시영통구원천동589광교중흥에스클래스
118,체육도장업,10_41_01_P,3740000,CDFH3301022026000004,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 팔달구 화서동 184-46,"경기도 수원시 팔달구 덕영대로803번길 39, 3층 (화서동)",16442,바른아이 합기스쿨,2026-02-09 19:15:46,I,2026-02-11 00:20:41,합기도,199675.256945176,419415.615184861,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,바른아이합기스쿨_경기도수원시팔달구화서동184-46
152,체육도장업,10_41_01_P,5530000,CDFH3301022026000003,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 병점구 진안동  914-1 메인프라자,"경기도 화성시 병점구 효행로 1051, 메인프라자 604-2호 (진안동)",18398,복싱스테이 동탄병점점,2026-02-10 15:28:13,I,2026-02-12 00:20:02,권투,203653.839340323,412527.345815506,체육도장업,사립,,0.0,0.0,0.0,0.0,,,,복싱스테이동탄병점점_경기도화성시병점구진안동914-1메인프라자
117,체육도장업,10_41_01_P,4671000,CDFH3301022026000001,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 군산시 내흥동 1041-4,"전북특별자치도 군산시 돌끝로 71, 2층 204,205호 (내흥동)",54042,용인대국가대표태권도,2026-02-09 15:13:33,I,2026-02-11 00:20:41,태권도,177966.803497028,277549.554523456,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,용인대국가대표태권도_전북특별자치도군산시내흥동1041-4
120,체육도장업,10_41_01_P,4060000,CDFH3301022026000003,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 다율동 1044-8 상상 메디컬 프라자,"경기도 파주시 청암로 75, 상상 메디컬 프라자 208호, 209호 (다율동)",10865,아크합기도,2026-02-09 16:05:25,I,2026-02-11 00:20:41,합기도,,,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,아크합기도_경기도파주시다율동1044-8상상메디컬프라자
121,체육도장업,10_41_01_P,4060000,CDFH3301022026000004,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 목동동 679 해솔마을 5단지 삼부르네상스 아파트,"경기도 파주시 가온로 67, 203호 (목동동, 해솔마을 5단지 삼부르네상스 아파트)",10899,점프윙스 줄넘기&태권도,2026-02-09 16:07:51,I,2026-02-11 00:20:41,태권도,177392.268503122,468961.726085911,체육도장업,사립,,1.0,0.0,0.0,0.0,,,,점프윙스줄넘기&태권도_경기도파주시목동동679해솔마을5단지삼부르네상스아파트
