번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자본금,거래처,Unnamed: 30,record_key
55,석유판매업,09_28_08_P,4470000,2010447003901500004,2010-07-20,,1,영업/정상,7,영업개시,,,,,,1314.0,,충청북도 음성군 음성읍 감우리 318-4,충청북도 음성군 음성읍 생음대로 807,27684.0,음성아이씨주유소,2026-03-05 13:29:55,U,2026-03-07 02:40:00,주유소,256249.478839738,385079.96758973,,,,음성아이씨주유소_충청북도음성군음성읍감우리318-4
42,석유판매업,09_28_08_P,4050000,2009405024001500009,2009-07-27,,1,영업/정상,7,영업개시,,,,,0234985271,997.0,,경기도 용인시 기흥구 하갈동 149-13,경기도 용인시 기흥구 기곡로 3 (하갈동),,두루안강주유소,2026-03-04 11:06:15,U,2026-03-06 02:40:00,주유소,208952.108582542,416786.434415247,,,,두루안강주유소_경기도용인시기흥구하갈동149-13
36,석유판매업,09_28_08_P,4050000,2009405024001500002,2009-02-06,,1,영업/정상,7,영업개시,,,,,,1497.0,,경기도 용인시 기흥구 보정동 198-3 (주)죽전역주유소,경기도 용인시 기흥구 진산로 188 (주)죽전역주유소 (보정동),16906.0,(주)선민 죽전역주유소,2026-03-04 08:52:46,U,2026-03-06 02:40:00,주유소,209295.088115297,424556.886130637,,,,(주)선민죽전역주유소_경기도용인시기흥구보정동198-3(주)죽전역주유소
21,석유판매업,09_28_08_P,4530000,2008453020701500002,2009-01-22,,1,영업/정상,7,영업개시,,,,,,1630.0,,충청남도 서산시 지곡면 화천리 3,충청남도 서산시 지곡면 충의로 1300,,지곡현대주유소,2026-03-03 15:12:56,U,2026-03-05 02:40:00,주유소,150138.202808891,375947.553914912,,,,지곡현대주유소_충청남도서산시지곡면화천리3
29,석유판매업,09_28_08_P,5050000,2008505019301500002,2008-09-29,,2,휴업,5,사업휴지,,2026-03-04,2026-04-29,,054-741-3320,1400.0,,"경상북도 경주시 배동 355-5 359-1, 360","경상북도 경주시 반구대로 3740 (배동,359-1, 360)",,불국에너지(주)남산지점,2026-03-04 13:49:02,U,2026-03-06 02:40:00,주유소,399261.970233335,258732.87728585,,,,"불국에너지(주)남산지점_경상북도경주시배동355-5359-1,360"
10,석유판매업,09_28_08_P,5310000,2008531001301500005,2008-05-22,,1,영업/정상,7,영업개시,,,,,055 747 8001,564.3,,"경상남도 진주시 봉곡동 10-19 외 2필지(10-20, 21)","경상남도 진주시 진주대로 1150 (봉곡동,외 2필지(10-20, 21))",,봉곡주유소,2026-03-03 11:20:41,U,2026-03-05 02:40:00,주유소,298023.462357508,189078.741489168,,,,"봉곡주유소_경상남도진주시봉곡동10-19외2필지(10-20,21)"
13,석유판매업,09_28_08_P,4890000,2008489007301200001,2008-02-05,,1,영업/정상,1,신규등록,,2016-02-12,2026-02-27,,061 8576970,396.0,,전라남도 보성군 조성면 조성리 657-6,전라남도 보성군 조성면 조성로 140,59441.0,(주)신한아그로,2026-03-03 10:54:27,U,2026-03-05 02:40:00,일반판매소,222781.238491965,145563.351513178,,,,(주)신한아그로_전라남도보성군조성면조성리657-6
28,석유판매업,09_28_08_P,4960000,2007496006901500002,2007-11-22,,1,영업/정상,6,휴지사업재개,,,,2025-11-15,,197.28,,전라남도 함평군 엄다면 화양리 743-1 함평나비휴게소(광주방향),"전라남도 함평군 엄다면 무안광주고속도로 12, 함평나비휴게소(광주방향)",57157.0,대보디앤에스(주)함평나비(광주방향)주유소,2026-03-04 10:30:21,U,2026-03-06 02:40:00,주유소,155397.70366565,171062.316967043,,,,대보디앤에스(주)함평나비(광주방향)주유소_전라남도함평군엄다면화양리743-1함평나비휴게소(광주방향)
30,석유판매업,09_28_08_P,5050000,2006505010001500009,2006-11-27,,1,영업/정상,6,휴지사업재개,,,,2026-01-13,054 742 4888,3983.0,,경상북도 경주시 동방동 307,경상북도 경주시 산업로 3585 (동방동),,시선(주)경주지점,2026-03-04 17:22:24,U,2026-03-06 02:40:00,주유소,403863.105810274,259054.71335412,,,,시선(주)경주지점_경상북도경주시동방동307
48,석유판매업,09_28_08_P,5080000,2006508013301500010,2006-07-24,,2,휴업,5,사업휴지,,2025-12-04,2026-11-30,,054 451 5145,412.3,,경상북도 구미시 봉곡동 429-1,경상북도 구미시 봉곡로 83 (봉곡동),,(주)서인에너지,2026-03-05 13:03:57,U,2026-03-07 02:40:00,주유소,317816.846244951,294747.170864696,,,,(주)서인에너지_경상북도구미시봉곡동429-1
3,석유판매업,09_28_08_P,5420000,2005542000801500003,2005-12-09,,1,영업/정상,1,신규등록,,,,,055  6742062,1495.0,,경상남도 고성군 대가면 송계리 447,경상남도 고성군 대가면 통영대전고속도로 29,52927.0,안국산업(주) 고성공룡나라(통영)주유소,2026-03-02 14:36:04,U,2026-03-04 02:40:00,주유소,315150.402866648,173272.883931221,,,,안국산업(주)고성공룡나라(통영)주유소_경상남도고성군대가면송계리447
2,석유판매업,09_28_08_P,5420000,2005542000801500002,2005-12-09,,1,영업/정상,1,신규등록,,,,,055  6742062,1495.0,,경상남도 고성군 대가면 신전리 67,경상남도 고성군 대가면 통영대전고속도로 32,52927.0,안국산업(주) 고성공룡나라(대전)주유소,2026-03-02 14:48:39,U,2026-03-04 02:40:00,주유소,314077.70477453,173838.71034913,,,,안국산업(주)고성공룡나라(대전)주유소_경상남도고성군대가면신전리67
16,석유판매업,09_28_08_P,5180000,2004518005301500001,2005-12-01,,3,폐업,3,폐지,,,,,054-734-3200,998.0,,경상북도 영덕군 축산면 고곡리 517-1,경상북도 영덕군 축산면 동해대로 5768,,영덕현대주유소,2026-03-03 10:13:42,U,2026-03-05 02:40:00,주유소,415327.936297523,331624.229747293,,,,영덕현대주유소_경상북도영덕군축산면고곡리517-1
8,석유판매업,09_28_08_P,5100000,2005510007201500001,2005-01-19,,1,영업/정상,7,영업개시,,,,,054 338 5112,1450.0,,경상북도 영천시 금호읍 덕성리 33-4,경상북도 영천시 금호읍 금창로 97,,영천셀프주유소,2026-03-03 14:26:22,U,2026-03-05 02:40:00,주유소,369578.812523347,270974.585736042,,,,영천셀프주유소_경상북도영천시금호읍덕성리33-4
56,석유판매업,09_28_08_P,5700000,1989411000901507001,2004-09-30,,1,영업/정상,1,신규등록,,,,,883-6904 7688-0336,1487.0,,경기도 여주시 산북면 상품리 543-7,경기도 여주시 산북면 광여로 1069,,(주)좋은자리 상품주유소,2026-03-05 11:28:31,U,2026-03-07 02:40:00,주유소,237820.653654717,432705.802944838,,,,(주)좋은자리상품주유소_경기도여주시산북면상품리543-7
35,석유판매업,09_28_08_P,4721000,2004472007201500003,2004-07-28,,1,영업/정상,7,영업개시,,,,,,2283.0,,전북특별자치도 완주군 봉동읍 구만리 220-1번지,전북특별자치도 완주군 봉동읍 완주로 533,,보물단지주유소,2026-03-04 15:19:26,U,2026-03-06 02:40:00,주유소,214389.284050918,267977.419465504,,,,보물단지주유소_전북특별자치도완주군봉동읍구만리220-1번지
22,석유판매업,09_28_08_P,5590000,1990559010301500002,2004-06-29,,1,영업/정상,1,신규등록,,,,,0318266696,1464.0,,"경기도 양주시 장흥면 교현리 115-3 5,7,9번지",경기도 양주시 장흥면 호국로 513,,송추주유소,2026-03-03 13:34:13,U,2026-03-05 02:40:00,주유소,197428.142676219,468270.089036469,,,,"송추주유소_경기도양주시장흥면교현리115-35,7,9번지"
45,석유판매업,09_28_08_P,5350000,2001535008701500006,2001-08-10,,1,영업/정상,7,영업개시,,,,,055-334-6200,1474.0,,경상남도 김해시 흥동 419-11,경상남도 김해시 전하로 171 (흥동),,서부알뜰주유소,2026-03-05 10:22:42,U,2026-03-07 02:40:00,주유소,369924.745273092,192944.292229632,,,,서부알뜰주유소_경상남도김해시흥동419-11
25,석유판매업,09_28_08_P,5350000,2001535008701500005,2001-07-11,,1,영업/정상,7,영업개시,,,,,055 321 0288,1498.0,,"경상남도 김해시 상동면 매리 732-1,742-3,733",경상남도 김해시 상동면 상동로 799,,부성주유소,2026-03-04 09:05:03,U,2026-03-06 02:40:00,주유소,377613.511796542,203499.736551381,,,,"부성주유소_경상남도김해시상동면매리732-1,742-3,733"
54,석유판매업,09_28_08_P,4520000,2001452007501500001,2001-05-29,,1,영업/정상,7,영업개시,,,,,041 5320925,1350.0,,충청남도 아산시 염치읍 서원리 5-9,충청남도 아산시 염치읍 아산로 807,,지우주유소,2026-03-05 07:39:47,U,2026-03-07 02:40:00,주유소,196679.47768266,371561.554460214,,,,지우주유소_충청남도아산시염치읍서원리5-9
47,석유판매업,09_28_08_P,4030000,2001403006001500001,2001-05-21,,1,영업/정상,1,신규등록,,,,,031  4618005,1326.0,,경기도 의왕시 이동 40-1 의왕제1터미널,경기도 의왕시 창말로 39 (이동),,의왕ICD주유소,2026-03-05 09:45:05,U,2026-03-07 02:40:00,주유소,195942.631102575,426167.111642213,,,,의왕ICD주유소_경기도의왕시이동40-1의왕제1터미널
12,석유판매업,09_28_08_P,4341000,2000434003001500002,2000-08-03,,1,영업/정상,7,영업개시,,,,,033 636 8897,633.0,,강원특별자치도 고성군 토성면 청간리 6-2,강원특별자치도 고성군 토성면 청간정길 6-2,,김진 주유소,2026-03-03 13:38:24,U,2026-03-05 02:40:00,주유소,336009.759568356,530436.326254475,,,,김진주유소_강원특별자치도고성군토성면청간리6-2
1,석유판매업,09_28_08_P,5120000,2000512001201200028,2000-06-19,,2,휴업,5,사업휴지,,2025-06-13,2026-06-12,,054 552 2121,,,경상북도 문경시 영순면 사근리 389,경상북도 문경시 영순면 사근왕태길 24-1,,태성에너지,2026-03-02 15:20:16,U,2026-03-04 02:40:00,일반판매소,311489.094152013,342575.590076103,,,,태성에너지_경상북도문경시영순면사근리389
7,석유판매업,09_28_08_P,3660000,2000366011101500002,2000-06-15,,1,영업/정상,6,휴지사업재개,,,,,042 545 5185,1403.0,,대전광역시 서구 가수원동 210-7,대전광역시 서구 계백로 1176 (가수원동),,주식회사 가수원주유소,2026-03-03 17:54:05,U,2026-03-05 02:40:00,주유소,231750.306663669,311639.816071453,,,,주식회사가수원주유소_대전광역시서구가수원동210-7
6,석유판매업,09_28_08_P,3420000,2000342005801200067,2000-01-11,,2,휴업,5,사업휴지,,2025-08-21,2026-08-20,,,,,대구광역시 동구 봉무동 1054-1,대구광역시 동구 위남로2길 1 (봉무동),,대한오일,2026-03-03 11:50:03,U,2026-03-05 02:40:00,일반판매소,347482.892743426,271131.061491464,,,,대한오일_대구광역시동구봉무동1054-1
15,석유판매업,09_28_08_P,4860000,1997486004801200026,1997-04-12,,1,영업/정상,1,신규등록,,,,,061 362 7188,1676.0,,전라남도 곡성군 겸면 가정리 347 곡성(상)휴게소,"전라남도 곡성군 겸면 호남고속도로 50, 곡성(상)휴게소",57516.0,안국사업 (주) 곡성(상) 주유소,2026-03-03 17:04:49,U,2026-03-05 02:40:00,주유소,213893.992479964,195569.390129855,,,,안국사업(주)곡성(상)주유소_전라남도곡성군겸면가정리347곡성(상)휴게소
39,석유판매업,09_28_08_P,3170000,2001317006701500004,1996-07-25,,1,영업/정상,6,휴지사업재개,,2012-08-22,2012-12-31,2013-01-30,02 8095511,991.5,,서울특별시 금천구 시흥동 860-36 (독산동길 220),서울특별시 금천구 독산로 147 (시흥동),,(주)씨더블유이엔지 금천지점,2026-03-04 15:59:24,U,2026-03-06 02:40:00,주유소,191482.476312994,439819.975969343,,,,(주)씨더블유이엔지금천지점_서울특별시금천구시흥동860-36(독산동길220)
23,석유판매업,09_28_08_P,4050000,1996405008301500010,1996-05-27,,1,영업/정상,7,영업개시,,2010-08-25,2010-11-15,2010-11-16,031  3212100,1553.0,,"경기도 용인시 처인구 양지읍 양지리 486-2,487-2",경기도 용인시 처인구 양지면 중부대로 2247,,양지IC셀프주유소,2026-03-03 09:16:44,U,2026-03-05 02:40:00,주유소,225637.786072239,414702.843233719,,,,"양지IC셀프주유소_경기도용인시처인구양지읍양지리486-2,487-2"
31,석유판매업,09_28_08_P,4820000,1996482001301500082,1996-03-29,,1,영업/정상,1,신규등록,,,,,061 723 5252,1184.0,,전라남도 순천시 해룡면 월전리 425,전라남도 순천시 해룡면 여순로 1574,58005.0,(주)정오알뜰주유소,2026-03-04 16:29:48,U,2026-03-06 02:40:00,주유소,248646.377087072,157680.306518527,,,,(주)정오알뜰주유소_전라남도순천시해룡면월전리425
40,석유판매업,09_28_08_P,4400000,1995440001501500008,1995-12-15,,1,영업/정상,1,신규등록,,,,,043 644 0078,4260.0,,충청북도 제천시 신동 49-1,충청북도 제천시 내토로 125 (신동),,톨게이트주유소,2026-03-04 10:38:53,U,2026-03-06 02:40:00,주유소,304047.759818491,403811.620441367,,,,톨게이트주유소_충청북도제천시신동49-1
14,석유판매업,09_28_08_P,4800000,1995480013201500002,1995-12-07,,2,휴업,5,사업휴지,,2026-02-27,2027-02-26,,061  2449944,1159.2,,전라남도 목포시 산정동 1425-1,전라남도 목포시 삼학로 100 (산정동),,(유)펑펑주유소,2026-03-03 17:15:02,U,2026-03-05 02:40:00,주유소,144545.656337334,143311.505328138,,,,(유)펑펑주유소_전라남도목포시산정동1425-1
27,석유판매업,09_28_08_P,5010000,1995501016701500002,1995-07-26,,1,영업/정상,1,신규등록,,,,,061 2717744,,,"전라남도 신안군 암태면 단고리 26-2, 26-3",전라남도 신안군 암태면 중부로 1817,,신안농협 주유소,2026-03-04 08:37:54,U,2026-03-06 02:40:00,주유소,118875.680255376,148143.672497355,,,,"신안농협주유소_전라남도신안군암태면단고리26-2,26-3"
34,석유판매업,09_28_08_P,4010000,1994401005501509420,1994-05-26,,1,영업/정상,6,휴지사업재개,,2012-03-16,2013-12-31,2013-12-01,031 4888235,1206.0,,경기도 시흥시 군자동 113,경기도 시흥시 시흥대로 238-2 (군자동),,(주)대경유업 능곡셀프주유소,2026-03-04 14:50:47,U,2026-03-06 02:40:00,주유소,182801.007111295,428923.662258666,,,,(주)대경유업능곡셀프주유소_경기도시흥시군자동113
11,석유판매업,09_28_08_P,4810000,1994481001901200019,1994-01-18,,1,영업/정상,1,신규등록,,,,,061 6863272,,,전라남도 여수시 화장동 736-6,전라남도 여수시 화산1길 24-1 (화장동),59641.0,여수석유,2026-03-03 18:34:48,U,2026-03-05 02:40:00,일반판매소,259178.718051667,141736.797027668,,,,여수석유_전라남도여수시화장동736-6
53,석유판매업,09_28_08_P,3370000,1993337001401500014,1993-05-22,,3,폐업,3,폐지,2026-03-05,,,,051 5057090,196.1,,"부산광역시 연제구 거제동 1090-24,25",부산광역시 연제구 월드컵대로 249 (거제동),,성학주유소,2026-03-05 16:15:50,U,2026-03-07 02:40:00,주유소,388460.565354384,189844.133833775,,,,"성학주유소_부산광역시연제구거제동1090-24,25"
32,석유판매업,09_28_08_P,5180000,1992518001101500025,1992-07-13,,3,폐업,3,폐지,,,,,054 7341313,1313.0,,경상북도 영덕군 병곡면 원황리 313-2,경상북도 영덕군 병곡면 영덕로 2133,,북영덕농협 원황주유소,2026-03-04 14:41:52,U,2026-03-06 02:40:00,주유소,414843.287551344,343114.733987251,,,,북영덕농협원황주유소_경상북도영덕군병곡면원황리313-2
19,석유판매업,09_28_08_P,4781000,1990478000001500018,1990-04-09,,1,영업/정상,7,영업개시,,,,,063-564-6565,1209.0,,전북특별자치도 고창군 고창읍 도산리 618-1,전북특별자치도 고창군 고창읍 녹두로 1033,,(유)에이치피주유소,2026-03-03 11:10:22,U,2026-03-05 02:40:00,주유소,168974.468451852,215196.5809424,,,,(유)에이치피주유소_전북특별자치도고창군고창읍도산리618-1
41,석유판매업,09_28_08_P,4400000,1989440001501500003,1989-06-09,,1,영업/정상,1,신규등록,,,,,043-642-0642,1892.0,,충청북도 제천시 금성면 월굴리 76-3,충청북도 제천시 금성면 청풍호로 1226,27211.0,낙원주유소,2026-03-04 09:59:15,U,2026-03-06 02:40:00,주유소,304076.690176356,394755.454013489,,,,낙원주유소_충청북도제천시금성면월굴리76-3
46,석유판매업,09_28_08_P,4540000,1989454001201500004,1989-03-11,,1,영업/정상,1,신규등록,,,,,0461 7417224,1177.0,,충청남도 논산시 은진면 토양리 101-24,충청남도 논산시 은진면 득안대로 934,,좋은주유소,2026-03-05 09:40:33,U,2026-03-07 02:40:00,주유소,209146.187212987,294462.294797402,,,,좋은주유소_충청남도논산시은진면토양리101-24
50,석유판매업,09_28_08_P,3090000,1986309008701500001,1986-12-30,,2,휴업,5,사업휴지,,2026-03-04,2027-03-03,,0234911733,920.6,,서울특별시 도봉구 방학동 668-10,서울특별시 도봉구 방학로 186 (방학동),,지에스칼텍스(주) 방학동주유소,2026-03-05 17:51:24,U,2026-03-07 02:40:00,주유소,202707.794159647,462225.208428241,,,,지에스칼텍스(주)방학동주유소_서울특별시도봉구방학동668-10
49,석유판매업,09_28_08_P,3000000,1976300007601200007,1976-06-25,,1,영업/정상,1,신규등록,,,,,02  743 1079,,,서울특별시 종로구 동숭동 130-65,서울특별시 종로구 동숭길 52 (동숭동),,다원,2026-03-05 15:25:44,U,2026-03-07 02:40:00,일반판매소,200322.341016105,453141.774016418,,,,다원_서울특별시종로구동숭동130-65
17,석유판매업,09_28_08_P,5020000,1976502007101500005,1976-05-19,,1,영업/정상,1,신규등록,,,,,054 2474154,1543.86,,경상북도 포항시 북구 대신동 949-3,경상북도 포항시 북구 중앙로 406 (대신동),,(주)굿에너지 대왕주유소,2026-03-03 08:55:35,U,2026-03-05 02:40:00,주유소,412883.923109524,285721.576680892,,,,(주)굿에너지대왕주유소_경상북도포항시북구대신동949-3
33,석유판매업,09_28_08_P,3070000,1976307009901500007,1976-05-10,,2,휴업,5,사업휴지,,2026-02-27,2027-02-26,,02 9882491,487.0,,서울특별시 성북구 길음동 21-73 GS세창주유소,"서울특별시 성북구 동소문로 323, GS세창주유소 (길음동)",2729.0,지에스칼텍스(주)세창주유소,2026-03-04 16:33:51,U,2026-03-06 02:40:00,주유소,202535.290642512,456272.674838904,,,,지에스칼텍스(주)세창주유소_서울특별시성북구길음동21-73GS세창주유소
9,석유판매업,09_28_08_P,3130000,1976313011801500003,1976-05-07,,1,영업/정상,6,휴지사업재개,,,,,02-3272-5155,1169.0,,서울특별시 마포구 염리동 155-6,서울특별시 마포구 백범로 126 (염리동),,염리동 주유소,2026-03-03 15:24:46,U,2026-03-05 02:40:00,주유소,195053.439260579,449337.652681557,,,,염리동주유소_서울특별시마포구염리동155-6
