"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무소전화번호","사업장전화번호",
"17","계량기수입업","09_28_02_P","3930000","2010393021206500002","2002-10-10","","01","영업/정상","01","영업중","","","","","031 416 9913","","","경기도 화성시 비봉면 자안리 506번지 10호","경기도 화성시 비봉면 푸른들판로1125번길 13","18293","경인정밀기기","2020-04-07 14:36:43","I","2026-02-13 16:21:57","","188625.06769609","411301.348319588","","",
"18","계량기수입업","09_28_02_P","5670000","1973528015506500301","1973-10-19","","01","영업/정상","01","영업중","","","","","055 246 2274","","","경상남도 창원시 마산합포구 상남동 31-5","경상남도 창원시 마산합포구 노산북3길 33 (상남동)","51273","마산공사","2024-01-30 15:45:48","U","2026-02-13 16:21:57","","343093.72101332","191699.292517601","","055 246 2274",
"19","계량기수입업","09_28_02_P","5350000","2005535013406500004","2005-07-04","","01","영업/정상","01","영업중","","","","","055333 5468","","","경상남도 김해시 생림면 나전리 802번지 1호","경상남도 김해시 생림면 생림대로 540","","가나공인계량사","2022-08-01 16:35:25","I","2026-02-13 16:21:57","","369984.179296604","203362.809778553","","055333 5468",
"20","계량기수입업","09_28_02_P","4020000","2022402022706500002","2022-05-10","","01","영업/정상","01","영업중","","","","","031 80860612","","","경기도 군포시 당정동 1045 군포IT밸리","경기도 군포시 고산로148번길 17, 군포IT밸리 B동동 8층 8,9호 (당정동)","15850","(주)주빅스","2022-05-16 13:26:46","I","2026-02-13 16:21:57","","195817.208398581","427507.591682852","","031 80860612",
"21","계량기수입업","09_28_02_P","3180000","2000318007606500002","1987-04-13","","01","영업/정상","01","영업중","","","","","26755999","","150-041","서울특별시 영등포구 당산동1가 220번지","서울특별시 영등포구 영신로47길 14-1 (당산동1가)","","대흥정밀계기산업","2023-11-29 13:36:42","I","2026-02-13 16:21:57","","191100.012108253","446779.994244655","","26755999",
"22","계량기수입업","09_28_02_P","4930000","2023493009406500001","2023-05-08","","01","영업/정상","01","영업중","","","","","061 535 1705","","","전라남도 해남군 송지면 미야리 987","전라남도 해남군 송지면 땅끝해안로 948","59063","다 자원","2023-10-27 11:06:28","I","2026-02-13 16:21:57","","154956.796781262","98563.3578832949","","061 535 1705",
"23","계량기수입업","09_28_02_P","5090000","2022509018006500001","2022-01-25","","01","영업/정상","01","영업중","","","","","054 637 1477","","","경상북도 영주시 적서동 273","경상북도 영주시 적서공단로 104(적서동)","36148","시민자원","2023-09-21 18:24:38","I","2026-02-13 16:21:57","","344508.951587955","366817.721594815","","054 637 1477",
"24","계량기수입업","09_28_02_P","3830000","2023383028806500001","2023-01-12","","03","폐업","03","폐업","2026-01-19","","","","031 455 0533","","","경기도 안양시 만안구 안양동 201-10","경기도 안양시 만안구 덕천로72번길 8(안양동)","14087","주식회사 팩테크","2026-02-04 14:20:00","I","2026-02-06 00:20:02","","","","","031 455 0533",
"25","계량기수입업","09_28_02_P","3910000","2012391024406500001","2012-06-13","","03","폐업","03","폐업","","","","","031 686 5777","","451-832","경기도 평택시 청북면 고잔리 1번지 754호","경기도 평택시 청북면 청북중앙로 658-23","451-832","(주)추강홀딩스청북창고계량증명업소","2020-08-20 15:33:30","I","2026-02-13 16:21:57","","190692.211421758","395322.613272128","","031 686 5777",
"26","계량기수입업","09_28_02_P","3940000","2022394041806500004","2022-08-01","","04","취소/말소/만료/정지/중지","06","등록취소","","","","","031 922 2022","","","경기도 고양시 일산서구 구산동 242-1","경기도 고양시 일산서구 덕산로65번길 9-9(구산동)","10204","(주)두루스코이브이","2022-08-02 17:40:27","I","2026-02-13 16:21:57","","174402.993782002","465921.759667343","","031 922 2022",
