"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"26","숙박업","03_11_03_P","4201000","4201000-201-2002-00031","2002-03-04","","01","영업/정상","01","영업","","","","","033 662 7229","847.60","","강원특별자치도 강릉시 주문진읍 주문리 312-38","강원특별자치도 강릉시 주문진읍 주문로 128","25412","신아모텔","2026-04-01 14:20:18","U","2026-04-03 02:40:00","여관업","360803.656832523","489527.81054029","여관업","0","0","0","0","0","0","9","6","","","","","0","0","N",
"27","숙박업","03_11_03_P","4191000","4191000-201-1998-00001","1998-11-25","","01","영업/정상","01","영업","","","","","033 7302803","55430.00","","강원특별자치도 원주시 지정면 월송리 1061-10 1061","강원특별자치도 원주시 지정면 오크밸리1길 71 (66)","26357","오크밸리리조트(A,B)","2026-04-01 11:47:41","U","2026-04-03 02:40:00","휴양콘도미니엄업","272463.255298458","437401.452663731","휴양콘도미니엄업","7","1","1","7","1","1","444","0","","","","","0","0","N",
"28","숙박업","03_11_03_P","4191000","4191000-201-1999-00001","1999-07-06","","01","영업/정상","01","영업","","","","","033 7302803","15637.00","","강원특별자치도 원주시 지정면 월송리 1082-5","강원특별자치도 원주시 지정면 월송석화로 994","26357","오크밸리리조트(North)","2026-04-01 11:46:56","U","2026-04-03 02:40:00","휴양콘도미니엄업","271671.960977236","437939.659871794","휴양콘도미니엄업","8","0","0","0","0","0","68","0","","","","","0","0","N",
"29","숙박업","03_11_03_P","4191000","4191000-201-2001-00006","2001-06-16","","01","영업/정상","01","영업","","","","","033 7302853","21473.00","","강원특별자치도 원주시 지정면 월송리 1016-21 1061-37","강원특별자치도 원주시 지정면 오크밸리1길 68 (95)","26357","오크밸리리조트(South)","2026-04-01 11:43:29","U","2026-04-03 02:40:00","휴양콘도미니엄업","272363.393386083","437039.687452135","휴양콘도미니엄업","7","1","7","0","0","0","165","0","","","","","0","0","N",
"30","숙박업","03_11_03_P","4191000","4191000-201-2006-00006","2006-11-23","","01","영업/정상","01","영업","","","","","033 7302842","18924.34","","강원특별자치도 원주시 지정면 판대리 577-1","강원특별자치도 원주시 지정면 오크밸리2길 56","26357","오크밸리리조트(C)","2026-04-01 11:43:17","U","2026-04-03 02:40:00","휴양콘도미니엄업","271382.556177626","434267.186680372","휴양콘도미니엄업","15","0","3","15","0","0","70","170","","","","자가","0","0","N",
"31","숙박업","03_11_03_P","4191000","4191000-201-2009-00003","2009-11-23","","01","영업/정상","01","영업","","","","","033 730 2915","97302.00","","강원특별자치도 원주시 지정면 판대리 577-4","강원특별자치도 원주시 지정면 오크밸리2길 40","26357","오크밸리리조트(D)","2026-04-01 11:39:21","U","2026-04-03 02:40:00","휴양콘도미니엄업","271451.223493249","434371.373123856","휴양콘도미니엄업","12","2","3","12","0","0","0","145","","","","자가","0","0","N",
"32","숙박업","03_11_03_P","3650000","3650000-201-2015-00001","2015-05-12","","01","영업/정상","01","영업","","","","","042 242 4101","686.29","301-809","대전광역시 중구 문창동 43-1","대전광역시 중구 문창로90번길 8 (문창동)","34930","호텔7","2026-04-01 10:02:24","U","2026-04-03 02:40:00","여관업","238804.089372692","313456.980486439","여관업","0","0","2","3","0","0","0","14","","","","자가","0","0","N",
"33","숙박업","03_11_03_P","3540000","3540000-201-2000-00004","2000-12-18","","01","영업/정상","01","영업","","","","","","408.35","403-010","인천광역시 부평구 부평동 201-53 ,105","인천광역시 부평구 부평문화로72번길 10 (부평동,,105)","21394","호텔 아미","2026-04-01 10:31:49","U","2026-04-03 02:40:00","여관업","175540.139077294","443549.704346347","여관업","4","1","1","4","0","0","1","19","","","","임대","0","0","N",
"34","숙박업","03_11_03_P","6510000","6510000-201-2003-10002","2003-02-07","","01","영업/정상","01","영업","","","","","064 7841355","499.27","695-966","제주특별자치도 제주시 조천읍 북촌리 1419-4 외2필지","제주특별자치도 제주시 조천읍 북촌서길 22 (외2필지)","63339","함덕띱게스트하우스&펜션","2026-04-01 13:16:25","U","2026-04-03 02:40:00","숙박업 기타","170845.195073462","5800.4608448984","숙박업 기타","0","0","0","0","0","0","9","0","","","","자가","0","0","N",
"35","숙박업","03_11_03_P","3670000","3670000-201-2013-00001","2013-04-01","","01","영업/정상","01","영업","","","","","042 866 5000","23481.00","305-340","대전광역시 유성구 도룡동 4-29","대전광역시 유성구 엑스포로123번길 55 (도룡동)","34125","호텔아이시시","2026-04-01 14:40:04","U","2026-04-03 02:40:00","관광호텔","235164.55174935","319644.209039314","관광호텔","6","1","6","6","1","1","0","74","","","","","12","20","N",
"36","숙박업","03_11_03_P","3390000","3390000-201-2005-00001","2005-01-28","","01","영업/정상","01","영업","","","","","051 3257111","1499.61","617-800","부산광역시 사상구 감전동 142-3","부산광역시 사상구 새벽로 144 (감전동)","46987","MU(엠유)호텔","2026-04-01 14:25:36","U","2026-04-03 02:40:00","숙박업 기타","380631.102462324","185652.093925358","숙박업 기타","7","1","1","6","0","0","0","36","","","","자가","0","0","N",
"37","숙박업","03_11_03_P","3640000","3640000-201-2023-00001","2023-04-10","","01","영업/정상","01","영업","","","","","042 632 6318","558.33","300-824","대전광역시 동구 용전동 111-21 1~4층","대전광역시 동구 한밭대로1316번길 17, 1~4층 (용전동)","34550","호모텔","2026-04-01 13:53:52","U","2026-04-03 02:40:00","여관업","239449.817650613","316790.523167887","여관업","4","0","1","4","0","0","0","18","","","","","0","0","N",
"38","숙박업","03_11_03_P","5350000","5350000-201-2012-00005","2012-08-16","","01","영업/정상","01","영업","","","","","055 338 3375","1910.70","621-917","경상남도 김해시 어방동 998-51","경상남도 김해시 활천로 251 (어방동)","50819","THE PROPIN HOTEL(더 프로핀 호텔)","2026-04-01 15:09:56","U","2026-04-03 02:40:00","일반호텔","373466.685230013","195384.089957765","일반호텔","10","0","1","10","0","0","0","40","","","","자가","0","0","N",
"39","숙박업","03_11_03_P","5020000","5030000-201-2011-00003","2011-08-17","","01","영업/정상","01","영업","","","","","054 291 0073","786.61","790-902","경상북도 포항시 남구 오천읍 문덕리 315-9 (1,2,3)층","경상북도 포항시 남구 오천읍 문덕로23번길 6-5 ((1,2,3)층)","37888","헤리티지","2026-04-01 09:43:27","U","2026-04-03 02:40:00","여관업","416787.558987139","275977.827676487","여관업","3","0","1","3","0","0","0","10","","","","자가","0","0","N",
"40","숙박업","03_11_03_P","5020000","5030000-201-2003-00015","2003-10-27","","01","영업/정상","01","영업","","","","","054 2787722","841.93","790-838","경상북도 포항시 남구 해도동 34-106","경상북도 포항시 남구 중앙로157번길 8-8 (해도동)","37775","라일락모텔","2026-04-01 14:27:00","U","2026-04-03 02:40:00","여관업","413263.58525603","283379.607278759","여관업","5","0","1","5","0","0","4","22","","","","자가","0","0","N",
"41","숙박업","03_11_03_P","3930000","3930000-214-2025-00007","2025-12-10","","03","폐업","02","폐업","2026-04-01","","","","","249.68","425-330","경기도 안산시 단원구 대부북동 1848-112 2~3층","경기도 안산시 단원구 대부황금로 1471, 2~3층 (대부북동)","15638","더웨이브","2026-04-01 09:42:33","U","2026-04-03 02:40:00","숙박업(생활)","162059.475268424","420566.312467546","숙박업(생활)","0","0","0","0","0","0","0","4","","","","","0","0","N",
"42","숙박업","03_11_03_P","4231000","4231000-214-2025-00016","2025-09-18","","01","영업/정상","01","영업","","","","","","5666.29","","강원특별자치도 속초시 조양동 1452","강원특별자치도 속초시 해오름로 201, 속초 리슈빌S 시그니처 92객실호 (조양동)","24887","리슈빌시그니처호텔앤리조트","2026-04-01 14:55:34","U","2026-04-03 02:40:00","숙박업(생활)","340239.84713636","521963.924028128","숙박업(생활)","0","0","0","0","0","0","0","92","","","","","0","0","N",
"43","숙박업","03_11_03_P","4160000","4160000-214-2021-00047","2021-05-31","","01","영업/정상","01","영업","","","","","","704.55","477-803","경기도 가평군 가평읍 이화리 392-26","경기도 가평군 가평읍 호반로 2329-31, 51,29(1~2층), 2329-37,41,45(1동,2동 각1~2층)","12427","까사노블풀빌라2","2026-04-01 10:18:51","U","2026-04-03 02:40:00","숙박업(생활)","244863.253450155","477319.069426198","숙박업(생활)","2","0","1","2","0","0","0","9","","","","","0","0","N",
"44","숙박업","03_11_03_P","4080000","4080000-201-1995-00001","1995-04-27","","01","영업/정상","01","영업","","","","","031 658 8957","1078.84","456-822","경기도 안성시 공도읍 마정리 45-42 45-114","경기도 안성시 공도읍 마정강변길 58 (45-114)","17548","힐하우스 호텔","2026-04-01 11:30:54","U","2026-04-03 02:40:00","여관업","218616.571607389","390315.22870093","여관업","5","0","0","5","0","0","1","27","","","","자가","0","0","N",
"45","숙박업","03_11_03_P","4080000","4080000-201-2003-00019","2003-12-15","","01","영업/정상","01","영업","","","","","031674 8833","129.00","456-891","경기도 안성시 죽산면 장계리 771","경기도 안성시 죽산면 걸미로 544","17522","그랑벨리모텔","2026-04-01 16:57:54","U","2026-04-03 02:40:00","여관업","237004.283354044","393734.994748609","여관업","3","1","1","3","0","0","1","9","","","","자가","0","0","N",
"46","숙박업","03_11_03_P","3740000","3760000-201-2004-00007","2004-07-28","","01","영업/정상","01","영업","","","","","031 2914900","4087.36","441-819","경기도 수원시 권선구 구운동 928-7","경기도 수원시 권선구 구운로85번길 38-1 (구운동)","16405","호텔 앤드","2026-04-01 14:57:43","U","2026-04-03 02:40:00","여관업","197339.04528359","419908.597424073","여관업","9","1","1","9","1","1","0","49","","","","자가","0","0","N",
"47","숙박업","03_11_03_P","3200000","3200000-201-1990-00071","1990-11-28","","01","영업/정상","01","영업","","","","","02 8776988","1095.44","151-890","서울특별시 관악구 신림동 1422-8","서울특별시 관악구 신림로64길 42 (신림동)","08754","더메이","2026-04-01 11:34:55","U","2026-04-03 02:40:00","여관업","193925.637927982","442544.597970888","여관업","6","1","1","6","1","1","0","40","","","","자가","0","0","N",
"48","숙박업","03_11_03_P","4701000","4701000-201-2017-00001","2017-09-28","","01","영업/정상","01","영업","","","","","063 631 1100","866.44","","전북특별자치도 남원시 죽항동 27-1","전북특별자치도 남원시 요천로 1559-3 (죽항동)","55772","위너스호텔","2026-04-01 10:17:15","U","2026-04-03 02:40:00","여관업","235275.17175817","212194.497363101","여관업","5","1","2","5","0","0","2","20","","","","자가","0","0","N",
"49","숙박업","03_11_03_P","4390000","4390000-201-2016-00002","2016-01-13","","01","영업/정상","01","영업","","","","","043 849 7000","1539.40","380-913","충청북도 충주시 노은면 신효리 산 81","충청북도 충주시 노은면 솔고개로 750","27453","금강센테리움(주)","2026-04-01 15:19:13","U","2026-04-03 02:40:00","일반호텔","269446.203678695","393096.734707272","일반호텔","3","2","3","0","0","0","16","5","","","","자가","0","1","N",
"50","숙박업","03_11_03_P","3010000","3010000-201-1973-00160","1973-06-27","","01","영업/정상","01","영업","","","","","02  777 8135","577.00","100-051","서울특별시 중구 회현동1가 133-1","서울특별시 중구 소공로3길 42 (회현동1가)","04633","명동 호헤 호텔","2026-04-01 13:34:52","U","2026-04-03 02:40:00","일반호텔","198336.733464827","450504.104227593","일반호텔","3","0","0","0","0","0","0","41","","","","","0","0","N",
"51","숙박업","03_11_03_P","3010000","3010000-214-2022-00001","2022-05-16","","01","영업/정상","01","영업","","","","","0222757790","5642.04","100-014","서울특별시 중구 충무로4가 334","서울특별시 중구 창경궁로1길 14, 3층~15층 (충무로4가)","04558","위코스테이 명동","2026-04-01 16:03:55","U","2026-04-03 02:40:00","숙박업(생활)","199711.205550174","451182.224072035","숙박업(생활)","0","0","3","15","0","0","0","230","","","","임대","0","0","N",
"52","숙박업","03_11_03_P","3370000","3370000-214-2022-00001","2022-05-16","","01","영업/정상","01","영업","","","","","16447694","2375.85","611-822","부산광역시 연제구 연산동 726-12","부산광역시 연제구 중앙대로 1116-8, 4층~23층 일부호 (연산동)","47520","어반스테이 부산시청","2026-04-01 14:03:03","U","2026-04-03 02:40:00","숙박업(생활)","389573.579504445","189523.73937854","숙박업(생활)","23","1","4","23","0","0","0","69","","","","","0","0","N",
"53","숙박업","03_11_03_P","3720000","3720000-201-2022-00002","2022-06-27","","01","영업/정상","01","영업","","","","","052 289 3334","1133.78","683-350","울산광역시 북구 진장동 194-1 지상1~5층","울산광역시 북구 진장2길 21, 지상1~5층 (진장동)","44251","보스턴호텔","2026-04-01 10:24:22","U","2026-04-03 02:40:00","일반호텔","413846.966271954","232566.31556498","일반호텔","0","0","1","5","0","0","0","28","","","","임대","0","0","N",
"54","숙박업","03_11_03_P","3210000","3210000-214-2023-00003","2023-09-14","","01","영업/정상","01","영업","","","","","","3194.62","137-876","서울특별시 서초구 서초동 1591-8","서울특별시 서초구 반포대로16길 30 (서초동)","06652","위코스테이 강남","2026-04-01 14:46:46","U","2026-04-03 02:40:00","숙박업(생활)","201036.631861637","442668.649726901","숙박업(생활)","18","5","0","0","0","0","0","92","","","","","0","0","Y",
"55","숙박업","03_11_03_P","3580000","3580000-214-2026-00002","2026-04-02","","01","영업/정상","01","영업","","","","","","594.94","409-872","인천광역시 옹진군 영흥면 선재리 213-17","인천광역시 옹진군 영흥면 선재로 76-10","23123","리클미코노스9","2026-04-02 14:30:58","I","2026-04-04 00:20:02","숙박업(생활)","158372.847730066","414922.760456149","숙박업(생활)","2","1","1","2","1","1","0","6","","","","자가","0","0","N",
"56","숙박업","03_11_03_P","3740000","3770000-201-2026-00002","2026-04-02","","01","영업/정상","01","영업","","","","","","0.00","442-180","경기도 수원시 팔달구 북수동 105","경기도 수원시 팔달구 화서문로71번길 20, 1~3층 (북수동)","16253","그리다행궁호텔 수원화성행궁동점","2026-04-02 13:31:36","I","2026-04-04 00:20:02","일반호텔","201329.724011867","420533.560267662","일반호텔","0","0","1","3","0","0","0","0","","","","","0","0","N",
"57","숙박업","03_11_03_P","3130000","3130000-201-2026-00007","2026-04-02","","01","영업/정상","01","영업","","","","","","0.00","121-898","서울특별시 마포구 동교동 161-10","서울특별시 마포구 월드컵북로2길 19, 6,7층 (동교동)","03995","스테이 히어 어게인","2026-04-02 11:00:24","I","2026-04-04 00:20:02","관광호텔","193031.771142009","450456.462818787","관광호텔","0","0","0","0","0","0","0","0","","","","","0","0","N",
"58","숙박업","03_11_03_P","3930000","3930000-214-2026-00002","2026-01-13","","01","영업/정상","01","영업","","","","","","258.60","425-850","경기도 안산시 단원구 원곡동 960-3 2층","경기도 안산시 단원구 부부로 62, 2층 (원곡동)","15363","아늑호스텔안산점","2026-04-02 17:53:47","I","2026-04-04 00:20:02","숙박업(생활)","181469.047431628","425794.3890198","숙박업(생활)","0","0","0","0","0","0","0","6","","","","","0","0","N",
"59","숙박업","03_11_03_P","3210000","3210000-201-2026-00001","2026-04-02","","01","영업/정상","01","영업","","","","","16445442","277.37","137-810","서울특별시 서초구 반포동 733-13","서울특별시 서초구 사평대로53길 27-6, 지하1,지상3.4층 (반포동)","06540","호텔 앳 강남 서울","2026-04-02 14:35:55","I","2026-04-04 00:20:02","관광호텔","201810.70789544","444825.576398283","관광호텔","0","0","0","3","1","0","0","36","","","","","0","0","N",
"60","숙박업","03_11_03_P","4610000","4610000-201-2026-00001","2026-04-02","","01","영업/정상","01","영업","","","","","02  539 6981","183.68","340-921","충청남도 예산군 덕산면 대치리 149-29","충청남도 예산군 덕산면 대치3가길 27, 3동 1층","32407","덕운재","2026-04-02 11:47:24","I","2026-04-04 00:20:02","숙박업 기타","165721.920307566","354065.937005454","숙박업 기타","1","0","1","1","0","0","2","0","","","","자가","0","0","N",
"61","숙박업","03_11_03_P","3930000","3930000-201-2026-00001","2026-01-13","","01","영업/정상","01","영업","","","","","","258.60","425-850","경기도 안산시 단원구 원곡동 960-3 2층","경기도 안산시 단원구 부부로 62, 2층 (원곡동)","15363","아늑호스텔안산점","2026-04-02 00:00:00","D","2026-04-04 02:30:00","숙박업 기타","181469.047431628","425794.3890198","숙박업 기타","0","0","0","0","0","0","0","6","","","","","0","0","N",
