"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"11","물류창고업체","11_45_02_P","4681000","2026468104832500001","2026-02-03","","01","영업/정상","01","영업중","","","","","063-838-9749","","","전북특별자치도 익산시 왕궁면 광암리 1440","전북특별자치도 익산시 왕궁면 국가식품로3길 46","54576","(주)천안물류","2026-02-04 18:15:37","I","2026-02-06 00:20:02","","208143.435443219","275521.384601225","2","3335.14","1","4955.37","0","3","냉동, 냉장 설비, 랙(rack), 지게차 등","","법인","1","","","",
"12","물류창고업체","11_45_02_P","5350000","2026535040332500001","2026-02-02","","01","영업/정상","01","영업중","","","","","055-802-7104","","","경상남도 김해시 상동면 대감리 1471","경상남도 김해시 상동면 상동로 680-70","50805","주식회사 엘엑스판토스","2026-02-03 14:09:53","I","2026-02-06 00:20:02","","","","1","28329","0","0","0","3","rack 설치/ 지게차 10대","0","법인","1","","","",
"13","물류창고업체","11_45_02_P","6290000","2023S62900000003","2023-09-08","","01","영업/정상","1","등록","","","","","0629738031","","62210","광주광역시 광산구 안청동 733-4","광주광역시 광산구 하남산단10번로 60, 1층 3636호 (안청동)","62210","케이미트광주물류","2026-02-03 09:06:06","U","2026-02-06 02:40:00","","182037.860830309","190626.202940738","0","0","1","3423.15","0","10","테이블리프트 2개소 등","","개인","1","1","","",
"14","물류창고업체","11_45_02_P","4430000","2023443015032500002","2023-07-24","","01","영업/정상","01","영업중","","","","","070-4313-8547","","","충청북도 옥천군 군서면 동평리 130-6 주택","충청북도 옥천군 군서면 동평3길 45-66, 주택","29059","(주)한밭로지스틱","2026-02-04 10:17:40","U","2026-02-06 02:40:00","","248083.918","308851.584333333","3","6348","0","0","0","4","지게차 6대","990000","법인","1","","","",
"15","물류창고업체","11_45_02_P","4430000","2024443015032500001","2024-08-06","","01","영업/정상","01","영업중","","","","","","","","충청북도 옥천군 동이면 지양리 941-1 , 942-2, 945-3, 945-4, 946","충청북도 옥천군 동이면 금강로 65","29021","씨제이대한통운(주) 옥천생수센터","2026-02-04 10:14:32","U","2026-02-06 02:40:00","","255645.213771385","310425.393220208","1","2528.93","0","0","8595.04","7","지게차 5대","60","법인","1","","","",
"16","물류창고업체","11_45_02_P","4430000","2020443012732500001","2020-03-12","","01","영업/정상","01","영업중","","","","","043-731-0323","","","충청북도 옥천군 옥천읍 구일리 835번지","충청북도 옥천군 옥천읍 옥천동이로 387-54","29043","래피로스(주)","2026-02-04 10:27:22","U","2026-02-06 02:40:00","","254551.1728004","310831.134485836","1","4207.5","0","0","0","33","지게차,청소차등:11대, PDA:30대, 운송차량: 34대","252520","법인","1","","","",
"17","물류창고업체","11_45_02_P","4430000","2020443012732500002","2020-06-21","","01","영업/정상","01","영업중","","","","","043-731-2627","","","충청북도 옥천군 옥천읍 교동리 14번지 공장","충청북도 옥천군 옥천읍 성왕로 1489, 공장","29027","(주)동진특송","2026-02-04 10:26:26","U","2026-02-06 02:40:00","","252591.070095602","314872.835428503","123","2859.4","0","0","0","64","RFID리드기, 스캐너50개, 컨베이어벨트 3식, 자바라컨베이어 3식, 포장용박스등","","법인","","1","","",
"18","물류창고업체","11_45_02_P","4430000","2012443010832500001","2012-06-26","","01","영업/정상","01","영업중","","","","","043-762-7130","","","","충청북도 옥천군 옥천읍 옥천농공길 99 (공장)","29041","(주)엘엑스판토스","2026-02-04 10:34:52","U","2026-02-06 02:40:00","","252471.13545955","312192.003703304","1","10347","0","0","0","114","지게차 11대","65000","법인","1","","","",
"19","물류창고업체","11_45_02_P","4430000","2012443010832500002","2012-08-06","","01","영업/정상","01","영업중","","","","","043-531-1296","","","충청북도 옥천군 이원면 건진리 123번지","충청북도 옥천군 이원면 건진2길 65","29061","씨제이대한통운(주)","2026-02-04 10:33:18","U","2026-02-06 02:40:00","","255990.261786946","305899.960614485","3","25564.23","0","0","0","10","컨베이어 벨트 시스템 등","4235","법인","","1","","",
"20","물류창고업체","11_45_02_P","4430000","2012443010832500003","2012-08-06","","01","영업/정상","01","영업중","","","","","070-7512-0527","","","충청북도 옥천군 옥천읍 매화리 18번지 택배물류창고","충청북도 옥천군 옥천읍 서대구일로 279-5, 택배물류창고","29057","성화기업택배(주)","2026-02-04 10:30:32","U","2026-02-06 02:40:00","","253826.868878542","310581.361110872","1","9639","0","0","0","151","컨베이어 시스템 등","","법인","1","1","","",
"21","물류창고업체","11_45_02_P","4430000","2012443010832500004","2012-08-08","","01","영업/정상","01","영업중","","","","","043-731-9808","","","충청북도 옥천군 옥천읍 동안리 130번지 5호 택배","충청북도 옥천군 옥천읍 옥천농공길 100-17, 택배","29041","(주)일양로지스","2026-02-04 10:29:31","U","2026-02-06 02:40:00","","252745.822615853","312262.343960144","1","4640","0","0","0","20","컨베이어 시스템 등","","법인","1","1","","",
"22","물류창고업체","11_45_02_P","4000000","2017400018532500005","2017-12-28","","01","영업/정상","01","영업중","","","","","02-587-7470","","","경기도 오산시 갈곶동 304번지 한국알프스물류주식회사 c동","경기도 오산시 경기대로 78-26, 한국알프스물류주식회사 c동 (갈곶동)","18145","한국알프스물류주식회사","2026-02-04 10:37:36","U","2026-02-06 02:40:00","","206771.714728008","403090.258443731","2","7091","0","0","0","121","RACK-100개, 팔레트RACK-70개, 작업대-2개/지게차-2대,핸드터미널-2대","35000","법인","1","","","",
"23","물류창고업체","11_45_02_P","4430000","2020443012732500004","2020-07-14","","01","영업/정상","01","영업중","","","","","043-731-1126","","","충청북도 옥천군 옥천읍 매화리 267-1 해윤물류(주)","충청북도 옥천군 옥천읍 옥천동이로 100-40, 해윤물류(주)","29044","해윤물류(주)","2026-02-04 10:21:37","U","2026-02-06 02:40:00","","252801.218355497","311171.607896176","1","4838.54","0","0","0","80","HYLIMS 시스템","","법인","","1","","",
"24","물류창고업체","11_45_02_P","3940000","2020394040332500002","2020-07-15","","01","영업/정상","01","영업중","","","","","031-8074-9340","","","경기도 고양시 일산동구 식사동 2-8","경기도 고양시 일산동구 사리현로 101-11 (식사동)","10315","(주)지에스네트웍스(고양지점)","2026-02-03 17:17:43","U","2026-02-06 02:40:00","","184819.613703634","465322.772359624","1","15965","1","7191","0","234","없음","","법인","1","","","",
"25","물류창고업체","11_45_02_P","4430000","2020443012732500005","2020-10-12","","01","영업/정상","01","영업중","","","","","","","","충청북도 옥천군 옥천읍 문정리 150-3","충청북도 옥천군 옥천읍 성왕로 1171","29031","에스에이치상사","2026-02-04 10:12:01","U","2026-02-06 02:40:00","","251207.270425398","312666.957032582","4","1200","0","0","285","10","창고, 사무실","","개인","1","","","",
"26","물류창고업체","11_45_02_P","4430000","2025443015032500001","2025-04-18","","01","영업/정상","01","영업중","","","","","02-310-0675","","","충청북도 옥천군 동이면 지양리 993","충청북도 옥천군 동이면 금강로 93","29021","(주)케이씨티시 옥천물류센터","2026-02-04 10:13:29","U","2026-02-06 02:40:00","","255752.717537906","310564.192427855","1","9738","0","0","0","13","지게차 등","260","법인","1","","","",
"27","물류창고업체","11_45_02_P","5530000","2023553040632500006","2023-11-10","","01","영업/정상","01","영업중","","","","","","","","경기도 화성시 효행구 정남면 고지리 115-1","경기도 화성시 효행구 정남면 가장로 285","18512","(주)에이치원메디","2026-02-04 17:25:55","U","2026-02-06 02:40:00","","201064.868606751","407039.865534952","1","10621","1","2271","0","10","냉동.냉장설비, 하이랙 설치, 지게차","","법인","1","","","",
"28","물류창고업체","11_45_02_P","4980000","2026498016332500001","2026-02-02","","01","영업/정상","01","영업중","","","","","061-399-2061","","","전라남도 장성군 서삼면 용흥리 산 100","전라남도 장성군 서삼면 물류로 335","57232","한국복합물류(주)","2026-02-05 16:14:45","I","2026-02-07 00:20:02","","177954.98179371","201862.993512971","1","1259.5","0","0","1259.5","43",".","","법인","1","","","",
"29","물류창고업체","11_45_02_P","5380000","2016538022732500002","2016-08-01","","03","폐업","03","폐업","2026-02-04","","","","055-781-0230","","","경상남도 양산시 어곡동 871번지 11호","경상남도 양산시 어곡공단2길 48 (어곡동, (주)경일)","50591","(주)한익스프레스 양산센터","2026-02-05 13:31:31","U","2026-02-07 02:40:00","","383094.380426181","209869.511025925","1","4596","0","0.","0","","","","법인","","","","",
"30","물류창고업체","11_45_02_P","4500000","2020450029432500002","2020-07-08","","01","영업/정상","01","영업중","","","","","041-850-6678","","","충청남도 공주시 월미동 433","충청남도 공주시 월미농공단지길 55 (월미동)","32528","(주)지에스네트웍스 공주지점","2026-02-05 15:14:25","U","2026-02-07 02:40:00","","209066.899813204","332238.16163713","1","10382","1","2874","0","145","냉동 냉장설비,  랙설치 ,  지게차","1000","법인","1","","","",
"31","물류창고업체","11_45_02_P","3560000","2026356029132500002","2026-02-06","","01","영업/정상","01","영업중","","","","","1544-9898","","","인천광역시 서구 원창동 391-9","인천광역시 서구 북항로120번길 55, 1층 (원창동)","22853","쿠팡로지스틱스서비스 유한회사","2026-02-06 13:06:37","I","2026-02-08 00:20:01","","167198.018709993","445636.155156436","1","32462.12","0","0","0","100","전동지게차,. 도크레벨러, 컨베이어, 상품포장기","","법인","1","","","",
"32","물류창고업체","11_45_02_P","3560000","2026356029132500003","2026-02-06","","01","영업/정상","01","영업중","","","","","","","","인천광역시 서구 경서동 350-46","인천광역시 서구 호두산로10번길 38-5 (경서동)","22745","로젠택배인천루원 주식회사","2026-02-06 16:37:24","I","2026-02-08 00:20:01","","168757.773260756","449464.990908618","3","437.28","0","0","0","4","전동레일","","법인","1","","","",
"33","물류창고업체","11_45_02_P","4191000","2020419030132500002","2020-08-07","","01","영업/정상","01","영업중","","","","","033-813-0958","","","강원특별자치도 원주시 문막읍 반계리 780-1","강원특별자치도 원주시 문막읍 원문로 2570","26361","(주)지에스네트웍스 원주지점","2026-02-06 09:13:06","U","2026-02-08 02:40:00","","268497.812082855","419888.36689865","1","2038.9","1","1264.5","0","75","상품보관랙, 컨베이어 등","","법인","1","","","",
"34","물류창고업체","11_45_02_P","4191000","2022419030132500001","2022-08-17","","03","폐업","03","폐업","2025-12-31","","","","02-6150-8309","","","강원특별자치도 원주시 흥업면 사제리 220-1","강원특별자치도 원주시 흥업면 원문로 816","26356","쿠팡로지스틱스서비스(유)","2026-02-06 10:01:22","U","2026-02-08 02:40:00","","278769.282235562","427372.332616576","1","2760.9","0","0","0","","","","법인","","","","",
"35","물류창고업체","11_45_02_P","3560000","2025356029132500024","2025-11-04","","01","영업/정상","01","영업중","","","","","032-577-8881","","","인천광역시 서구 원창동 391-36","인천광역시 서구 북항로 144, 1동 (원창동)","22853","유디글로벌로지스 주식회사","2026-02-06 16:36:28","U","2026-02-08 02:40:00","","167411.481500517","445061.38103641","1","6883.74","0","0","0","33","랙, 지게차, 컨베이어벨트, 박스 및 팔레트 포장 장비","","법인","1","","","",
"36","물류창고업체","11_45_02_P","4050000","2012405032932500073","2012-08-13","","03","폐업","03","폐업","2026-02-06","","","","041-622-9475","","","경기도 용인시 처인구 이동읍 화산리 203-6","경기도 용인시 처인구 이동읍 화산로 228","17135","(주)동방","2026-02-06 14:40:52","U","2026-02-08 02:40:00","","220022.147366592","405152.083395184","1","5289.26","0","0","0","","","","법인","","","","",
"37","물류창고업체","11_45_02_P","4090000","2020409037032500002","2020-07-03","","01","영업/정상","01","영업중","","","","","031-980-1407","","","경기도 김포시 고촌읍 전호리 748","경기도 김포시 고촌읍 아라육로57번길 108, 3층","10136","주식회사 지에스네트웍스 김포지점","2026-02-06 09:36:31","U","2026-02-08 02:40:00","","182043.631908388","454370.102098275","2","13354.41","1","3996.9","0","188","지게차 13대, 쟈키(핸드) 17대","","법인","1","","","",
"38","물류창고업체","11_45_02_P","4090000","2020409037032500003","2020-07-03","","01","영업/정상","01","영업중","","","","","031-8049-7441","","","경기도 김포시 고촌읍 전호리 662","경기도 김포시 고촌읍 아라육로230번길 16, 씨비알이지아이 김포 물류센터 5층","10135","주식회사 지에스네트웍스 고촌지점","2026-02-06 09:35:02","U","2026-02-08 02:40:00","","180608.043050996","455120.046927362","1","2496.6","0","0","0","50","지게차 3대, 화물E/V 1대","","법인","1","","","",
"39","물류창고업체","11_45_02_P","6110000","2023S61100000004","2023-12-13","","01","영업/정상","1","등록","","","","","025142675","","06771","서울특별시 서초구 양재동 216번지 톨게이트주유소 a동","서울특별시 서초구 양재대로 173, 톨게이트주유소 a동 (양재동)","06771","핌즈(주)","2026-02-06 10:28:08","U","2026-02-08 02:40:00","","203252.909483212","440074.205886207","1","2847","0","0","0","23","팔레트, 선반, 지게타","","개인","1","","","",
"40","물류창고업체","11_45_02_P","5350000","2023535034732500003","2023-09-04","","03","폐업","03","폐업","2026-01-31","","","","00-1544-9898","","","경상남도 김해시 부곡동 100","경상남도 김해시 장유로55번길 29-17 (부곡동)","50971","쿠팡로지스틱스서비스 유한회사","2026-02-07 15:13:33","U","2026-02-09 02:40:00","","363693.862891143","192341.765734402","2","2515.47","0","0","0","","","","법인","","","","",
"41","물류창고업체","11_45_02_P","4681000","2020468039232500002","2020-08-06","","01","영업/정상","01","영업중","","","","","063-722-2051","","","전북특별자치도 익산시 왕궁면 광암리 1423","전북특별자치도 익산시 왕궁면 국가식품로2길 41","54576","(주)지에스네트웍스 익산지점","2026-02-07 17:28:20","U","2026-02-09 02:40:00","","208083.652406017","275686.184145335","1","7462.70","1","3862","0","1","냉장시설","","법인","1","","","",
"42","물류창고업체","11_45_02_P","4050000","2024405053932500005","2024-05-31","","03","폐업","03","폐업","2026-02-09","","","","02-6959-2076","","","경기도 용인시 처인구 양지면 평창리 641-52","경기도 용인시 처인구 양지면 죽양대로 2023-6, 가동","17163","주식회사 메이크스타","2026-02-09 09:46:04","U","2026-02-11 02:40:00","","228286.802049383","412654.961510661","1","4119.8","0","0","0","","","","법인","","","","",
"43","물류창고업체","11_45_02_P","5700000","2026570013632500001","2026-02-03","","01","영업/정상","01","영업중","","","","","070-8680-2686","","","경기도 여주시 가남읍 본두리 925","경기도 여주시 가남읍 본두1길 17-52","12656","주식회사 로풀","2026-02-09 15:42:13","U","2026-02-11 02:40:00","","","","1","2046.29","0","0","2046.29","3","랙 설치","","법인","1","","","",
"44","물류창고업체","11_45_02_P","3910000","2012391022832500017","2013-02-28","","01","영업/정상","01","영업중","","","","","02-2131-2151","","459-090","경기도 평택시 도일동 1175번지 2호","경기도 평택시 도일유통길 98 (도일동)","459-090","(주)농협물류","2026-02-09 18:01:25","U","2026-02-11 02:40:00","","209437.568097058","393287.333752303","2","41913","0","0","14573","11","지게차","","법인","1","","","",
"45","물류창고업체","11_45_02_P","4160000","2026416016532500001","2026-02-04","","01","영업/정상","01","영업중","","","","","031-591-0401","","","경기도 가평군 청평면 대성리 635-2","경기도 가평군 청평면 경춘로 29, 3층","12457","페로(Ferro)","2026-02-09 10:39:42","U","2026-02-11 02:40:00","","233067.43030348","464105.966290271","1","3192.4","0","0","2191.13","5","해당사항 없음","45000","개인","1","","1","1",
"46","물류창고업체","11_45_02_P","5310000","2020531028432500001","2020-07-20","","01","영업/정상","01","영업중","","","","","055-790-1004","","","경상남도 진주시 정촌면 예하리 1251-2","경상남도 진주시 정촌면 화개천로 40","52845","(주)지에스네트웍스 진주지점","2026-02-09 13:26:48","U","2026-02-11 02:40:00","","300209.099017106","180761.434452477","1","8294.53","1","3540.12","0","97","상품체적시스템, 자동이송컨베이어/자동스캐너, 파지컨베이어/파지자동압축기, 담배자동피킹시스템, 배송박스자동투입/세척기, 회전식렉분류시스템, 선도 및 위생관리 설비(에어샤워기, 손소독기 등)","289","법인","1","","","",
"47","물류창고업체","11_45_02_P","5380000","2020538022732500003","2020-07-17","","01","영업/정상","01","영업중","","","","","055-380-7326","","","경상남도 양산시 다방동 98-1 GS리테일물류센타","경상남도 양산시 칠산길 11, GS리테일물류센타 (다방동)","50643","㈜지에스네트웍스","2026-02-09 15:19:01","U","2026-02-11 02:40:00","","385827.51111451","205529.766640654","2","15193.97","1","2825.84","0","140","경비실 1동, 세차 기계실 1동 등","","법인","1","","","",
"48","물류창고업체","11_45_02_P","5220000","2020522011932500002","2020-11-18","","01","영업/정상","01","영업중","","","","","053-710-7190","","","경상북도 칠곡군 가산면 천평리 354-4","경상북도 칠곡군 가산면 경북대로 1460","39852","(주)지에스네트웍스 칠곡지점","2026-02-09 19:04:39","U","2026-02-11 02:40:00","","338672.240080118","287291.914314983","3","4085.67","0","0","0","10","-","","법인","1","","","",
"49","물류창고업체","11_45_02_P","5530000","2020553040632500006","2020-07-30","","01","영업/정상","01","영업중","","","","","031-8055-7847","","","경기도 화성시 만세구 팔탄면 덕우리 188-1 (주)지에스네트웍스 발안지점","경기도 화성시 만세구 팔탄면 온천로 118 (주)지에스네트웍스 발안지점","18577","(주)지에스네트웍스","2026-02-09 13:02:11","U","2026-02-11 02:40:00","","187899.522720085","403558.889409593","1","11508.2","1","1963","0","150","지게차","","법인","","","","",
"50","물류창고업체","11_45_02_P","4800000","2026480037432500001","2026-02-10","","01","영업/정상","01","영업중","","","","","1544-9898","","","전라남도 목포시 대양동 1189-14 ,15","","","쿠팡로지스틱스서비스(유)","2026-02-10 14:52:22","I","2026-02-12 00:20:02","","145026.121900992","148643.386756294","4","4046.2","0","0","4046.2","10","테이블리프트, 지게차","","법인","1","1","","",
"51","물류창고업체","11_45_02_P","4050000","2026405056732500001","2026-02-09","","01","영업/정상","01","영업중","","","","","031-526-6671","","","경기도 용인시 처인구 백암면 고안리 590-1","경기도 용인시 처인구 백암면 고안로51번길 136-11","17180","(주)케이씨티시 백암물류센터","2026-02-10 09:08:37","I","2026-02-12 00:20:02","","236698.578450235","404405.134486081","1","10669","0","0","10669","23","지게차, 반자동랩핑기, 화물승강기(수직반송기) 등","","법인","1","1","","",
"52","물류창고업체","11_45_02_P","5600000","2022560017032500005","2022-04-18","","01","영업/정상","01","영업중","","","","","031-536-9043","","","경기도 포천시 군내면 용정리 482-13","경기도 포천시 군내면 용정경제로2길 89","11154","주식회사 농협물류","2026-02-10 08:49:28","U","2026-02-12 02:40:00","","218273.234878911","486233.567671108","1","9846.08","0","0","0","5","DAS(5개라인) 지게차 20대, 파렛트랙(1,640cell)","","법인","1","","","",
"53","물류창고업체","11_45_02_P","4080000","2020408020832500001","2020-01-06","","03","폐업","03","폐업","2025-08-04","","","","031-831-5550","","","경기도 안성시 미양면 양변리 241번지 6호","경기도 안성시 미양면 안성맞춤대로 394","17604","(주)삼덕로지스","2026-02-10 15:02:11","U","2026-02-12 02:40:00","","221685.522167559","383982.719541948","1","16529","0","0","0","","","","법인","","","","",
"54","물류창고업체","11_45_02_P","5670000","2026567076532500001","2026-01-26","","01","영업/정상","01","영업중","","","","","055-715-9135","","","경상남도 창원시 의창구 북면 월계리 162-3","경상남도 창원시 의창구 북면 신촌본포로 315","51102","RAC-TEC(라텍)","2026-02-10 10:56:12","U","2026-02-12 02:40:00","","348514.976150742","207388.874520072","1","4800","0","0","300","5","지게차, 자동화재탐지설비, 소화전, 파렛트,CCTV 등","","개인","1","","","",
"55","물류창고업체","11_45_02_P","5670000","2026567076532500002","2026-01-29","","01","영업/정상","01","영업중","","","","","","","","경상남도 창원시 진해구 두동 1103-2","경상남도 창원시 진해구 웅동로 183 (두동)","51600","쿠팡로지스틱스서비스 유한회사","2026-02-10 11:02:08","U","2026-02-12 02:40:00","","363348.609791197","181342.448992957","2","900","0","0","8493","5","소화기 비치","","법인","1","","","",
"56","물류창고업체","11_45_02_P","4000000","2022400019432500001","2022-12-19","","01","영업/정상","01","영업중","","","","","031-8077-4861","","","경기도 오산시 가수동 379-6","경기도 오산시 수목원로88번길 33, 클라우드 M캠퍼스 오산 LOGIPOLIS 물류센터 (가수동)","18126","(주)지에스네트웍스 신오산지점","2026-02-10 17:09:34","U","2026-02-12 02:40:00","","205104.899044538","404639.406695118","2","15477.05","1","7235.70","0","138","지게차, 팔레트, 랙 등","","법인","1","","","",
"57","물류창고업체","11_45_02_P","6110000","2020S61100000002","2020-07-21","","01","영업/정상","1","등록","","","","","0222510521","","05842","서울특별시 송파구 장지동 875번지 서울복합물류 C동","서울특별시 송파구 송파대로 55, 서울복합물류 C동 5층 (장지동)","05842","(주)지에스네트웍스 송파지점","2026-02-11 09:08:34","U","2026-02-13 02:40:00","","","","2","14281.04","1","5990.11","0","258","랙, 컨베이어, 지게차 등","","개인","1","","","",
"58","물류창고업체","11_45_02_P","4980000","2020498011632500001","2020-07-28","","01","영업/정상","01","영업중","","","","","061-399-2224","","","전라남도 장성군 서삼면 용흥리 산 100","전라남도 장성군 서삼면 물류로 335","57232","(주)지에스네트웍스 장성지점","2026-02-11 11:02:30","U","2026-02-13 02:40:00","","177954.98179371","201862.993512971","1","5159.36","1","1256.20","0","77","냉동장치","","법인","1","1","","",
"59","물류창고업체","11_45_02_P","5350000","2020535027232500002","2020-07-15","","01","영업/정상","01","영업중","","","","","055-344-4950","","","경상남도 김해시 상동면 대감리 5","경상남도 김해시 상동면 상동로 680-77","50804","(주)지에스네트웍스 김해지점","2026-02-11 14:56:43","U","2026-02-13 02:40:00","","376650.675045563","202966.344148618","1","21705","1","539.5","0","190","지게차, 랙(선반), 컨베이어, 롤케이지","","법인","","","","",
"60","물류창고업체","11_45_02_P","5080000","2012508011132500006","2013-03-12","","01","영업/정상","01","영업중","","","","","054-606-1029","","730-904","경상북도 구미시 공단2동 265번지","경상북도 구미시 1공단로10길 5 (공단동)","730-904","(주)한진","2026-02-11 14:57:02","U","2026-02-13 02:40:00","","324414.772221264","289848.476953797","1","846.36","0","0","8415","30","리치스테이크,컨베이어","20000","법인","","1","","",
"61","물류창고업체","11_45_02_P","6500000","2024S65000000001","2024-01-16","","01","영업/정상","1","등록","","","","","0647260472","","63048","제주특별자치도 제주시 애월읍 신엄리 2088-1","제주특별자치도 제주시 애월읍 신상로 195","63048","(주)지에스네트웍스 신제주지점","2026-02-12 13:43:13","U","2026-02-14 02:40:00","","","","0","","1","2680","0","40","자동화설비(자동컨베이어,파지압축기,메자닌), 내/외부 지게차 등","","개인","1","1","","",
