"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","기공용레스수","원심주조기수","기공용모터수","아세틸렌수","치과용프레스수","전기로수","포셀린로수","초음파청소기수","서베이어수","진동기수","트리머수","기공용컴프레서수","샌드기수","진공매몰기수","핀덱스수",
"15","치과기공소","01_02_04_P","3240000","PHMB320213240033062300003","2018-07-04","","01","영업/정상","13","영업중","","","","","02-6401-6846","","","서울특별시 강동구 길동 83-4 이진빌딩","서울특별시 강동구 명일로26길 12, 이진빌딩 3층 (길동)","05300","에프원치과기공소","2026-02-06 09:52:33","U","2026-02-08 02:40:00","","213027.521447764","448948.849544402","1","1","2","0","1","1","1","1","2","1","1","1","1","1","1",
"16","치과기공소","01_02_04_P","3940000","PHMB320233940138062300001","2015-04-23","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 행신동 707-2","경기도 고양시 덕양구 충장로 7, 3층 306호 (행신동)","10523","이앤교정치과기공소","2026-02-06 08:38:10","U","2026-02-08 02:40:00","","185247.567498371","456820.779495127","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"17","치과기공소","01_02_04_P","3630000","PHMB320253630020062300001","2021-04-07","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 장덕동 1300","광주광역시 광산구 장신로 77, 4층 401호 (장덕동)","62224","봄날치과기공소","2026-02-06 11:35:32","U","2026-02-08 02:40:00","","183401.029822815","188021.504481302","1","1","3","0","1","1","2","1","1","2","1","1","2","1","0",
"18","치과기공소","01_02_04_P","3170000","PHMB320263170035062300003","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 549-1 한라 원앤원타워 B동 12층 1210호","서울특별시 금천구 가산디지털2로 101, 한라 원앤원타워 B동 12층 1210호 (가산동)","08505","스튜디오케이 덴탈랩","2026-02-10 16:50:33","I","2026-02-12 00:20:02","","189282.642165078","441654.484590816","1","3","4","0","1","1","2","1","1","1","1","1","1","1","0",
"19","치과기공소","01_02_04_P","4490000","PHMB320044490042062300001","2004-09-03","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 서북구 쌍용동 879 미락빌딩","충청남도 천안시 서북구 미라2길 90, 미락빌딩 3층 (쌍용동)","31155","알파이치과기공소","2026-02-10 08:14:17","U","2026-02-12 02:40:00","","211605.622674918","367343.539170552","1","1","2","1","1","1","1","1","1","1","1","3","1","1","1",
"20","치과기공소","01_02_04_P","6510000","PHMB320176510096062300004","2017-08-01","","01","영업/정상","13","영업중","","","","","064-746-7572","","","제주특별자치도 제주시 노형동 711-3","제주특별자치도 제주시 연북로 14, 402호 (노형동)","63086","바른치과기공소","2026-02-10 17:19:05","U","2026-02-12 02:40:00","","151843.004425202","-1512.9352835229","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1",
"21","치과기공소","01_02_04_P","5340000","PHMB320255340030062300002","2025-08-25","","01","영업/정상","13","영업중","","","","","","","","경상남도 사천시 정동면 고읍리 438-18","경상남도 사천시 정동면 옥산로 46, 1층 103호","52521","우주 치과기공소","2026-02-10 17:26:19","U","2026-02-12 02:40:00","","299141.890761488","176128.687944885","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0",
"22","치과기공소","01_02_04_P","3720000","PHMB320003720017062300002","2000-10-25","","01","영업/정상","13","영업중","","","","","052-294-2833","","","울산광역시 북구 매곡동 258","울산광역시 북구 매산로 102, 2층 (매곡동)","44224","메인치과기공소","2026-02-11 11:16:33","U","2026-02-13 02:40:00","","413719.974879038","240307.945498248","1","1","4","1","1","2","3","1","1","1","1","1","1","1","1",
"23","치과기공소","01_02_04_P","3690000","PHMB320263690018062300001","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","울산광역시 중구 태화동 459-8","울산광역시 중구 태화로 167, 4층 (태화동)","44454","글래드","2026-02-12 15:07:46","I","2026-02-14 00:20:02","","407994.982139663","230552.710008027","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"24","치과기공소","01_02_04_P","3010000","PHMB320263010033062300001","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로3가 49 엘크루 메트로시티 208호","서울특별시 중구 충무로 13, 엘크루 메트로시티 2층 208호 (충무로3가)","04554","벧엘치과기공소","2026-02-11 10:17:24","I","2026-02-14 00:20:02","","199279.677406441","451120.517700578","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1",
"25","치과기공소","01_02_04_P","3220000","PHMB320263220033062300002","2026-02-11","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 신사동 504-11 SINSA SQUARE","서울특별시 강남구 강남대로 652, SINSA SQUARE 1층 105-1호 (신사동)","06027","다른치과기공소","2026-02-11 14:33:27","I","2026-02-14 00:20:02","","201620.446225572","446358.542778413","1","2","2","1","1","1","1","1","1","1","1","2","1","1","1",
"26","치과기공소","01_02_04_P","3030000","PHMB320263030033062300001","2026-02-11","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 성동구 아차산로17길 57, 일신건영휴먼테코 904-1호 (성수동2가)","04799","하이테크5치과기공소","2026-02-11 15:57:53","I","2026-02-14 00:20:02","","205753.250469411","449482.033814702","1","1","2","0","1","1","1","1","1","1","1","1","1","1","1",
"27","치과기공소","01_02_04_P","3330000","PHMB320013330024062300001","2001-07-20","","01","영업/정상","13","영업중","","","","","702-2834","","","부산광역시 해운대구 반여동 885번지 3호","부산광역시 해운대구 선수촌로177번길 5, 4층 (반여동)","48032","미광치과기공소","2026-02-12 14:34:54","U","2026-02-14 02:40:00","","393285.184223866","192001.472430779","1","2","5","1","1","2","3","2","2","1","2","2","3","1","1",
"28","치과기공소","01_02_04_P","3320000","PHMB320113320045062300004","2011-06-14","","03","폐업","03","폐업","2019-06-01","","","","343-2809","","616-819","부산광역시 북구 덕천1동 379번지 26호","부산광역시 북구 만덕대로77번길 5, 2층 (덕천동)","46555","이다움치과기공소","2026-02-13 10:44:12","U","2026-02-15 02:40:00","","383234.204377257","192203.751615434","4","1","5","1","1","2","2","1","1","1","1","1","2","1","1",
"29","치과기공소","01_02_04_P","3740000","PHMB320003740032062300001","2000-12-16","","01","영업/정상","13","영업중","","","","","","","","","경기도 수원시 권선구 금호로 236 (탑동)","16604","예은치과기공소","2026-02-13 15:53:32","U","2026-02-15 02:40:00","","197796.942761648","419269.374116215","1","1","3","1","1","2","1","1","1","1","1","1","3","1","1",
