"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"11","축산물보관업","07_22_24_P","4050000","405000000720140007","2014-12-08","","01","영업/정상","0000","정상","","","","","","10143.98","","경기도 용인시 처인구 유방동 404-1","경기도 용인시 처인구 한터로58번길 37 (유방동)","17043","사조씨푸드(주) 용인물류센터","2026-02-05 08:42:47","U","2026-02-07 02:40:00","","218911.284130361","416734.950739594","축산물보관업","","0","L00","0",
"12","축산물보관업","07_22_24_P","4201000","420100000720260001","2026-02-06","","01","영업/정상","0000","정상","","","","","","504.29","","강원특별자치도 강릉시 강동면 모전리 19-1 외 2필지","강원특별자치도 강릉시 강동면 임곡로 302","25627","에스피씨삼립 강릉물류","2026-02-06 15:32:01","I","2026-02-08 00:20:01","","375255.50959799","469171.526789593","축산물보관업","","0","L00","0",
"13","축산물보관업","07_22_24_P","4080000","408000000720240002","2024-03-19","","01","영업/정상","0000","정상","","","","","03180468455","0","","경기도 안성시 미양면 강덕리 338 농협안성농식품물류센터","경기도 안성시 미양면 강덕1길 161, 농협안성농식품물류센터","17604","농협안성농식품물류센터","2026-02-06 16:11:31","U","2026-02-08 02:40:00","","219846.512043974","384327.955994584","축산물보관업","","0","L00","0",
"14","축산물보관업","07_22_24_P","5540000","554000000720240003","2024-06-23","","01","영업/정상","0000","정상","","","","","","32042.4","","경기도 광주시 도척면 진우리 1007 유유물류센터","경기도 광주시 도척면 도척로 401-98, 유유물류센터 지하2층 204,205,206호","12814","주식회사 미팅","2026-02-09 13:28:02","U","2026-02-11 02:40:00","","230419.426000642","423414.907151379","축산물보관업","","0","L00","0",
"15","축산물보관업","07_22_24_P","3360000","336000000720200001","2020-03-19","","01","영업/정상","0000","정상","","","","","","164.97","","부산광역시 강서구 대저2동 3730","부산광역시 강서구 금호순서길282번길 80, 나동 (대저2동)","46722","한국 엠비","2026-02-09 09:05:52","U","2026-02-11 02:40:00","","376942.03754333","186412.916244304","축산물보관업","","0","000","0",
"16","축산물보관업","07_22_24_P","5540000","554000000720220003","2022-12-12","","01","영업/정상","0000","정상","","","","","031-8011-0465","0","","경기도 광주시 곤지암읍 신대리 280","경기도 광주시 곤지암읍 신대길 134-14","12801","GS네트웍스 곤지암센터","2026-02-09 15:40:44","U","2026-02-11 02:40:00","","229593.102320514","429159.909464608","축산물보관업","","0","L00","0",
"17","축산물보관업","07_22_24_P","5670000","567000000720170001","2017-10-16","","01","영업/정상","0000","정상","","","","","","0","","경상남도 창원시 진해구 남문동 1189-2","경상남도 창원시 진해구 신항8로 351 (남문동, (주)동원로엑스웅동냉동창고)","51619","동원로엑스냉장 주식회사","2026-02-09 09:24:36","U","2026-02-11 02:40:00","","361235.581745326","178165.135800056","축산물보관업","","0","L00","0",
"18","축산물보관업","07_22_24_P","3360000","336000000720240001","2024-12-02","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 강서구 미음동 1651-2 1층","부산광역시 강서구 미음국제2로 58, 1층 (미음동)","46746","(주)지에스네트웍스 부산지점","2026-02-09 09:12:08","U","2026-02-11 02:40:00","","370443.520353887","184925.692243871","축산물보관업","","0","L00","0",
"19","축산물보관업","07_22_24_P","5380000","538000000720130001","2013-11-20","","01","영업/정상","0000","정상","","","","","","1463.4","","경상남도 양산시 산막동 307-4","경상남도 양산시 산막공단북2길 11 (산막동)","50567","롯데웰푸드 주식회사","2026-02-10 16:25:16","U","2026-02-12 02:40:00","","386400.602239244","209790.777498213","축산물보관업","","0","L00","0",
"20","축산물보관업","07_22_24_P","4050000","405000000720210013","2021-12-22","","01","영업/정상","0000","정상","","","","","031-339-8826","1518","","경기도 용인시 처인구 남사읍 북리 149 지하1층","경기도 용인시 처인구 남사읍 당하로 121, 지하1층","17118","지에스네트웍스 용인남사지점","2026-02-10 08:01:11","U","2026-02-12 02:40:00","","213639.117719391","404706.840304965","축산물보관업","","0","L00","0",
"21","축산물보관업","07_22_24_P","3560000","356000000720260002","2026-02-11","","01","영업/정상","0000","정상","","","","","","887","","인천광역시 서구 가좌동 178-75","인천광역시 서구 봉수대로 121 (가좌동)","22845","오뚜기물류서비스 인천안전물류센터","2026-02-11 14:11:20","I","2026-02-13 00:20:38","","169863.342331171","442787.100791358","축산물보관업","","0","L00","0",
"22","축산물보관업","07_22_24_P","3340000","334000000720190001","2019-06-13","","01","영업/정상","0000","정상","","","","","051-264-6400","2578.5","","부산광역시 사하구 구평동 414-5","부산광역시 사하구 감천항로 239 (구평동)","49454","삼일냉장(주) 제2물류센터","2026-02-11 10:00:31","U","2026-02-13 02:40:00","","381544.168014437","176519.765319749","축산물보관업","","0","L00","0",
"23","축산물보관업","07_22_24_P","5530000","553000000720250005","2025-07-10","","01","영업/정상","0000","정상","","","","","","1670","","경기도 화성시 효행구 정남면 제기리 183 지하2층 일부","경기도 화성시 효행구 정남면 정남동로 227, 지하2층","18515","(주)지에스네트웍스 화성지점","2026-02-11 16:39:11","U","2026-02-13 02:40:00","","201154.932645476","404186.13873463","축산물보관업","","0","L00","0",
"24","축산물보관업","07_22_24_P","4070000","407000000720200001","2020-05-22","","01","영업/정상","0000","정상","","","","","","103.14","","경기도 이천시 호법면 매곡리 산 102","경기도 이천시 호법면 덕평로 566","17396","(주)지에스네트웍스덕평지점","2026-02-11 13:32:03","U","2026-02-13 02:40:00","","","","축산물보관업","","0","L00","0",
"25","축산물보관업","07_22_24_P","4490000","449000000720020001","2002-11-20","","01","영업/정상","0000","정상","","","","","564-0038","3696","","충청남도 천안시 동남구 병천면 도원리 554-4 수협냉장사업소","충청남도 천안시 동남구 병천면 봉항로 133, 수협냉장사업소 (102,103,203,302,303호)","31255","수협중앙회 천안물류센터","2026-02-11 16:19:36","U","2026-02-13 02:40:00","","227672.419104678","363539.263676397","축산물보관업","","0","L00","0",
"26","축산물보관업","07_22_24_P","3910000","391000000720230003","2023-04-10","","01","영업/정상","0000","정상","","","","","","0","","경기도 평택시 도일동 188","경기도 평택시 청원로 1745-21 (도일동)","17724","(주)오르고로지스","2023-04-10 10:04:40","I","2026-02-13 15:50:44","","210181.683536737","393597.337144897","축산물보관업","","0","L00","0",
"27","축산물보관업","07_22_24_P","4040000","404000000720230001","2023-05-12","","01","영업/정상","0000","정상","","","","","","0","","경기도 하남시 상산곡동 542-2","경기도 하남시 산곡로 27 (상산곡동)","13027","솔로몬엔터프라이즈 주식회사","2023-05-12 15:49:59","I","2026-02-13 15:50:44","","220204.490023941","443834.001474377","축산물보관업","","0","L00","0",
"28","축산물보관업","07_22_24_P","4000000","400000000720180003","2018-12-18","","01","영업/정상","0000","정상","","","","","","0","","경기도 오산시 오산동 736번지 304호 일부와 307호 일부","경기도 오산시 오산로 149, 304호와 307호 (오산동)","18137","세림로지스","2018-12-18 11:43:36","I","2026-02-13 15:50:44","","205912.898384165","404249.209315327","","","","","",
"29","축산물보관업","07_22_24_P","5540000","554000000720250003","2025-01-21","","01","영업/정상","0000","정상","","","","","","0","","경기도 광주시 양벌동 195-1","경기도 광주시 마루들길35번길 24 (양벌동)","12796","ING유통","2025-01-21 10:26:39","I","2026-02-13 15:50:44","","","","축산물보관업","","0","000","0",
"30","축산물보관업","07_22_24_P","4201000","420100000720260002","2026-02-12","","01","영업/정상","0000","정상","","","","","031-283-2861","0","","강원특별자치도 강릉시 구정면 여찬리 215-10","강원특별자치도 강릉시 구정면 구정중앙로 192","25622","오뚜기물류서비스(주) 강릉안전물류센터","2026-02-12 14:00:32","I","2026-02-14 00:20:02","","365431.597909241","469690.262146078","축산물보관업","","0","L00","0",
"31","축산물보관업","07_22_24_P","3990000","399000000720260001","2026-02-12","","01","영업/정상","0000","정상","","","","","0315607827","0","","경기도 남양주시 수동면 운수리 266 오뚜기물류서비스 남양주안전물류센터","경기도 남양주시 수동면 지둔로 191, 오뚜기물류서비스 남양주안전물류센터 지하1층","12031","(주)제때 수동센터","2026-02-12 19:15:43","I","2026-02-14 00:20:02","","227074.723935168","466887.065379017","축산물보관업","","0","L00","0",
"32","축산물보관업","07_22_24_P","4080000","408000000720240006","2024-05-13","","01","영업/정상","0000","정상","","","","","1688-3115","0","","경기도 안성시 일죽면 방초리 886-1","경기도 안성시 일죽면 초막길 100-2","17525","주식회사 지아이지","2026-02-12 10:49:53","U","2026-02-14 02:40:00","","237665.020498778","402758.126054085","축산물보관업","","0","L00","0",
"33","축산물보관업","07_22_24_P","4080000","408000000720260001","2026-02-13","","01","영업/정상","0000","정상","","","","","","0","","경기도 안성시 죽산면 장계리 318","경기도 안성시 죽산면 장계길 20-40","17522","(주)시노트레이드","2026-02-13 14:31:07","U","2026-02-15 02:40:00","","235910.76387275","394682.2055622","축산물보관업","","0","L00","0",
"34","축산물보관업","07_22_24_P","4470000","447000000720260001","2026-02-14","","01","영업/정상","0000","정상","","","","","070-8832-1101","588.55","","충청북도 음성군 삼성면 용성리 552-9 지하1층 주식회사 이한로지스","충청북도 음성군 삼성면 가산마을길 17, 지하 1층","27650","주식회사 이한로지스","2026-02-14 09:44:17","I","2026-02-16 00:20:01","","241825.326194719","391118.392298281","축산물보관업","","0","L00","0",
