번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),비상시설위치,시설구분명,시설명건물명,해제일자,Unnamed: 32,record_key
10,민방위급수시설,11_46_01_P,5670000,5670156-E201200005,2012-10-31,,1,영업/정상,18,사용중,,,,,,200,,경상남도 창원시 마산합포구 진동면 292번지,경상남도 창원시 마산합포구 진동면 서촌바다길 108 (건우그린타운),51792,진동건우그린타운아파트(진동면),2026-03-03 16:35:10,U,2026-03-05 02:40:00,,335196.786908001,180048.340501759,경상남도 창원시 마산합포구 진동면 292번지,공공용시설,진동건우그린타운아파트(진동면),,,진동건우그린타운아파트(진동면)_경상남도창원시마산합포구진동면292번지
26,민방위급수시설,11_46_01_P,3690000,3690000-E201200001,2012-07-24,,1,영업/정상,18,사용중,,,,,,450,,울산광역시 중구 유곡동 90번지 34호,울산광역시 중구 평동1길 32 (유곡동),681-310,유곡동민방위비상급수시설,2026-03-04 10:22:57,U,2026-03-06 02:40:00,,408871.965069539,231252.938002521,울산광역시 중구 유곡동 90번지 34호,지자체시설,유곡동민방위비상급수시설,,,유곡동민방위비상급수시설_울산광역시중구유곡동90번지34호
8,민방위급수시설,11_46_01_P,4641000,4661000-E201200008,2012-07-11,2026-03-03,4,취소/말소/만료/정지/중지,19,사용중지,2026-03-03,,,,,100,,전북특별자치도 전주시 덕진구 성덕동 175번지 19호,"전북특별자치도 전주시 덕진구 신성길 25-31 (성덕동, 주식회사 전주주조)",54801,(주)전주주조,2026-03-03 13:17:00,U,2026-03-05 02:40:00,,202958.076019222,264536.993696906,전북특별자치도 전주시 덕진구 성덕동 175번지 19호,공공용시설,(주)전주주조,20260303.0,,(주)전주주조_전북특별자치도전주시덕진구성덕동175번지19호
24,민방위급수시설,11_46_01_P,3690000,3690000-E201100002,2011-04-01,,1,영업/정상,18,사용중,,,,,,80,,울산광역시 중구 다운동 546번지,울산광역시 중구 구루미4길 2 (다운동),44408,연화탕,2026-03-04 11:05:53,U,2026-03-06 02:40:00,,405831.681052869,231200.47079127,울산광역시 중구 다운동 546번지,공공용시설,연화탕,,,연화탕_울산광역시중구다운동546번지
25,민방위급수시설,11_46_01_P,3690000,3690000-E200900001,2009-12-02,,1,영업/정상,18,사용중,,,,,,200,,울산광역시 중구 옥교동 315번지 4호,울산광역시 중구 옥교4길 20 (옥교동),,청강탕,2026-03-04 11:25:35,U,2026-03-06 02:40:00,,410752.369065953,230706.476402337,울산광역시 중구 옥교동 315번지 4호,공공용시설,청강탕,,,청강탕_울산광역시중구옥교동315번지4호
34,민방위급수시설,11_46_01_P,4470000,4470000-E200500001,2005-10-05,,1,영업/정상,18,사용중,,,,,,200,,충청북도 음성군 맹동면 쌍정리 산 47-1,충청북도 음성군 맹동면 덕금로 352-15,27733,민방위비상급수시설(맹동체육공원 내),2026-03-04 10:47:06,U,2026-03-06 02:40:00,,,,충청북도 음성군 맹동면 쌍정리 산 47-1,지자체시설,민방위비상급수시설(맹동체육공원 내),,,민방위비상급수시설(맹동체육공원내)_충청북도음성군맹동면쌍정리산47-1
30,민방위급수시설,11_46_01_P,3690000,3690000-E200500001,2005-02-28,,1,영업/정상,18,사용중,,,,,,100,,울산광역시 중구 약사동 622번지 7호,울산광역시 중구 평산로 20 (약사동),681-430,정안탕,2026-03-04 11:22:14,U,2026-03-06 02:40:00,,412052.746695236,232405.703507106,울산광역시 중구 약사동 622번지 7호,공공용시설,정안탕,,,정안탕_울산광역시중구약사동622번지7호
41,민방위급수시설,11_46_01_P,3380000,3380000-E200400001,2004-02-24,,1,영업/정상,18,사용중,,,,,,110,,부산광역시 수영구 수영동 372번지,부산광역시 수영구 연수로379번길 42 (25의용단),48229,수영사적공원,2026-03-05 17:53:35,U,2026-03-07 02:40:00,,392474.992945328,187846.93465592,부산광역시 수영구 수영동 372번지,정부지원시설,수영사적공원,,,수영사적공원_부산광역시수영구수영동372번지
36,민방위급수시설,11_46_01_P,4470000,4470000-E200300009,2003-06-25,,1,영업/정상,18,사용중,,,,,,100,,충청북도 음성군 삼성면 602번지 2호,충청북도 음성군 삼성면 덕정로 120,369-833,민방위비상급수시설(김정마을),2026-03-04 10:49:21,U,2026-03-06 02:40:00,,244849.301763093,391145.706810402,충청북도 음성군 삼성면 602번지 2호,지자체시설,민방위비상급수시설(김정마을),,,민방위비상급수시설(김정마을)_충청북도음성군삼성면602번지2호
18,민방위급수시설,11_46_01_P,3670000,3670000-E200300001,2003-04-24,,1,영업/정상,18,사용중,,,,,,150,,대전광역시 유성구 지족동 920 은구비공원 주차장3,"대전광역시 유성구 노은동로 166, 은구비공원 주차장3 (지족동)",34084,은구비공원,2026-03-04 16:15:03,U,2026-03-06 02:40:00,,229012.093567699,319274.986039793,대전광역시 유성구 지족동 920 은구비공원 주차장3,정부지원시설,은구비공원,,,은구비공원_대전광역시유성구지족동920은구비공원주차장3
38,민방위급수시설,11_46_01_P,4470000,4470000-E200300008,2003-04-22,,1,영업/정상,18,사용중,,,,,,100,,충청북도 음성군 생극면 492번지,충청북도 음성군 생극면 음성로 1672,369-841,민방위비상급수시설(생극중학교),2026-03-04 10:52:47,U,2026-03-06 02:40:00,,253812.816820004,392906.664795175,충청북도 음성군 생극면 492번지,지자체시설,민방위비상급수시설(생극중학교),,,민방위비상급수시설(생극중학교)_충청북도음성군생극면492번지
37,민방위급수시설,11_46_01_P,4470000,4470000-E200200001,2001-12-28,,1,영업/정상,18,사용중,,,,,,200,,충청북도 음성군 대소면 70번지 3호,충청북도 음성군 대소면 오태로 57-16,369-824,민방위비상급수시설(대소면사무소),2026-03-04 10:46:39,U,2026-03-06 02:40:00,,242969.847320515,385677.673020947,충청북도 음성군 대소면 70번지 3호,지자체시설,민방위비상급수시설(대소면사무소),,,민방위비상급수시설(대소면사무소)_충청북도음성군대소면70번지3호
35,민방위급수시설,11_46_01_P,4470000,4470000-E200100002,2001-12-21,,1,영업/정상,18,사용중,,,,,,200,,충청북도 음성군 삼성면 757번지 2호,충청북도 음성군 삼성면 대성로 604-1,369-833,민방위비상급수시설(덕정1리 경로당),2026-03-04 10:46:03,U,2026-03-06 02:40:00,,244333.32831799,390761.478748677,충청북도 음성군 삼성면 757번지 2호,정부지원시설,민방위비상급수시설(덕정1리 경로당),,,민방위비상급수시설(덕정1리경로당)_충청북도음성군삼성면757번지2호
27,민방위급수시설,11_46_01_P,3690000,3690000-E200000001,2000-04-24,,1,영업/정상,18,사용중,,,,,,100,,울산광역시 중구 반구동 43번지 6호,,,반구동급수시설(구교쉼터),2026-03-04 09:50:58,U,2026-03-06 02:40:00,,412086.696973423,231968.479054378,울산광역시 중구 반구동 43번지 6호,정부지원시설,반구동급수시설(구교쉼터),,,반구동급수시설(구교쉼터)_울산광역시중구반구동43번지6호
29,민방위급수시설,11_46_01_P,3690000,3690000-E199900001,1999-12-20,,1,영업/정상,18,사용중,,,,,,100,,울산광역시 중구 태화동 846번지,울산광역시 중구 난곡17길 59 (태화동),681-820,태화동급수시설,2026-03-04 11:03:29,U,2026-03-06 02:40:00,,407146.914054899,230958.390646071,울산광역시 중구 태화동 846번지,정부지원시설,태화동급수시설,,,태화동급수시설_울산광역시중구태화동846번지
44,민방위급수시설,11_46_01_P,3670000,3670000-E199900001,1999-03-07,,1,영업/정상,18,사용중,,,,,,200,,대전광역시 유성구 송강동 200번지 3호,"대전광역시 유성구 구즉로 26 (송강동, 공중화장실)",34010,엉고개어린이공원,2026-03-05 17:33:56,U,2026-03-07 02:40:00,,234367.87859989,325674.49571472,대전광역시 유성구 송강동 200번지 3호,정부지원시설,엉고개어린이공원,,,엉고개어린이공원_대전광역시유성구송강동200번지3호
40,민방위급수시설,11_46_01_P,3380000,3380000-E199900001,1999-03-02,,1,영업/정상,18,사용중,,,,,,95,,부산광역시 수영구 수영동 313번지,부산광역시 수영구 연수로415번길 30-5 (수영동),613-120,청아탕,2026-03-05 17:46:31,U,2026-03-07 02:40:00,,392680.446316694,187581.505438814,부산광역시 수영구 수영동 313번지,공공용시설,청아탕,,,청아탕_부산광역시수영구수영동313번지
3,민방위급수시설,11_46_01_P,3900000,3900000-E199700002,1997-11-13,,1,영업/정상,18,사용중,,,,,,150,,경기도 광명시 하안동 296번지,"경기도 광명시 금당로 11 (하안동, 하안6단지고층주공아파트)",14305,하안주공6단지,2026-03-03 11:10:11,U,2026-03-05 02:40:00,,189144.837497198,439759.329344278,경기도 광명시 하안동 296번지,정부지원시설,하안주공6단지,,,하안주공6단지_경기도광명시하안동296번지
23,민방위급수시설,11_46_01_P,3690000,3690000-E199700007,1997-08-09,,1,영업/정상,18,사용중,,,,,,100,,울산광역시 중구 복산동 191번지 3호,울산광역시 중구 도화골5길 9 (복산동),,영진탕,2026-03-04 11:32:09,U,2026-03-06 02:40:00,,411442.648147966,232194.968440418,울산광역시 중구 복산동 191번지 3호,공공용시설,영진탕,,,영진탕_울산광역시중구복산동191번지3호
31,민방위급수시설,11_46_01_P,3690000,3690000-E199600004,1996-09-01,,1,영업/정상,18,사용중,,,,,,30,,울산광역시 중구 태화동 460번지 3호,울산광역시 중구 신기12길 70 (태화동),681-770,희마아파트급수시설,2026-03-04 10:18:34,U,2026-03-06 02:40:00,,407995.026748391,230740.015850372,울산광역시 중구 태화동 460번지 3호,공공용시설,희마아파트급수시설,,,희마아파트급수시설_울산광역시중구태화동460번지3호
17,민방위급수시설,11_46_01_P,3350000,3350000-E199500016,1995-12-21,,1,영업/정상,18,사용중,,,,,,65,,부산광역시 금정구 구서동 124번지,부산광역시 금정구 체육공원로101번길 51 (구서동),,금단마을,2026-03-04 17:12:15,U,2026-03-06 02:40:00,,390979.841488254,197047.757962242,부산광역시 금정구 구서동 124번지,지자체시설,금단마을,,,금단마을_부산광역시금정구구서동124번지
16,민방위급수시설,11_46_01_P,3350000,3350000-E199500017,1995-12-21,,1,영업/정상,18,사용중,,,,,,123,,부산광역시 금정구 구서동 252번지 7호,부산광역시 금정구 금강로468번길 19 (구서동),609-847,한일APT,2026-03-04 17:13:05,U,2026-03-06 02:40:00,,390086.35684191,196403.548350905,부산광역시 금정구 구서동 252번지 7호,공공용시설,한일APT,,,한일APT_부산광역시금정구구서동252번지7호
20,민방위급수시설,11_46_01_P,3350000,3350000-E199500020,1995-06-11,,1,영업/정상,18,사용중,,,,,,50,,부산광역시 금정구 구서동 563번지 40호,부산광역시 금정구 금샘로229번길 29 (구서동),609-758,금강부광APT,2026-03-04 17:13:54,U,2026-03-06 02:40:00,,389591.648246545,196032.014868699,부산광역시 금정구 구서동 563번지 40호,지자체시설,금강부광APT,,,금강부광APT_부산광역시금정구구서동563번지40호
19,민방위급수시설,11_46_01_P,3350000,3350000-E199500021,1995-01-10,,1,영업/정상,18,사용중,,,,,,70,,부산광역시 금정구 구서동 267번지,부산광역시 금정구 금단로 33 (구서동),609-847,경보APT,2026-03-04 17:14:36,U,2026-03-06 02:40:00,,390389.14291846,196817.87811235,부산광역시 금정구 구서동 267번지,지자체시설,경보APT,,,경보APT_부산광역시금정구구서동267번지
22,민방위급수시설,11_46_01_P,5380000,5380000-E199400007,1994-10-01,,1,영업/정상,18,사용중,,,,,,400,,경상남도 양산시 물금읍 789번지,경상남도 양산시 물금읍 동중1길 7 (양산범어주공3차아파트),50598,물금읍 주공3차아파트(3차관리사무소옆),2026-03-04 14:22:58,U,2026-03-06 02:40:00,,382046.07991172,205130.887830264,경상남도 양산시 물금읍 789번지,공공용시설,물금읍 주공3차아파트(3차관리사무소옆),,,물금읍주공3차아파트(3차관리사무소옆)_경상남도양산시물금읍789번지
21,민방위급수시설,11_46_01_P,5380000,5380000-E199400006,1994-10-01,,1,영업/정상,18,사용중,,,,,,300,,경상남도 양산시 물금읍 823번지,경상남도 양산시 물금읍 동중1길 21 (양산범어주공아파트),50598,물금읍 주공2차아파트(2차관리사무소옆),2026-03-04 14:22:00,U,2026-03-06 02:40:00,,381929.808438271,205252.754654086,경상남도 양산시 물금읍 823번지,공공용시설,물금읍 주공2차아파트(2차관리사무소옆),,,물금읍주공2차아파트(2차관리사무소옆)_경상남도양산시물금읍823번지
1,민방위급수시설,11_46_01_P,3560000,3560000-E199300001,1993-12-05,,1,영업/정상,18,사용중,,,,,,51,,인천광역시 서구 석남동 483 석남체육공원,"인천광역시 서구 가정로294번길 20, 석남체육공원 (석남동)",22784,석남체육공원,2026-03-01 18:04:21,U,2026-03-04 02:40:00,,171196.84481668,445402.497577025,인천광역시 서구 석남동 483 석남체육공원,지자체시설,석남체육공원,,,석남체육공원_인천광역시서구석남동483석남체육공원
28,민방위급수시설,11_46_01_P,3690000,3690000-E199300003,1993-01-01,,1,영업/정상,18,사용중,,,,,,90,,울산광역시 중구 태화동 412번지 2호,울산광역시 중구 신기12길 38 (태화동),681-763,동부아파트급수시설,2026-03-04 10:03:36,U,2026-03-06 02:40:00,,408223.530550221,230599.636070221,울산광역시 중구 태화동 412번지 2호,공공용시설,동부아파트급수시설,,,동부아파트급수시설_울산광역시중구태화동412번지2호
39,민방위급수시설,11_46_01_P,3930000,5550000-E199200001,1992-12-31,,1,영업/정상,18,사용중,,,,,,350,,경기도 안산시 상록구 본오동 880번지,"경기도 안산시 상록구 반석로 8 (본오동, 한양아파트)",15540,한양아파트,2026-03-05 12:15:08,U,2026-03-07 02:40:00,,187595.980278835,421479.053985183,경기도 안산시 상록구 본오동 880번지,공공용시설,한양아파트,,,한양아파트_경기도안산시상록구본오동880번지
15,민방위급수시설,11_46_01_P,3650000,3650000-E199200009,1992-01-01,,1,영업/정상,18,사용중,,,,,,80,,대전광역시 중구 태평동 408번지 11호,"대전광역시 중구 태평로 83 (태평동, 삼부스포렉스)",34885,삼부스포렉스(2),2026-03-04 13:25:11,U,2026-03-06 02:40:00,,235289.359840187,313785.632822544,대전광역시 중구 태평동 408번지 11호,공공용시설,삼부스포렉스(2),,,삼부스포렉스(2)_대전광역시중구태평동408번지11호
14,민방위급수시설,11_46_01_P,3650000,3650000-E199200008,1992-01-01,,1,영업/정상,18,사용중,,,,,,200,,대전광역시 중구 태평동 408번지 11호,"대전광역시 중구 태평로 83 (태평동, 삼부스포렉스)",34885,삼부스포렉스(1),2026-03-04 13:24:53,U,2026-03-06 02:40:00,,235289.359840187,313785.632822544,대전광역시 중구 태평동 408번지 11호,공공용시설,삼부스포렉스(1),,,삼부스포렉스(1)_대전광역시중구태평동408번지11호
32,민방위급수시설,11_46_01_P,3690000,3690000-E198900002,1989-01-01,,1,영업/정상,18,사용중,,,,,,190,,울산광역시 중구 태화동 871번지,"울산광역시 중구 태화로 77 (태화동, 울산제일중학교)",44434,제일중학교급수시설,2026-03-04 10:42:18,U,2026-03-06 02:40:00,,407102.401189731,230705.017231834,울산광역시 중구 태화동 871번지,공공용시설,제일중학교급수시설,,,제일중학교급수시설_울산광역시중구태화동871번지
4,민방위급수시설,11_46_01_P,3900000,3900000-E198600005,1986-02-07,,1,영업/정상,18,사용중,,,,,,190,,경기도 광명시 광명동 200번지 6호,"경기도 광명시 광명로 877 (광명동, 한진아파트)",14287,한진아파트,2026-03-03 09:41:00,U,2026-03-05 02:40:00,,186852.33556751,441740.293414032,경기도 광명시 광명동 200번지 6호,정부지원시설,한진아파트,,,한진아파트_경기도광명시광명동200번지6호
