번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조기수,다중이용업소여부,Unnamed: 44,record_key
557,세탁업,06_20_01_P,4520000,4520000-205-2026-00001,2026-02-04,,1,영업/정상,1,영업,,,,,,41.82,336-857,충청남도 아산시 배방읍 장재리 1686,"충청남도 아산시 배방읍 공원로16번길 30-32, 1층 101호",31470.0,킨더클리닝 천안아산점,2026-02-04 15:37:09,I,2026-02-06 00:20:02,일반세탁업,209036.455719811,364822.490891138,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,0,N,,킨더클리닝천안아산점_충청남도아산시배방읍장재리1686
558,세탁업,06_20_01_P,3530000,3530000-205-2026-00001,2026-02-04,,1,영업/정상,1,영업,,,,,,117.71,405-824,인천광역시 남동구 구월동 1108-18,"인천광역시 남동구 문화로133번길 32, 1층 (구월동)",21559.0,라온세탁 전문점,2026-02-04 10:38:39,I,2026-02-06 00:20:02,일반세탁업,173197.938472081,438826.223652897,일반세탁업,0,0,1,1,0,0,,,,,3,0,0,0,N,,라온세탁전문점_인천광역시남동구구월동1108-18
556,세탁업,06_20_01_P,4050000,5630000-205-2026-00001,2026-02-04,,1,영업/정상,1,영업,,,,,,74.94,446-911,경기도 용인시 기흥구 동백동 622-2,"경기도 용인시 기흥구 평촌2로2번길 3-9, 일부(101)호 (동백동)",17001.0,유모차카시트세탁지우미 용인,2026-02-04 12:02:26,I,2026-02-06 00:20:02,세탁업 기타,213472.478805265,420015.269558651,세탁업 기타,0,0,0,0,0,0,,,,,3,0,0,3,N,,유모차카시트세탁지우미용인_경기도용인시기흥구동백동622-2
585,세탁업,06_20_01_P,4050000,5620000-205-2026-00001,2026-01-30,,1,영업/정상,1,영업,,,,,,42.97,,경기도 용인시 처인구 양지읍 양지리 469-3,"경기도 용인시 처인구 양지읍 양지로 156, 1층 일부",17158.0,희게,2026-02-06 14:07:35,U,2026-02-08 02:40:00,운동화전문세탁업,225267.622930362,414736.315601311,운동화전문세탁업,0,0,0,0,0,0,,,,,3,0,0,3,N,,희게_경기도용인시처인구양지읍양지리469-3
611,세탁업,06_20_01_P,3360000,3360000-205-2026-00001,2026-01-30,,1,영업/정상,1,영업,,,,,,230.4,618-803,부산광역시 강서구 대저1동 374-1,부산광역시 강서구 대저중앙로394번가길 34 (대저1동),46702.0,한탁클린세탁,2026-02-11 10:48:18,U,2026-02-13 02:40:00,세탁업 기타,380831.924979095,192642.230621263,세탁업 기타,1,0,1,1,0,0,,,,,2,0,0,5,N,,한탁클린세탁_부산광역시강서구대저1동374-1
568,세탁업,06_20_01_P,3920000,3920000-205-2026-00001,2026-01-23,,1,영업/정상,1,영업,,,,,,24.4,483-010,경기도 동두천시 송내동 701-1,"경기도 동두천시 평화로2229번길 10-16, 주2동 1층 (송내동)",11365.0,크린토피아 코인워시 365 동두천점,2026-02-03 16:07:46,U,2026-02-06 02:40:00,일반세탁업,204878.541920037,487197.518728157,일반세탁업,0,0,0,0,0,0,,,,임대,5,0,0,4,N,,크린토피아코인워시365동두천점_경기도동두천시송내동701-1
592,세탁업,06_20_01_P,3740000,5610000-205-2026-00001,2026-01-19,,1,영업/정상,1,영업,,,,,,75.6,443-823,경기도 수원시 영통구 원천동 353-17 지층 102호,"경기도 수원시 영통구 신원로294번길 40-8, 지층 102호 (원천동)",16675.0,킨더클리닝 영통점 유모차세탁 카시트세탁,2026-02-09 10:50:59,U,2026-02-11 02:40:00,세탁업 기타,205430.374905015,417635.447500092,세탁업 기타,0,0,0,0,1,1,,,,,1,0,0,0,N,,킨더클리닝영통점유모차세탁카시트세탁_경기도수원시영통구원천동353-17지층102호
533,세탁업,06_20_01_P,3460000,3460000-205-2026-00001,2026-01-15,,1,영업/정상,1,영업,,,,,,72.7,706-800,대구광역시 수성구 두산동 126-15 1층,"대구광역시 수성구 무학로23길 97, 1층 (두산동)",42175.0,슈레브(SHVREVE),2026-02-02 16:49:15,U,2026-02-04 02:40:00,일반세탁업,346491.390982638,260606.811710639,일반세탁업,0,0,1,1,0,0,,,,,1,0,0,0,N,,슈레브(SHVREVE)_대구광역시수성구두산동126-151층
532,세탁업,06_20_01_P,4810000,4810000-205-2026-00001,2026-01-09,,1,영업/정상,1,영업,,,,,,50.91,550-804,전라남도 여수시 교동 345-3,"전라남도 여수시 통제영3길 6, 1층 (교동)",59736.0,제이런드리,2026-02-02 20:05:33,U,2026-02-04 02:40:00,일반세탁업,267159.321605303,138249.602849414,일반세탁업,3,1,1,1,0,0,,,,,2,0,0,2,N,,제이런드리_전라남도여수시교동345-3
297,세탁업,06_20_01_P,5530000,5760000-205-2025-00012,2025-12-31,,1,영업/정상,1,영업,,,,,,66.56,,경기도 화성시 병점구 안녕동  186-9,"경기도 화성시 병점구 효행로 528-20, 1층 일부호 (안녕동)",,주식회사 세탁포유,2025-12-31 13:37:04,I,2026-02-04 01:35:23,일반세탁업,199239.096157891,411473.615640854,일반세탁업,0,0,1,1,0,0,,,,,2,0,0,2,N,,주식회사세탁포유_경기도화성시병점구안녕동186-9
309,세탁업,06_20_01_P,5530000,5750000-205-2025-00011,2025-12-09,,1,영업/정상,1,영업,,,,,,198.0,,경기도 화성시 효행구 봉담읍 당하리 31 1층 전체,"경기도 화성시 효행구 봉담읍 노루고개길 22-6, 1층 전체",,워시팩토리,2025-12-09 10:06:37,I,2026-02-04 01:35:23,세탁업 기타,194754.810613343,409363.216588982,세탁업 기타,0,0,0,0,0,0,,,,,3,0,0,3,N,,워시팩토리_경기도화성시효행구봉담읍당하리311층전체
272,세탁업,06_20_01_P,5530000,5770000-205-2025-00009,2025-11-19,,1,영업/정상,1,영업,,,,,,101.31,,경기도 화성시 동탄구 석우동  11-15,"경기도 화성시 동탄구 동학산1길 10-29, 1층 전체호 (석우동)",,킨더클리닝 동탄점 유모차세탁 카시트세탁,2025-11-19 15:55:24,I,2026-02-04 01:35:23,일반세탁업,206706.450879742,413413.907316205,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,0,N,,킨더클리닝동탄점유모차세탁카시트세탁_경기도화성시동탄구석우동11-15
612,세탁업,06_20_01_P,4530000,4530000-205-2025-00004,2025-11-13,,1,영업/정상,1,영업,,,,,,101.4,356-832,충청남도 서산시 운산면 갈산리 430-6,"충청남도 서산시 운산면 운암로 1008, 나동",31945.0,에코크린,2026-02-11 15:57:34,U,2026-02-13 02:40:00,일반세탁업,162424.672676819,367820.411895773,일반세탁업,1,0,1,1,0,0,,,,임대,3,0,0,1,N,,에코크린_충청남도서산시운산면갈산리430-6
288,세탁업,06_20_01_P,5530000,5740000-205-2025-00008,2025-09-18,,1,영업/정상,1,영업,,,,,,81.95,,경기도 화성시 만세구 새솔동 99-3,"경기도 화성시 만세구 노들길 6-12, 105,106호 (새솔동)",,신명품사세탁소,2025-09-18 11:35:25,I,2026-02-04 01:35:23,일반세탁업,183920.356849265,419827.905437961,일반세탁업,0,0,0,0,0,0,,,,,0,0,0,0,N,,신명품사세탁소_경기도화성시만세구새솔동99-3
302,세탁업,06_20_01_P,5530000,5740000-205-2025-00007,2025-09-12,,1,영업/정상,1,영업,,,,,,49.5,,경기도 화성시 만세구 우정읍 주곡리 937-14,"경기도 화성시 만세구 우정읍 쌍봉로 577, 나동",,킨더클리닝 화성 유모차세탁 카시트세탁,2025-11-18 14:23:35,I,2026-02-04 01:35:23,일반세탁업,181737.659796954,402361.316644881,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,0,N,,킨더클리닝화성유모차세탁카시트세탁_경기도화성시만세구우정읍주곡리937-14
363,세탁업,06_20_01_P,5530000,5740000-205-2025-00006,2025-08-20,,1,영업/정상,1,영업,,,,,,195.5,,경기도 화성시 만세구 향남읍 발안리 13,"경기도 화성시 만세구 향남읍 발안만세길 71, 1층",,화성시 블루밍 세탁소,2025-08-20 16:39:32,I,2026-02-04 01:35:23,일반세탁업,191015.653407756,403140.158308227,일반세탁업,0,0,0,0,0,0,,,,,0,0,0,0,N,,화성시블루밍세탁소_경기도화성시만세구향남읍발안리13
362,세탁업,06_20_01_P,5530000,5750000-205-2025-00005,2025-06-10,,1,영업/정상,1,영업,,,,,,54.99,,경기도 화성시 효행구 매송면 원평리 134,"경기도 화성시 효행구 매송면 화성로2358번길 3, 104호",,신데렐라세탁 본사세탁실,2025-06-10 14:29:30,I,2026-02-04 01:35:23,일반세탁업,193142.708411727,416447.707682607,일반세탁업,0,0,0,0,0,0,,,,,0,0,0,0,N,,신데렐라세탁본사세탁실_경기도화성시효행구매송면원평리134
307,세탁업,06_20_01_P,5530000,5750000-205-2025-00004,2025-05-14,,1,영업/정상,1,영업,,,,,,93.29,,경기도 화성시 효행구 봉담읍 왕림리 166-9,"경기도 화성시 효행구 봉담읍 주석로1112번길 16-2, 나동",,한영,2025-05-14 14:26:12,I,2026-02-04 01:35:23,세탁업 기타,194177.60241834,410982.353518718,세탁업 기타,0,0,0,0,0,0,,,,,0,0,0,0,N,,한영_경기도화성시효행구봉담읍왕림리166-9
274,세탁업,06_20_01_P,5530000,5740000-205-2025-00003,2025-02-13,,1,영업/정상,1,영업,,,,,,66.24,,경기도 화성시 만세구 남양읍 남양리 2029-5 101호,"경기도 화성시 만세구 남양읍 역골로50번길 10-10, 101호",,유모차 카시트 세탁 꼼꼬미,2025-02-21 11:32:03,I,2026-02-04 01:35:23,일반세탁업,184559.405787933,411343.938668908,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,0,N,,유모차카시트세탁꼼꼬미_경기도화성시만세구남양읍남양리2029-5101호
624,세탁업,06_20_01_P,4000000,4000000-205-2025-00002,2025-02-12,,1,영업/정상,1,영업,,,,,,46.86,447-220,경기도 오산시 내삼미동 861-14 1층 일부호,"경기도 오산시 수청로 30-9, 1층 일부호 (내삼미동)",18110.0,크린팡팡,2026-02-13 16:35:31,U,2026-02-15 02:40:00,일반세탁업,205178.226880788,407933.36682709,일반세탁업,5,0,1,1,0,0,,,,임대,3,0,0,0,N,,크린팡팡_경기도오산시내삼미동861-141층일부호
359,세탁업,06_20_01_P,5530000,5760000-205-2025-00010,2025-02-03,,1,영업/정상,1,영업,,,,,,107.25,,경기도 화성시 병점구 반정동  124-49 1동 1층 일부호,"경기도 화성시 병점구 반정로 178-41, 1동 1층 일부호 (반정동)",,묵찌빠클린,2025-12-04 14:21:57,I,2026-02-04 01:35:23,일반세탁업,203680.089871839,414701.099437498,일반세탁업,3,0,1,1,0,0,,,,임대,0,0,0,0,N,,묵찌빠클린_경기도화성시병점구반정동124-491동1층일부호
271,세탁업,06_20_01_P,5530000,5770000-205-2025-00002,2025-01-21,,1,영업/정상,1,영업,,,,,,46.8,,경기도 화성시 동탄구 영천동  873-4,"경기도 화성시 동탄구 동탄대로 636-3, 동탄역 메가비즈타워 C동 1층 103호 (영천동)",,대방세탁소,2025-01-21 13:44:37,I,2026-02-04 01:35:23,일반세탁업,208773.208500488,412073.497774566,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,1,N,,대방세탁소_경기도화성시동탄구영천동873-4
270,세탁업,06_20_01_P,5530000,5740000-205-2025-00001,2025-01-07,,1,영업/정상,1,영업,,,,,,26.5,,경기도 화성시 만세구 팔탄면 구장리 553-7,경기도 화성시 만세구 팔탄면 서촌길 25,,팔탄세탁하다,2025-10-01 10:32:50,I,2026-02-04 01:35:23,일반세탁업,191369.867754818,406661.761091446,일반세탁업,1,0,0,0,0,0,,,,,2,0,0,1,N,,팔탄세탁하다_경기도화성시만세구팔탄면구장리553-7
589,세탁업,06_20_01_P,3030000,3030000-205-2025-00002,2025-01-06,,1,영업/정상,1,영업,,,,,,21.58,133-070,서울특별시 성동구 행당동 346 행당 한진타운 종합상가,"서울특별시 성동구 행당로 84, 행당 한진타운 종합상가 종합상가동 지하1층 B125-2호 (행당동)",4717.0,한진세탁,2026-02-06 11:22:43,U,2026-02-08 02:40:00,일반세탁업,202511.142930696,450401.303715561,일반세탁업,0,0,0,0,0,0,,,,,1,0,0,0,N,,한진세탁_서울특별시성동구행당동346행당한진타운종합상가
398,세탁업,06_20_01_P,5530000,5740000-205-2024-00009,2024-12-11,,1,영업/정상,1,영업,,,,,,335.7,,경기도 화성시 만세구 남양읍 북양리 562-21,"경기도 화성시 만세구 남양읍 주석로325번길 13, 3동",,(주)한화기업,2025-01-06 17:02:47,I,2026-02-04 01:35:23,세탁업 기타,187819.828501967,411724.994321594,세탁업 기타,0,0,0,0,0,0,,,,,0,0,0,0,N,,(주)한화기업_경기도화성시만세구남양읍북양리562-21
584,세탁업,06_20_01_P,4060000,4060000-205-2024-00004,2024-10-08,,3,폐업,2,폐업,2026-02-06,,,,,203.0,413-852,경기도 파주시 광탄면 방축리 284-1,경기도 파주시 광탄면 방축길 120,10831.0,삼봉산업기계,2026-02-06 15:57:08,U,2026-02-08 02:40:00,세탁업 기타,187390.370279119,478791.484344001,세탁업 기타,1,0,1,1,0,0,,,,임대,4,0,1,3,N,,삼봉산업기계_경기도파주시광탄면방축리284-1
196,세탁업,06_20_01_P,5530000,5770000-205-2024-00008,2024-09-04,,1,영업/정상,1,영업,,,,,031 376 5186,142.68,,경기도 화성시 동탄구 영천동  798-7,"경기도 화성시 동탄구 동탄기흥로520번가길 6, 1층 전체호 (영천동)",,라온세탁전문점(Raon wash),2024-09-04 15:58:52,I,2026-02-04 01:35:23,일반세탁업,208237.625,411748.859999999,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,3,N,,라온세탁전문점(Raonwash)_경기도화성시동탄구영천동798-7
610,세탁업,06_20_01_P,3930000,5560000-205-2024-00001,2024-07-18,,1,영업/정상,1,영업,,,,,,106.59,425-852,경기도 안산시 단원구 원시동 768-1 대우테크노피아아파트형공장DT 408호,"경기도 안산시 단원구 산단로 296, 대우테크노피아아파트형공장DT 408호 (원시동)",15433.0,실버크린플러스,2026-02-11 15:41:14,U,2026-02-13 02:40:00,일반세탁업,181174.40591547,424448.569834666,일반세탁업,0,0,0,0,0,0,,,,,2,1,2,6,N,,실버크린플러스_경기도안산시단원구원시동768-1대우테크노피아아파트형공장DT408호
241,세탁업,06_20_01_P,5530000,5750000-205-2024-00007,2024-06-13,,1,영업/정상,1,영업,,,,,,165.0,,경기도 화성시 효행구 봉담읍 덕우리 180-1 주건축물제5동,"경기도 화성시 효행구 봉담읍 덕우공단1길 38, 주건축물제5동",,진솔클린,2025-02-12 16:12:34,I,2026-02-04 01:35:23,세탁업 기타,192686.50308605,406470.914683054,세탁업 기타,0,0,0,0,0,0,,,,,3,0,0,4,N,,진솔클린_경기도화성시효행구봉담읍덕우리180-1주건축물제5동
308,세탁업,06_20_01_P,5530000,5750000-205-2024-00006,2024-04-09,,3,폐업,2,폐업,2024-10-10,,,,,339.75,,경기도 화성시 효행구 기안동  242-1,"경기도 화성시 효행구 효행로205번길 94, 2동 1층 전체호 (기안동)",,드림크리닝,2024-10-10 10:02:55,I,2026-02-04 01:35:23,세탁업 기타,198124.135614069,413891.904276903,세탁업 기타,0,0,1,1,0,0,,,,,2,0,0,2,N,,드림크리닝_경기도화성시효행구기안동242-1
175,세탁업,06_20_01_P,5530000,5750000-205-2024-00005,2024-03-18,,1,영업/정상,1,영업,,,,,,190.0,,경기도 화성시 효행구 정남면 괘랑리 456-1 2동 1층 전체호,"경기도 화성시 효행구 정남면 괘랑2길 52-5, 2동 1층 전체호",,런드리피플,2024-03-18 14:16:51,I,2026-02-04 01:35:23,세탁업 기타,199292.877718666,409549.861792838,세탁업 기타,0,0,1,1,0,0,,,,,3,0,1,3,N,,런드리피플_경기도화성시효행구정남면괘랑리456-12동1층전체호
358,세탁업,06_20_01_P,5530000,5740000-205-2024-00004,2024-02-22,,1,영업/정상,1,영업,,,,,,43.77,,경기도 화성시 만세구 남양읍 남양리 2002 대광파인밸리아파트,"경기도 화성시 만세구 남양읍 시청로 219, 대광파인밸리아파트 105,105-1호",,대광세탁소,2024-02-22 17:01:20,I,2026-02-04 01:35:23,일반세탁업,185208.591894624,410292.577805098,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,1,N,,대광세탁소_경기도화성시만세구남양읍남양리2002대광파인밸리아파트
240,세탁업,06_20_01_P,5530000,5750000-205-2024-00003,2024-02-19,,1,영업/정상,1,영업,,,,,,186.2,,경기도 화성시 효행구 봉담읍 유리 113-1 1층,"경기도 화성시 효행구 봉담읍 전원길 6-23, 1층",,DY실버크린,2025-04-07 11:01:23,I,2026-02-04 01:35:23,일반세탁업,194086.630940292,408593.012418007,일반세탁업,1,0,1,1,0,0,,,,,2,0,0,2,N,,DY실버크린_경기도화성시효행구봉담읍유리113-11층
553,세탁업,06_20_01_P,5080000,5080000-205-2024-00002,2024-01-31,,1,영업/정상,1,영업,,,,,,51.3,730-908,경상북도 구미시 도량동 205 1층,"경상북도 구미시 송동로7길 15-17, 1층 (도량동)",39200.0,워시라이프,2026-01-30 11:33:19,U,2026-02-04 11:04:37,일반세탁업,318717.105757397,294500.558654474,일반세탁업,2,0,1,1,0,0,,,,,1,0,0,2,N,,워시라이프_경상북도구미시도량동2051층
143,세탁업,06_20_01_P,5530000,5750000-205-2024-00002,2024-01-16,,1,영업/정상,1,영업,,,,,,196.0,,경기도 화성시 효행구 배양동  35-33,"경기도 화성시 효행구 배양북길 31-4, 1동 1층 (배양동)",,THE(더)세탁,2024-01-16 13:46:45,I,2026-02-04 01:35:23,세탁업 기타,199582.545075856,413749.648793536,세탁업 기타,0,0,0,0,0,0,,,,,2,0,0,3,N,,THE(더)세탁_경기도화성시효행구배양동35-33
281,세탁업,06_20_01_P,5530000,5770000-205-2024-00001,2024-01-05,,3,폐업,2,폐업,2026-01-19,,,,03180150992,38.0,,경기도 화성시 동탄구 반송동  190-2,"경기도 화성시 동탄구 10용사로 563, 1층 104호 (반송동)",,운동화 세탁박스,2026-01-19 15:06:17,I,2026-02-04 01:35:23,운동화전문세탁업,206335.166047949,409669.588741318,운동화전문세탁업,0,0,0,0,0,0,,,,,1,0,0,2,N,,운동화세탁박스_경기도화성시동탄구반송동190-2
279,세탁업,06_20_01_P,5530000,5740000-205-2023-00011,2023-12-12,,1,영업/정상,1,영업,,,,,,73.8,,"경기도 화성시 만세구 향남읍 하길리 1505 화성향남오색마을사랑으로부영11단지 상가동 1층 103, 103-1호","경기도 화성시 만세구 향남읍 하길로 9, 상가동 1층 103, 103-1호 (화성향남오색마을사랑으로부영11단지)",,부영911세탁소,2023-12-12 14:14:48,I,2026-02-04 01:35:23,일반세탁업,192565.579586027,400969.211320154,일반세탁업,0,0,1,1,0,0,,,,,2,0,0,3,N,,"부영911세탁소_경기도화성시만세구향남읍하길리1505화성향남오색마을사랑으로부영11단지상가동1층103,103-1호"
282,세탁업,06_20_01_P,5530000,5740000-205-2023-00010,2023-11-24,,1,영업/정상,1,영업,,,,,,198.0,,경기도 화성시 만세구 장안면 독정리 129-5,"경기도 화성시 만세구 장안면 수정로 160, 근생A동",,이마오코리아,2025-08-27 17:00:45,I,2026-02-04 01:35:23,세탁업 기타,187496.686889286,397615.029154067,세탁업 기타,0,0,1,1,0,0,,,,,2,0,0,2,N,,이마오코리아_경기도화성시만세구장안면독정리129-5
304,세탁업,06_20_01_P,5530000,5750000-205-2023-00009,2023-10-25,,1,영업/정상,1,영업,,,,,,198.0,,경기도 화성시 효행구 비봉면 자안리 559-5,"경기도 화성시 효행구 비봉면 푸른들판로1125번길 14, 1동 1층 전체호",,에이스텐트세탁,2023-10-25 13:19:02,I,2026-02-04 01:35:23,세탁업 기타,188594.847656331,411307.720964042,세탁업 기타,0,0,0,0,0,0,,,,,1,0,0,0,N,,에이스텐트세탁_경기도화성시효행구비봉면자안리559-5
197,세탁업,06_20_01_P,5530000,5750000-205-2023-00008,2023-10-17,,1,영업/정상,1,영업,,,,,,82.08,,경기도 화성시 효행구 봉담읍 유리 439-5,,,"세탁,군장판매소",2023-10-17 13:59:42,I,2026-02-04 01:35:23,세탁업 기타,192824.807405044,407649.836483814,세탁업 기타,0,0,0,0,0,0,,,,,1,0,0,0,N,,"세탁,군장판매소_경기도화성시효행구봉담읍유리439-5"
300,세탁업,06_20_01_P,5530000,5770000-205-2023-00007,2023-08-25,,1,영업/정상,1,영업,,,,,,118.86,,경기도 화성시 동탄구 방교동  755-9,"경기도 화성시 동탄구 동탄기흥로257번나길 24-18, 1층 전체호 (방교동)",,아가꺼,2023-08-25 11:21:07,I,2026-02-04 01:35:23,일반세탁업,207845.760165074,408898.075551145,일반세탁업,0,0,0,0,0,0,,,,,2,0,0,0,N,,아가꺼_경기도화성시동탄구방교동755-9
299,세탁업,06_20_01_P,5530000,5770000-205-2023-00006,2023-08-02,,1,영업/정상,1,영업,,,,,,52.47,,경기도 화성시 동탄구 영천동  738-12,"경기도 화성시 동탄구 동탄치동천로3길 16, 1층 일부(101호)호 (영천동)",,세탁하는 남자들,2023-08-02 14:11:53,I,2026-02-04 01:35:23,일반세탁업,210839.320527148,411363.652922907,일반세탁업,0,0,1,1,0,0,,,,임대,1,0,0,2,N,,세탁하는남자들_경기도화성시동탄구영천동738-12
