번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,Unnamed: 44,record_key
877,숙박업,03_11_03_P,6520000,6520000-214-2026-00001,2026-02-23,,1,영업/정상,1,영업,,,,,,470.84,699-941,제주특별자치도 서귀포시 남원읍 남원리 1142-1,제주특별자치도 서귀포시 남원읍 남위남성로 32,63619.0,스테이 다담가,2026-02-24 09:13:57,I,2026-02-26 00:20:08,숙박업(생활),172568.922857957,-23487.0636605353,숙박업(생활),1,0,1,1,0,0,0,7,,,,자가,0.0,0.0,N,,스테이다담가_제주특별자치도서귀포시남원읍남원리1142-1
785,숙박업,03_11_03_P,3650000,3650000-214-2026-00004,2026-02-20,,1,영업/정상,1,영업,,,,,,0.0,301-802,"대전광역시 중구 대흥동 117-5 3,4층","대전광역시 중구 대흥로 162, 3,4층 (대흥동)",34928.0,리밤스테이(RE:BAMSTAY),2026-02-20 10:42:19,I,2026-02-22 00:20:02,숙박업(생활),238537.752331843,313847.637935513,숙박업(생활),0,0,0,0,0,0,0,0,,,,,0.0,0.0,N,,"리밤스테이(RE:BAMSTAY)_대전광역시중구대흥동117-53,4층"
786,숙박업,03_11_03_P,3030000,3030000-201-2026-00002,2026-02-20,,1,영업/정상,1,영업,,,,,,497.0,133-847,서울특별시 성동구 용답동 228-12,서울특별시 성동구 자동차시장1길 27 (용답동),4808.0,호텔27,2026-02-20 16:56:29,I,2026-02-22 00:20:02,관광호텔,205288.987166136,451015.467879096,관광호텔,0,0,2,4,1,0,0,27,,,,임대,0.0,0.0,N,,호텔27_서울특별시성동구용답동228-12
741,숙박업,03_11_03_P,4170000,4170000-214-2026-00005,2026-02-19,,1,영업/정상,1,영업,,,,,,78.75,476-884,경기도 양평군 양동면 단석리 940-11,경기도 양평군 양동면 거단길 48-23,12538.0,꿈꾸는별장16동,2026-02-19 13:35:10,I,2026-02-21 00:20:05,숙박업(생활),263089.613138676,432848.432298882,숙박업(생활),0,0,1,2,0,0,1,0,,,,자가,0.0,0.0,N,,꿈꾸는별장16동_경기도양평군양동면단석리940-11
739,숙박업,03_11_03_P,4620000,4620000-214-2026-00002,2026-02-19,,1,영업/정상,1,영업,,,,,,362.93,357-951,충청남도 태안군 남면 신장리 306-6,충청남도 태안군 남면 신장길 33-8,32153.0,몽야338,2026-02-19 17:26:36,I,2026-02-21 00:20:05,숙박업(생활),136269.28201426,353142.296032543,숙박업(생활),0,0,1,3,0,0,0,4,,,,,0.0,0.0,N,,몽야338_충청남도태안군남면신장리306-6
903,숙박업,03_11_03_P,5070000,5070000-214-2026-00001,2026-02-19,,1,영업/정상,1,영업,,,,,,213.1,760-240,경상북도 안동시 옥야동 296-12,"경상북도 안동시 중앙시장1길 9-4, 1~3층 (옥야동)",36698.0,안동 온,2026-02-24 11:24:24,U,2026-02-26 02:40:00,숙박업(생활),354049.711811112,341750.265319419,숙박업(생활),3,0,1,3,0,0,0,3,,,,,0.0,0.0,N,,안동온_경상북도안동시옥야동296-12
743,숙박업,03_11_03_P,4420000,4420000-201-2026-00001,2026-02-19,,1,영업/정상,1,영업,,,,,,1056.81,376-863,충청북도 보은군 속리산면 사내리 310-20 민박집,충청북도 보은군 속리산면 사내6길 19,28908.0,라온호텔,2026-02-19 14:04:04,I,2026-02-21 00:20:05,여관업,273408.922475769,337089.789321269,여관업,0,0,0,0,0,0,0,14,,,,,0.0,0.0,N,,라온호텔_충청북도보은군속리산면사내리310-20민박집
742,숙박업,03_11_03_P,3010000,3010000-201-2026-00006,2026-02-19,,1,영업/정상,1,영업,,,,,,417.28,100-810,서울특별시 중구 명동2가 53-9,"서울특별시 중구 명동4길 35, 3,4층 (명동2가)",4536.0,호텔온유,2026-02-19 11:26:36,I,2026-02-21 00:20:05,일반호텔,198526.809718956,451090.607143509,일반호텔,6,1,3,4,0,0,0,10,,,,임대,0.0,0.0,N,,호텔온유_서울특별시중구명동2가53-9
740,숙박업,03_11_03_P,3000000,3000000-201-2026-00003,2026-02-19,,1,영업/정상,1,영업,,,,,,231.4,110-111,서울특별시 종로구 관철동 19-20 삼보빌딩,"서울특별시 종로구 삼일대로17길 52, 삼보빌딩 3층 (관철동)",3189.0,에코 종로,2026-02-19 10:13:41,I,2026-02-21 00:20:05,숙박업 기타,198568.77792237,451891.299622979,숙박업 기타,0,0,3,3,0,0,0,12,,,,,0.0,0.0,N,,에코종로_서울특별시종로구관철동19-20삼보빌딩
762,숙박업,03_11_03_P,6510000,6510000-201-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,,1506.33,695-965,제주특별자치도 제주시 조천읍 함덕리 3061 제주 함덕 라마다호텔,"제주특별자치도 제주시 조천읍 신북로 470, 제주 함덕 라마다호텔",63333.0,주식회사라마다제주함덕호텔,2026-02-19 11:35:12,U,2026-02-21 02:40:00,일반호텔,168326.69937886,5247.90259858037,일반호텔,0,0,1,8,1,1,1,29,,,,,0.0,0.0,N,,주식회사라마다제주함덕호텔_제주특별자치도제주시조천읍함덕리3061제주함덕라마다호텔
957,숙박업,03_11_03_P,3930000,3930000-214-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,02516 3393,3970.13,425-110,경기도 안산시 단원구 성곡동 844-2 하프문아일랜드,"경기도 안산시 단원구 반달섬1로 12, 하프문아일랜드 일부(108실)호 (성곡동)",15656.0,큐브스테이Ⅳ,2026-02-25 11:35:51,U,2026-02-27 02:40:00,숙박업(생활),176319.785792465,422241.182198148,숙박업(생활),0,0,0,0,0,0,0,108,,,,,0.0,0.0,N,,큐브스테이Ⅳ_경기도안산시단원구성곡동844-2하프문아일랜드
705,숙박업,03_11_03_P,3010000,3010000-214-2026-00008,2026-02-13,,1,영업/정상,1,영업,,,,,,29.59,100-847,서울특별시 중구 을지로3가 282-7,"서울특별시 중구 을지로16길 2-1, 3층 (을지로3가)",4549.0,로스터블록,2026-02-13 15:58:24,I,2026-02-15 00:20:02,숙박업(생활),199353.972647661,451539.691052825,숙박업(생활),3,0,3,0,0,0,0,1,,,,임대,0.0,0.0,N,,로스터블록_서울특별시중구을지로3가282-7
701,숙박업,03_11_03_P,3270000,3270000-214-2026-00008,2026-02-13,,1,영업/정상,1,영업,,,,,,0.0,601-829,부산광역시 동구 초량동 291-3 가람 원룸,"부산광역시 동구 초량중로77번길 3, 2,4~9층 일부호 (초량동, 가람 원룸)",48814.0,가람,2026-02-13 16:21:24,I,2026-02-15 00:20:02,숙박업(생활),385799.377912526,181869.747891545,숙박업(생활),0,0,0,0,0,0,0,34,,,,,0.0,0.0,N,,가람_부산광역시동구초량동291-3가람원룸
702,숙박업,03_11_03_P,4160000,4160000-214-2026-00003,2026-02-13,,1,영업/정상,1,영업,,,,,,140.94,477-841,"경기도 가평군 북면 제령리 534-4 주1동, 1층 일부","경기도 가평군 북면 꽃넘이길 51, 주1동, 1층 일부",12405.0,별빛마루펜션계곡유원지,2026-02-13 13:47:17,I,2026-02-15 00:20:02,숙박업(생활),246206.954922585,488343.235572746,숙박업(생활),1,1,1,1,0,0,0,1,,,,임대,0.0,0.0,N,,"별빛마루펜션계곡유원지_경기도가평군북면제령리534-4주1동,1층일부"
703,숙박업,03_11_03_P,5340000,5340000-214-2026-00001,2026-02-13,,1,영업/정상,1,영업,,,,,,197.33,664-240,경상남도 사천시 서금동 145-4 구찌가요방,"경상남도 사천시 목섬길 113, 2층 (서금동)",52568.0,마중스테이,2026-02-13 10:29:30,I,2026-02-15 00:20:02,숙박업(생활),298245.507497818,159061.247683524,숙박업(생활),2,0,2,2,0,0,0,7,,,,,0.0,1.0,N,,마중스테이_경상남도사천시서금동145-4구찌가요방
704,숙박업,03_11_03_P,3000000,3000000-201-2026-00002,2026-02-13,,1,영업/정상,1,영업,,,,,,296.95,110-111,서울특별시 종로구 관철동 12-6 채헌빌딩,"서울특별시 종로구 삼일대로15길 18, 채헌빌딩 4~6층 (관철동)",3190.0,유닛제이호스텔,2026-02-13 13:12:33,I,2026-02-15 00:20:02,숙박업 기타,198737.712476986,451849.035148545,숙박업 기타,0,0,4,6,0,0,0,21,,,,,0.0,0.0,N,,유닛제이호스텔_서울특별시종로구관철동12-6채헌빌딩
667,숙박업,03_11_03_P,5020000,5040000-214-2026-00002,2026-02-11,,1,영업/정상,1,영업,,,,,,564.72,791-921,경상북도 포항시 북구 청하면 이가리 556-1 1~3층,"경상북도 포항시 북구 청하면 해안로 2092, 1~3층",37518.0,안도 by 네이처,2026-02-12 14:46:05,I,2026-02-14 00:20:02,숙박업(생활),414383.150122818,300893.624811761,숙박업(생활),3,0,1,3,0,0,0,6,,,,자가,0.0,0.0,N,,안도by네이처_경상북도포항시북구청하면이가리556-11~3층
629,숙박업,03_11_03_P,4170000,4170000-214-2026-00004,2026-02-11,,1,영업/정상,1,영업,,,,,,199.56,476-852,경기도 양평군 단월면 산음리 335-1,경기도 양평군 단월면 석산로 961,12527.0,산음골,2026-02-11 10:39:14,I,2026-02-13 00:20:38,숙박업(생활),252845.826726253,456582.99600937,숙박업(생활),2,0,1,2,0,0,4,0,,,,자가,0.0,0.0,N,,산음골_경기도양평군단월면산음리335-1
628,숙박업,03_11_03_P,4351000,4351000-214-2026-00004,2026-02-11,,1,영업/정상,1,영업,,,,,,24468.9,,강원특별자치도 양양군 강현면 주청리 2-9 세인트존스양양더스위트,"강원특별자치도 양양군 강현면 일출로 31-20, 세인트존스양양더스위트",25009.0,세인트 더 스위트 양양,2026-02-11 11:26:11,I,2026-02-13 00:20:38,숙박업(생활),343062.905781964,514080.3815641,숙박업(생활),23,6,3,23,0,0,0,216,,,,임대,0.0,0.0,N,,세인트더스위트양양_강원특별자치도양양군강현면주청리2-9세인트존스양양더스위트
625,숙박업,03_11_03_P,4430000,4430000-201-2026-00001,2026-02-11,,1,영업/정상,1,영업,,,,,043 733 0870,451.39,373-804,충청북도 옥천군 옥천읍 교동리 86-11,충청북도 옥천군 옥천읍 성왕로 1454,29027.0,메모리 무인텔,2026-02-11 14:21:36,I,2026-02-13 00:20:38,여관업,,,여관업,3,1,0,0,0,0,0,17,,,,임대,0.0,0.0,N,,메모리무인텔_충청북도옥천군옥천읍교동리86-11
600,숙박업,03_11_03_P,4201000,4201000-201-2026-00002,2026-02-10,,1,영업/정상,1,영업,,,,,,61.19,,강원특별자치도 강릉시 교동 207-24,"강원특별자치도 강릉시 율곡로2874번길 35-1, 1층 (교동)",25491.0,이지비네 하우스,2026-02-10 22:27:56,I,2026-02-12 00:20:02,여관업,367195.702064887,475004.102223298,여관업,1,0,0,0,0,0,4,0,,,,,0.0,0.0,N,,이지비네하우스_강원특별자치도강릉시교동207-24
601,숙박업,03_11_03_P,4701000,4701000-214-2026-00001,2026-02-10,,1,영업/정상,1,영업,,,,,,102.93,,전북특별자치도 남원시 산내면 백일리 21,"전북특별자치도 남원시 산내면 천왕봉로 871-146, 주2~3동 1층",55804.0,산자락,2026-02-10 11:27:35,I,2026-02-12 00:20:02,숙박업(생활),259052.745298578,212941.64858301,숙박업(생활),1,0,1,1,0,0,0,2,,,,자가,0.0,0.0,N,,산자락_전북특별자치도남원시산내면백일리21
602,숙박업,03_11_03_P,5250000,5250000-201-2026-00001,2026-02-10,,1,영업/정상,1,영업,,,,,,413.75,767-863,경상북도 울진군 매화면 덕신리 119-5 망양휴게소,"경상북도 울진군 매화면 망양북로 30, 망양휴게소 1층",36341.0,까사인디고,2026-02-10 17:33:14,I,2026-02-12 00:20:02,관광호텔,415834.119786697,377359.565164051,관광호텔,1,2,1,1,1,2,0,13,,,,임대,0.0,0.0,N,,까사인디고_경상북도울진군매화면덕신리119-5망양휴게소
605,숙박업,03_11_03_P,4251000,4251000-214-2026-00003,2026-02-10,,1,영업/정상,1,영업,,,,,,636.75,,강원특별자치도 홍천군 서석면 생곡리 507-5,강원특별자치도 홍천군 서석면 고분대월길 14-25,25167.0,좋은집팬션,2026-02-10 14:57:36,I,2026-02-12 00:20:02,숙박업(생활),309869.37369141,467100.123507033,숙박업(생활),1,0,1,1,0,0,0,15,,,,자가,0.0,0.0,N,,좋은집팬션_강원특별자치도홍천군서석면생곡리507-5
604,숙박업,03_11_03_P,4870000,4870000-214-2026-00002,2026-02-10,,1,영업/정상,1,영업,,,,,,638.34,542-832,전라남도 구례군 산동면 관산리 723-5,전라남도 구례군 산동면 하관길 49-31,57604.0,그곳구례,2026-02-10 13:32:50,I,2026-02-12 00:20:02,숙박업(생활),241945.22475794,201921.793329173,숙박업(생활),1,0,1,0,0,0,0,5,,,,,0.0,0.0,N,,그곳구례_전라남도구례군산동면관산리723-5
627,숙박업,03_11_03_P,3270000,3270000-214-2026-00005,2026-02-09,,1,영업/정상,1,영업,,,,,,113.08,601-838,부산광역시 동구 초량동 1194-3,"부산광역시 동구 중앙대로236번길 3-10, 2층 (초량동)",48732.0,스테이이재,2026-02-11 11:13:06,I,2026-02-13 00:20:38,숙박업(생활),386117.90612339,181837.644847437,숙박업(생활),5,1,2,2,0,0,0,3,,,,,0.0,0.0,N,,스테이이재_부산광역시동구초량동1194-3
562,숙박업,03_11_03_P,4251000,4251000-214-2026-00002,2026-02-09,,1,영업/정상,1,영업,,,,,,146.99,,강원특별자치도 홍천군 서면 마곡리 14-2,강원특별자치도 홍천군 서면 마곡길 157,25100.0,마루마리,2026-02-09 15:38:11,I,2026-02-11 00:20:41,숙박업(생활),251518.57006326,469425.846038585,숙박업(생활),1,0,1,0,0,0,0,4,,,,자가,0.0,0.0,N,,마루마리_강원특별자치도홍천군서면마곡리14-2
561,숙박업,03_11_03_P,5050000,5050000-214-2026-00001,2026-02-09,,1,영업/정상,1,영업,,,,,,0.0,780-932,경상북도 경주시 노서동 176-40,"경상북도 경주시 태종로699번길 29, 2층 (노서동)",38157.0,stay 더 쉼,2026-02-09 17:45:21,I,2026-02-11 00:20:41,숙박업(생활),399115.371658399,262359.244282839,숙박업(생활),0,0,0,0,0,0,0,0,,,,,0.0,0.0,N,,stay더쉼_경상북도경주시노서동176-40
626,숙박업,03_11_03_P,3270000,3270000-214-2026-00006,2026-02-09,,1,영업/정상,1,영업,,,,,,128.77,601-827,부산광역시 동구 초량동 167-6,"부산광역시 동구 중앙대로251번길 18, 2층 (초량동)",48798.0,마레루나,2026-02-11 17:23:59,I,2026-02-13 00:20:38,숙박업(생활),385982.672609667,181978.14183119,숙박업(생활),3,0,2,2,0,0,0,4,,,,,0.0,0.0,N,,마레루나_부산광역시동구초량동167-6
863,숙박업,03_11_03_P,3270000,3270000-214-2026-00007,2026-02-09,,1,영업/정상,1,영업,,,,,,133.44,601-830,부산광역시 동구 초량동 569-1,"부산광역시 동구 대영로243번길 40, 4층 (초량동)",48818.0,부산 에어비앤비 써클스테이 벤티 독채 단체숙소 부산역점,2026-02-23 11:24:47,U,2026-02-25 02:40:00,숙박업(생활),385749.479863141,181325.070038891,숙박업(생활),5,1,4,4,0,0,0,3,,,,,0.0,0.0,N,,부산에어비앤비써클스테이벤티독채단체숙소부산역점_부산광역시동구초량동569-1
923,숙박업,03_11_03_P,4201000,4201000-214-2026-00002,2026-02-09,,1,영업/정상,1,영업,,,,,033 643 4470,341.52,,강원특별자치도 강릉시 강동면 안인진리 3-5,"강원특별자치도 강릉시 강동면 율곡로 1616, 강릉 바다내음 캠핑장",25626.0,강릉 바다내음 캠핑장,2026-02-24 21:20:55,U,2026-02-26 02:40:00,숙박업(생활),376725.582398384,470271.810003222,숙박업(생활),1,0,0,0,0,0,12,0,,,,,0.0,0.0,N,,강릉바다내음캠핑장_강원특별자치도강릉시강동면안인진리3-5
525,숙박업,03_11_03_P,4620000,4620000-201-2026-00002,2026-02-06,,1,영업/정상,1,영업,,,,,,400.41,357-954,충청남도 태안군 남면 몽산리 681-1,충청남도 태안군 남면 몽대로 494-8,32152.0,마리나비치,2026-02-06 14:06:25,I,2026-02-08 00:20:01,여관업,134901.899329367,352725.041866488,여관업,2,1,1,2,0,0,0,9,,,,,0.0,0.0,N,,마리나비치_충청남도태안군남면몽산리681-1
666,숙박업,03_11_03_P,3380000,3380000-214-2026-00006,2026-02-06,,1,영업/정상,1,영업,,,,,,197.12,613-805,부산광역시 수영구 광안동 183-16,"부산광역시 수영구 광남로 103-3, 6층 (광안동)",48302.0,로프트 부산2,2026-02-11 09:43:56,I,2026-02-14 00:20:02,숙박업(생활),392639.545533527,185609.907098712,숙박업(생활),0,0,6,6,0,0,0,3,,,,,0.0,0.0,N,,로프트부산2_부산광역시수영구광안동183-16
526,숙박업,03_11_03_P,4251000,4251000-214-2026-00001,2026-02-06,,1,영업/정상,1,영업,,,,,,382.63,,강원특별자치도 홍천군 서면 마곡리 14-6,강원특별자치도 홍천군 서면 마곡길 153,25100.0,마루마리,2026-02-06 16:19:59,I,2026-02-08 00:20:01,숙박업(생활),251537.47646385,469414.00223698,숙박업(생활),1,0,1,1,0,0,0,4,,,,자가,0.0,0.0,N,,마루마리_강원특별자치도홍천군서면마곡리14-6
524,숙박업,03_11_03_P,3010000,3010000-214-2026-00007,2026-02-06,,1,영업/정상,1,영업,,,,,,111.0,100-802,서울특별시 중구 남대문로5가 149,서울특별시 중구 세종대로2가길 40 (남대문로5가),4527.0,스테이 한가온 명동,2026-02-06 16:22:38,I,2026-02-08 00:20:01,숙박업(생활),197786.233103721,450657.203237286,숙박업(생활),0,0,1,3,0,0,0,3,,,,임대,0.0,0.0,Y,,스테이한가온명동_서울특별시중구남대문로5가149
482,숙박업,03_11_03_P,4351000,4351000-201-2026-00001,2026-02-05,,1,영업/정상,1,영업,,,,,033 671 0710,292.56,,강원특별자치도 양양군 서면 논화리 156-1,강원특별자치도 양양군 서면 구룡령로 3080-64,25037.0,밴프 리조트,2026-02-05 16:57:19,I,2026-02-07 00:20:02,숙박업 기타,337740.248376027,506760.777131104,숙박업 기타,2,0,2,2,0,0,0,9,,,,자가,0.0,0.0,N,,밴프리조트_강원특별자치도양양군서면논화리156-1
484,숙박업,03_11_03_P,4500000,4500000-214-2026-00001,2026-02-05,,1,영업/정상,1,영업,,,,,041 8526313,262.05,314-835,충청남도 공주시 계룡면 중장리 220-6,충청남도 공주시 계룡면 갑산수길 22,32615.0,라포레스페이스,2026-02-05 16:02:17,I,2026-02-07 00:20:02,숙박업(생활),215871.212546237,319611.266255981,숙박업(생활),2,0,1,2,0,0,0,6,,,,,0.0,0.0,N,,라포레스페이스_충청남도공주시계룡면중장리220-6
483,숙박업,03_11_03_P,3010000,3010000-201-2026-00005,2026-02-05,,1,영업/정상,1,영업,,,,,,486.31,100-846,서울특별시 중구 을지로3가 322-4,서울특별시 중구 수표로 48-13 (을지로3가),4550.0,지요크 을지로,2026-02-05 14:40:32,I,2026-02-07 00:20:02,일반호텔,199110.328281458,451479.897939741,일반호텔,3,1,1,3,1,0,0,24,,,,임대,0.0,0.0,N,,지요크을지로_서울특별시중구을지로3가322-4
583,숙박업,03_11_03_P,3010000,3010000-201-2026-00004,2026-02-04,,1,영업/정상,1,영업,,,,,,293.65,100-070,서울특별시 중구 소공동 81,"서울특별시 중구 남대문로7길 33, 7층 (소공동)",4532.0,해치 스테이,2026-02-09 15:56:21,U,2026-02-11 02:40:00,관광호텔,198164.81474774,451278.901392417,관광호텔,7,1,7,7,0,0,0,11,,,,임대,0.0,0.0,N,,해치스테이_서울특별시중구소공동81
591,숙박업,03_11_03_P,3660000,3660000-214-2026-00001,2026-02-04,,1,영업/정상,1,영업,,,,,,0.0,302-830,대전광역시 서구 둔산동 1336,"대전광역시 서구 둔산로65번길 43, 1~13층 (둔산동)",35233.0,어반브릿지,2026-02-09 13:20:59,U,2026-02-11 02:40:00,숙박업(생활),234120.411864222,317014.800607804,숙박업(생활),0,0,0,0,0,0,0,210,,,,,0.0,0.0,N,,어반브릿지_대전광역시서구둔산동1336
694,숙박업,03_11_03_P,3650000,3650000-214-2026-00003,2026-02-04,,1,영업/정상,1,영업,,,,,,64.79,301-802,대전광역시 중구 대흥동 31-21 1층,"대전광역시 중구 문창로 123-14, 1층 (대흥동)",34928.0,대흥별채스테이,2026-02-12 13:53:57,U,2026-02-14 02:40:00,숙박업(생활),238548.018170143,313741.789431953,숙박업(생활),0,0,0,0,0,0,0,1,,,,,0.0,0.0,N,,대흥별채스테이_대전광역시중구대흥동31-211층
