번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),제조구분명,사업장부지용도구분명,Unnamed: 30,record_key
147,고압가스업,09_28_05_P,4850000,2026485018502200001,2026-02-05,,1,영업/정상,1,영업중,,,,,,,,전라남도 담양군 고서면 산덕리 324-1 고서119지역대,"전라남도 담양군 고서면 창평현로 398, 고서119지역대",57376.0,담양소방서(고서119안전센터),2026-02-05 14:15:46,I,2026-02-07 00:20:02,제조,199434.833524012,191975.978198594,충전,,,담양소방서(고서119안전센터)_전라남도담양군고서면산덕리324-1고서119지역대
148,고압가스업,09_28_05_P,4810000,2026481045202100001,2026-02-05,,1,영업/정상,1,영업중,,,,,,,,전라남도 여수시 중흥동 172,전라남도 여수시 여수산단4로 53 (중흥동),59612.0,롯데정밀화학(주)여수공장,2026-02-05 13:05:32,I,2026-02-07 00:20:02,제조,261749.760648693,147793.023712319,특정,,,롯데정밀화학(주)여수공장_전라남도여수시중흥동172
149,고압가스업,09_28_05_P,5050000,2026505039202200001,2026-02-05,,1,영업/정상,1,영업중,,,,,,,,경상북도 경주시 안강읍 두류리 307-4,경상북도 경주시 안강읍 사박길 21,38029.0,(주)퓨릿,2026-02-05 14:18:32,I,2026-02-07 00:20:02,제조,394812.945991307,277916.764268197,냉동,,,(주)퓨릿_경상북도경주시안강읍두류리307-4
73,고압가스업,09_28_05_P,4500000,2026450036502100001,2026-02-04,,1,영업/정상,1,영업중,,,,,,,,충청남도 공주시 정안면 화봉리 191-1,충청남도 공주시 정안면 차령로 2853-36,32514.0,(주)메이저스포츠산업-메이저아이스링크,2026-02-04 14:04:57,I,2026-02-06 00:20:02,제조,210455.683116354,338207.116164125,냉동,,,(주)메이저스포츠산업-메이저아이스링크_충청남도공주시정안면화봉리191-1
76,고압가스업,09_28_05_P,4211000,2026421106402100001,2026-02-03,,1,영업/정상,1,영업중,,,,,,,,강원특별자치도 동해시 구호동 223-2,강원특별자치도 동해시 공단12로 20 (구호동),25794.0,동해 수전해 기반 수소 생산기지,2026-02-04 09:38:51,I,2026-02-06 00:20:02,제조,388849.231539851,444073.136426369,일반,,,동해수전해기반수소생산기지_강원특별자치도동해시구호동223-2
80,고압가스업,09_28_05_P,5530000,2026553069702100002,2026-02-03,,1,영업/정상,1,영업중,,,,,,,,경기도 화성시 만세구 우정읍 매향리 966,경기도 화성시 만세구 우정읍 기아자동차로 95,18571.0,기아(주),2026-02-03 19:32:13,I,2026-02-06 00:20:02,제조,178347.843007691,392918.701206768,일반,,,기아(주)_경기도화성시만세구우정읍매향리966
7,고압가스업,09_28_05_P,3360000,2026336018702100002,2026-02-02,,1,영업/정상,1,영업중,,,,,,,,부산광역시 강서구 명지동 3144-12,,,리노공업(주),2026-02-02 20:24:49,I,2026-02-04 00:20:02,저장소,375450.91596664,181576.783468975,일반,,,리노공업(주)_부산광역시강서구명지동3144-12
75,고압가스업,09_28_05_P,4550000,2026455012802200002,2026-02-02,,1,영업/정상,1,영업중,,,,,,,,충청남도 금산군 군북면 조정리 300 램테크놀러지(주),"충청남도 금산군 군북면 군북로 1056, 램테크놀러지(주)",32718.0,램테크놀러지 주식회사,2026-02-03 14:37:29,I,2026-02-06 00:20:02,제조,246795.143251346,299836.980803631,냉동,,,램테크놀러지주식회사_충청남도금산군군북면조정리300램테크놀러지(주)
21,고압가스업,09_28_05_P,4830000,2026483019502200001,2026-01-29,,1,영업/정상,1,영업중,,,,,,,,전라남도 나주시 이창동 720-2 이창119안전센터,"전라남도 나주시 이창택지길 6-13, 이창119안전센터 (이창동)",58265.0,나주소방서(이창119안전센터),2026-02-02 18:14:43,U,2026-02-04 02:40:00,제조,173128.758166474,166269.418275921,충전,,,나주소방서(이창119안전센터)_전라남도나주시이창동720-2이창119안전센터
49,고압가스업,09_28_05_P,4490000,2026565003202100001,2026-01-09,,1,영업/정상,1,영업중,,2026-01-09,2026-01-29,,,,,충청남도 천안시 동남구 풍세면 용정리 978,충청남도 천안시 동남구 풍세면 풍세산단로 58,31214.0,(주)비츠로밀텍,2026-01-30 10:33:16,U,2026-02-04 11:04:37,제조,209060.816211846,358950.816403038,냉동,,,(주)비츠로밀텍_충청남도천안시동남구풍세면용정리978
260,고압가스업,09_28_05_P,5360000,2026536020002100001,2026-01-09,,1,영업/정상,1,영업중,,,,,,,,경상남도 밀양시 부북면 대항리 938-2,,,어업회사법인 주식회사 가림 밀양지점,2026-02-10 17:43:01,U,2026-02-12 02:40:00,저장소,353517.584616612,227595.859901468,,,,어업회사법인주식회사가림밀양지점_경상남도밀양시부북면대항리938-2
104,고압가스업,09_28_05_P,6510000,2026651024502200001,2026-01-05,,1,영업/정상,1,영업중,,,,,,,,제주특별자치도 제주시 이호일동 365-2,"제주특별자치도 제주시 서해안로 82, 2층 201호 (이호일동)",63108.0,(OK)다이브제주,2026-02-04 16:29:01,U,2026-02-06 02:40:00,제조,149589.126619393,897.017878795541,충전,,,(OK)다이브제주_제주특별자치도제주시이호일동365-2
334,고압가스업,09_28_05_P,3930000,2025393053002100010,2025-12-30,,1,영업/정상,1,영업중,,,,,,,,경기도 안산시 상록구 일동 95 근로복지공단안산병원,"경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)",15324.0,근로복지공단 안산병원,2026-02-13 10:11:51,U,2026-02-15 02:40:00,저장소,188790.160811676,423859.289933906,,,,근로복지공단안산병원_경기도안산시상록구일동95근로복지공단안산병원
187,고압가스업,09_28_05_P,5440000,2025544024102200001,2025-12-19,,1,영업/정상,1,영업중,,,,,,,,경상남도 하동군 화개면 대성리 1781-1,,,(주)지리에어,2026-02-06 17:18:31,U,2026-02-08 02:40:00,제조,257685.754116709,200371.137277065,충전,,,(주)지리에어_경상남도하동군화개면대성리1781-1
228,고압가스업,09_28_05_P,5710000,2025571027002100008,2025-11-27,,1,영업/정상,1,영업중,,,,,,,,충청북도 청주시 흥덕구 외북동 364 SK하이닉스청주사업장M15공장,"충청북도 청주시 흥덕구 에스케이로 120, SK하이닉스청주사업장M15공장 (외북동)",28356.0,에스케이하이닉스(주) 4캠퍼스 EUV,2026-02-09 16:41:35,U,2026-02-11 02:40:00,제조,238512.871931808,350558.335657718,일반,,,에스케이하이닉스(주)4캠퍼스EUV_충청북도청주시흥덕구외북동364SK하이닉스청주사업장M15공장
51,고압가스업,09_28_05_P,3000000,2025300025402200002,2025-11-27,,1,영업/정상,1,영업중,,,,,,,,서울특별시 종로구 삼청동 산 2-10,서울특별시 종로구 삼청로 145 (삼청동),3049.0,수도방위사령부55경비단,2026-01-30 10:05:08,U,2026-02-04 11:04:37,제조,198286.350002347,454110.222558178,충전,,,수도방위사령부55경비단_서울특별시종로구삼청동산2-10
52,고압가스업,09_28_05_P,3730000,2025373018602200017,2025-11-21,,1,영업/정상,1,영업중,,,,,,,,울산광역시 울주군 온산읍 이진리 279 엘에스니꼬동제련(주),"울산광역시 울주군 온산읍 당월로 336, 엘에스니꼬동제련(주)",44996.0,엘에스엠앤엠 주식회사,2026-01-30 18:10:10,U,2026-02-04 11:04:37,제조,413563.928594853,217650.121748708,냉동,,,엘에스엠앤엠주식회사_울산광역시울주군온산읍이진리279엘에스니꼬동제련(주)
113,고압가스업,09_28_05_P,5710000,2025573002302100010,2025-09-24,,1,영업/정상,1,영업중,,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주)-1호기,2026-02-03 16:59:27,U,2026-02-06 02:40:00,제조,236684.228643235,355658.056219102,냉동,,,제이에스알마이크로코리아(주)-1호기_충청북도청주시흥덕구옥산면남촌리1111-5
114,고압가스업,09_28_05_P,5710000,2025573002302100011,2025-09-24,,1,영업/정상,1,영업중,,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주)-2호기,2026-02-03 17:01:27,U,2026-02-06 02:40:00,제조,236684.228643235,355658.056219102,냉동,,,제이에스알마이크로코리아(주)-2호기_충청북도청주시흥덕구옥산면남촌리1111-5
115,고압가스업,09_28_05_P,5710000,2025573002302100012,2025-09-24,,1,영업/정상,1,영업중,,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주)-3호기,2026-02-03 17:02:45,U,2026-02-06 02:40:00,제조,236684.228643235,355658.056219102,냉동,,,제이에스알마이크로코리아(주)-3호기_충청북도청주시흥덕구옥산면남촌리1111-5
116,고압가스업,09_28_05_P,5710000,2025573002302100013,2025-09-24,,1,영업/정상,1,영업중,,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주)-4호기,2026-02-03 17:04:03,U,2026-02-06 02:40:00,제조,236684.228643235,355658.056219102,냉동,,,제이에스알마이크로코리아(주)-4호기_충청북도청주시흥덕구옥산면남촌리1111-5
112,고압가스업,09_28_05_P,5710000,2025573002302200003,2025-09-22,,1,영업/정상,1,영업중,,,,,,,,충청북도 청주시 흥덕구 옥산면 남촌리 1111-5,충청북도 청주시 흥덕구 옥산면 과학산업4로 97,28122.0,제이에스알마이크로코리아(주),2026-02-03 18:02:11,U,2026-02-06 02:40:00,제조,236684.228643235,355658.056219102,냉동,,,제이에스알마이크로코리아(주)_충청북도청주시흥덕구옥산면남촌리1111-5
287,고압가스업,09_28_05_P,4050000,2025405057802100020,2025-08-28,,1,영업/정상,1,영업중,,,,,,,,경기도 용인시 처인구 고림동 72-1,,,(JNK)용인(인천)수소충전소,2026-02-11 13:46:20,U,2026-02-13 02:40:00,제조,220932.908835711,416229.974357407,충전,,,(JNK)용인(인천)수소충전소_경기도용인시처인구고림동72-1
163,고압가스업,09_28_05_P,4050000,2025405057802100018,2025-08-18,,3,폐업,3,폐업,2026-02-05,,,,,,,경기도 용인시 처인구 원삼면 죽능리 용인반도체클러스터 A18-2 블럭,,,에스케이에어플러스(주),2026-02-05 15:53:10,U,2026-02-07 02:40:00,제조,,,일반,,,에스케이에어플러스(주)_경기도용인시처인구원삼면죽능리용인반도체클러스터A18-2블럭
231,고압가스업,09_28_05_P,4050000,2025405057802100016,2025-08-13,,1,영업/정상,1,영업중,,,,,,,,경기도 용인시 처인구 원삼면 죽능리 용인반도체클러스터 A18-2,,,에스케이에어플러스(주),2026-02-09 15:02:55,U,2026-02-11 02:40:00,제조,,,일반,,,에스케이에어플러스(주)_경기도용인시처인구원삼면죽능리용인반도체클러스터A18-2
276,고압가스업,09_28_05_P,5100000,2025510023702200001,2025-08-12,,1,영업/정상,1,영업중,,,,,,,,경상북도 영천시 금호읍 성천리 산 72-5,경상북도 영천시 금호읍 우벌길 69-3,38873.0,한국마사회,2026-02-11 17:42:36,I,2026-02-13 00:20:38,제조,368248.599392496,273888.49319765,냉동,,,한국마사회_경상북도영천시금호읍성천리산72-5
56,고압가스업,09_28_05_P,3340000,2025334017302100001,2025-07-30,,1,영업/정상,1,영업중,,,,,,,,부산광역시 사하구 구평동 495-13,"부산광역시 사하구 감천항로405번길 61, 1층 (구평동)",49455.0,에스비선보(주),2026-01-30 11:46:35,U,2026-02-04 11:04:37,저장소,382267.99527243,174554.282651552,,공업용,,에스비선보(주)_부산광역시사하구구평동495-13
53,고압가스업,09_28_05_P,5670000,2025567056802100014,2025-07-29,,1,영업/정상,1,영업중,,,,,,,,경상남도 창원시 성산구 신촌동 65 (주)세아창원특수강공장,경상남도 창원시 성산구 적현로 147 (주)세아창원특수강공장 (신촌동),51708.0,(주)세아창원특수강,2026-01-30 10:59:01,U,2026-02-04 11:04:37,저장소,346140.768506965,190698.587267838,,,,(주)세아창원특수강_경상남도창원시성산구신촌동65(주)세아창원특수강공장
124,고압가스업,09_28_05_P,5670000,2025567057002100001,2025-07-15,,1,영업/정상,1,영업중,,,,,,,,경상남도 창원시 마산합포구 가포동 660,경상남도 창원시 마산합포구 가포신항중앙로 21 (가포동),51756.0,(주)원솔루션,2026-02-04 11:18:51,U,2026-02-06 02:40:00,제조,343440.738862839,186140.210538359,일반,,,(주)원솔루션_경상남도창원시마산합포구가포동660
194,고압가스업,09_28_05_P,3360000,2025336018702100003,2025-07-09,,1,영업/정상,1,영업중,,,,,,,,부산광역시 강서구 범방동 1833 부산경남경마공원,,,한국마사회 부산경남지역본부,2026-02-06 09:45:27,U,2026-02-08 02:40:00,제조,371094.285733231,185672.987884375,냉동,,,한국마사회부산경남지역본부_부산광역시강서구범방동1833부산경남경마공원
267,고압가스업,09_28_05_P,3040000,2025304021702200002,2025-07-03,,1,영업/정상,1,영업중,,,,,,,,서울특별시 광진구 군자동 98 세종대학교,"서울특별시 광진구 능동로 209, 세종대학교 (군자동)",5006.0,세종대학교(대양홀),2026-02-10 16:35:58,U,2026-02-12 02:40:00,제조,206481.062740469,449832.323358171,냉동,,,세종대학교(대양홀)_서울특별시광진구군자동98세종대학교
160,고압가스업,09_28_05_P,4351000,2024435100902200001,2025-06-25,,1,영업/정상,1,영업중,,,,,,,,강원특별자치도 양양군 현북면 하광정리 219,강원특별자치도 양양군 현북면 하조대1길 12,25047.0,해군1함대사령부(108전대),2026-02-05 11:02:40,U,2026-02-07 02:40:00,제조,351539.922063864,502833.774245507,충전,,,해군1함대사령부(108전대)_강원특별자치도양양군현북면하광정리219
166,고압가스업,09_28_05_P,4480000,2025448011602100001,2025-06-24,,1,영업/정상,1,영업중,,,,,,,,충청북도 단양군 단양읍 별곡리 83-7,충청북도 단양군 단양읍 삼봉로 407,27010.0,"단양(수소, LPG) 충전소",2026-02-05 13:10:00,U,2026-02-07 02:40:00,제조,321313.248824548,388495.627832025,충전,,,"단양(수소,LPG)충전소_충청북도단양군단양읍별곡리83-7"
125,고압가스업,09_28_05_P,5250000,2025525014602200001,2025-06-16,,3,폐업,3,폐업,2026-02-04,,,,,,,경상북도 울진군 매화면 매화리 1035,경상북도 울진군 매화면 매화매실길 119,36339.0,해군제1함대사령부(제246해상감시장비운용대),2026-02-04 11:27:01,U,2026-02-06 02:40:00,제조,411852.134938264,382318.780386091,충전,,,해군제1함대사령부(제246해상감시장비운용대)_경상북도울진군매화면매화리1035
347,고압가스업,09_28_05_P,3480000,2025348039702100003,2025-06-12,,1,영업/정상,1,영업중,,,,,,,,대구광역시 달성군 구지면 대암리 962,대구광역시 달성군 구지면 국가산단남로60길 119,43012.0,(주)하이박,2026-02-13 11:03:03,U,2026-02-15 02:40:00,저장소,,,,,,(주)하이박_대구광역시달성군구지면대암리962
236,고압가스업,09_28_05_P,4430000,2025443014402200002,2025-06-02,,1,영업/정상,1,영업중,,,,,,,,충청북도 옥천군 청산면 인정리 1369 외 2필지,,,한국석유공업(주),2026-02-09 14:59:43,U,2026-02-11 02:40:00,제조,271144.06833803,314676.316321819,냉동,,,한국석유공업(주)_충청북도옥천군청산면인정리1369외2필지
308,고압가스업,09_28_05_P,4641000,2025464103402100002,2025-05-29,,1,영업/정상,1,영업중,,,,,,,,전북특별자치도 전주시 덕진구 팔복동2가 837-4,,,재단법인 한국탄소산업진흥원,2026-02-12 20:54:20,U,2026-02-14 02:40:00,제조,207617.45191123,262081.004412321,일반,,,재단법인한국탄소산업진흥원_전북특별자치도전주시덕진구팔복동2가837-4
180,고압가스업,09_28_05_P,3670000,2025367021802200002,2025-05-28,,1,영업/정상,1,영업중,,,,,,,,대전광역시 유성구 구룡동 829-3 머크 주식회사,"대전광역시 유성구 국제과학18로 85, 머크 주식회사 (구룡동)",34002.0,머크 주식회사,2026-02-06 17:13:47,I,2026-02-08 00:20:01,제조,,,냉동,,,머크주식회사_대전광역시유성구구룡동829-3머크주식회사
123,고압가스업,09_28_05_P,3490000,2025349025502100003,2025-05-15,,1,영업/정상,1,영업중,,,,,,,,인천광역시 중구 운서동 2868 제2합동청사,"인천광역시 중구 제2터미널대로 444, 제2합동청사 (운서동)",22382.0,인천국제공항공사(4D-2),2026-02-03 11:30:23,U,2026-02-06 02:40:00,저장소,149829.251166424,440865.963248498,,,,인천국제공항공사(4D-2)_인천광역시중구운서동2868제2합동청사
63,고압가스업,09_28_05_P,5680000,2025568037302100005,2025-05-02,,1,영업/정상,1,영업중,,,,,,,,충청남도 당진시 송악읍 고대리 167-32 현대제철주식회사,,,현대제철㈜,2026-01-30 11:16:32,U,2026-02-04 11:04:37,제조,175667.163275009,386853.34778612,냉동,,,현대제철㈜_충청남도당진시송악읍고대리167-32현대제철주식회사
134,고압가스업,09_28_05_P,3670000,2025367021802100003,2025-02-19,,1,영업/정상,1,영업중,,,,,,,,대전광역시 유성구 원촌동 140-1 에스케이온(주) 대전사업장,"대전광역시 유성구 엑스포로 325, 에스케이온(주) 대전사업장 (원촌동)",34124.0,에스케이온(주) 대전사업장,2026-02-04 16:41:59,U,2026-02-06 02:40:00,제조,235634.69075343,320398.401625148,냉동,,,에스케이온(주)대전사업장_대전광역시유성구원촌동140-1에스케이온(주)대전사업장
71,고압가스업,09_28_05_P,5020000,2025503005102100001,2025-02-06,,1,영업/정상,1,영업중,,,,,,,,경상북도 포항시 남구 송내동 506 현대제철주식회사,"경상북도 포항시 남구 동해안로 6363, 현대제철주식회사 (송내동)",37864.0,현대제철(주)포항1공장,2026-01-30 16:32:30,U,2026-02-04 11:04:37,판매,413898.506765784,280998.235658233,,,,현대제철(주)포항1공장_경상북도포항시남구송내동506현대제철주식회사
200,고압가스업,09_28_05_P,5350000,2024535037402100006,2024-12-09,,1,영업/정상,1,영업중,,,,,,,,경상남도 김해시 진례면 청천리 358-1,경상남도 김해시 진례면 서부로436번길 37,50872.0,퍼스트에너지,2026-02-06 13:18:28,U,2026-02-08 02:40:00,제조,359149.941493492,197711.931245791,충전,,,퍼스트에너지_경상남도김해시진례면청천리358-1
88,고압가스업,09_28_05_P,5690000,2024569020002100007,2024-10-18,,1,영업/정상,1,영업중,,,,,,,,세종특별자치시 부강면 금호리 246-1,,,에너진 주식회사,2026-02-04 07:07:29,U,2026-02-06 02:40:00,제조,232419.984633916,333187.539097742,,,,에너진주식회사_세종특별자치시부강면금호리246-1
40,고압가스업,09_28_05_P,5380000,2024538033302100003,2024-09-30,,1,영업/정상,1,영업중,,,,,,,,경상남도 양산시 어곡동 863-1 날코코리아(유)양산공장,"경상남도 양산시 어곡공단1길 78, 날코코리아(유)양산공장 (어곡동)",50591.0,한국이콜랩 유한회사 양산공장,2026-01-30 17:50:07,U,2026-02-04 11:04:37,제조,383406.227778905,210690.82569354,냉동,,,한국이콜랩유한회사양산공장_경상남도양산시어곡동863-1날코코리아(유)양산공장
13,고압가스업,09_28_05_P,3730000,2024373018602100010,2024-09-25,,1,영업/정상,1,영업중,,,,,,,,울산광역시 울주군 온산읍 산암리 148,울산광역시 울주군 온산읍 산암로 246,44996.0,케이앤디에너젠(주),2026-02-02 11:31:11,U,2026-02-04 02:40:00,제조,414003.124859315,217823.951447624,특정,공업용,,케이앤디에너젠(주)_울산광역시울주군온산읍산암리148
