"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"13","건설폐기물처리업","09_30_05_P","4530000","453000092202000001","2020-08-31","","01","영업/정상","BBBB","영업","","","","","0416635942","","","충청남도 서산시 수석동 72-3","충청남도 서산시 수석4길 126-4 (수석동)","32010","리안환경건설","2026-04-01 20:47:43","U","2026-04-03 02:40:00","","154749.66706519","363561.091055059","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"14","건설폐기물처리업","09_30_05_P","5250000","525000092199700001","1997-03-01","","01","영업/정상","BBBB","영업","","","","","0547830705","","767-801","경상북도 울진군 울진읍 고성리 864-5 외 3필지","경상북도 울진군 울진읍 설매길 112","767-801","(주)우진산업","2026-04-01 09:02:31","U","2026-04-03 02:40:00","","410400.108308328","391484.791258968","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12000","",
"15","건설폐기물처리업","09_30_05_P","3230000","323000092200000025","2000-10-27","","01","영업/정상","BBBB","영업","","","","","02-6270-0742","","138-040","서울특별시 송파구 풍납동 391-5 풍납동 N빌딩","서울특별시 송파구 올림픽로 493, 풍납동 N빌딩 (풍납동)","05539","(주)삼표산업 송파지점","2026-04-01 13:38:03","U","2026-04-03 02:40:00","","210331.946396392","447142.576627481","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"16","건설폐기물처리업","09_30_05_P","5020000","502000092201100003","2011-08-03","","01","영업/정상","BBBB","영업","","","","","0542859277","","790-881","경상북도 포항시 남구 연일읍 우복리 179-2","경상북도 포항시 남구 연일읍 남성길1번길 66 (상도동)","790-881","금강환경(주)","2026-04-01 09:01:01","U","2026-04-03 02:40:00","","411752.514025029","277016.252742998","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"17","건설폐기물처리업","09_30_05_P","3910000","391000092200700008","2023-04-11","","01","영업/정상","BBBB","영업","","","","","0316115601","","451-864","경기도 평택시 진위면 하북리 596-24","경기도 평택시 진위면 송탄고가길 5-43","451-864","(주)주원","2026-04-01 17:17:16","U","2026-04-03 02:40:00","","205015.990442448","399409.068994533","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"18","건설폐기물처리업","09_30_05_P","3660000","366000092201200003","2022-11-09","","03","폐업","2","폐업","2022-11-09","","","","0425249400","","302-834","대전광역시 서구 만년동 381 엑스포오피스텔1차 301호","대전광역시 서구 둔산대로117번길 44, 301호 (만년동)","35203","(주)크린텍","2026-04-01 11:23:43","U","2026-04-03 02:40:00","","234261.201549673","318522.393603427","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"19","건설폐기물처리업","09_30_05_P","5480000","548000092200800001","2023-10-16","","01","영업/정상","BBBB","영업","","","","","0559329200","","","대구광역시 달성군 화원읍 성산리 705-1","대구광역시 달성군 화원읍 사문진로 447, 3층","42955","㈜성지이테크","2026-04-01 14:28:10","U","2026-04-03 02:40:00","","334380.110442408","256779.106403626","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","14149","",
"20","건설폐기물처리업","09_30_05_P","5480000","548000092200800002","2009-12-18","","01","영업/정상","BBBB","영업","","","","","0559329200","","","대구광역시 달성군 화원읍 성산리 705-1","대구광역시 달성군 화원읍 사문진로 447, 3층","42955","㈜성지이테크","2026-04-01 14:28:10","U","2026-04-03 02:40:00","","334380.110442408","256779.106403626","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"21","건설폐기물처리업","09_30_05_P","3860000","386000092201900002","2020-01-18","","01","영업/정상","BBBB","영업","","","","","","","","경기도 부천시 원미구 중동 1138 호정프라자","경기도 부천시 원미구 중동로254번길 104, 호정프라자 502(5-45)호 (중동)","14548","동원건장","2026-04-01 13:08:35","U","2026-04-03 02:40:00","","180004.402935963","444392.404095181","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"22","건설폐기물처리업","09_30_05_P","4530000","453000092200700003","2002-10-22","","01","영업/정상","BBBB","영업","","","","","0416647456","","","충청남도 서산시 음암면 신장리 165-7 165-7","충청남도 서산시 음암면 노루골길 77-17","356-840","대명종합환경산업(주)","2026-04-01 20:29:57","U","2026-04-03 02:40:00","","155147.647051138","360967.001908527","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","11880","",
"23","건설폐기물처리업","09_30_05_P","4530000","453000092201100005","2018-03-12","","03","폐업","2","폐업","2018-03-12","","","","0416647456","","","충청남도 서산시 음암면 신장리 165-7 165-7","충청남도 서산시 음암면 노루골길 77-17","356-840","대명종합환경산업(주)","2026-04-01 20:29:57","U","2026-04-03 02:40:00","","155147.647051138","360967.001908527","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","7200","",
"24","건설폐기물처리업","09_30_05_P","4530000","453000092201000002","2024-05-22","","01","영업/정상","BBBB","영업","","","","","0416647456","","","충청남도 서산시 음암면 신장리 165-7 165-7","충청남도 서산시 음암면 노루골길 77-17","356-840","대명종합환경산업(주)","2026-04-01 20:29:57","U","2026-04-03 02:40:00","","155147.647051138","360967.001908527","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"25","건설폐기물처리업","09_30_05_P","5700000","570000092200600002","2026-03-20","","01","영업/정상","BBBB","영업","","","","","031 881 1300","","469-881","경기도 여주시 가남읍 대신리 145-6","경기도 여주시 가남읍 대신리길 213","12663","현대환경(주)","2026-04-01 10:08:00","U","2026-04-03 02:40:00","","247556.711589804","408904.384907507","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"26","건설폐기물처리업","09_30_05_P","4140000","414000092200900001","2009-01-05","","01","영업/정상","BBBB","영업","","","","","0318328288","","486-900","경기도 연천군 전곡읍 간파리 334","경기도 연천군 전곡읍 양연로402번길 135","486-901","(주)베르원","2026-04-01 16:25:10","U","2026-04-03 02:40:00","","200490.70880116","492877.454904023","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"27","건설폐기물처리업","09_30_05_P","5710000","571000092202000005","2026-03-31","","01","영업/정상","BBBB","영업","","","","","","","","충청북도 청주시 흥덕구 신봉동 232-2","충청북도 청주시 흥덕구 사운로386번길 58 (신봉동)","28455","대건산업","2026-04-01 10:37:59","U","2026-04-03 02:40:00","","241818.858159521","351192.011709757","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"28","건설폐기물처리업","09_30_05_P","3430000","343000092201300001","2013-02-13","","03","폐업","2","폐업","2026-03-30","","","","053-581-6600","","","대구광역시 서구 이현동 288-2","대구광역시 서구 북비산로 41, 2층 (이현동)","41748","(주)광진중기","2026-04-01 13:51:18","U","2026-04-03 02:40:00","","338763.462918266","265370.796477249","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"29","건설폐기물처리업","09_30_05_P","5530000","553000092202600001","2026-04-02","","01","영업/정상","BBBB","영업","","","","","031-8047-0402","","","경기도 화성시 효행구 정남면 귀래리 126-3","경기도 화성시 효행구 정남면 내향안길 237-56","18523","(주)에스더블유성우","2026-04-02 16:52:32","I","2026-04-04 00:20:02","","199915.446306378","403341.192635836","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"30","건설폐기물처리업","09_30_05_P","3450000","345000092201300001","2013-08-02","","01","영업/정상","BBBB","영업","","","","","054-975-0788","","","대구광역시 북구 태전동 687-21","대구광역시 북구 학정로 11, 3층 (태전동)","41468","대덕환경산업(주)","2026-04-02 09:07:48","U","2026-04-04 02:40:00","","339290.553941385","269268.723655778","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"31","건설폐기물처리업","09_30_05_P","4170000","417000092200600001","2020-01-21","","01","영업/정상","BBBB","영업","","","","","0317743284","","476-872","경기도 양평군 지평면 무왕리 377","경기도 양평군 지평면 금의길 316-1","476-872","(주)오성개발","2026-04-02 09:43:27","U","2026-04-04 02:40:00","","259167.735108567","440892.698684053","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","23922","",
"32","건설폐기물처리업","09_30_05_P","4251000","425100092200800004","2008-05-06","","01","영업/정상","BBBB","영업","","","","","0334359953","","","강원특별자치도 홍천군 홍천읍 삼마치리 80-1","강원특별자치도 홍천군 홍천읍 옥류동길 123-6","","상지환경산업(주)","2026-04-02 16:30:36","U","2026-04-04 02:40:00","","278840.232859806","459670.811622533","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","9000","",
"33","건설폐기물처리업","09_30_05_P","4181000","418100092200500003","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0332611234","","","강원특별자치도 춘천시 신동면 혈동리 607-1","강원특별자치도 춘천시 신동면 한치로 495","24411","주식회사 강토개발","2026-04-02 09:45:33","U","2026-04-04 02:40:00","","259809.044603012","475857.84367573","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"34","건설폐기물처리업","09_30_05_P","4181000","418100092200600005","2026-04-02","","01","영업/정상","BBBB","영업","","","","","033-264-3336","","200-853","강원특별자치도 춘천시 신동면 혈동리 606-5","강원특별자치도 춘천시 신동면 한치로 504","24210","강원건설폐기물수집운반연합","2026-04-02 17:10:26","U","2026-04-04 02:40:00","","259861.863846761","475867.820290698","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"35","건설폐기물처리업","09_30_05_P","4181000","418100092200700006","2007-06-11","","01","영업/정상","BBBB","영업","","","","","033 2619361","","200-915","강원특별자치도 춘천시 남산면 수동리 226-5","강원특별자치도 춘천시 남산면 한치로 432","","화성개발(주)","2026-04-02 16:14:39","U","2026-04-04 02:40:00","","259457.325002021","475722.078331178","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"36","건설폐기물처리업","09_30_05_P","4181000","418100092200800001","2025-10-20","","01","영업/정상","BBBB","영업","","","","","0332611234","","","강원특별자치도 춘천시 신동면 혈동리 607-1","강원특별자치도 춘천시 신동면 한치로 495","24411","주식회사 강토개발","2026-04-02 09:45:33","U","2026-04-04 02:40:00","","259809.044603012","475857.84367573","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","19900","",
"37","건설폐기물처리업","09_30_05_P","5080000","508000092200000003","2000-08-12","","01","영업/정상","BBBB","영업","","","","","0544824466","","","경상북도 구미시 고아읍 대망리 764-6 구미녹색환경(주)","경상북도 구미시 고아읍 원대로 325, 구미녹색환경(주)","39140","구미녹색환경(주)","2026-04-02 18:16:05","U","2026-04-04 02:40:00","","318329.409938535","298461.748138882","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"38","건설폐기물처리업","09_30_05_P","4211000","421100092200700001","2005-04-25","","01","영업/정상","BBBB","영업","","","","","033-532-0794","","240-160","강원특별자치도 동해시 천곡동 960-9","강원특별자치도 동해시 감추5길 35-3 (천곡동)","25777","우양중기","2026-04-02 17:18:22","U","2026-04-04 02:40:00","","387305.825733834","448329.953645679","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"39","건설폐기물처리업","09_30_05_P","4341000","434100092202300002","2023-09-08","","01","영업/정상","BBBB","영업","","","","","0336811287","","","강원특별자치도 고성군 간성읍 신안리 124-1","강원특별자치도 고성군 간성읍 남천마루1길 16","24732","가야환경","2026-04-02 22:00:48","U","2026-04-04 02:40:00","","329279.607292879","542703.747014655","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"40","건설폐기물처리업","09_30_05_P","3620000","362000092201600002","2016-07-15","","03","폐업","2","폐업","2026-04-02","","","","070-4064-6485","","","광주광역시 북구 삼각동 637 삼각동 우미타운","광주광역시 북구 안산로 76, 102동 1103호 (삼각동, 삼각동 우미타운)","61051","동성산업","2026-04-02 13:27:24","U","2026-04-04 02:40:00","","191048.643043879","188365.924606926","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"41","건설폐기물처리업","09_30_05_P","4950000","495000092201100001","2025-10-01","","01","영업/정상","BBBB","영업","","","","","061-242-4000","","534-903","전라남도 무안군 일로읍 죽산리 1574-2 , 1575번지, 1576번지","전라남도 무안군 일로읍 도장포길 27-129","534-903","(유)남도환경","2026-04-02 18:10:35","U","2026-04-04 02:40:00","","153564.10130803","146503.951013791","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","12240","",
"42","건설폐기물처리업","09_30_05_P","3930000","393000092201100006","2011-08-01","","01","영업/정상","BBBB","영업","","","","","031-433-7794","","","경기도 안산시 단원구 선부동 173-9 427호","경기도 안산시 단원구 시흥대로 84-6 (선부동)","15210","(주)가가종합철거환경","2026-04-02 14:56:50","U","2026-04-04 02:40:00","","182092.585213033","427520.765238238","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"43","건설폐기물처리업","09_30_05_P","5110000","511000092201300003","2011-10-13","","01","영업/정상","BBBB","영업","","","","","5348420","","742-844","경상북도 상주시 공성면 산현리 35","경상북도 상주시 공성면 상무로 340-10","742-844","(주)정림산업","2026-04-02 15:08:58","U","2026-04-04 02:40:00","","301852.896096713","309280.62577311","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","2816","",
"44","건설폐기물처리업","09_30_05_P","3070000","307000092200400002","2004-10-04","","01","영업/정상","BBBB","영업","","","","","9664358","","136-150","서울특별시 성북구 석관동 110-2 중앙하이츠아파트 상가204호","서울특별시 성북구 한천로76길 73, 상가 204호 (석관동, 중앙하이츠아파트)","02781","삼흥도시개발(주)","2026-04-02 18:06:17","U","2026-04-04 02:40:00","","205818.852385165","456530.895690582","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"45","건설폐기물처리업","09_30_05_P","3030000","303000092200600001","2026-04-02","","01","영업/정상","BBBB","영업","","","","","0222130045","","133-160","서울특별시 성동구 용답동 235-5","서울특별시 성동구 천호대로 440 (용답동)","","(주)도성개발","2026-04-02 16:10:22","U","2026-04-04 02:40:00","","205921.703469803","450931.561948791","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"46","건설폐기물처리업","09_30_05_P","3030000","303000092200700023","2020-09-21","","01","영업/정상","BBBB","영업","","","","","0222130045","","133-160","서울특별시 성동구 용답동 235-5","서울특별시 성동구 천호대로 440 (용답동)","","(주)도성개발","2026-04-02 16:10:22","U","2026-04-04 02:40:00","","205921.703469803","450931.561948791","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"47","건설폐기물처리업","09_30_05_P","4620000","462000092202300001","2023-07-04","","01","영업/정상","BBBB","영업","","","","","0416759588","","","충청남도 태안군 태안읍 삭선리 626-7","충청남도 태안군 태안읍 태흥로 37","32134","신용환경","2026-04-02 15:07:01","U","2026-04-04 02:40:00","","135575.589480264","363469.425472573","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"48","건설폐기물처리업","09_30_05_P","5710000","571000092202400003","2024-12-10","","01","영업/정상","BBBB","영업","","","","","0432322400","","","충청북도 청주시 서원구 남이면 구암리 156-4","충청북도 청주시 서원구 남이면 사동구암로 366","28178","영지환경(주)","2026-04-02 18:49:05","U","2026-04-04 02:40:00","","236202.96881669","343846.434831725","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"49","건설폐기물처리업","09_30_05_P","3370000","337000092201300001","2013-06-12","","01","영업/정상","BBBB","영업","","","","","051-933-9611","","","","부산광역시 연제구 아시아드대로22번길 13 (거제동)","611-808","청암산업개발(주)","2026-04-02 10:01:40","U","2026-04-04 02:40:00","","388485.035993606","189546.83755572","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"50","건설폐기물처리업","09_30_05_P","5710000","571000092201500008","2016-12-13","","03","폐업","2","폐업","2016-12-13","","","","2747420","","","충청북도 청주시 흥덕구 외북동 311","충청북도 청주시 흥덕구 2순환로894번길 57 (외북동)","28356","한세이프 주식회사","2026-04-02 17:27:54","U","2026-04-04 02:40:00","","238015.812658476","350738.142296094","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"51","건설폐기물처리업","09_30_05_P","3390000","339000092200800002","2010-02-02","","01","영업/정상","BBBB","영업","","","","","0513127991","","617-843","부산광역시 사상구 학장동 717-2","부산광역시 사상구 새벽로77번길 88 (학장동)","617-843","포모나건설환경(주)","2026-04-02 23:00:05","U","2026-04-04 02:40:00","","380123.182432382","185192.725807924","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"52","건설폐기물처리업","09_30_05_P","4570000","457000092201100001","2011-10-12","","01","영업/정상","BBBB","영업","","","","","837-6114","","","충청남도 부여군 부여읍 염창리 511-2","충청남도 부여군 부여읍 동문로142번길 2-18, 1호","33162","대한건설 주식회사","2026-04-02 09:26:17","U","2026-04-04 02:40:00","","194842.008915957","307134.763164968","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"53","건설폐기물처리업","09_30_05_P","4450000","445000092200600008","2025-09-15","","01","영업/정상","BBBB","영업","","","","","0435328020","","365-805","충청북도 진천군 진천읍 사석리 66-7","충청북도 진천군 진천읍 문진로 936-35","365-805","(주)범진","2026-04-02 19:59:12","U","2026-04-04 02:40:00","","237438.398929218","368792.971766092","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"54","건설폐기물처리업","09_30_05_P","4030000","403000092201000001","2010-05-14","","01","영업/정상","BBBB","영업","","","","","031-421-6624","","","경기도 의왕시 내손동 751-3 두성프라자","경기도 의왕시 갈미2로 38, 두성프라자 401호 (내손동)","16039","(주)터원산업개발","2026-04-02 09:35:24","U","2026-04-04 02:40:00","","197430.974150468","430813.823029597","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"55","건설폐기물처리업","09_30_05_P","4390000","439000092202100001","2025-04-24","","01","영업/정상","BBBB","영업","","","","","","","","충청북도 충주시 봉방동 9-15","충청북도 충주시 무학2길 9 (봉방동)","27405","(주)밀물과썰물","2026-04-02 09:06:18","U","2026-04-04 02:40:00","","282445.454549009","386391.504692983","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"56","건설폐기물처리업","09_30_05_P","3660000","366000092201400002","2019-01-14","","01","영업/정상","BBBB","영업","","","","","","","302-819","대전광역시 서구 도마동 86-101","대전광역시 서구 도마6길 178 (도마동)","302-819","청원금속자원","2026-04-03 13:40:04","D","2026-04-05 02:30:00","","234230.828151545","313034.803542646","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"57","건설폐기물처리업","09_30_05_P","3940000","394000092202300006","2023-07-07","","01","영업/정상","BBBB","영업","","","","","031-979-0461","","","경기도 고양시 덕양구 도내동 707","경기도 고양시 덕양구 중앙로 313 (도내동)","412-060","(주)한진산업","2026-04-03 10:56:31","U","2026-04-05 02:40:00","","187393.500664583","456452.956979386","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"58","건설폐기물처리업","09_30_05_P","4251000","425100092200800001","2020-10-19","","01","영업/정상","BBBB","영업","","","","","0334356601","","","강원특별자치도 홍천군 홍천읍 장전평리 174-7","강원특별자치도 홍천군 홍천읍 미루나무길 28","","(합)홍천환경산업","2026-04-03 11:23:14","U","2026-04-05 02:40:00","","277533.874097026","462551.816856461","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","13000","",
"59","건설폐기물처리업","09_30_05_P","4211000","421100092200700006","2009-12-18","","01","영업/정상","BBBB","영업","","","","","033-532-0794","","240-010","강원특별자치도 동해시 천곡동 960-9","강원특별자치도 동해시 감추5길 35-3 (천곡동)","25777","동성흥업","2026-04-03 11:04:36","U","2026-04-05 02:40:00","","387305.825733834","448329.953645679","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"60","건설폐기물처리업","09_30_05_P","5530000","553000092202300001","2023-07-14","","01","영업/정상","BBBB","영업","","","","","031-352-0481","","","경기도 화성시 만세구 팔탄면 구장리 5","경기도 화성시 만세구 팔탄면 푸른들판로 702, 2층","18528","주식회사 케이에이치건설","2026-04-03 17:39:39","U","2026-04-05 02:40:00","","190424.982476393","407626.090817665","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"61","건설폐기물처리업","09_30_05_P","3940000","394000092200100003","2026-04-03","","01","영업/정상","BBBB","영업","","","","","031-979-0461","","","경기도 고양시 덕양구 도내동 709-3","경기도 고양시 덕양구 중앙로 313 (도내동)","10536","(주)한진산업","2026-04-03 10:40:47","U","2026-04-05 02:40:00","","187359.933310846","456510.04343276","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","28603","",
"62","건설폐기물처리업","09_30_05_P","3940000","394000092200100042","2019-06-03","","01","영업/정상","BBBB","영업","","","","","02-3158-6221","","","경기도 고양시 덕양구 덕은동 0","경기도 고양시 덕양구 으뜸로 130, 위프라임트윈타워 638호 (덕은동)","10544","(주)대천환경","2026-04-03 10:02:08","U","2026-04-05 02:40:00","","","","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"63","건설폐기물처리업","09_30_05_P","4201000","420100092202400010","2024-09-24","","01","영업/정상","BBBB","영업","","","","","0336451999","","","강원특별자치도 강릉시 대전동 13-2","강원특별자치도 강릉시 한밭골길 76-29, 2층 (대전동)","25453","(주)도시건설","2026-04-03 10:02:01","U","2026-04-05 02:40:00","","364247.671320621","478033.900506963","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
