"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"36","옥외광고업","04_15_01_P","4490000","2026566003208500001","2026-02-27","","01","영업/정상","20","정상","","","","","","","","충청남도 천안시 서북구 두정동 ***-** 키바트산업","충청남도 천안시 서북구 두정공단*길 **-*, 키바트산업 (두정동)","31112","한성미디어","2026-03-05 16:07:27","I","2026-03-07 00:20:02","","213637.390998805","370253.743913066","간판 및 광고물 제조업",
"37","옥외광고업","04_15_01_P","3110000","2026311029708500002","2026-03-05","","01","영업/정상","20","정상","","","","","","","","","서울특별시 은평구 응암로**길 **, *층 ***호 (응암동, 리모스튜디오)","03457","주식회사 와이케이제작소","2026-03-05 17:31:20","I","2026-03-07 00:20:02","","192496.350084309","454645.49881797","간판 제작 설치",
"38","옥외광고업","04_15_01_P","3130000","2026313026808500003","2026-03-04","","01","영업/정상","20","정상","","","","","","","","서울특별시 마포구 도화동 *** 마포트라팰리스 C동 ***호","서울특별시 마포구 마포대로 **, 마포트라팰리스 C동 ***호 (도화동)","04158","디자인크레파스","2026-03-05 11:26:35","I","2026-03-07 00:20:02","","195266.07314617","448799.641804029","옥외광고대행업",
"39","옥외광고업","04_15_01_P","3040000","2026304021508500002","2026-03-04","","01","영업/정상","20","정상","","","","","","","","","서울특별시 광진구 동일로 ***, *층 (중곡동)","04900","가나광고","2026-03-05 13:04:23","I","2026-03-07 00:20:02","","206487.242368192","450957.86996085","",
"40","옥외광고업","04_15_01_P","4810000","2026481047108500001","2026-03-04","","01","영업/정상","20","정상","","","","","","","","전라남도 여수시 소라면 덕양리 ***","전라남도 여수시 소라면 조산로 ***-**","59649","주식회사 코발티브","2026-03-04 13:34:18","I","2026-03-07 00:20:02","","257060.550827687","142311.255251754","제조업, 디자인서비스",
"41","옥외광고업","04_15_01_P","3130000","2019313015908500009","2019-07-09","","01","영업/정상","20","정상","","","","","","","","서울특별시 마포구 망원동 ***-** 코끼리정원 ***호","서울특별시 마포구 월드컵로**길 **, 코끼리정원 ***호 (망원동)","04011","엠오디","2026-03-05 11:17:39","U","2026-03-07 02:40:00","","191736.124227714","450446.44140373","간판 및 광고물제조, 
광고대행, 디자인",
"42","옥외광고업","04_15_01_P","4211000","2004421008708200005","2026-03-05","","01","영업/정상","20","정상","","","","","033 531 6900","","","강원특별자치도 동해시 천곡동 ***-*","강원특별자치도 동해시 중앙로 *** (천곡동)","240-812","OH Design","2026-03-05 14:01:26","U","2026-03-07 02:40:00","","387174.838956753","448131.426343361","광고, 간판",
"43","옥외광고업","04_15_01_P","4301000","2020430009708500002","2020-07-20","","03","폐업","40","폐업","2026-03-04","","","","033 455 9900","","","강원특별자치도 철원군 서면 자등리 ***-*","강원특별자치도 철원군 서면 금강로 ****","24062","주식회사 디케이","2026-03-05 18:01:54","U","2026-03-07 02:40:00","","236644.930644792","519999.164816359","옥외광고물 제작, 표시.
옥외광고 대행",
"44","옥외광고업","04_15_01_P","4201000","2005420002408200002","2005-01-03","","03","폐업","40","폐업","2025-04-25","","","","033  6471544","","","강원특별자치도 강릉시 구정면 어단리 ***-**","강원특별자치도 강릉시 구정면 칠성로 **","210-812","(주)비룡건설광고","2026-03-05 18:15:54","U","2026-03-07 02:40:00","","367215.101557315","467385.797671657","광고물제작",
"45","옥외광고업","04_15_01_P","4201000","2005420002408200013","2020-06-12","","03","폐업","40","폐업","2025-11-28","","","","033 6417476","","","강원특별자치도 강릉시 사천면 방동리 ***-*","강원특별자치도 강릉시 사천면 과학단지로 ***-**","25440","대유광고","2026-03-05 18:16:47","U","2026-03-07 02:40:00","","363065.957464975","479785.561333726","옥외광고물제작",
"46","옥외광고업","04_15_01_P","4201000","2016420027308500003","2016-05-25","","03","폐업","40","폐업","2025-12-01","","","","033 648 0203","","","강원특별자치도 강릉시 포남동 ****-***","강원특별자치도 강릉시 성덕포남로***번길 ** (포남동)","25547","채움디자인","2026-03-05 18:18:09","U","2026-03-07 02:40:00","","368240.153820642","475338.076739785","광고물 제작 판매",
"47","옥외광고업","04_15_01_P","4910000","1998491001108200009","2026-03-05","","01","영업/정상","20","정상","","","","","061 863 8374","","","전라남도 장흥군 장흥읍 예양리 ***-*","전라남도 장흥군 장흥읍 칠거리예양로 **","59331","에덴광고사","2026-03-05 14:42:04","U","2026-03-07 02:40:00","","190985.134505915","130957.703127072","옥외광고물 제작 및 설치",
"48","옥외광고업","04_15_01_P","4181000","2012418024108500013","2014-07-23","","03","폐업","40","폐업","2026-03-04","","","","033 255 9390","","","강원특별자치도 춘천시 퇴계동 ***-*","강원특별자치도 춘천시 퇴계공단*길 ** (퇴계동)","200-944","(주)백상","2026-03-05 10:02:49","U","2026-03-07 02:40:00","","264992.819977272","482784.159216975","옥외광고물제작 및 제조.간판.현수막",
"49","옥외광고업","04_15_01_P","3220000","1999322010408200052","1999-06-11","","01","영업/정상","20","정상","","","","","02   5629513","","","경기도 광주시 도척면 진우리 ***-*","경기도 광주시 도척면 저수지길 **-**, *층","12814","(주)삼익플랜","2026-03-05 13:55:31","U","2026-03-07 02:40:00","","230135.31595746","423914.965158871","광고대행",
"50","옥외광고업","04_15_01_P","4691000","1998469010208100009","2008-05-23","","01","영업/정상","20","정상","","","","","063 5337411","","","전북특별자치도 정읍시 수성동 ****-*","전북특별자치도 정읍시 수성*로 **-* (수성동)","","동신광고기획","2026-03-05 15:21:50","U","2026-03-07 02:40:00","","187225.728161799","231529.78399341","광고물 제작",
"51","옥외광고업","04_15_01_P","4390000","2016439013708500004","2017-12-29","","01","영업/정상","20","정상","","","","","","","","충청북도 충주시 교현동 ***-*","충청북도 충주시 봉현로 *** (교현동)","27375","온디자인","2026-03-05 13:21:56","U","2026-03-07 02:40:00","","283085.457335236","386608.750611892","간판, 광고, 인쇄",
