"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조기수","다중이용업소여부",
"11","세탁업","06_20_01_P","3360000","3360000-205-2026-00002","2026-03-04","","01","영업/정상","01","영업","","","","","","39.67","618-200","부산광역시 강서구 명지동 3357-4 6층 일부","부산광역시 강서구 명지국제8로 237, 6층 일부 (명지동)","46773","루미런드리","2026-03-04 18:02:22","I","2026-03-06 00:20:02","빨래방업","374901.846816856","179396.737598709","빨래방업","6","0","0","0","0","0","","","","","7","0","0","9","N",
"12","세탁업","06_20_01_P","3550000","3550000-205-2013-00009","2013-06-05","","01","영업/정상","01","영업","","","","","","208.38","407-831","인천광역시 계양구 효성동 497-5","인천광역시 계양구 효서로 90-1, 1층 (효성동)","21105","크린아이","2026-03-04 14:35:58","I","2026-03-06 00:20:02","일반세탁업","173931.075169768","447298.412928203","일반세탁업","0","0","2","0","0","0","","","","임대","3","0","0","0","N",
"13","세탁업","06_20_01_P","3560000","3560000-205-2013-00019","2013-06-05","","03","폐업","02","폐업","2026-03-04","","","","","231.00","404-825","인천광역시 서구 석남동 223-213 B동 (1층)","인천광역시 서구 건지로97번길 23, B동 1층 (석남동)","22772","크린아이","2026-03-04 14:11:45","U","2026-03-06 02:40:00","일반세탁업","169184.870507611","444414.792215066","일반세탁업","0","0","2","0","0","0","","","","임대","3","0","0","0","N",
"14","세탁업","06_20_01_P","4490000","5660000-205-2000-00005","2000-04-14","","01","영업/정상","01","영업","","","","","004105486922","95.20","331-958","충청남도 천안시 서북구 두정동 601","충청남도 천안시 서북구 늘푸른6길 5-9, 1층 (두정동)","31099","클리닝스토리","2026-03-04 16:02:01","U","2026-03-06 02:40:00","일반세탁업","211333.765","369826.335","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"15","세탁업","06_20_01_P","5590000","5590000-205-2006-00006","2006-07-03","","01","영업/정상","01","영업","","","","","031 8242022","24.52","482-110","경기도 양주시 삼숭동 682-1 양주자이4단지아파트","경기도 양주시 삼숭로38번길 191, 양주자이4단지아파트 상가동 4108호 (삼숭동)","11486","GS세탁소","2026-03-04 10:01:10","U","2026-03-06 02:40:00","일반세탁업","209344.044864373","477267.282225308","일반세탁업","0","0","1","1","0","0","","","","","2","0","0","0","N",
"16","세탁업","06_20_01_P","5330000","5330000-205-2008-00004","2008-08-27","","03","폐업","02","폐업","2026-03-04","","","","055 645 5012","35.31","650-801","경상남도 통영시 무전동 1054-2","경상남도 통영시 무전1길 23, 가동 107호 (무전동, 한진상가 )","53035","우리세탁","2026-03-04 13:15:14","U","2026-03-06 02:40:00","일반세탁업","330014.737133688","152427.022863424","일반세탁업","1","0","0","0","0","0","","","","임대","2","0","0","0","N",
"17","세탁업","06_20_01_P","5080000","5080000-205-2011-00007","2011-07-13","","01","영업/정상","01","영업","","","","","","28.06","730-824","경상북도 구미시 옥계동 905-1 구미옥계휴먼시아1단지 상가동 105호","경상북도 구미시 옥계북로 43-46, 상가동 105호 (옥계동, 휴먼시아 1단지)","39182","더힐세탁소","2026-03-04 10:08:35","U","2026-03-06 02:40:00","일반세탁업","328200.345680258","294347.884569206","일반세탁업","0","0","1","1","0","0","","","","","2","0","0","1","N",
"18","세탁업","06_20_01_P","3460000","3460000-205-1993-00007","1993-05-18","","03","폐업","02","폐업","2026-03-04","","","","053 751 3118","0.00","706-833","대구광역시 수성구 수성동3가 28-6","대구광역시 수성구 청솔로 127 (수성동3가)","42115","공작세탁소","2026-03-04 13:37:34","U","2026-03-06 02:40:00","일반세탁업","346362.741650399","263201.879825959","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"19","세탁업","06_20_01_P","4530000","4530000-205-1999-00005","1999-11-06","","01","영업/정상","01","영업","","","","","041 6660105","33.00","356-802","충청남도 서산시 동문동 370-3","충청남도 서산시 고운로 233, 1층 (동문동)","31977","가나세탁소","2026-03-04 11:42:49","U","2026-03-06 02:40:00","일반세탁업","151841.716152511","364862.505017459","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"20","세탁업","06_20_01_P","3200000","3200000-205-1997-02907","1997-06-09","","03","폐업","02","폐업","2026-03-04","","","","02 8744311","24.00","151-855","서울특별시 관악구 신림동 107-37","서울특별시 관악구 신림로28길 27 (신림동)","08838","타워세탁","2026-03-04 09:13:51","U","2026-03-06 02:40:00","일반세탁업","194206.929046371","441173.613185363","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"21","세탁업","06_20_01_P","3860000","3871000-205-1998-04443","1998-03-06","","03","폐업","02","폐업","2026-03-04","","","","3246797","27.88","","경기도 부천시 원미구 상동 436","경기도 부천시 원미구 부일로243번길 10-4 (상동)","14622","대성크리닝","2026-03-04 14:34:11","U","2026-03-06 02:40:00","일반세탁업","178452.371767904","442968.052961458","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"22","세탁업","06_20_01_P","3030000","3030000-205-2026-00002","2026-03-05","","01","영업/정상","01","영업","","","","","0222341643","9.00","133-807","서울특별시 성동구 금호동3가 1170-6","서울특별시 성동구 금호산길 30-1, 1층 (금호동3가)","04726","학성사","2026-03-05 14:34:21","I","2026-03-07 00:20:02","일반세탁업","201647.714175076","449850.809336243","일반세탁업","0","0","0","0","0","0","","","","","1","0","0","0","N",
"23","세탁업","06_20_01_P","3430000","3430000-205-2007-00002","2007-04-16","","03","폐업","02","폐업","2026-03-05","","","","053 5525422","19.95","703-806","대구광역시 서구 내당동 890-20","대구광역시 서구 달구벌대로373길 10 (내당동)","41871","매직크리닝","2026-03-05 11:25:29","U","2026-03-07 02:40:00","일반세탁업","341581.18081329","263562.451568902","일반세탁업","2","0","1","1","0","0","","","","임대","0","0","0","0","N",
"24","세탁업","06_20_01_P","4810000","4810000-205-2005-00001","2005-01-18","","01","영업/정상","01","영업","","","","","061 6855262","51.82","550-130","전라남도 여수시 서교동 30-5","전라남도 여수시 좌수영로 58, 1층 (서교동)","59752","동양세탁소","2026-03-04 17:21:55","U","2026-03-07 02:40:00","일반세탁업","266659.644596725","138795.463469076","일반세탁업","2","0","1","1","0","0","","","","","2","0","0","0","N",
"25","세탁업","06_20_01_P","5000000","5000000-205-1987-00008","1987-10-19","","03","폐업","02","폐업","2026-03-05","","","","0615437756","8.64","539-841","전라남도 진도군 임회면 석교리 245-44","전라남도 진도군 임회면 십일시길 23-13","58942","은하","2026-03-05 15:42:58","U","2026-03-07 02:40:00","일반세탁업","125656.435122951","101612.528474225","일반세탁업","1","0","1","0","0","0","","","","","0","0","0","0","N",
"26","세탁업","06_20_01_P","3150000","3150000-205-1992-00002","1992-02-25","","03","폐업","02","폐업","2026-03-05","","","","0226440686","33.00","157-894","서울특별시 강서구 화곡동 466-10","서울특별시 강서구 곰달래로49길 126 (화곡동)","07737","공작사","2026-03-05 16:57:50","U","2026-03-07 02:40:00","일반세탁업","187078.024037576","448267.308962281","일반세탁업","0","0","0","0","0","0","","","","","0","0","0","0","N",
"27","세탁업","06_20_01_P","5100000","5100000-205-2017-00002","2017-06-22","","03","폐업","02","폐업","2026-03-03","","","","","31.43","770-903","경상북도 영천시 야사동 116 영동상가","경상북도 영천시 야사4길 11, 영동상가 A동 201호 (야사동)","38859","버블크린방","2026-03-05 13:42:48","U","2026-03-07 02:40:00","빨래방업","375419.941288542","276889.040370044","빨래방업","0","0","0","0","0","0","","","","","1","0","0","2","N",
"28","세탁업","06_20_01_P","5710000","5730000-205-2005-02004","2005-03-28","","01","영업/정상","01","영업","","","","","043 2681252","43.65","361-856","충청북도 청주시 흥덕구 봉명동 2751 (1층)","충청북도 청주시 흥덕구 백봉로223번길 17 (봉명동,(1층))","28465","현대아이파크세탁소","2026-03-05 13:54:09","U","2026-03-07 02:40:00","일반세탁업","241074.893882653","349990.975993362","일반세탁업","0","0","1","1","0","0","","","","","0","0","0","0","N",
