번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,휴게실면적,사무실면적,탈의실면적,회원모집총인원,세부업종명,법인명,Unnamed: 40,record_key
757,체력단련장업,10_42_01_P,4520000,CDFH3301062026000003,2026-02-24,,1,영업/정상,13,영업중,,,,,,786.0,,충청남도 아산시 탕정면 매곡리 1387 한들물빛도시지웰시티센트럴푸르지오3단지,"충청남도 아산시 탕정면 한들물빛5로 36, 한들물빛도시지웰시티센트럴푸르지오3단지 I동 208호 (한들물빛도시지웰시티센트럴푸르지오3단지)",31465.0,더 프라이빗 PT,2026-02-24 11:22:19,I,2026-02-26 00:20:08,,207750.157242468,365053.194781824,체력단련장업,사립,,1,0,2146.7,0,0.0,0.0,0,,,,더프라이빗PT_충청남도아산시탕정면매곡리1387한들물빛도시지웰시티센트럴푸르지오3단지
759,체력단련장업,10_42_01_P,3600000,CDFH3301062026000002,2026-02-24,,1,영업/정상,13,영업중,,,,,,1117.66,,광주광역시 서구 농성동 418-7 퍼시스광주센터,"광주광역시 서구 무진대로 956, 퍼시스광주센터 5층 (농성동)",61932.0,달려라휘트니스 신세계농성점,2026-02-24 08:54:24,I,2026-02-26 00:20:08,,189452.15219765,184606.454535784,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,달려라휘트니스신세계농성점_광주광역시서구농성동418-7퍼시스광주센터
756,체력단련장업,10_42_01_P,4641000,CDFH3301062026000007,2026-02-24,,1,영업/정상,13,영업중,,,,,,39.0,,전북특별자치도 전주시 완산구 효자동3가 1468-4,"전북특별자치도 전주시 완산구 세내로 520, 102호 (효자동3가)",54956.0,하루에 선물,2026-02-24 14:13:54,I,2026-02-26 00:20:08,,209145.835,259201.305,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,하루에선물_전북특별자치도전주시완산구효자동3가1468-4
682,체력단련장업,10_42_01_P,4060000,CDFH3301062026000003,2026-02-23,,1,영업/정상,13,영업중,,,,,,165.09,,경기도 파주시 와동동 1460 유은타워9차,"경기도 파주시 경의로1240번길 15, 유은타워9차 705호 (와동동)",10896.0,벨스,2026-02-23 14:01:12,I,2026-02-25 00:20:01,,178940.230886891,469595.332297633,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,벨스_경기도파주시와동동1460유은타워9차
683,체력단련장업,10_42_01_P,3050000,CDFH3301062026000003,2026-02-23,,1,영업/정상,13,영업중,,,,,,185.8,,서울특별시 동대문구 청량리동 519,"서울특별시 동대문구 홍릉로 71, 4층 (청량리동)",2483.0,쥠,2026-02-23 16:17:05,I,2026-02-25 00:20:01,,203712.805679732,453800.521801328,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,쥠_서울특별시동대문구청량리동519
684,체력단련장업,10_42_01_P,4520000,CDFH3301062026000002,2026-02-23,,1,영업/정상,13,영업중,,,,,,893.19,,충청남도 아산시 권곡동 524-13 소닉,"충청남도 아산시 충무로 100, 소닉 2층 202호 (권곡동)",31515.0,웰컴투짐,2026-02-23 18:29:48,I,2026-02-25 00:20:01,,200594.841744747,365377.341705963,체력단련장업,사립,,4,0,3243.39,0,0.0,0.0,0,,,,웰컴투짐_충청남도아산시권곡동524-13소닉
685,체력단련장업,10_42_01_P,3140000,CDFH3301062026000002,2026-02-23,,1,영업/정상,13,영업중,,,,,,257.34,,서울특별시 양천구 목동 621-5 목동 트라움시티,"서울특별시 양천구 등촌로 200, 목동 트라움시티 지층 (목동)",7950.0,터치앤고,2026-02-23 11:22:25,I,2026-02-25 00:20:01,,187870.321355575,449455.902544701,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,터치앤고_서울특별시양천구목동621-5목동트라움시티
690,체력단련장업,10_42_01_P,3190000,CDFH3301062026000002,2026-02-23,,1,영업/정상,13,영업중,,,,,,78.75,,서울특별시 동작구 사당동 309-20,"서울특별시 동작구 사당로16길 61, 지1층 (사당동)",7011.0,프리원핏 이수점,2026-02-23 18:33:47,I,2026-02-25 00:20:01,,197465.772698983,442084.788784619,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,프리원핏이수점_서울특별시동작구사당동309-20
686,체력단련장업,10_42_01_P,5220000,CDFH3301062026000001,2026-02-23,,1,영업/정상,13,영업중,,,,,054-975-3219,292.4,,경상북도 칠곡군 왜관읍 왜관리 285-57,"경상북도 칠곡군 왜관읍 중앙로 147, 지하 1층",39895.0,크로스핏 호국,2026-02-23 17:13:23,I,2026-02-25 00:20:01,,326084.987628453,277344.371894175,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,크로스핏호국_경상북도칠곡군왜관읍왜관리285-57
687,체력단련장업,10_42_01_P,5540000,CDFH3301062026000001,2026-02-23,,1,영업/정상,13,영업중,,,,,,,,경기도 광주시 송정동 139-9,"경기도 광주시 송정로 7, 3층 (송정동)",12739.0,더플로우짐,2026-02-23 11:15:16,I,2026-02-25 00:20:01,,222769.416947263,435238.156403912,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,더플로우짐_경기도광주시송정동139-9
688,체력단련장업,10_42_01_P,5710000,CDFH3301062026000004,2026-02-23,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 상당구 방서동 820,"충청북도 청주시 상당구 동남로 43, 605호 (방서동)",28786.0,레이어드 PT 스튜디오,2026-02-23 17:37:02,I,2026-02-25 00:20:01,,245603.109225431,344689.499982496,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,레이어드PT스튜디오_충청북도청주시상당구방서동820
689,체력단련장업,10_42_01_P,3180000,CDFH3301062026000003,2026-02-23,,1,영업/정상,13,영업중,,,,,,142.06,,서울특별시 영등포구 신길동 115-8,"서울특별시 영등포구 도신로60길 8, 지하1층 (신길동)",7349.0,스케일즈,2026-02-23 13:38:31,I,2026-02-25 00:20:01,,192589.92170201,445447.050818388,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,스케일즈_서울특별시영등포구신길동115-8
615,체력단련장업,10_42_01_P,3940000,CDFH3301062026000008,2026-02-20,,1,영업/정상,13,영업중,,,,,,166.67,,경기도 고양시 일산동구 마두동 737 두성코아빌딩,"경기도 고양시 일산동구 일산로 213, 두성코아빌딩 지하층 107호 (마두동)",10416.0,펑셔널 퍼포먼스 트레이닝,2026-02-20 10:10:45,I,2026-02-22 00:20:02,,181328.402650492,461450.787941194,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,펑셔널퍼포먼스트레이닝_경기도고양시일산동구마두동737두성코아빌딩
613,체력단련장업,10_42_01_P,3180000,CDFH3301062026000002,2026-02-20,,1,영업/정상,13,영업중,,,,,,495.9,,서울특별시 영등포구 양평동3가 45 롯데마트 양평점,"서울특별시 영등포구 선유로 138, 롯데마트 양평점 2층 (양평동3가)",7255.0,헬스보이짐 롯데마트 양평점,2026-02-20 18:24:11,I,2026-02-22 00:20:02,,190352.321686588,447095.641206789,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,헬스보이짐롯데마트양평점_서울특별시영등포구양평동3가45롯데마트양평점
614,체력단련장업,10_42_01_P,3740000,CDFH3301062026000007,2026-02-20,,1,영업/정상,13,영업중,,,,,,191.53,,경기도 수원시 영통구 이의동 1275-7,"경기도 수원시 영통구 대학로 18, 5층 501호 (이의동)",16226.0,지핏,2026-02-20 17:48:22,I,2026-02-22 00:20:02,,203707.245605666,421794.32163587,체력단련장업,사립,,1,0,1934.0,0,0.0,0.0,0,,,,지핏_경기도수원시영통구이의동1275-7
547,체력단련장업,10_42_01_P,3230000,CDFH3301062026000004,2026-02-19,,1,영업/정상,13,영업중,,,,,,63.65,,서울특별시 송파구 가락동 18-8 혜천빌딩,"서울특별시 송파구 중대로23길 21, 302호 (가락동)",5702.0,My PT Studio,2026-02-19 09:30:17,I,2026-02-21 00:20:05,,211017.218735522,444471.40992112,체력단련장업,사립,,1,1,1363.27,0,0.0,0.0,0,,,,MyPTStudio_서울특별시송파구가락동18-8혜천빌딩
548,체력단련장업,10_42_01_P,3050000,CDFH3301062026000002,2026-02-19,,1,영업/정상,13,영업중,,,,,02-6012-0907,209.31,,서울특별시 동대문구 장안동 431-3,"서울특별시 동대문구 장한로 25, 5층 (장안동)",2636.0,바르지 근골격운동센터,2026-02-19 17:23:40,I,2026-02-21 00:20:05,,205743.422814839,451284.080255576,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,바르지근골격운동센터_서울특별시동대문구장안동431-3
549,체력단련장업,10_42_01_P,3230000,CDFH3301062026000005,2026-02-19,,1,영업/정상,13,영업중,,,,,,123.05,,서울특별시 송파구 가락동 40-2,"서울특별시 송파구 송이로17길 23, 지하1층 (가락동)",5715.0,프리원핏 가락점,2026-02-19 09:31:41,I,2026-02-21 00:20:05,,210828.285351376,444156.129312109,체력단련장업,사립,,1,1,497.32,0,0.0,0.0,0,,,,프리원핏가락점_서울특별시송파구가락동40-2
546,체력단련장업,10_42_01_P,3570000,CDFH3301062026000001,2026-02-19,,1,영업/정상,13,영업중,,,,,032-937-9870,,,인천광역시 강화군 불은면 두운리 205-1,인천광역시 강화군 불은면 강화동로 587,23046.0,우리동네 헬스/PT,2026-02-19 15:07:59,I,2026-02-21 00:20:05,,153801.210353273,465222.739360113,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,우리동네헬스/PT_인천광역시강화군불은면두운리205-1
545,체력단련장업,10_42_01_P,5710000,CDFH3301062026000003,2026-02-19,,1,영업/정상,13,영업중,,,,,,115.9,,충청북도 청주시 상당구 방서동 672 센터프라자,"충청북도 청주시 상당구 1순환로 1204-4, 센터프라자 202호 (방서동)",28787.0,엠오엠 운동센터,2026-02-19 16:53:44,I,2026-02-21 00:20:05,,244684.789281247,345008.277823923,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,엠오엠운동센터_충청북도청주시상당구방서동672센터프라자
544,체력단련장업,10_42_01_P,5710000,CDFH3301062026000002,2026-02-19,,1,영업/정상,13,영업중,,,,,,226.84,,충청북도 청주시 흥덕구 오송읍 만수리 524 백천빌딩,"충청북도 청주시 흥덕구 오송읍 오송생명로 206, 백천빌딩 7층",28166.0,포먼스센터,2026-02-19 14:28:20,I,2026-02-21 00:20:05,,229588.598820508,347742.541398034,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,포먼스센터_충청북도청주시흥덕구오송읍만수리524백천빌딩
543,체력단련장업,10_42_01_P,3100000,CDFH3301062026000001,2026-02-19,,1,영업/정상,13,영업중,,,,,,128.14,,서울특별시 노원구 상계동 1118-38 한올빌딩,"서울특별시 노원구 동일로239가길 22, 한올빌딩 4층 (상계동)",1608.0,핏피티,2026-02-19 15:17:10,I,2026-02-21 00:20:05,,204768.709427998,463759.191280052,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,핏피티_서울특별시노원구상계동1118-38한올빌딩
504,체력단련장업,10_42_01_P,4010000,CDFH3301062026000002,2026-02-13,,1,영업/정상,13,영업중,,,,,,153.38,,경기도 시흥시 매화동 200-5,"경기도 시흥시 매화1로 2, A동 3층 301호 (매화동)",14940.0,하움 피트니스 헬스 PT & 필라테스,2026-02-13 09:02:41,I,2026-02-15 00:20:02,,183488.17090566,434914.633016428,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,하움피트니스헬스PT&필라테스_경기도시흥시매화동200-5
506,체력단련장업,10_42_01_P,3910000,CDFH3301062026000010,2026-02-13,,1,영업/정상,13,영업중,,,,,,399.75,,경기도 평택시 칠원동 9-12,경기도 평택시 원칠원길 56-17 (칠원동),17726.0,엘리펀트 평택,2026-02-13 13:25:40,I,2026-02-15 00:20:02,,208915.980200529,392344.019285639,체력단련장업,사립,,1,1,399.75,0,0.0,0.0,0,,,,엘리펀트평택_경기도평택시칠원동9-12
505,체력단련장업,10_42_01_P,4010000,CDFH3301062026000003,2026-02-13,,1,영업/정상,13,영업중,,,,,,87.41,,경기도 시흥시 조남동 654 더클래스투,"경기도 시흥시 목감남서로 9-33, 더클래스투 105호 (조남동)",14988.0,목감재활운동전문센터,2026-02-13 15:09:19,I,2026-02-15 00:20:02,,186939.825181036,430705.355863492,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,목감재활운동전문센터_경기도시흥시조남동654더클래스투
453,체력단련장업,10_42_01_P,3990000,CDFH3301062026000007,2026-02-12,,1,영업/정상,13,영업중,,,,,0315212323,,,경기도 남양주시 와부읍 덕소리 600-14 세양청마루,"경기도 남양주시 와부읍 덕소로116번길 20, 101호 (세양청마루)",12215.0,위너스포랜드,2026-02-12 15:02:22,I,2026-02-14 00:20:02,,218476.946787981,453708.820754811,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,위너스포랜드_경기도남양주시와부읍덕소리600-14세양청마루
454,체력단련장업,10_42_01_P,4830000,CDFH3301062026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,전라남도 나주시 빛가람동 348-13,"전라남도 나주시 문화로 238, 아주드림타워 2차 301호 (빛가람동)",58325.0,무브앤플레이,2026-02-12 17:47:25,I,2026-02-14 00:20:02,,180333.601162668,169018.242392809,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,무브앤플레이_전라남도나주시빛가람동348-13
451,체력단련장업,10_42_01_P,3120000,CDFH3301062026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,194.62,,서울특별시 서대문구 남가좌동 332-29 우일빌딩,"서울특별시 서대문구 모래내로 217, 우일빌딩 B1층 (남가좌동)",3693.0,무브온,2026-02-12 16:37:19,I,2026-02-14 00:20:02,,193162.25739781,452416.24503159,체력단련장업,사립,,1,1,953.5,0,0.0,0.0,0,,,,무브온_서울특별시서대문구남가좌동332-29우일빌딩
452,체력단련장업,10_42_01_P,3020000,CDFH3301062026000003,2026-02-12,,1,영업/정상,13,영업중,,,,,,85.09,,서울특별시 용산구 용산동2가 5-79,"서울특별시 용산구 신흥로 13-1, 지층 (용산동2가)",4338.0,더템플짐,2026-02-12 08:56:12,I,2026-02-14 00:20:02,,198724.871725235,448619.31039157,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,더템플짐_서울특별시용산구용산동2가5-79
448,체력단련장업,10_42_01_P,3240000,CDFH3301062026000004,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강동구 성내동 459-9 삼성파크타워,"서울특별시 강동구 강동대로 143, 지하1층 1호 (성내동, 삼성파크타워)",5400.0,스포츠사이언스랩코리아,2026-02-12 16:13:38,I,2026-02-14 00:20:02,,210828.542629529,447175.373004254,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,스포츠사이언스랩코리아_서울특별시강동구성내동459-9삼성파크타워
449,체력단련장업,10_42_01_P,3940000,CDFH3301062026000007,2026-02-12,,1,영업/정상,13,영업중,,,,,031-977-5755,81.56,,경기도 고양시 일산동구 중산동 1836-2 현대프라자,"경기도 고양시 일산동구 중산로 63, 현대프라자 202호 (중산동)",10355.0,에이플러스짐 PT 중산점,2026-02-12 15:11:05,I,2026-02-14 00:20:02,,180710.233914855,463949.273778647,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,에이플러스짐PT중산점_경기도고양시일산동구중산동1836-2현대프라자
450,체력단련장업,10_42_01_P,4870000,CDFH3301062026000001,2026-02-12,,1,영업/정상,13,영업중,,,,,,156.37,,전라남도 구례군 구례읍 봉북리 1436-1,"전라남도 구례군 구례읍 동편제길 17, 2층",57646.0,땀터짐,2026-02-12 13:38:46,I,2026-02-14 00:20:02,,242061.881585594,190765.854143795,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,땀터짐_전라남도구례군구례읍봉북리1436-1
447,체력단련장업,10_42_01_P,4641000,CDFH3301062026000006,2026-02-12,,1,영업/정상,13,영업중,,,,,,568.0,,전북특별자치도 전주시 완산구 효자동2가 1227-2,"전북특별자치도 전주시 완산구 홍산북로 11-3, 3층 (효자동2가)",54966.0,마이짐,2026-02-12 10:12:25,I,2026-02-14 00:20:02,,209215.120749847,257520.725947183,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,마이짐_전북특별자치도전주시완산구효자동2가1227-2
298,체력단련장업,10_42_01_P,3640000,CDFH3301062026000002,2026-02-11,,1,영업/정상,13,영업중,,,,,,275.31,,대전광역시 동구 낭월동 459,대전광역시 동구 산내로 1321 (낭월동),34704.0,유짐,2026-02-11 09:03:45,I,2026-02-13 00:20:38,,241910.587106875,309054.555267598,체력단련장업,사립,,1,0,550.62,0,0.0,0.0,0,,,,유짐_대전광역시동구낭월동459
297,체력단련장업,10_42_01_P,3940000,CDFH3301062026000006,2026-02-11,,1,영업/정상,13,영업중,,,,,,215.0,,경기도 고양시 덕양구 삼송동 143-18,"경기도 고양시 덕양구 세솔로1길 19-4, B동 1층 (삼송동)",10590.0,보이저콜렉티브 2호점,2026-02-11 10:26:11,I,2026-02-13 00:20:38,,190228.452695577,461022.152966244,체력단련장업,사립,,1,0,215.0,0,0.0,0.0,0,,,,보이저콜렉티브2호점_경기도고양시덕양구삼송동143-18
296,체력단련장업,10_42_01_P,3350000,CDFH3301062026000002,2026-02-11,,1,영업/정상,13,영업중,,,,,,94.44,,부산광역시 금정구 구서동 1013-5,"부산광역시 금정구 금샘로 419, 2층 (구서동)",46235.0,마이너PT스튜디오,2026-02-11 17:13:56,I,2026-02-13 00:20:38,,389597.400218161,197663.503148215,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,마이너PT스튜디오_부산광역시금정구구서동1013-5
299,체력단련장업,10_42_01_P,3990000,CDFH3301062026000006,2026-02-11,,1,영업/정상,13,영업중,,,,,,744.28,,경기도 남양주시 별내동 1066,"경기도 남양주시 별내중앙로 102-73, 삼양스퀘어 B동 4층 (별내동)",12108.0,마운트짐,2026-02-11 14:59:35,I,2026-02-13 00:20:38,,210505.786323525,461205.579423854,체력단련장업,사립,,2,0,0.0,0,0.0,0.0,0,,,,마운트짐_경기도남양주시별내동1066
295,체력단련장업,10_42_01_P,3080000,CDFH3301062026000002,2026-02-11,,1,영업/정상,13,영업중,,,,,,211.65,,서울특별시 강북구 번동 191,"서울특별시 강북구 월계로37길 129, 3층 (번동)",1226.0,엘투(L2)피트니스,2026-02-11 17:19:52,I,2026-02-13 00:20:38,,203784.358132827,458347.853266178,체력단련장업,사립,,0,0,0.0,0,0.0,0.0,0,,,,엘투(L2)피트니스_서울특별시강북구번동191
294,체력단련장업,10_42_01_P,3560000,CDFH3301062026000002,2026-02-11,,1,영업/정상,13,영업중,,,,,,202.39,,인천광역시 서구 당하동 1097-7 삼성프라자,"인천광역시 서구 청마로167번길 9, 삼성프라자 3층 301,302호 (당하동)",22677.0,피트니스365 인천완정역점,2026-02-11 18:16:05,I,2026-02-13 00:20:38,,171288.770709893,454478.273707031,체력단련장업,사립,,1,0,0.0,0,0.0,0.0,0,,,,피트니스365인천완정역점_인천광역시서구당하동1097-7삼성프라자
