"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"26","안경업","01_02_01_P","3060000","PHMB219963060034082200003","1996-11-14","","01","영업/정상","13","영업중","","","","","02-2209-7777","","131-859","서울특별시 중랑구 상봉2동 106번지 24호","서울특별시 중랑구 봉우재로 127 (상봉동)","02153","일공공일안경 위드렌즈 (상봉점)","2026-02-04 16:16:52","U","2026-02-07 02:40:00","","207623.186117364","454526.197135492","1","1","1","1","1","1","1","1","1","64.84",
"27","안경업","01_02_01_P","4191000","PHMB220264191050082200001","2026-02-09","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 원주시 문막읍 후용리 882 경동대학교 메디컬캠퍼스","강원특별자치도 원주시 문막읍 견훤로 815, 경동대학교 메디컬캠퍼스 강의2동 4층 409호","26495","KDU 오큘러스 프레임 랩 안경원","2026-02-09 16:28:06","I","2026-02-11 00:20:41","","270376.914270365","418451.827583191","1","0","0","1","2","0","0","0","0","0",
"28","안경업","01_02_01_P","3830000","PHMB220193830263082200002","2019-03-26","","01","영업/정상","13","영업중","","","","","031-427-7890","","","경기도 안양시 동안구 호계동 996번지 7호","경기도 안양시 동안구 경수대로 548, 1층 (호계동)","14112","신세계안경원 위드렌즈","2026-02-09 09:43:07","U","2026-02-11 02:40:00","","196230.040682788","429952.149085119","1","1","1","1","2","1","1","1","1","79.4",
"29","안경업","01_02_01_P","3540000","PHMB220073540021082200001","2007-01-17","","01","영업/정상","13","영업중","","","","","032-508-0002","","403-836","인천광역시 부평구 산곡2동 182번지 한양프라자108호,203호","인천광역시 부평구 마장로 287 (산곡동, 한양프라자108호,203호)","21370","글라스박스안경원","2026-02-09 13:45:36","U","2026-02-11 02:40:00","","173516.270431136","444640.195974867","2","2","2","2","3","1","1","2","3","0",
"30","안경업","01_02_01_P","3900000","PHMB220233900028082200001","2023-03-30","","01","영업/정상","13","영업중","","","","","02-2135-9572","","","경기도 광명시 철산동 382 다인빌딩 102호","경기도 광명시 철산로 24, 다인빌딩 1층 102호 (철산동)","14237","MUSEE뮤제","2026-02-09 13:26:32","U","2026-02-11 02:40:00","","188343.512340699","441542.157893719","1","0","0","1","1","0","0","0","0","91",
"31","안경업","01_02_01_P","3660000","PHMB219953660023082200001","1995-10-13","","03","폐업","03","폐업","2026-02-09","","","","042-483-2807","","302-280","대전광역시 서구 월평1동 1014 (1층)","대전광역시 서구 월평로 34, 1층 (월평동)","35225","아이조아안경원","2026-02-09 17:39:35","U","2026-02-11 02:40:00","","232322.286323072","317299.619719689","0","0","0","0","0","0","0","0","0","25.13",
"32","안경업","01_02_01_P","3780000","PHMB220263780062082200001","2026-02-05","","01","영업/정상","13","영업중","","","","","031-747-7569","","","경기도 성남시 수정구 신흥동 6952 산성역포레스티아아파트 동문상가동 2층 201호","경기도 성남시 수정구 수정로 341, 산성역포레스티아아파트 동문상가동 2층 201호 (신흥동)","13260","으뜸플러스안경 산성역점","2026-02-10 09:23:35","I","2026-02-12 00:20:02","","213150.727958418","439150.626011968","1","0","0","1","1","0","0","0","0","67.16",
"33","안경업","01_02_01_P","3230000","PHMB219993230034082200002","1999-02-26","","01","영업/정상","13","영업중","","","","","424-5929","","","서울특별시 송파구 송파동 135-2","서울특별시 송파구 백제고분로 432 (송파동)","05662","1001안경송파점","2026-02-10 10:22:08","U","2026-02-12 02:40:00","","209821.471238859","445231.701403715","1","1","1","1","1","1","1","1","1","0",
"34","안경업","01_02_01_P","3410000","PHMB220093410023082200004","2009-11-24","","01","영업/정상","13","영업중","","","","","053-428-8001","","","대구광역시 중구 동인동4가 61번지 1층","대구광역시 중구 국채보상로 717 (동인동4가)","41907","으뜸50안경 대구 중구점","2026-02-10 16:29:36","U","2026-02-12 02:40:00","","345250.799023704","264394.764852653","1","1","1","1","1","1","1","1","1","132",
"35","안경업","01_02_01_P","3490000","PHMB220143490019082200001","2014-06-10","","01","영업/정상","13","영업중","","","","","","","","","인천광역시 중구 우현로87번길 2, 안경박사,베스킨라빈스,투썸플레이스 (인현동)","22316","글라스밤 위드렌즈 동인천점","2026-02-10 16:10:25","U","2026-02-12 02:40:00","","167252.2044415","441464.921988185","1","1","1","1","1","1","1","2","3","39.56",
"36","안경업","01_02_01_P","3310000","PHMB220083310024082200002","2008-06-17","","01","영업/정상","13","영업중","","","","","051-642-7792","","","부산광역시 남구 감만2동 33번지 183호","부산광역시 남구 석포로 58 (감만동)","48540","우리안경원 위드렌즈 감만점","2026-02-10 16:26:05","U","2026-02-12 02:40:00","","390179.911921609","182471.969477925","0","0","0","0","0","0","0","0","0","0",
"37","안경업","01_02_01_P","3700000","PHMB220263700018082200001","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","울산광역시 남구 신정동 1165-3 울산 문수로 동문 디 이스트","울산광역시 남구 돋질로 3, 102~103호 (신정동, 울산 문수로 동문 디 이스트)","44673","아이젠트리 위드렌즈 울산신정점","2026-02-10 14:04:07","U","2026-02-12 02:40:00","","409109.889735079","228790.003807724","1","0","0","1","1","0","0","0","0","96.57",
"38","안경업","01_02_01_P","3660000","PHMB220153660023082200008","2015-10-19","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 둔산동 1461","대전광역시 서구 둔산중로58번길 35, 1층 (둔산동)","35240","투나인(twonine)안경원","2026-02-10 10:04:09","U","2026-02-12 02:40:00","","234820.747904286","316865.031068125","1","1","1","1","1","1","1","1","1","182.7",
"39","안경업","01_02_01_P","5670000","PHMB220175670554082200002","2017-03-03","","01","영업/정상","13","영업중","","","","","055-296-2777","","","경상남도 창원시 의창구 북면 감계리 246-2","경상남도 창원시 의창구 북면 감계로110번길 53, 1층 2호","51112","아이콘택 위드렌즈 감계점","2026-02-10 13:15:38","U","2026-02-12 02:40:00","","344838.75272156","201366.80452213","1","1","1","1","1","1","1","2","2","0",
"40","안경업","01_02_01_P","3940000","PHMB220263940139082200001","2026-02-11","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 장항동 734-2 풍성프라자","경기도 고양시 일산동구 무궁화로 31-2, 풍성프라자 1층 102호 (장항동)","10364","봄안경렌즈베리 일산라페스타점","2026-02-11 11:50:40","I","2026-02-13 00:20:38","","179449.749672525","462327.132044475","1","0","0","1","1","0","0","0","0","41.44",
"41","안경업","01_02_01_P","3470000","PHMB220263470022082200003","2026-02-11","","01","영업/정상","13","영업중","","","","","053-214-1060","","","대구광역시 달서구 감삼동 599-69","대구광역시 달서구 달구벌대로 1516, 1층 (감삼동)","42687","세컨페이스 죽전점","2026-02-11 16:13:47","I","2026-02-14 00:20:02","","338410.98856019","262101.324631398","1","0","0","1","1","0","0","0","0","130",
"42","안경업","01_02_01_P","3200000","PHMB220263200033082200001","2026-02-11","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 관악구 난곡로 128, 1층 (신림동)","08857","아무래도 안경","2026-02-12 16:58:22","I","2026-02-14 00:20:02","","192900.179785801","440486.838891847","1","0","0","3","1","0","0","0","0","71.4",
"43","안경업","01_02_01_P","3660000","PHMB220263660023082200001","2026-02-10","","01","영업/정상","13","영업중","","","","","","","","대전광역시 서구 월평동 916 월드프라자","대전광역시 서구 월평로 40, 월드프라자 1층 105호 (월평동)","35225","아이조아안경원","2026-02-12 08:22:02","I","2026-02-14 00:20:02","","232402.370002561","317300.23624985","1","0","0","1","1","0","0","0","0","62.27",
"44","안경업","01_02_01_P","3930000","PHMB220263930154082200002","2026-02-12","","01","영업/정상","13","영업중","","","","","031-401-8889","","","경기도 안산시 단원구 고잔동 772 일번지프라자","경기도 안산시 단원구 광덕대로 146, 일번지프라자 115,116호 (고잔동)","15477","안경빛나","2026-02-12 17:20:57","I","2026-02-14 00:20:02","","184919.149707606","423062.801825418","1","0","0","1","2","0","0","0","0","0",
"45","안경업","01_02_01_P","3170000","PHMB220233170035082200002","2020-11-23","","03","폐업","03","폐업","2026-02-12","","","","","","","서울특별시 금천구 시흥동 879-97","서울특별시 금천구 금하로 645, 1층 (시흥동)","08626","안경집","2026-02-12 11:05:41","U","2026-02-14 02:40:00","","191334.975381517","439133.203931073","1","0","0","1","1","0","0","0","0","28",
"46","안경업","01_02_01_P","5070000","PHMB219935070014082200001","1993-04-10","","01","영업/정상","13","영업중","","","","","054-823-2065","","","","경상북도 안동시 보현로 46, 나동 (용상동)","36724","잘봄안경","2026-02-12 17:42:26","U","2026-02-14 02:40:00","","","","1","1","1","1","1","1","1","1","1","0",
"47","안경업","01_02_01_P","3140000","PHMB220243140033082200003","2024-08-07","","01","영업/정상","13","영업중","","","","","02-2163-2298","","","서울특별시 양천구 목동 916 현대하이페리온, 지하 2층","서울특별시 양천구 목동동로 257, 지하 2층 (목동, 현대하이페리온)","07998","오렌즈 현대백화점 목동점","2026-02-11 10:34:15","U","2026-02-14 02:40:00","","188884.075622342","447186.888604306","1","0","0","1","1","0","0","0","0","29.75",
"48","안경업","01_02_01_P","4880000","PHMB219974880017082200001","2014-02-21","","01","영업/정상","13","영업중","","","","","061-835-5166","","548-805","전라남도 고흥군 고흥읍 서문리 218번지 14호 32통 2반","전라남도 고흥군 고흥읍 여산당촌길 18-1","","아이리드","2026-02-11 08:45:35","U","2026-02-14 02:40:00","","225705.940388737","123302.636874777","1","1","1","1","1","1","1","1","1","0",
"49","안경업","01_02_01_P","5020000","PHMB220165020055082200003","2016-06-28","","01","영업/정상","13","영업중","","","","","054-292-5531","","","경상북도 포항시 남구 오천읍 원리 1080-3","경상북도 포항시 남구 오천읍 원동로 91","37881","다비치안경 포항원동점","2026-02-11 16:36:59","U","2026-02-14 02:40:00","","416634.103595604","277101.242217726","1","1","1","1","1","1","1","1","1","243",
"50","안경업","01_02_01_P","5670000","PHMB220075280165082200003","2007-04-18","","01","영업/정상","13","영업중","","","","","245-7010","","","경상남도 창원시 마산합포구 월포동 1-1 벽산블루밍아파트","경상남도 창원시 마산합포구 3·15대로 154-1, 벽산블루밍아파트 상가 1층 102호 (월포동)","51738","아이디어마산점","2026-02-12 16:34:54","U","2026-02-14 02:40:00","","342582.345701773","189250.47330214","1","1","1","1","1","1","1","1","1","66.82",
"51","안경업","01_02_01_P","3900000","PHMB220003900028082200002","2000-10-23","","01","영업/정상","13","영업중","","","","","2684-2003","","","경기도 광명시 광명동 158-498","경기도 광명시 오리로 963, 제1호 1층 (광명동)","14263","으뜸착한안경아이마트 위드렌즈","2026-02-11 17:16:15","U","2026-02-14 02:40:00","","187214.466650365","441841.616479835","1","1","1","1","2","1","1","1","1","101.35",
"52","안경업","01_02_01_P","3980000","PHMB220033980021082200002","2003-07-24","","03","폐업","03","폐업","2026-02-12","","","","","","","경기도 구리시 인창동 563-98 흥남빌딩","경기도 구리시 동구릉로 26, 흥남빌딩 2층 202호 (인창동)","11923","모던글라스","2026-02-12 13:13:10","U","2026-02-14 02:40:00","","211600.453824158","455617.670734489","1","1","1","1","1","1","1","1","1","80",
"53","안경업","01_02_01_P","3100000","PHMB220003100034082200003","2000-05-18","","01","영업/정상","13","영업중","","","","","02-933-1501","","139-861","서울특별시 노원구 중계동 364번지 19호 삼부프라자 120","서울특별시 노원구 한글비석로 242 (중계동)","01734","그랑프리 안경원 중계점","2026-02-11 19:47:32","U","2026-02-14 02:40:00","","206722.570979588","460773.224171754","0","0","0","0","0","0","0","0","0","0",
"54","안경업","01_02_01_P","4520000","PHMB220264520031082200001","2012-03-21","","01","영업/정상","13","영업중","","","","","587-0011","","","충청남도 아산시 배방읍 세교리 1585","충청남도 아산시 배방읍 동방로 180-3, 105-106호","31473","아쿠아이즈 배방점","2026-02-13 14:48:25","I","2026-02-15 00:20:02","","208384.051181771","364131.311171766","1","1","1","1","1","1","1","2","2","87",
"55","안경업","01_02_01_P","3000000","PHMB220263000034082200002","2026-02-13","","01","영업/정상","13","영업중","","","","","02-6223-3733","","","서울특별시 종로구 팔판동 70","서울특별시 종로구 삼청로 67, 1층 (팔판동)","03054","블루선 북촌점","2026-02-13 16:49:00","I","2026-02-15 00:20:02","","198256.310070339","453263.427059972","1","0","0","1","1","0","0","0","0","117.5",
"56","안경업","01_02_01_P","5710000","PHMB220265710108082200001","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 흥덕구 가경동 639-1","충청북도 청주시 흥덕구 서현남로 16, 110호 (가경동)","28382","아이숲안경","2026-02-13 15:48:23","I","2026-02-15 00:20:02","","","","1","0","0","1","1","0","0","0","0","62.13",
"57","안경업","01_02_01_P","3540000","PHMB220153540021082200006","2015-10-06","","03","폐업","03","폐업","2026-02-13","","","","032-503-2119","","","인천광역시 부평구 부평동 224번지 1호","인천광역시 부평구 광장로 지하 15, 지하 1층 3,4호 (부평동, 지하부평역)","21404","세븐게이트(SEVEN7GATE)","2026-02-13 16:24:34","U","2026-02-15 02:40:00","","175704.930517223","443747.602757893","1","1","1","1","1","1","1","1","1","96.88",
"58","안경업","01_02_01_P","3700000","PHMB220163700018082200001","2016-01-08","","01","영업/정상","13","영업중","","","","","052-956-1101","","","울산광역시 남구 무거동 327번지 28호","울산광역시 남구 북부순환도로 11, 1층 (무거동)","44632","이끌림안경원 위드렌즈 울산무거점","2026-02-13 16:03:11","U","2026-02-15 02:40:00","","405311.601118312","230308.141768763","0","0","0","0","0","0","0","0","0","0",
"59","안경업","01_02_01_P","4080000","PHMB219974080023082200001","1997-04-03","","01","영업/정상","13","영업중","","","","","676-1001","","331-779","충청남도 천안시 서북구 두정동 1596번지 56통 3반 우남아파트 103동 1503호","경기도 안성시 대덕면 서동대로 4726","17546","중앙대 안경원","2026-02-13 14:39:13","U","2026-02-15 02:40:00","","213026.698466186","370760.174943804","0","0","0","0","0","0","0","0","0","0",
"60","안경업","01_02_01_P","5690000","PHMB220175690045082200004","2017-06-28","","01","영업/정상","13","영업중","","","","","044-863-6776","","","","세종특별자치시 새롬중앙로 55, 106호 (새롬동, 행운빌딩)","30126","레이 안경원","2026-02-13 11:18:31","U","2026-02-15 02:40:00","","222364.917003032","331672.233133012","1","1","1","1","1","1","1","1","1","51.68",
"61","안경업","01_02_01_P","4400000","PHMB220014400020082200001","2001-07-13","","01","영업/정상","13","영업중","","","","","043-651-9009","","390-012","제천시 중앙로2가 79-5","충청북도 제천시 의림대로 148 (중앙로2가)","27173","일공공일안경","2026-02-19 11:02:18","U","2026-02-21 02:40:00","","307627.578855504","404991.024799272","1","1","1","1","1","1","1","1","1","0",
"62","안경업","01_02_01_P","3020000","PHMB219913020033082200013","1991-08-05","","01","영업/정상","13","영업중","","","","","02-793-0161","","","서울특별시 용산구 이촌동 301-263 렉스상가","서울특별시 용산구 이촌로 300, 렉스상가 1층 6-2호 (이촌동)","04425","이촌안경원","2026-02-19 15:29:35","U","2026-02-21 02:40:00","","198165.767858385","446185.244544796","1","1","1","1","2","1","1","1","1","24.79",
"63","안경업","01_02_01_P","3820000","PHMB220143820050082200005","2014-08-01","","01","영업/정상","13","영업중","","","","","031-852-2128","","480-865","경기도 의정부시 금오동 474번지 1호","경기도 의정부시 청사로 50, 101,102,104호 (금오동)","11757","안경공장 나들이 금오점(Seechannel)","2026-02-19 10:19:56","U","2026-02-21 02:40:00","","206114.983577884","472262.491534624","1","1","1","1","1","1","1","1","1","94.5",
"64","안경업","01_02_01_P","3740000","PHMB220053740031082200002","2005-05-20","","01","영업/정상","13","영업중","","","","","031-284-6797","","440-825","경기도 수원시 장안구 율전동 298-6","경기도 수원시 장안구 율전로 104 (율전동)","16360","타이픈 안경 성대점","2026-02-19 10:51:38","U","2026-02-21 02:40:00","","197195.175409597","421844.954091244","0","0","0","0","0","0","0","0","0","0",
"65","안경업","01_02_01_P","4820000","PHMB220224820026082200003","2022-09-08","","01","영업/정상","13","영업중","","","","","061-727-7890","","","전라남도 순천시 왕지동 877-9","전라남도 순천시 왕지4길 20-8, 1층 (왕지동)","57932","스타일박스","2026-02-19 11:02:11","U","2026-02-21 02:40:00","","247879.397454655","163372.971838725","1","0","0","1","1","0","0","0","0","0",
"66","안경업","01_02_01_P","5670000","PHMB220265670071082200001","2026-02-20","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 진해구 용원동 1342-2","경상남도 창원시 진해구 신항동로 115, 서주프라자 A동 1층 101호 (용원동)","51611","으뜸안경아울렛신항점","2026-02-20 17:19:23","I","2026-02-22 00:20:02","","365534.808709888","178102.416617256","1","0","0","1","1","0","0","0","0","50",
"67","안경업","01_02_01_P","3180000","PHMB219913180034082200007","1991-04-12","","01","영업/정상","13","영업중","","","","","02-2676-1611","","","서울특별시 영등포구 영등포동6가 10번지","서울특별시 영등포구 영중로 65, 1층 (영등포동6가)","07251","아이비전안경콘택트","2026-02-20 10:37:51","U","2026-02-22 02:40:00","","191510.997808133","446660.816763594","0","0","0","0","0","0","0","0","0","49.5",
