번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),판매점영업면적,Unnamed: 29,record_key
54,안전상비의약품 판매업소,01_01_05_P,3460000,PHMH320263460023087500005,2026-03-04,,1,영업/정상,13,영업중,,,,,,,,대구광역시 수성구 범어동 47-5 DCT빌딩,"대구광역시 수성구 동대구로80길 14, DCT빌딩 (범어동)",42020,이마트24 범어DCT점,2026-03-04 17:12:51,I,2026-03-07 00:20:02,,346978.023945374,264063.670306961,0.0,,이마트24범어DCT점_대구광역시수성구범어동47-5DCT빌딩
56,안전상비의약품 판매업소,01_01_05_P,4170000,PHMH320264170019087500001,2026-03-04,,1,영업/정상,13,영업중,,,,,,,,경기도 양평군 강상면 교평리 295-7 안동본가국밥,경기도 양평군 강상면 강남로 1051,12572,GS25 양평강남로점,2026-03-04 16:36:13,I,2026-03-07 00:20:02,,242976.615448983,441846.997745672,3.3,,GS25양평강남로점_경기도양평군강상면교평리295-7안동본가국밥
64,안전상비의약품 판매업소,01_01_05_P,3200000,PHMH320263200033087500002,2026-03-04,,1,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 봉천동 1539-12 1층,"서울특별시 관악구 참숯1길 10, 1층 (봉천동)",08830,지에스(GS)25 서울대이편한점,2026-03-04 18:07:17,I,2026-03-07 00:20:02,,194791.570192415,441867.073741014,67.0,,지에스(GS)25서울대이편한점_서울특별시관악구봉천동1539-121층
38,안전상비의약품 판매업소,01_01_05_P,3490000,PHMH320263490019087500004,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,인천광역시 중구 중산동 1255-65,"인천광역시 중구 중산로 52, 2호 (중산동)",22358,씨유 모두피싱점,2026-03-04 16:49:02,I,2026-03-06 00:20:02,,160962.542619406,444642.25332746,102.0,,씨유모두피싱점_인천광역시중구중산동1255-65
61,안전상비의약품 판매업소,01_01_05_P,5530000,PHMH320265530661087500002,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,경기도 화성시 동탄구 신동 718 동탄 아테라 파밀리에,"경기도 화성시 동탄구 동탄신리천로3길 59, 110호 (신동, 동탄 아테라 파밀리에)",18491,지에스25나눔동탄아테라점,2026-03-04 20:10:32,I,2026-03-07 00:20:02,,,,64.23,,지에스25나눔동탄아테라점_경기도화성시동탄구신동718동탄아테라파밀리에
35,안전상비의약품 판매업소,01_01_05_P,3560000,PHMH320263560021087500008,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,인천광역시 서구 청라동 150-1 청라푸르지오아파트,"인천광역시 서구 크리스탈로102번길 25, 상가1동 103, 104호 (청라동, 청라푸르지오아파트)",22760,지에스25 골든스팟점,2026-03-04 09:08:48,I,2026-03-06 00:20:02,,167977.969289108,448144.10331852,0.0,,지에스25골든스팟점_인천광역시서구청라동150-1청라푸르지오아파트
34,안전상비의약품 판매업소,01_01_05_P,3440000,PHMH320263440024087500002,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,대구광역시 남구 대명동 2017-13 e편한세상 명덕역 퍼스트마크,"대구광역시 남구 명덕로 200, 301동 102호 (대명동, e편한세상 명덕역 퍼스트마크)",42422,씨유 e편한세상퍼스트마크점,2026-03-04 13:51:24,I,2026-03-06 00:20:02,,343883.433373668,262741.12688594,39.96,,씨유e편한세상퍼스트마크점_대구광역시남구대명동2017-13e편한세상명덕역퍼스트마크
85,안전상비의약품 판매업소,01_01_05_P,3290000,PHMH320263290024087500004,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,부산광역시 부산진구 부전동 486-27,"부산광역시 부산진구 가야대로 785, 101호 (부전동)",47257,지에스(GS)25 서면글로리점,2026-03-05 09:45:34,U,2026-03-07 02:40:00,,387409.062099315,186248.184231033,0.0,,지에스(GS)25서면글로리점_부산광역시부산진구부전동486-27
4,안전상비의약품 판매업소,01_01_05_P,4090000,PHMH320264090023087500001,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 운양동 1289-3,"경기도 김포시 김포한강11로438번길 200-5, 104-107호 (운양동)",10074,지에스25 운양스타점,2026-03-03 17:31:37,I,2026-03-05 00:20:02,,172774.306597731,461184.586569561,137.17,,지에스25운양스타점_경기도김포시운양동1289-3
5,안전상비의약품 판매업소,01_01_05_P,4191000,PHMH320264191050087500006,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 원주시 단계동 146-1,강원특별자치도 원주시 원문로 116 (단계동),26408,씨유 단계사거리점,2026-03-03 15:49:15,I,2026-03-05 00:20:02,,282740.062164869,428726.079730145,60.0,,씨유단계사거리점_강원특별자치도원주시단계동146-1
6,안전상비의약품 판매업소,01_01_05_P,4080000,PHMH320264080023087500003,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,경기도 안성시 대덕면 내리 675 신라아파트 상가동 1층호,"경기도 안성시 대덕면 대학6길 21, 신라아파트",17546,세븐일레븐 안성신라점,2026-03-03 14:37:12,I,2026-03-05 00:20:02,,219953.438129165,389133.267457401,0.0,,세븐일레븐안성신라점_경기도안성시대덕면내리675신라아파트상가동1층호
7,안전상비의약품 판매업소,01_01_05_P,3040000,PHMH320263040033087500002,2026-03-03,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 군자동 468-1,"서울특별시 광진구 동일로60길 40, 1층 (군자동)",04994,씨유(CU) 군자본점,2026-03-03 17:27:30,I,2026-03-05 00:20:02,,206597.600969816,450615.171880308,0.0,,씨유(CU)군자본점_서울특별시광진구군자동468-1
1,안전상비의약품 판매업소,01_01_05_P,3220000,PHMH320263220033087500007,2026-02-27,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 삼성동 144-14 채널리저브,"서울특별시 강남구 삼성로 517, 제1층 제109호 (삼성동, 채널리저브)",06158,씨유 삼성리저브점,2026-03-01 12:28:25,I,2026-03-04 00:20:37,,204828.180350057,445089.672895407,0.0,,씨유삼성리저브점_서울특별시강남구삼성동144-14채널리저브
3,안전상비의약품 판매업소,01_01_05_P,3830000,PHMH320263830263087500001,2026-02-27,,1,영업/정상,13,영업중,,,,,,,,경기도 안양시 동안구 호계동 713 호계아크로리버,"경기도 안양시 동안구 엘에스로 35, 1층 101호 (호계동, 호계아크로리버)",14121,지에스25 호계아크로점,2026-03-03 09:27:56,I,2026-03-05 00:20:02,,195992.730643739,429402.483399318,0.0,,지에스25호계아크로점_경기도안양시동안구호계동713호계아크로리버
47,안전상비의약품 판매업소,01_01_05_P,3220000,PHMH320253220033087500034,2025-10-23,,3,폐업,3,폐업,2026-03-03,,,,,,,서울특별시 강남구 도곡동 518-8 유진빌딩,"서울특별시 강남구 논현로28길 9, 유진빌딩 1층 일부호 (도곡동)",06301,지에스25 도곡프레시점,2026-03-04 10:02:07,U,2026-03-06 02:40:00,,203764.786572817,442286.229201457,106.84,,지에스25도곡프레시점_서울특별시강남구도곡동518-8유진빌딩
83,안전상비의약품 판매업소,01_01_05_P,6510000,PHMH320256510096087500026,2025-10-14,,1,영업/정상,13,영업중,,,,,,,,제주특별자치도 제주시 한림읍 월림리 2312-1,"제주특별자치도 제주시 한림읍 명월성로 669, 1층",63017,씨유제주월림리점,2026-03-05 16:23:02,U,2026-03-07 02:40:00,,130663.745480353,-15870.9525907302,0.0,,씨유제주월림리점_제주특별자치도제주시한림읍월림리2312-1
87,안전상비의약품 판매업소,01_01_05_P,4241000,PHMH320254241036087500003,2025-09-15,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 삼척시 도계읍 도계리 319-5,강원특별자치도 삼척시 도계읍 도계우회로 76,25948,세븐일레븐삼척도계생활관점,2026-03-05 09:08:46,U,2026-03-07 02:40:00,,381544.834791856,417140.048002734,1.0,,세븐일레븐삼척도계생활관점_강원특별자치도삼척시도계읍도계리319-5
86,안전상비의약품 판매업소,01_01_05_P,4241000,PHMH320254241036087500002,2025-09-15,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 삼척시 도계읍 전두리 36-22,강원특별자치도 삼척시 도계읍 전두안길 65,25947,세븐일레븐삼척도계가온생활관점,2026-03-05 09:05:46,U,2026-03-07 02:40:00,,381217.424789546,416608.21995075,1.0,,세븐일레븐삼척도계가온생활관점_강원특별자치도삼척시도계읍전두리36-22
94,안전상비의약품 판매업소,01_01_05_P,3510500,PHMH320253510513087500014,2025-07-14,,3,폐업,3,폐업,2026-03-04,,,,,,,인천광역시 미추홀구 숭의동 171-18 SM나르샤,"인천광역시 미추홀구 독배로 462, 1층 (숭의동)",22172,씨유 숭의본점,2026-03-04 16:29:08,U,2026-03-07 02:40:00,,168761.005075087,439864.595967143,76.0,,씨유숭의본점_인천광역시미추홀구숭의동171-18SM나르샤
92,안전상비의약품 판매업소,01_01_05_P,5710000,PHMH320255710107087500008,2025-06-19,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 서원구 분평동 1261-2,"충청북도 청주시 서원구 1순환로1137번길 78, 상가동 101호 (분평동)",28794,세븐일레븐 청주분평제일점,2026-03-05 16:40:54,U,2026-03-07 02:40:00,,244078.13289289,345511.569589045,0.0,,세븐일레븐청주분평제일점_충청북도청주시서원구분평동1261-2
26,안전상비의약품 판매업소,01_01_05_P,4681000,PHMH320254681049087500008,2025-05-28,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 익산시 마동 389,"전북특별자치도 익산시 선화로22길 15, 105,106,107호 (마동, 힐스테이트익산)",54627,씨유 익산마동힐스테이트점,2026-03-03 09:36:21,U,2026-03-05 02:40:00,,,,105.82,,씨유익산마동힐스테이트점_전북특별자치도익산시마동389
93,안전상비의약품 판매업소,01_01_05_P,3200000,PHMH320253200033087500017,2025-05-16,,3,폐업,3,폐업,2026-03-04,,,,,,,서울특별시 관악구 봉천동 1539-12,"서울특별시 관악구 참숯1길 10, 1층 (봉천동)",08830,GS25 서울대이편한점,2026-03-04 15:41:10,U,2026-03-07 02:40:00,,194791.570192415,441867.073741014,0.0,,GS25서울대이편한점_서울특별시관악구봉천동1539-12
100,안전상비의약품 판매업소,01_01_05_P,4450000,PHMH320254450014087500007,2025-04-18,,1,영업/정상,13,영업중,,,,,,,,,충청북도 진천군 진천읍 문진로 1443,27829,씨유 진천군청점,2026-03-05 11:31:07,U,2026-03-07 02:40:00,,238383.452918918,372635.917524076,74.0,,씨유진천군청점_
53,안전상비의약품 판매업소,01_01_05_P,3560000,PHMH320243560021087500046,2024-12-19,,3,폐업,3,폐업,2026-03-03,,,,,,,인천광역시 서구 청라동 150-1 청라푸르지오아파트,"인천광역시 서구 크리스탈로102번길 25, 상가1동 103, 104호 (청라동, 청라푸르지오아파트)",22760,세븐일레븐 청라푸르지오점,2026-03-04 09:05:48,U,2026-03-06 02:40:00,,167977.969289108,448144.10331852,0.0,,세븐일레븐청라푸르지오점_인천광역시서구청라동150-1청라푸르지오아파트
101,안전상비의약품 판매업소,01_01_05_P,5710000,PHMH320245710107087500013,2024-12-13,,1,영업/정상,13,영업중,,,,,,,,충청북도 청주시 서원구 개신동 50-1,"충청북도 청주시 서원구 1순환로763번길 14, 102호 (개신동)",28666,세븐일레븐 청주뉴개신점,2026-03-05 16:37:55,U,2026-03-07 02:40:00,,241461.050548045,347275.154325145,56.0,,세븐일레븐청주뉴개신점_충청북도청주시서원구개신동50-1
70,안전상비의약품 판매업소,01_01_05_P,4201000,PHMH320244201026087500024,2024-10-28,,3,폐업,3,폐업,2026-03-03,,,,,,,,"강원특별자치도 강릉시 신대학길 2, 1층 (성내동)",25539,세븐일레븐 강릉성내점,2026-03-04 11:38:12,U,2026-03-07 02:40:00,,366825.910254017,473896.543865934,99.0,,세븐일레븐강릉성내점_
44,안전상비의약품 판매업소,01_01_05_P,3600000,PHMH320243600020087500016,2024-08-12,,3,폐업,3,폐업,2026-02-26,,,,,,,광주광역시 서구 쌍촌동 452-22 일신아파트,"광주광역시 서구 월드컵4강로 137, 상가동 107,108호 (쌍촌동, 일신아파트)",61996,지에스25 쌍촌일신점,2026-03-04 15:40:58,U,2026-03-06 02:40:00,,187957.50188567,183197.474936355,3.3,,지에스25쌍촌일신점_광주광역시서구쌍촌동452-22일신아파트
43,안전상비의약품 판매업소,01_01_05_P,5350000,PHMH320245350351087500013,2024-07-22,,1,영업/정상,13,영업중,,,,,,,,경상남도 김해시 외동 1252-2 삼우빌딩,"경상남도 김해시 함박로101번길 22, 삼우빌딩 108호 (외동)",50948,GS25 김해외동시장점,2026-03-04 15:44:41,U,2026-03-06 02:40:00,,369777.966796705,194364.187706334,0.0,,GS25김해외동시장점_경상남도김해시외동1252-2삼우빌딩
80,안전상비의약품 판매업소,01_01_05_P,5540000,PHMH320245540016087500006,2024-04-23,,1,영업/정상,13,영업중,,,,,,,,경기도 광주시 회덕동 233-1,"경기도 광주시 회덕길 53-2, 1호 (회덕동)",12766,씨유 광주회덕타운점,2026-03-05 09:11:13,U,2026-03-07 02:40:00,,221287.411227831,436791.776528188,0.0,,씨유광주회덕타운점_경기도광주시회덕동233-1
22,안전상비의약품 판매업소,01_01_05_P,3410000,PHMH320243410023087500002,2024-03-11,,3,폐업,3,폐업,2026-03-03,,,,,,,대구광역시 중구 동인동2가 58-1 1층,"대구광역시 중구 경상감영길 274, 1층 (동인동2가)",41914,GS25 대구시청점,2026-03-03 15:10:59,U,2026-03-05 02:40:00,,344624.544435817,264600.893719996,0.0,,GS25대구시청점_대구광역시중구동인동2가58-11층
48,안전상비의약품 판매업소,01_01_05_P,3780000,PHMH320243780062087500003,2024-03-04,,3,폐업,3,폐업,2026-03-03,,,,,,,경기도 성남시 수정구 고등동 596-11 1층,"경기도 성남시 수정구 청계산로1길 6, 1층 (고등동)",13105,GS25 고등성당점,2026-03-04 09:22:53,U,2026-03-06 02:40:00,,208381.483221282,436150.87285677,87.0,,GS25고등성당점_경기도성남시수정구고등동596-111층
33,안전상비의약품 판매업소,01_01_05_P,3420000,PHMH320233420023087500036,2023-09-13,,1,영업/정상,13,영업중,,,,,,,,대구광역시 동구 효목동 637-1 동대구2차비스타동원,"대구광역시 동구 화랑로25길 60, 단지내상가 302동 108호 (효목동, 동대구2차비스타동원)",41240,씨유 동대구비스타동원2차,2026-03-03 15:38:27,U,2026-03-05 02:40:00,,348306.493362826,265406.979766403,0.0,,씨유동대구비스타동원2차_대구광역시동구효목동637-1동대구2차비스타동원
9,안전상비의약품 판매업소,01_01_05_P,5590000,PHMH320235590021087500031,2023-07-24,,3,폐업,3,폐업,2026-02-27,,,,,,,경기도 양주시 광사동 716 양주고읍 엘에이치 14단지 아파트,"경기도 양주시 고읍남로 80 (광사동, 양주고읍 엘에이치 14단지 아파트)",11490,GS25 고읍희망점,2026-03-03 13:10:52,U,2026-03-05 02:40:00,,206697.894286009,476365.751531996,48.13,,GS25고읍희망점_경기도양주시광사동716양주고읍엘에이치14단지아파트
79,안전상비의약품 판매업소,01_01_05_P,5710000,PHMH320235710107087500015,2023-05-26,,3,폐업,3,폐업,2026-03-04,,,,,,,충청북도 청주시 서원구 산남동 657 엔젤변호사빌딩,"충청북도 청주시 서원구 산남로 64, 엔젤변호사빌딩 103호 (산남동)",28625,씨유 청주산남엔젤점,2026-03-05 16:26:01,U,2026-03-07 02:40:00,,241707.165902432,345681.149699783,89.44,,씨유청주산남엔젤점_충청북도청주시서원구산남동657엔젤변호사빌딩
78,안전상비의약품 판매업소,01_01_05_P,5710000,PHMH320235710107087500009,2023-04-19,,3,폐업,3,폐업,2026-03-04,,,,,,,충청북도 청주시 서원구 수곡동 47-9,"충청북도 청주시 서원구 청남로2104번길 27, 1층 (수곡동)",28706,씨유 청주수곡중앙점,2026-03-05 16:21:07,U,2026-03-07 02:40:00,,243738.582522375,346631.933394706,273.0,,씨유청주수곡중앙점_충청북도청주시서원구수곡동47-9
20,안전상비의약품 판매업소,01_01_05_P,3930000,PHMH320233930162087500009,2023-04-12,,1,영업/정상,13,영업중,,,,,,,,경기도 안산시 상록구 사동 1321-6,"경기도 안산시 상록구 석호로 205, 1층 (사동)",15582,GS25 사동원룸점,2026-03-03 11:19:47,U,2026-03-05 02:40:00,,186970.286666431,421464.16473768,50.0,,GS25사동원룸점_경기도안산시상록구사동1321-6
21,안전상비의약품 판매업소,01_01_05_P,3600000,PHMH320233600020087500008,2023-03-17,,1,영업/정상,13,영업중,,,,,,,,광주광역시 서구 쌍촌동 548-15 1층,"광주광역시 서구 운천로154번길 32, 1층 (쌍촌동)",61991,씨유쌍촌명지점,2026-03-03 15:33:50,U,2026-03-05 02:40:00,,187214.188888469,183040.924611167,3.3,,씨유쌍촌명지점_광주광역시서구쌍촌동548-151층
84,안전상비의약품 판매업소,01_01_05_P,6510000,PHMH320236510096087500008,2023-02-15,,3,폐업,3,폐업,2026-03-03,,,,,,,제주특별자치도 제주시 용담일동 232-7,"제주특별자치도 제주시 용담로 138-1, 1층 (용담일동)",63174,씨유용담미르점,2026-03-05 16:22:52,U,2026-03-07 02:40:00,,154926.51756154,1488.40856275905,40.0,,씨유용담미르점_제주특별자치도제주시용담일동232-7
89,안전상비의약품 판매업소,01_01_05_P,3440000,PHMH320233440024087500002,2023-01-12,,3,폐업,3,폐업,2026-03-04,,,,,,,대구광역시 남구 봉덕동 587-7,"대구광역시 남구 중앙대로32길 62, 1층 101호 (봉덕동)",42430,CU봉덕한아름점,2026-03-05 15:43:55,U,2026-03-07 02:40:00,,343943.857099036,261967.472097878,0.0,,CU봉덕한아름점_대구광역시남구봉덕동587-7
88,안전상비의약품 판매업소,01_01_05_P,3690000,PHMH320223690018087500015,2022-11-30,,1,영업/정상,13,영업중,,,,,,,,울산광역시 중구 남외동 514-2,"울산광역시 중구 남외2길 50, 102호 (남외동)",44495,세븐일레븐울산동천동강병원점,2026-03-05 15:16:42,U,2026-03-07 02:40:00,,413007.040632537,232368.824920528,88.0,,세븐일레븐울산동천동강병원점_울산광역시중구남외동514-2
67,안전상비의약품 판매업소,01_01_05_P,4160000,PHMH320224160015087500004,2022-03-23,,1,영업/정상,13,영업중,,,,,,,,,경기도 가평군 조종면 조종희망로 51,12437,씨유 조종승리점,2026-03-05 14:08:23,U,2026-03-07 02:40:00,,230738.760516037,479911.973357061,83.0,,씨유조종승리점_
72,안전상비의약품 판매업소,01_01_05_P,4810000,PHMH320224810029087500008,2022-02-14,,3,폐업,3,폐업,2026-03-05,,,,,,,전라남도 여수시 웅천동 1868-4,"전라남도 여수시 웅천남1로 66, 지2층 B218, B219호 (웅천동)",59692,지에스25 웅천캐슬점,2026-03-05 17:18:26,U,2026-03-07 02:40:00,,261926.060919141,138307.247457471,0.0,,지에스25웅천캐슬점_전라남도여수시웅천동1868-4
77,안전상비의약품 판매업소,01_01_05_P,3320000,PHMH320223320045087500002,2022-01-24,,1,영업/정상,13,영업중,,,,,,,,부산광역시 북구 덕천동 317-5,부산광역시 북구 만덕대로65번길 65(덕천동),46552,GS25 덕천엔젤점,2026-03-04 10:16:50,U,2026-03-07 02:40:00,,383026.621909809,192451.472234866,50.0,,GS25덕천엔젤점_부산광역시북구덕천동317-5
19,안전상비의약품 판매업소,01_01_05_P,3470000,PHMH320223470022087500004,2022-01-13,,3,폐업,3,폐업,2026-02-27,,,,,,,대구광역시 달서구 대천동 526-4,"대구광역시 달서구 조암남로 101, 1층 (대천동)",42778,세븐일레븐 대구대천중앙점,2026-03-03 09:56:49,U,2026-03-05 02:40:00,,337520.620369428,258758.668011496,0.0,,세븐일레븐대구대천중앙점_대구광역시달서구대천동526-4
15,안전상비의약품 판매업소,01_01_05_P,4331000,PHMH320214330012087500007,2021-10-16,,3,폐업,3,폐업,2026-03-03,,,,,,,강원특별자치도 인제군 인제읍 상동리 247-1,"강원특별자치도 인제군 인제읍 비봉로 36, 1층",24634,GS25 인제상동점,2026-03-03 17:08:30,U,2026-03-05 02:40:00,,302953.559778316,507689.316048211,132.0,,GS25인제상동점_강원특별자치도인제군인제읍상동리247-1
24,안전상비의약품 판매업소,01_01_05_P,3910000,PHMH320213910168087500029,2021-07-23,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 지제동 922-1,"경기도 평택시 지제중앙로 173, 1동 (지제동)",17823,씨유 평택지제중앙점,2026-03-03 19:10:18,U,2026-03-05 02:40:00,,205029.57043236,390966.300693355,132.0,,씨유평택지제중앙점_경기도평택시지제동922-1
90,안전상비의약품 판매업소,01_01_05_P,3290000,PHMH320213290024087500031,2021-06-30,,3,폐업,3,폐업,2026-03-04,,,,,,,부산광역시 부산진구 부전동 266-7,"부산광역시 부산진구 새싹로8번길 26, 1층 (부전동)",47254,씨유 부전스카이점,2026-03-05 20:35:40,U,2026-03-07 02:40:00,,387598.757500714,186407.629941823,66.0,,씨유부전스카이점_부산광역시부산진구부전동266-7
25,안전상비의약품 판매업소,01_01_05_P,4090000,PHMH320214090023087500025,2021-05-06,,1,영업/정상,13,영업중,,,,,,,,경기도 김포시 풍무동 561-2,"경기도 김포시 유현로33번길 36-14, 대원프라자 1층 (풍무동)",10120,세븐일레븐김포유현마을점,2026-03-03 13:04:56,U,2026-03-05 02:40:00,,175768.234633471,455127.121910223,74.46,,세븐일레븐김포유현마을점_경기도김포시풍무동561-2
73,안전상비의약품 판매업소,01_01_05_P,4341000,PHMH320214340013087500001,2021-04-01,,1,영업/정상,13,영업중,,,,,,,,,강원특별자치도 고성군 토성면 아야진해변길 85,24756,씨유 고성아야진점,2026-03-05 16:29:11,U,2026-03-07 02:40:00,,336099.275714011,531114.033119851,72.0,,씨유고성아야진점_
29,안전상비의약품 판매업소,01_01_05_P,4830000,PHMH320214830021087500005,2021-03-31,,3,폐업,3,폐업,2026-02-27,,,,,,,전라남도 나주시 빛가람동 190-1 토담휴로스2차,"전라남도 나주시 상야1길 8, 106호 (빛가람동)",58217,씨유 나주휴로스 2차점,2026-03-03 13:33:27,U,2026-03-05 02:40:00,,180393.116006987,169252.456326711,0.0,,씨유나주휴로스2차점_전라남도나주시빛가람동190-1토담휴로스2차
28,안전상비의약품 판매업소,01_01_05_P,3610000,PHMH320213610019087500002,2021-03-19,,3,폐업,3,폐업,2026-02-27,,,,,,,,"광주광역시 남구 봉선로 138, 금호타운 (봉선동)",61703,씨유 봉선금호2차점,2026-03-03 13:36:34,U,2026-03-05 02:40:00,,191665.578627197,180383.113623226,3.3,,씨유봉선금호2차점_
74,안전상비의약품 판매업소,01_01_05_P,4671000,PHMH320214670076087500002,2021-02-25,,1,영업/정상,13,영업중,,,,,063-466-7860,,,전북특별자치도 군산시 나운동 153-7 다정한약국,"전북특별자치도 군산시 하나운로 25, 1층 (나운동)",54143,씨유 군산나운스타점,2026-03-05 13:12:16,U,2026-03-07 02:40:00,,172831.612258392,273479.864652492,0.0,,씨유군산나운스타점_전북특별자치도군산시나운동153-7다정한약국
