번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,폐기물처리업구분명,폐기물처리업별처리구분명,폐기물구분명,허용보관량,허용보관량내용,Unnamed: 34,record_key
78,건설폐기물처리업,09_30_05_P,4781000,478100092200700001,2025-09-08,,1,영업/정상,BBBB,영업,,,,,0635621061,,,전북특별자치도 고창군 성내면 조동리 413-2,전북특별자치도 고창군 성내면 둥둥바우길 118-170,585-812,(주)진영이엔티,2026-03-05 12:24:17,U,2026-03-07 02:40:00,,177588.994307079,228424.649952437,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,17600.0,,,(주)진영이엔티_전북특별자치도고창군성내면조동리413-2
12,건설폐기물처리업,09_30_05_P,3030000,303000092201000001,2025-06-19,,1,영업/정상,BBBB,영업,,,,,466-2371,,133-160,서울특별시 성동구 송정동 73-37 승산빌딩,"서울특별시 성동구 자동차시장1길 81, 801호 (용답동)",133-850,성원이앤아이(주),2026-03-03 09:49:59,U,2026-03-05 02:40:00,,205486.300862045,449853.073688806,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,성원이앤아이(주)_서울특별시성동구송정동73-37승산빌딩
46,건설폐기물처리업,09_30_05_P,4681000,468100092199900001,2025-05-08,,1,영업/정상,BBBB,영업,,,,,063-855-3933,,570-892,전북특별자치도 익산시 낭산면 낭산리 99-2,전북특별자치도 익산시 낭산면 아리랑로 698,,(주)일진도시환경,2026-03-04 13:35:04,U,2026-03-06 02:40:00,,203907.603746986,282996.802293047,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,0.0,,,(주)일진도시환경_전북특별자치도익산시낭산면낭산리99-2
94,건설폐기물처리업,09_30_05_P,5680000,568000092202400004,2025-04-22,,1,영업/정상,BBBB,영업,,,,,0413560661,,,충청남도 당진시 읍내동 772,"충청남도 당진시 무수동6길 7-42, 302호 (읍내동)",31772,주식회사 우원개발,2026-03-05 15:21:07,U,2026-03-07 02:40:00,,167701.599244792,377371.918615526,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사우원개발_충청남도당진시읍내동772
83,건설폐기물처리업,09_30_05_P,4390000,439000092200500001,2025-04-01,,1,영업/정상,BBBB,영업,,,,,0438451143,,380-964,충청북도 충주시 칠금동 287-2,충청북도 충주시 탄금대로 203-1 (칠금동),27441,(주)산수개발환경,2026-03-05 11:44:53,U,2026-03-07 02:40:00,,280800.922901916,387128.585029955,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)산수개발환경_충청북도충주시칠금동287-2
55,건설폐기물처리업,09_30_05_P,3670000,367000092201200008,2025-03-31,,1,영업/정상,BBBB,영업,,,,,042-546-9797,,305-251,대전광역시 유성구 대정동 259-4 유성구청,대전광역시 유성구 한우물로 35 (대정동),305-251,화산건설산업(주),2026-03-04 14:12:26,U,2026-03-06 02:40:00,,228828.323790033,312334.002487184,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,화산건설산업(주)_대전광역시유성구대정동259-4유성구청
34,건설폐기물처리업,09_30_05_P,6510000,651000092202400006,2025-03-28,,1,영업/정상,BBBB,영업,,,,,064-748-0061,,,제주특별자치도 제주시 오라이동 1206,"제주특별자치도 제주시 연삼로 177 (오라이동, 광은빌딩)",63148,주식회사 국제환경,2026-03-04 16:47:42,U,2026-03-06 02:40:00,,154539.09018838,-262.41711716689,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사국제환경_제주특별자치도제주시오라이동1206
38,건설폐기물처리업,09_30_05_P,5530000,553000092202300028,2025-03-28,,1,영업/정상,BBBB,영업,,,,,0313767055,,,경기도 화성시 효행구 정남면 문학리 721-14,경기도 화성시 효행구 정남면 서봉로 757,18522,(주)한결아스콘,2026-03-04 16:28:25,U,2026-03-06 02:40:00,,196176.301835858,404582.223343598,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)한결아스콘_경기도화성시효행구정남면문학리721-14
18,건설폐기물처리업,09_30_05_P,4520000,452000092202300001,2025-02-24,,1,영업/정상,BBBB,영업,,,,,0415412140,,,충청남도 아산시 선장면 가산리 410,충청남도 아산시 선장면 삽교천로 2-35,31541,(주)이한산업,2026-03-03 17:48:14,U,2026-03-05 02:40:00,,187890.830340137,367308.586449823,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)이한산업_충청남도아산시선장면가산리410
77,건설폐기물처리업,09_30_05_P,4781000,478100092200300001,2025-02-18,,1,영업/정상,BBBB,영업,,,,,0635621061,,585-812,전북특별자치도 고창군 성내면 조동리 414-2,전북특별자치도 고창군 성내면 둥둥바우길 118-170,585-812,(주)진영이엔티,2026-03-05 12:24:47,U,2026-03-07 02:40:00,,177625.42433209,228484.587403278,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)진영이엔티_전북특별자치도고창군성내면조동리414-2
67,건설폐기물처리업,09_30_05_P,6510000,651000092202400003,2024-07-02,,1,영업/정상,BBBB,영업,,,,,064-755-5059,,,제주특별자치도 제주시 용강동 233-4,제주특별자치도 제주시 용강남길 179 (용강동),63312,드림자원,2026-03-05 16:58:27,U,2026-03-07 02:40:00,,161969.810026929,-3834.85204575408,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,드림자원_제주특별자치도제주시용강동233-4
64,건설폐기물처리업,09_30_05_P,4800000,480000092201100002,2024-05-13,,1,영업/정상,BBBB,영업,,,,,061-285-7223,,530-370,전라남도 목포시 연산동 1048-16,전라남도 목포시 고하대로719번길 40-1 (연산동),,바다환경(주),2026-03-05 16:25:04,U,2026-03-07 02:40:00,,142502.326358074,146332.072436088,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,바다환경(주)_전라남도목포시연산동1048-16
13,건설폐기물처리업,09_30_05_P,5050000,505000092202400002,2024-04-30,,1,영업/정상,BBBB,영업,,,,,0547757552,,,경상북도 경주시 천북면 동산리 326,경상북도 경주시 천북면 모아동산길 349-14,38035,(주)말근산업개발,2026-03-03 10:13:23,U,2026-03-05 02:40:00,,404982.681204064,269273.426845684,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)말근산업개발_경상북도경주시천북면동산리326
54,건설폐기물처리업,09_30_05_P,4450000,445000092200800003,2024-03-14,,1,영업/정상,BBBB,영업,,,,,0435378314,,,충청북도 진천군 덕산읍 산수리 135-63,충청북도 진천군 덕산읍 덕금로 493,,에스환경개발(주),2026-03-04 19:55:57,U,2026-03-06 02:40:00,,243460.827262467,376842.63644666,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,에스환경개발(주)_충청북도진천군덕산읍산수리135-63
10,건설폐기물처리업,09_30_05_P,5530000,553000092201800003,2024-01-18,,1,영업/정상,BBBB,영업,,,,,031-222-1071,,445-380,경기도 화성시 병점구 안녕동 188-359,경기도 화성시 병점구 안녕길 59-2 (안녕동),445-380,(주)오성개발,2026-03-03 11:40:43,U,2026-03-05 02:40:00,,199239.86350043,411168.862052133,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)오성개발_경기도화성시병점구안녕동188-359
93,건설폐기물처리업,09_30_05_P,3990000,399000092202300001,2023-10-26,,1,영업/정상,BBBB,영업,,,,,0315285646,,,경기도 남양주시 진접읍 내각리 745,"경기도 남양주시 진접읍 내각1로73번길 6, 2층",12072,제이에스토건 주식회사,2026-03-05 14:43:45,U,2026-03-07 02:40:00,,214486.348060387,466959.648231721,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,제이에스토건주식회사_경기도남양주시진접읍내각리745
36,건설폐기물처리업,09_30_05_P,5530000,553000092202300016,2023-09-20,,1,영업/정상,BBBB,영업,,,,,,,,경기도 화성시 효행구 봉담읍 세곡리 89-5,경기도 화성시 효행구 봉담읍 가능골1길 66,18334,(주)성우건설,2026-03-04 17:39:10,U,2026-03-06 02:40:00,,193804.303332411,409438.788970355,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)성우건설_경기도화성시효행구봉담읍세곡리89-5
65,건설폐기물처리업,09_30_05_P,5530000,553000092202300019,2023-09-20,,1,영업/정상,BBBB,영업,,,,,03180594736,,,경기도 화성시 만세구 향남읍 장짐리 359-5,"경기도 화성시 만세구 향남읍 발안만세길 181, 믿음빌딩 b동 2층 209호",18594,(주)성한에스건설,2026-03-05 19:11:23,U,2026-03-07 02:40:00,,190960.526409928,404184.00665068,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)성한에스건설_경기도화성시만세구향남읍장짐리359-5
40,건설폐기물처리업,09_30_05_P,5190000,519000092202300001,2023-09-09,,1,영업/정상,BBBB,영업,,,,,0543713585,,,경상북도 청도군 청도읍 송읍리 25,경상북도 청도군 청도읍 송읍길 2-74,38335,(주)시온건설,2026-03-04 16:16:45,U,2026-03-06 02:40:00,,357943.722070932,242003.330972747,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)시온건설_경상북도청도군청도읍송읍리25
33,건설폐기물처리업,09_30_05_P,4341000,434100092202200002,2023-03-23,,1,영업/정상,BBBB,영업,,,,,033-681-3335,,,강원특별자치도 고성군 간성읍 금수리 266-2,강원특별자치도 고성군 간성읍 금수리2길 40,24738,(주)진성건설중기,2026-03-04 11:14:55,U,2026-03-06 02:40:00,,328265.973402735,542303.236923271,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)진성건설중기_강원특별자치도고성군간성읍금수리266-2
84,건설폐기물처리업,09_30_05_P,4440000,444000092201600001,2023-02-27,,1,영업/정상,BBBB,영업,,,,,0437431001,,370-871,"충청북도 영동군 매곡면 어촌리 7 4,5-4,6,7,8,10,14번지",충청북도 영동군 매곡면 괘방령로 741-58,29122,디에이치개발(주),2026-03-05 10:30:44,U,2026-03-07 02:40:00,,289095.51055781,295458.626598843,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,"디에이치개발(주)_충청북도영동군매곡면어촌리74,5-4,6,7,8,10,14번지"
56,건설폐기물처리업,09_30_05_P,5260000,526000092202200001,2022-05-11,,1,영업/정상,BBBB,영업,,,,,,,,경상북도 울릉군 울릉읍 사동리 290-1,경상북도 울릉군 울릉읍 울릉순환로 586,40230,사동용역,2026-03-04 15:53:45,U,2026-03-06 02:40:00,,543869.313502901,448819.023305828,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,사동용역_경상북도울릉군울릉읍사동리290-1
14,건설폐기물처리업,09_30_05_P,4540000,454000092202100001,2021-12-03,,1,영업/정상,BBBB,영업,,,,,,,,충청남도 논산시 지산동 274-1,충청남도 논산시 논산대로 539 (지산동),32973,(주)거성철거산업,2026-03-03 15:14:11,U,2026-03-05 02:40:00,,209774.291127542,300779.10853389,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)거성철거산업_충청남도논산시지산동274-1
72,건설폐기물처리업,09_30_05_P,5330000,533000092202100001,2021-11-08,,1,영업/정상,BBBB,영업,,,,,055-648-8123,,,경상남도 통영시 도천동 437 만유빌라트 씨동 101호,"경상남도 통영시 여황로 192, 씨동 101호 (도천동, 만유빌라트)",53062,주식회사 금창,2026-03-05 10:38:04,U,2026-03-07 02:40:00,,329393.010286749,150143.967509056,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,주식회사금창_경상남도통영시도천동437만유빌라트씨동101호
47,건설폐기물처리업,09_30_05_P,4641000,464100092202100002,2021-06-10,,1,영업/정상,3,재개업,,,,,,,,전북특별자치도 전주시 완산구 중인동 115-4,전북특별자치도 전주시 완산구 장교로 4-10 (중인동),55074,유한회사 이에스전주,2026-03-04 09:31:12,U,2026-03-06 02:40:00,,209735.143141904,253795.701142231,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,유한회사이에스전주_전북특별자치도전주시완산구중인동115-4
60,건설폐기물처리업,09_30_05_P,4170000,417000092201000001,2020-08-31,,1,영업/정상,BBBB,영업,,,,,031-774-3284,,,경기도 양평군 지평면 무왕리 377 (주)오성개발,경기도 양평군 지평면 금의길 316-1 (주)오성개발,12542,(주)오성개발,2026-03-05 10:40:39,U,2026-03-07 02:40:00,,259167.735108567,440892.698684053,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)오성개발_경기도양평군지평면무왕리377(주)오성개발
49,건설폐기물처리업,09_30_05_P,3660000,366000092201200002,2020-06-16,,1,영업/정상,BBBB,영업,,,,,042-546-8080,,302-751,대전광역시 서구 가수원동,"대전광역시 서구 가수원로 5 (가수원동, 은아아파트 5단지 상가 10동 202호호)",302-751,팔공환경운수(주),2026-03-04 09:38:05,U,2026-03-06 02:40:00,,231904.685476424,310753.113690846,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,팔공환경운수(주)_대전광역시서구가수원동
66,건설폐기물처리업,09_30_05_P,4241000,424100092200600002,2020-03-18,,1,영업/정상,BBBB,영업,,,,,0335750981,,,강원특별자치도 삼척시 우지동 62-1 건백산업,"강원특별자치도 삼척시 우지1길 31, 건백산업 (우지동)",25908,건백산업(주),2026-03-05 09:47:26,U,2026-03-07 02:40:00,,390445.613786641,441846.313360867,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,30000.0,,,건백산업(주)_강원특별자치도삼척시우지동62-1건백산업
6,건설폐기물처리업,09_30_05_P,4170000,417000092200600001,2020-01-21,,1,영업/정상,BBBB,영업,,,,,0317743284,,476-872,경기도 양평군 지평면 무왕리 377,경기도 양평군 지평면 금의길 316-1,476-872,(주)오성개발,2026-03-03 16:23:18,U,2026-03-05 02:40:00,,259167.735108567,440892.698684053,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,23922.0,,,(주)오성개발_경기도양평군지평면무왕리377
86,건설폐기물처리업,09_30_05_P,3040000,304000092201900002,2019-12-04,,1,영업/정상,BBBB,영업,,,,,,,,서울특별시 광진구 광장동 102 현대골든텔,"서울특별시 광진구 아차산로78길 75, 현대골든텔 716호 (광장동)",04969,(주)가온환경산업,2026-03-05 10:51:11,U,2026-03-07 02:40:00,,209734.218553133,449933.547744527,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)가온환경산업_서울특별시광진구광장동102현대골든텔
80,건설폐기물처리업,09_30_05_P,3310000,331000092201700002,2018-01-15,,1,영업/정상,BBBB,영업,,,,,051-645-8866,,,부산광역시 남구 우암동 247-1,부산광역시 남구 우암로 259 (우암동),48480,(주)가가산업,2026-03-05 16:34:05,U,2026-03-07 02:40:00,,388467.664448836,182624.52983227,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)가가산업_부산광역시남구우암동247-1
91,건설폐기물처리업,09_30_05_P,4040000,404000092201700001,2017-08-03,,1,영업/정상,BBBB,영업,,,,,031-791-5953,,,경기도 하남시 창우동 410,"경기도 하남시 검단산로137번길 23, 1층 (창우동)",13024,하일위생환경(주),2026-03-05 08:43:55,U,2026-03-07 02:40:00,,219777.885497001,447272.467323946,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,하일위생환경(주)_경기도하남시창우동410
52,건설폐기물처리업,09_30_05_P,3730000,373000092200700007,2017-06-28,,1,영업/정상,BBBB,영업,,,,,052 2255767,,,울산광역시 울주군 웅촌면 대복리 677-1 677-1,,,경동환경(주),2026-03-04 15:32:15,U,2026-03-06 02:40:00,,400174.427983069,222533.71950881,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,경동환경(주)_울산광역시울주군웅촌면대복리677-1677-1
89,건설폐기물처리업,09_30_05_P,5680000,568000092200300003,2017-03-31,,3,폐업,2,폐업,2017-03-31,,,,0413557288,,,충청남도 당진시 순성면 광천리 85-54,충청남도 당진시 순성면 본리로 20,31760,아주환경개발(주),2026-03-05 10:10:03,U,2026-03-07 02:40:00,,175057.849465546,371128.194588998,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,아주환경개발(주)_충청남도당진시순성면광천리85-54
11,건설폐기물처리업,09_30_05_P,5530000,553000092201500003,2016-12-02,,1,영업/정상,BBBB,영업,,,,,0313527066,,,경기도 화성시 만세구 양감면 정문리 293-4,경기도 화성시 만세구 양감면 정문송산로 65,445-933,(주)하나아스콘,2026-03-03 09:15:49,U,2026-03-05 02:40:00,,198427.727259074,399667.148106987,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,4836.34,,,(주)하나아스콘_경기도화성시만세구양감면정문리293-4
30,건설폐기물처리업,09_30_05_P,5100000,510000092201500001,2016-11-08,,3,폐업,2,폐업,2026-01-07,,,,0549277200,,770-060,경상북도 영천시 금노동 413-9,경상북도 영천시 천문로 134-1 (금노동),38896,(주)티에스이엔이,2026-03-04 10:42:57,U,2026-03-06 02:40:00,,374104.496454304,273954.6482894,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)티에스이엔이_경상북도영천시금노동413-9
75,건설폐기물처리업,09_30_05_P,3640000,364000092200800001,2016-08-09,,1,영업/정상,BBBB,영업,,,,,042-627-3270,,,대전광역시 동구 가양동 572-19 572-19,대전광역시 동구 갱이3길 7 (가양동),34599,풍년환경산업(합),2026-03-05 13:43:07,U,2026-03-07 02:40:00,,239619.948475655,315338.333180982,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,풍년환경산업(합)_대전광역시동구가양동572-19572-19
35,건설폐기물처리업,09_30_05_P,5330000,533000092199800001,2016-04-06,,1,영업/정상,BBBB,영업,,,,,0556441265,,650-805,경상남도 통영시 무전동 852-3 2층,"경상남도 통영시 무전7길 150, 2층 (무전동)",650-800,한진기업(주),2026-03-04 15:49:34,U,2026-03-06 02:40:00,,330015.386475238,152714.136493739,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,한진기업(주)_경상남도통영시무전동852-32층
7,건설폐기물처리업,09_30_05_P,3740000,374000092201500005,2016-03-04,,1,영업/정상,BBBB,영업,,,,,031-252-2090,,,경기도 수원시 팔달구 화서동 436-3 농민회관,"경기도 수원시 팔달구 수성로 92, 농민회관 209호 (화서동)",16432,(주)용호산업,2026-03-03 16:19:09,U,2026-03-05 02:40:00,,198939.951346024,420004.023620364,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)용호산업_경기도수원시팔달구화서동436-3농민회관
3,건설폐기물처리업,09_30_05_P,5070000,507000092201500003,2016-01-14,,1,영업/정상,BBBB,영업,,,,,054-859-1261,,,경상북도 안동시 수하동 508,경상북도 안동시 앙실로 145 (수하동),36742,덕산자원(환경),2026-03-03 14:43:55,U,2026-03-05 02:40:00,,351021.135112074,339090.600628165,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,덕산자원(환경)_경상북도안동시수하동508
92,건설폐기물처리업,09_30_05_P,5700000,570000092201400001,2014-09-26,,1,영업/정상,BBBB,영업,,,,,0316757880,,,경기도 여주시 가남읍 태평리 112-13,"경기도 여주시 가남읍 태평중앙1길 15-16, 가동 2층",12662,(주)태민환경,2026-03-05 09:21:59,U,2026-03-07 02:40:00,,248331.912031264,411144.924582844,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)태민환경_경기도여주시가남읍태평리112-13
59,건설폐기물처리업,09_30_05_P,4490000,449000092199800003,2014-06-09,,1,영업/정상,BBBB,영업,,,,,0415826113,,330-811,충청남도 천안시 서북구 직산읍 군동리 301,충청남도 천안시 서북구 직산읍 성진로 216,,뉴클린환경산업(주),2026-03-05 09:03:11,U,2026-03-07 02:40:00,,214005.939549947,378350.070655165,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,뉴클린환경산업(주)_충청남도천안시서북구직산읍군동리301
28,건설폐기물처리업,09_30_05_P,4070000,407000092200600001,2014-02-17,,1,영업/정상,BBBB,영업,,,,,0316328888,,467-851,"경기도 이천시 대월면 군량리 618-1, 197-10, 197-11, 197-12",경기도 이천시 대월면 양녕로 57,467-851,하나케이(주),2026-03-04 13:35:55,U,2026-03-06 02:40:00,,244288.810708433,408917.352134452,건설폐기물처리업사업계획(허가)신청,중간처분업(건설폐기물),,,48624.0,,,"하나케이(주)_경기도이천시대월면군량리618-1,197-10,197-11,197-12"
79,건설폐기물처리업,09_30_05_P,5400000,540000092201300002,2013-08-29,,1,영업/정상,BBBB,영업,,,,,055-251-9993,,,경상남도 창원시 마산회원구 회성동 462-3 삼양사 202동 1호,경상남도 함안군 군북면 현포로 152,52063,(주)아시아환경,2026-03-05 17:53:46,U,2026-03-07 02:40:00,,342243.928058948,193724.650947243,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,(주)아시아환경_경상남도창원시마산회원구회성동462-3삼양사202동1호
44,건설폐기물처리업,09_30_05_P,3650000,365000092201200003,2013-07-03,,1,영업/정상,BBBB,영업,,,,,0422859985,,,대전광역시 중구 어남동 178 외 8필지,"대전광역시 중구 단재로 349 (어남동,외 8필지)",301-231,대림공영(주),2026-03-04 08:44:45,U,2026-03-06 02:40:00,,237322.679322215,302656.541784672,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,대림공영(주)_대전광역시중구어남동178외8필지
2,건설폐기물처리업,09_30_05_P,3350000,335000092200500001,2012-10-15,,1,영업/정상,BBBB,영업,,,,,051-521-1003,,,부산광역시 금정구 금사동 106-21,부산광역시 금정구 공단로8번길 15 (금사동),46333,현대실업(주),2026-03-02 13:39:22,U,2026-03-04 02:40:00,,392089.697101742,192722.646844206,건설폐기물처리업사업계획(허가)신청,수집운반업(건설폐기물),,,0.0,,,현대실업(주)_부산광역시금정구금사동106-21
