번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),사무실면적,소독차량차고면적,초미립자살포기수,휴대용소독기수,동력분무기수,수동식분무기수,방독면수,보호안경수,보호용의복수,진공청소기수,Unnamed: 38,record_key
290,소독업,09_30_11_P,3350000,PHMB520263350024042500001,2026-02-12,,1,영업/정상,13,영업중,,,,,,,,부산광역시 금정구 부곡동 783 무지개타운,"부산광역시 금정구 부곡로42번길 33, 상가6호동 2층 (부곡동, 무지개타운)",46307.0,보원방역,2026-02-13 10:21:53,I,2026-02-15 00:20:02,,390256.015931654,193201.689865126,71.06,3.3,2,2,0,5,5,5,5,1,,보원방역_부산광역시금정구부곡동783무지개타운
245,소독업,09_30_11_P,5360000,PHMB520265360021042500001,2026-02-11,,1,영업/정상,13,영업중,,,,,0553543039,,,,경상남도 밀양시 상남면 평촌중앙로 35,50453.0,하나상사,2026-02-11 15:11:52,I,2026-02-13 00:20:38,,361204.650780202,213855.972499331,43.77,3.3,1,2,0,3,5,5,5,1,,하나상사_
243,소독업,09_30_11_P,3460000,PHMB520263460023042500001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,대구광역시 수성구 중동 133-3,대구광역시 수성구 들안로 165 (중동),42151.0,대구정성클린,2026-02-11 15:23:22,I,2026-02-13 00:20:38,,345961.866624709,261718.21799093,33.0,3.0,3,2,0,5,5,5,5,1,,대구정성클린_대구광역시수성구중동133-3
261,소독업,09_30_11_P,3910000,PHMB520263910168042500003,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 용이동 182-1,"경기도 평택시 현촌2로 36, 104호 (용이동)",17868.0,씨에프(CF)종합환경,2026-02-12 15:49:44,I,2026-02-14 00:20:02,,211908.725860621,388873.540009368,7.0,1.8,1,2,0,3,5,5,5,2,,씨에프(CF)종합환경_경기도평택시용이동182-1
259,소독업,09_30_11_P,5580000,PHMB520265580013042500001,2026-02-11,,1,영업/정상,13,영업중,,,,,,,,충청남도 계룡시 엄사면 유동리 80,"충청남도 계룡시 엄사면 계백로 3021, 2층 5호",32829.0,신명기업,2026-02-12 11:16:52,I,2026-02-14 00:20:02,,221134.106255138,308358.242425128,10.0,3.0,1,2,0,3,5,5,5,1,,신명기업_충청남도계룡시엄사면유동리80
241,소독업,09_30_11_P,3980000,PHMB520263980021042500006,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,경기도 구리시 수택동 465-22,"경기도 구리시 원수택로42번길 31, 1층 2호 (수택동)",11932.0,지율컴퍼니,2026-02-11 08:49:38,I,2026-02-13 00:20:38,,212493.366181,454733.075567609,7.8,2.4,1,2,0,6,5,5,5,1,,지율컴퍼니_경기도구리시수택동465-22
242,소독업,09_30_11_P,3400000,PHMB520263400013042500001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,부산광역시 기장군 기장읍 교리 331-1 고미숯불갈비,"부산광역시 기장군 기장읍 차성로 402, 고미숯불갈비 2층 201호",46056.0,정온환경솔루션,2026-02-11 08:32:43,I,2026-02-13 00:20:38,,401480.426663151,197138.000972413,22.73,4.14,1,2,0,3,4,4,4,1,,정온환경솔루션_부산광역시기장군기장읍교리331-1고미숯불갈비
191,소독업,09_30_11_P,3440000,PHMB520263440024042500002,2026-02-10,,1,영업/정상,13,영업중,,,,,053-657-1977,,,,"대구광역시 남구 대명서로 21-1, 1층 (대명동)",42500.0,그린방역,2026-02-10 14:51:36,I,2026-02-12 00:20:02,,341011.200071972,259967.566760026,0.0,0.0,1,2,0,3,5,5,5,1,,그린방역_
240,소독업,09_30_11_P,4490000,PHMB520264490261042500006,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,충청남도 천안시 서북구 두정동 1988 성성동로데오,"충청남도 천안시 서북구 두정로 131, 성성동로데오 2층 202호 (두정동)",31089.0,씨나인솔루션 주식회사,2026-02-11 09:05:30,I,2026-02-13 00:20:38,,211665.046443025,370311.82359043,47.04,47.04,1,2,0,3,2,2,2,1,,씨나인솔루션주식회사_충청남도천안시서북구두정동1988성성동로데오
239,소독업,09_30_11_P,3600000,PHMB520263600020042500002,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,광주광역시 서구 양동 191-4,"광주광역시 서구 구성로 89, 2층 (양동)",61926.0,디자인예감,2026-02-11 17:07:10,I,2026-02-13 00:20:38,,191263.579896476,183280.818727089,7.0,3.0,2,2,0,4,5,5,5,2,,디자인예감_광주광역시서구양동191-4
200,소독업,09_30_11_P,3150000,PHMB520263150037042500003,2026-02-10,,1,영업/정상,13,영업중,,,,,070-4752-4338,,,서울특별시 강서구 화곡동 1115-19 5층,"서울특별시 강서구 화곡로58길 29, 5층 (화곡동)",7654.0,엘프클린,2026-02-10 14:36:54,I,2026-02-12 00:20:02,,186905.611408953,450081.713646857,6.0,5.7,1,2,0,3,2,2,2,1,,엘프클린_서울특별시강서구화곡동1115-195층
197,소독업,09_30_11_P,4191000,PHMB520264191050042500004,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 원주시 흥업면 대안리 779-8,강원특별자치도 원주시 흥업면 대안천길 52-20,26492.0,케이피엠플랜,2026-02-10 13:39:30,I,2026-02-12 00:20:02,,278495.595176641,423232.700940438,28.0,2.0,1,2,0,3,2,2,2,1,,케이피엠플랜_강원특별자치도원주시흥업면대안리779-8
198,소독업,09_30_11_P,3540000,PHMB520263540021042500003,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,인천광역시 부평구 삼산동 463-3 주영이레타운,"인천광역시 부평구 충선로209번길 41, 주영이레타운 8층 801-38호 (삼산동)",21344.0,미래 환경,2026-02-10 14:23:16,I,2026-02-12 00:20:02,,176403.606129616,445115.936486454,0.0,0.0,1,2,0,3,2,2,2,1,,미래환경_인천광역시부평구삼산동463-3주영이레타운
199,소독업,09_30_11_P,3260000,PHMB520263260022042500001,2026-02-10,,1,영업/정상,13,영업중,,,,,,,,부산광역시 서구 서대신동3가 448 향군회관 3층,"부산광역시 서구 구덕로327번길 61, 향군회관 3층 (서대신동3가)",49225.0,유림,2026-02-10 17:24:01,I,2026-02-12 00:20:02,,383476.002944973,181039.869631008,33.0,7.9,1,2,0,3,5,5,5,1,,유림_부산광역시서구서대신동3가448향군회관3층
195,소독업,09_30_11_P,3990000,PHMB520263990310042500003,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 진접읍 연평리 135-3,"경기도 남양주시 진접읍 양진로 1016, 1층 107호",12073.0,구스프랜드,2026-02-10 15:58:32,I,2026-02-12 00:20:02,,216116.774230063,467366.827893098,0.0,0.0,1,2,0,3,5,5,5,1,,구스프랜드_경기도남양주시진접읍연평리135-3
194,소독업,09_30_11_P,3990000,PHMB520263990310042500002,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 진접읍 연평리 135-3,"경기도 남양주시 진접읍 양진로 1016, 108호",12073.0,평화조경,2026-02-10 16:01:48,I,2026-02-12 00:20:02,,216116.774230063,467366.827893098,0.0,0.0,1,2,0,3,5,5,5,1,,평화조경_경기도남양주시진접읍연평리135-3
289,소독업,09_30_11_P,4050000,PHMB520264050148042500002,2026-02-06,,1,영업/정상,13,영업중,,,,,070-4132-0460,,,경기도 용인시 기흥구 중동 848-3 에이스 프라자,"경기도 용인시 기흥구 동백중앙로 199, 에이스 프라자 5층 506-15호 (중동)",17006.0,주식회사 용백종합,2026-02-13 15:18:15,I,2026-02-15 00:20:02,,213415.940300868,418827.208593607,0.0,0.0,1,2,0,3,5,5,5,1,,주식회사용백종합_경기도용인시기흥구중동848-3에이스프라자
145,소독업,09_30_11_P,3510500,PHMB520263510513042500003,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,인천광역시 미추홀구 주안동 206-10 영빌딩 1005호,"인천광역시 미추홀구 석바위로 58-1, 영빌딩 10층 1005호 (주안동)",22139.0,지금방역,2026-02-06 15:29:56,I,2026-02-08 00:20:01,,171582.904300544,439879.548598189,0.0,0.0,1,2,0,3,5,5,5,1,,지금방역_인천광역시미추홀구주안동206-10영빌딩1005호
144,소독업,09_30_11_P,4990000,PHMB520264990020042500001,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,전라남도 완도군 완도읍 군내리 1248-21,전라남도 완도군 완도읍 장보고대로 220,59120.0,청소결백 홈케어&세이프 웜,2026-02-06 15:31:55,I,2026-02-08 00:20:01,,176837.623103902,90945.1948294145,19.8,6.6,1,2,0,3,5,5,5,1,,청소결백홈케어&세이프웜_전라남도완도군완도읍군내리1248-21
146,소독업,09_30_11_P,4950000,PHMB520264950018042500002,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,전라남도 무안군 삼향읍 남악리 2115 남악 도휘에드가 2차 오피스텔 201(내호,"전라남도 무안군 삼향읍 후광대로 292, 남악 도휘에드가 2차 오피스텔 201(내 203, 205)호",58567.0,스마트 토탈케어,2026-02-06 11:07:32,I,2026-02-08 00:20:01,,150863.398703253,146285.785463414,0.0,0.0,1,2,0,3,4,4,4,1,,스마트토탈케어_전라남도무안군삼향읍남악리2115남악도휘에드가2차오피스텔201(내호
164,소독업,09_30_11_P,3990000,PHMB520263990310042500001,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 진접읍 금곡리 1083-4 리첸타워,"경기도 남양주시 진접읍 해밀예당1로 50-47, 리첸타워 5층 505호",12066.0,하트케어,2026-02-09 10:04:30,I,2026-02-11 00:20:41,,216493.07691914,467690.825592483,15.25,9.15,2,2,0,4,5,5,5,2,,하트케어_경기도남양주시진접읍금곡리1083-4리첸타워
166,소독업,09_30_11_P,3160000,PHMB520263160034042500003,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,서울특별시 구로구 오류동 54-5 화인프라자,"서울특별시 구로구 경인로20가길 5, 화인프라자 901-275호 (오류동)",8271.0,주식회사 가온종합관리,2026-02-09 08:51:45,I,2026-02-11 00:20:41,,186144.880821445,443706.570673762,0.0,0.0,1,2,0,3,2,2,2,2,,주식회사가온종합관리_서울특별시구로구오류동54-5화인프라자
201,소독업,09_30_11_P,3180000,PHMB520263180034042500002,2026-02-06,,1,영업/정상,13,영업중,,,,,02-6080-1093,,,서울특별시 영등포구 당산동3가 42 B1,"서울특별시 영등포구 양산로25길 5, B1층 (당산동3가)",7259.0,주식회사 에코텍,2026-02-10 16:37:19,I,2026-02-12 00:20:02,,190949.769353418,446896.70991345,14.0,14.0,1,2,0,3,5,5,5,1,,주식회사에코텍_서울특별시영등포구당산동3가42B1
196,소독업,09_30_11_P,3910000,PHMB520263910168042500002,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,경기도 평택시 합정동 922-3,"경기도 평택시 조개터로5번길 30-14, 1층 (합정동)",17914.0,차오름협동조합,2026-02-10 16:11:18,I,2026-02-12 00:20:02,,208847.705263362,387496.096256886,6.6,3.3,1,2,0,3,5,5,5,1,,차오름협동조합_경기도평택시합정동922-3
165,소독업,09_30_11_P,4430000,PHMB520264430014042500001,2026-02-06,,1,영업/정상,13,영업중,,,,,043-731-1549,,,충청북도 옥천군 옥천읍 장야리 255-3,"충청북도 옥천군 옥천읍 옥천동이로 29, 2층",29040.0,희망나눔 사업단,2026-02-09 09:15:54,I,2026-02-11 00:20:41,,251909.751228457,311093.78419636,56.9,18.5,1,2,0,3,5,5,5,1,,희망나눔사업단_충청북도옥천군옥천읍장야리255-3
118,소독업,09_30_11_P,3520000,PHMB520263520019042500002,2026-02-05,,1,영업/정상,13,영업중,,,,,070-8648-2855,,,인천광역시 연수구 송도동 8-12 스타빌딩,"인천광역시 연수구 테크노파크로111번길 5, 스타빌딩 801-C38호 (송도동)",21998.0,(주)다올종합관리,2026-02-05 16:01:37,I,2026-02-07 00:20:02,,168461.560741473,431579.291351209,1.5,1.5,1,2,0,3,2,2,2,1,,(주)다올종합관리_인천광역시연수구송도동8-12스타빌딩
150,소독업,09_30_11_P,3690000,PHMB520243690018042500009,2026-02-05,,3,폐업,3,폐업,2026-02-05,,,,,,,울산광역시 중구 남외동 549-25,"울산광역시 중구 병영1길 26, 1층 (남외동)",44494.0,대산,2026-02-06 09:07:38,U,2026-02-08 02:40:00,,412870.883498454,232737.918550892,13.17,1.28,2,2,0,6,5,5,5,1,,대산_울산광역시중구남외동549-25
193,소독업,09_30_11_P,4520000,PHMB520264520031042500002,2026-02-05,,1,영업/정상,13,영업중,,,,,,,,충청남도 아산시 용화동 674,충청남도 아산시 시민로280번길 3-8 (용화동),31569.0,아산종합클린케어,2026-02-10 15:08:22,I,2026-02-12 00:20:02,,199591.075276618,363737.313892646,0.0,0.0,1,2,0,5,5,5,5,1,,아산종합클린케어_충청남도아산시용화동674
192,소독업,09_30_11_P,4520000,PHMB520264520031042500001,2026-02-05,,1,영업/정상,13,영업중,,,,,,,,충청남도 아산시 배방읍 회룡리 32-1,충청남도 아산시 배방읍 솔치로 299,31498.0,(주)자연과 사람들,2026-02-10 15:08:08,I,2026-02-12 00:20:02,,206336.23326951,360881.3867981,0.0,0.0,1,2,0,3,5,5,5,1,,(주)자연과사람들_충청남도아산시배방읍회룡리32-1
55,소독업,09_30_11_P,3860000,PHMB520263860384042500004,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,경기도 부천시 오정구 내동 212-39 3층 일부호,"경기도 부천시 오정구 오정로 163-28, 3층 일부호 (내동)",14441.0,인터내셔널ES,2026-02-04 15:07:15,I,2026-02-06 00:20:02,,180474.469473615,447179.419358563,19.0,190.77,2,2,0,3,5,5,24,1,,인터내셔널ES_경기도부천시오정구내동212-393층일부호
143,소독업,09_30_11_P,5340000,PHMB520265340030042500001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,경상남도 사천시 정동면 학촌리 42-1,경상남도 사천시 정동면 소곡길 56-19,52525.0,청정환경소독,2026-02-06 10:44:34,I,2026-02-08 00:20:01,,305799.779393883,171010.497255935,0.0,0.0,1,3,0,3,5,5,6,1,,청정환경소독_경상남도사천시정동면학촌리42-1
117,소독업,09_30_11_P,3980000,PHMB520263980021042500005,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,경기도 구리시 갈매동 552-1 힐스테이트 갈매역 스칸센(A그룹),"경기도 구리시 갈매순환로 188, 힐스테이트 갈매역 스칸센(A그룹) A동 5층 27호 (갈매동)",11901.0,태경,2026-02-05 10:27:41,I,2026-02-07 00:20:02,,210731.882276644,459318.804592367,37.24,5.7,1,2,0,3,5,6,6,1,,태경_경기도구리시갈매동552-1힐스테이트갈매역스칸센(A그룹)
167,소독업,09_30_11_P,4781000,PHMB520264781005042500001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 고창군 흥덕면 오호리 734-2,"전북특별자치도 고창군 흥덕면 선운대로 3619-79, 2층",56413.0,CLEAN 환경,2026-02-09 13:40:02,I,2026-02-11 00:20:41,,171989.973685285,224093.244002575,20.0,11.0,1,2,0,3,2,2,2,1,,CLEAN환경_전북특별자치도고창군흥덕면오호리734-2
71,소독업,09_30_11_P,3440000,PHMB520263440024042500001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,대구광역시 남구 봉덕동 741-26,"대구광역시 남구 봉덕로21길 32-1, 1층 (봉덕동)",42439.0,에나 정보 시스템,2026-02-04 16:21:46,I,2026-02-06 00:20:02,,344582.375094924,261873.868873334,0.0,0.0,1,2,0,3,5,5,5,1,,에나정보시스템_대구광역시남구봉덕동741-26
54,소독업,09_30_11_P,3860000,PHMB520263860384042500003,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,"경기도 부천시 원미구 상동 399 반달마을 지하층 10호, 11호","경기도 부천시 원미구 부일로191번길 35, 반달마을 지하층 10호, 11호 (상동)",14598.0,(주)더라인,2026-02-04 15:03:20,I,2026-02-06 00:20:02,,177848.103257075,443136.694995493,24.39,24.05,1,2,0,3,5,5,5,3,,"(주)더라인_경기도부천시원미구상동399반달마을지하층10호,11호"
72,소독업,09_30_11_P,4390000,PHMB520264390029042500001,2026-02-04,,1,영업/정상,13,영업중,,,,,044-866-4531,,,,충청북도 충주시 호암토성6길 7 (호암동),27480.0,엔케이주식회사(충북지점),2026-02-04 17:07:03,I,2026-02-06 00:20:02,,,,42.0,25.0,1,2,0,3,2,2,2,1,,엔케이주식회사(충북지점)_
181,소독업,09_30_11_P,4181000,PHMB520264181030042500002,2026-02-04,,1,영업/정상,13,영업중,,,,,0332626378,,,강원특별자치도 춘천시 후평동 558-1,"강원특별자치도 춘천시 후석로420번길 7, 춘천하이테크타워 431,432호 (후평동)",24232.0,클린트,2026-02-09 14:53:16,U,2026-02-11 02:40:00,,265474.842593179,487512.552718902,176.0,66.0,2,2,0,3,5,5,5,2,,클린트_강원특별자치도춘천시후평동558-1
69,소독업,09_30_11_P,6510000,PHMB520266510096042500003,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,제주특별자치도 제주시 외도일동 559-6,"제주특별자치도 제주시 우정로13길 8, 2층 (외도일동)",63070.0,참조은케어,2026-02-04 16:37:19,I,2026-02-06 00:20:02,,147133.28002534,-909.56997965349,0.0,0.0,1,2,0,3,5,5,5,1,,참조은케어_제주특별자치도제주시외도일동559-6
63,소독업,09_30_11_P,4191000,PHMB520264191050042500003,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 원주시 단계동 1207-24,"강원특별자치도 원주시 전망길 12-1, 1층 (단계동)",26379.0,주식회사 네옴,2026-02-03 13:16:03,I,2026-02-06 00:20:02,,281226.502285072,428316.194653565,57.6,10.8,1,2,0,3,2,2,2,1,,주식회사네옴_강원특별자치도원주시단계동1207-24
60,소독업,09_30_11_P,3560000,PHMB520263560021042500002,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,인천광역시 서구 당하동 1235-4,"인천광역시 서구 이음4로 10, 6층 624호 (당하동)",22869.0,수담환경,2026-02-03 14:26:53,I,2026-02-06 00:20:02,,,,0.0,0.0,1,2,0,3,5,5,10,1,,수담환경_인천광역시서구당하동1235-4
59,소독업,09_30_11_P,5690000,PHMB520265690045042500003,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,세종특별자치시 보람동 755 네이버타워,"세종특별자치시 호려울로 9, 네이버타워 7층 703호 내 740-1호 (보람동)",30150.0,주식회사 빛나,2026-02-04 14:48:51,I,2026-02-06 00:20:02,,225760.32859147,330716.033106425,4.8,3.25,1,2,0,3,5,5,5,1,,주식회사빛나_세종특별자치시보람동755네이버타워
56,소독업,09_30_11_P,3510500,PHMB520263510513042500002,2026-02-03,,1,영업/정상,13,영업중,,,,,032-876-8766,,,인천광역시 미추홀구 학익동 4-15 3호,"인천광역시 미추홀구 학익소로 5, 1층 3호 (학익동)",22218.0,제이에스컴퍼니,2026-02-03 17:56:41,I,2026-02-06 00:20:02,,170528.007804831,438290.333579063,0.0,0.0,1,2,0,3,5,5,5,1,,제이에스컴퍼니_인천광역시미추홀구학익동4-153호
168,소독업,09_30_11_P,5070000,PHMB520265070014042500001,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,경상북도 안동시 대석동 133-3,"경상북도 안동시 대석3길 10, 2층 (대석동)",36696.0,대각산업(주),2026-02-09 20:25:20,I,2026-02-11 00:20:41,,354421.745852924,341947.875521367,101.88,18.27,1,2,0,3,5,5,5,1,,대각산업(주)_경상북도안동시대석동133-3
70,소독업,09_30_11_P,4271000,PHMB520264271018042500001,2026-02-03,,1,영업/정상,13,영업중,,,,,,,26228,,강원특별자치도 영월군 영월읍 중리1길 237,26229.0,이앤라인,2026-02-04 08:59:17,I,2026-02-06 00:20:02,,,,74.55,0.0,1,2,0,3,5,5,5,2,,이앤라인_
58,소독업,09_30_11_P,4641000,PHMB520264641050042500001,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,,"전북특별자치도 전주시 완산구 팔달로 147-2, 2층 (전동)",55043.0,주식회사 에이비씨건설,2026-02-03 10:23:43,I,2026-02-06 00:20:02,,213271.969256212,257294.337750958,10.1,10.44,1,2,0,3,6,6,10,1,,주식회사에이비씨건설_
67,소독업,09_30_11_P,5060000,PHMB520265060023042500001,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,경상북도 김천시 황금동 56,"경상북도 김천시 줄버드나무길 31, 1층 (황금동)",39595.0,푸른환경관리,2026-02-03 14:14:02,I,2026-02-06 00:20:02,,301046.692919299,291357.427380584,30.0,25.0,1,2,0,3,5,5,5,1,,푸른환경관리_경상북도김천시황금동56
116,소독업,09_30_11_P,4530000,PHMB520264530030042500001,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,충청남도 서산시 동문동 451-7,충청남도 서산시 학동7로 5 (동문동),31968.0,해피그린업,2026-02-05 14:15:29,I,2026-02-07 00:20:02,,151577.67691675,365286.172946002,29.7,25.3,1,2,0,3,5,5,5,3,,해피그린업_충청남도서산시동문동451-7
184,소독업,09_30_11_P,3130000,PHMB520263130033042500002,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,서울특별시 마포구 용강동 122-12,"서울특별시 마포구 토정로 288-1, 401호 (용강동)",4163.0,한결환경,2026-02-09 11:33:10,U,2026-02-11 02:40:00,,194741.489199569,448780.927866155,41.79,38.0,1,2,0,3,5,5,5,2,,한결환경_서울특별시마포구용강동122-12
62,소독업,09_30_11_P,3990000,PHMB520263990309042500003,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,,"경기도 남양주시 경춘로 414-5, 302호 (다산동)",12259.0,풍천 크린,2026-02-03 10:23:00,I,2026-02-06 00:20:02,,214074.686110023,456064.745833409,13.0,8.74,1,2,0,3,5,5,5,1,,풍천크린_
2,소독업,09_30_11_P,5600000,PHMB520265600005042500001,2026-01-30,,1,영업/정상,13,영업중,,,,,,,,경기도 포천시 영북면 자일리 1025-12,경기도 포천시 영북면 북원로 254-15,11102.0,본연,2026-02-02 17:56:08,I,2026-02-04 00:20:02,,223756.230178648,513270.9785101,36.8,4.5,1,2,0,3,2,2,2,1,,본연_경기도포천시영북면자일리1025-12
48,소독업,09_30_11_P,5330000,PHMB520255330023042500001,2026-01-30,,3,폐업,3,폐업,2026-01-30,,,,,,,경상남도 통영시 무전동 981-9,"경상남도 통영시 안개2길 57, 애플하우스 1층 101호 (무전동)",53037.0,스마일 방제,2026-01-30 15:20:23,U,2026-02-04 11:04:37,,330673.529726824,152202.195156835,49.07,27.0,1,2,0,3,2,2,2,1,,스마일방제_경상남도통영시무전동981-9
